2800000006	Matiyu
2c03120076	Ama na̱k gwisi ka̱n Nya njika̱n ilgwe ta̱ dla̱m tumal ma̱n dla̱mti ga̱ɓa gwasi, ɗe Almasihu gwas atla bomti.
2c03130051	Cin atl gaa ta̱ Nya taasikii byas wul jwaka̱n ka ata̱ nda̱lli mbadl jwaka̱n,
2c0314005a	kangwe ɗe ta ya shin Almasihu gwe ta̱ botlikii ti wu sut ɗu, a Almasihusi ka̱ɗe Yesu.
2c03150097	Ngetli ka̱n ta̱ Yesu to to nya ka, se Nya palli mas wul pyali na̱k gwe ta̱ dla̱lli ga̱ɓa gwasi tumal ma̱n dla̱mti ga̱ɓa jwe ta̱ ɓotlsi ju.
2c031600c8	Na̱k gwe Musa ma̱n dla̱mti ga̱ɓa ga̱ Nya dla̱m wu ɗe, ‘Nya tlilikii ma̱n dla̱mti ga̱ɓa gwas gon ka̱ dlo gwaka̱n na̱k ami, ngetli ka̱n ta̱k kata̱n ka̱ng ten mas ilgwe ta hwikii wu.
2c0317004f	Mas ma̱lgwe kum ga̱ɓa gwas sogo, Nya a mbolti ɗa̱ka̱ mbala̱n jwas ka.’
2c0318007a	“Mas ma̱n dla̱mti ga̱ɓa ga̱ Nya jwe dla̱m ilgwe a pi wu tun tet ten Samaila, sa̱ dla̱m ga̱ɓa ten multi jimisi.
2c031900d1	Ilgwe ma̱n dla̱mti ga̱ɓa ga̱ Nya ju dla̱m wu suk ga̱ɓa gwe Nya dla̱lli aba jwaka̱n jo jwaka̱n ka̱n. Na̱k gwe Nya wul Ibirahim ɗe, ‘Tumal mil jwaka̱n ba ba̱l nalti mbala̱n ji dii atli mas.’
2c031a0082	Kii ka̱n Nya tlil zhel gwasi yek ta̱ shinti malkii ta̱s ba̱lkii nalti kangwe ta yilla̱kii ɗa̱ka̱ yokit gwaka̱n ka̱wu.”
2c0401008a	Biturus suk Yohana nima hwit ga̱ɓa mbala̱n nugo yek ma̱n Pa̱ris suk bacina ga̱ ma̱n ɓa̱tti lubiimi suk ma̱n Saduki li tet malsi.
2c04020076	Mbadl lilisi na̱k ɗe mil shinti ji ɓotlisi nima dla̱mti ɗe a mbala̱n tli ɗa̱ka̱ ma̱shka̱n ka tumal Yesu wu.
2c04030058	Yek sa̱ dop Biturus suk Yohana yek sa̱ lesi ka na̱k ɗe sukti ka̱ ɓal wu se lu tlo.
2c040400a4	Ten cin gwisi wo mbala̱n wonti kum ga̱ɓa gwasa̱n yek wonti ka̱si ba̱l gem. Yek wonta̱t ji maani ma̱n kopti mba̱ldli yek sa̱ la za̱mba̱l kutl ɗe namtan.
2c04050064	Lu tlo wugo yek guu suk bacina jwasa̱n suk ma̱n yisti mba̱t ga̱ɓa ga̱ Musa mogaa a Wurshelima.
2c0406008a	Ka̱ ma̱jwe mogaa go Hanana bal ma̱n Pa̱ris suk Kayapas suk Yohana, suk Alekzanda suk mas ma̱n boo ga̱ bal ma̱n Pa̱rismi ni ka̱si.
2c0407009c	Yek sa̱ ta̱la ka̱a̱ Biturus suk Yohana tet malsi, yek sa̱ ngemsi ɗe, “Wok ba̱lkii manti pa̱lti ilga̱n wo? Na̱ shin ga̱ wok a ka̱ pa̱li wo?”
2c04080058	Yek Biturus na̱ Shishi ga̱ Nya ka̱ mbadl gwasi, wulsi ɗe, “Guu suk bacina jina̱n,
2c04090076	ngemti ka̱n ka̱ na̱ma ngemti ga̱na̱n ten kangwe kulki wu ndoki gwa? Ɗe ɗa̱ nii ka̱n pi yek ta̱ ndok gwi gwa?
2c040a00f2	Ha̱n ta̱k yisini kii ɗe ka̱ ni a ɗe wu, suk mas jwaka̱n ma̱n Yisiraila ɗe na̱ nda̱lti shin ga̱ Almasihu Yesu ga̱ Nazarat ka̱n ma̱lga̱n ɗe ka yenti wu ndoki. Yesu gwe ka̱ ɓakti ka ten guda̱l yencin yek Nya palla̱t kaami wu.
2c040b0093	Ni ga̱ lishi ka̱ ga̱ɓa ɗe Yesu go na̱k, “‘Ye gwe kii ma̱n kinti bii ka̱a̱ nge, yek lak da̱n ɗe zok ye kinti bii wu ka̱n ta̱ ni.’
2c040c00d1	Yesusi na̱ ngus ka man kisti ga̱ mbala̱n, na̱ shin gwas na̱ ngusi ka̱n mbala̱n a man mbit kisti. Na̱k ɗe ba̱ Nya ba̱l shin ga̱ zobsi ma̱lgon ten dii atli, gwe mbala̱n a mbi kisti tumali wu so.”
2c040d00cb	Sa̱ yen kangwe Biturus suk Yohana ga̱ɓa na̱ nda̱lti gahwula̱n wu asa̱ yisi ɗe sa̱ pa̱l lishti so, a ba̱ ma̱n wul ang ka̱ɗe si so, yek ili cisi ɓanti. Yek sa̱ yisi ɗe sa̱ da̱n suk Yesu.
2c040e0062	Na̱k ɗe sa̱ yen ma̱lgwe ndokisi dla̱l nya a malsi wu, yek ba̱ta̱ po man wulti ɗe ilgon so.
2c040f006e	Yek sa̱ wul Biturus suk Yohana ɗe ta̱s yil ɗa̱ dlaboo Sanhidirimi ka, yek sa̱ ga̱ɓa ka̱ dlo gwasa̱n.
2c041000a7	Yek sa̱ wule, “Yek ma pa̱li ma̱jin ye na̱k ɗe sa̱ pa̱l wul cit ɓanti na̱k ga̱n, a ba̱ma mana̱n hwunda̱lti so, na̱k ɗe mas ma̱n Wurshelima yisi wu?”
2c041100b4	Yek sa̱ po wuli ɗa̱ɗe, “Ha̱n ta̱n wula̱nsi ɗe ta̱s zaki hwit ga̱ɓa mbala̱n ten bi shin ga̱ ma̱lgwisi ba̱ bi gwas ngusi ma̱tlti ɗa̱nka̱ mbala̱n ka̱ so ɗa.”
2c04120087	Yek sa̱ mbesi yek sa̱ wulsi ɗe ba̱s po hwi ga̱ɓa ma̱lgon ten bi ga̱ Yesu so, a ba̱s po dla̱m ilgon na̱ shin gwas so ko njet.
2c04130065	Yek Biturus suk Yohana wulsi ɗe, “Ga̱ɓa ga̱ Nya ka̱n ma koɓi ya ko gwaka̱n? Ɓo daama̱nkii.
2c04140044	Mi wo ma man da̱nti mbetlak ten ilgwe ma yeni yek ma kumi wu so.”
2c041500e0	Ma̱n da̱mti dlaboo Sanhidirimi kumi nu wugo yek sa̱ laki Biturus suk Yohana ɓanti ka̱ dli. Yek sa̱ zaksi ta̱s zigaa na̱k ɗe sa̱ mbi ilgwe sa̱ nolsi dani sowu, a mbala̱n na̱ma ta ta̱sti ga̱ Nya ten ilgwe pi wu.
2c04160047	Ma̱lgwe mbi ndoktisi wo ta̱ man gin ɗe kutl ɗe wupsi na̱ za̱t wi.
2c041700b7	Ma̱n da̱mti dlaboo Sanhidirin zak Biturus suk Yohana wu yek sa̱ pal mal yilkeni jwasa̱n ma̱n kopti, yek sa̱ hwisi mas ilgwe kiɗi ma̱n Pa̱ris suk bacina jwasa̱n dla̱misi wu.
2c041800a0	Sa̱ kumi nu wugo yek sa̱ tlil yal nya mas jwasa̱n, yek sa̱ ngem Nya ɗe, “Bagaa Nya, kik pa̱l dii atli suk dlo nya suk bal ze na̱ mas ilgwe ni gipsi wu.
2c041900dd	Tumal Shishi gwaka̱n ka̱ ga̱ɓa suk zhel gwa Dauda aba ga̱na̱n yek ka̱ wule, “‘Yek laki ɗe mbadl lili ma̱jwe ba̱ ma̱n Yehuda ka̱ sowu ye? Yek laki yek mbala̱n na̱ma ɓelti bi ten wul jwe ni ten koo lu ye?
2c041a0075	Yek guu ga̱ mbala̱n ji dii atli suk bacina jwasa̱n ɓel bi ta̱s nge Bagaa Nya suk Almasihu gwe ta̱ botlti wu.’
2c041b00cd	Nu ka̱n ka̱a̱ Hiridus guu suk Buntus Bilatus gobna suk ma̱jwe ba̱ ma̱n Yehuda ka̱ sowu, suk ma̱n Yehuda mas mogaa ka̱ ba̱n ge ta̱s ngem Yesu zhel gwa ma̱n cilti gwe ka̱ botlti ɗe Almasihu wu.
2c041c0033	Yek sa̱ pa̱l ilgwe ka̱ dla̱lli ɗe a pi tek wu.
2c041d00a0	Bagaa, kum kangwe sa̱ nini ma lakti ɓanti ka̱ dli wu, ma̱ na̱ma ngemti gwa ta̱k ba̱lni nda̱li mbadli kangwe ɗe ɓanti dla̱mti ga̱ɓa gwa a cini sowu.
2c041e0072	Tak ang gwa ta̱k ndok ma̱n cwo a ka̱ pa̱l wul cit ɓanti na̱ nda̱lti ga̱ shin Yesu zhel gwa ma̱n cilti.”
2c041f00bb	Sa̱ pak ngemi Nya wugo yek bii gwe sa̱ na̱ma ngemti Nyami giɓi wu nwu i'e, yek ta̱ njika̱n mbadl gwasa̱n na̱ Shishi gwasi yek sa̱ ngusi dla̱mti ga̱ɓa gwas na̱ nda̱li mbadli.
2c042000a8	Yek ma̱n kopti da̱m na̱ mbadl ɗe na̱m suk daamti ɗe na̱m mas jwasa̱n. Ko gon wule ilga̱n go gi so, na̱k ɗe mas wul jwasa̱n wo ka̱ lu ɗe na̱m ka̱n ni wu.
2c042100bb	Yek mil shinti ngusi dla̱mti ga̱ɓa mbala̱n ten tlit ɗa̱ka̱ ma̱shka̱n ka ga̱ Yesu, kangwe Shishi ga̱ Nya ba̱lsi nda̱lti pa̱lti wu. Yek Nya ba̱lsi hwa wul gwasi mas jwasa̱n.
2c0422008e	Ko gon gwasa̱n da̱mi a ba̱ ilgon niɗɗa̱ so so, na̱k ɗe mas ma̱jwe lubii sogo lu nisi ɗa̱ go asa̱ wul ka asa̱ ta̱la wulpi te ɗi,
2c04230048	mal mil shinti ji botli, asa̱ hwuli ma̱n koptisi kangwe kokko lami wu.
2c042400b2	Nu ka̱n Yusupu gwe a mil shinti ji botli mbet ɗe Barnabas pa̱li. Shin Barnabas wo yek ɗe ma̱n nda̱lla̱t mbadli. Ti wo ma̱n boo ga̱ Lawi ka̱n tet ten za̱nda̱l Kuburus.
2c0425004f	Yek ta̱ wul lu gon gwas ka, yek ta̱ ta̱la wulpi tet mal mil shinti ji botli.
2c0501005b	Yek ma̱lgon gwe asa̱ mbet ɗe Hananiya suk kili gwasi Sapiratu wu wul lu gon gwasa̱n ka.
2c0502006e	Yek ta̱ ɓel bi suk kilisi yek sa̱ hwuda̱l naa wulpi ka. Yek ta̱ ta̱la naami tet mal mil shinti ji botli.
2c050300a7	Yek Biturus wulti ɗe, “Hananiya, yek laki yek guu ma̱zhe njika̱n mbadl gwa nu hal yek ka̱ sheli lal Shishi ga̱ Nya ye, ɗe ka̱ hwuda̱l naa wulpi lwisi ka̱wu?
2c0504009f	Ale lwisi wo gwaka̱n na̱ ɗe ba̱ ka̱ ɓo wul ka̱ sowu? A wulpi lwisi mago gwa. Yek mbik ɗe ka̱ pa̱li nu ye? Nya ka̱n ka̱ shelti, mbala̱n ka̱ so.”
2c0505007a	Yek Hananiya kumi nu wugo yek ta̱ nda atli, ka̱li-ka̱li yek ta̱ ma̱shi. Mas mbala̱n kumi nu wugo yek ɓanti cisi ka.
2c05060040	Yek mil samali tlinya yek sa̱ kan hwu gwasi yek sa̱ lak lepti.
2c05070045	La̱m da̱nti wugo yek kilisi tul ka̱li a bata̱ yis ilgwe pi wu so.
2c05080090	Yek Biturus ngemti ɗe, “Dla̱mini, kangwe ki suk kos gwa wul lu gwaka̱n ka̱ wuk gwa?” Yek ta̱ wuli ɗe, “Yii, nu ka̱n ma̱ wul ka.”
2c050900db	Yek Biturus wulti ɗe, “Yek laki yek ka̱ ɓel bi suk kos gwa ta̱k cinga̱la̱n Shishi ga̱ Nya ye? Yekgu, asa̱n ji ma̱jwe lep kos gwa wu ka wullu ten bi dlabii wu, a ki mago nu ka̱n sa kanki asa sak lepki pak.”
2c050a00ba	Yek ta̱ nda atl ka̱li-ka̱li a cina ɗa̱ Biturus ka, yek ta̱ ma̱shi. Yek mil samali te suɗi yek sa̱ mbi hwuuni gwasi, yek sa̱ kanti yek sa̱ lak lepti a malka̱n ɗa̱ kos gwasi.
2c050b0059	Yek mas motgaa ga̱ ma̱n kopti ji Wurshelima ɓanti ka, suk mas ma̱jwe kum ilgwe pi wu.
2c050c009f	Yek mil shinti ji botli pa̱l wul cit ɓanti wonti ka̱ dlo ga̱ mbala̱n. Yek mas ma̱n kopti ngusi motgaa ka̱ lu gwe asa̱ mbe ɗe Baranda ga̱ Sulemanu wu.
2c050d0071	Ko ɗe mbala̱n ba̱lsi nalti i'e wu, ama ba̱ ma̱lgon ka̱ naa mbala̱n mbi nda̱li gahwula̱n cutgaa suksi so.
2c050e006b	Mas na̱ nu go, yek wonta̱t ga̱ ma̱jwe nga̱ssi ten Yesu wu ngusi mba̱lti dli na̱ modli na̱ maani wu.
2c050f00a8	Nuk laki yek mbala̱n ngusi yilla̱t ɗa̱ ma̱n cwo to deɓa̱l ɗa̱n ten lumulti ka ka̱ ba̱mi, kangwe ɗe ko ta̱ shishi ga̱ Biturus mago ta̱ ta̱n jon jwasa̱n.
2c05100097	Hal tet ka̱ ba̱n jwe ni njaa mal Wurshelima wu mago, mbala̱n tulli ma̱n cwo jwasa̱n suk ma̱jwe ma̱zhe ni ka̱si wu. Yek sa̱ ndoki mas jwasa̱n.
2c0511007c	Yek bali ga̱ ma̱n Pa̱ris suk yilkeni jwas daka̱l i'e, ma̱jwe sa̱ ni ka̱ mbala̱n jwe asa̱ mbesi ɗe ma̱n Saduki wu.
2c0512006b	Yek sa̱ dop mil shinti ji botlisi yek sa̱ yitlasi ka, ka̱ bii gwe asa̱ yitla ma̱jwe pa̱l byas wul wu.
2c05130060	Ama yek yen shinti ga̱ Nya ɓul dlabii bii yitlatisi ka yek ta̱ yilla̱si, yek ta̱ wulsi ɗe,
2c05140087	“La̱n lubii ga̱ Nya ta̱k te gib boo, aka̱a̱ dla̱l nya a dii boomi ta̱k hwi ga̱ɓa mbala̱n mas ten pyal tantu da̱mti gee.”
2c05150109	Lu tlo wugo yek sa̱ te gib boo lubii ga̱ Nyami na̱k gwe yen shinti hwisi wu, yek sa̱ njeli hwit ga̱ɓa mbala̱n. Bal ma̱n Pa̱rismi tuli suk ma̱ jwas wu yek ta̱ mbe mas kolsi ji dlaboo Sanhidirin, yek ta̱ shinlu ɗe ta̱s yilli mil shinti ji botlisi teɗi.
2c05160064	Yek ma̱n hapti dlo li ka̱li wu yek ba̱sa̱ mbisi a giɓi so. Yek sa̱ lak hwi kiɗi jwasa̱n ɗe,
2c05170094	“Ma̱ mbi lu yitlatisi ga̱ yitle ka nda̱li, a ma̱n ɓa̱tti dlabiimi ni ka̱li, ama yek ma̱ ɓul wugo yek ba̱ma̱ mbi ma̱lgon a giɓi so.”
2c05180082	Kiɗi ma̱n Pa̱rismi suk bacina ga̱ ma̱n hapti dlomi kumi nu wugo, yek ili gulsa̱si na̱k ɗe ba̱sa̱ yis ilgwe a pi wu sowu.
2c051900c6	Yek ma̱lgon gwe kum mil shintisi ten ga̱ɓa wu, tul ka̱ motgaa Sanhidirimi yek ta̱ hwisi ɗe, “Ma̱jwe ka̱a̱ yitlasi go, sa̱ ni te ka̱ lubii ga̱ Nya sa̱ nima ta hwit ga̱ɓa mbala̱n.”
2c051a00c4	Yek bacina ga̱ ma̱n hapti dlomi li ka̱li suk ma̱jwasi yek sa̱ yemsi teɗi. Sa̱ lak mil shintisi ten la̱t ngetli so, na̱k ɗe ɓanti na̱ma cit gwasa̱n ɗe gon a mbala̱n laksi na̱ ye wu.
2c051b004f	Sa̱ tulla̱si dlaboo motgaa Sanhidirin wu, yek bal ma̱n Pa̱rismi ngemsi ɗe,
2c051c00ba	“Ma̱ wula̱nkii ɗe ba̱k po hwi ga̱ɓa mbala̱n ten shin ga̱ ma̱llu so sa? Ama yek ga̱ɓa gwaka̱n ngash ba̱n Wurshelima wi mas. A lamti gwaka̱n wo ta̱k wuli ɗe mik tloti.”
2c051d008c	Yek Biturus ka̱ lal ga̱ naa mil shinti ji botlisi wulsi ɗe, “Ngetli ka̱n nini ta̱n kop ga̱ɓa ga̱ Nya man ga̱ɓa ga̱ mbala̱n!”
2c051e0075	Nya gwe aba jina̱n ngusit atl wu, tik palli Yesu kaami ma̱lgwe ka̱a̱ tloti ɗe ka̱ ɓakti ten guda̱l yencin wu.
2c051f00bf	Yek Nya ba̱lti nalti yek ta̱ palla̱t ɗe guu suk ma̱n kisti. Yek ta̱ za̱t ten ang shinti gwasi, ta̱s ɓul tantu gwe ma̱n Yisiraila a ci atl gaa wu, ata̱ taasisi byas wul jwasa̱n ka.
2c0520007b	Mik yen ilgwe pi wu na̱ gwel ga̱na̱n. Shishi ga̱ Nya gwe a Nya ba̱l ma̱jwe kumit bi wu mago ta̱ dla̱m ga̱ɓa dani.
2c05210038	Sa̱ kumi nu wugo yek mbadl lilisi i'e wule sa tlosi ka.
2c052200f4	Yek ba Paresi gon asa̱ mbet ɗe Gamaliyel ma̱n yisti mba̱t ga̱ɓa ga̱ Musa, tik ɗe ma̱lgwe a mas mbala̱n ba̱lti nalti i'e wu. Yek ta̱ tlinya a nya ka̱ dlaboo Sanhidirimi. Yek ta̱ wule ta̱ mil shinti ji botlisi ɓo nak yil deɓa̱l.
2c05230078	Yek ta̱ hwi kosisi ɗe, “Kii ma̱n Yisiraila, pa̱n ɗem'ɗem ten ilgwe ka̱a̱ na̱ma lamti ta̱k pa̱li ma̱jin wu.
2c052400f1	Ka̱ multi jon tek go ma̱lgon asa̱ mbet ɗe Tudas ya yili yek ta̱ ngusi mbokti ang ten gaa gwasi, ɗe ti wo ilgon ka̱n. Yek mbala̱n zamba̱l ɗe wupsi kop ga̱ɓa gwasi. Yek ma̱jon tlot ka, yek ma̱jwe kop ga̱ɓa gwas wu cat ɗa̱nka.
2c052500cf	Kaal ɗati, yek ma̱n Galili gon asa̱ mbet ɗe Yehuda ten gini gwe sa̱ dla̱m wonta̱t ga̱ mbala̱n wu. Ta̱ po shel mbala̱mi jon pak, ama ti mago yek sa̱ tloti. Yek ma̱jwe kopti wu cat ɗa̱nka̱ pak.
2c0526009c	A na̱ma ngemti gwaka̱n ten ga̱ɓa gee ta̱k zaka̱n ma̱jin ta̱s zigaa, kume ilgwe sa̱ na̱ma dla̱mti go pa̱lti ga̱ mbala̱n ka̱wu, a li tu gon so.
2c052700ac	Ama kume ga̱ Nya ka̱wu, ka man dla̱lla̱t gwasa̱n ka̱ so, se ko ta̱k da̱ma̱n ɗe ma̱n nget ilgwe Nya pa̱li wu.” Yek ga̱ɓa ga̱ Gamaliyel ta̱n mbadl gwasa̱n,
2c05280085	yek sa̱ mbe mil shinti ji botlisi suɗi yek sa̱ ɓosi. Yek paa sa̱ wulsi ɗe ba̱s po ga̱ɓa ten bi ga̱ Yesu so. Yek sa̱ zaksi.
2c0529008a	Yek mil shinti ji botlisi yil ɗa̱ka̱ lu motgaa Sanhidirimi ka na̱ hwol tuki, na̱k ɗe sa̱ mbuki ta̱s tla bomti ten bi ga̱ Yesu wu.
2c052a0091	Mas cin yek sa̱ ngusi dla̱mti ta̱mi ga̱ɓa mbala̱n asa̱ nisi ma mbokti ang ɗe Yesu ka̱ɗe Almasihu ka̱ lubii ga̱ Nyami suk lubii lubii.
2c06010126	Ka̱ multi jwe wonta̱t ga̱ ma̱n kopti na̱ma mba̱lti dli wu, yek ma̱n Yehuda ma̱n ga̱ɓa na̱ bi Giris njel nala̱nti ten ma̱n Yehuda ma̱n ga̱ɓa na̱ bi Arameya, ɗe modli jwe maani jwasa̱n ma̱sh wugo ba̱sa̱ mbi ilga̱ nguki gwe asa̱ ba̱li mas cin wu ndakce suk naa modlisi so.
2c060200c4	Yek mil shinti ji botli ɗe kutl cet lop ju mbe motgaa ga̱ mas ma̱n kopti, yek sa̱ wulsi ɗe, “Mbun ɗe ta̱n zaka̱n bi dla̱mti ga̱ɓa ga̱ Nya ama̱ pala̱n ten bi huulti ilga̱ nguki ya?
2c060300bc	Yilkeni jina̱n, botla̱n mbala̱n ɗe nitgi ka̱ kii ma̱jwe ka̱a̱ yissi ɗe ma̱n ɓotlka̱n, a Shishi ga̱ Nya ni ka̱ mbadl gwasa̱n wu, ta̱s zini gwel ten bi huulti ilga̱ ngukisi.
2c0604004f	Mi wo ma za̱n mbadl ga̱na̱n ten ngemti Nya suk dla̱mti ga̱ɓa ten Yesu.”
2c06050123	Yek ga̱ɓe ta̱mi ma̱n koptisi ɗa mas jwasa̱n. Yek sa̱ botl Istipanus ma̱lgwe nga̱sti ten Yesu i'e, a Shishi ga̱ Nya ni gipti pak wu. Yek sa̱ botl Pilibus suk Burokoras suk Nikano suk Timan suk Parminas suk Nikolas ma̱n Antakiya ma̱lgwe te ka̱ kopti Nya ga̱ ma̱n Yehuda wu pak.
2c06060069	Yek sa̱ ta̱la ma̱jwisi mal mil shinti ji botli, yek mil shintisi wutisi ang gaa, yek sa̱ ngemisi Nya.
2c06070089	Yek wonti mbala̱n kum ga̱ɓa ga̱ Nya ɗa̱nka. Yek ma̱n kopti wonti a Wurshelima i'e, yek ma̱n Pa̱ris wonti njel nga̱ssi ten Yesu.
2c06080075	Nya ba̱l Istipanus hwa wul gwasi, suk nda̱lti pa̱lti wul, yek ta̱ man pa̱lti kiɗi wul cit ɓanti ka̱ mbala̱n.
2c060900e1	Yek ma̱jon jwe sa̱ yil tet ka̱ bii motgaa gon gwe asa̱ mbe ɗe Ma̱jwe Mbi Gaa Gwasa̱n Wu. Sa̱ yil tet ka̱ ba̱n Sayirin suk Alekzandiriya suk atl ga̱ Silisiya suk Asiya. Yek sa̱ ngusi dla̱kti ga̱ɓa suk Istipanus.
2c060a0067	Ama yek ba̱sa̱ mani na̱ Shishi ga̱ Nya gwe ni ka̱ mbadl gwas wu so suk ɓotlka̱n ga̱ɓa gwas so.
2c060b0094	Yek sa̱ cok ma̱jon mukli ta̱s wuli ɗe, “Ma̱ kum Istipanus ten dla̱mti ga̱ɓa mbulti ga̱ Nya, suk ten Musa ma̱n dla̱mti ga̱ɓa gwasi.”
2c060c009f	Yek sa̱ tlil mbadl ga̱ mbala̱n suk bacina jwasa̱n suk ma̱n yisti mba̱t ga̱ɓa ga̱ Musa. Yek sa̱ lak dop Istipanus, yek sa̱ ta̱lat dlaboo Sanhidirin.
2c060d00b0	Yek sa̱ tulli ma̱n shelti lali, yek sa̱ shelit lal gaa ɗe, “A ma̱lga̱n sa ten dla̱mti byas ga̱ɓa ten lubii ga̱ Nya ma̱n cilti gee suk ten mba̱t ga̱ɓa ga̱ Musa.
2c060e0096	Ma̱ kumti ten dla̱mti ɗe we Yesu ma̱n Nazarat wu a jek bii gee ka, ata̱ laki a ba̱ma po da̱ma̱n na̱k gwe Musa mboki ang aba jina̱n wu so.”
2c060f0083	Yek mas ma̱jwe ni ka̱ dlaboomi wu wuti gwel Istipanus, yek sa̱ yeni go cinagwel gwas wo na̱k ga̱ yen shinti ga̱ Nya ka̱n ni.
2c07010070	Yek bali ga̱ ma̱n da̱nti ka̱ lubii ga̱ Nya ngem Istipanus ɗe, “Iljin ɗe sa̱ dla̱m tenki go gem ma?”
2c070200ce	Yek Istipanus wulsi ɗe, “Yilkeni jini suk aba jini, ɓo katini nini ka̱ng. Nya ma̱n nalti mboki ang koli ga̱na̱n Ibirahim ten kangwe ta̱ ni wu a ta̱ yi Mesopotamiya a ba̱ta̱ ɓo da̱m a Haran so.
2c0703005c	Nyami wulti ɗe, ‘Zak atl gwa suk ma̱jwa ta̱k li ka̱t atl gwe ba mbokik ang dani wu.’
2c070400a7	“Yek ta̱ zak ka̱t atl ga̱ ma̱n Kaldiya yek ta̱ lak da̱m a ba̱n Haran. Koli gwas ma̱sh wugo yek Nya ta̱la̱t tet ka̱ lu ga̱n ɗe ka̱a̱ na̱ma da̱mti wu.
2c0705009b	Nyami ba̱l lu Ibirahim a ɗe so ko njet. Ama ta̱ dla̱lli ga̱ɓa sukti ɗe ta ba̱lti lu ge suk ma̱n ga̱s jwasi, ko ɗe a ba̱ yen ɓo niɗɗa̱ sowu.
2c070600ac	Yek Nya wulti ɗe, ‘Mil jwa a pa̱l da̱mti ma̱nda̱ki ka̱ atl gwe ba̱ gwasa̱n ka̱ sowu, asa palla̱si ɗe zhel asa̱ tla bomti se sa̱ pa̱l gin zamba̱l ɗe wupsi.
2c0707008f	Ama ba nol ma̱n atl gwe palla̱si ɗe zhel wu. Kaal ɗa̱ nugo, mil jwa a yil tet ɗa̱ka̱ atl gwisi ka asa̱ ba̱la̱n nalti ka̱ lu gee.’
2c0708012c	Yek Nya dla̱lli ga̱ɓa suk Ibirahim ten bi pa̱lti sa̱lti ta̱ mbok ang ɗe ti wo mbala̱n gwas ka̱n. Yek Ibirahim zi Ishiyaku wu, yek ta̱ sa̱lti ten cin na wusupsi kaal ɗa̱ za̱t gwasi. Kaal ɗa̱ nu, yek Ishiyaku zi Yakubu, yek Yakubu wut aba jina̱n ɗe kutl cet lop jwe ma̱ yisa̱nsi ju.
2c0709008a	“Yek daka̱lti lak aba jina̱n jwisi ten wulti Yusupu yilka gwasa̱n ka, sa̱ wulti ka̱ɗe zhel ka̱ atl ga̱ Masar. Ama a Nya ni sukti
2c070a00ca	yek ta̱ yilla̱t ɗa̱ka̱ mas bomti gwe ta̱ tla wu ka. Yek Nya ba̱lti ɓotlka̱n yisti wul suk hwol hwulan mal Pir'auna guu ga̱ ma̱n Masar. Yek ta̱ palla̱t ɗe guu a Masar suk bacina kaal ɗati.
2c070b0093	“Yek bal kuza̱n gon nda ten mas atl ga̱ Masar suk atl ga̱ Kan'ana. Yek mbala̱n wonti te ka̱ bomti i'e na̱k ɗe ilga̱ nguki niɗɗa̱ sowu.
2c070c006d	Yek Yakubu kumi ɗe ilga̱ nguki ni Masar wugo, yek ta̱ shin aba jina̱n, yek ɗe ndat la̱t gwasa̱n Masar.
2c070d0065	La̱t gwasa̱n na lop wo, yek Yusupu hwi yilkeni jwas ɗe ti ka̱n. Yek Pir'auna yis ma̱n boo gwasi.
2c070e0078	Kaal ɗa̱ nu, yek Yusupu laki ta̱s mbe aba gwas Yakubu teɗi suk ma̱n lubii gwasi mas, si ɗe kutl nitgi na̱ namtan.
2c070f003f	Yek Yakubu li Masar, ka̱li ka̱n ta̱ ma̱shi suk aba jina̱n.
2c0710006b	Yek sa̱ palli hwuu gwasa̱n tot Shekem, yek sa̱ lepsi ka̱ gazukɗi gwe Ibirahim wul mal mil ji Hamor wu.
2c07110077	“Ɓal njaa ɗe ta̱ Nya njika̱n ga̱ɓa gwe ta̱ dla̱lli suk Ibirahim wugo, yek mbala̱n jina̱n wonti a Masar i'e.
2c0712004c	Yek ma̱lgon gwe ba̱ta̱ yis Yusupu sowu da̱n ɗe Pir'auna guu ga̱ Masar.
2c07130086	Guu gwisi ka̱ lak aba jina̱n ten tlat bomti, tik cisi dlelngapcan yek zisi ngetli ta̱s wut mil la̱li jwasa̱n ka ta̱s ma̱sh ɗa.
2c07140071	“Ka̱ multi jwisi ka̱n sa̱ zi Musa, yen ma̱n mbunti i'e. Yek sa̱ keta̱lti ɗa̱ aba gwas ka lip ɗe mekan.
2c07150071	Ma̱n za̱t jwas yilla̱t deɓa̱l wu, yek yen ga̱ ma̱dli ga̱ Pir'auna kanti yek ta̱ keta̱lti ɗe yen gwasi.
2c0716008e	Musa pa̱l lishti ga̱ ma̱n Masar suk ɓotlka̱n yisti wul gwasa̱n. Yek laki yek ta̱ mbi nda̱lti pa̱lti wul suk yek ta̱ man ga̱ɓa i'e.
2c0717007b	“Ta̱ ɓal ka̱ gin ɗe kutl ɗe wupsi go yek ta̱ kumi ka̱ mbadl gwas ɗe, ta̱s lak yen yilkeni jwasi ma̱n Yisiraila.
2c0718007d	Ta̱ li malsi yek ta̱ yen kangwe ba Masar gon na̱ma ɓot ga̱ ba Israila gon wu, yek ta̱ lak ɓetti ti hal yek ta̱ tloti.
