1300000007	Psaumes
2a01410086	Tous leurs voisins furent remplis de crainte, et l'on s'entretenait de toutes ces choses dans tout le pays des montagnes de la Judée.
2a0142009d	Tous ceux qui les entendirent les conservèrent dans leur coeur et ils disaient: Que deviendra donc ce petit enfant? Car la main du Seigneur était avec lui.
2a01430052	Alors Zacharie, son père, fut rempli de l'Esprit saint. Il prophétisa et il dit:
2a01440058	Béni soit le Seigneur, le Dieu d'Israël, de ce qu'il a visité et racheté son peuple,
2a0145004e	et nous a suscité un puissant Sauveur dans la maison de David, son serviteur,
2a0146005a	comme il l'avait proclamé par la bouche de ses saints prophètes, dès les anciens temps.
2a0147004e	Il nous délivre de nos ennemis et de la main de tous ceux qui nous haïssent.
2a01480051	Il exerce sa miséricorde envers nos pères et se souvient de sa sainte alliance;
2a01490050	car il a fait à Abraham, notre père, le serment de nous accorder cette grâce,
2a014a0062	qu'après avoir été délivrés de la main de nos ennemis, nous pourrions le servir sans crainte,
2a014b004e	en sa présence, dans la sainteté et la justice, tous les jours de notre vie.
2a014c0089	Et toi, petit enfant, tu seras appelé le prophète du Très-Haut; car tu marcheras devant la face du Seigneur, pour préparer ses voies,
2a014d0055	pour donner à son peuple la connaissance du salut par la rémission de ses péchés.
2a014e006e	Les entrailles de la miséricorde de notre Dieu se sont émues, et le soleil levant nous a visités d'en haut,
2a014f0081	pour éclairer ceux qui sont assis dans les ténèbres et l'ombre de la mort, et pour conduire nos pas dans le chemin de la paix.
2a01500089	Or, le petit enfant grandissait et se fortifiait en esprit; et il demeura dans les déserts jusqu'au jour de sa manifestation à Israël.
2a0201006d	En ce temps-là, on publia un édit de la part de César Auguste, ordonnant un recensement de toute la terre.
2a0202005b	Ce recensement fut le premier et eut lieu pendant que Quirinius était gouverneur de Syrie.
2a0203003c	Et tous allaient se faire enregistrer, chacun dans sa ville.
2a020400b1	Joseph aussi monta de la Galilée en Judée, de la ville de Nazareth à la ville de David, nommée Bethléhem, — parce qu'il était de la maison et de la famille de David, —
2a02050047	pour se faire enregistrer avec Marie, son épouse, qui était enceinte.
2a02060046	Pendant qu'ils étaient là, le jour où elle devait accoucher arriva.
2a02070095	Elle mit au monde son fils premier-né, l'emmaillota et le coucha dans une crèche, parce qu'il n'y avait point de place pour eux dans l'hôtellerie.
2a0208008e	Or, il y avait dans la même contrée des bergers, qui couchaient dans les champs et gardaient leurs troupeaux pendant les veilles de la nuit.
2a02090082	Un ange du Seigneur se présenta à eux; la gloire du Seigneur resplendit autour d'eux, et ils furent saisis d'une grande crainte.
2a020a0094	Alors l'ange leur dit: Ne craignez point! Car voici que je vous annonce une bonne nouvelle, qui sera pour tout le peuple la cause d'une grande joie:
2a020b0067	c'est qu'aujourd'hui, dans la ville de David, un Sauveur, qui est le Christ, le Seigneur, vous est né.
2a020c006d	Et vous le reconnaîtrez à ce signe: vous trouverez un petit enfant emmailloté et couché dans une crèche.
2a020d0060	Et tout à coup, il y eut avec l'ange une multitude de l'armée céleste, louant Dieu et disant:
2a020e005a	Gloire à Dieu au plus haut des cieux, paix sur la terre, bienveillance envers les hommes!
2a020f00cc	Après que les anges les eurent quittés pour retourner au ciel, les bergers se dirent les uns aux autres: Allons jusqu'à Bethléhem; voyons ce qui est arrivé, ce que le Seigneur nous a fait connaître.
2a0210007c	Ils s'empressèrent donc d'y aller, et ils trouvèrent Marie, Joseph, et le petit enfant qui était couché dans la crèche.
2a0211004d	Après l'avoir vu, ils publièrent ce qui leur avait été dit de cet enfant.
2a0212005d	Tous ceux qui les entendirent étaient dans l'admiration de ce que les bergers leur disaient.
2a02130047	Et Marie conservait toutes ces paroles et les repassait dans son coeur.
2a02140090	Les bergers s'en retournèrent, glorifiant et louant Dieu de tout ce qu'ils avaient entendu et vu, conformément à ce qui leur avait été dit.
2a021500c3	Quand fut arrivé le huitième jour où l'on devait circoncire l'enfant, on lui donna le nom de Jésus, nom qui lui avait été donné par l'ange avant qu'il fût conçu dans le sein de sa mère.
2a02160095	Lorsque furent achevés les jours de leur purification selon la loi de Moïse, ils portèrent l'enfant à Jérusalem, pour le présenter au Seigneur,
2a0217006d	— ainsi qu'il est écrit dans la loi du Seigneur: «Tout mâle premier-né sera consacré au Seigneur» —
2a0218006c	et pour offrir le sacrifice prescrit dans la loi du Seigneur: une paire de tourterelles ou deux pigeonneaux.
2a021900a9	Or, il y avait à Jérusalem un homme qui s'appelait Siméon. Cet homme était juste et pieux; il attendait la consolation d'Israël, et l'Esprit saint reposait sur lui.
2a021a0078	Il avait été averti divinement par le Saint-Esprit qu'il ne verrait point la mort avant d'avoir vu l'Oint du Seigneur.
2a021b00a4	Il vint donc au temple, poussé par l'Esprit; et comme les parents apportaient l'enfant Jésus, pour accomplir à son égard les prescriptions ordinaires de la loi,
2a021c002d	il le prit dans ses bras, bénit Dieu et dit:
2a021d004e	Maintenant, Seigneur, tu laisses aller ton serviteur en paix, selon ta parole;
2a021e001e	car mes yeux ont vu ton salut,
2a021f003f	que tu as préparé pour être, à la face de tous les peuples,
2a02200050	la lumière qui doit éclairer les nations et la gloire de ton peuple d'Israël.
2a02210038	Son père et sa mère admiraient ce qu'on disait de lui.
2a022200c9	Et Siméon les bénit, et dit à Marie, sa mère: Voici que cet enfant est destiné à être une cause de chute et de relèvement pour plusieurs en Israël, et un signe qui provoquera la contradiction;
2a02230077	à toi-même, une épée te transpercera l'âme. C'est ainsi que les pensées du coeur de plusieurs seront dévoilées.
2a022400b3	Il y avait aussi une prophétesse, Anne, fille de Phanuel, de la tribu d'Asser, qui était fort avancée en âge. Après avoir vécu, depuis sa virginité, sept ans avec son mari,
2a022500aa	elle était restée veuve. Elle était alors âgée de quatre-vingt-quatre ans, et ne sortait point du temple, servant Dieu nuit et jour dans les jeûnes et les prières.
2a02260094	Elle aussi, étant survenue en ce même instant, louait Dieu, et elle parlait de l'enfant à tous ceux qui attendaient la délivrance de Jérusalem.
2a02270074	Après qu'ils eurent tout accompli selon la loi du Seigneur, ils retournèrent en Galilée, à Nazareth, leur ville.
2a0228006f	Le petit enfant grandissait et se fortifiait; il était rempli de sagesse, et la grâce de Dieu était sur lui.
2a02290051	Les parents de Jésus allaient tous les ans à Jérusalem, à la fête de Pâque.
2a022a0065	Quand il eut atteint l'âge de douze ans, ils montèrent à Jérusalem, selon la coutume de la fête.
2a022b0093	Les jours de la fête étant passés, comme ils s'en retournaient, l'enfant Jésus demeura à Jérusalem, et ses parents ne s'en aperçurent point.
2a022c00a0	Pensant qu'il était avec leurs compagnons de route, ils marchèrent toute une journée, et ils le cherchaient parmi leurs parents et ceux de leur connaissance;
2a022d004f	mais, ne l'ayant pas trouvé, ils retournèrent à Jérusalem pour le chercher.
2a022e0084	Au bout de trois jours, ils le trouvèrent dans le temple, assis au milieu des docteurs, les écoutant et leur posant des questions;
2a022f0056	et tous ceux qui l'entendaient étaient ravis de son intelligence et de ses réponses.
2a023000b3	En le voyant, ils furent étonnés; et sa mère lui dit: Mon enfant, pourquoi as-tu agi de la sorte avec nous? Voici que ton père et moi nous te cherchions, étant fort en peine.
2a02310075	Et il leur dit: Pourquoi me cherchiez-vous? Ne saviez-vous pas qu'il me faut être occupé des affaires de mon Père?
2a02320030	Mais eux ne comprirent pas ce qu'il leur disait.
2a02330083	Il s'en alla ensuite avec eux et vint à Nazareth; et il leur était soumis. Sa mère conservait toutes ces paroles dans son coeur.
2a02340057	Jésus croissait en sagesse, en stature et en grâce, devant Dieu et devant les hommes.
2a030100fd	La quinzième année du règne de Tibère César, — Ponce Pilate étant gouverneur de la Judée, Hérode tétrarque de la Galilée, Philippe, son frère, tétrarque de l'Iturée et de la province de la Trachonite, et Lysanias tétrarque de l'Abylène,
2a03020081	Anne et Caïphe étant souverains sacrificateurs, — la parole de Dieu fut adressée à Jean, fils de Zacharie, dans le désert.
2a03030084	Alors Jean parcourut toute la contrée voisine du Jourdain, prêchant le baptême de la repentance, pour la rémission des péchés,
2a030400a1	ainsi qu'il est écrit dans le livre des paroles du prophète Ésaïe: «Une voix crie dans le désert: Préparez le chemin du Seigneur; aplanissez ses sentiers.
2a0305009c	Toute vallée sera comblée, toute montagne et toute colline seront abaissées; les chemins tortueux seront redressés, les chemins raboteux seront aplanis;
2a0306002c	et toute créature verra le salut de Dieu.»
2a03070084	Il disait donc à la foule qui venait pour être baptisée par lui: Race de vipères, qui vous a appris à fuir la colère à venir?
2a030800d0	Produisez donc des fruits dignes d'une vraie repentance! Et n'allez pas dire en vous-mêmes: Nous avons Abraham pour père. Car je vous dis que, de ces pierres. Dieu peut faire naître des enfants à Abraham.
2a03090081	Déjà la cognée est mise à la racine des arbres. Tout arbre qui ne produit pas de bons fruits va être coupé et jeté au feu.
2a030a0031	Alors la foule lui demanda: Que ferons-nous donc?
2a030b008c	Il leur répondit: Que celui qui a deux tuniques, en donne une à celui qui n'en a point; et que celui qui a de quoi manger agisse de même.
2a030c005d	Il vint aussi des péagers pour être baptisés; et ils lui dirent: Maître, que ferons-nous?
2a030d0046	Il leur répondit: N'exigez rien au delà de ce qui vous est ordonné.
2a030e00af	Des gens de guerre lui demandèrent aussi: Et nous, que ferons-nous? Il leur répondit: N'usez ni de violence ni de fraude envers personne; mais contentez-vous de votre solde.
2a030f0070	Comme le peuple était dans l'attente, et que tous se demandaient en leur coeur si Jean ne serait pas le Christ,
2a031000f0	Jean, prenant la parole, dit à tous: Pour moi, je vous baptise d'eau; mais il vient, celui qui est plus puissant que moi! Je ne suis pas digne de délier la courroie de ses chaussures; c'est lui qui vous baptisera d'Esprit saint et de feu.
2a031100a0	Il a son van dans sa main, il nettoiera parfaitement son aire et amassera le froment dans son grenier; mais il brûlera la paille au feu qui ne s'éteint point.
2a03120061	Il adressait encore plusieurs autres exhortations au peuple, en lui annonçant la bonne nouvelle.
2a03130090	Mais Hérode le tétrarque, étant repris par Jean au sujet d'Hérodias, femme de son frère, et au sujet de tous les crimes qu'il avait commis,
2a03140046	ajouta encore à tous les autres celui de faire mettre Jean en prison.
2a03150078	Or, comme tout le peuple se faisait baptiser, Jésus se fit baptiser, lui aussi. Pendant qu'il priait, le ciel s'ouvrit,
2a031600b8	et le Saint-Esprit descendit sur lui, sous une forme corporelle, comme une colombe; et il vint du ciel une voix qui dit: Tu es mon Fils bien-aimé, en qui j'ai mis toute mon affection!
2a03170085	Jésus avait environ trente ans, lorsqu'il commença son ministère. Il était, à ce que l'on croyait, fils de Joseph, fils d'Héli,
2a0318004f	fils de Matthat, fils de Lévi, fils de Melchi, fils de Janné, fils de Joseph,
2a0319004c	fils de Mattathias, fils d'Amos, fils de Nahum, fils d'Esli, fils de Naggé,
2a031a0051	fils de Maath, fils de Mattathias, fils de Siméin, fils de Josech, fils de Joda,
2a031b0054	fils de Joanan, fils de Rhésa, fils de Zorobabel, fils de Salathiel, fils de Néri,
2a031c0046	fils de Melchi, fils d'Addi, fils de Cosam, fils d'Elmadam, fils d'Er,
2a031d0050	fils de Jésus, fils d'Éliézer, fils de Jorim, fils de Matthat, fils de Lévi,
2a031e004e	fils de Siméon, fils de Juda, fils de Joseph, fils de Jonam, fils d'Éliakim,
2a031f0050	fils de Méléa, fils de Menna, fils de Mattatha, fils de Nathan, fils de David,
2a0320004b	fils de Jessé, fils de Jobed, fils de Booz, fils de Sala, fils de Naasson,
2a03210057	fils d'Aminadab, fils d'Admin, fils d'Arni, fils d'Esrom, fils de Pharez, fils de Juda,
2a0322004b	fils de Jacob, fils d'Isaac, fils d'Abraham, fils de Thara, fils de Nachor,
2a0323004e	fils de Séruch, fils de Ragaù, fils de Phalek, fils de Héber, fils de Sala,
2a0324004c	fils de Caïnam, fils d'Arphaxad, fils de Sem, fils de Noé, fils de Lamech,
2a03250056	fils de Mathusala, fils d'Hénoch, fils de Jared, fils de Maléléel, fils de Caïnam,
2a03260036	fils d'Énos, fils de Seth, fils d'Adam, fils de Dieu.
2a0401006f	Jésus, rempli de l'Esprit saint, revint des bords du Jourdain, et il fut conduit par l'Esprit dans le désert,
2a0402008e	où il fut tenté par le Diable pendant quarante jours. Il ne mangea rien durant ces jours-là; et, après qu'ils furent passés, il eut faim.
2a04030060	Alors le Diable lui dit: Si tu es le fils de Dieu, dis à cette pierre qu'elle devienne du pain.
2a04040050	Jésus lui répondit: Il est écrit: «L'homme ne vivra pas seulement de pain.»
2a04050052	Le Diable, l'ayant emmené, lui fit voir en un instant tous les royaumes du monde;
2a0406008c	et il lui dit: Je te donnerai toute cette puissance et la gloire de ces royaumes; car elle m'a été donnée, et je la donne à qui je veux.
2a04070045	Si donc tu te prosternes devant moi, toutes ces choses seront à toi.
2a04080075	Jésus lui répondit: Il est écrit: «Tu adoreras le Seigneur, ton Dieu, et tu ne rendras de culte qu'à lui seul.»
2a0409008e	Le Diable le conduisit à Jérusalem, et l'ayant placé sur le faîte du temple, il lui dit: Si tu es le Fils de Dieu, jette-toi d'ici en bas;
2a040a0050	car il est écrit: «Il donnera des ordres à ses anges, pour qu'ils te gardent;
2a040b005d	et ils te porteront dans leurs mains, de peur que ton pied ne heurte contre quelque pierre.»
2a040c0051	Jésus lui répondit: Il est dit: «Tu ne tenteras point le Seigneur, ton Dieu.»
2a040d0069	Et le Diable, ayant achevé de le tenter de toute manière, se retira de lui jusqu'à une autre occasion.
2a040e007b	Jésus s'en retourna en Galilée, avec la puissance de l'Esprit, et sa renommée se répandit dans tout le pays d'alentour.
2a040f0043	Il enseignait dans les synagogues, et il était glorifié par tous.
2a04100088	Il vint à Nazareth, où il avait été élevé. Selon sa coutume, il entra le jour du sabbat dans la synagogue et il se leva pour lire.
2a04110074	On lui présenta le livre du prophète Ésaïe; et, ayant ouvert le livre, il trouva l'endroit où il était écrit:
2a0412006b	«L'Esprit du Seigneur est sur moi; c'est pourquoi il m'a oint pour annoncer la bonne nouvelle aux pauvres.
2a041300c8	Il m'a envoyé pour publier la liberté aux captifs et le recouvrement de la vue aux aveugles, pour renvoyer libres ceux qui sont dans l'oppression, et pour proclamer l'année favorable du Seigneur.»
2a0414007d	Puis il ferma le livre, le rendit au serviteur, et il s'assit; et les yeux de tous dans la synagogue étaient fixés sur lui.
2a0415006e	Alors il se mit à leur dire: Aujourd'hui est accomplie cette parole de l'Écriture que vous venez d'entendre.
2a04160099	Tous lui rendaient témoignage; ils admiraient les paroles pleines de grâce qui sortaient de sa bouche, et ils disaient: N'est-ce pas le fils de Joseph?
2a041700c0	Il leur dit: Sans doute, vous me citerez ce proverbe: Médecin, guéris-toi toi-même; tout ce que nous avons entendu dire que tu as fait à Capernaüm, fais-le également ici, dans ta patrie.
2a0418005b	Et il ajouta: En vérité, je vous le dis, aucun prophète n'est bien reçu dans sa patrie.
2a041900cd	Oui, en vérité, je vous le déclare, il y avait plusieurs veuves en Israël au temps d'Élie, lorsque le ciel fut fermé pendant trois ans et six mois, et qu'il y eut une grande famine dans tout le pays.
2a041a008c	Cependant, Élie ne fut envoyé chez aucune d'elles; mais il fut envoyé à Sarepta, dans le pays de Sidon, chez une femme qui était veuve.
2a041b00a2	Il y avait aussi plusieurs lépreux en Israël, au temps d'Elisée, le prophète. Toutefois, aucun d'eux ne fut guéri; mais Naaman le fut, lui qui était Syrien.
2a041c004c	Tous, dans la synagogue, furent remplis de colère, en entendant ces choses.
2a041d00a6	Et, s'étant levés, ils l'entraînèrent hors de la ville et le menèrent jusqu'au sommet de la montagne sur laquelle leur ville était bâtie, pour le jeter en bas.
2a041e002d	Mais lui, passant au milieu d'eux, s'en alla.
2a041f0054	Il descendit à Capernaüm, ville de Galilée, et il y enseignait le jour du sabbat.
2a0420004a	Tous étaient frappés de son enseignement; car il parlait avec autorité.
2a04210074	Or, il se trouvait dans la synagogue un homme possédé de l'esprit d'un démon impur, et il s'écria à haute voix:
2a04220078	Ah! qu'y a-t-il entre nous et toi, Jésus de Nazareth? Es-tu venu pour nous perdre? Je sais qui tu es: le Saint de Dieu!
2a042300b8	Mais Jésus le reprit sévèrement et lui dit: Tais-toi, et sors de cet homme. Alors le démon, après l'avoir jeté au milieu de l'assemblée, sortit de lui, sans lui faire aucun mal.
2a042400b0	Ils furent tous dans l'étonnement, et ils disaient entre eux: Quelle est donc cette parole? Il commande avec autorité et avec puissance aux esprits impurs, et ils s'enfuient!
2a04250040	Et sa renommée se répandit dans toute la région environnante.
2a04260090	Jésus, sortant de la synagogue, entra dans la maison de Simon. La belle-mère de Simon avait une fièvre violente, et on le pria de la guérir.
2a0427007e	S'étant penché sur elle, il commanda à la fièvre, et la fièvre la quitta. Aussitôt elle se leva et se mit à les servir.
2a042800a3	Quand le soleil fut couché, tous ceux qui avaient des malades atteints de divers maux les lui amenèrent; et il les guérit en imposant les mains à chacun d'eux.
2a042900c7	Les démons sortaient aussi de plusieurs, en criant: Tu es le Christ, le Fils de Dieu! Mais il les reprenait sévèrement, et il ne leur permettait pas de dire qu'ils savaient qu'il était le Christ.
2a042a00c5	Dès que le jour parut, il sortit et alla dans un lieu écarté; et une foule de gens se mirent à sa recherche. Ils parvinrent jusqu'à lui, et ils le retenaient, ne voulant pas le laisser partir.
2a042b0092	Mais il leur dit: Il faut que j'annonce aussi aux autres villes la bonne nouvelle du royaume de Dieu; car, c'est pour cela que j'ai été envoyé.
2a042c0033	Et il prêchait dans les synagogues de la Galilée.
2a0501007b	Comme Jésus était sur le bord du lac de Génézareth, la foule se pressait autour de lui pour entendre la parole de Dieu.
2a0502006c	Il vit deux barques arrêtées près du rivage; les pêcheurs en étaient descendus pour laver leurs filets.
2a0503009d	Il monta dans l'une de ces barques, qui appartenait à Simon, et il le pria de s'éloigner un peu du bord; puis il s'assit, et de là il enseignait la foule.
2a05040067	Quand il eut cessé de parler, il dit à Simon: Avance en pleine eau, et jetez vos filets pour pêcher.
2a0505007f	Simon lui répondit: Maître, nous avons travaillé toute la nuit sans rien prendre; mais, sur ta parole, je jetterai le filet.
2a05060059	L'ayant jeté, ils prirent une si grande quantité de poissons que leur filet se rompait.
2a050700b7	Alors ils firent signe à leurs compagnons, qui étaient dans l'autre barque, de venir les aider; ceux-ci vinrent, et ils remplirent les deux barques, tellement qu'elles enfonçaient.
2a05080085	Simon Pierre, ayant vu cela, se jeta aux genoux de Jésus, et il lui dit: Seigneur, retire-toi de moi; car je suis un homme pécheur.
2a0509009e	En effet, la frayeur l'avait saisi, ainsi que tous ceux qui étaient avec lui, à cause de la pêche qu'ils avaient faite et des poissons qu'ils avaient pris.
2a050a00b6	Il en était de même de Jacques et de Jean, fils de Zébédée, qui étaient compagnons de Simon. Alors Jésus dit à Simon: Ne crains point; désormais, tu seras pêcheur d'hommes.
2a050b0056	Puis, après avoir ramené les barques à terre, ils quittèrent tout et le suivirent.
2a050c00cc	Comme Jésus était dans une ville, un homme tout couvert de lèpre, l'ayant vu, se jeta le visage contre terre et lui adressa, tout suppliant, ces paroles: Seigneur, si tu le veux, tu peux me rendre net!
2a050d0067	Jésus étendit la main, le toucha et dit: Je le veux, sois net! Au même instant, la lèpre le quitta.
2a050e00c7	Jésus lui défendit de le dire à personne. Mais va, — lui dit-il, — montre-toi au sacrificateur, et offre pour ta purification ce que Moïse a prescrit, afin que cela leur serve de témoignage.
2a050f008a	Sa renommée se répandait de plus en plus, et une foule de gens se rassemblaient pour l'entendre et pour être guéris de leurs maladies.
2a05100035	Mais lui se retirait dans les déserts, et il priait.
2a051100f1	Un jour que Jésus enseignait, des pharisiens et des docteurs de la loi, venus de tous les villages de la Galilée, de la Judée et de Jérusalem, s'étaient assis près de lui; et la puissance du Seigneur lui faisait opérer des guérisons.
2a05120087	Alors il survint des gens qui portaient sur un lit un paralytique, et ils cherchaient à le faire entrer et à le mettre devant Jésus.
2a051300d0	Comme ils ne savaient par où le faire passer, à cause de la foule, ils montèrent sur le toit; et, ayant enlevé les tuiles, ils le descendirent avec son petit lit, au milieu de l'assemblée, devant Jésus.
2a05140046	Voyant leur foi, Jésus dit: Mon ami, tes péchés te sont pardonnés!
2a051500a7	Alors les scribes et les pharisiens se mirent à raisonner et à dire: Quel est celui-ci, qui profère des blasphèmes? Qui peut pardonner les péchés, que Dieu seul?
2a05160073	Mais Jésus, connaissant leurs pensées, prit la parole et leur dit: Quel raisonnement faites-vous dans vos coeurs?
2a05170064	Lequel est le plus aisé, de dire: Tes péchés te sont pardonnés; ou de dire: Lève-toi et marche?
2a051800c7	Or, afin que vous sachiez que le Fils de l'homme a sur la terre le pouvoir de pardonner les péchés: Je te l'ordonne, — dit-il au paralytique, — lève-toi, emporte ton lit, et va dans ta maison.
2a051900a3	Et à l'instant, le paralytique se leva en leur présence. Il emporta le lit sur lequel il avait été couché et s'en alla dans sa maison, donnant gloire à Dieu.
2a051a009b	Tous furent transportés d'enthousiasme; ils glorifiaient Dieu, et, remplis de crainte, ils disaient: Nous avons vu aujourd'hui des choses extraordinaires!
2a051b0070	Après cela, Jésus sortit; et il vit un péager, nommé Lévi, assis au bureau du péage. Il lui dit: Suis-moi!
2a051c002e	Et Lévi, quittant tout, se leva et le suivit.
2a051d0080	Lévi lui donna un grand festin dans sa maison, et un grand nombre de péagers et d'autres personnes étaient à table avec eux.
2a051e0090	Les pharisiens et leurs scribes murmuraient et disaient à ses disciples: Pourquoi mangez-vous et buvez-vous avec des péagers et des pécheurs?
2a051f008b	Jésus, prenant la parole, leur dit: Ce ne sont pas ceux qui sont en bonne santé qui ont besoin de médecin, mais ceux qui se portent mal.
2a0520004c	Je ne suis pas venu appeler à la repentance les justes, mais les pécheurs.
2a05210098	Ils lui dirent: Les disciples de Jean jeûnent souvent et font des prières, de même que ceux des pharisiens, au lieu que les tiens mangent et boivent.
2a05220065	Il leur répondit: Pouvez-vous faire jeûner les amis de l'époux, pendant que l'époux est avec eux?
2a0523005a	Les jours viendront où l'époux leur sera ôté; alors ils jeûneront dans ces jours-là!
2a052400e0	Il leur dit encore cette parabole: Personne n'enlève une pièce à un vêtement neuf pour la mettre à un vieux vêtement. Autrement, on déchire le vêtement neuf sans que la pièce neuve s'accorde avec le vêtement vieux.
2a0525009d	De même, personne ne met du vin nouveau dans de vieilles outres; autrement, le vin nouveau rompra les outres; il se répandra, et les outres seront perdues.
2a0526003a	Mais le vin nouveau doit être mis dans des outres neuves.
2a05270072	De même aussi, celui qui boit du vin vieux ne demande pas du vin nouveau; car il dit: C'est le vieux qui est bon.
2a0601008f	Un jour de sabbat, Jésus passant par des blés, ses disciples arrachaient des épis, les froissaient entre leurs mains, et ils les mangeaient.
2a06020073	Quelques-uns des pharisiens leur dirent: Pourquoi faites-vous ce qu'il n'est pas permis de faire le jour du sabbat?
2a06030085	Jésus, prenant la parole, leur dit: N'avez-vous donc pas lu ce que fit David, lorsqu'il eut faim, lui et ceux qui étaient avec lui?
2a060400bf	Comment il entra dans la maison de Dieu, prit les pains de proposition, en mangea et en donna à ceux qui étaient avec lui, bien qu'il ne soit permis qu'aux seuls sacrificateurs d'en manger?
2a0605003f	Et il leur dit: Le Fils de l'homme est maître même du sabbat.
2a06060093	Un autre jour de sabbat, Jésus entra dans la synagogue, et il se mit à enseigner. Il y avait là un homme dont la main droite était desséchée.
2a06070094	Or, les scribes et les pharisiens observaient Jésus pour voir s'il ferait une guérison le jour du sabbat, afin de trouver l'occasion de l'accuser.
2a060800b4	Mais comme il connaissait leurs pensées, il dit à l'homme qui avait la main desséchée: Lève-toi, et tiens-toi debout au milieu de nous! Et lui, s'étant levé, se tint debout.
2a06090085	Jésus leur dit: Est-il permis, le jour du sabbat, de faire du bien ou de faire du mal, de sauver une personne ou de la faire périr?
2a060a0092	Puis, ayant porté ses regards sur tous ceux qui étaient autour de lui, il dit à l'homme: Étends ta main. Il le fit, et sa main redevint saine.
2a060b006b	Mais eux furent remplis de fureur; et ils s'entretenaient ensemble de ce qu'ils pourraient faire à Jésus.
2a060c0061	En ce temps-là, Jésus alla sur la montagne pour prier; et il passa toute la nuit à prier Dieu.
2a060d006c	Quand le jour fut venu, il appela ses disciples, et il en choisit douze auxquels il donna le nom d'apôtres:
2a060e005c	Simon, qu'il nomma Pierre, et André, son frère; Jacques et Jean; Philippe et Barthélémy;
2a060f0047	Matthieu et Thomas; Jacques, fils d'Alphée, et Simon, appelé Zélote;
2a0610003f	Jude, fils de Jacques, et Judas Iscariote, celui qui le trahit.
2a0611012f	Ensuite, étant descendu avec eux, il s'arrêta sur un plateau. Là, se trouvaient un grand nombre de ses disciples et une grande multitude de gens, qui étaient venus de toute la Judée et de Jérusalem, ainsi que du littoral de Tyr et de Sidon, pour l'entendre et pour être guéris de leurs maladies.
2a0612004c	Ceux qui étaient tourmentés par des esprits impurs étaient aussi guéris.
2a0613006a	Toute la multitude cherchait à le toucher, parce qu'il sortait de lui une force qui les guérissait tous.
2a0614007f	Alors levant les yeux sur ses disciples, Jésus dit: Heureux, vous qui êtes pauvres, parce que le royaume de Dieu est à vous!
2a06150091	Heureux, vous qui avez faim maintenant, parce que vous serez rassasiés! Heureux, vous qui pleurez maintenant, parce que vous serez dans la joie!
2a061600b3	Vous serez heureux, lorsque les hommes vous haïront, qu'ils vous chasseront, qu'ils vous diront des outrages et rejetteront votre, nom comme infâme, à cause du Fils de l'homme!
2a061700aa	Réjouissez-vous en ce jour-là, et tressaillez de joie, parce que votre récompense sera grande dans le ciel; car c'est ainsi que leurs pères traitaient les prophètes.
2a06180051	Mais malheur à vous, riches, parce que vous avez déjà reçu votre consolation!
2a061900a7	Malheur à vous qui êtes rassasiés maintenant, parce que vous aurez faim! Malheur à vous qui riez maintenant, parce que vous serez dans le deuil et dans les larmes!
2a061a0085	Malheur à vous, lorsque tous les hommes diront du bien de vous; car leurs pères faisaient de même à l'égard des faux prophètes!
2a061b0067	Mais je vous dis, à vous qui m'écoutez: Aimez vos ennemis, faites du bien à ceux qui vous haïssent,
2a061c0047	bénissez ceux qui vous maudissent, priez pour ceux qui vous outragent.
2a061d0092	A celui qui te frappe sur une joue, présente aussi l'autre; et si quelqu'un t'enlève ton manteau, ne l'empêche pas de prendre aussi ta tunique.
2a061e0064	Donne à tout homme qui te demande, et si quelqu'un t'enlève ce qui est à toi, ne le réclame pas.
2a061f004e	Ce que vous voulez que les hommes vous fassent, faites-le-leur aussi de même.
2a06200071	Si vous aimez ceux qui vous aiment, quel gré vous en saura-t-on? Les pécheurs aussi aiment ceux qui les aiment!
2a06210079	Et si vous faites du bien à ceux qui vous font du bien, quel gré vous en saura-t-on? Les pécheurs font la même chose.
2a062200a1	Et si vous prêtez à ceux de qui vous espérez recevoir, quel gré vous en saura-t-on? Les pécheurs aussi prêtent aux pécheurs, afin de recevoir la pareille!
2a062300d2	Mais vous, aimez vos ennemis; faites du bien, et prêtez sans rien espérer en retour. Votre récompense sera grande, et vous serez les fils du Très-Haut, parce qu'il est bon pour les ingrats et les méchants.
2a0624003d	Soyez miséricordieux, comme votre Père est miséricordieux.
2a06250083	Ne jugez point, et vous ne serez pas jugés; ne condamnez point, et vous ne serez pas condamnés; pardonnez, et on vous pardonnera.
2a062600ae	Donnez, et on vous donnera: on versera dans votre sein une bonne mesure, pressée, secouée, débordante; car on se servira pour vous de la mesure avec laquelle vous mesurez.
2a06270079	Il leur dit aussi une parabole: Un aveugle peut-il conduire un aveugle? Ne tomberont-ils pas tous les deux dans la fosse?
2a06280063	Le disciple n'est pas au-dessus de son maître; mais tout disciple accompli sera comme son maître.
2a06290078	Pourquoi regardes-tu la paille qui est dans l'oeil de ton frère, et n'aperçois-tu pas la poutre qui est dans ton oeil?
2a062a0113	Comment peux-tu dire à ton frère: Frère, laisse-moi ôter la paille qui est dans ton oeil, — toi qui ne vois pas la poutre qui est dans le tien? Hypocrite, ôte premièrement la poutre de ton oeil, et alors tu verras à ôter la paille qui est dans l'oeil de ton frère.
