0100000019	ማዢንቲ ማፃኣፔ
12251700ab	ፆኦሲ ዛጊንታኒ ዳንዳዓያቱዋሴ፤ ቢታንታ ዒዛኮ ዼኤፒኬ፤ ዒዚ ፒዜ ዎጋያኬ፥ ዒዚ ዖናኣ ሄርቂ ዎይሡዋኣሴ።
122518006c	ፔ ማሊፆና ‹ኑ ዔራኬ› ጋዓዞንሢ ዒ ቦሃሢሮ ዓሲ ቢያ ዒዛ ዒጊጫኔ።»
122601005c	ናንጊና ናንጋ ጎዳ ዓልጎ ዢባሬና ማዒ ዒዮቤም ሂዚ ጌዔኔ፦
1226020072	«ሃይ ዔራቶባኣያ ጌስቲንታ ጌኤሲና ታኣኮ ዞሮ ሼሌዒሲ ዛጋሢ ዒ ዖናዳይ?
122603007e	ሂንዳ ታ ቤርታ ዓቲንቄ ማዒ ቱኡቲ ዔቄ፤ ታ ኔና ዖኦጫንዳኔ፥ ታኣም ማሂ ኬኤዜ።
1226040099	ጎዖንቴ ታኣኒ ሳዖ ማዣኣና ኔኤኒ ዒኢካ ዓኣ? ኔኤኒ ዔራያ ሃሣ ጶቂሣያ ማዔቴ ሂንዳ ታኣም ኬኤዜ።
12260500a3	ሳዓ ዬማዺ ማዖንጎ ጌዔሢ ዖናዳይ? ዒዞኮ ዳልጉሞና ዖዶሱሞና ዔራኒ ዋርቆ ሱዞ ዓርቄሢ ዖናታቴያ ኔ ዔራ?
1226060080	ሳዖኮ ቱርቱሮ ዶዲሺ ዓርቄ ዎልቃ ዓይጌንዴዳይ? ሳዖ ማዣኒ ቦኦኮልቄሢያ ዖናዳይ?
122607007a	ካሪፆ ዦኦጋሢ ፔቱሞና ዓይናዻኣና ኪኢታንቻ ቢያ ዒላሻኣና ኔኤኒ ዓንካዳይ?»
1226080060	«ባዛ ሳዖ ዴማፓ ዹኡቂ ኬስኬ ዎዶና ዑርቴ ካሮ ዎዼሢ ዖናዳይ?
1226090058	ባዞ ሻኣሮና ካንቄሢ ሻኔ ዹሞናኣ ካንቂ ባይዜሢ ታናኬ።
12260a006c	ባዛ ማዓንዳ ዛጶ ኮሼሢ ካራና ቤሲና ዓኣያ ማዓንዳጉዲ ማሄሢ ታናኬ።
12260b009d	ሃይማ ሄላንዳኣና ሙኬ! ሃይማፓ ዑሣ ዓኣዺፖ! ኔኤኮ ዼኤፖ ጉዳሢ ዢባራ ሃይማካ ዔቆም! ጌዔሢ ታናኬ።
12260c00a6	ዔዞ ዒዮቤ! ኔ ናንጌ ዎዶይዳ ቢያ ፔቴታዖ ሳዓ ካራንዳጉዲ ዓይሢ ቤቂያ? ሳዖ ካሪፆኮ ጌኤሽካ ቤዞ ኔ ጌሢያ?
12260d0097	ዬይ ካሪፃ ሳዖም ፖዓንዳጉዲ ፑርቶ ዓሶዋ ዓኣሺንቴ ቤዛፓ ፔጋሲ ዻዋንዳጉዲ ኔኤኒ ዓይሢ ቤቂያ?
12260e00d7	ሳዖ ካሪፆ ፖዓ ጌሜሮና ዶኦጮና ጳንጪንቴ ዓፒላጉዲ ማዒ ጴዻንዳጉዲ ማሃኔ። ዢኢጬ ዓጪና ቆኦቂ ኮሾና ማላታጉዲ ማሂያኣ ዼኤፒሲ ዻዋኔ።
12260f0084	ፑርቶ ዓሳ ፖዒ ዴንቁዋጉዲ ላኣጊንቴኔ፤ ዋይዞ ዒፂሲ ጌኤታሳ ቃሳ ዔያቶኮ ሜቄኔ።»
122610007a	«ሊካ ባዞ ዋኣፆ ዔቶ ኔኤኒ ኬዲያ? ዼኤፖ ዋኣፆኮ ዴማ ዓኣ ሳዓ ኔ ሃንቲ ቤቂያ?
122611006a	ሃይቄ ዓሶ ዓጮ ማዔ ዹሞ ዓጮኮ ጌሎ ካራ ኔኤም ፔጋዺ ጴዼም ኔ ዛጊያ?
1226120084	ሳዓ ዎዚዒ ዼኤፒታቴያ ኔ ዔራኒ ዳንዳዓ? ሂንዳ ዬያ ቢያ ዔራያ ማዔቴ ታኣም ኬኤዜ።»
1226130061	«ፖዖ ባንሢ ዔኪ ዓኣዻ ጎይፃ ሃሣ ዹማኣ ዓንካ ናንጋቴ ኔ ዔራ?
1226140096	ፖዖንታ ዹሞንታ ፔ ቤዞ ቤዞ ዔኪ ኔ ዓኣዻኒ ዳንዳዓ? ዔያቶኮ ናንጎ ቤዞ ዔኪ ዓኣዻ ጎይፆ ኔ ዔራ?
1226150091	ሳዓ ማዢንቴ ዎዶና ኔኤኒ ሾይንቲ ዓኣሢሮ ጎኔኬ ኔኤኒ ዔራኔ! ሚርጌ ሌዔያ ኔኤኒ ናንጌያኬ!»
122616006f	«ሻጮ ጌሦ ማኣሮ ኔኤኒ ጌሊያ? ጊንሣ ሃሣ ቡኩሲ ጌሦና ሻጮ ኔኤኒ ዛጊያ?
122617004f	ዬያ ሻጮ ዖልዚ ዖልታኒ ሜቶ ዎዴም ታኣኒ ጌሤያኬ።
1226180087	ፖዒ ዳኪንታ ቤዛ ዎካፓዳይ? ሃሣ ጊንሣ ዖይዺ ዢባሬ ሳዖ ባንሢ ዳኪንታሢ ዓንካፓዳይ?»
1226190086	«ዒሮም ኬዶንዶ ጎይፆ ጊኢጊሼሢ ጉጉንፆና ዎላ ዓኣ ዢኢፖ ዒሮም ጎይፆ ኮሼሢ ዖናዳይ?
12261a0054	ዬያጉዲ ዖኦኒያባኣ ሳዖይዳ ዓሲ ናንጉዋ ዳውሎ ቦኦላ
12261b008b	ዒርዚ ዋርቂሻሢ ዖናዳይ? ካዮና ጉሮ ሳዖና ሎጪ ሳዓ ማኣቲ ባቃልሳንዳጉዲ ማሃሢ ዖናዳይ?
12261c0034	ዒሮንታ ዖልኮንታ ማዤሢ ዖናዳይ?
12261d0042	ዼኤፖ ሻጮንታ ዻኮንታ ማዢ ኬሳሢ ዖናዳይ?
12261e006d	ጪኢዣ ዋኣፆ ሹቺጉዲ ዶዲሻኔ፤ ዼኤፖ ዋኣፆኮ ዴሞ ሻቺጉዲ ዶዲሻኔ።»
12261f0095	«ፑንጫሮ ዦኦጎ ፔቴይዳ ኔ ቱካኒ ዳንዳዓ? ዛኣፖ ዦኦጋሢያ ጋሢንቲ ዓኣ ሱዞ ዱኡዛኒ ኔ ዳንዳዓ?
1226200095	ዦኦጋሢ ቢያ ፔ ዎዶና ዎዶና ኔ ኬሳኒ ዳንዳዓ? ዦኦጎኮ ዓኒና ማቾና ዎላ ኔ ዔኪ ዓኣዻኒ ዳንዳዓ?
122621009a	ጫሪንጫ ዎዚጉዴ ዳምቤና ዎርቃያታቴ ኔ ዔራ? ዬይ ዳምባ ሳዖይዳ ማዺንታንዳጉዲ ማሃኒ ኔ ዳንዳዓ?»
1226220067	«ሚርጌ ዒርዚ ኔኤም ዋርቂሳንዳጉዲ ሻኣሮ ኔኤኒ ዓይሣኒ ዳንዳዓ?
1226230075	ዜኤሊንፃ ኔ ዓይሥሢና ዜኤሊንሣ? ዔያታ፦ ‹ሃይሾ ኑ ሙኬኔ› ኔ ኮይላ ጋዓ?
1226240095	ዒሮ ማቻ ዒርዚ ዋርቃኒ ጋዓኣና ዖኦላንዳጉዲና ኮይዳኣ ቂኢቃንዳጉዲ ዔያቶም ኬኤዛሢ ዖናዳይ?
12262500c7	ፔ ዔራቶና ሻኣሬ ፓይዳኒ ዳንዳዓይ ዖናዳይ? ኩሊንቴ ዓጫ ዎዒ ቶርጴ ማዓንዳጉዲ ዴዔ ቤዞ ጫሪንጫፓ ዋኣፆ ሊካ ላኣላሢ ዖናዳይ?
1226270091	ካዮይዳ ካቲ ላሂ ዓኣንቴ ዒንዴ ዞቢም ኬሞ ኔኤኒ ኬማ? ዒዞኮ ናይዼ ናኣቶ ሙኡዛኒ ኔ ዳንዳዓ?
122628005f	ዔያታ ዴኖ ቆኦፖይዳ ካፒ ዴዓኔ፤ ዴኤሎ ካዮ ባኣካኣ ላሃኔ።
1226290090	ናኣታ ዒዞኮ ሙኡዚ ባይዚ ሜታዺ ታ ባንሢ ዔያታ ዒላታኣና ቁራኬሎም ሙኡዚ ዒንጋሢ ዖናዳይ?»
1227010056	«ሹኡጌ ሾዓ ዎዴ ኔ ዔራ? ዎሻ ባኒ ሾዓንቴ ኔ ዛጊ ቤቂያ?
122702005b	ዎዚጉዴ ዎዴ ዒዛ ካኣሽኪ ዴዓቴ ሃሣ ዓይዴ ሾዓቴያ ኔ ዔራ?
122703004a	ጉምዓቲ ባኒ ናዖ ዒዛ ሾዓሢ ዓይዲታቴያ ኔ ዔራ?
1227040089	ናኣታ ዒዞኮ ካያ ዲጪ ዶዳኔ፤ ኬስኪ ዓኣዼስካፓ ላሚ ጊንሣ ፔ ዒንዶ ባንሢ ማዑዋኣሴ።»
1227050082	«ሚርዳሢ ፔ ሼኔጉዴያ ናንጋንዳጉዲ ማሄሢ ዖናዳይ? ቱኡዛፓ ዔያቶ ቡሌሢያ ዖናዳይ?
1227060092	ዓሳ ናንጉዋ ዳውሎ ሄንቆ ቤሲ ማሂ ታ ዔያቶም ዒንጌኔ፤ ሶኦጋ ዓኣ ቦኦላ ታ ዔያቶ ናንጊሼኔ።
1227070097	ዣላ ዑኡሲባኣ ካታማፓ ሃኪ ዔያታ ናንጋኔ፤ ጊንፃ ዔቂ ዒላቲ ዒላቲ ዒሻ ዓሲ ዔያታ ናሽኩዋኣሴ።
122708006d	ዔያታ ዹኮይዳ ሄንቃኔ፤ ዒኢካ ዔያታ ሄንቃንዳ ዓኣዔ ማኣቲ ኮዓኔ።»
122709008e	«ካዮይዳ ናንጋ ሜኤኒ ኔና ማኣዲ ዔኤቢ ማዻያ ማዓንዳ? ኔኤኮ ባርቶ ጋራ ዎርቃኒያ ዳንዳዓ?
12270a0060	ሜኤኒ ኔኤኒ ዋኣፄም ካዶ ጎቺ ጎሽካንዳጉዲ ኔ ማሃኒ ዳንዳዓ?
12270b006c	ዒዛኮ ዼኤፖ ዶዱሞሮ ኔ ዒዛ ጉሙርቃ? ዴኤፆ ማዾ ዒዛም ኔኤኒ ሃሻንዳ?
12270c007d	ሃኣኮ ኔኤም ዒ ጮኦራንዳያና ሺርኮ ቆይዶ ዔኪ ኔኤም ሙካንዳኔ ጌይ ኔ ጉሙርቃ?»
12270d0073	«ቱኡቴ ፔኤኮ ጋኣዞ ዑኬና ዔቂሳኔ፤ ጋዓንቴ ዒዛ ቦኦኮጉዲ ባራኑዋኣሴ።
12270e0068	ቱኡቴ ጱኡላ ሳዓይዳ ጱኡላኔ፤ ሳዖ ዴማ ዴዒ ዖይዻንዳጉዲ ጌሣኔ።
12270f009c	‹ዒኢና ዓኣዻ ባኣዚ ቶኪና ሄርቂ ዎዻንዳኔ፤ ካይዚ ቦዖዋ ሄርቂ ጋኣጫንዳኔ› ጌይ ዒዛ ማሉዋኣሴ።
12271000a1	ናኣታ ዒዞሮቱዋኣያጉዲ ሚጪንቱዋኣያ ዒዛ ማዓኔ፤ ላቢፃ ዒዞኮ ጉሪ ዓቴቴያ ዬይ ዒዞኮ ዔኤቢቱዋኣሴ።
1227110055	ዬያይዲ ዔራቶ ዒዞ ላኣጌሢና ዔኤያ ዒዞ ማሄሢ ታናኬ።
12271200a7	ዒዛ ዔቂ ጳሺ ጳሽካ ዎዶና ጋዓንቴ ፓሮንታ ፓራሢ ቶጋ ዓሶንታ ሄሌሎ ዓርቃኒ ማሌቴ ዒዛ ዔያቶ ሚሚኢጫኔ።»
1227130076	«ዔዞ ዒዮቤ! ፓራሢም ዎልቆ ዒንጌሢ ዖዶዞ ጋኣሳሢና ዔያቶ ፓልሚሴሢ ኔናዳ?
1227140079	ዓቢሢጉዲ ኮኦሚ ኮኦሚ ኩኡኪ ጫኣጊፆና ዓሶ ዔያታ ዲቃሣንዳጉዲ ማሃሢ ኔናዳ?
122715006f	ፓራሢ ዖሎ ቤዞ ቶጊ ዓኣዾዋኣና ፔኤኮ ዎልቆ ጉሙርቂ ካኣናዺ ታኣካኔ።
12271600d9	ዒጊቹሞ ጎዖ ባኣዚ ፔቴታዖ ዔያታ ዔሩዋኣሴ፤ ዓይጎ ባኣዚያ ዔያቶ ዲቃሡዋኣሴ፤ ዔያቶም ጬንቻ ዓፓሮ ቱጎናቴያ ጊንሢም ዔያታ ማዑዋኣሴ።
122717009e	ዔያቶ ቶጊ ዓኣ ዖሎ ዓሳ ዓርቄ ዓንጋማ ዓቦይዳ ፖዒ ፖዒ ዎላ ካኣሚያ ዹይንቲ ዖኦላንቴ ዋይዚንታኔ።
1227180078	ዲንካሢ ዋርቂንታኣና ዔያቶ ዎዛሳዛ ጫርሹሞና ሃሣ ዻጋዺ ዖሎ ቤዞ ዡኡዣኔ።
1227190113	ዲንካሢ ዋርቂንታኣና ዋርቂንታኣና ዎዛና ዔያታ ዖኦላኔ፤ ሃኬ ዓኣዖ ዼሄና ዔያታ ዖሎ ዔራኔ፤ ዖሎ ዓሶ ዓይሣ ዓሳ ዓይሣ ዓይሢፆና ዖሎ ዓሶኮ ሄርሺንቶ ጌኤዞ ዔያታ ዋይዛኔ።
12271a0078	ጎኔና ፂላ ባራናሢ ጋኣዞ ፔኤኮ ዔቂሲ ዾኦሎ ዛሎ ባንሢ ባራናሢ ኔ ዔራቶናዳ?
12271b006e	ኮኦኬ ሌካ ኬስኪ ባራናሢና ዼጌ ቤሲዳ ፔኤኮ ማኣሮ ማዣሢ ኔ ዓይሤምዳ?
12271c00b2	ኮኦኬ ፑኡፒ ሹቺ ባኣካ ናንጋኔ፤ ዒኢካ ማኣሮዋ ፔኤኮ ማዣኔ። ዬይ ፑኡፖ ሹጫ ዔኤቢዳፓ ዲርቂ ዒዛ ቃዛያ ማዓኔ።
12271d0081	ዒኢካ ዓኣዖ ዒ ዓርቂ ዔካንዳ ባኣዚ ዛጋኔ፤ ዓኣፓ ዒዛኮ ሃኬ ዓኣ ባኣዚ ዴንቃኔ።
12271e0088	ኮኦኬ ዬያይዲ ሃይቄ ባኣዚ ኮይላ ቡካኔ፤ ዔያቶኮ ናኣታኣ ዬያ ባኮኮ ሱጉፆ ዑሽካኔ።»
1228010041	ሄሊሳዖ ሃሣ ናንጊና ናንጋ ጎዳ ዒዮቤም፦
12280200f4	«ዔዞ ዒዮቤ! ሂንዳ ቢያ ባኮ ዳንዳዓ ፆኦዛሢ፥ ታኣና ዓሲ ማርሚ ላሣንዳያ ኔኤም ማላ? ታና፥ ፆኦሲና ዎላ ማርማሢ ኔናታሢሮ ሂንዳ ማሂ ታኣም ኬኤዜ» ጌዔኔ።
1228030016	ዬካፓ ዒዮቤ፦
12280400e8	«ናንጊና ናንጋ ጎዳሢዮ! ታኣኒ ፓሡዋያ ላኣፓ ዓሲኬ፤ ሃካፓ ሴካ ታ ዻንጎ ታ ኩጮና ታ ዓርቂ ዚቲ ጋዓንዳኣፓዓቴም ማሂ ታ ኔኤም ኬኤዛ ባኣዚ ባኣሴ።
122805007c	ፔቴና ሃሣ ጊንሣ ላሚያኣ ታ ጌስቴኔ፤ ሃካፓ ሴካ ፔቴታዖ ታ ጌስታዓኬ» ጌዔኔ።
122806005c	ናንጊና ናንጋ ጎዳ ዓልጎ ዢባሬና ማዒ ዒዮቤም ሂዚ ጌዔኔ፦
1228070082	«ዔቂጋፓ ኬርኖ ኔኤኮ ዓቲንቄ ማይ ቱኡቴ፤ ታ ኔና ዖኦጫንዳኔ፤ ታኣም ማሂ ኬኤዜ።
122808006f	ታና ኔኤኒ ዻቢንቲ ዎጋያ ማሂ ጌስቲ ጌስቲ ኔና ኔኤኒ ጌኤሺ ማሃኒ ማላ?
1228090085	ዓካሪ ዎልቃ ኔኤኮ ታ ዎልቆጉዴያ ዶዲዳ? ሃሣ ዑኡዛ ኔኤኮ ታ ዑኡዞጉዴያ ዎልቃዻያዳ?
12280a0073	ያዺ ማዔያታቴ ኔ ቶኦኮ ዒጊቻያ ማሂ ቦንቺሴ፤ ቦንቾና ዼኤፑሞና ኔ ዔኬ።
12280b0069	ዖቶርቃ ዓሶ ዛጊ ዔያቶ ቦርሲሴ፤ ኔኤኮ ዻጎዋ ዔያቶ ዑፃ ጮኦሽኬ።
12280c0074	ቢያሢ ኮሺ ዛጊ ዔያቶ ቦርሲሴ፤ ፑርቶ ዓሶ ዔያታ ዓኣ ቤዛ ዓኣንቴ ባይዜ።
12280d0042	ዓጪ ዔያቶ ዑፃ ማሂ ቢያሢ ፔቴይዳ ዱኡኬ።
12280e0072	ዬካፓ ታኣኒ ታ ዛሎና ኔኤኒ ኔ ዎልቄና ዖሊ ባሻያ ማዔሢ ማርካዻንዳኔ።»
12280f0075	«ታኣኒ ኔናንታ ሃይላሻሢንታ ማዤኔ፤ ሃይላሻሢ ጌማይጉዲ ማኣቲ ሄንቃኔ።
1228100060	ዒዛኮ ጊኢሮይዳ ዓኣ ዶዱሞና ጎጶ ጋራ ዓኣ ሻዦ ዶዱሞዋ ዛጌ።
122811007d	ዑንካ ዒዛኮ ዚቢቂ ሚሢጉዲ ፒዝ ጌዔያኬ፤ ጉባዞ ሻዣ ዒዛኮ ዓንዲሪ ሃሣ ዶዲኬ።
1228120069	ሜጌፃ ዒዛኮ ሞኦና ዓንጊጉዲኬ፤ ሃሣ ዓንጊ ኮኦሎጉዲያኣ ዶዲኬ።»
122813007e	«ታ ማዤ ማዢንቶይዳፓ ቢያ ዒ ዎልቄና ዓኣያኬ፤ ታጊዳፓዓቴም ዒዛ ባሻይ ባኣሴ።
122814004c	ካዮ ቦዓ ፂካ ዹካ ዒዛም ሄንቆ ማኣቶ ባቃልሳኔ።
1228150053	ሚሢ ሺቢና ማጫሬና ባኣካ ሃሣ ጫሮ ባኣካኣ ዒ ላሃኔ።
1228160089	ሺባ ዓኣ ሚፃ ፔ ሺቦና ዒዛ ዓኣቻኔ፤ ዎሮ ዓጫ ባቃላ ዓሃያ ጌይንታ ሚፃኣ ዒዛ ዓኣቻኔ።
12281700b5	ዎሮይዳ ዋኣፆ ኩሙፃ ዒዛ ፔቴታዖ ዲቃሡዋኣሴ፤ ዮርዳኖሴ ዎራታዖ ዓጮ ኬስኪ ሄላንዳኣና ኩሜቴያ ዒዚ ዒጉጩዋኣሴ።
122818006c	ዓኣፖ ዒዛኮ ዎዺ ሲኢዾዋ ዒዛኮ ዑሪ ዒዛ ዓርቃኒ ዳንዳዓይ ዖናዳይ?»
122901009f	«ሌዋታኔ ጌይንታ ባዞ ቦዓሢ ዓንጊ ኪሬና ባዛፓ ኔ ዓርቃኒ ዳንዳዓ? ዒንዲርዞ ሱሲና ኔ ዒዛኮ ቱካንዳ?
1229020084	ዒዛኮ ሲኢዾይዳ ዱንዶ ዓኣሢ ባንጋሎዋ ዒዛኮ ዓንጊ ኪሬና ጫርጊ ዓርቃኒ ኔ ዳንዳዓ?
122903006c	ዒዛ ማኣሪ ሃሻንዳጉዲ ዒ ኔና ሺኢቃንዳ? ኮሺ ዑኡሲና ዒ ኔና ሺኢቃዳ?
1229040061	ናንጊና ዓይሌ ማዒ ኔኤም ማዻኒ ኔኤና ዎላ ዒ ጌስቲ ጊኢጋንዳ?
1229050074	ካፒጉዲ ዒዛ ኔ ቱጊ ጌሢ ዉዱሮ ናኣቶ ኔኤኮ ዓማልሳንዳጉዲ ቃዛኒ ዳንዳዓ?
1229060087	ሞላሢ ኮርማ ዓሳ ዒዛ ባሺ ዔካንዳኔ ጌይ ዎላ ማንዲንታ? ቲቂያ ዎሊና ዒዛ ዔያታ ጊሽታ?
1229070090	ኔ ኮዔ ካራና ዒልዖ ዒዛኮ ጫርጊ ዑራኒና ቶኦኮዋ ዒዛኮ ኔ ዓጬ ዓንጊና ጫርጊ ዑራኒ ዳንዳዓ?
12290800b5	ሂንዳ ዳንዳዓቴ ኩጮና ዒዛ ካኣሜ፤ ኔ ዒዛ ዓርቃኒ ማዺ ሺሬ ባኮ ፔቴታዖ ዋላዓኬ፤ ላሚ ዒዛ ኔ ዓርቃኒያ ኮዓዓኬ።»
1229090088	«ሌዋታኔ ዓርቂ ቃዛኒ ማዺንታ ባኣዚ ቢያ ጉሪኬ፤ ዒዛ ዛጌሢ ቢያ ዒጊቹሞና ጎጋይቃኔ።
12290a0094	ዒዛይዳ ፑርታ ባኣዚ ማዺሢ ዬያይዲ ሜታያ ማዔቴ ዓካሪ ታኣም ዋይዚ ዒፃኒ ጫርቃንዳይ ዖናዳይ?
12290b0083	ጫሪንጮኮ ዴማ ዓኣ ባካ ቢያ ታኣሮኬ፤ ዓካሪ ታ ማሃንዳጉዲ ታኣም ታልዔሢ ዖናዳይ?»
12290c0071	«ሌዋታኔኮ ቶኮንታ ዶዶ ዎልቆንታ ሚዛጳ ዑፆ ዛሎ ታ ኬኤዙዋዖ ሃሻዓኬ።
12290d0067	ዒዛኮ ዾዾ ዒልዖ ሹካኒ ሃሣ ባንጋሎዋ ዒዛኮ ሾኦላኒ ዖ ዳንዳዓይ?
12290e007e	ኮሺ ዒጊቻ ዓጫ ዓኣ ዻንጎ ዒዛኮ ቡሊ ባንጋሎዋ ዒዛኮ ሾኦካኒ ዳንዳዓይ ዖናዳይ?
12290f0096	ዒዛኮ ጊኢሮ ዒልዓ ዎሊ ሄሊሲ ጌሦና ጊቲማጉዲኬ፤ ኮሺ ዎሊ ዓርቄያ ማዔሢሮ ዓንጊጉዲ ዶዳያኬ።
1229100083	ፔቴይ ሜሌሢና ዎላ ዳዳዼያታሢሮ ዔያቶኮ ባኣኪና ዢባሬታዎ ዓኣዻኒ ዳንዳዑዋኣሴ።
1229110080	ቢያሢ ዎላ ዓርቂንቴያታሢሮ ዓይጎ ባኣዚያ ፔቴታዖ ዔያቶ ዱማሳኒ ዳንዳዑዋኣሴ።
1229120079	ዒዚ ፒኢዝጋ ዎዶና ፖዒ ዜኤሊንሢ ጴዻኔ፤ ዓኣፓ ዒዛኮ ፆርቄ ዓቢጉዲ ፖዓኔ።
1229130062	ዻንጋፓ ዒዛኮ ታሚ ሎስታ ኬስካኔ፤ ታሚ ቄንሢያ ፂንቂ ጴዻኔ።
1229140075	ዲስቴ ዴይሦና ናኣቦይዳ ሻርሻ ጩባሢጉዲ ሲኢዻፓ ዒዛኮ ጩቢ ኬስኪ ጴዻኔ።
1229150075	ዒዛኮ ዑኡዞ ዖይዹማ ቃኣጫ ዔዔኤሣኔ፤ ታሚ ሎስታ ዒዛኮ ዻንጋፓ ኬስካኔ።
1229160075	ዒዛኮ ዴዔ ባቃና ዎልቄና ዓኣያኬ፤ ዓኣፖ ካራኣ ዒዛኮ ሚርጌና ዒጊቻያኬ።
122917006f	ዓሽካ ዒዛኮ ዎሊ ዑፃ ናቲንቴያ ዳዶታሢሮ ዑፃ ዒዛኮ ዓንጊጉዲ ዶዳኔ።
122918004d	ዒና ዒዛኮ ሹቺጉዲኬ፤ ዶዱማኣ ዎንሢ ሹቺጉዲኬ።
1229190058	ዬይ ቦዓሢ ዔቃ ዎዶና ዎልቆ ዓሳታዖ ዒጊጪ ጎጎጋይቃኔ።
12291a0084	ዓይጎጉዴ ጬንቻ ዓፓሮንታ ዎርሢንታ ሂኢሺንታ ጫርጎ ባኣዚያ ዔኤቢ ዒዛ ዎኦቱዋሴ።
12291b006e	ዒዚ ዓንጎ ማኣቲጉዲ ሜንሣኔ፤ ሞኦኖ ዓንጎዋ ሙርዔ ሚሢጉዲ ጋኣጫኔ።
12291c0072	ሂኢሺ ዱኮናቴታዖ ዒጊጪ ዒ ጳሽኩዋኣሴ፤ ዎራ ሹቺ ዒዛ ኮይላ ጎቦጉዲኬ።
12291d007e	ኮኦሎ ዒዚ ዓዳ ማኣቲ ማሂ ዛጋኔ፤ ዓሳ ዒዛ ዎርፆና ዶርባኣና ዒ ቦሂ ሚሚኢጫኔ።
12291e0069	ዾቃሎይዳ ዒ ኮላዻኣና ዓጬ ማዔ ዒልዓ ዒዛኮ ሳዖ ማራሻጉዲ ጳላኔ።
12291f0088	ባዞ ዋኣፆዋ ፔንታ ዋኣሡጉዲ ቡርቂሻኔ፤ ዖቲ ጋርካ ፔንታ ዛይቴጉዲያኣ ዒ ቡርቂሻኔ።
1229200052	ዒዚ ዓኣዻ ጎይፃ ፖፖዓኔ፤ ባዞ ዋኣፆዋ ዒ ዱባሳኔ።
1229210072	ዒዚ ዒጊቹሞ ዔሩዋ ማዢንቲታሢሮ ዓጪዳ ዒዛ ማላ ማዢንቲ ፔቴታዖ ባኣሴ።
1229220079	ሚርጌና ዼኤፖ ማዔ ማዢንቶታዖ ዒ ቦሃኔ፤ ዒዚ ካዮ ቦዖ ቢያኮ ዑፃ ካኣቲኬ።»
122a01004f	ዬካፓ ዒዮቤ ናንጊና ናንጋ ጎዳም ሂዚ ጌይ ማሄኔ፦
122a0200a4	«ናንጊና ናንጋ ጎዳሢዮ! ኔኤኒ ቢያ ባኣዚ ማዻኒ ዳንዳዓሢ ታ ዔራኔ፤ ኔ ማሊፆ ዹቂሳኒ ዳንዳዓይ ባኣሴ።
122a0300de	ታኣኒ ዔራ ባካ ኮሺ ዻካታንቴ ዓይጎሮ ታ ሚርጌ ጌስታቴያ ኔ ታና ዖኦጬኔ፤ ጎኔና ታ ዔሩዋ ባኣዚንታ ሚርጌና ዲቃሢ ሄርሺሳ ባኣዚ ታ ጌስቴኔ።
122a040059	‹ዋይዚጋፓ ታ ዖኦጫሢ ማሂ ታኣም ኬኤዜ› ኔ ታና ጌዔኔ፤
122a0500ae	ታ ሃኖ ሄላንዳኣና ኔ ዛሎ ዔራሢ ዓሳ ታኣም ኬኤዜ ባኮ ዋይዚሢና ሌሊኬ፤ ሃሢ ጋዓንቴ ታ ዓኣፒና ታ ኔና ዛጌኔ።
122a060078	ዬያሮ ታ ጌስቴ ባካ ታና ዒጊቼሢሮ ዲቢንሢና ሲላሊናዳይዳ ዴዒ ታ ቡኡፃኔ።»
122a070137	ናንጊና ናንጋ ጎዳ ዒዮቤና ዎላ ዬንሢ ባኮ ጌስቴስካፓ ቴሜና ዓጮ ዓሢ ዔሊፓዜ ኮይላ፦ «ዒንሢ ታ ዓይላሢ፥ ዒዮቤጉዲ ታ ዛሎ ፒዜ ባኣዚ ጌስቲባኣሢሮ ታኣኒ ኔናንታ ላምዖ ኔ ላጎንሢንታይዳ ዻጋዼኔ።
122a080216	ዬያሮ ሃሢ ላንካይ ዚያ ጌማይና ላንካይ ዓዴ ማራይና ዔኪጋፓ ታ ዓይላሢ ዒዮቤ ኮራ ዓኣዹዋኣቴ፤ ዒኢካ ዒንሢኮ ጎሞ ዛሎ ሚቺ ዒንጎ ዒንጊሢ ማሂ ሺኢሹዋቴ፤ ታ ዓይላሢ፥ ዒዮቤያ ዒንሢም ሺኢቃንዳኔ፤ ታኣኒ ዒዛኮ ሺኢጲፆ ዋይዛንዳኔ፥ ዒንሢ ዻቢንቶጉዴያ ዒንሢዳ ሜቶ ታ ዓጋዓኬ፤ ዒንሢ ዒዮቤጉዲ ታ ዛሎ ፒዜ ማዔ ባኣዚ ኬኤዚባኣሴ» ጌዔኔ።
122a090111	ዬካፓ ቴሜና ዓጮ ዓሢ ዔሊፓዜንታ ሹሃዌ ዓጮ ዓሢ ቢልዳዴንታ ናዕማታ ዓጮ ዓሢ ፆፓሬንታ ዴንዲ ናንጊና ናንጋ ጎዳ ዔያቶ ዓይሤ ጎይፆ ማዼም፥ ፆኦሲ ዒዮቤኮ ሺኢጲፆ ዋይዜኔ።
122a0a00df	ዒዮቤ ሃይሦ ዒዛኮ ላጎንሢም ሺኢቄስካፓ ናንጊና ናንጋ ጎዳ ዒዛ ጊንሣ ዖርጎቼኔ፤ ቤርታ ዒዛኮ ዓኣ ባኮይዳፓ ባሼ ጳንጬ ማሂ ዒዛም ዒንጌኔ።
