2800000005	Matta
2b12110084	Nuɗi na a mii kwakirma ndanggǝn Mbiturus, “Sa mbǝna tal ahur fatsahayighǝn wa?” Ndangga Mbiturus, “Awo, mbǝ nggini wa.”
2b12120084	Ƙǝsǝr na mbiirha sǝ, mafaya hur minda tǝ faƙǝlaya ha kanda a tǝk waarha fa. Mbiturus ƙǝm a thlǝman ndan a tǝk waarha fa.
2b12130058	Tǝrgha firis na manggǝn tsahang mee nǝn Yeeso aten fatsahayighǝn tǝ tsahadghǝn ha.
2b121400bf	Nggǝrangga Yeeso sǝ, “Thlǝkki laɓaara a ƙǝshiirha a pǝpal. Ni naarha tsaharha ha hu ƙǝn tsahad Yahudaya, tǝ Ƙǝn Faara nǝm yakh wumnda sahai. Mbǝ ˈyasǝ thlǝk ni ɓǝɓee wa.
2b12150052	Kama nda na a tsahe mee ha? Tsahang mee fingya sǝkka fanna. Sǝnda ˈya ndani.”
2b12160087	Ndana Yeeso kee, tal ahur mamnggini na tsau tǝghǝn fa mbi Yeeso nen, ndanggǝn, “Na nggǝrang nda firis sǝ na manggǝn kiya wa?”
2b1217006b	Ndangga Yeeso, “Ana ˈyasǝ thlǝk ni na ɗimi puruwun. Amma ana ƙǝkafek thlǝk ni, kama mbina nggi?”
2b12180055	Tǝrgha Hanana thlǝnanggǝn Yeeso a thlǝmad Kayafa ɗǝ na mamnda firis ƙǝƙǝna.
2b1219009c	Nana Mbiturus ƙǝt a tǝk waarha fa, tsahang mee nda, “Sa mbǝna tal ahur fatsahayighǝn wa?” Ngalgha Mbiturus ndǝghǝn, “Awo mbiyi ahur ndan wa.”
2b121a00ac	Tal ahur mafaya manda firis na hurfidghǝn ni niifɗi kyathlang na Mbiturus thlǝmadghǝn ɗǝ, tsahang mee nǝn Mbiturus, “Mbǝ naɗi kun tǝghǝn ahu hed dzaitun wa?”
2b121b003a	Nggǝrgha Mbiturus ngaalghǝn. Tsu kee tǝtaagha ɗiyarha.
2b121c00f0	A tsar kyang na nda Yeeso sǝ a minda ki Kayafa ɗǝnda tǝghǝn minda ki Mbilatus ɗǝ ngwamnad Romaya. Kyawa nda tǝghǝn a minda ki ngwamna ɗa hai wa. Na mindan sǝ a tangsang ngganda fad ndan chahal tǝna nda hǝb ǝnnadmid tǝɗaarha.
2b121d006a	Nanǝn kee kyagha Mbilatus thlǝmad ndan ɓa tsakh mee nǝn, “Ma ǝnana kamshi ɗiya huhwa nun ndǝn?”
2b121e0060	Nggǝrang ngganda sǝ, “A ǝna wa kamshiɗi ˈya mbuwa ngga ya wa, kam ɓowan ndǝn ɓa wa!”
2b121f00c3	Ndangga Mbilatus kanda, “Ɗaama ɗǝ tǝghǝn ɗun ngwang kumarha tafad nun tǝ yinun ngyakhrha.” Nggǝrangga Yahudaya sǝ, “Ai, fǝrang ngwanda sǝsǝmnda kan na a ɓǝlanggan niifa wa.”
2b12200063	Katǝrana ǝnɗa hai ya ka a lǝɗang ngganda laɓarɗi ki Yeeso sakh nǝn tǝ kwaman mǝrrǝghǝn.
2b1221006e	Tǝrgha Mbilatus nggǝrgha hur minda hai, aah Yeeso nǝn ɗǝ tsahang mee nǝn, “Sani kutǝr Yahudaya wa?”
2b12220067	Nggǝrangga Yeeso sǝ, “Tsakh mii huten wa niya wa, nduwa na fingya sǝ purowa laɓara aten na wa?”
2b1223008b	Nggǝrangga Mbilatus sǝ, “Mbǝ tǝ Yahudarha ni nggi wa, nafiwa ni, tǝ mamngya firistaya ɓagha tǝ sa thlǝmad na ɓa. Mani ǝnana?”
2b122400d2	Ndangga Yeeso, “Kutǝr yidna mbǝ yi ƙǝshiid ɗa ni ya wa. Andam kutǝryid na yi ƙǝshidɗa ni ya, kam na fatsahayina a yanda amawana Yahudaya ƙǝseerha. Amma kutǝr yidna mbǝ yi ƙǝshidɗa ni ya wa.”
2b122500eb	Ndangga Mbilatus, “Ashe kutǝra ni sa wa!” Nggǝrangga Yeeso sǝ, “Sa ndagha, kutǝra ni nggi. Nggǝt na nda nggi hu ƙǝshidɗiya ka tarɗi ya, a thlǝk ƙǝkafek ni. Kala niifa na midghǝn ƙǝkafek, nǝn kee thlǝmaarha fa.”
2b122600a8	Tsahangga Mbilatus mee, “Mani ƙǝkafek?” Tǝrgha kyagha Mbilatus ƙǝsha ɗǝ ndanggǝn Yahudayini wumngga hai, “Mbǝ ˈya sǝ ɗimi wal ni a fad kamshiɗiya wa.
2b122700aa	Amma na ǝntin nun sǝ kala far wutsǝfayid Tǝɗaarha, ni kalang niifa kun hai tal ƙǝnang nanda ahu porsǝna. Na mid nun sǝ a kalang kutǝr Yahudaya ni kun hai wa?”
2b12280073	Amma tǝrang ngganda urad ndan sǝ, “Mbǝ niifɗiya wa, Mbarabas na mid nan!” Mbarabas ƙǝm tǝ fasa farha ni.
2b1301003b	Tǝrgha Mbilatus fǝr Yeeso nǝn a sodjaya tsaɗaghǝn nda.
2b13020089	Taksaagha sodjaya ǝnfatta teena tǝ ndaaha pang nggǝnda teena. Tǝrgha ɓa nda ɓa tǝ kaɓaarha tur yi kutǝryirha kalang nggǝnda fa.
2b13030068	Ɓa nda thlǝmadghǝn ɓa na nda a ndangˈya yi waa farha, “Alvari, kutǝr Yahudaya!” Mbiighǝn nda.
2b1304009a	Nggǝrgha Mbilatus kyaarha ɓa ndanggǝn Yahudayini, “Nanǝnya niya kyang Yeeso kun ɓa, na minna sǝ a sǝnunsǝ ƙǝsang nggi tǝ ɗimiyirha fa wa.”
2b13050086	Kyagha Yeeso sǝ tenggǝn fǝfaɗa tǝ ndaaha, tǝ tur kaɓad kutǝryirha a fadghǝn, ndangga Mbilatus kanda, “Kǝlama niifɗiya.”
2b130600e8	Nana mamngya firistaya ndǝn tǝ fa ƙǝla Ƙǝn Faara tǝrang ngganda urad ndan sǝ, “Tawaman ɗǝ! Tawaman ɗǝ!” Ndangga Mbilatus kanda, “Ɗamaɗǝ ɗun tawang ɗǝ tafan nun, nggi kam nawi ndǝn tǝ ˈya na ɗimi fa wa.”
2b13070093	Tǝrgha Yahudayini nggǝrang ngganda sǝ, “Na ngyahad nǝm sǝ, ˈya ndaana ngyahadɗi kamɗǝ a mǝrgha, ƙǝsǝr aaghǝn fadghǝn Wan Faara.”
2b13080030	Sǝkna Mbilatus kee nggǝrghǝn chik tǝrǝmnda.
2b1309007e	Nggǝrghǝn kyaarha tǝ Yeeso ahu chelleru ɗǝ tsahang mee nǝn ha, “Ɓagha ɓa a yanggi?” Amma nggǝrangwa Yeeso sǝ wa.
2b130a007f	Ndangga Mbilatus, “Karna fa a kaleegha sǝ? Sǝngwa sǝ niyi tǝ sǝsǝmnda ha na a kal sani hai nduwa tawo wanda ɗǝ wa?”
2b130b009d	Nggǝrangga Yeeso sǝ, “A mbǝ Faara fǝrowa sǝsǝmnda wa mbǝ ˈya sǝ na mbang ǝneerha wa. Yanɗi fǝrgha nggi ahu harwa hai kal ɗǝ sa ɗimiyirha.”
2b130c00e7	Hǝrǝm na Mbilatus sǝk laɓarɗi ya na midghǝn sǝ a kal Yeeso nǝn hai, amma Yahudayini na nda a tǝrang urad ndan sǝ, “A kal na niifɗa hai ya, mbǝ pashid Kaisar ni sa wa. Kala niifa ndaagha kutǝra ni tǝsar Kaisar ni.”
2b130d00c5	Sǝkna Mbilatus laɓaryini kee, kyagha ɓa tǝ Yeeso. Tǝrgha Mbilatus tsauka aten tsǝnggam ngwa kumarha sǝ, a mbǝrha na nda aarha “feera na ngga”, Ibraniyaya na nda aaghǝn “Nggabbata.”
2b130e0079	A far ɗemnda wutsǝfayid Tǝɗaarha ni yanfaara a sǝrǝkrha. Ndangga Mbilatus Yahudayini, “Ƙǝlama kutǝr nun ya!”
2b130f00fd	Amma Yahuda yini tǝrang ngganda urad ndan sǝ, “Ɓǝlaman, ɓǝlaman, tawaman ɗǝ!” Tsahangga mbilatus mee kanda, “Na mid nun sǝ tawang nggi kutǝr nun ɗǝ wa?” Nggǝrangga mamnda firistaya sǝ, “Mbǝ kutǝr nan sǝ pak wa ƙǝl Kaisar.”
2b13100061	Tǝrgha Mbilatus fǝrang Yeeso nǝn kanda ka a tawang ngganda ɗǝ. Nanǝn kee wii nda tǝ Yeeso.
2b13110081	Tǝranggǝn kaɗidghǝn tafadghǝn a mbǝrha ɗǝ na nda aarha mbǝd ɓalhwad teena. Ibraniyaya na nda aaghǝn, “Nggolggota.”
2b13120069	A mbǝɗa ni tawang na nda Yeeso saaɗǝ tǝ nafiya sǝri, tal a yisǝmadghǝn, tal ƙǝm a yikawadghǝn.
2b1313007b	Chirelthgha Mbilatus tǝ ndaarha, “YEESO TƏNADZARAT, KUTƏR YAHUDAYA.” Tawang ngganda chireethɗi a man ten kaɗidɗi.
2b131400cc	Yahudaya hangga karatangga chireelth ɗi ƙǝsǝr mbǝɗi tawang na nda Yeeso saaɗǝ nǝghǝn tsau tǝ Urshalima fa. Chireelth ɗiya ǝnagha ndan tǝ mii Yahudaya, tǝ mii Romaya, tǝ ƙǝm mii Helenaya.
2b131500b5	Tǝrgha mamngya firistaya ndang ngganda Mbilatus, “A chireethleng na hai ‘Kutǝr Yahudaya wa,’ amma chireethleng hai, ‘Niifɗiya ndanggǝn fadghǝn kutǝr Yahudaya ni.’”
2b13160054	Nggǝrangga Mbilatus kanda sǝ, “ˈYa chireethleng ni hai, chirethleng ɗi hai.”
2b131700d6	Akwasamadɗi tawang na sodja yini Yeeso ɗǝ, harang ngganda karidghǝn ndǝghang ngganda hai mbǝdghǝn faɗa kowunni tǝ yighǝn. Ənagha nda kee ƙǝm tǝ kaɓadghǝn tsǝna nda a uradghǝn hai ta sarghǝn ɗǝ.
2b1318013a	Ndangga sodja yini ndan, “A njarang ɗǝm kaɓad ɗaɗǝ ya wa, amma tama ǝna chacha nǝm a tenggǝn tǝ wunni a hǝɓang.” Katǝrana ǝnɗa hai ya ka a lǝɗang ngganda ˈya ndaana Ɗeleewar Faara, “Ndǝghang ngganda karidna hai a pathlang ndan, ǝna chacha nda aten kaɓad na.” Ənɗa ni ǝnana sodjaya.
2b13190069	Nafiya ishgha tsau tǝ kaɗidɗa fa nda man Yeeso, tǝ wanman, Mairamu nu Kilobas, tǝ Mairamu magdaliya.
2b131a0070	Nana Yeeso man tǝ tǝtsahadɗi keeghǝn nggǝm nǝn ƙǝt tsau tǝghǝn fa, ndanggǝn man, “Kulo wanwa ya.”
2b131b0073	Tǝrgha ndanggǝn tetsahadɗi, “Kulo muwa ya.” Ka farɗi ɗǝgha tǝtsahadɗi tǝ man Yeeso wuri keeghǝn ɗǝ.
2b131c0082	Sǝn Yeeso sǝ nanǝnya ngwalang ɗǝ targhǝn. Ka a lǝghǝdgha ˈya ndaana Ɗeleewar Faara, ndǝghǝn, “Na hushimnda fanna.”
2b131d00ba	Na ƙǝthlikrha sǝ a mbǝɗi lǝlǝgɗa tǝ aam inabi chichakh. Nanǝn kee tǝtǝnang ngganda soso tǝ aam inabi na chichakh, pang ngganda hu sǝsaala nzang pang nggǝnda Yeeso mii sǝ.
2b131e0066	Taarang na Yeeso ndǝghǝn, “Ngwala ɗǝ!” Tǝrgha kwanggǝn tenggǝn hai kal yiɓǝdghǝnǝn hai.
2b131f015d	Nanǝnya ɗemnda far wutsǝfayid Tǝɗaarha ni, a ɗalth mbǝrha hai ndǝna far yiɓǝdɗi, Ƙǝsǝr mamnda Yahudayini mbǝ mindan sǝ nagha mǝrya nafini aten kaɗiirha a far yiɓǝdɗi wa, ƙǝsǝr far yiɓǝdɗi fara ni na manggǝn. Tǝrgha Yahudayini hwan Mbilatus nda a hwasang ngganda ndǝlengya nafini, tǝ ƙǝm tǝrang ngganda mǝryina hai.
2b13200060	Ɗǝgha sodjaya ɗǝ ɗa nda hwasang ndǝlengya nafini sǝri tawang na nda kanda ɗǝ tǝ Yeeso.
2b1321006e	Amma ɓa na nda thlǝmad Yeeso ɓa ƙǝla nda hai ˈwaɗǝ teena mǝrɗǝ hwasang ngwa nda ndǝlenggighǝn wa.
2b13220060	Tal ahur sodja yini kulth Yeeso nǝn tǝ peela a ƙǝlarghǝn tsu kee kyagha aama ɓa tǝ faara.
2b1323007f	Niifɗi nagha ǝn ɗi katǝra hai ndǝn pǝrgha ndǝn. Ənɗi pǝr nǝn ƙǝkafek ni, pǝr nǝn ndǝn kee tǝnun fǝrƙǝkafek.
2b1324006d	Katǝra na ǝnɗa hai kee ya ka a lǝghǝdgha laɓar Faara ndaa nǝn, “Mbǝ alghǝn sǝ tal hwasagha wa.”
2b13250052	Na laɓar Faara sǝ ƙǝm ndaagha, “Na nda a ƙǝlang yanɗi kuthlang na nda.”
2b1326011e	Akwasamad ǝngginiya, Yisufu niif Aramatiya tǝtsahad Yeeso ni ɓǝɓee ƙǝsǝr nǝghǝn a tǝrǝm Yahudaya, ɓagha thlǝmad Mbilatus ɓa na a fǝrang kwamana nǝn a ɗǝgha tǝrang mǝrra Yeeso hai. Fǝrang na Mbilatus kwamana, ɗǝgha ɗǝ tǝranggǝn merra Yeeso hai aten kaɗidɗi.
2b132700b4	Niifɗi na nda aarha Nikodimus ˈwagha ɗǝrha thlǝmad Yeeso ɗǝ a fǝɗikrha, takkwa ɗǝ Yisufu ƙǝsɗǝ urdi ha na nda aarha mur tǝ alos sǝlna hadghǝn kilo kumnggit mahan.
2b13280079	Tǝrgha nafini kyab ya faɗang ngganda mǝrra Yeeso hu kaɓaarha na pǝpet irang urdi nda fa ƙǝla na Yahudaya ǝnaarha.
2b13290075	A mbǝɗi tawang na nda Yeeso sǝ na heerha sǝ, ahu hedɗi na kwad mǝrra sǝ rana nda, ˈwawa na nda pa mǝrra sǝ.
2b132a0070	Tsaunǝn far ɗemnda far yiɓǝd Yahudaya ni, nanǝn na kwarha sǝ tsau a mbǝɗi, Pang ngganda Yeeso a mbǝɗi.
2b1401009a	A tsar ƙǝrǝt a far ladi, mbǝrha liwid-liwid, Mairamu Magdaliya ɗǝgha ten kwad Yeeso ɗǝ, ƙǝlagha hai kwatǝrang nda fer ɗaɗǝ na a mii kwadɗi.
2b140200c1	Tǝrgha thliigha tǝ ɗaarha thlǝmad Siman Mbiturus ɗǝ tǝ tǝtsahadɗi nggǝmna Yeeso ndanggǝn kanda, “Tǝrang nda Chinǝm sǝ ahu kwaarha, sǝnggum mbǝɗi ɗǝfang na nda saɗǝ wa.”
2b14030056	Tǝrgha nda Mbiturus tǝ tahad tǝtsahadɗi katǝrangganda ɗǝrha a ten kwadɗa ɗǝ.
2b1404006a	Kanda kyab ƙǝs ɗaarha nda, amma yanɗi tǝtsaharha kalɗǝ Mbiturus ɗaarha ˈwagha a ten kwadɗa ɗǝ.
2b14050062	Ɓǝrgha hai ƙǝlagha hu kwadɗa ɗǝ na kaɓad pa mǝrɗa nǝn, amma kya wa hur kwadɗa ɗǝ wa.
2b14060068	Tǝrgha Mbiturus ɓagha a ɓa a kwasamarha, kyagha hur kwadɗa hai. Na kaɓad pa mǝrɗa nǝn a mbǝɗi.
2b14070047	Tǝ ƙǝm na kaɓadɗa nǝn faɗang na nda ten Yeeso sǝ ta a man patu.
2b14080088	Tǝrgha yanɗi tǝtsaharha ˈwagha ten kwadɗa ɗǝ ma Mbiturus kyagha hur kwadɗa hai ƙǝm, nanǝn ǝnggini heu ya fǝrƙǝkafek nǝn.
2b14090061	Pa ka weriya sǝnang ngwanda ˈya hai ndana Ɗeleewar Faara, na Yeeso a thliirha sǝ hu mǝra wa.
2b140a0028	Tǝrgha fatsahayini wuɗa nda wure ɗǝ.
2b140b007a	Amma Mairamu Magdaliya ishgha a ten kwadɗi nagha a tǝrha. Ndǝghǝn aten tǝrha ɓǝrgha hai ƙǝlagha hur kwadɗa ɗǝ.
2b140c0092	Na fa thlǝngya Faara nǝn sǝri tǝ lukkya fa pǝpet-pǝpet kanda tsǝtsau a mbǝɗi pang nanda Yeeso sǝ, tal a man tenggǝn tal a man sarghǝn.
2b140d00b3	Tǝrgha tsahangga fa thlǝngya Faara mee nuɗi, “Sa nuɗiya mani na a tǝrha?” Ndanggǝn kanda, “Tǝrang nda yina Chinǝm sǝ, sǝngwi mbǝɗi ɗǝfang na nda saaɗǝ wa.”
2b140e006e	Ndǝghǝn a nggǝlang miighǝn kee, kyahar nǝn hai ƙǝlagha hai Yeeso ƙǝt. Amma sǝnangwa hai Yeeso ni wa.
2b140f00db	Tǝrgha tsahangga Yeeso mee, “Sa nuɗiya, mani na a tǝrha? Wun na a kaɗaarha?” Tamnggǝn ndaarha tǝtaara ni na ahur hedɗi. Ndanggǝn, “Ana sa ni tǝrangga, pǝre mbǝɗi ɗǝfang na saaɗǝ ɗi tǝrang ɓa.”
2b14100090	Tǝrgha ndangga Yeeso, “Mairamu!” Kyahargha Mairamu man thlǝmad Yeeso ɗǝ ndǝghǝn tǝ mii Aramaya, “Rabboni!” Ndaarha ni “Mala”.
2b141100e2	Ndangga Yeeso, “A tsuwar na nggi fa wa, ƙǝsǝr ɗǝwi thlǝmad Pǝpa ɗǝ ˈwan wa. Amma ɗuwa thlǝmad wan manggina ɗǝ ndangga kanda, niya ɗǝrha thlǝmad Chinɗa ɗǝ tǝ yinun China, Faar na tǝ ƙǝm yinun Faara.”
2b14120085	Tǝrgha Mairamu ɗǝgha thlǝmad fatsahayina ɗǝ ndanggǝn kanda, “Naɗi Chinǝm!” Pǝrang laɓar ɗa nǝn kanda ndang na Yeeso.
2b14130108	Tsu a farɗi a figrha a far ladi, fatsahaya Yeeso wumnda hai a mbǝrha tal, chang ngganda kwaminda a tendan ɗǝ, ƙǝsǝr na nda a tǝrǝm Yahudaya. Kula sǝndǝndan sǝ ƙǝla nda hai Yeeso ƙǝt a maɗufun ndan ndǝghǝn, “A tsauka ɗǝɗemnggirha tǝ kun.”
2b141400a4	Akwasamadghǝn thlǝk nǝn laɓarɗi ya kyaɗang haaryighǝn nǝn kanda tǝ ƙǝlarghǝn. Tǝrgha fatsahayini lǝgɗa nda tǝ wutsǝfayirha, ƙǝsǝr nanda Chinǝm.
2b14150083	Nggǝrgha Yeeso ndang nda kanda, “A tsauka ɗǝɗemnggirha tǝ kun. Ƙǝla thlǝnna Pǝpa nggi ɓa, niya thlǝn kun kee ƙǝm.”
2b14160052	Tǝrgha peng ɓereurha nǝn kanda fa ndǝghǝn, “Thlaama Sǝsǝna tǝ Peɗǝnda.
2b14170093	Kala niifa chahang nun ɗimiyidghǝn ɗǝ, chahang ndan ɗǝ, kala niifa ƙǝm chahang ngwa nun ɗimiyidghǝn ɗǝ, mba nda chahanggǝn ɗǝ wa.”
2b1418007a	Ahu sayidɗiya, Toma tal ahur fatsahayini na thlǝm ɓashadghǝn Muɗaarha, mbǝ ahur ndan wa a sayidɗi ɓa na Yeeso ɓa.
2b141900d4	Nanǝn kee, ndang ngganda, “Naɗan Chinǝm.” Amma ndangga Toma kanda, “Mbi fǝrƙǝkafek wa ƙǝl a naɗi kwat kusa ɗi a haarghǝn, pang nggi haar na saɗǝ tǝ ƙǝlarghǝn wa mbi tam fǝrƙǝkafek wa.”
2b141a00e0	Akwasamad ɓeena uvaɗa fa tsahayini kanda a mbǝrha tal, Toma ƙǝm nǝghǝn ahur ndan kwaminda chicha. Amma kula sǝndǝndan sǝ ƙǝla nda hai Yeeso ƙǝt a maɗufun ndan ndǝghǝn, “A tsauka ɗǝɗemnggirha tǝ kun.”
2b141b0093	Tǝrgha Yeeso ndanggǝn Toma, “Pang wan haar wa mbǝɗa hai ya, ƙǝlang harna. Tsǝwaru ƙǝlar na fa, tǝna malang ngaala, fǝrƙǝkafek na.”
2b141c0031	Ndangga Toma, “Yina Chinǝm, tǝ yina Faara!”
2b141d0073	Ndangga Yeeso, “Ka nana nggi ndǝn fǝr na ƙǝkafek? Fa parkaya ni nafiya nawa nggi, amma fǝr nda ƙǝkafek.”
2b141e0065	Əna Yeeso ǝnwulteengya hangga a yid fatsahayighǝn chireethleng ngwana nda hai ahu ɗeleewar ɗiya.
2b141f00b1	Amma chireethleng na nda ǝnɗa hai ya tǝnun fǝrƙǝkafek tǝ ndaarha Yeeso ni Ƙǝrǝsti, Wan Faara. A hu fǝrƙǝkafekkid nun a ndǝghǝn, nun a wal yibrha ahu thlǝmnggǝn.
2b15010060	Tsǝɓaku kyadna Yeeso fadghǝn a fatsahayighǝn a mii wutambar Tibariya. Katǝraghǝn hai kiya.
2b150200aa	Nda Siman Mbiturus, tǝ Toma na nda aarha Muɗarha, tǝ Nataniyel ɓagha ɓa a Kaana yi Nggalili, tǝ wangya Dzabadi, tǝ fingya fatsahaya sǝri, kanda heu a mbǝrha tal.
2b150300d5	Tǝrgha ndagha Siman Mbiturus, “Ɗǝni ka tǝmnda ɗǝ.” Ndangga fingya fatsahaya, “Kan ma nan a ɗǝrha ɗǝ a samadwa.” Wii nda, tǝra nda hu kombuwol hai. Amma a fǝɗikɗi mbǝ ˈyasǝ ƙǝs na nda wa.
2b1504006f	A tsar ƙǝrǝt, ishgha Yeeso a mii ƙǝƙǝshɓangnda, amma fatsahayighǝn kukwalang ngwa nda hai tǝwunni wa.
2b15050069	Tǝrgha ndangga Yeeso kanda, “Wundǝlaya, tǝna sǝ a haar nun wa?” Nggǝrang ngganda sǝ, “Awo.”
2b150600f8	Ndangga Yeeso kanda, “Muwa man panggam nun hai tǝ man yisǝmad kombuwol ɗi nun a waala.” Nanǝn kee muwang ngganda hai ƙǝla ndang na Yeeso kanda, ƙǝs tǝna nda mbang ngwa nda kahang nda ahur kombuwol ɗa ɓa wa ƙǝsǝr ka hang nda tǝna.
2b150700ef	Tǝrgha tǝtsahadɗi nggǝmna Yeeso kaan ndanggǝn Mbiturus, “Chinǝm ni!” Hǝrǝmna Siman Mbiturus sǝkrha, “Chinǝm ni,” kalanggǝn luwudghǝn ƙǝsǝr kalang ɗa hai. Tǝrgha pǝrgha ahu aamɗa hai a mii ƙǝƙǝshɓangnda ɗǝ.
2b150800e4	Fingya fatsahaya ɗǝnda man patu ɗǝ tsau tǝ ƙǝƙǝshɓangnda ahu kombuwol. Na nda a kahang panggam ɗa sǝ na lǝlǝgɗa tǝ tǝna. Ƙǝsǝr mba nda inggun tǝ chehweerha wa, ƙǝla thlǝtta saara haru kumnggitghǝn mahan.
2b15090069	Sǝl na nda ƙǝƙǝshɓangnda ɗǝ, na tsal waarha nda a mbǝɗi tǝ tǝna a tenggǝn tǝ ƙǝm mburodi.
2b150a004e	Ndangga Yeeso kanda, “Ɓama ɓa tǝ fingya tǝngya ƙǝs nun kukuling ya.”
2b150b00ed	Tǝrgha Siman Mbiturus kyagha hu kombuwol hai kahanggǝn panggam ɗi a mii ƙǝƙǝshɓangnda ɗǝ. Nǝghǝn lǝlǝgɗa tǝ tǝngya na mǝmanggǝn haru tal tǝ kumnggit tuf kap mahan, heu tǝ hang nda tǝnggini thluwus wa panggam ɗi wa.
2b150c00a8	Ndangga Yeeso kanda, “Ɓama ɓa ɓun hǝb ǝnnarhami.” A hur fatsahayini mbusǝ ndengga yidghǝn tsahang mee nǝn, “Wunni sa wa?” Ƙǝsǝr sǝndasǝ Chinǝm ni.
2b150d0050	Tǝrangga Yeeso mburodi sǝ fǝranggǝnǝn kanda, ǝnagha kee tǝ tǝnɗi ƙǝm.
2b150e0074	Nanǝnya sar Yeeso yi mahan ni nǝn naarha kyad fadghǝn a fatsahayighǝn a kwasamadɗi thleng nanda sǝ ahu mǝrra.
2b150f010d	A kwasamadɗi ngwalang nanda hǝb ǝnnarhami tsahangga Yeeso mee Mbiturus, “Siman wan Yahaya, nggǝmna nggi ma fingyayini ya wa?” Nggǝrangga Mbiturus sǝ, “Haˈi, Chinǝm, sǝnnasǝ tafadwa nggǝmɗi sa.” Ndangga Yeeso, “Fǝrang ǝnnarhami wan chaurayina.”
2b151000c5	Nggǝrgha Yeeso tsahang mee yi sǝri, “Siman wan Yahaya, nggǝmna nggi wa?” Nggǝrangga Mbiturus sǝ, “Haˈi, Chinǝm, sǝnnasǝ tafadwa nggǝmɗi sa.” Ndangga Yeeso, “Lafu chaurayina.”
2b1511012b	Nggǝrgha Yeeso tsahang mee yi mahan, “Siman wan Yahaya, nggǝmna nggi wa?” Sǝbgha hur Mbiturus ɗǝ ka tsahang na Yeeso mee yi mahan aten ndaarha, “Nggǝmna nggi wa?” Ndanggǝn, “Chinǝm sǝnna ǝngya heu, sǝnnasǝ ƙǝm nggǝmɗi sa.” Ndangga Yeeso, “Fǝrang ǝnnarhami chaurayina.
2b151200d9	Niya puro ƙǝkafek, a sayidɗi nana wundǝlarha, na ngwarha fa ɗǝna a mbǝrha ɗǝ na midwa, amma a suhur na, na harang haar yiwa sǝ nggowa niifa fa ɗǝgha tǝ sa a mbǝrha ɗǝ mbuwa na midwa ɗǝrha saaɗǝ.”
2b15130094	(Thlǝkna Yeeso ndǝn kee ka a kyad tur kwaman ɗa nǝn na Mbiturus a mǝra sǝ ka mananggǝn thlǝm Faara.) Tǝrgha ndanggǝn, “Mbuwu samanna.”
2b151400ea	Kyahargha Mbiturus hai na tǝtsahadɗa nǝn nggǝmna Yeeso kaan a mbu samad ndan. Yanɗa ni tǝngsangga Yeeso fa a sayidɗi na nanda a hǝb ǝnnarhami yi Wutsǝfayid Tǝɗaarha tsahang nǝn mee Yeeso, “Chinǝm wunni na a fǝr sa?”
2b15150049	Nana Mbiturus ndǝn, tsahang mee nǝn Yeeso, “Chinǝm, niifɗiya wu?”
2b15160075	Nggǝrangga Yeeso sǝ, “Ana minna sǝ malang nggi tǝ yibrha ta far wuttǝna ɓa, ma njiɗowa? Sa mbuwu samanna.”
2b151700e2	Tǝrgha laɓarɗi ya welgha ɗǝ a mii fa takkwaya Yeeso tǝ ndaarha tǝtsahadɗi ya mbǝ a mǝra wa. Amma ndawa Yeeso mbǝ a mǝra wa, ˈya ndanǝn, “Ana minna sǝ malang nggi tǝ yibrha ta far wuttǝna ɓa, ma njiɗowa?”
2b15180061	Tǝtsahadɗa ni ya, nagha ǝnggini heu, chirethleng nǝn hai tǝ ƙǝm ˈya ndanǝn ƙǝkafek ni.
2b15190096	Na fingya ǝngya sǝ hangga ǝnana Yeeso. A ndam chirethleng nda kanda hai heu, kam mbǝ ƙǝshiirha mbang ƙǝs ɗeleewar yina ha chireelth nanda wa.
2c0000000f	Tar fathlǝngya
2c0101007f	Tiyafulus ahu ɗeleewar na ˈwani chirethleu ɗǝ chirethleu ɗi ǝnggina hai katǝra na Yeeso ǝnaarha heu tǝ tsahadghǝn ha,
2c01020090	ta farɗaɗǝ tǝrang nanda talara ɗǝ kapa na nda tǝrang nda talara ɗǝ kalang ɗǝ fathlǝnggighǝn sǝ tǝ thlarra Sǝsǝna tǝ Peɗǝnda.
2c01030100	A hu ɓenɗi kumnggit faɗa a kwasamadɗi tawang nanda ɗǝ kyadɗǝ fadghǝn a fathlǝnggighǝn sayi-sayi tǝ ƙǝm ahu kwamangya hangga kyaɗang nǝn ndaarha kanda nǝghǝn tǝ yibrha fa. A hu ɓenggini ya pǝrang ɗǝ laɓara kanda aten kutǝryid Faara.
2c010400d0	Ndǝghǝn ɓalɗǝ tǝ kanda ahu sayidɗi na nanda a hǝb ǝnnarhami ndanggǝn kanda, “A mal ɗun Urshalima wa kǝl a thlǝnang Pǝpa ǝnɗi kun ɓa ndanǝn. Ɗalama teena hai ˈwaɗi pǝrang ǝnɗi kun ya.
2c0105007e	Ənagha Yahaya mbaptisǝma tǝ aama, amma ahu ɓengya na ɓayi tǝ Sǝsǝna tǝ Pǝɗǝnda na nda a ǝnang mbaptisǝma kun.”
2c010600a2	Tǝrgha wumngga fathlǝnggighǝn hai a thlǝmadghǝn na nda a tsahang mee ha “Chinǝm na a kal Isǝrela hai nanǝnya nggǝrgha wuɗang kutǝryirha kan ha wa?”
