1300000005	Psalm
2c12140047	Sie baten ihn, noch länger dazubleiben. Aber darauf ging er nicht ein,
2c121500d3	sondern er sagte ihnen Lebewohl und sprach: "Ich muß auf jeden Fall das kommende Fest in Jerusalem verleben; doch wenn es Gottes Wille ist, so kehre ich ein andermal zu euch zurück." So fuhr er ab von Ephesus.
2c1216007d	Nach der Landung in Cäsarea ging er (nach Jerusalem) hinauf, begrüßte dort die Gemeinde und zog dann nach Antiochia hinab.
2c121700c9	Nach einem kurzen Aufenthalt daselbst trat er eine neue Wanderung an: er durchzog das galatische Land und Phrygien von einem Ende bis zum anderen und stärkte alle Jünger im Glauben. Herbst 51 n. Chr.
2c1218008d	Inzwischen war ein Jude, namens Apollos, aus Alexandria gebürtig, ein beredter Mann und wohlbewandert in der Schrift, nach Ephesus gekommen.
2c1219009d	Der war über den "Weg des Herrn" unterrichtet, und glühend im Geist redete und lehrte er gründlich von Jesus, obwohl er nur die Taufe des Johannes kannte.
2c121a00d0	Dieser Mann begann in dem jüdischen Versammlungshaus mit Freimut zu predigen. Aquila und Priszilla, die ihn dort hörten, traten in Verkehr mit ihm und setzten ihm "Gottes Weg" noch gründlicher auseinander.
2c121b0103	Als er dann die Absicht hatte, nach Achaja zu reisen, ermunterten ihn die Brüder (in Ephesus) dazu und schrieben den Jüngern (in Korinth), sie möchten ihn freundlich aufnehmen. Nach seiner Ankunft war er den Gläubigen durch Gottes Gnade zum großen Segen.
2c121c00a2	Denn in öffentlichen Unterredungen widerlegte er durch sein kräftiges Zeugnis die Einwürfe der Juden und wies aus der Schrift nach, daß Jesus der Messias sei.
2c130100c6	Während sich Apollos in Korinth aufhielt, durchwanderte Paulus zunächst das gebirgige Binnenland (Kleinasiens) und kam dann an die Küste nach Ephesus. Dort fand er einige Jünger. Anf. 52 n. Chr.
2c130200be	Die fragte er: "Habt ihr den Heiligen Geist empfangen, nachdem ihr gläubig geworden seid?" Sie antworteten ihm: "Wir haben überhaupt noch nicht gehört, ob der Heilige Geist gekommen ist."
2c13030066	Da fragte er sie weiter: "Welche Taufe habt ihr denn empfangen?" Sie erwiderten: "Des Johannes Taufe."
2c130400bc	Paulus sprach: "Johannes hat getauft mit einer Taufe, die von einer Sinnesänderung begleitet sein mußte, und er sagte dem Volk, sie sollten glauben an den, der nach ihm käme: an Jesus."
2c1305004a	Als sie das hörten, ließen sie sich taufen in den Namen des Herrn Jesus.
2c13060073	Als ihnen dann Paulus die Hände auflegte, kam der Heilige Geist auf sie, und sie redeten in Zungen und weissagten.
2c13070032	Es waren ihrer im ganzen ungefähr zwölf Männer.
2c130800b7	Paulus ging dann in das jüdische Versammlungshaus und predigte dort mit allem Freimut über Gottes Königreich. Drei Monate lang suchte er die Juden durch seine Reden zu überzeugen.
2c13090156	Als sich aber manche dagegen verstockten und, anstatt zu glauben, "den Weg" (des Herrn) vor der versammelten Gemeinde schmähten, da trennte er sich von ihnen. Er sonderte die Jünger (von der jüdischen Gemeinde) ab und hielt nun täglich (von der fünften bis zur zehnten Stunde) seine Lehrvorträge in dem Hörsaal eines gewissen Tyrannus.
2c130a0068	Das dauerte zwei Jahre, so daß alle Bewohner Asiens, Juden sowohl wie Heiden, des Herrn Wort vernahmen.
2c130b0041	Gott tat auch durch des Paulus Hände ganz ungewöhnliche Wunder:
2c130c00dc	sogar die Tücher, womit sich Paulus den Schweiß abgewischt, oder die Schürzen, die er bei der Arbeit getragen hatte, legte man auf die Kranken, die dann von ihren Leiden geheilt und von bösen Geistern befreit wurden.
2c130d00f8	Auch einige umherziehende jüdische Teufelsaustreiber versuchten bei solchen, die von bösen Geistern besessen waren, den Namen des Herrn Jesus anzurufen; sie gebrauchten dabei die Worte: "Ich beschwöre euch bei dem Jesus, den Paulus verkündigt."
2c130e006b	So trieben es unter anderen die sieben Söhne eines Juden aus hohenpriesterlichem Geschlecht namens Skeuas.
2c130f006d	Aber der böse Geist antwortete ihnen: "Jesus kenne ich, und von Paulus habe ich gehört; doch wer seid ihr?"
2c131000be	Damit sprang der Mensch, in dem der böse Geist war, auf sie los, überwältigte zwei von ihnen und mißhandelte sie so, daß sie ohne Kleider und voller Wunden aus dem Haus fliehen mußten.
2c131100ac	Von diesem Vorfall hörten alle Juden und Heiden, die in Ephesus wohnten. Sie alle wurden von Schrecken ergriffen, und man fing an, den Namen des Herrn Jesus hoch zu ehren.
2c1312007f	Nun kamen auch viele von denen, die schon früher gläubig geworden waren, und bekannten offen, was sie einst getrieben hatten.
2c131300e1	Ja, nicht wenige von denen, die mit Zauberkünsten umgegangen waren, brachten ihre Zauberbücher herbei und verbrannten sie öffentlich. Als man ihren Wert berechnete, ergab sich der Betrag von fünfzigtausend Silberstücken.
2c1314004d	In solcher Weise wuchs das Wort des Herrn mit Macht und erwies sich kräftig.
2c131500aa	Nach diesen Ereignissen beschloß Paulus, über Mazedonien und Achaja nach Jerusalem zu reisen. "Wenn ich dort gewesen bin", so sprach er, "dann muß ich auch Rom sehen."
2c13160087	Er sandte zwei seiner Mitarbeiter, Timotheus und Erastus, nach Mazedonien voraus, während er selbst noch eine Zeitlang in Asien blieb.
2c13170045	Gerade damals entstand wegen der Lehre des Herrn ein großer Aufruhr.
2c131800d1	Ein Silberschmied, mit Namen Demetrius, der in Silber kleine Nachbildungen des Tempels der Artemis verfertigte, verschaffte allen, die in diesem Erwerbszweig beschäftigt waren, einen nicht geringen Verdienst.
2c13190087	Eines Tages versammelte er diese Künstler und ihre Gehilfen und sprach zu ihnen: "Ihr wißt genau, wie einträglich unser Gewerbe ist.
2c131a00e3	Nun seht und hört ihr aber, wie dieser Paulus nicht nur in Ephesus, sondern fast in ganz Asien viele Leute durch seine Überredungskünste verführt hat, indem er behauptet: 'Das sind keine Götter, die man mit Händen macht!'
2c131b0120	Doch nicht nur unser Gewerbe droht in Mißachtung zu kommen, sondern auch das Heiligtum der großen Göttin Artemis ist in Gefahr, sein ganzes Ansehen zu verlieren; ja die Herrlichkeit dieser Göttin, die ganz Asien und der Erdkreis mit Anbetung ehren, droht bald in den Staub zu sinken."
2c131c0065	Bei diesen Worten gerieten sie in Wut und fingen an zu schreien: "Groß ist die Artemis der Epheser!"
2c131d00b2	Ja, die ganze Stadt geriet in Aufregung, und alles stürmte in die Schauburg. Dorthin wurden auch die Mazedonier Gajus und Aristarchus, des Paulus Reisegefährten, mitgeschleppt.
2c131e0060	Auch Paulus selbst wollte sich unter das Volk begeben, aber die Jünger ließen ihn nicht gehen.
2c131f0086	Sogar einige hohe Beamte, die ihm gewogen waren, sandten zu ihm und ließen ihn dringend bitten, sich nicht in die Schauburg zu wagen.
2c132000b6	Die Menge schrie indessen weiter, der eine dies, der andere das; denn die Versammlung war ganz in Aufregung, und die meisten wußten überhaupt nicht, warum man zusammengekommen war.
2c132100f0	Da ließ man aus der Volksmenge einen gewissen Alexander, den die Juden vorgeschoben hatten, auf die Bühne der Schauburg hinuntergehen. Alexander winkte mit der Hand und schickte sich an, seine Glaubensgenossen vor dem Volk zu verteidigen.
2c13220087	Als man aber merkte, daß er ein Jude war, da schrien alle aus einem Munde etwa zwei Stunden lang: "Groß ist die Artemis der Epheser!"
2c132300ea	Der Stadtkanzler brachte endlich die Menge zur Ruhe und sprach: "Ihr Männer von Ephesus, wer in aller Welt wüßte nicht, daß die Stadt Ephesus die Hüterin des Tempels der großen Artemis und ihres vom Himmel gefallenen Bildes ist?
2c1324005f	Das kann doch niemand bestreiten. Deshalb solltet ihr ruhig bleiben und nichts Unbedachtes tun.
2c13250066	Ihr habt diese Männer da hergeführt, die doch weder Tempelräuber sind noch unsere Göttin lästern.
2c1326009a	Haben aber Demetrius und seine Berufsgenossen wider jemand eine Beschwerde, nun, so gibt's Gerichtstage und Statthalter: da mögen sie einander verklagen!
2c13270065	Und habt ihr sonst noch Anträge, so sollen die in der gesetzlichen Volksversammlung erledigt werden.
2c132800dd	Wir laufen nämlich Gefahr, daß man uns des heutigen Vorfalls wegen als Aufrührer anklagt; denn es liegt kein Grund vor, womit wir diesen Auflauf rechtfertigen könnten." Mit diesen Worten löste er die Versammlung auf.
2c140100ac	Als sich die Unruhe gelegt hatte, rief Paulus die Jünger zusammen; er hielt eine Ansprache an sie, sagte ihnen Lebewohl und zog aus nach Mazedonien. Anf. Sommer 54 n. Chr.
2c14020083	Er reiste durch dieses Land und ermunterte die Jünger mit reichem Zuspruch. Dann begab er sich nach Griechenland Dezbr. 54 n. Chr.
2c140300c5	und hielt sich dort drei Monate auf. Weil aber die Juden, als er sich nach Syrien einschiffen wollte, einen Anschlag auf sein Leben vorhatten, beschloß er, den Rückweg durch Mazedonien zu nehmen.
2c140400c9	Bis Asien begleiteten ihn (durch Mazedonien) Sopater, der Sohn des Pyrrhus, aus Beröa, Aristarchus und Sekundus aus Thessalonich, Gajus aus Derbe und Timotheus, sowie Tychikus und Trophimus aus Asien.
2c14050048	Die beiden letzten kamen erst später hinzu und erwarteten uns in Troas.
2c140600c2	Wir anderen fuhren nach den Tagen der ungesäuerten Brote von Philippi ab und trafen sie nach einer fünftägigen Fahrt in Troas, wo wir uns sieben Tage aufhielten. Gleich nach Ostern 55 n. Chr.
2c140700c6	Am ersten Wochentag kamen wir zusammen, um das Brot zu brechen. Vorher hielt Paulus, der am nächsten Morgen abreisen wollte, eine Ansprache an die Jünger und dehnte seine Rede bis Mitternacht aus.
2c14080040	In dem Obersaal, wo wir versammelt waren, brannten viele Lampen.
2c140900fe	Ein Jüngling mit Namen Eutychus saß auf der Fensterbank und fiel während der langen Predigt des Paulus in tiefen Schlaf. Dabei verlor er das Gleichgewicht und stürzte aus dem dritten Stockwerk in die Tiefe. Als man ihn aufhob, hielt man ihn für tot.
2c140a007c	Paulus eilte hinab, beugte sich über ihn, nahm ihn in seine Arme und sprach: "Seid unbesorgt, seine Seele ist noch in ihm."
2c140b00c3	Dann ging er wieder hinauf und brach das Brot (bei dem Mahl des Herrn). Hierauf nahm er einen Imbiß und unterhielt sich noch lange mit den Brüdern bis zur Morgendämmerung. Da nahm er Abschied.
2c140c005e	Den Jüngling aber brachte man jetzt lebendig nach Hause. Das war für alle ein großer Trost.
2c140d00cb	Wir anderen waren schon vorher auf das Schiff gegangen und fuhren nun ab nach Assus, wo wir auch Paulus an Bord nehmen sollten; denn so hatte er es bestimmt, weil er selbst den Weg zu Fuß machen wollte.
2c140e004a	Als er uns in Assus traf, nahmen wir ihn an Bord und fuhren nach Mitylene.
2c140f009a	Von da ging die Reise weiter. Am folgenden Tag ankerten wir Chios gegenüber, tags darauf erreichten wir Samos, und am nächsten Tag kamen wir nach Milet.
2c141000aa	Paulus hatte sich nämlich entschlossen, an Ephesus vorbeizufahren, um keine Zeit in Asien zu verlieren. Denn er eilte, um wo möglich am Pfingsttag in Jerusalem zu sein.
2c14110062	Von Milet sandte er Botschaft nach Ephesus und berief die Ältesten der dortigen Gemeinde zu sich.
2c141200c7	Als sie bei ihm versammelt waren, sprach er zu ihnen: "Ihr wißt, wie ich seit dem ersten Tag, wo ich nach Asien gekommen bin, und während meines ganzen Aufenthaltes daselbst unter euch gelebt habe:
2c14130086	Ich habe dem Herrn gedient in aller Demut, ja unter Tränen und Anfechtungen, die mir durch die Anschläge der Juden widerfahren sind.
2c14140099	Nichts von dem, was euch nützlich sein konnte, habe ich verschwiegen, wenn ich euch öffentlich und einzeln in den Häusern predigte und euch unterwies.
2c14150074	Juden und Heiden habe ich dringend ermahnt, sich zu Gott zu bekehren und an unseren Herrn Jesus Christus zu glauben.
2c14160075	Nun bin ich, in meinem Geist dazu getrieben, auf dem Weg nach Jerusalem. Ich weiß nicht, was mir dort begegnen wird.
2c1417008c	Nur soviel ist gewiß: der Heilige Geist weist mich in allen Städten eindringlich darauf hin, daß Gefangenschaft und Leiden mich erwarten.
2c141800e8	Doch selbst an meinem Leben liegt mir nichts, wenn ich nur meinen Lauf (mit Freuden) vollenden und jenen Dienst zum Abschluß bringen kann, den ich empfangen habe von dem Herrn Jesus: die Heilsbotschaft der Gnade Gottes zu bezeugen.
2c14190089	Und nun, ich weiß: ihr alle, bei denen ich mit der Verkündigung des Königreichs geweilt, ihr sollt mein Angesicht nicht länger sehen.
2c141a004f	Darum erkläre ich euch heute feierlich: Ich bin ganz rein von euer aller Blut.
2c141b0081	Denn ich habe euch in meiner Predigt nichts verschwiegen, sondern euch den Ratschluß Gottes in seinem ganzen Umfang kundgemacht.
2c141c00c1	So habt denn acht auf euch und auf die ganze Herde, über die euch der Heilige Geist als Bischöfe gesetzt hat, daß ihr des Herrn Kirche weidet, die er sich durch sein eigen Blut erworben hat!
2c141d0074	(Denn) ich weiß: nach meinem Weggang werden reißende Wölfe unter euch einbrechen, die die Herde nicht verschonen.
2c141e0077	Ja, aus eurer eigenen Mitte werden Männer auftreten, die verkehrte Dinge lehren, um die Jünger für sich zu gewinnen.
2c141f008a	Darum wacht und denkt daran, daß ich drei Jahre Tag und Nacht nicht abgelassen habe, jeden einzelnen von euch unter Tränen zu vermahnen!
2c1420009c	Und nun befehle ich euch Gott und dem Wort seiner Gnade: er vermag euch zu erbauen und euch das Erbteil zu verleihen zugleich mit allen, die geheiligt sind.
2c1421003f	Silber, Gold und Kleider habe ich mir von niemand geben lassen.
2c14220068	Ihr wißt ja selbst, daß diese meine Hände für meinen und meiner Mitarbeiter Unterhalt gesorgt haben.
2c1423010e	Mein Beispiel hat euch stets gezeigt, wie man durch solche Arbeit im Schweiß seines Angesichts auch noch die Mittel haben muß, die Hilfsbedürftigen zu unterstützen, eingedenk der Worte des Herrn Jesus, der ja selbst gesagt hat: 'Geben ist beglückender als Nehmen.'"
2c1424003e	Nach diesen Worten kniete er mit ihnen allen zum Gebet nieder.
2c14250044	Unter lautem Weinen fielen alle Paulus um den Hals und küßten ihn.
2c14260078	Am meisten betrübte sie sein Wort, sie würden sein Angesicht nicht weiter sehen. Dann brachten sie ihn auf das Schiff.
2c150100a5	Als wir uns endlich von ihnen losgerissen hatten und in See gegangen waren, fuhren wir geradewegs nach Kos. Tags darauf kamen wir nach Rhodus und von da nach Patara.
2c15020065	Hier fanden wir ein Schiff, das nach Phönizien fahren wollte; da gingen wir an Bord und segelten ab.
2c150300a6	Als wir Zypern zu Gesicht bekamen, ließen wir es links liegen, fuhren auf Syrien zu und gingen in Tyrus vor Anker. Denn dort sollte das Schiff seine Ladung löschen.
2c1504009c	Wir suchten in Tyrus die Jünger auf und blieben sieben Tage bei ihnen. Die Jünger warnten Paulus durch den Geist, wiederholt vor der Reise nach Jerusalem.
2c150500c3	Als die sieben Tage des Aufenthaltes zu Ende waren, schickten wir uns zur Weiterreise an. Alle Jünger mit Weib und Kind begleiteten uns bis vor die Stadt. Am Strand knieten wir nieder zum Gebet.
2c15060070	Dann nahmen wir Abschied voneinander und bestiegen unser Schiff, während die Jünger nach Hause zurückkehrten.
2c1507008b	Unsere Seereise war zu Ende, als wir von Tyrus aus in Ptolemais landeten. Dort begrüßten wir die Brüder und blieben einen Tag bei ihnen.
2c15080099	Tags darauf machten wir uns auf den Weg nach Cäsarea. Dort gingen wir in das Haus des Evangelisten Philippus, eines von den Sieben, und blieben bei ihm.
2c15090051	Der hatte vier Töchter; die waren Jungfrauen und hatten die Gabe der Weissagung.
2c150a0062	Wir waren schon einige Tage in Cäsarea, als von Judäa ein Prophet, mit Namen Agabus, dort ankam.
2c150b0113	Der besuchte uns und ergriff bei dieser Gelegenheit den Gürtel des Paulus, band sich damit Füße und Hände und sprach dabei die Worte: "Dies sagt der Heilige Geist: 'So werden die Juden in Jerusalem den Eigentümer dieses Gürtels binden und ihn den Heiden überliefern.'"
2c150c0078	Als wir dies hörten, baten wir und die Brüder in Cäsarea Paulus dringend, er möge nicht nach Jerusalem hinaufziehen.
2c150d00b6	Da antwortete er: "Was weint ihr denn und brecht mir das Herz? Ich bin bereit, mich in Jerusalem für den Namen des Herrn Jesus nicht nur binden zu lassen, sondern sogar zu sterben."
2c150e0075	Weil er sich nicht umstimmen lassen wollte, redeten wir ihm nicht weiter zu und sprachen: "Des Herrn Wille geschehe!"
2c150f005b	Einige Tage später machten wir uns reisefertig und traten die Wanderung nach Jerusalem an.
2c1510008e	Auch einige Jünger aus Cäsarea zogen mit uns. Die brachten uns zu einem alten Jünger aus Zypern, namens Mnason, bei dem wir wohnen sollten.
2c1511004d	Bei unserer Ankunft in Jerusalem hießen uns die Brüder herzlich willkommen.
2c1512005a	Tags darauf ging Paulus mit uns zu Jakobus, bei dem sich alle Ältesten versammelt hatten.
2c1513007d	Paulus begrüßte sie und erzählte ihnen ausführlich und genau, was Gott durch seinen Dienst unter den Heiden gewirkt habe.
2c151400c6	Als die Ältesten das hörten, priesen sie Gott. Dann aber sprachen sie zu Paulus: "Du siehst, Bruder: die gläubiggewordenen Juden zählen nach Zehntausenden; aber alle eifern noch für das Gesetz.
2c151500e2	Nun hat man ihnen von dir erzählt, du fordertest alle Juden, die unter den Heiden leben, zum Abfall von Mose auf und rietest ihnen, sie sollten ihre Kinder nicht beschneiden und nicht nach den Vorschriften des Gesetzes leben.
2c15160040	Was ist da zu tun? Es wird ja sicher ruchbar, daß du hier bist.
2c1517005f	Tu deshalb, was wir dir raten: Wir haben hier vier Männer, die ein Gelübde einlösen müssen.
2c1518011f	Denen schließe du dich an, nimm auch ein Gelübde auf dich und trage die Kosten für sie, damit sie sich das Haupthaar scheren lassen können! Dann werden alle einsehen, daß an dem, was sie von dir gehört, nichts Wahres ist, sondern daß auch du gewissenhaft nach dem Gesetz wandelst.
2c1519011a	Was aber die gläubig gewordenen Heiden betrifft, so haben wir ja bestimmt und ihnen dies schriftlich mitgeteilt, daß sie meiden sollen den Genuß von Götzenopferfleisch, das Blut geschlachteter Tiere, das Fleisch von Tieren, die man in Schlingen fängt, und die Ehen mit Heiden."
2c151a0112	Da ließ Paulus die Männer zu sich kommen und schloß sich ihrem Gelübde an. Tags darauf ging er in den Tempel und ließ dort anmelden, daß die Tage ihres Gelübdes zu Ende seien, und er blieb im Tempel, bis das vorgeschriebene Opfer für jeden von ihnen dargebracht war.
2c151b00a1	Als die sieben Tage ihrem Ende nahten, erblickten die Juden aus Asien Paulus im Tempel. Da brachten sie die ganze Volksmenge in Aufruhr, legten die Hände an ihn
2c151c00f9	und riefen laut: "Zu Hilfe, ihr Männer Israels! Dies ist der Mensch, der überall vor aller Welt gegen unser Volk und Gesetz und gegen diese Stätte redet. Und obendrein hat er noch Heiden in den Tempel gebracht und diese heilige Stätte entweiht."
2c151d0086	Sie hatten nämlich Trophimus aus Ephesus vorher mit ihm in der Stadt gesehen und meinten nun, Paulus habe ihn in den Tempel geführt.
2c151e00ac	Die ganze Stadt geriet in Aufregung, und es entstand ein Volksauflauf. Paulus ward ergriffen, und man schleppte ihn aus dem Tempel, dessen Türen sofort geschlossen wurden.
2c151f0076	Schon wollten sie Paulus töten, als dem Obersten der römischen Truppe gemeldet wurde, ganz Jerusalem sei in Aufruhr.
2c152000c6	Der Oberst eilte sofort mit einer Abteilung Soldaten und einigen Hauptleuten zu dem Tempelplatz hinab. Bei dem Anblick des Befehlshabers und seiner Soldaten hörte die Menge auf, Paulus zu schlagen.
2c1521008e	Der Oberst kam herbei, ließ Paulus ergreifen und befahl, ihn mit zwei Ketten zu binden. Zugleich fragte er, wer er sei und was er getan habe.
2c1522008e	Die einen im Volk riefen dies, die anderen das. Weil er bei dem Lärm nichts Sicheres erfahren konnte, befahl er, ihn in das Lager zu führen.
2c15230075	Als Paulus an die Stufen kam, drang das Volk so wütend auf ihn ein, daß er von den Soldaten getragen werden mußte.
2c15240034	Denn die Menge folgte und schrie: "Er soll sterben!"
2c152500c7	In dem Augenblick, wo Paulus in das Lager geführt werden sollte, sprach er (auf griechisch) zu dem Obersten: "Darf ich ein Wort zu dir reden?" Der antwortete (voll Erstaunen): "Du kannst Griechisch?
2c15260096	Du bist also nicht der Jude aus Ägypten, der vor einiger Zeit den Aufstand erregt und die viertausend Dolchmänner in die Wüste hinausgeführt hat?"
2c1527008e	Paulus erwiderte: "Nein, ich bin ein Jude aus Tarsus, ein Bürger dieser bekannten Stadt Ziliziens. Erlaube mir, bitte, zu dem Volk zu reden!"
2c152800ca	Als der Befehlshaber dies gestattete, trat Paulus oben auf die Stufen und winkte dem Volk mit der Hand. Da trat ein lautloses Schweigen ein, und er redete nun zu ihnen in der aramäischen Landessprache.
2c1601006e	"Liebe Brüder und Väter", so begann er, "vernehmt, was ich euch jetzt zu meiner Verteidigung zu sagen habe!"
2c16020060	Als sie hörten, daß er aramäisch zu ihnen redete, wurden sie noch stiller. Dann fuhr er fort:
2c16030101	"Ich bin ein Jude, geboren zu Tarsus in Zilizien; aber erzogen bin ich hier in dieser Stadt und habe zu den Füßen Gamaliels streng nach dem Gesetz unserer Väter meine Ausbildung empfangen, so daß ich voll Eifer war für Gott, wie ihr es alle heute seid.
2c1604008f	Darum habe ich auch diese Richtung bis auf den Tod verfolgt, so daß ich Männer und Frauen in Ketten schlagen und ins Gefängnis werfen ließ.
2c1605010a	Das können mir der Hohepriester und der ganze Hohe Rat bezeugen. Denn von ihnen habe ich auch Briefe an unsere Brüder in Damaskus empfangen; und so begab ich mich dorthin, um auch alle die in jener Stadt wohnten, in Ketten zur Bestrafung nach Jerusalem zu führen.
2c1606007c	Als ich mich nun auf meiner Reise Damaskus näherte, da umstrahlte mich plötzlich gegen Mittag vom Himmel ein helles Licht.
2c1607005d	Ich fiel zu Boden und hörte eine Stimme zu mir sagen: 'Saul, Saul, warum verfolgst du mich?'
2c16080066	'Wer bist du, Herr?', so fragte ich. Er antwortete mir: 'Ich bin Jesus von Nazaret, den du verfolgst.'
2c16090062	Meine Begleiter sahen zwar das Licht, aber die Worte dessen, der zu mir redete, hörten sie nicht.
2c160a009e	Da fragte ich: 'Herr, was soll ich tun?' Der Herr antwortete mir: 'Steh auf und gehe nach Damaskus! Da wird man dir alles sagen, was dir zu tun bestimmt ist.'
2c160b008c	Weil ich nun nicht sehen konnte, da mich das Licht geblendet hatte, nahmen mich meine Gefährten bei der Hand, und so kam ich nach Damaskus.
2c160c0086	Dort lebte ein gewisser Ananias, ein frommer Mann, der das Gesetz treu erfüllte und von allen Juden in der Stadt hoch geachtet wurde.
2c160d0096	Der kam zu mir, trat an mich heran und sprach zu mir: 'Bruder Saul, sieh mich an!' In demselben Augenblick konnte ich wieder sehen und blickte ihn an.
2c160e009f	Er aber fuhr fort: 'Der Gott unserer Väter hat dich dazu erwählt, seinen Willen zu erkennen, den Gerechten zu sehen und die Worte seines Mundes zu vernehmen.
2c160f0062	Denn du sollst in seinem Auftrag allen Menschen Zeugnis geben von dem, was du gesehen und gehört.
2c16100086	Und nun, was zögerst du? Steh auf, laß dich taufen und dich dadurch von deinen Sünden rein waschen, indem du seinen Namen anrufst!'
2c1611005f	Als ich dann nach Jerusalem zurückgekehrt war und im Tempel betete, geriet ich in Verzückung.
2c16120095	Da sah ich ihn, und er sprach zu mir: 'Eile und verlaß Jerusalem so schnell als möglich! Denn sie werden von dir kein Zeugnis über mich annehmen.'
2c1613009d	Ich antwortete: 'Herr, sie wissen doch, daß gerade ich deine Gläubigen habe ins Gefängnis werfen und sie in den Versammlungshäusern habe geißeln lassen.
2c161400a6	Und als das Blut deines Zeugen Stephanus vergossen wurde, war ich auch dabei zugegen; ich hatte daran Wohlgefallen und verwahrte die Kleider derer, die ihn töteten.'
2c16150054	Da sprach er zu mir: 'Zieh hin, ich will dich in die Ferne zu den Heiden senden...'"
2c161600a3	Bis dahin hatten sie ihn ruhig angehört. Bei den letzten Worten aber fingen sie an zu rufen: "Weg mit solchem Menschen von der Erde; er darf nicht länger leben!"
2c16170054	Als sie so schrien und dabei ihre Oberkleider auszogen und Staub in die Luft warfen,
2c161800a8	ließ der Oberst Paulus in das Lager führen. Zugleich gebot er, ihn peinlich zu verhören; denn er wollte wissen, warum die Menge so wütend gegen ihn geschrien hatte.
2c161900d0	Als Paulus schon festgebunden war und die Geißelung beginnen sollte, fragte er den aufsichtführenden Hauptmann: "Dürft ihr denn einen römischen Bürger geißeln, und noch dazu ohne richterliches Verhör?"
2c161a009c	Auf diese Worte hin eilte der Hauptmann zu dem Obersten, um ihm zu berichten, und sprach zu ihm: "Was willst du tun? Dieser Mann ist ja römischer Bürger."
2c161b004f	Da kam der Oberst und sprach zu Paulus: "Sage mir, bist du römischer Bürger?"
2c161c00a4	Er antwortete: "Ja." Der Oberst fuhr fort: "Ich habe mir das Bürgerrecht für viel Geld erworben." Paulus erwiderte: "Und ich bin römischer Bürger durch Geburt."
2c161d00c9	Die Soldaten, die ihn hatten geißeln wollen, traten jetzt sofort von ihm zurück. Auch der Oberst war in Sorge, weil er nun wußte, daß er einen römischen Bürger zur Geißelung hatte binden lassen.
2c161e0117	Da er aber genau erfahren wollte, welche Anklagen die Juden gegen ihn vorzubringen hätten, ließ er ihm tags darauf die Fesseln abnehmen und gebot, die Hohenpriester und der ganze Hohe Rat sollten sich versammeln. Dann ließ er Paulus hinabführen und in ihrer Mitte erscheinen.
2c17010089	Paulus sah den Hohen Rat mit festem Blick an und sprach: "Liebe Brüder, bis heute bin ich stets mit reinem Gewissen vor Gott gewandelt."
2c1702006a	Bei diesen Worten befahl der Hohepriester Ananias den anwesenden Dienern, Paulus auf den Mund zu schlagen.
2c170300b0	Da sprach Paulus zu ihm: "Gott wird dich schlagen, du getünchte Wand! Du sitzt da, um mich nach dem Gesetz zu richten, und läßt mich schlagen im Widerspruch mit dem Gesetz?"
2c17040048	"Was? Du schmähst den Hohenpriester Gottes?", so fragen ihn die Diener.
2c170500ad	"Brüder", versetzte Paulus, "ich habe nicht gewußt, daß hier ein Hoherpriester ist; steht doch geschrieben: Gegen einen Oberen deines Volkes sollst du nicht übel reden."
2c17060101	Da nun Paulus wußte, daß der Hohe Rat teils aus Sadduzäern, teils aus Pharisäern bestand, rief er laut: "Brüder, ich bin ein Pharisäer, und auch meine Ahnen waren Pharisäer. Wegen meiner Hoffnung auf die Totenauferstehung stehe ich hier vor Gericht."
2c1707007e	Diese Worte erregten einen heftigen Zwist zwischen den Pharisäern und den Sadduzäern, so daß sich die Versammlung spaltete.
2c17080089	- Die Sadduzäer leugnen nämlich die Auferstehung und das Dasein von Engeln und Geistern, während die Pharisäer beides anerkennen. —
2c17090121	Es erhob sich ein lautes Geschrei. Endlich standen einige Schriftgelehrte der pharisäischen Partei von ihren Sitzen auf und sagten in scharfem Ton: "Wir finden an diesem Menschen nichts Böses. Hat aber ein Geist oder ein Engel mit ihm geredet (nun, was läßt sich dann dagegen sagen?)."
2c170a00ec	Da der Oberst fürchtete, Paulus könne von den Versammelten bei dem heftigen Streit zerrissen werden, ließ er eine Abteilung Soldaten von der Burg kommen, die Paulus mit Gewalt aus ihrer Mitte führen und in das Lager bringen mußten.
2c170b00a1	Die Nacht darauf trat der Herr zu ihm und sprach: "Sei getrost! Denn wie du in Jerusalem von mir Zeugnis abgelegt hast, so mußt du auch in Rom mein Zeuge sein."
2c170c00aa	Am anderen Morgen taten sich einige Juden zusammen und verpflichteten sich mit schrecklichen Eiden, sie wollten nichts essen und trinken, bis sie Paulus getötet hätten.
2c170d0036	Ihrer waren mehr als vierzig, die sich so verschworen.
2c170e00a0	Diese Männer gingen zu den Hohenpriestern und Ältesten und sprachen: "Wir haben uns feierlich verschworen, nichts zu genießen, bis wir Paulus getötet haben.
2c170f00e8	Werdet ihr nun zusammen mit dem Hohen Rat bei dem Obersten vorstellig, daß er ihn zu euch führen lasse, als wolltet ihr seinen Fall noch genauer untersuchen! Dann werden wir bereitstehen und ihn töten, noch ehe er hierher kommt."
2c17100076	Des Paulus Schwestersohn hörte von diesem Anschlag. Er begab sich in das Lager, trat ein und teilte Paulus alles mit.
