2800000008	mathiḥ
2c11100083	paula āthīnīnagare tāvapekṣya tiṣṭhan tannagaraṁ pratimābhiḥ paripūrṇaṁ dṛṣṭvā santaptahṛdayo 'bhavat|
2c11110081	tataḥ sa bhajanabhavane yān yihūdīyān bhaktalokāṁśca haṭṭe ca yān apaśyat taiḥ saha pratidinaṁ vicāritavān|
2c11120128	kintvipikūrīyamatagrahiṇaḥ stoyikīyamatagrāhiṇaśca kiyanto janāstena sārddhaṁ vyavadanta| tatra kecid akathayan eṣa vācālaḥ kiṁ vaktum icchati? apare kecid eṣa janaḥ keṣāñcid videśīyadevānāṁ pracāraka ityanumīyate yataḥ sa yīśum utthitiñca pracārayat|
2c11130095	te tam areyapāganāma vicārasthānam ānīya prāvocan idaṁ yannavīnaṁ mataṁ tvaṁ prācīkaśa idaṁ kīdṛśaṁ etad asmān śrāvaya;
2c11140078	yāmimām asambhavakathām asmākaṁ karṇagocarīkṛtavān asyā bhāvārthaḥ ka iti vayaṁ jñātum icchāmaḥ|
2c11150089	tadāthīnīnivāsinastannagarapravāsinaśca kevalaṁ kasyāścana navīnakathāyāḥ śravaṇena pracāraṇena ca kālam ayāpayan|
2c111600a8	paulo'reyapāgasya madhye tiṣṭhan etāṁ kathāṁ pracāritavān, he āthīnīyalokā yūyaṁ sarvvathā devapūjāyām āsaktā ityaha pratyakṣaṁ paśyāmi|
2c111700e1	yataḥ paryyaṭanakāle yuṣmākaṁ pūjanīyāni paśyan ‘avijñāteśvarāya’ etallipiyuktāṁ yajñavedīmekāṁ dṛṣṭavān; ato na viditvā yaṁ pūjayadhve tasyaiva tatvaṁ yuṣmān prati pracārayāmi|
2c11180092	jagato jagatsthānāṁ sarvvavastūnāñca sraṣṭā ya īśvaraḥ sa svargapṛthivyorekādhipatiḥ san karanirmmitamandireṣu na nivasati;
2c111900a8	sa eva sarvvebhyo jīvanaṁ prāṇān sarvvasāmagrīśca pradadāti; ataeva sa kasyāścit sāmagyrā abhāvaheto rmanuṣyāṇāṁ hastaiḥ sevito bhavatīti na|
2c111a0099	sa bhūmaṇḍale nivāsārtham ekasmāt śoṇitāt sarvvān manuṣyān sṛṣṭvā teṣāṁ pūrvvanirūpitasamayaṁ vasatisīmāñca niracinot;
2c111b007a	tasmāt lokaiḥ kenāpi prakāreṇa mṛgayitvā parameśvarasya tatvaṁ prāptuṁ tasya gaveṣaṇaṁ karaṇīyam|
2c111c00f0	kintu so'smākaṁ kasmāccidapi dūre tiṣṭhatīti nahi, vayaṁ tena niśvasanapraśvasanagamanāgamanaprāṇadhāraṇāni kurmmaḥ, punaśca yuṣmākameva katipayāḥ kavayaḥ kathayanti ‘tasya vaṁśā vayaṁ smo hi’ iti|
2c111d00ba	ataeva yadi vayam īśvarasya vaṁśā bhavāmastarhi manuṣyai rvidyayā kauśalena ca takṣitaṁ svarṇaṁ rūpyaṁ dṛṣad vaiteṣāmīśvaratvam asmābhi rna jñātavyaṁ|
2c111e009c	teṣāṁ pūrvvīyalokānām ajñānatāṁ pratīśvaro yadyapi nāvādhatta tathāpīdānīṁ sarvvatra sarvvān manaḥ parivarttayitum ājñāpayati,
2c111f00ca	yataḥ svaniyuktena puruṣeṇa yadā sa pṛthivīsthānāṁ sarvvalokānāṁ vicāraṁ kariṣyati taddinaṁ nyarūpayat; tasya śmaśānotthāpanena tasmin sarvvebhyaḥ pramāṇaṁ prādāt|
2c11200084	tadā śmaśānād utthānasya kathāṁ śrutvā kecid upāhaman, kecidavadan enāṁ kathāṁ punarapi tvattaḥ śroṣyāmaḥ|
2c11210031	tataḥ paulasteṣāṁ samīpāt prasthitavān|
2c11220096	tathāpi kecillokāstena sārddhaṁ militvā vyaśvasan teṣāṁ madhye 'reyapāgīyadiyanusiyo dāmārīnāmā kācinnārī kiyanto narāścāsan|
2c12010061	tadghaṭanātaḥ paraṁ paula āthīnīnagarād yātrāṁ kṛtvā karinthanagaram āgacchat|
2c12020120	tasmin samaye klaudiyaḥ sarvvān yihūdīyān romānagaraṁ vihāya gantum ājñāpayat, tasmāt priskillānāmnā jāyayā sārddham itāliyādeśāt kiñcitpūrvvam āgamat yaḥ pantadeśe jāta ākkilanāmā yihūdīyalokaḥ paulastaṁ sākṣāt prāpya tayoḥ samīpamitavān|
2c12030075	tau dūṣyanirmmāṇajīvinau, tasmāt parasparam ekavṛttikatvāt sa tābhyāṁ saha uṣitvā tat karmmākarot|
2c1204008a	paulaḥ prativiśrāmavāraṁ bhajanabhavanaṁ gatvā vicāraṁ kṛtvā yihūdīyān anyadeśīyāṁśca pravṛttiṁ grāhitavān|
2c120500b2	sīlatīmathiyayo rmākidaniyādeśāt sametayoḥ satoḥ paula uttaptamanā bhūtvā yīśurīśvareṇābhiṣikto bhavatīti pramāṇaṁ yihūdīyānāṁ samīpe prādāt|
2c12060118	kintu te 'tīva virodhaṁ vidhāya pāṣaṇḍīyakathāṁ kathitavantastataḥ paulo vastraṁ dhunvan etāṁ kathāṁ kathitavān, yuṣmākaṁ śoṇitapātāparādho yuṣmān pratyeva bhavatu, tenāhaṁ niraparādho 'dyārabhya bhinnadeśīyānāṁ samīpaṁ yāmi|
2c1207007b	sa tasmāt prasthāya bhajanabhavanasamīpasthasya yustanāmna īśvarabhaktasya bhinnadeśīyasya niveśanaṁ prāviśat|
2c120800a3	tataḥ krīṣpanāmā bhajanabhavanādhipatiḥ saparivāraḥ prabhau vyaśvasīt, karinthanagarīyā bahavo lokāśca samākarṇya viśvasya majjitā abhavan|
2c1209007f	kṣaṇadāyāṁ prabhuḥ paulaṁ darśanaṁ datvā bhāṣitavān, mā bhaiṣīḥ, mā nirasīḥ kathāṁ pracāraya|
2c120a0081	ahaṁ tvayā sārddham āsa hiṁsārthaṁ kopi tvāṁ spraṣṭuṁ na śakṣyati nagare'smin madīyā lokā bahava āsate|
2c120b0068	tasmāt paulastannagare prāyeṇa sārddhavatsaraparyyantaṁ saṁsthāyeśvarasya kathām upādiśat|
2c120c0098	gālliyanāmā kaścid ākhāyādeśasya prāḍvivākaḥ samabhavat, tato yihūdīyā ekavākyāḥ santaḥ paulam ākramya vicārasthānaṁ nītvā
2c120d007a	mānuṣa eṣa vyavasthāya viruddham īśvarabhajanaṁ karttuṁ lokān kupravṛttiṁ grāhayatīti niveditavantaḥ|
2c120e00d8	tataḥ paule pratyuttaraṁ dātum udyate sati gālliyā yihūdīyān vyāharat, yadi kasyacid anyāyasya vātiśayaduṣṭatācaraṇasya vicāro'bhaviṣyat tarhi yuṣmākaṁ kathā mayā sahanīyābhaviṣyat|
2c120f00ac	kintu yadi kevalaṁ kathāyā vā nāmno vā yuṣmākaṁ vyavasthāyā vivādo bhavati tarhi tasya vicāramahaṁ na kariṣyāmi, yūyaṁ tasya mīmāṁsāṁ kuruta|
2c12100032	tataḥ sa tān vicārasthānād dūrīkṛtavān|
2c121100bf	tadā bhinnadeśīyāḥ sosthinināmānaṁ bhajanabhavanasya pradhānādhipatiṁ dhṛtvā vicārasthānasya sammukhe prāharan tathāpi gālliyā teṣu sarvvakarmmasu na mano nyadadhāt|
2c121200d8	paulastatra punarbahudināni nyavasat, tato bhrātṛgaṇād visarjanaṁ prāpya kiñcanavratanimittaṁ kiṁkriyānagare śiro muṇḍayitvā priskillākkilābhyāṁ sahito jalapathena suriyādeśaṁ gatavān|
2c12130079	tata iphiṣanagara upasthāya tatra tau visṛjya svayaṁ bhajanabhvanaṁ praviśya yihūdīyaiḥ saha vicāritavān|
2c1214007b	te svaiḥ sārddhaṁ punaḥ katipayadināni sthātuṁ taṁ vyanayan, sa tadanurarīkṛtya kathāmetāṁ kathitavān,
2c121500ef	yirūśālami āgāmyutsavapālanārthaṁ mayā gamanīyaṁ; paścād īśvarecchāyāṁ jātāyāṁ yuṣmākaṁ samīpaṁ pratyāgamiṣyāmi| tataḥ paraṁ sa tai rvisṛṣṭaḥ san jalapathena iphiṣanagarāt prasthitavān|
2c1216007b	tataḥ kaisariyām upasthitaḥ san nagaraṁ gatvā samājaṁ namaskṛtya tasmād āntiyakhiyānagaraṁ prasthitavān|
2c121700af	tatra kiyatkālaṁ yāpayitvā tasmāt prasthāya sarvveṣāṁ śiṣyāṇāṁ manāṁsi susthirāṇi kṛtvā kramaśo galātiyāphrugiyādeśayo rbhramitvā gatavān|
2c1218007d	tasminneva samaye sikandariyānagare jāta āpallonāmā śāstravit suvaktā yihūdīya eko jana iphiṣanagaram āgatavān|
2c1219008b	sa śikṣitaprabhumārgo manasodyogī ca san yohano majjanamātraṁ jñātvā yathārthatayā prabhoḥ kathāṁ kathayan samupādiśat|
2c121a00c8	eṣa jano nirbhayatvena bhajanabhavane kathayitum ārabdhavān, tataḥ priskillākkilau tasyopadeśakathāṁ niśamya taṁ svayoḥ samīpam ānīya śuddharūpeṇeśvarasya kathām abodhayatām|
2c121b0103	paścāt sa ākhāyādeśaṁ gantuṁ matiṁ kṛtavān, tadā tatratyaḥ śiṣyagaṇo yathā taṁ gṛhlāti tadarthaṁ bhrātṛgaṇena samāśvasya patre likhite sati, āpallāstatropasthitaḥ san anugraheṇa pratyayināṁ bahūpakārān akarot,
2c121c008f	phalato yīśurabhiṣiktastrāteti śāstrapramāṇaṁ datvā prakāśarūpeṇa pratipannaṁ kṛtvā yihūdīyān niruttarān kṛtavān|
2c130100a2	karinthanagara āpallasaḥ sthitikāle paula uttarapradeśairāgacchan iphiṣanagaram upasthitavān| tatra katipayaśiṣyān sākṣat prāpya tān apṛcchat,
2c13020082	yūyaṁ viśvasya pavitramātmānaṁ prāptā na vā? tataste pratyavadan pavitra ātmā dīyate ityasmābhiḥ śrutamapi nahi|
2c13030054	tadā sā'vadat tarhi yūyaṁ kena majjitā abhavata? te'kathayan yohano majjanena|
2c130400b2	tadā paula uktavān itaḥ paraṁ ya upasthāsyati tasmin arthata yīśukhrīṣṭe viśvasitavyamityuktvā yohan manaḥparivarttanasūcakena majjanena jale lokān amajjayat|
2c1305005c	tādṛśīṁ kathāṁ śrutvā te prabho ryīśukhrīṣṭasya nāmnā majjitā abhavan|
2c130600a8	tataḥ paulena teṣāṁ gātreṣu kare'rpite teṣāmupari pavitra ātmāvarūḍhavān, tasmāt te nānādeśīyā bhāṣā bhaviṣyatkathāśca kathitavantaḥ|
2c13070023	te prāyeṇa dvādaśajanā āsan|
2c1308008c	paulo bhajanabhavanaṁ gatvā prāyeṇa māsatrayam īśvarasya rājyasya vicāraṁ kṛtvā lokān pravartya sāhasena kathāmakathayat|
2c13090135	kintu kaṭhināntaḥkaraṇatvāt kiyanto janā na viśvasya sarvveṣāṁ samakṣam etatpathasya nindāṁ karttuṁ pravṛttāḥ, ataḥ paulasteṣāṁ samīpāt prasthāya śiṣyagaṇaṁ pṛthakkṛtvā pratyahaṁ turānnanāmnaḥ kasyacit janasya pāṭhaśālāyāṁ vicāraṁ kṛtavān|
2c130a0092	itthaṁ vatsaradvayaṁ gataṁ tasmād āśiyādeśanivāsinaḥ sarvve yihūdīyā anyadeśīyalokāśca prabho ryīśoḥ kathām aśrauṣan|
2c130b0043	paulena ca īśvara etādṛśānyadbhutāni karmmāṇi kṛtavān
2c130c009c	yat paridheye gātramārjanavastre vā tasya dehāt pīḍitalokānām samīpam ānīte te nirāmayā jātā apavitrā bhūtāśca tebhyo bahirgatavantaḥ|
2c130d00f2	tadā deśāṭanakāriṇaḥ kiyanto yihūdīyā bhūtāpasāriṇo bhūtagrastanokānāṁ sannidhau prabhe ryīśo rnāma japtvā vākyamidam avadan, yasya kathāṁ paulaḥ pracārayati tasya yīśo rnāmnā yuṣmān ājñāpayāmaḥ|
2c130e0057	skivanāmno yihūdīyānāṁ pradhānayājakasya saptabhiḥ puttaistathā kṛte sati
2c130f0065	kaścid apavitro bhūtaḥ pratyuditavān, yīśuṁ jānāmi paulañca paricinomi kintu ke yūyaṁ?
2c131000b1	ityuktvā sopavitrabhūtagrasto manuṣyo lamphaṁ kṛtvā teṣāmupari patitvā balena tān jitavān, tasmātte nagnāḥ kṣatāṅgāśca santastasmād gehāt palāyanta|
2c131100c9	sā vāg iphiṣanagaranivāsinasaṁ sarvveṣāṁ yihūdīyānāṁ bhinnadeśīyānāṁ lokānāñca śravogocarībhūtā; tataḥ sarvve bhayaṁ gatāḥ prabho ryīśo rnāmno yaśo 'varddhata|
2c13120084	yeṣāmanekeṣāṁ lokānāṁ pratītirajāyata ta āgatya svaiḥ kṛtāḥ kriyāḥ prakāśarūpeṇāṅgīkṛtavantaḥ|
2c131300c2	bahavo māyākarmmakāriṇaḥ svasvagranthān ānīya rāśīkṛtya sarvveṣāṁ samakṣam adāhayan, tato gaṇanāṁ kṛtvābudhyanta pañcāyutarūpyamudrāmūlyapustakāni dagdhāni|
2c13140041	itthaṁ prabhoḥ kathā sarvvadeśaṁ vyāpya prabalā jātā|
2c131500e7	sarvveṣveteṣu karmmasu sampanneṣu satsu paulo mākidaniyākhāyādeśābhyāṁ yirūśālamaṁ gantuṁ matiṁ kṛtvā kathitavān tatsthānaṁ yātrāyāṁ kṛtāyāṁ satyāṁ mayā romānagaraṁ draṣṭavyaṁ|
2c13160087	svānugatalokānāṁ tīmathiyerāstau dvau janau mākidaniyādeśaṁ prati prahitya svayam āśiyādeśe katipayadināni sthitavān|
2c1317002e	kintu tasmin samaye mate'smin kalaho jātaḥ|
2c1318009e	tatkāraṇamidaṁ, arttimīdevyā rūpyamandiranirmmāṇena sarvveṣāṁ śilpināṁ yatheṣṭalābham ajanayat yo dīmītriyanāmā nāḍīndhamaḥ
2c131900a2	sa tān tatkarmmajīvinaḥ sarvvalokāṁśca samāhūya bhāṣitavān he mahecchā etena mandiranirmmāṇenāsmākaṁ jīvikā bhavati, etad yūyaṁ vittha;
2c131a010d	kintu hastanirmmiteśvarā īśvarā nahi paulanāmnā kenacijjanena kathāmimāṁ vyāhṛtya kevalephiṣanagare nahi prāyeṇa sarvvasmin āśiyādeśe pravṛttiṁ grāhayitvā bahulokānāṁ śemuṣī parāvarttitā, etad yuṣmābhi rdṛśyate śrūyate ca|
2c131b00f6	tenāsmākaṁ vāṇijyasya sarvvathā hāneḥ sambhavanaṁ kevalamiti nahi, āśiyādeśasthai rvā sarvvajagatsthai rlokaiḥ pūjyā yārtimī mahādevī tasyā mandirasyāvajñānasya tasyā aiśvaryyasya nāśasya ca sambhāvanā vidyate|
2c131c0090	etādṛśīṁ kathāṁ śrutvā te mahākrodhānvitāḥ santa uccaiḥkāraṁ kathitavanta iphiṣīyānām arttimī devī mahatī bhavati|
2c131d00c3	tataḥ sarvvanagaraṁ kalahena paripūrṇamabhavat, tataḥ paraṁ te mākidanīyagāyāristārkhanāmānau paulasya dvau sahacarau dhṛtvaikacittā raṅgabhūmiṁ javena dhāvitavantaḥ|
2c131e005f	tataḥ paulo lokānāṁ sannidhiṁ yātum udyatavān kintu śiṣyagaṇastaṁ vāritavān|
2c131f0096	paulasyatmīyā āśiyādeśasthāḥ katipayāḥ pradhānalokāstasya samīpaṁ naramekaṁ preṣya tvaṁ raṅgabhūmiṁ māgā iti nyavedayan|
2c1320008f	tato nānālokānāṁ nānākathākathanāt sabhā vyākulā jātā kiṁ kāraṇād etāvatī janatābhavat etad adhikai rlokai rnājñāyi|
2c13210089	tataḥ paraṁ janatāmadhyād yihūdīyairbahiṣkṛtaḥ sikandaro hastena saṅketaṁ kṛtvā lokebhya uttaraṁ dātumudyatavān,
2c132200a9	kintu sa yihūdīyaloka iti niścite sati iphiṣīyānām arttimī devī mahatīti vākyaṁ prāyeṇa pañca daṇḍān yāvad ekasvareṇa lokanivahaiḥ proktaṁ|
2c132300f3	tato nagarādhipatistān sthirān kṛtvā kathitavān he iphiṣāyāḥ sarvve lokā ākarṇayata, artimīmahādevyā mahādevāt patitāyāstatpratimāyāśca pūjanama iphiṣanagarasthāḥ sarvve lokāḥ kurvvanti, etat ke na jānanti?
2c1324009b	tasmād etatpratikūlaṁ kepi kathayituṁ na śaknuvanti, iti jñātvā yuṣmābhiḥ susthiratvena sthātavyam avivicya kimapi karmma na karttavyañca|
2c13250078	yān etān manuṣyān yūyamatra samānayata te mandiradravyāpahārakā yuṣmākaṁ devyā nindakāśca na bhavanti|
2c132600b6	yadi kañcana prati dīmītriyasya tasya sahāyānāñca kācid āpatti rvidyate tarhi pratinidhilokā vicārasthānañca santi, te tat sthānaṁ gatvā uttarapratyuttare kurvvantu|
2c1327007d	kintu yuṣmākaṁ kācidaparā kathā yadi tiṣṭhati tarhi niyamitāyāṁ sabhāyāṁ tasyā niṣpatti rbhaviṣyati|
2c132800c1	kintvetasya virodhasyottaraṁ yena dātuṁ śaknum etādṛśasya kasyacit kāraṇasyābhāvād adyatanaghaṭanāheto rājadrohiṇāmivāsmākam abhiyogo bhaviṣyatīti śaṅkā vidyate|
2c13290036	iti kathayitvā sa sabhāsthalokān visṛṣṭavān|
2c14010078	itthaṁ kalahe nivṛtte sati paulaḥ śiṣyagaṇam āhūya visarjanaṁ prāpya mākidaniyādeśaṁ prasthitavān|
2c1402005e	tena sthānena gacchan taddeśīyān śiṣyān bahūpadiśya yūnānīyadeśam upasthitavān|
2c140300ca	tatra māsatrayaṁ sthitvā tasmāt suriyādeśaṁ yātum udyataḥ, kintu yihūdīyāstaṁ hantuṁ guptā atiṣṭhan tasmāt sa punarapi mākidaniyāmārgeṇa pratyāgantuṁ matiṁ kṛtavān|
2c140400bb	birayānagarīyasopātraḥ thiṣalanīkīyāristārkhasikundau darbbonagarīyagāyatīmathiyau āśiyādeśīyatukhikatraphimau ca tena sārddhaṁ āśiyādeśaṁ yāvad gatavantaḥ|
2c1405004b	ete sarvve 'grasarāḥ santo 'smān apekṣya troyānagare sthitavantaḥ|
2c140600a4	kiṇvaśūnyapūpotsavadine ca gate sati vayaṁ philipīnagarāt toyapathena gatvā pañcabhi rdinaistroyānagaram upasthāya tatra saptadinānyavātiṣṭhāma|
2c140700d1	saptāhasya prathamadine pūpān bhaṁktu śiṣyeṣu militeṣu paulaḥ paradine tasmāt prasthātum udyataḥ san tadahni prāyeṇa kṣapāyā yāmadvayaṁ yāvat śiṣyebhyo dharmmakathām akathayat|
2c1408005d	uparisthe yasmin prakoṣṭhe sabhāṁ kṛtvāsan tatra bahavaḥ pradīpāḥ prājvalan|
2c14090105	utukhanāmā kaścana yuvā ca vātāyana upaviśan ghorataranidrāgrasto 'bhūt tadā paulena bahukṣaṇaṁ kathāyāṁ pracāritāyāṁ nidrāmagnaḥ sa tasmād uparisthatṛtīyaprakoṣṭhād apatat, tato lokāstaṁ mṛtakalpaṁ dhṛtvodatolayan|
2c140a008d	tataḥ paulo'varuhya tasya gātre patitvā taṁ kroḍe nidhāya kathitavān, yūyaṁ vyākulā mā bhūta nāyaṁ prāṇai rviyuktaḥ|
2c140b006e	paścāt sa punaścopari gatvā pūpān bhaṁktvā prabhātaṁ yāvat kathopakathane kṛtvā prasthitavān|
2c140c0051	te ca taṁ jīvantaṁ yuvānaṁ gṛhītvā gatvā paramāpyāyitā jātāḥ|
2c140d00ac	anantaraṁ vayaṁ potenāgrasarā bhūtvāsmanagaram uttīryya paulaṁ grahītuṁ matim akurmma yataḥ sa tatra padbhyāṁ vrajituṁ matiṁ kṛtveti nirūpitavān|
2c140e0074	tasmāt tatrāsmābhiḥ sārddhaṁ tasmin milite sati vayaṁ taṁ nītvā mitulīnyupadvīpaṁ prāptavantaḥ|
2c140f00d3	tasmāt potaṁ mocayitvā pare'hani khīyopadvīpasya sammukhaṁ labdhavantastasmād ekenāhnā sāmopadvīpaṁ gatvā potaṁ lāgayitvā trogulliye sthitvā parasmin divase milītanagaram upātiṣṭhāma|
2c14100100	yataḥ paula āśiyādeśe kālaṁ yāpayitum nābhilaṣan iphiṣanagaraṁ tyaktvā yātuṁ mantraṇāṁ sthirīkṛtavān; yasmād yadi sādhyaṁ bhavati tarhi nistārotsavasya pañcāśattamadine sa yirūśālamyupasthātuṁ matiṁ kṛtavān|
2c1411005c	paulo milītād iphiṣaṁ prati lokaṁ prahitya samājasya prācīnān āhūyānītavān|
2c141200db	teṣu tasya samīpam upasthiteṣu sa tebhya imāṁ kathāṁ kathitavān, aham āśiyādeśe prathamāgamanam ārabhyādya yāvad yuṣmākaṁ sannidhau sthitvā sarvvasamaye yathācaritavān tad yūyaṁ jānītha;
2c1413008c	phalataḥ sarvvathā namramanāḥ san bahuśrupātena yihudīyānām kumantraṇājātanānāparīkṣābhiḥ prabhoḥ sevāmakaravaṁ|
2c141400b9	kāmapi hitakathāṁ na gopāyitavān tāṁ pracāryya saprakāśaṁ gṛhe gṛhe samupadiśyeśvaraṁ prati manaḥ parāvarttanīyaṁ prabhau yīśukhrīṣṭe viśvasanīyaṁ
2c14150055	yihūdīyānām anyadeśīyalokānāñca samīpa etādṛśaṁ sākṣyaṁ dadāmi|
2c14160093	paśyata sāmpratam ātmanākṛṣṭaḥ san yirūśālamnagare yātrāṁ karomi, tatra māmprati yadyad ghaṭiṣyate tānyahaṁ na jānāmi;
2c14170064	kintu mayā bandhanaṁ kleśaśca bhoktavya iti pavitra ātmā nagare nagare pramāṇaṁ dadāti|
2c14180131	tathāpi taṁ kleśamahaṁ tṛṇāya na manye; īśvarasyānugrahaviṣayakasya susaṁvādasya pramāṇaṁ dātuṁ, prabho ryīśoḥ sakāśāda yasyāḥ sevāyāḥ bhāraṁ prāpnavaṁ tāṁ sevāṁ sādhayituṁ sānandaṁ svamārgaṁ samāpayituñca nijaprāṇānapi priyān na manye|
2c141900d0	adhunā paśyata yeṣāṁ samīpe'ham īśvarīyarājyasya susaṁvādaṁ pracāryya bhramaṇaṁ kṛtavān etādṛśā yūyaṁ mama vadanaṁ puna rdraṣṭuṁ na prāpsyatha etadapyahaṁ jānāmi|
2c141a004f	yuṣmabhyam aham īśvarasya sarvvān ādeśān prakāśayituṁ na nyavartte|
2c141b0072	ahaṁ sarvveṣāṁ lokānāṁ raktapātadoṣād yannirdoṣa āse tasyādya yuṣmān sākṣiṇaḥ karomi|
2c141c00bb	yūyaṁ sveṣu tathā yasya vrajasyādhyakṣan ātmā yuṣmān vidhāya nyayuṅkta tatsarvvasmin sāvadhānā bhavata, ya samājañca prabhu rnijaraktamūlyena krītavāna tam avata,
2c141d0079	yato mayā gamane kṛtaeva durjayā vṛkā yuṣmākaṁ madhyaṁ praviśya vrajaṁ prati nirdayatām ācariṣyanti,
2c141e0072	yuṣmākameva madhyādapi lokā utthāya śiṣyagaṇam apahantuṁ viparītam upadekṣyantītyahaṁ jānāmi|
2c141f00ac	iti heto ryūyaṁ sacaitanyāḥ santastiṣṭata, ahañca sāśrupātaḥ san vatsaratrayaṁ yāvad divāniśaṁ pratijanaṁ bodhayituṁ na nyavartte tadapi smarata|
2c142000ce	idānīṁ he bhrātaro yuṣmākaṁ niṣṭhāṁ janayituṁ pavitrīkṛtalokānāṁ madhye'dhikārañca dātuṁ samartho ya īśvarastasyānugrahasya yo vādaśca tayorubhayo ryuṣmān samārpayam|
2c1421004c	kasyāpi svarṇaṁ rūpyaṁ vastraṁ vā prati mayā lobho na kṛtaḥ|
2c14220071	kintu mama matsahacaralokānāñcāvaśyakavyayāya madīyamidaṁ karadvayam aśrāmyad etad yūyaṁ jānītha|
2c142300e2	anena prakāreṇa grahaṇad dānaṁ bhadramiti yadvākyaṁ prabhu ryīśuḥ kathitavān tat smarttuṁ daridralokānāmupakārārthaṁ śramaṁ karttuñca yuṣmākam ucitam etatsarvvaṁ yuṣmānaham upadiṣṭavān|
2c14240052	etāṁ kathāṁ kathayitvā sa jānunī pātayitvā sarvaiḥ saha prārthayata|
2c14250015	tena te krandrantaḥ
2c142600cb	puna rmama mukhaṁ na drakṣyatha viśeṣata eṣā yā kathā tenākathi tatkāraṇāt śokaṁ vilāpañca kṛtvā kaṇṭhaṁ dhṛtvā cumbitavantaḥ| paścāt te taṁ potaṁ nītavantaḥ|
2c150100b7	tai rvisṛṣṭāḥ santo vayaṁ potaṁ bāhayitvā ṛjumārgeṇa koṣam upadvīpam āgatya pare'hani rodiyopadvīpam āgacchāma tatastasmāt pātārāyām upātiṣṭhāma|
2c1502004c	tatra phainīkiyādeśagāminam potamekaṁ prāpya tamāruhya gatavantaḥ|
2c15030092	kupropadvīpaṁ dṛṣṭvā taṁ savyadiśi sthāpayitvā suriyādeśaṁ gatvā potasthadravyāṇyavarohayituṁ soranagare lāgitavantaḥ|
2c150400b2	tatra śiṣyagaṇasya sākṣātkaraṇāya vayaṁ tatra saptadināni sthitavantaḥ paścātte pavitreṇātmanā paulaṁ vyāharan tvaṁ yirūśālamnagaraṁ mā gamaḥ|
2c150500fc	tatasteṣu saptasu dineṣu yāpiteṣu satsu vayaṁ tasmāt sthānāt nijavartmanā gatavantaḥ, tasmāt te sabālavṛddhavanitā asmābhiḥ saha nagarasya parisaraparyyantam āgatāḥ paścādvayaṁ jaladhitaṭe jānupātaṁ prārthayāmahi|
2c1506006d	tataḥ parasparaṁ visṛṣṭāḥ santo vayaṁ potaṁ gatāste tu svasvagṛhaṁ pratyāgatavantaḥ|
2c150700cc	vayaṁ soranagarāt nāvā prasthāya talimāyinagaram upātiṣṭhāma tatrāsmākaṁ samudrīyamārgasyānto'bhavat tatra bhrātṛgaṇaṁ namaskṛtya dinamekaṁ taiḥ sārddham uṣatavantaḥ|
2c150800c3	pare 'hani paulastasya saṅgino vayañca pratiṣṭhamānāḥ kaisariyānagaram āgatya susaṁvādapracārakānāṁ saptajanānāṁ philipanāmna ekasya gṛhaṁ praviśyāvatiṣṭhāma|
2c1509003b	tasya catasro duhitaro'nūḍhā bhaviṣyadvādinya āsan|
2c150a0070	tatrāsmāsu bahudināni proṣiteṣu yihūdīyadeśād āgatyāgābanāmā bhaviṣyadvādī samupasthitavān|
2c150b011a	sosmākaṁ samīpametya paulasya kaṭibandhanaṁ gṛhītvā nijahastāpādān baddhvā bhāṣitavān yasyedaṁ kaṭibandhanaṁ taṁ yihūdīyalokā yirūśālamanagara itthaṁ baddhvā bhinnadeśīyānāṁ kareṣu samarpayiṣyantīti vākyaṁ pavitra ātmā kathayati|
2c150c007d	etādṛśīṁ kathāṁ śrutvā vayaṁ tannagaravāsino bhrātaraśca yirūśālamaṁ na yātuṁ paulaṁ vyanayāmahi;
2c150d00e4	kintu sa pratyāvādīt, yūyaṁ kiṁ kurutha? kiṁ krandanena mamāntaḥkaraṇaṁ vidīrṇaṁ kariṣyatha? prabho ryīśo rnāmno nimittaṁ yirūśālami baddho bhavituṁ kevala tanna prāṇān dātumapi sasajjosmi|
2c150e006e	tenāsmākaṁ kathāyām agṛhītāyām īśvarasya yathecchā tathaiva bhavatvityuktvā vayaṁ nirasyāma|
2c150f0052	pare'hani pātheyadravyāṇi gṛhītvā yirūśālamaṁ prati yātrām akurmma|
2c151000d1	tataḥ kaisariyānagaranivāsinaḥ katipayāḥ śiṣyā asmābhiḥ sārddham itvā kṛprīyena mnāsannāmnā yena prācīnaśiṣyena sārddham asmābhi rvastavyaṁ tasya samīpam asmān nītavantaḥ|
2c1511005b	asmāsu yirūśālamyupasthiteṣu tatrasthabhrātṛgaṇo'smān āhlādena gṛhītavān|
2c15120080	parasmin divase paule'smābhiḥ saha yākūbo gṛhaṁ praviṣṭe lokaprācīnāḥ sarvve tatra pariṣadi saṁsthitāḥ|
2c15130098	anantaraṁ sa tān natvā svīyapracāraṇena bhinnadeśīyān pratīśvaro yāni karmmāṇi sādhitavān tadīyāṁ kathām anukramāt kathitavān|
2c151400da	iti śrutvā te prabhuṁ dhanyaṁ procya vākyamidam abhāṣanta, he bhrāta ryihūdīyānāṁ madhye bahusahasrāṇi lokā viśvāsina āsate kintu te sarvve vyavasthāmatācāriṇa etat pratyakṣaṁ paśyasi|
