2800000008	Mateusza
2b11190073	Sprawiedliwy Ojcze! Świat Cię nie poznał, ale Ja Cię znam. I oni również wiedzą, że to Ty Mnie posłałeś.
2b111a0095	Objawiłem im bowiem Ciebie i nadal będę objawiać, aby doświadczyli tej wspaniałej miłości, jaką Mnie obdarzasz, i abym mógł w nich trwać.
2b12010053	Potem Jezus udał się z uczniami do ogrodu, znajdującego się za potokiem Cedron.
2b1202004d	Judasz, zdrajca, znał to miejsce, bo Jezus często odwiedzał je z uczniami.
2b1203009d	Przyszedł więc tam wraz z rzymskim oddziałem oraz strażą, wysłaną przez najwyższych kapłanów i faryzeuszy. Uzbrojeni, nieśli pochodnie i latarnie.
2b12040035	Jezus wiedząc, co Go czeka, wyszedł im na spotkanie
2b1205008c	i zapytał: —Kogo szukacie? —Jezusa z Nazaretu—powiedzieli. —JA JESTEM—odrzekł Jezus. W tłumie stał również Judasz—zdrajca.
2b12060053	A gdy Jezus powiedział: „JA JESTEM”, wszyscy cofnęli się i padli na ziemię.
2b1207004c	—Kogo szukacie?—powtórzył Jezus. —Jezusa z Nazaretu—odpowiedzieli.
2b12080063	—Mówię wam, że to Ja—powiedział Jezus. —Skoro szukacie Mnie, pozwólcie reszcie odejść.
2b12090076	Powiedział to, aby wypełniła się zapowiedź proroka: „Nie utraciłem ani jednego z tych, których Mi dałeś”.
2b120a0073	Wtedy Szymon Piotr wyjął miecz, zamachnął się i odciął prawe ucho słudze najwyższego kapłana, Malchusowi.
2b120b0064	—Schowaj miecz—rzekł do niego Jezus. —Czyż nie mam pić z kielicha, który podaje Mi Ojciec?
2b120c0067	Wtedy żołnierze, ich dowódca oraz strażnicy wysłani przez kapłanów złapali Jezusa, związali Go
2b120d0078	i zaprowadzili najpierw do Annasza, który był teściem Kajfasza, sprawującego tego roku urząd najwyższego kapłana.
2b120e0083	To właśnie Kajfasz powiedział wcześniej żydowskim przywódcom, że lepiej będzie, aby jeden człowiek umarł za cały naród.
2b120f00bc	Za Jezusem podążał Szymon Piotr i jeszcze jeden uczeń, który był znajomym najwyższego kapłana. Dzięki temu wszedł razem z Jezusem na dziedziniec rezydencji najwyższego kapłana.
2b121000ab	Tymczasem Piotr został za bramą. Drugi uczeń porozmawiał jednak z kobietą pełniącą służbę przy drzwiach i po chwili wprowadził na dziedziniec również Piotra.
2b12110074	—Ty chyba jesteś jednym z uczniów tego człowieka?—zapytała Piotra służąca. —Ależ skąd!—zaprzeczył.
2b12120078	Było zimno, więc słudzy oraz strażnicy rozpalili ognisko i grzali się przy nim. Wśród nich stał również Piotr.
2b1213004f	W tym czasie najwyższy kapłan wypytywał Jezusa o Jego naukę i zwolenników.
2b12140093	—Nauczałem publicznie—odpowiedział Jezus. —Przemawiałem w synagodze i w świątyni, wśród wielu ludzi. Niczego nie mówiłem po kryjomu.
2b12150061	Dlaczego Mnie więc o to pytasz? Zapytaj tych, którzy Mnie słuchali. Oni wiedzą, co mówiłem.
2b12160071	—Jak się odzywasz do najwyższego kapłana?!—zawołał stojący w pobliżu sługa i uderzył Jezusa w twarz.
2b12170072	—Jeśli powiedziałem coś złego, udowodnij to—odrzekł Jezus. —A jeśli nie, to dlaczego Mnie uderzyłeś?
2b1218004d	Wtedy Annasz odesłał związanego Jezusa do najwyższego kapłana, Kajfasza.
2b121900a1	Tymczasem Piotr nadal grzał się przy ognisku. —Nie jesteś przypadkiem jednym z uczniów Jezusa?—zapytano go. —Oczywiście, że nie—wyparł się Piotr.
2b121a009c	Ale jeden ze służących najwyższego kapłana, krewny tego, któremu Piotr odciął ucho, stwierdził: —Chyba widziałem ciebie razem z nim w ogrodzie?!
2b121b0039	Piotr znowu zaprzeczył. I wtedy właśnie zapiał kogut.
2b121c00dc	Było już rano. Od Kajfasza zaprowadzono Jezusa do rezydencji gubernatora. Oskarżyciele jednak nie weszli do środka, aby nie narazić się na rytualną nieczystość. Chcieli bowiem uczestniczyć w kolacji paschalnej.
2b121d006c	Piłat, rzymski gubernator, wyszedł więc do nich i zapytał: —Jakie zarzuty stawiacie temu człowiekowi?
2b121e0056	—Gdyby nie był przestępcą, nie przyprowadzalibyśmy go do ciebie—odpowiedzieli.
2b121f00ae	—Zabierzcie go sobie i sądźcie według własnego prawa—odrzekł Piłat. —Przecież wiesz, że bez twojej zgody nie wolno nam nikogo skazać na śmierć—tłumaczyli.
2b1220005c	W ten sposób spełniła się zapowiedź Jezusa, dotycząca sposobu, w jaki zostanie zabity.
2b12210072	Piłat wrócił więc do rezydencji i polecił, aby przyprowadzono Jezusa. —Jesteś Królem Żydów?—zapytał.
2b1222005c	—Sam tak uważasz czy tylko powtarzasz, co ci powiedziano?—odpowiedział pytaniem Jezus.
2b1223007b	—Czy ja jestem Żydem?—odparł Piłat. —To twój naród i jego przywódcy przyprowadzili cię do mnie. Co zrobiłeś?
2b122400c8	—Moje królestwo nie pochodzi z tego świata—rzekł Jezus. —Gdyby tak było, moi słudzy walczyliby, żebym nie wpadł w ręce przywódców. Teraz moje królestwo nie jest jednak z tego świata.
2b122500bf	—Więc jednak jesteś królem? —Sam to potwierdzasz. Po to się narodziłem i po to przyszedłem na świat, aby opowiedzieć ludziom o prawdzie. A każdy, kto kocha prawdę, słucha Mnie.
2b1226007d	—Co to jest prawda?—zapytał Piłat. Następnie wyszedł do zebranych i powiedział: —Nie znajduję w nim żadnej winy!
2b12270089	Jest zwyczaj, że na święto Paschy uwalniam wam jednego z waszych więźniów. Jeśli więc chcecie, tym razem uwolnię Króla Żydów.
2b12280060	—Nie! Nie tego! Wypuść raczej Barabasza!—zaczęli krzyczeć. A Barabasz był buntownikiem.
2b13010035	Piłat kazał więc wyprowadzić Jezusa i ubiczować.
2b13020075	Żołnierze włożyli na Jego głowę koronę uplecioną z długich, ostrych cierni i ubrali Go w purpurowy płaszcz.
2b13030052	Podchodzili do Niego, bili po twarzy i wykrzykiwali: —Niech żyje Król Żydów!
2b13040087	Potem Piłat raz jeszcze wyszedł do tłumu mówiąc: —Wyprowadzam go tu, żebyście zobaczyli, że nie znajduję w nim żadnej winy.
2b1305007e	Wtedy Jezus wyszedł na zewnątrz—w purpurowym płaszczu i koronie cierniowej na głowie. —Oto człowiek!—rzekł Piłat.
2b130600b1	—Ukrzyżuj! Ukrzyżuj go!—zaczęli krzyczeć kapłani i ich strażnicy na widok Jezusa. —Sami go ukrzyżujcie! Ja nie znajduję w nim żadnej winy!—odpowiedział Piłat.
2b1307006d	—My też mamy Prawo. I według naszego Prawa powinien zginąć, bo nazywał siebie Synem Bożym!—wołali.
2b13080032	Te słowa jeszcze bardziej przestraszyły Piłata.
2b1309006a	Ponownie wszedł do rezydencji i zapytał Jezusa: —Skąd pochodzisz? Ale Jezus nic mu nie odpowiedział.
2b130a0072	—Nie chcesz ze mną rozmawiać?—dziwił się. —Czy nie wiesz, że mam prawo cię uwolnić albo ukrzyżować?
2b130b00a0	—Nie miałbyś nade Mną władzy, gdyby nie dano ci jej z góry—odrzekł Jezus. —Dlatego większy grzech popełnił ten, który oddał Mnie w twoje ręce.
2b130c00ea	Od tego momentu Piłat starał się uwolnić Jezusa, ale żydowscy przywódcy ostro się temu sprzeciwiali: —Jeśli go uwolnisz, nie będziesz przyjacielem cezara. Kto obwołuje się królem, występuje przecież przeciwko cezarowi.
2b130d00a6	Usłyszawszy to, Piłat znowu wyprowadził Jezusa na zewnątrz, sam zaś usiadł na fotelu sędziowskim, w miejscu zwanym Kamienny Bruk (po hebrajsku: „Gabbata”).
2b130e0071	Było około południa, następnego dnia rozpoczynała się Pascha. Wtedy rzekł do zebranych: —Oto wasz król!
2b130f00b4	—Precz z nim! Przecz! Ukrzyżuj go!—krzyczeli. —Mam ukrzyżować waszego króla?!—pytał Piłat. —Nie mamy żadnego króla oprócz cezara!—zawołali najwyżsi kapłani.
2b13100044	Wówczas Piłat wydał im Jezusa, aby Go ukrzyżowali. I zabrali Go.
2b13110053	Jezus niósł swój krzyż na miejsce zwane Czaszką (po hebrajsku: „Golgota”).
2b13120089	Gdy dotarł na miejsce, ukrzyżowano Go razem z dwoma innymi skazańcami: Jezusa w środku, a tych dwóch po Jego prawej i lewej stronie.
2b13130074	Piłat zaś przygotował i kazał umieścić na krzyżu tabliczkę z napisem: „Jezus z Nazaretu, Król Żydów”.
2b131400b8	Wielu Żydów mogło więc przeczytać ten opis Jego winy (sporządzony po hebrajsku, łacinie i grecku), bowiem miejsce, gdzie ukrzyżowano Jezusa, znajdowało się w pobliżu miasta.
2b1315007c	Kapłani jednak domagali się od Piłata: —Nie pisz: „Król Żydów”, ale: „Twierdził, że jest Królem Żydów”.
2b1316002a	—Napisałem i koniec!—odrzekł Piłat.
2b131700ba	Po ukrzyżowaniu Jezusa, żołnierze zabrali Jego ubrania i podzielili je na cztery części—dla każdego po jednej. Wzięli też tunikę, która była utkana w całości—bez szwów.
2b13180101	—Nie rozdzierajmy jej—mówili między sobą—ale rzućmy o nią losy. Zobaczymy, kto ją wygra. W ten sposób spełniło się proroctwo: „Rozdzielają między siebie moje ubrania i rzucają losy o moją tunikę”. Tak właśnie uczynili żołnierze.
2b13190061	A obok krzyża Jezusa stały: Jego matka, Jego ciotka—Maria (żona Kleofasa) i Maria z Magdali.
2b131a0083	Gdy Jezus zobaczył matkę stojącą obok ucznia, który był Jego najbliższym przyjacielem, rzekł do niej: —To jest twój syn!
2b131b005a	A do ucznia: —To jest twoja matka! I od tego momentu uczeń wziął ją do swojego domu.
2b131c0078	Wiedząc, że Jego dzieło dobiegło już końca, Jezus—wypełniając zapowiedź Pisma—rzekł: —Jestem spragniony.
2b131d005c	A stał tam dzban z kwaśnym winem. Nasączono nim więc gąbkę i na kiju podano Mu do ust.
2b131e005f	Gdy Jezus skosztował, rzekł: —Wykonało się. Po tych słowach opuścił głowę i skonał.
2b131f0108	Ponieważ był to dzień poprzedzający szabat i wielkie święto, żydowscy przywódcy nie chcieli zostawić martwych ciał na krzyżach do następnego dnia. Poprosili więc Piłata, aby połamano skazańcom nogi, przyspieszając ich śmierć, i usunięto ciała.
2b13200074	Przyszli więc żołnierze i połamali nogi—najpierw jednemu skazańcowi ukrzyżowanemu z Jezusem, potem drugiemu.
2b1321004e	Gdy podeszli do Jezusa, zobaczyli, że już umarł. Nie łamali Mu więc nóg.
2b1322005e	Jeden z żołnierzy przebił jednak włócznią Jego bok, z którego wypłynęła krew i woda.
2b1323009d	Wiemy, że tak było, ponieważ potwierdził to naoczny świadek, a jego opis jest zgodny z prawdą. On wie, że przekazuje prawdę, abyście i wy uwierzyli.
2b1324005c	Stało się tak, aby spełniły się słowa Pisma: „Kości Jego nie zostaną połamane”.
2b1325003b	A także: „Będą patrzeć na Tego, którego przebili”.
2b132600bc	Po tym wszystkim niejaki Józef z Arymatei poprosił Piłata o zgodę na zabranie ciała Jezusa. Józef był Jego uczniem, jednak ukrywał się przed przywódcami, ponieważ się ich bał.
2b1327009c	Przybył tam również Nikodem—ten, który kiedyś odwiedził Jezusa nocą i przyniósł z sobą około trzydziestu kilogramów mieszaniny mirry i aloesu.
2b13280086	Zabrali więc ciało Jezusa i—zgodnie z żydowskim zwyczajem pogrzebowym—obwiązali je lnianymi płótnami oraz obsypali balsamem.
2b13290060	Niedaleko miejsca ukrzyżowania, w ogrodzie, znajdował się nowy, nieużywany dotąd grobowiec.
2b132a005e	Złożyli w nim więc ciało Jezusa, bo spieszyli się, aby zdążyć przed nastaniem szabatu.
2b14010099	W niedzielę, wczesnym rankiem, gdy jeszcze było ciemno, przyszła do grobu Maria z Magdali. Zobaczyła, że głaz zamykający wejście jest odsunięty.
2b140200a8	Pobiegła więc do Szymona Piotra i do ucznia, który był najbliższym przyjacielem Jezusa, ze słowami: —Ktoś zabrał z grobu Pana i nie wiem, gdzie Go położono!
2b14030036	Piotr wraz z tym uczniem szybko wybrali się do grobu.
2b1404004b	Biegli razem, ale tamten wyprzedził Piotra i pierwszy dobiegł na miejsce.
2b14050043	Zajrzał i zobaczył leżące płótna, ale nie wszedł do środka.
2b14060053	Po chwili nadbiegł Szymon Piotr. Wszedł do grobowca i zaczął oglądać płótna
2b14070061	oraz chustę okrywającą głowę Jezusa, która leżała zwinięta nie z płótnami, ale osobno.
2b14080073	Potem również uczeń, który pierwszy dobiegł na miejsce, wszedł do środka. Zobaczył pusty grób i uwierzył.
2b14090059	Do tej pory nie rozumieli bowiem słów Pisma, mówiących, że Jezus ma zmartwychwstać.
2b140a002c	Po tym wszystkim uczniowie wrócili do domu.
2b140b006b	Maria z Magdali stała natomiast przed wejściem do grobu i płakała. Po chwili, gdy zajrzała do środka,
2b140c009b	zobaczyła dwóch aniołów w białych szatach. Jeden siedział w miejscu, w którym leżała głowa Jezusa, drugi—w miejscu, w którym były Jego stopy.
2b140d0080	—Dlaczego płaczesz?—zapytali ją aniołowie. —Ktoś zabrał mojego Pana i nie wiem, gdzie Go położył—odpowiedziała.
2b140e0050	Następnie odwróciła się i zobaczyła stojącego Jezusa, ale Go nie poznała.
2b140f00c7	—Dlaczego płaczesz? Kogo szukasz?—zapytał Jezus. —Panie, jeśli to ty Go wyniosłeś, powiedz, gdzie Go położyłeś, a ja Go stamtąd wezmę—powiedziała Maria, myśląc, że to ogrodnik.
2b1410005b	—Mario!—rzekł Jezus. —Rabbuni! (to znaczy: „Nauczycielu!”)—powiedziała Maria.
2b141100be	—Nie zatrzymuj Mnie—rzekł Jezus. —Jeszcze nie wstąpiłem do Ojca. Idź natomiast do moich braci i powiedz im: Idę do mojego Ojca i do waszego Ojca, do mojego Boga i do waszego Boga.
2b1412006e	Wtedy Maria udała się do uczniów i oznajmiła: —Widziałam Pana!—i powtórzyła im, co jej powiedział.
2b14130101	Jeszcze tego samego dnia, wieczorem, uczniowie zebrali się w jednym miejscu. Bali się przywódców, więc spotkali się za zamkniętymi drzwiami. Nagle do pomieszczenia, w którym byli, wszedł Jezus—stanął pośrodku nich i powiedział: —Pokój wam!
2b14140055	I pokazał im przebite ręce oraz bok. Na widok żywego Pana ogarnęła ich radość.
2b14150054	On zaś powtórzył: —Pokój wam! Jak Ojciec posłał Mnie, tak i Ja posyłam was.
2b14160048	Po tych słowach tchnął na nich i rzekł: —Weźcie Ducha Świętego!
2b14170073	Ci, których uwolnicie od grzechów, będą od nich wolni, ci zaś, których nie uwolnicie, pozostaną w grzechach.
2b1418004c	Nie było wtedy wśród nich jednego ucznia—Tomasza, zwanego Bliźniakiem.
2b1419010b	Pozostali powiedzieli mu więc: —Słuchaj! Widzieliśmy Pana! —Co takiego?!—zawołał Tomasz. —Jeżeli nie zobaczę na Jego rękach śladów po gwoździach i nie włożę w nie palca, nie uwierzę! Jeśli nie włożę ręki w Jego przebity bok—nie uwierzę!
2b141a00d4	Minęło osiem dni i uczniowie znowu zebrali się w jednym miejscu. Tym razem Tomasz był z nimi. Podobnie jak poprzednio, Jezus wszedł pomimo zamkniętych drzwi, stanął pośrodku i powiedział: —Pokój wam!
2b141b0084	Następnie rzekł do Tomasza: —Włóż palec w moje ręce. Włóż rękę w mój bok. I nie bądź już niedowiarkiem, ale uwierz!
2b141c0033	—Jesteś moim Panem i Bogiem!—zawołał Tomasz.
2b141d0085	—Uwierzyłeś, bo Mnie zobaczyłeś?—odparł Jezus. —Szczęśliwi są jednak ci, którzy uwierzyli, chociaż Mnie nie widzieli!
2b141e0058	Jezus uczynił na oczach uczniów o wiele więcej cudów niż to opisano w tej księdze.
2b141f00ac	Te jednak, które się w niej znalazły, zostały zapisane po to, abyście uwierzyli, że Jezus jest Mesjaszem, Synem Boga, i abyście wierząc Mu otrzymali życie wieczne.
2b15010060	Po jakimś czasie Jezus po raz kolejny ukazał się uczniom. Było to nad Jeziorem Tyberiadzkim.
2b150200a6	Przebywali wtedy razem: Szymon Piotr, Tomasz, zwany Bliźniakiem, Natanael z Kany Galilejskiej, synowie Zebedeusza—Jakub i Jan, oraz jeszcze dwóch innych uczniów.
2b1503009d	—Idę łowić ryby—rzekł do nich Piotr. —Idziemy z tobą—odpowiedzieli. Weszli więc do łodzi i wypłynęli, ale przez całą noc nic nie złapali.
2b1504004c	O świcie na brzegu pojawił się Jezus. Uczniowie jednak nie rozpoznali Go.
2b1505005c	Wtedy On zawołał do nich: —Kochani! Macie coś do jedzenia? —Nie, nic—odpowiedzieli.
2b1506008c	—Zarzućcie więc sieci z prawej strony łodzi, a coś złapiecie! Zrobili to i wkrótce mieli tyle ryb, że nie mogli wyciągnąć sieci.
2b150700cb	—To Pan!—powiedział do Piotra uczeń, który był najbliższym przyjacielem Jezusa. Na te słowa Szymon Piotr natychmiast założył koszulę, był bowiem rozebrany, i rzucił się wpław do brzegu.
2b15080073	Pozostali płynęli łodzią, ciągnąc za sobą sieci pełne ryb. Byli bowiem tylko jakieś sto metrów od brzegu.
2b15090058	Gdy wyszli z łodzi, ujrzeli rozpalone ognisko, na którym piekła się ryba oraz chleb.
2b150a0048	—Przynieście kilka ryb, które teraz złowiliście—poprosił Jezus.
2b150b009f	Szymon Piotr poszedł więc i wyciągnął sieć na brzeg. Jak się okazało, w sieci były sto pięćdziesiąt trzy ogromne ryby, a mimo to sieć nie pękła.
2b150c0094	—Podejdźcie i zjedzcie coś—zachęcił Jezus. Żaden z nich nie śmiał Go pytać, czy to rzeczywiście On. Byli bowiem pewni, że to jest Pan.
2b150d0045	Jezus tymczasem podchodził do każdego, częstując chlebem i rybą.
2b150e0060	W ten sposób, już po raz trzeci od czasu swojego zmartwychwstania, Jezus ukazał się uczniom.
2b150f00d7	Po śniadaniu Jezus zwrócił się do Szymona Piotra: —Szymonie, synu Jana, czy kochasz Mnie bardziej niż inni? —Tak, Panie—odparł Piotr. —Wiesz, że Cię kocham. —Paś więc moje baranki—rzekł Jezus.
2b15100092	Zapytał go jednak drugi raz: —Szymonie, synu Jana, czy kochasz Mnie? —Tak, Panie. Wiesz, że Cię kocham. —Opiekuj się więc moimi owcami.
2b151100f7	I zapytał go po raz trzeci: —Szymonie, synu Jana, czy kochasz Mnie? Słysząc trzeci raz to samo pytanie, Piotr zasmucił się, ale odpowiedział: —Panie! Ty wiesz wszystko. Wiesz, że Cię kocham! —Paś więc moje owce—powiedział Jezus.
2b151200cc	—Zapewniam cię: Gdy byłeś młodszy, sam o sobie decydowałeś i chodziłeś, dokąd chciałeś. Ale na starość ktoś inny zadecyduje o tobie i poprowadzi cię tam, dokąd byś nie chciał pójść.
2b1513006d	Mówiąc to, Jezus dał mu do zrozumienia, jaką śmiercią uwielbi Boga. I dodał: —Pójdź w moje ślady!
2b151400ad	Piotr odwrócił się i zobaczył ucznia, który był najbliższym przyjacielem Jezusa. To on, podczas kolacji, był blisko Niego i zapytał: „Panie, kto Cię zdradzi?”.
2b15150036	Wtedy Piotr powiedział: —Panie! A co będzie z nim?
2b15160085	—Może zechcę, aby pozostał na ziemi aż do mojego powtórnego przyjścia? Po co ci to wiedzieć? Ty masz pójść w moje ślady.
2b151700e7	Z tego powodu rozeszła się wśród uczniów pogłoska, że uczeń ten nie umrze. Ale Jezus nie powiedział, że on nie umrze, tylko: „Może zechcę, aby pozostał aż do mojego powtórnego przyjścia? Po co ci to wiedzieć?”.
2b1518006c	Ten właśnie uczeń opowiedział o tym wszystkim i to on napisał tę księgę. A wiemy, że mówi prawdę.
2b1519008c	Jezus dokonał jeszcze wielu innych rzeczy. A gdyby chciano je wszystkie szczegółowo opisać, cały świat nie pomieściłby chyba ksiąg.
2c00000006	Dzieje
2c0101005d	Dostojny Teofilu! W pierwszej księdze napisałem ci o tym, co Jezus czynił i czego nauczał
2c01020088	aż do dnia, w którym mocą Ducha Świętego przekazał wybranym przez siebie apostołom ostatnie polecenia i został wzięty do nieba.
2c010300a8	Im też dał wiele dowodów na to, że żyje, pomimo doznanych cierpień i śmierci. Przez czterdzieści dni ukazywał się im i rozmawiał z nimi o królestwie Bożym.
2c0104009a	Podczas jednego ze wspólnych posiłków polecił im, aby jeszcze nie opuszczali Jerozolimy, ale poczekali na spełnienie się obietnicy danej przez Ojca.
2c010500a2	—Już o niej słyszeliście—wyjaśnił. —Mówiłem wam, że Jan Chrzciciel zanurzał w wodzie, lecz wy za kilka dni zostaniecie zanurzeni w Duchu Świętym.
2c0106007c	Innym razem, gdy spotkali się z Jezusem, zapytali Go: —Panie, czy teraz wyzwolisz Izrael i przywrócisz nasze królestwo?
2c0107006d	—Nie musicie znać czasu i daty. Mój Ojciec ma władzę nad wszystkim i to On je ustalił—odpowiedział.
2c010800cd	—Wy otrzymacie moc Ducha Świętego, gdy zstąpi na was, i będziecie opowiadać o mnie innym ludziom. Najpierw w Jerozolimie i całej Judei, później w Samarii, a potem wyruszycie aż po krańce ziemi.
2c01090049	Po tych słowach wzniósł się na oczach uczniów i zniknął w obłoku.
2c010a0062	A gdy wpatrywali się za Nim w niebo, nagle stanęli przy nich dwaj ubrani na biało mężczyźni,
2c010b00c9	którzy zapytali: —Galilejczycy! Po co tak stoicie i wpatrujecie się w niebo? Ten sam Jezus, zabrany od was do nieba, pewnego dnia powróci w taki sam sposób, w jaki widzieliście Go odchodzącego.
2c010c0066	Działo się to na Górze Oliwnej, oddalonej od Jerozolimy o kilometr. Apostołowie wrócili do miasta
2c010d00af	i zebrali się w swoim pokoju na piętrze. Byli tam: Piotr, Jan, Jakub, Andrzej, Filip, Tomasz, Bartłomiej, Mateusz, Jakub—syn Alfeusza, Szymon Gorliwy i Juda—syn Jakuba.
2c010e007e	Wszyscy oni, razem z kobietami oraz Marią—matką Jezusa, i Jego braćmi, nieustannie spędzali czas na wspólnej modlitwie.
2c010f0058	Gdy pewnego razu zebrało się około stu dwudziestu wierzących, Piotr wstał i rzekł:
2c011000aa	—Przyjaciele! Musiało się wypełnić proroctwo Pisma, które Duch Święty, poprzez króla Dawida, wypowiedział o Judaszu. To on doprowadził do aresztowania Jezusa,
2c01110043	bo był jednym z nas, apostołów, i miał udział w tej służbie.
2c011200c0	On to, za pieniądze splamione krwią, kupił pole. A potem zabił się, spadając głową w dół. Spotkał go straszny koniec: pękł na pół a jego wnętrzności wypłynęły na zewnątrz.
2c01130089	Wieść o tym dotarła do wszystkich mieszkańców Jerozolimy i nazwano to miejsce po hebrajsku Hakeldamach (to znaczy: „Pole Krwi”).
2c0114008d	Księga Psalmów mówi: „Niech opustoszeje jego dom i niech nikt w nim nie mieszka.” Oraz „Jego służbę niech przejmie ktoś inny”.
2c0115007c	Teraz, jako świadek zmartwychwstania Jezusa, musi dołączyć do nas ktoś, kto tak jak my był z Panem od samego początku
2c0116006d	—od dnia, w którym Jan Chrzciciel zanurzył Go w wodzie aż do chwili, w której został wzięty do nieba.
2c01170069	Wybrali dwóch kandydatów: Józefa (zwanego Barsabą, noszącego też pseudonim „Justus”) i Macieja,
2c01180066	po czym zaczęli się modlić: —Panie, Ty znasz każde serce. Wskaż nam, którego z nich wybrałeś
2c01190054	do tej apostolskiej służby, którą Judasz porzucił, poszedłszy własną drogą.
2c011a0097	Następnie podali im losy. Oznaczony los został wyciągnięty przez Macieja. Za aprobatą wszystkich dołączył więc do grona jedenastu apostołów.
2c02010073	Kilka dni później nadeszło święto Pięćdziesiątnicy. Wszyscy wierzący znowu byli razem w tym samym miejscu.
2c0202005f	Nagle dał się słyszeć z nieba szum jakby potężnego huraganu, który wypełnił cały dom.
2c02030063	Ukazały się im także jakby języki ognia, które się rozdzieliły i osiadły na każdym z nich.
2c02040071	Wszyscy zostali wtedy napełnieni Duchem Świętym i zaczęli mówić obcymi im językami, zgodnie z wolą Ducha.
2c02050065	W tym czasie przebywali w Jerozolimie pobożni Żydzi, pochodzący z wielu różnych krajów świata.
2c02060093	Gdy usłyszeli hałas, tłumnie zbiegli się i stanęli oszołomieni. Każdy z nich słyszał bowiem, jak uczniowie mówią w ich własnym języku.
2c02070057	—Jak to możliwe?—dziwili się. —Przecież wszyscy ci ludzie pochodzą z Galilei?
2c02080059	Dlaczego więc słyszymy swój własny język, język kraju, w którym się urodziliśmy?
2c02090054	Partowie, Medowie i Elamici, mieszkańcy Mezopotamii, Judei, Kapadocji, Pontu, Azji,
2c020a0086	Frygii, Pamfilii, Egiptu, mieszkańcy Libii z okolic Cyreny, przybysze z Rzymu (zarówno Żydzi, jak i poganie nawróceni na judaizm),
2c020b0072	Kreteńczycy i Arabowie—wszyscy słyszymy, jak mówią w naszych ojczystych językach o wielkich dziełach Boga!
2c020c004f	Oszołomieni i zdezorientowani pytali siebie nawzajem: —Co to może znaczyć?
2c020d003d	—Upili się niedojrzałym winem—drwili jednak niektórzy.
2c020e00a2	Wtedy wystąpił Piotr z pozostałymi jedenastoma apostołami i zawołał do zebranych: —Posłuchajcie mnie uważnie mieszkańcy Jerozolimy i wszyscy przybysze!
2c020f005f	Ci ludzie nie są pijani, jak niektórzy podejrzewają. Jest przecież dopiero dziewiąta rano!
2c0210004a	To, co widzicie, zostało przed wiekami zapowiedziane przez proroka Joela:
2c021100a8	„W ostatnich dniach—mówi Bóg —ześlę mojego Ducha na wielu ludzi: wasi synowie i córki będą prorokować, młodzieńcy będą mieć widzenia, a starcy—sny.
2c0212005d	Ześlę mojego Ducha na wszystkie moje sługi, na mężczyzn i kobiety, i będą prorokować.
2c02130075	I sprawię, że zobaczycie cudowne znaki, zarówno na niebie, jak i na ziemi. Zobaczycie krew, ogień i kłęby dymu.
2c0214008e	Na niebie zaś zgaśnie słońce, a księżyc stanie się krwawoczerwony. Wszystko to poprzedzi nadejście wielkiego i wspaniałego Dnia Pana.
2c0215003a	Lecz każdy, kto wezwie imienia Pana, będzie zbawiony”.
2c021600cb	Posłuchajcie mnie, Izraelici!—kontynuował Piotr. —Bóg w oczywisty sposób udzielił poparcia Jezusowi z Nazaretu, przez którego uczynił wśród was wielkie cuda i znaki, o czym doskonale wiecie.
2c021700ad	Zgodnie ze swoim odwiecznym zamiarem i postanowieniem pozwolił, aby Jezus został wam wydany przez bezbożnych Rzymian. A wy przybiliście Go do krzyża i zamordowaliście!
2c02180059	Bóg jednak wyrwał Go z rąk śmierci i ożywił, gdyż śmierć nie mogła Go pokonać.
2c0219007e	Już król Dawid zapowiedział to, mówiąc: „Zawsze widziałem obok siebie Pana. Jest blisko mnie, abym się nie zachwiał.
2c021a0085	Dlatego z całego serca ucieszyłem się, i moje usta napełniły się radością. Moje ciało będzie bowiem spoczywać z nadzieją!
2c021b0074	Bo nie pozostawisz mojej duszy wśród umarłych i nie pozwolisz, aby ciało Twojego Świętego uległo rozkładowi.
2c021c0052	Pokazałeś mi ścieżkę życia, a Twoja obecność napełnia mnie radością”.
2c021d009a	Przyjaciele!—mówił Piotr. —Mogę to wam otwarcie przypomnieć, że król Dawid umarł, miał pogrzeb, a jego grób po dziś dzień się tu znajduje.
2c021e0071	Był jednak prorokiem i pamiętał, że Bóg złożył mu przysięgę, obiecując królewski tron jego potomkowi.
2c021f0090	Gdy więc zobaczył przyszłe zmartwychwstanie Mesjasza, przepowiedział, że nie pozostanie On w grobie, a Jego ciało nie ulegnie rozkładowi.
2c02200059	My wszyscy jesteśmy świadkami tego, że to właśnie Jezusa Bóg wskrzesił z martwych.
2c022100a9	Wyróżniony przez Boga najwyższą w niebie godnością, wypełnił obietnicę Ojca i posłał Ducha Świętego. To Jego cudowne działanie teraz widzicie i słyszycie.
2c0222007c	I chociaż Dawid nie był w niebie, to jednak powiedział: „Bóg rzekł do mojego Pana: Zasiądź po mojej prawej stronie,
2c02230039	dopóki nie rzucę Ci pod nogi Twoich nieprzyjaciół”.
2c0224008d	Niech więc to będzie jasne dla całego Izraela—dodał Piotr—że Jezusa, którego wy ukrzyżowaliście, Bóg uczynił Panem i Mesjaszem!
2c02250089	Słowa te tak wstrząsnęły słuchaczami, że zapytali Piotra i pozostałych apostołów: —Przyjaciele! Co w takim razie mamy zrobić?
