2800000007	Amatayo
280a2000a2	“Mundu bhoa bhala bhabhapakoonda nnongi ja bhandu kubhee bhangu nenga, nanenga mbakwaajeketela nnongi ja Atati bhangu bhabhabhile kunani kulihunde kwa Annoongo.
280a21008f	Nambo bhoabhala bhabhapakungana nenga nnongi ja bhandu, na nenga mbakwaakana nnongi ja Atati bhangu bhaabhile Kunani kulihunde kwa Annoongo.”
280a220077	“Nkotokuganikiha yakubhee ndekuhika kujileta amani pachilambo. Nangahika kujileta amani ila ndekuhika kuleta ngoondo.
280a230088	Ndekuhika kwaatenda bhakoto kwelekana nkati ja mundu na atati mundu, pakati ja amwali na anyongo jwabhe na pakati ja akoano na akimundu,
280a24004a	na apwati bha mundu bhapakubhee bhandu bha kwaachabhe, akaalongo mundu.”
280a2500e6	“Bhoabhala bhabhaapala atati bhabhe au anyongo bhabhe kupeta chibhambala nenga, ngapalikwa kubhee bhangu nenga. Na bhenibhala bhabhaapala mwana mwanalome au mwana mwikege kupeta chibhambala nenga, ngapalikwa kubhee bhangu nenga.
280a260065	Amundu bhoabhala bhabhapetula nchalaba gwabhe na kungagula, bhapalikwa kubhee bhabhachijigana bhangu.
280a2700af	Amundu bhoabhala bhabhapala kugulolekea umomi gwabhe, bhenabho bhapakugubhoa, nambo bhoa bhala bhabhapakugubhoa umomi ligongo lya nenga, bhapakupata umomi gwa machobha goa.”
280a280086	“Bhabhampokelanga mwangota mu nyuumba yabhenji, bhambokela nenga, na mundu bhabhambokela nenga, bhampokela bhenibhala bhabhandumite.
280a2900c1	Amundu bhoabhala bhabhaapokela alondoi, bhapakupokela ngwahupa ja alondoi, na amundu bhabhampokela mundu bha ntima gwammbone kwa kubhee na ntima gwammbone bhapokela ngwahupa ja ntima gwammbone.
280a2a00c6	Ndendakunnobholelanga kweli, bhoabhala bhabhapakwaapekea mundu bhamo hata chikombe cha maachi gakuhima bhamo bha abha bhachoko kwa kubhee nga bhanaajigana, Annoongo bhapakwaapekea ngwahupa jabhe.”
280b0100b3	Ayesu pabhakajomola kwaalagianga bhaajigana bhenibhala komi na bhabhele bhakabhoka penapo, bhakajenda kujigana na kwaatangachianga bhandu Ngani Jammbone mu hilambo ya ku Galilaya.
280b020091	Ayohana Ambatichaji pabhakibha kuchitabho bhakajoha hikubho hibhatenda Ayesu Kilisto. Ayohana ngabhaatuma bhabhaajigana bhabhe bhakaakonye Ayesu.
280b030047	“Bholi, mwenga nga bhenibhala bhabhapakuhika, au twaalende bhangi?”
280b040055	Ayesu bhakaajangula, “Nnyendange nkaalobholele Ayohana hikubho muijoine na kuilola,
280b0500ae	bhangalola, bhatenda kulola, na bhabhi na mambujupuju bhatenda kulama, na bhangajoha bhatenda kujoha, bhabhawile bhatenda kuyoka na akaahocho bhatangachiwanga Ngani Jammbone.
280b06004d	Bhatekutendelwa gammbone bhenibhala bhandu bhangakolanga lipamba na nenga!”
280b0700e0	Bhaajigana bha Ayohana pabhakajaulanga, Ayesu bhakajemeka kugalobholela malubhalo ga bhandu ngani nnani ja Ayohana, “Nkajaulanga kulola niki konikola kululemba? Bholi, nkapala kulilola linyai lilikajelwa kutali na mboongo?
280b0800c3	Handa nga henela, nkajaulanga kulola niki? Nkajaulanga kwaalola mundu bhabhawalite ngobho ya bei ngolongwa? Bhandu bhawalanga ngobho ya bei ngolongwa hutamanga mu nyuumba ja akaakolo bha hilambo.
280b090061	Nambo nkajaulanga kulola niki? Nkajaulanga kwaalola Alondoi? Kweli, ngabha, nga kupunda alondohi.
280b0a00b7	Jonojwe nga jwakalongelwa mu Majaandiko ga Annoongo, abhikulobhola ‘Ndendakwaatuma antumichi jwangu jwa kunani kwa Annoongo annongolelange, kwa kubhee bhapakunhalakia ndela jinu.’
280b0b00f0	Ndendakunnobholelanga kweli, pakati ja bhaana bhoa bha bhandu, bhangabhokela bhabhile akolo kupeta Ayohana Ambatichaji. Hata henela, bhenibhala bhabhile ahocho muno mu umwenye gwa kunani kulihunde kwa Annoongo nga akolongwa kupunda Ayohana.
280b0c00cd	Kubhokela muda gwa Ayohana Ambatichaji mpaka nangocheni, umwenye gwa kunani kulihunde kwa Annoongo gupetulikwa na bhandu bhabhi na machili, na bhandu bhabhilinge na machili bhapalanga kugutola kwa machili.
280b0d0056	Maana gakwe majigano goa na Malagilo ga Amusa gagajigana muda gwa Ayohana Ambatichaji.
280b0e0044	Handa nkombolanga kujeketela kubhee Ayohana nga Aelia bhabhapakuhika
280b0f0031	Bhabhilinge na machikilo gakujoa na bhajoange!”
280b1000c7	“Bhandu bha nangocheni nichilandanikie na niki? Handa achikakombo bhatamitinge palubhanja pabhahuchilanga hilebhe na kuhemela hilebhe bhatendakutamanga na kwaakemanga akaajabhe na kwaalobholelanga,
280b110086	‘Tumpotilinge ng'oma nambo mwangota mwangakina! Tujembite nyembo ya malilo nambo mwangota mwangagutanga kwa nnyembo gwa kokoleka!’
280b12007c	Ayohana akahika, akatabha na wala jwangang'wee divai, na bhenaangota bhakalobholanga, ‘Atekupoganikwa na mahoka gabohu!’
280b130119	Mwana jwa Amundu akahika, akalyee na kung'wee, na bhenaangota bhakalobhola, ‘Munnolange hojo mundu jwakumenyeka na jwakung'wee muno, aganja bhabhe bhabhakumbanga kodi na bhabhilinge na mabohu!’ Hata henela Machili ga Annoongo gabhonekana gammbone kwa ndela ja hikubho yabhe.”
280b1400c0	Kubhoka penapo, Ayesu bhakajemeka kwaalongelelanga mabhou bhandu bha hilambo yela, yakubhee pamo na kuitendela yakangachika hijingi, kwa kubhee bhandu bhabhe bhangapala kuleka mabhou gabhenji.
280b150198	Akaalobholelanga, “Kulaga kupakubhee kwaachinu mwangota bhandu bha chilambo cha ku Kolasini! Kulaga kupakubhee kwa mwangota bhandu bha chilambo cha ku Betisaida! Kwa kubhee handa hikubho yakangachika hiikateendeka kwaachinu nga ikatendeka konikola ku chilambo cha Tilo na kuchilambo cha Sidoni, bhandu bhakwe bhakawala ngobho ja majunia, na kuchipakala lihu kulangia kubhee bhatenda kuleka mabohu gabhenji!
280b1600bf	Nambo ndendakunnobholelanga, lichobha lya kuhukumulwa lipakubhee chindema muno kwa bhandu bha chilambo cha ku Tilo na chilambo cha ku Sidoni bhapakupatanga hukumulo ngolongwa kupeta mwangota.
280b17011b	Na mwangota, bhandu bha chilambo cha ku Kafalanaumu, bholi, bhapakuntuluanga mpaka kunani kwa Annoongo? Ngabha hopo, mpakutulukwa pahi mpaka kuwee. Hilebhe yakangachika hiikatendeka kwaachinu handa hikatendeka konokwe ku chilambo cha ku Sodoma, chilambo hecho chikabhee mpaka leleni!
280b180094	Nambo nannobholela yakubhee, ipakubhee chindema muno kwachinu bhandu bha chilambo cha ku Sodoma kulaga mu lichobha lya kuhukumulwa kupeta mwenga!”
280b19010a	Gono muda Ayesu bhakalobhola, “Ndendakunchukulu mwee Atati, Hangwana bha kunani kulihunde kwa Annoongo na chilambo, kwa kubhee ntekwaahiya hikubho heyo bhandu bhabhilinge na luunda na malango na mwenga ntekwahunukulila bhenibhala bhabhilinge handa bhaana bhachoko.
280b1a002f	Elo, Atati, henela nga chimpalite hibhokele.”
280b1b00ad	“Atati bhangu bhambekie hilebhe yoha. Bhaakwa bhakwamanya mwana ila Atati, na wala bhakwamanya Atati ila mwana, na bhoa bhala yakubhee bhapala kuhunukumulilwa na mwana.”
280b1c006e	“Nhikange kwaachangu mwangota bhoa chintenda kuhabhukanga na kutopelwa na mihigo, na nenga mbakumpomoleanga.
280b1d00a5	Ngoondange nenga, na nndumikilange nenga na nkachijigane kubhoka kwangu nenga, kwa kubhee nenga nga mundu bha kalipa na wala ngachipuna na mwangota mpakupomolelanga.
280b1e003f	Kwa kubhee majigano nganannyigananga mwangota nga gakulimba.”
280c0100ea	Gono muda, lichobha limo lya kupomolela Ayesu bhakibha bhatenda kupeta mu migonda ja ngaano. Penapo bhabhaajigana bhabhe bhakakola njala, na bhena angota bhakajemeka kukwachula maache na kupikicha mapemba na kutaunanga njelegwa jabhe.
280c0200a1	Mafalisayo pabhakalola genago, bhakaalobholela Ayesu, “Nnole! Bhabhaajigana bhinu bhatendanga chilebhe changapalikwa mu malagilo ga Lichobha lya Kupomolela.”
280c030061	Ayesu bhakaajangula, “Bholi, mwangachoma chibhakatenda Adaudi na akaajabhe pabhakibha na njala?
280c0400b2	Akajingilanga mu Nyuumba ja Annoongo bhakalyee jenijela mikate jijikabhekwa nnongi ja Annoongo. Bhenabho na akaajabhe bhangapalikwa kulyee mikate hejo nambo akaakung'i jikajabhe.
280c050109	Bholi, mwangachomanga mu Malagilo ga Amusa gagakalobhola kila Lichobha lya Kupomolela Akaakung'i bhagaalibiana Malagilo ga Lichobha lya Kupomolela mu Nyuumba ja Annoongo kwa kutenda gangapalikwa mu Lichobha lya Kupomolela, nambo ngaganikiwa kubhee bhatenda kulemwa?
280c060054	Bahi, nannobholelanga yakubhee pambani pabhile na akolo kupunda Nyuumba ja Annoongo.
280c070088	Handa nkahimanyite maana gakwe malobhe gangani, ‘Mbala kwabhonelanga kiha na ngabha mbeeko,’ nkahukumulinge hopo bhandu bhangalemwa.
280c08004b	Kwa kubhee Mwana bha Mundu nga bhabhatabhala mu Lichobha lya kupomolela.”
280c09004b	Ayesu bhakabhoka penapo, bhakajenda mu Nyuumba ja konganilananga Bhayahudi.
280c0a00d1	Monomwe akibha mundu jumo jwapolite lubhoko. Bahi bhandu bhakaakonya Ayesu, “Bholi, hipalikwa kunlamia mundu Lichobha lya Kupomolela?” Bhakaakonya henela kwaapala atangile bhapatange ndela ja kwaahukumula.
280c0b00b5	Nambo Ayesu akaalobholela, “Tulobhole abhi mundu nkati jinu jwabhile na ngondolo jwabhe atekujingila mu liembo, bholi, ngaakamula na kummoa kwa kubhee nga Lichobha lya Kupomolela?
280c0c006b	Nambo mundu nga bhammbone kupunda ngondolo! Bahi, hipalikwa kutenda gammbone mu Lichobha lya Kupomolela.”
280c0d0099	Ngapena Ayesu bhakaalobholela bheni bhala mundu, “Nnyulule lubhoko lwinu.” Nga bhakagunyulula, lubhoko gukalama gukabhee gumomi handa gonigola gongi.
280c0e005c	Bahi, Mafalisayo bhakabhoka panja, bhakabhekanga chikomiti chibhou chakupala kwaakoma Ayesu.
280c0f0071	Nambo Ayesu pabhakajoa genigala bhakabhoka penipala. Bhandu bhajingi bhakaakagula nga bhakaalamia akaatamwa bhoa.
280c100039	Bhakaakanikia bhakoto kwaalobholela bhandu hikubho yabhe.
280c110066	Akatenda henela kupala genigala gagalongolikwe na Annoongo kwa ndela ja alondoi Aisaya gapate kukweela
280c1200c5	“Nnole antumichi bhangu ndekunhagula, mpaliyon bhangu naampalite muno mu ntima gwangu. Mbakujibheka mboomo jangu nnani jabhe, na bhenabho bhapakutangacha hukumu jangu kwa bhandu bhanga Bhayahudi.
280c13007e	Bhapakubhee hopo na kutaukana wala kupota nyenye, na bhaakwa mundu bhabhapakujoha lilobhe lyabhe lipakujohanika hopo mu ndela.
280c14007f	Nnai gugutekandaganika ngahengela, wala chibatali chichibhoa lyohi ngachiima, mpaka pabhapakujitenda hukumu jammbone jitabhale.
280c150049	Kwa lina lyabhe bhandu bhanga Bhayahudi bhapakuhobhalela kwa bhenabho.”
280c1600bd	Penapo bhandu bhakaaletela Ayesu mundu bhamo bhangalola na bhangakombola kulongela, kwa kubhee bhakibha bhatekuchukilwa na mahoka. Ayesu bhakaalamia penapo bhakakombola kulongela na kulola.
280c170060	Bhandu bhoa bhakakangachanga na kulobholanga, “Bholi, komboleka habha nga Mwana bha Adaudi?”
280c1800b0	Nambo Mafalisayo pabhakajoha genago, bhakalobhola, “Habha mundu bhatenda kugabhoa mahoka kwa machili bhabhagapatite kubhoka kwa akolo bha mahoka bhabhakemitwa Abelizebuli.”
280c190103	Ayesu bhakibha bhagamanya bhabhaganikia, bhakaaalobholela, “Umwenye goa gola gugumetunike kwa malubhalo gagapotana, ngakombola kutama machobha goa na chilambo choachela au akaalongo bhoabhala bhabhametunike malubhalo malubhalo gagatekukanangana, gapakugwee.
280c1a008a	Handa Lichetani lijomana na Lichetani lijakwe bhatenda kuchimetula bheene mu mabhoga mabhoga bheene. Bahi umwenye gwabhe gupakujema bholi?
280c1b00d1	Mwangota ntenda kulobholanga nenga ndenda kugabhutua mahoka kwa machili ga Abelizebuli, bholi bhandu bhinu bhagabhenga mahoka kwa machili ga aganiki? Ligongo helyo bhenaangota nga bhapakunhukumulanga mwangota.
280c1c0086	Nambo handa nenga ndenda kugabhutua mahoka kwa machili ga Annoongo, bahi mmanyange yakubhee umwenye gwa Annoongo guikite kwaachinu.”
280c1d00eb	“Bhaakwa mundu bhabhakombola kujingila mu nyuumba ja mundu jwaabhikle na machili na kwaapoka hilebhe yabhe, pangali kwaatabha oti jono mundu jwabhi na machili? Mpalikwa oti kwaatabha penapo nga pampakombola kwaapoka hilebhe yabhe.”
280c1e0081	“Mundu bhoa bhala bhangalondanika na nenga, bhangana nenga, na bhoa bhala bhangakondanika pamo na nenga bhatenda kupwilingania.
280c1f00a2	Nangocheni nannobholelanga, bhandu bhapakulekelelwa mabhou gabhenji na matukano gabhe goa, nambo bhandu ngalekelelwa mabhou gabhe ga kwaaponja Mboomo ja Annoongo.
280c200102	Kabhele, bhabhapakulobhola lilobhe lya kwaakana Mwana bha Mundu bhabhapakulekelelwa mabhou gabhe, nambo bhenibhala bhabhapakulobhola lilobhe lya kunkana Mboomo Ja Annoongo ngalekelelwa mabhou gabhe, ngabha mu chenje chilambo au mu chilambo chichipakuhika.”
280c210093	“Nkongo gwa kuhalala guogola matunda gakuhalala, na nkongo gwangammbone guhogola matunda gabhou. Nkongo gwamanyika kwa matunda gabhe gagabheleka.
280c2200da	Mwangota nga mwangalimmbone handa majoka gagabhile na uchoongo! Mkombolanga bholi kulobhola hilebhe yammbone na kongo mmile akaabhou? Kwa kubhee amundu bhatenda kulobhola kubhokana na genigala gagabhile muntima gwabhe.
280c230088	Mundu bhakuhalala bhagapia gagabhile gakuhalala kubhoka muntima gwabhe, na amundu abhou bhapia hilebhe hibhou kubhoka muntima gwabhe.”
280c240085	“Bahi, ndendakunnobholelanga, lichobha lya hukumu kila amundu bhapalikwa kulongela nnani ja kila lilobhe lyangammbone libhalongile.
280c250069	Kwa malobhe ginu mpakubhonekana mwangalimmbone, na kwa malobhe ginu mpakuhukumulwa kubhee bha kulemwa.”
280c260095	Kubhoka penapo bhabhajigana Malagilo ga Amusa na Mafalisayo bhakaalobholela Ayesu, “Bhannyigana, tupala kuibhona yakangachika kubhoka kwaachinu.”
280c2700ad	Nambo Ayesu bhakaajangula, “Chibhelei changaamanya Annoongo! Mpalanga hilolelo, nambo chibhelei heche ngapata hilolelo yoha yela nambo jeni jela hilolelo ya alondoi Ayona.
280c2800be	Handa henela Ayona chibhakatama machobha gatatu muhi na kilo mulutumbo lwa hoomba, nga chiipakubhee kwa bhena Mwana bha Amundu chibhapakutama pahi ja undopi kwa machobha gatatu muhi na kilo.
280c290136	Bhandu bha kubhoka chilambo cha ku Ninawi bhapakubhokela Lichobha lya Kuhukumulwa, na bhenaangota bhapakuchikopokea chenje chibhelei chichitekulemwite. Kwa kubhehe bhandu bha chilambo cha ku Ninawi bhenaangota bhakalekanga gabhou gabhe ligongo lya kutangacha kwa Ayona, na pamba bhabhi akolongwa kupunda Ayona!
280c2a0131	Haikege bha kuchini bhapakujema muda kwa chebhelei chenjeni pachipakuhumuluwa, na bhenabho bhapakuchikupokea kwakubhee chilemwite. Kwa kubhehe bhenabho bhakajaula ulendo kubhoka kutali, bhakahika kugajohanikia malobhe ga malango ga Asolomoni, na pamba nangocheni bhabhile akolongwa kwaapunda Asolomoni.”
280c2b007a	“Muuda lihoka palyabhoka amundu, lihoka lityanga tyanga panga machi bhabhikulolea amundu bha kwaajingila na bhangaapata.
280c2c00b4	Penapo bhabhikuchilobholela, ‘Mbakubhuja ku nyuumba jangu kumokite.’ Na bhenabho pabhapakubhuja kujikolela jela nyuumba jikibha janga chilebhe, jitekupyagilwa na kubhekwa maha,
280c2d00f5	Ngapena bhajenda na kubhatola mahoka bhangi saba, bhabhilinge na machili kupunda bhenabho, na bhoa bhatenda kuhika na kwaajingila bhena amundu. Na bhena mundu bhabhee na abhou kupunda pena kandahi. Nga chiipakubhehe kwa habha bhandu akaabhou.”
280c2e00aa	Ayesu bhakibha tangu bhatendakulongela na nkutuli gwa bhandu muda gono anyongo mundu na akaanung'una bhabhe bhakahikanga kujema panja, bhakapalanga kulongela na bhenabho.
280c2f007c	Nnole, amundu bhamo bhakaalobholela Ayesu, “Anyongo bhinu na anung'una bhinu bhabhi panja, bhapala kulongela na mwenga.”
280c300064	Ayesu bhakaajangula bhena amundu, “Anyongo bhangu nga bheneki? Na anung'una bhangu nga bheneki?”
280c310088	Ngapena bhakagunyolola lubhoko lwabhe na kwaalangia bhabhaajigana bhabhe, bhakalobhola, “Habha nga anyongo bhangu na anung'una bhangu!
280c3200a6	Kwa kubhehe bhoabhala bhabhatenda chibhapala Atati bhangu bhabhile kunani kulihunde kwa Annoongo, bhenabho nga anung'una bhangu na alombo bhandu na anyongo bhangu.”
280d010064	Lichobha lyolyolyo, Ayesu bhakabhoka mu jeni jela nyuumba, bhakajaula kutama nngulugulu mwa litanda.
280d020098	Nkutuli nkolongwa muno gwa bhandu gukaatindila mpaka Ayesu bhakakweela muntumbwi, bhakatama. Na popopo bhandu bhoa bhakajemanga kubhandikila na litanda.
280d030099	Penapo Ayesu bhakaalobholela malobhe gajingi kwa kulengania. “Nnyohanikiange mwangota! Kukibha na mundu jumo jwakajaula kupanda mbeju ku mgonda gwabhe.
280d040053	Pabhatendita kumicha mbeju, yengi hikagwee pandela, hijuni hikaika na kumila mbeju.
280d050077	Yengi hikagwee pamaganga pangali na undopi nnyingi. Hikabhonekana kumela kwa kujomboteka ligongo undopi gukibha nchoko.
280d060061	Nambo lyobha palikajaka, mimela jikajoma kwa kubhehe mikega jakwe jikibha jangatibhila pahi muno.
280d070047	Mbeju yengi hikagwela pamiibha, na jenejo jikajoma na kuchitabha tabha.
280d080090	Yengi hikagwee papabhile na undopi gwakoondea mimela, na mimela hikahogola mbeju makomi komi yengi mbeju makomi chita na yengi makomi gatatu.”
280d09005b	Na Ayesu akajomolekea kulongela, “Bhabhakweti na machikilo gakujonikia na bhajohanike!”
280d0a0078	Ngapena bhabhaajigana bhabhe bhakahikanga kwaachabhe na Ayesu, “Kwaniki mwenga nnongela na bhandu kwa kulenganikia?”
280d0b00b3	Ayesu bhakaajangula, “Mwangota mpatitinge kuhimanya hikubho yangahunukulilwa ya Umwenye gwa kunani kulihunde kwa Annoongo, nambo bhenaangota bhangapatanga kuimanya hikubho heyo.
280d0c008a	Kwa kubhee amundu bhabhile na chilebhe bhapakujonjokewa, nambo bhanga chilebhe na hata chenecho chichoko chibhabhinacho bhapakupokonyolwa.
280d0d009c	Nga kwa maana ndendakulongela na bhenaangota kwa kulengania, ligongo bhatendalola nambo ngabhona, bhatenda kujohanikia nambo ngajohanga, na wala ngahimanya.
280d0e00b7	Kwa bhenaangota gatekweela genigala gabhakalobhola alondoi Aisaya kubhee, ‘Habha bhandu bhapakujoanikia na kujohanikia, nambo ngaimanya Bhapakulolanga na kukulola, nambo ngalolanga.
280d0f0134	Kwa kubehehe habha ngakombola kuimanya kwa kupepeka, ngajoha kupetela machikilo gabhenji, na bhakanitinge kukola ukweli. Handa hopo bhakalolite kupetela miho gabhenji, na kupetela machikilo gabhe, bhakaimanyite kwa luunda lwabhe lwabhenji, na kundendebhukia, bhalobhola Hangwana, na nenga mbakwaalamia.’”
280d10006a	“Nambo nhachukange mwangota, kwa kubhee miho ginunji gatendakulola na machikilo ginu gatendakujohanikia.
280d1100b5	Ndendakunnobholelanga kweli, alondoi na bhandu bhajingi bhammbone bhakapalanga kugalola genigala gamugalola bhangagalola, na kugajoha genigala gamugajohanga, na bhakoto kugajoha.”
280d12004b	“Bahi, mwangota nnyohanikiange maana ja kulengania kwa bhabhapanda mbeju.
280d1300c5	Amundu bhabhajoha lilobhe nnani ja Umwenye gwa Annoongo pangali kuhimanya, nga handa jenijela mbeju hihikagwee kubhandikila nndela, na Abohu bhahika kuukula chichipanditwe muntima gwa amundu habho.
280d140074	Jenijela mbeju jijipanditwe pahi ja mwala handa amundu bhabhajoha lilobhe lya Annoogo na kulipokela kwa kuhangalala.
280d1500e9	Nambo kwa kubhee Lilobhe lya Annoongo ngajiingila nkati ja mitima jabhenji. Lyela lilobhe lipakutama kwa muda nchoko tu. Ngapena muda gwa kulaga na kupotekwa hihipakubhokela ligongo lya lilobhe helyo, bhenabho bhalekanga kuhobhalela.
280d16010f	Jenijela mbeju jijikagwee pakati ya mikongo ja miibha, nga handa amundu bhabhajoha lilobhe helyo, na lipamba lya umomi hogo na kupala kubhee na hilebhe hijingi ya pachilambo pani kuliminyaminya lilobhe helyo lilipandikwe nkati jinu, ngakombola kutenda gabhapala Annoongo.
280d1700e0	Jenijela mbeju jijipanditwe mu undopi gwammbone nga handa mundu jwaajoha lilobhe na kulimanya, na bhenabho bhatenda gabhapala Annoongo na hipakubhee handa mbeju, jimo makomi komi, jengi makomi sita na jengi makomi gatatu.”
280d18009a	Ayesu bhakaalobholela bhandu kulengania kongi, “Umwenye gwa kunani kwa Annoongo gutenda kulandana na mundu jwaapandite mbeju jammbone mu ng'onda gwabhe.
280d19007a	Nambo kilo bhandu pabhakagolola lugono, apwati bhabhe bhakahika, na bhapandikia maheya pakati ja nakaponga, na bhakajaula.
280d1a0052	Bahi, mbeju pajikamela na kujemeka kutumbuka, maheya kabhele gakajemeka gutumbuka.
280d1b00a9	Akaatumichi bha akola nng'onda bhakaajabhulila, bhakaalobholela, ‘Hangwana, tweenga tupandite mbeju jammbone mu nng'onda gwinu. Bholi maheya gagabhile gabhoka koji?’
280d1c0097	Bhenabho bhakaajangula, ‘Apwati nga bhatendite henela.’ Bhenibhala akaatumichi bhakapundanga kwaakonyanga, ‘Bholi, mpala tujende tukagatupule?’
280d1d007d	Na jonojwe akaajangula, ‘Ngabha, nkotokugatupula, kwa kubhee pampakutupulanga maheya hago nkombola kutupula pamo na ngaano.
280d1e00eb	Nnekange ngaano na maheya gakole pamo mpaka machobha ga kuhuna. Gena machobha mbakwaalobholela bhakuuna, bhakondanike oti maheya bhagatabhe tabhe makendeka na kujochwa mooto. Nambo ngaano muihunange nkajibhekange mu ngokwe jangu.’”
280d1f00d4	Ayesu bhakaalobholelanga bhandu kulandanikia kongi, “Umwenye gwa kuani kulihunde kwa Annoongo gulandanika na mbeju njoko jijikemwa haladali, yakubhehe amundu bhamo bhakaipetula na bhakapanda mu nng'onda gwabhe.
280d2000d2	Jene mbeju nga njoko njoko muno kupeta mbeju yoa, nambo jimelite hubhehe ngolongwa kupeta mimela joha. Kola na kubhee nkongo nkolongwa na hijuni ya kunani bhatendakuhikanga na kuchenga hiyua mu matepo gabhe.”
280d2100e3	Ayesu bhakaalobholela kulandanikia kongi, “Umwenye gwa kunani kulihunde kwa Annoongo gutekulandanika henela. Mwikege bhapetula ngedule na kujihangalanga mu madebe gabhele ga ukobha gwa ngaano na ukobha goa gutendakutupuka.”
280d22006a	Ayesu bhakaatambulila bhandu genago goa kwa kulandanikia. Bhangaalobholela choachela pangali kulandanikia.
280d2300b5	Gangani gakateenda ili genigala gagakalobholelwa na alondoi gakweele, “Mbakulongela na bhenaangota kwa kulandanikia. Mbakugapiya gangamanyikana kubhoka kuhalakiwa kwa chilambo.”
280d2400bd	Ngapena Ayesu bhakaatabhuka bhenibhala bhandu, bhakajingila mu nyuumba. Bhabhaajigana bhabhe bhakaajendelela, bhakaalobholela, “Ntuatambulile kono kulandanikia kwa nakaponga kumigonda.”
280d25005f	Ayesu bhakaalobholela, “Amundu bhabhapandite mbeju jammbone mu nng'onda nga Mwana bha Amundu.
280d2600a5	Nng'onda gola nga chilambo, mbeju jammbone nga bhenibhala bhandu yakubhee Umwenye nga gwabhenji. Nambo yeniyela nakaponga nga bhenibhala bhandu bha bhenibhala Abohu.
280d2700a1	Akaapwati bhabhapandite genigala maheya nga Abohu. Mahuno nga kupela kwa chilambo na bhabhaunanga nga akaatumichi bha Annoongo bha kunani kulihunde kwa Annoongo.
280d280078	Handa chiibhile yeniyela nakaponga pagalondanikwa pamo na kujochwa mooto, nga chiipakubhee lichobha lya kupela chilambo,
280d2900d6	Mwana bha Amundu bhapakwaatuma akaatumichi bha kunani kulihunde kwa Annoongo bhabhalondanike kubhoka mu Umwenye gwabhe bhenibhala bhoa bhabhajambukia bhandu bhatendange mabohu, na bhoa bhabhatendite hilebhe hibohu,
280d2a006a	na kwa kwaajeanga mu mooto gwa kalipa gwangahimaka machobha goha na konokwe bhapakugutanga na kuyaga mino.
280d2b00a2	Ngapena, bhenibhala bhandu bhammbone bhapakung'anyima handa lyobha mu Umwenye gwa Atati bhabhe. Henela bhabhakweti na machikilo ga kujahonikia na bhajohanikie!”
280d2c0117	“Umwenye gwa kunani kulihunde kwa Annoongo gulandana na hilebhe cha bei ngolongwa chichiitwe kumigonda. Amundu bhamo bhakachibhona, na bhakahiya kabhele. Ngabhakaachuka muno muntima na bhakaula kuucha hilebhe yabhe yoa hibhakibha nayo, na bhakajaula kuguemela nng'onda gola.”
280d2d006b	“Kabhele, Umwenye gwa kunani kulihunde gulandanika na amundu bhamo bhabhatendita kulolea lulu jakuhalala.
280d2e006d	Pabhakapata lulu jimo ja bei ngolongwa, bhakajenda kuucha hilebhe yoa yakibha nayo, bhakahemela lulu jela.”
280d2f0088	“Kabhele, Umwenye gwa kunani kulihunde kwa Annoongo gukalandanika na lipelele lilikachubhikwa mu bahali, likatangia homba yengi yengi.
280d3000ac	Lipelele palikatweelela, bhandu bhakaliuta panja pajomo, bhakatama, bhakaagulanga homba yammbone na kubhabhekanga nkati ja mapakacha gabhe, na bhangammbone bhakailekelanga.
280d3100a5	Nga chiipakubhee machobha ga kupela, akaatumichi bha Annoongo bha kunani kulihunde kwa Annoongo bhapakupitila, bhapakubhalangana bhandu akaabohu na bhandu bhammbone,
280d320076	na kwaajeanga bhenabho akaabohu mu mooto gwa kalipa gwangahimika machobha goha. Konokwe bhapakuguta na kuyaga mino.”
280d33006b	Ayesu bhakaakonya, “Bholi, haga ganannyigine mgamanyite haga goa?” Bhakajangula, “Eloo, tugamanyi.”
280d3400cd	Na bhenabho bhakaalobholelanga, “Henela, kila bhabhajigana malagilo ga Amusa bhabhabhee bhabhaajigana bha Umwenye gwa kunani kulihunde bhalandana na akola nyuumba bhabhapiya hilebhe hiyono na ya lolo.”
280d350042	Ayesu pabhakajomola kulobhola kulandanikia hoko bhakabhoka penapo,
280d3600eb	pabhakahika mu chilambo chabhe. Konokwe bhatendita kwaajigana bhandu mu nyuumba ja konganilana Bhayahudi mpaka bhakakangachanga, bhakachilobholela, “Habha bhapatite koji malango haga? Na bhapatite koji machili gakutenda gakangachika?
280d370096	Hojo mwana nga jonijola apundi chelemala? Bholi, anyongo bhabhe ngati Amalia, na akaapwanga mundu ngati angota Ayakobo na Ayusufu na Asimoni na Ayuda?
280d38006c	Bholi, akaalombo mundu nga bhoa bhabhabhilinge pambani na tweenga twabhoa? Bahi, bhapatite koji haga goa?”
280d390083	Henela bhakaakana. Nambo Ayesu bhakaalobholelanga, “Alondohi bhatopewa koakoa ila ngakondekwa kwaachakwe na kwa bhandu bhakwe!”
280d3a0055	Henela, bhangatenda yakangachika hijingi penipala ligongo lya kwangahobhalela kwabhe.
280e010074	Machobha gala, Ahelode bhabhakibha atabhala bha chilambo cha ku Galilaya, bhakajoha ngani yoa hibhakaipangana Ayesu.
