010000000c	U̱r-Taku̱n
2c0413007f	Biturus e̱ Yohanna shu̱s e̱ zu̱ u̱n, “¿No̱ o̱ m-hyan u̱zu̱ Ru̱-u̱ u̱t-sa it ho̱g rem-u̱s no̱ m-ze̱g su̱ wa?
2c0414006a	Remu̱ zu̱ it, it za keru̱ ho̱-du̱ u̱s-ram u̱ warru̱ no̱m-u̱ it ho̱ge̱ tu̱msu̱ it hyen da.”
2c041500ea	Tu̱-shu̱ u̱t-ne̱nge̱n sur m-nak u̱n u̱t-to̱ sok, da tase̱ u̱n rest u̱n. U̱n taag u̱ka u̱n do̱te̱ yadu̱ u̱n u̱r-ko̱b, remu̱ zu̱ u̱t-ne̱t u̱t-be̱e̱t to̱ o̱ no̱mu̱ u-Ru̱ m-sek remu̱ no̱mu̱ u̱ no̱me̱.
2c04160052	Ne̱t-u̱ wa wu̱ kume̱ m-yar mu̱ m-shin wa ze̱k u̱s-hak u̱t-shik u̱t-yu̱r.
2c041700a5	Da-u̱ na reste̱ Biturus e̱ Yohanna, se̱ e̱ do̱'e̱ u̱du̱ o̱r-u̱t u̱n, u̱n waru̱ u̱n no̱m-u̱ i-yate̱ a-To̱o̱g u̱ u̱t-ne̱nge̱n ne̱ waru̱ u̱n.
2c041800bf	U̱n hen da-u̱ u̱n ho̱ge̱ iya, u̱n jaku̱s cwar-u̱s u̱n u̱du̱ u-Ru̱ jab gan u̱n zu̱, “Wa Ko-uyan, Wu̱ no̱me̱ do̱m u-ru̱ u-dak ne̱, m-sa ne̱, u̱ no̱m-tu̱ o̱ me̱ to̱.
2c04190100	Bo̱ no̱mu̱g u̱s-rem m-tumb ne̱ u̱ be̱b-du̱ Yar-u u-Ru̱ tu̱msu̱ remu̱ to̱k-u̱ ro, wato wu̱ mate̱ u̱so-u it Dawuda: “‘¿Remu̱ yan-o̱ i za-yahuda-ne̱ da nomte̱ u̱s-ryab? ¿Remu̱ yan-o̱ tu̱msu̱ ne̱t-tu̱ nomte̱ dorog-su̱ m-zan?
2c041a00cb	Farkina-ne̱ i u-dak yu̱ne̱ e̱ zo̱ng m-gag, tu̱msu̱ tu̱-shu̱ u̱t-ne̱t same̱ u̱r-hi u̱ u̱n ne̱, u̱n o̱ yu̱r yo̱-de̱ u̱ Yawe, u̱ Kiristi ne̱ wu̱ Ru̱-u̱ dage̱ wa-u-u̱ku̱r in.’
2c041b00fa	Remu̱ u̱zu̱ nip-to̱, Here̱ Antipas u̱ Biratus samge̱ u̱t-hi u̱-me̱ bo̱-u uno̱ u̱ i za-yahuda-ne̱ da u̱ ne̱t-tu̱ Isra-ne̱. U̱n no̱ng zo̱ngu̱sse̱ remu̱ u̱n ho-u̱t Ye̱so̱, wu̱ bo̱ dage̱ u wa shu̱'u̱t to̱k-u u-he̱n ró.
2c041c00a2	Remu̱ zu̱ bo̱ o̱ m-shin ne̱, ne̱t-u̱t to̱ no̱mu̱g no̱mu̱ bo̱ zu̱ e̱ no̱m. No̱mu̱ bo̱ zo̱nge̱ u̱t-no̱m m-tumb ne̱ o̱ de̱ u̱t-shu̱'u̱t.
2c041d0095	Wa-ko-uyan, ho̱g u̱ka u̱n o̱tte̱ rem-su̱ mo̱t-tu̱ yadu̱ it u̱r-ko̱b. Ya to̱k-ne̱ ro be̱b-du̱ jab du̱ warru̱ rem-u̱s ro za u-gye̱r.
2c041e00a6	Nabne̱ kom-u ró bo̱ hatu̱n m-yar u̱ no̱m-tu̱ wadu̱ ne̱t u̱ mu̱rimmo̱ u̱ no̱m-tu̱ m-shin ne̱, u̱ remu̱ dim-du̱ to̱k-u̱ ro Ye̱so̱, Wa-u-He̱n.”
2c041f00a4	Da-u̱ e̱ no̱me̱ u̱s-to̱o̱g, be-du̱ e̱ mo̱ro̱gte̱ ru̱mu̱s. Se̱ Yar-u u-Ru̱ dor-u̱t u̱n be̱e̱t u̱, u̱n hu̱ warru̱ rem-su̱ u-Ru̱ za u-gye̱r.
2c04200088	Mo̱ro̱g-du̱ a-dor e̱ o̱ jab gan, waku̱n zaar wu̱ de̱ u̱t-zu̱, “No̱m-u ri ya” da, se̱di u̱n mot no̱m-u̱ u̱n o̱tte̱.
2c042100a2	U̱r-be̱b ne̱ so̱k, a-To̱mu̱ Ye̱so̱ wu̱r u̱ka yu̱ne̱-du̱ Wa-ko-uyan Ye̱so̱ du̱gu̱ marimari-ne̱. Kowan u̱ te̱k-u̱ me̱ u̱n kum kom-u̱ u-Ru̱,
2c042200f1	Tu̱msu̱ waku̱n zaar wu̱ tage̱ u̱ o̱ko̱n no̱m-o̱ u̱ te̱k-u̱ me̱ u̱n da. E̱ke̱n a-dor-ne̱ i o̱tte̱ u̱t-tak ko̱ u̱t-bu, o̱ko̱n da-o̱ e̱ bu̱b to̱ko̱n no̱m-to̱. Tu̱msu̱ e̱ hatu̱n shik-u̱ no̱m-tu̱ e̱ babe̱.
2c0423005d	U̱n haatu̱n shik u̱-shu̱ a-To̱mu̱ Ye̱so̱ ne̱, na ye' kowan u̱ka wa o̱tte̱ u̱ssa.
2c042400e0	Waku̱n o̱ro wu̱na zu̱ye̱ Yusuhu, wu̱ a-To̱mu̱ Ye̱so̱ te̱'e̱ u̱r-dim Baraba (wato, Wa'-u̱ wa shiriktin-mu̱ jab). Wa o̱ u̱ te̱k-u̱ me̱ ko̱-u̱r Re̱wi ne̱, tu̱msu̱ wa hagu̱n du̱gu̱ Gas-u̱ Sayifurus.
2c04250058	Baraba bu̱b o̱ko̱n tak-o̱ u̱ wa, wa haatu̱n shik-u̱ ke̱nu̱ a-To̱mu̱ Ye̱so̱.
2c0501007a	Tu̱msu̱ waku̱n ne̱t wa wu̱na zu̱ye̱ Hananiya u̱ ne̱ta wane̱ Safiratu, wa bu̱b o̱ko̱n tak-o̱ u̱ wa o̱tte̱.
2c05020081	U̱ nap-du̱ ne̱ta-ne̱, wa yase̱ u-u̱k u̱ me̱ shik tak-u̱ u̱n babe̱, wa hatu̱n u-u̱k u̱ ke̱nu̱ a-To̱mu̱ Ye̱so̱.
2c0503011d	Ku̱na Biturus zu̱tte̱, “Hananiya, re̱-o̱ bo̱ yakte̱ faru̱k-u̱ no̱m u̱s-te ze̱g-u̱t be̱b-du̱ jab-u̱ ró, bo̱ no̱mu̱ Yar-u u-Ru̱ u̱s-bi. Bo̱ yaske̱ e̱ke̱n shike̱ u̱-me̱ shik-u̱ tak-u bo̱ babe̱. Bo̱ no̱mu̱g u̱ka u̱zu̱ bo̱ hattu̱n it shik be̱e̱t.
2c050400eb	Kanda bo̱ babu̱ ro o̱, ko ba bo̱ babe̱, bo̱ keru̱ no̱m-du̱ no̱mu̱ bo̱ cwane̱ u̱ shik-u̱ e̱. ¿Remu̱ yan-o̱ bo̱ wu̱te̱ sin-se̱ dorogse̱ u̱ jab-u̱ ro? Ne̱t wa bo̱ no̱me̱ u̱s-bi da, Ru̱-o̱ bo̱ no̱me̱.”
2c05050085	Da-u̱ Hananiya ho̱ge̱ iya, se̱ wa he̱'e̱ u-dak wa mu̱ru̱s. Ne̱t-tu̱ ho̱ge̱ u̱t-be̱e̱t hen, gye̱r-u̱ u-tát ship e̱.
2c0506005b	Ya'agu̱ be̱b-ne̱ haan e̱ ho̱po̱s wu̱n u-kus, e̱ ku̱b wu̱n m-rwu̱, e̱ dok wu̱n.
2c05070063	Da sure̱ m-wa'as u̱ka u̱s-kwam u̱s-tu̱t, ne̱ta Hananiya cwan, wa nak no̱mu̱ na no̱me̱ da.
2c05080083	Biturus zu̱ wu̱n, “¿Waru̱ me̱, taas-du̱ shik-de̱ ane̱ i no̱ bu̱bte̱ u-tak?” Wa zu̱, “U̱, tase̱ u̱ku̱n iya.”
2c050900c7	Biturus zu̱ wu̱n, “¿Remu̱ yan-o̱ no̱ gu̱gte̱ u-nu no̱ reg-u̱t Yar-u̱ Wa-ko-uyan? Gwat ba-tu̱ u̱s-na i jwake̱ campa ró. E̱ o̱ hen u̱ is, e̱ do̱'e̱ u̱ kab-du̱ bo̱ e̱ ruut.”
2c050a009e	Za rem wa he̱'e̱ u-dak, wa mu̱ru̱s. Da-u̱ ya'agu̱ be̱b-ne̱ cwane̱, e̱ bit wa maru̱g, e̱ ku̱b wu̱n, e̱ ruut, e̱ dok wu̱n u̱ dapu̱s campa ro.
2c050b006e	Gye̱r-u̱ ship a-doru̱ Ye̱so̱ ne̱ be̱e̱t, u̱ ne̱t-ne̱ u̱t-be̱e̱t tu̱ ho̱ge̱ rem-u̱s sin-se̱.
2c050c00de	A-To̱mu̱ Ye̱so̱ no̱mo̱g no̱m-tu̱ m-shin u-tát u̱ me̱ u̱t-ne̱t. Tu̱msu̱ a-dor-ne̱ be̱e̱t mo̱ro̱g u̱r-be u̱r-gan u̱ka e̱ vette̱ u̱ pyu̱ Suremanu, u̱-me̱ be-du̱ u̱r-shu̱'u̱t du̱ Wa-ko̱-uyan.
2c050d0134	U̱ te̱k-u̱ u̱t-ne̱t u̱t-be̱e̱t i te m-kab Ye̱so̱ da, e̱ o̱ ho̱g-du̱ gye̱r u̱r-cwa u̱du̱ a-dor, remu̱ zu̱ e̱ nak u̱zu̱ a e̱ no̱me̱ no̱m-u̱t yo̱-to̱ Ru̱-u̱ de̱ rwu̱tu̱n to̱ m-zu̱n tu̱msu̱ wa ya' u̱n u̱r-ko̱b. Ko ba shu̱'u̱te̱ iya ne̱t-tu̱ o̱ yadu̱ u̱n m-ze̱g.
2c050e006b	Ko̱ ba shu̱'u̱te̱ iya, a-dor-ne̱ hu̱ m-swu̱r u-tát u̱du̱ Wa-ko̱-uyan campa-ne̱ u̱ ne̱ta-ne̱.
2c050f010a	No̱m-tu̱ a-To̱m o̱ u̱t-no̱m, wa'ag u̱t-ne̱t u̱ rwu̱tu̱n a-ko̱b-du̱ m-yar ne̱ u̱ do̱m u̱s-fu̱n, na o̱ ru̱stu̱ e̱ do̱m u̱t-yu̱n u̱t-wu̱ndi ne̱ u̱ka o̱tte̱ a Biturus o̱ aru̱k wa tam u̱n ko ryu̱n-u wa o̱ tame̱ e̱ke̱n e̱ kum m-yar.
2c051000c4	U̱t-Ne̱t u-tát e̱ hu̱ mo̱ro̱g du̱gu̱ bo̱-tu̱ o̱ dapu̱s Urusharima, e̱ o̱ hatu̱n a-ko̱b-du̱ m-yar ne̱, u̱ i no̱m u̱s-te o̱ yadu̱ u̱r-ko̱b ne̱, e̱ be̱e̱t e̱ kum m-yar.
2c051100ce	Se̱ yu̱ yat-ya a-to̱o̱g u̱ mo̱ro̱g-du̱ ne̱t-tu̱ Saduki-ne̱ i o̱ u̱r-kot u̱ wu̱n ne̱, e̱ nom u̱r-shu̱b u-tát remu̱ zu̱ ne̱t-tu̱ o̱ kab-du̱ no̱mu̱ a-To̱mu̱ Ye̱so̱ o̱ u̱t-war.
2c0512005a	U̱n maas a-To̱mu̱ Ye̱so̱ u̱n tage̱ e̱, u̱ bu-u̱ m-to̱k u̱ ne̱t-ne̱ be̱e̱t.
2c05130074	U̱ te̱k-u̱ m-gyu̱p Wa-to̱m-u̱ Wa-ko-uyan rwu̱n wa upus u-is u̱ kur-u̱ m-to̱k. Wa rwu̱tu̱n u̱n, wa zu̱,
2c05140074	“De̱'e̱n u̱ be-du̱ u̱r-shu̱'u̱t du̱ Wa-ko̱-uyan no̱ waru̱ ne̱t-ne̱ rem-su̱ u̱r-fat u̱ sin-se̱.”
2c05150177	Da-u̱ u̱n ho̱ge̱ iya, u̱n yu̱ne̱ u̱n to̱ u̱ me̱ be-du̱ u̱r-shu̱'u̱t du̱ Wa-ko̱-uyan u̱r-wu̱n u̱r-wu̱n, u̱n hu̱ u̱t-ko̱se̱. Da-u̱ yu̱ yat-ya a-to̱o̱g u̱ ne̱t-tu̱ o̱ u̱r-kot u̱ wu̱n ne̱ mo̱rge̱, e̱ fog Mo̱ro̱g-du̱ u̱t-Ne̱nge̱n, u̱ tu̱-shu̱ ne̱ tu̱ Isra-ne̱, e̱ tom na hatu̱n a-To̱mu̱ Ye̱so̱ i na wa'e̱ bu-u̱ m-to̱k.
2c0516007a	Da-u̱ a-u̱r-e' teye̱ bu-u̱ m-to̱k, e̱ hyanu̱g a-to̱mu̱ Ye̱so̱ u-me̱ da. E̱ mu̱u̱n e̱ waru̱ u̱n, u̱zu̱,
2c0517009f	“It byu̱k-u̱t bu-u̱ m-to̱k u-go̱ri go̱ri, tu̱msu̱ a u̱r-e̱' e̱ o̱ is u-bu u̱r-e̱', se̱di da-u̱ it gwate̱ it hyanu̱g waku̱n u̱-me̱ da.”
2c051800db	Da-u̱ yu̱-shu̱ u̱ got-tu̱ be-du̱ u̱r-shu̱'u̱t du̱ Wa-ko̱-uyan u̱ yu̱-Yat-ya a-to̱o̱g-ne̱ ho̱ge̱ iya, no̱m-u̱ ho u̱n u̱ mu̱rimmo̱ sok, e̱ o̱ u̱s-dorog u̱zu̱ yan-o̱ de̱ u̱t-no̱m u̱-shu̱.
2c051900ce	Waku̱n haan wa zu̱ u̱n, “Ho̱go̱n, ne̱t-u̱t to̱ tu̱ no̱ wa'e̱ u̱ bu-u̱ m-to̱k, e̱ u̱-me̱ be-du̱ u̱r-shu̱'u̱t du̱ Wa-ko̱-uyan u̱ da-o̱, e̱ o̱ no̱mu̱ ne̱t-ne̱ u̱t-ko̱se̱!”
2c051a00ae	Yu̱-shu̱ a-gwat-du̱ Bu-u u-Ru̱ yu̱ne̱ e̱ maas a-To̱mu̱ Ye̱so̱, se̱di za o̱kon gwu̱z-o̱, remu̱ zu̱ u̱n o̱ u-gye̱r taas u̱ ne̱t-tu̱ bong u̱n u̱t-ta'ar.
2c051b00a5	Da-u̱ u̱n hatu̱n a-To̱mu̱ Ye̱so̱, u̱n egu̱sse̱ u̱n u̱ shu̱ Mo̱ro̱g-du̱ u̱t-Ne̱nge̱n remu̱ yu̱-Yat-ya a-to̱o̱g u̱ no̱m-tu̱ u̱n u̱r-shu̱t.
2c051c0120	Wa zu̱, “It nak no̱ u̱t-to̱ u̱zu̱ a no̱ sur m-no̱m u̱t-ko̱se̱ u̱ te̱k-u̱ dim-u̱r Ye̱so̱ da. Se̱di no̱ re̱e̱g shu̱ u̱t-ko̱se̱, tu̱msu̱ kowan u̱ Urusharima wa nak u̱ ko̱se̱-u̱t no̱ ne̱, har no̱ u̱t-sa no̱ saku̱ it ra-u̱ ne̱t unwa u̱ hi-u̱r it.”
2c051d0095	Se̱ Biturus u̱ a-To̱mu̱ Ye̱so̱ ne̱ shu̱s e̱ zu̱, “Ka u̱t-no̱m zarra ze̱k u̱r-zwar it dor rem-su̱ u-Ru̱ m-ze̱g rem-su̱ ne̱t-ne̱!
2c051e008b	No̱ ho wa tu̱msu̱ no̱ tu̱r wa u̱-do̱m u-kan. Se̱di Ru̱-u̱ u̱so-tu̱ u̱so-u̱t in, wa yu̱nse̱ Ye̱so̱ du̱gu̱ marimari-ne̱.
2c051f00e8	Wu̱na Ru̱-u̱ sekmu̱sse̱ u̱ kom u̱s-cwa ro, wa shu̱'u̱t yu̱-Yat-ya tu̱msu̱ Wa-u-u̱ku̱r. Wa no̱ng iya remu̱ wa upuste̱ Isra-ne̱ fu̱n-yu̱ yage̱-du̱ u̱t-ba'as, tu̱msu̱ na no̱mu̱ u̱r-ho̱ du̱ ba'as-u̱t u̱n.
2c052000cc	It waru̱ ne̱t-ne̱ no̱m-u̱t tun-to̱ tu̱ it nape̱ tu̱ kume̱ Ye̱so̱, tu̱msu̱ Yar-u u-Ru̱, u̱ Ru̱-u̱ to̱mtu̱n it a do̱rru̱ rem-u̱s wa, o̱ ko̱ske̱ u̱zu̱ no̱m-u̱t to̱ nip-to̱.”
2c05210065	Da-u̱ tu̱-shu̱ ho̱ge̱ iya, e̱ hog u̱s-ryab sok, har e̱ cwanu̱g e̱ ho̱ a-To̱mu̱ Ye̱so̱.
2c0522010a	Se̱ waku̱n wa Farisa-wa o̱ro wu̱na zu̱ye̱ Gamariye̱r. Wa o̱o̱ge̱ wa ko̱se̱-tu̱ u-bo̱r, tu̱msu̱ ne̱t-tu̱ ye wu̱n m-ze̱g sok. Wa yu̱ne̱ u̱-me̱ Mo̱ro̱g-du̱ u̱t-Ne̱nge̱n wa zu̱, a-u̱r-e' u̱zu̱ e̱ ruut ne̱t-u̱t tun-to̱ u̱-do̱ u-ro.
2c052300c0	Da-u̱ u̱n ruute̱ a-To̱mu̱ Ye̱so̱ u̱-do̱, se̱ Gamariye̱r zu̱ mo̱ro̱g-du̱ u̱t-ne̱t, “O̱r-u̱t ri Isra-ne̱, gwatu̱n no̱m-u̱ no̱ u̱t-sa no̱ no̱mu̱ ne̱t-u̱t tun-to̱.
2c05240136	U̱ hak-su̱ dim, waku̱n rwu̱gu̱n na zu̱ wa Tudas, wa ku̱b hi-u̱r wa o̱ko̱n. Wa kwu̱mu̱g ne̱t-ne̱ u̱t-ko̱k u̱t-nas i do̱ru̱ wa, se̱di karma-ne̱ ho̱o̱g wa, tu̱msu̱ na bu̱rgu̱sse̱ ne̱t-tu̱ o̱ u̱r-no̱k u̱ wa ne̱. U̱n kerge̱ hen no̱m-du̱ no̱m-u̱ u̱n zo̱nge̱ u̱t-no̱m da.
2c052500ef	U̱ o̱ko̱n da-o̱ tu̱msu̱ waku̱n wu̱ na foge̱ Yahudas, ne̱t-u̱ Gariri wa. Da-u̱ na o̱o̱ge̱ u̱ ogor-tu̱ u̱t-ne̱t, wa wa'ag ne̱t-tu̱ dor wa, iya o̱ ko̱wa karma-ne̱ ho̱o̱g wa tu̱msu̱ e̱ bu̱rgu̱sse̱ ne̱t-u̱t wa.
2c052600ba	“U̱ da-o̱, u̱m o̱ waru̱ no̱ ruun u̱ fu̱n-yu̱ ne̱t-u̱t to̱, no̱ yagu̱n u̱n aru̱k. Abite̱ u̱zu̱ no̱m-u̱ u̱n o̱ u̱t-no̱m u̱ ne̱t o̱, o̱ de̱ u̱t-natu̱sse̱.
2c052700d6	Abite̱ u̱zu̱ pama-u̱ u-Ru̱ o̱, no̱ za keru̱ hosu̱ ne̱t-u̱t tun-to̱ da. No̱ u̱t-taas no̱ bit hi-u̱r no̱ m-gag u-Ru̱ ne̱.” Ku̱na hen Mo̱ro̱g-du̱ u̱t-Ne̱nge̱n ku̱bte̱ rem-u̱s Gamariye̱r
2c052800d6	U̱n fagu̱n a-To̱mu̱ Ye̱so̱ u-me̱, u̱n no̱mu̱ u̱n u̱s-ryap. Tu̱msu̱ u̱n nu̱k u̱n u̱t-to̱ u̱zu̱ a u̱n sur m-no̱m u̱t-ko̱se̱ u̱ dim-u̱r Ye̱so̱ da. Se̱ u̱n rest a-To̱m e̱ no̱k m-mu̱.
2c052900aa	A-To̱mu̱ Ye̱so̱ yu̱ne̱ du̱gu̱ Mo̱ro̱g-du̱ u̱t-Ne̱nge̱n u̱ te̱k-u̱ u̱r-so̱, remu̱ zu̱ na hyang u̱n ko̱rge̱ swa-u̱ m-'e̱ remu̱ dim-u̱r Ye̱so̱.
2c052a00c5	Tu̱msu̱ ko mu̱ne̱, u̱ me̱ be-du̱ u̱r-shu̱'u̱t du̱ Wa-ko̱-uyan ko u̱t-bu, u̱n yakke̱ no̱mu̱ ne̱t-ne̱ u̱t-ko̱se̱ u̱ rem-su̱ m-re̱me̱r u̱zu̱, “Ye̱so̱ wa o̱ Kiristi.”
2c0601023b	U̱ da-u̱ o̱ a-dor u-tát he̱e̱se̱ u̱t-swu̱ru̱n. E̱ke̱n rwu̱gu̱n du̱gu̱ to̱ko̱n dak-to̱, tu̱msu̱ rem-du̱ u̱t-Girik do̱'e̱ warge̱, se̱di e̱ke̱n i shu̱'u̱te̱ u̱ dak-u̱ Isra-ne̱ e̱ waru̱g rem-du̱ Yahuda-ne̱. I warge̱ rem-du̱ u̱t-Girik he̱e̱se̱ m-kwe̱ u̱ remu̱ Yahuda-ne̱ i warge̱ rem-du̱ Yahuda-ne̱. E̱ o̱ u̱t-zu̱, “Da-u̱ a-dor i warge̱ rem-du̱ Yahuda-ne̱ o̱ mo̱t-du̱ no̱m u̱t-re̱ u̱ shik ne̱ u̱du̱ bomos-ne̱ ko mu̱ne̱, no̱ ye'et matu̱ u-mo̱t u̱du̱ bomos-ne̱ i warge̱ rem-du̱ u̱t-Girik da”.
2c06020094	Se̱ a-To̱mu̱ Ye̱so̱ o̱p u̱ yu̱r mo̱ro̱g, e̱ zu̱, “Ku̱mge̱ na yage̱ warru̱ rem-su̱ u-Ru̱, na mu̱ u̱ mo̱ttu̱ no̱m-u̱t re da.
2c060300c2	Remu̱ iya o̱r-u̱t ri, no̱ dag ne̱t-ne̱ ta'er u̱ te̱k-u̱ me̱ no̱, i o̱tte̱ dim-u̱r so̱-de̱, tu̱msu̱ i Yar-u u-Ru̱ dorte̱, u̱s-ve̱r ne̱. It de̱ yasu̱ e̱ uno̱ pama-u o̱.
2c0604005b	It hen it de̱ wadu̱ jab-u̱ no̱m-du̱ u̱s-to̱o̱g u̱ warru̱ rem-su̱ u-Ru̱ ne̱.”
2c06050159	Ne̱t-ne̱ be̱e̱t hog zwar-ru̱ rem-u̱s se̱. Se̱ e̱ du̱g Istifanus. (Ne̱t wa wu̱ yadu̱ jab u̱du̱ u-Ru̱ sok tu̱msu̱ Yar-u u-Ru̱ o̱ dor-tu̱ wa). U̱n du̱g Firibus, u̱ Burokoras, u̱ Nikano, u̱ Timon, u̱ Barminas, u̱ Nikoras du̱gu̱ Antakiya (ne̱t-u̱ wa kabu̱g fu̱n-yu̱ Yahuda-ne̱, kanda wa ya' u̱t-nip u̱ Ye̱so̱).
2c06060084	Ne̱t-tu̱ haatu̱n a-To̱mu̱ Ye̱so̱ ne̱t-u̱t to̱ u̱t-ta'er. Na do̱ru̱ u̱n u̱t-kom u̱r-hi na no̱mu̱ e̱ u̱s-to̱o̱g.
2c060700a8	Rem-su̱ u-Ru̱ re shu̱ u̱r-cwa ko he̱ne̱. Tu̱msu̱ tat-u̱ a-doru̱ bo̱-u̱ Urusharima sur u-tát, a-to̱o̱g u-tát e̱ kum yadu̱ jab remu̱ rem-u̱s Ye̱so̱.
2c0608007c	Istifanus o̱tte̱ yadu̱ jab u-tát u̱ be̱b-du̱ u-Yar ne̱, wa no̱ng u̱t-no̱m u-tát tu̱ m-shin u̱ me̱ u̱t-ne̱t.
2c0609018a	Se̱ to̱ko̱n ne̱t-to̱ zwaru̱n Istifanus. Ne̱t-tu̱ Yahuda-ne̱ to̱, i mo̱rge̱ ko-uyan da u̱ Kur-u̱ u̱t-Ko̱se̱ u̱ ne̱t-tu̱ foge̱ “Kur-u̱ i kume̱ u̱r-rwu̱ du̱gu̱ m-to̱k.” Ne̱t-u̱t to̱ rwu̱gu̱n du̱gu̱ bo̱-tu̱ Sayirin u̱ Are̱kzandariya tu̱msu̱ e̱ke̱n rwu̱gu̱n du̱gu̱ Gas-u̱ bo̱-tu̱ Kirikiya u̱ Asiya-ne̱. E̱ he̱e̱se̱ inan u̱ Istifanus ne̱.
2c060a0084	Se̱di u̱n kerge̱ u̱ inan u̱ wane̱ da, remu̱ zu̱ wa nom u̱s-rem u̱s-ve̱r ne̱, tu̱msu̱ Yar-u u-Ru̱ o̱ do̱m-u̱ wu̱n.
2c060b00c2	Se̱ e̱ ye' e̱ke̱n re̱ u̱r-swa remu̱ e̱ ke̱-tu̱ Istifanus u̱s-rem u̱zu̱, “It ho̱k wu̱n warru̱ no̱m-u̱t yo̱-to̱ u̱ remu̱ wa-warru̱ rem-su̱ u-Ru̱ Mosa u̱ u-Ru̱ ne̱.”
2c060c00ce	Iya-o̱ u̱n yu̱nu̱ste̱ jab-su̱ u̱t-ne̱t, u̱ i-yate̱ ne̱ tu̱msu̱ u̱ a-ko̱se̱-tu̱ u-bo̱r ne̱. E̱ yu̱nne̱ wu̱n, e̱ maas wu̱n. E̱ hu̱u̱t wu̱n u̱-me̱ Mo̱ro̱g-du̱ u̱t-Ne̱nge̱n.
2c060d00c5	Se̱ i shu̱ u̱t-ne̱t hatu̱n rem-su̱ u̱s-bi, har e̱ zu̱, “Ne̱t-u̱ unwa ko mu̱ne̱ wa o̱ rem-su̱ m-zan u̱ mo̱ttu̱ be-u̱r rinde̱ du̱ u-he̱n tu̱msu̱ u̱ ko̱se̱-u̱t Mosa ne̱.
2c060e00a3	It ho̱k wu̱n u̱t-zu̱ Ye̱so̱ wu̱ Nazara de̱ ru̱-du̱ be-u̱r re̱, tu̱msu̱ wa bargu̱sse̱ u̱r-main du̱ wa-warru̱ rem-su̱ u-Ru̱ Mosa yak-su̱ in.”
2c060f008d	I o̱ shu̱'u̱t u̱ be-du̱ Mo̱ro̱g-du̱ u̱t-Ne̱nge̱n, e̱ saku̱ wu̱n u̱r-is, e̱ hyen shu̱-u ro baru̱mte̱ u̱ka wa-To̱m u-Ru̱.
2c07010053	Yu̱-Yat-ya a-to̱o̱g-ne̱ shit Istifanus u̱zu̱, “¿Rem-u̱s se̱ nip-to̱?”
2c070200d3	Istifanus zu̱, “O̱r-u̱t ri, ganu̱n u̱t-to̱ no̱ ho̱g me̱, u-Ru̱ wa ko-uyan ko̱ske̱ hi-u̱r wa u̱du̱ u̱so-u in Ibrahi da-u̱ wa o̱o̱ge̱ u̱ dak-u̱ Me̱sofotamiya kanda wa shu̱'u̱t u̱ Haran.
2c07030085	Ru̱-u̱ zu̱ wu̱n, ‘Yu̱ne̱ du̱gu̱ dak-u no̱, bo̱ yage̱ o̱r-u̱t ro, bo̱ do̱'e̱ u̱ dak-u̱ u̱m de̱ ko̱su̱ bo̱.’
2c070400b5	“Ibrahi yu̱ne̱ du̱gu̱ dak-u̱ Kardiya-ne̱ wa do̱'e̱ wa shu̱'u̱t u̱ Haran. “Da-u̱ uso-u ro mare̱, Ru̱-u̱ hatu̱n wu̱n u̱ dak-u uno̱ u̱ no̱ o̱tte̱ u̱ da-o̱.
2c070500e8	Ko ba shu̱'u̱te̱ iya Ru̱-u̱ yaag Ibrahi kwu̱m-tu̱ dak-u o̱ da ko cashi, se̱di wa este̱ u̱s-rem u̱zu̱, wa de̱ u̱t-wa u̱ dak-u o̱ shu̱'u̱t u̱ ro, wu̱n u̱ ko̱-u̱r ro ne̱, u̱ da-u o̱ hen Ibrahi zatte̱ wa' da.
2c070600ce	Tu̱msu̱ Ru̱-u̱ zu̱ ko̱-u̱r Ibrahi de̱ cwadu̱ bo̱-u̱ e̱ nape̱ da, tu̱msu̱ ne̱t-tu̱ bo̱-u o̱ de̱ muutu̱ u̱n to̱k-ne̱, e̱ de̱ yadu̱ u̱n u̱r-ko̱b m-te u̱s-hak u̱t-ko̱k u̱t-nas.
2c070700e1	Ru̱-u̱ zu̱, ‘U̱m de̱ yadu̱ ne̱t-tu̱ dak-u o̱ u̱r-ko̱b, tu̱msu̱ ko̱-u̱r Ibrahi e̱ u̱t-byu̱ru̱n e̱ no̱mu̱ me̱ u̱t-huuk u̱ be-u̱r rinde̱ du̱ u̱m nomte̱ este̱du̱ u̱s-rem u̱zu̱ me̱ u̱t-ya.’
