1300000004	Saam
2a012b0036	Ka Bawipa a nu, ka venna na law ve ikawmyihna hy voei?
2a012c0063	Ngai lah, Nani voemnaak awi kang zaak awhkawng kak phoen khui nakaw naaca ve a zeel aih awh tat hy.
2a012d006c	Cedawngawh a venawh Bawipa ing ak kqawn peek ce soep kaw, tinawh ak cangnaak nu taw a zoseen hy,” tina hy.
2a012e0032	Meri ing: “Ka hqingnaak ing Bawipa kyihcah nawh,
2a012f0037	kang myihla awm ak hulkung Khawsa venawh zeel soeih hy.
2a01300076	A tamnaa nu a dungvoengnaak qeen nawh; Ngaih lah, tuhawhkawng cadil boeih ing thlang zoseen nu tinawh nik khy kawm uh.
2a01310069	Kawtih tha ak awm soeih ing kak khan awh ik-oeih ak bau soeih sai hawh hy, ang ming awm cimcaih soeih hy.
2a01320037	Amah ak kqihchahkhqi cetaw cadil dyna awm qeen khqi hy.
2a01330065	A baan ing ak thaawmnaak ce dang sak nawh, thlak oek qu khqi taw a mik poek qunaak ing theeh khqi hy.
2a01340067	Ukkungkhqi ce a mi ngawihdoelh awhkawng kqum sak khqi nawh dungvoeng na ak awmkhqi ce zoeksang khqi hy.
2a01350061	Ak phoen ak cawi khqi ce them leek ing phyi sak khqi nawh, boeikhqi ce kut hqawng na tyi khqi hy.
2a01360046	A lungqeennaak ce poek khak nawh a tyihzoeih Israelkhqi ce bawm hamna,
2a01370041	Abraham ingkaw a cadil a venawh qeennaak ce ta poepa hy,” tihy.
2a01380048	Meri ce Elizabeth a venawh hla thum tluk a awm coengawh a im na hlat hy.
2a0139003c	Naa a thangnaak tym a pha awh, Elizabeth ing cakpa ce ta hy.
2a013a007e	A imcengkhqi ingkaw a cakaw paqengkhqi ing Bawipa ing anih ak khan awh qeennaak soep sak hy tice a ming sim awh, zeel pyi uhy.
2a013b006e	Ak kqeet nyn awh chahhui qeet aham naaca ce khyn hy nih, cawh a pa ang ming Zekariah ce sui aham cai hlai uhy,
2a013c0042	a nu ing, “Amni! Johan tinawh ni sui aham awm hy, tinak khqi hy.
2a013d0059	Cekkhqi ing, “Cemyih ang ming ce na cakaw paqeng ak khuiawh am awm man hy,” tina uhy.
2a013e0061	Naa ang ming ce ikawmyihna nu a sui law kaw ti unawh, a pa a venawh a mi kut vaih unawh doet uhy.
2a013f007b	Anih ing caa qeenaak aham calung ce thoeh nawh, “Ang ming taw Johan,” tinawh qee saw thlang boeih a mik kawpoek kyi hy.
2a01400065	Cawh am kha ce awng qu pahoei nawh am lai awm zai law pahoei hy, awi kqawn nawh Khawsa ce kyihcah hy.
2a01410066	A imcengkhqi taw amik kawpoek kyi hy. Judah qam khawmcung pum awh thlangkhqi ing cawhkaw ce kqawn uhy.
2a014200ac	Bawipa a kut ce anih ak khan awh a awm a dawngawh, ce ak awi ak zakhqi boeih ing amik kawpoek kyi nawh, “Cawhtaw cawhkaw naasen ce ikawmyihna nu a awm law kaw?” ti uhy.
2a01430036	A pa Zekariah ce Ciim Myihla ing be nawh awi kqawn hy:
2a01440071	“Israelkhqi a Khawsa, Bawipa venawh thangleeknaak awm seh nyng, kawtih ak thlangkhqi ce hqip nawh tlan hawh hy.
2a01450050	A tyihzawih David a ipkhui awh, nangmih thaawngnaak kii pynoet cawn sak hawh hy.
2a0146003c	(Syn awh amah a tawngha ciimkhqi venawh anak kqawn amyihna),
2a01470051	Qaalkhqi ven awhkawng thaawngnaak, ningnih anik sawhnaakkhqi qam ak khui awhkawng
2a0148005b	pakdamkhqi venawh am qeennaak dang sak aham ingkaw amah a paipi ciim a sai ce sim poe aham,
2a01490027	ni pa Abraham a venawh awi a na kam ce:
2a014a0061	Ni qaalkhqi kut khui awhkawng ni loet sak aham ingkaw kqih kaana amah a bi ce ni binaak thai aham
2a014b003e	ni hqing khui amah a haiawh ni ciim ingkaw ni dyngnaak ham ni.
2a014c0085	Ce, nang ka ca, sawsang soeih a tawngha pynoet tinawh nik khy kawm uh; kawtih Bawipa haiawh a lam qoek abah peek aham na ceh hly awh;
2a014d0055	Ni Khawsa a thawlh qeennaak ak caming nak thlangkhqi venawh thaawngnaak sim sak aham,
2a014e0053	kawtih nangmih a Khawsa am qeennaak ak caming, khawk khan nakawng ningnih a venawh,
2a014f00a9	than khuiawh ak awmkhqi ingkaw thihnaak ak kaiawh ak ngawikhqi ceei aham, ningnih a khawkhqi ce qoepnaak lam benna hqui aham khawkdai ce law kaw,” tinawh laa ce sa hy.
2a01500076	Naasen ce bau law hqui nawh Myihla ben awh ak tha awm hqui hy; Israelkhqi venawh ang dang hlan dy kqawng na ce awm hy.
2a02010069	Ce tloek awh Rom qam khui boeih boeih awhkaw thlanghqing thlangmi noet aham Kaisar Augustus ing awi pehy.
2a02020066	(Vetaw Siria qam awh Quirinius ce qam ukkung boei na a awm awh thlangmi noetnaak lamma cyk na awm hy.)
2a02030057	Cedawngawh thlang boeih ing ming cazin peek aham a mimah a khaw na cet boeih boeih uhy.
2a02040080	Cedawngawh Joseph awm David cahlah na a awm a dawngawh, Kalili qam Nazareth awhkawng Judah qam David a khaw Bethlehem na cet hy.
2a0205005a	Ming cazin pek a hamna a zu am kang, phyihsu nawh naa ak awm tawm Meri ingqawi cet hy nih.
2a02060038	Cawh a ni awm awh, naa a thangnaak hly khawnghi ce nawh,
2a02070074	Cehlai a cakcyk pa ca ce ta nawh, khin pahnaak im ama hoeng a dawngawh hi ing zawl nawh vaitaw aihkawng awh soei hy.
2a0208005c	Cawh a qam khuiawh tuu ak khaikhqi ce kqawng na awm unawh, khawmthan awh tuukhqi ce qeh uhy.
2a020900aa	Bawipa ak khan ceityih phynoet ce a mingmih a venawh dang pe nawh, Bawipa a boeimangnaak ing a mingmih a kengsam ce coei qungtheng saw, cedawngawh a mingmih ing kqih uhy.
2a020a008e	Cehlai khan ceityih ing a mingmih a venawh, “Koeh kqih uh. Nangmih a venawh thlang boeih aham ym ak awm soeih awithang leek ka kqawn law ni.
2a020b0064	Tuhngawi David a khawk khuiawh thawngkung ce nangmih aham thang hawh hy; anih cetaw Khrih Bawipa ni.
2a020c0079	Ve ve nangmih aham hatnaak na awm kaw: Naasen hi ing zawl unawh aihkawng awh ami soei ce hu kawm uk ti,” tinak khqi hy.
2a020d006a	Kawlhkalh ca awh khan benna kaw thlang kqeng ce khan ceityihkhqi mi dang law unawh, Khawsa ce kyihcah uhy,
2a020e0083	“Sawsang soeih awh Khawsa boeimang seitaw, khawmdek awh amah kaw ak tawng khqik khan awh qoepnaak awm seh,” tinawh kyihcah uhy.
2a020f00b2	Khan ceityihkhqi ing a mingmih ce cehta khqi nawh khawk khan na a mi ceh coengawh, tuukhaikhqi ing, “Bethlehem na cet unawh Bawipa ing ak kqawn law ce toek lah usih,” ti uhy.
2a0210005e	Cedawngawh ang tawnna cet unawh, Meri, Joseph ingkaw aihkawng awhkaw ami soei naaca ce hu uhy.
2a0211006d	Naaca ce a mi huh awh, ve naaca akawng cekkhqi venawh kqawn peek na ak awm ce thlangkhqi venawh kqawn pe uhy,
2a0212004c	tuukhaikhqi ing amik kqawn peek awi ak zakhqi boeih ing amik kawpoek kyi hy.
2a02130056	Cehlai Meri ingtaw cawhkaw ik-oeihkhqi boeih ce ak kawlung khuiawh khoem nawh poek hy.
2a021400a2	A mingmih a venawh ak kqawn peek amyihna ik-oeihkhqi boeih ce hu unawh a ming zaak a dawngawh Khawsa ang ming zoeksang nawh kyihcah doena tuukhaikhqi ce voei uhy.
2a0215008c	Ak kqeet nyn, chahhui qeetnaak tym a pha awh, a nu ing a phyihsu hlanawh khan ceityih ing ak kqawn peek amyihna Jesu tinawh ang ming sui hy.
2a02160094	Mosi a anaa awi amyihna ciimcaih sak naak khawnghi ce a pha awh, Joseph ingkaw Meri ing Jesu ce Bawipa venawh suum aham Jerusalem na ceh pyi hy nih,
2a02170072	(Bawipa a anaa awi awh, “Ak cykcah capa taw Bawipa aham hoep a hamna awm hy,” tinawh qee na a awm a dawngawh),
2a02180084	Bawipa a anaa awi awh ak kqawn amyihna: kqawng kqukkqu phqek hih am awhtaw im kqukkqu phqek hih ce bulnaak sainaak aham khyn hy nih.
2a021900e4	Cawh Jerusalem khawk khuiawh Simon ak mingnaak thlang pynoet ce awm hy, anih cetaw thlak dyng ingkaw Khawsa ak kqihchah thlang na awm hy. Anih ing Israel thlangkhqi ngaihding sakkung ce a na qeh nawh, Ciim Myihla ing awm pyi hy.
2a021a005c	Bawipa a Khrih ce a huh hlan dy am thi kawp ti, tinawh Ciim Myihla ing a na sim sak hawh hy.
2a021b00b2	Ciim Myihla a hqui sawinaak ak caming bawkim khuina ce cet hy. Anaa awi ing a ngoe amyihna naaca Jesu ak khan awh sai hly kawi sai sak aham a nu ingkaw a pa ing a ni law pyi awh,
2a021c0042	Simon ing lo nawh a kut awh ak pawm coengawh Khawsa ce kyihcah hy:
2a021d005a	“Boeimang Bawipa, nak awitaak amyihna, na tyihzawih ve ngaihqep na ceh sak hawh kawp ti.
2a021e0032	Ikawtih na hulnaak awi ce ka mik ing hu hawh nyng,
2a021f0035	thlang boeih a mik huh awh nang ing nang dang sak ce,
2a02200076	Gentelkhqi venawh vangnaak ak dang hly kawi ingkaw nak thlang Israelkhqi boeimangnaak hly kawi ce,” tinawh kqawn hy.
2a02210069	Naasen awh anih ing cemyihna awi ak kqawn ce a nu ingkaw a pa ing a ning zaak awh a ning ngaih na kyi hy.
2a022200ef	Cekcoengawh cekkhqi ce Simeon ing zoseennaak a peek coengawh a nu Meri a venawh: “Vawhkaw naasen ve Israel khqik khuiawh thlang khawzah ang tluuknaak ingkaw a thawhnaak na awm kaw, thlang ing amak nep na ak kqawnnaak aham hatnaak ingkaw,
2a02230085	thlang khawzah a lingbyi poeknaak ce ang dang thainaak hamna awm kaw. Na lingbyi awm zawzi ing sun law poelh hyn kawm uh,” tina hy.
2a022400ad	Cawh Asher pilnam ak khui awhkaw Phanuel a canu Anna ak mingnaak nu tawngha pynoet ce awm lawt hy. Anih cetaw nucawng hawh hy; a va ingqawi kum khqih doeng ni anik chungvaa,
2a02250093	cekcoengawh a kum kqeetkip hlaihphli dy nuhai na awm hy. Bawkim ce a cehtaak kaa qoe na buh zeih cykcahnaak ing khawthan khawdai Khawsa ce bawk hy.
2a022600ad	Cawh anih ce cekkhqi venna cet nawh, Khawsa venawh zeelnaak awi ak kqawn coengawh Jerusalem hulnaak ak ngaih-ukhqi boeih a venawh cawhkaw naasen akawng ce kqawn pek khqi hy.
2a02270095	Bawipa a anaa awi ing a kykkhqi boeih ce Joseph ingkaw Meri ing a ni sai boeih coengawh, Kalili qam awhkaw a nimah a khaw Nazareth na ce voei hy nih.
2a02280072	Naasen ce bau law hqui nawh ak tha awm law hy; cyihnaak ing be law nawh, Khawsa am qeennaak ce ak khan awh awm hy.
2a02290057	Loentaak poei pan aham Jerusalem na a nu ingkaw a pa taw kum qoek awh cet poepa hy nih.
2a022a0050	A kum hlaihih a law awh, a mi ceh khawi amyihna, cawhkaw poei ak pan na cet uhy.
2a022b006b	Poei ang poeng coeng khawna a ming voei awh naasen Jesu taw awm hyt saw a nu ingkaw a pa ing am sim hy nih.
2a022c009a	Thlang ak voeikhqi anglakawh awm lawt hy voei tinawh poek nih nawh, khawnghi hypoet a ni ceh coengawh, ami cakawkhqi ingkaw ami pyikhqi venawh sui hy nih.
2a022d004a	A mani huh law voel awhtaw, anih ak sui na Jerusalem na hlat tlaih hy nih.
2a022e00b3	Khaw thum voei a ni sui coengawh bawkim khuina hu hy nih, cawngpyikung khqing lak awh ngawi nawh a mingmih ak awih kqawnkhqi ce ngai nawh awikhqi a na doet khqi hui awh hu hy nih.
2a022f004d	Anih a simnaak ingkaw am hlatnaak awi ak zakhqi boeih ce amik kawpoek kyi hy.
2a023000a9	A nu ingkaw a pa ing a ni huh awh, a nik kawpoek kyi hy. A nu ing, “Ka capa, kawtih vemyihna nani sai hy? Na pa ingkaw kai ingtaw ly doena ni sui nih nyng,” tina hy.
2a02310063	Anih ing, “Ikaw hamna nani sui nih? Ka pa im awh awm kaw ti amna ni sim nawh nu?” tina qawi hy.
2a0232003f	Cehlai a ningnih a venawh ak kqawn peek awi ce am zasim hy nih.
2a02330096	A ningnih a hu awh Nazareth khaw na cet nawh anik awi ce ngaih pe qawi hy. Cehlai a nu ingtaw cawhkaw ik-oeihkhqi boeih ce ak kawlung khuiawh koem hy.
2a02340075	Jesu taw cyihnaak ing taai khqoet khqoet nawh, Khawsa ingkaw thlanghqing a mik cuuk kawtlaak na awm khqoet khqoet hy.
2a030100cf	Tiberius Kaisar a boeinaak kum hlainga a law awh (Pontius Pilat taw Judah qam ukkung boei na awm hy, a na Philip ce Iturea ingkaw Tracinitis qam ukkung na awm nawh, Lysinias taw Abilene qam ukkung na awm hy.
2a0302007e	Anna ingkaw Kaiapha khawsoeih boei khyt na a ni awm awh,) kqawng na ak awm Zekariah capa Johan a venawh Khawsak awi ce law hy.
2a03030069	Anih ing ce Jordan long keng qam boeih awh cet nawh thawlh qeennaak ham zutnaak baptisma awi ce kqawn hy.
2a03040094	Tawngha Isaiah ak awi cabu awh a na qee hyt myihna: “Ramkoh awhkaw ak khy awi ing, 'Bawipa a lam ce qoek a bah unawh, a lamkhqi ce qui sak lah uh,
2a03050088	Lawk-kqawngkhqi ce be kawm usaw, tlangkhqi ce neem sak kawm uh; Lam ak kawikhqi ce dyng kawm usaw, lam ak kawkkhqi ce qui sakna awm kaw.
2a0306004d	Cawhtaw thlang boeih ing Khawsa a hulnaak ce hu kawm uh' tinawh,” kqawn hy.
2a0307009d	A venawh baptisma huh aham ak law thlang kqeng a venawh, “Nangmih khqui a cadilkhqi! Ak law hly kawi kawsonaak ce cehtaak aham u ing a nik kqawn peek khqi?
2a030800c3	Zutnaak ing ak tingna thaih qah lah uh. Na mimah ingkaw na mimah, “Abraham cahlah ni,” koeh ti uh. Ka nik kqawn peek khqi, vawhkaw lungkhqi za Khawsa ing Abraham a cakhqi na dyih sak thai hy.
2a0309009e	Tuhkawng taw thing kung boeih awh hqaica toen na awm hawh hy, thing ikawmih awm ak thaih leek amak qah taw hlu unawh mai awh phum khawi uhy,” tinak khqi hy.
2a030a0049	Cawh thlang kqeng ing, “Cawhtaw ikaw ka mi sai kaw?” tinawh doet uhy.
2a030b0086	Johan ing, “Angki zunghih ak ta ing amak ta ce pe seitaw, awk-ai ak ta ing amak ta a venawh cemyihna sai lawt seh,” tinak khqi hy.
2a030c007d	Mangmu ak cawikungkhqi awm baptisma huh aham law lawt unawh a venawh, “Cawngpyikung ikaw ka mi sai kaw?” tinawh doet uhy.
2a030d0053	Cek khqi venawh, “A ngoe anglakawh ak doem na koeh cawi law uh,” tinak khqi hy.
2a030e00fe	Qalkap a vangkhqi ce law unawh a venawh, “Kaimih taw ikaw ka mi sai kaw?” tina uhy. A mingmih a venawh, “Amak thym na tangka koeh lo unawh, amak thym na thlang thawlh koeh puk uh; nami huh namik thaphu ing naming ngaih qep sak uh,” tinak khqi hy.
2a030f0053	Thlangkhqi ing amik kawlung na Johan ve Khrih hawh mai hy voei aw? tinawh poek uhy.
2a031000d0	Cehlai Johan ing cekkhqi boeih a venawh, “Kai ingtaw tui ing baptisma ni pek khqi nyng. Cehlai kai anglakawh ak bau khqoet thlang law hyn kaw, kai taw anih a khawmyk qui ak suh peek aham naza am kawih nyng.
2a031100a3	Cang zahnaak ce a kut awh pawm nawh cangtakkhqi ce tep ak khuina thlak aham zaap kaw, cehlai ang hi cetaw amak thi thai qoe maih khuina phum kaw,” tinak khqi hy.
2a03120053	Awih chang khawzah ing cekkhqi ce a yn coengawh awithang leek ce kqawn pek khqi hy.
2a03130087	Cehlai ram ukkung boei Herod ing ik-oeih che a saikhqi boeih ingkaw, a na a zu Herodi ce a zunaak a dawngawh, Johan ing ak kaanaak awh,
2a03140056	Herod ing ce mihkhqi boeih ce cun nawh: Johan ce am tu coengawh thawng khuina thla hy.
2a0315007c	Cawhce, vemyihna awm hy, thlangkhqi boeih baptisma a mi huh awh, Jesu awm hu lawt hy. Ak cykcah huiawh, khan ce awng qu nawh
2a0316009f	Ciim Myihla ce kqukkqu myihna ak khan awh cuuk hy. Khawk khan nakawng awi ing: Nang taw ka lungnaak ka Capa ni; nak khan awh zeel soeih soeih nyng,” tina hy.
2a03170097	Jesu ing bibinaak ak kqawn awh a kum sawmthum tluk law hawh hy. Thlanghqing ak poeknaak awhtaw anih ce Joseph a capa na awm hy, Joseph taw Heli a capa,
2a0318007b	Heli taw Matthat a capa, Matthat taw Levi a capa, Levi taw Melki a capa, Melki taw Jannai a capa, Jannai taw Joseph a capa,
2a03190083	Joseph taw Mattathias a capa, Mattathias taw Amos a capa, Amos taw Nahum a capa, Nahum taw taw Esli a capa, Esli taw Naggai a capa,
2a031a0085	Naggai taw Maath a capa, Maath taw Mattathias a capa, Mattathias taw Semein a capa, Semein taw Joseeh a capa, Joseeh taw Joda a capa,
2a031b0089	Joda taw Joanan a capa, Joanan taw Rhesa a capa, Rhesa taw Zerubbabel a capa, Zerubbabel taw Shealtiel a capa, Shealtiel taw Neri a capa,
2a031c0075	Neri taw Melki a capa, Melki taw Addi a capa, Addi taw Kosam a capa, Kosam taw Elmadam a capa, Elmadam taw Er a capa,
2a031d007b	Er taw Josua a capa, Josua taw Eliezer a capa, Eliezer taw Jorim a capa, Jorim taw Maathat a capa, Matthat taw Levi a capa,
2a031e007c	Levi taw Simeon a capa, Simeon taw Judah a capa, Judah taw Joseph a capa, Joseph taw Jonam a capa, Jonam taw Eliakim a capa,
2a031f0081	Eliakim taw Melea a capa, Melea taw Menna a capa, Menna taw Mattatha a capa, Mattatha taw Nathan a capa, Nathan taw David a capa,
2a03200077	David taw Jesse a capa, Jesse taw Obed a capa, Obed taw Boaz a capa, Boaz taw Salmon a capa, Salmon taw Nahshon a capa.
2a0321007f	Nahshon taw Amminadab a capa, Amminadab taw Qam a capa, Qam taw Hezqon a capa, Hezqon taw Perez a capa, Perez taw Judah a capa,
2a0322007b	Judah taw Jakob a capa, Jakob taw Isaak a capa, Isaak taw Abraham a capa, Abraham taw Terah a capa, Terah taw Nahor a capa,
2a03230070	Nahor taw Serug a capa, Serug taw Reu a capa, Reu taw Peleg a capa, Peleg taw Eber capa, Eber taw Shelah a capa,
2a0324007d	Shelah taw Kainan a capa, Kainan taw Arphaxad a capa, Arphaxad taw Shem a capa, Shem taw Noah a capa, Noah taw Lamech a capa,
2a0325008e	Lamech taw taw Methuselah a capa, Methuselah taw Enoch a capa, Enoch taw Jared a capa, Jared taw Mahalalel a capa, Mahalalel taw Kenan a capa,
2a03260064	Kenan taw Enosh a capa, Enosh taw Seth a capa, Seth taw Adam a capa, Adam taw Khawsa capa na awm hy.
2a04010073	Jesu taw Ciim Myihla ing be doena, Jordan awhkawng hlat law nawh sykzoeknaak huh aham Myihla ing qamkoh na hqui hy,
2a04020093	Ce a hun awh khawnghi phlikip khuiawh qaai ing sykzoek hy. Ce a khawnghi khuiawh ikaw ca awm am ai hy, cedawngawh a hukhit na taw ak phoen cawi hy.
2a04030069	Qaai ing a venawh, “Khawsa Capa na na awm awhtaw, vawhkaw lung ve phaihpi na coeng sak lah,” tina hy.
2a0404005a	Jesu ing, “Thlang ve phaihpi doeng ing ak hqing am ni, tinawh qee na awm hy,” tina hy.
2a04050052	Qaai ing hun a sangnaak na ceh pyi nawh khawmdek awhkaw qam boeih boeih ce huh hy.
2a040600bd	Cekcoengawh a venawh, “Vawhkaw saithainaak ingkaw boeimangnaak boeih boeih ve ni pe vang nyng, vekkhqi boeih ve ka venawh peekna ak awm ni, kai ing ka ngaih ak thlang venawh pe thai nyng.
2a04070042	Kai ve ni beek nawh, a cu boeih ve nang aham seh nyng,” tina hy.
2a0408006f	Jesu ing, “Bawipa na Khawsa doeng ce beek nawh anih a bi doeng ce bi lah, tinawh qeena ak awm ni,” tina hy.
2a04090083	Qaai ing Jerusalem na ceh pyi nawh bawkim iptih a sangnaak awh dyih sak hy. “Khawsa Capa na na awm awhtaw vawhkawng nuk cawn lah.
2a040a0062	Kawtih ve myihna qeena a awm myihna: “Nang anik khoem ham ak khan ceityihkhqi ce awi pe kawmsaw;
2a040b0062	a mingmih ing nang ce ami kut ing ni dawm kawm uh, lung awh am nak khoeng qunaak aham,” tina hy.
2a040c0055	Jesu ing, “Bawipa na Khawsa ce koeh noek koeh dak,” tinawh ak awm ni,” tina hy.
2a040d003f	Qaai ing a sykzoek coengawh, a tym leek a awm hlan dy cehta hy.
2a040e006e	Jesu taw Myihla thaawmnaak ing Kalili na hlat hy, cawh anih ak awithang ce ce a qam ak khuiawh thang boeih hy.
2a040f003f	Sinakawk kqang cawngpyi poe nawh, thlang boeih ing kyihcah uhy.
2a04100080	A baunaak khaw Nazareth ce pha nawh, Sabbath nyn awh a ceh khawi amyihna sinakawk na ce cet nawh, cawh cauk noet a hamna dyi hy.
2a04110046	Tawngha Isaiah ak cazawl ce pe uhy. Hlam nawh vemyihna a qee ce hu hy:
2a041200fd	”Khawsa ang Myihla taw kak khan awh awm nawh, khawdengkhqi venawh awithang leek kqawn aham kai ve ni caksak hawh hy. Thawng ak tlakhqi venawh loetnaak awi ingkaw mikhypkhqi venawh mik dainaak awi khypyi aham, phep qeena ak awmkhqi loet sak ham ingkaw,
2a0413003c	Bawi awmhly kum awi kqawn aham kai ve ni tyi hy,” a ti ce.
2a041400a4	Cekcoengawh cazawl ce zawl tlaih nawh cawhkaw bibikung a venawh a peek coengawh ngawi hy. Sinakawk khuiawh amik awm thlangkhqi boeih a mik ce anih awh cun boeih hy,
2a04150068	cawh a mingmih a venawh, “Tuhngawi nangmih ang zaak awh ve cabu awi ve soep hawh hy,” tinak khqi hy.
2a04160080	Am kha awhkawng ak cawn law am qeennaak awi awh thlang boeih ing anih ce kyihcah uhy. “Anih ce Joseph a capa am nu ve? ti uhy.
2a041700ea	Jesu ing a mingmih a venawh, “Vawhkaw Awicyih awi ve kqawn hlai hy voei uk ti: 'Siboei, namah ingkaw namah qoei qu sak lah! Kaperanuam khaw awh na sai ka ming zaak ce namah a khaw vawh awm sai lawt lah,' a mi tice,” tinak khqi hy.
2a0418004f	Awitak ka nik kqawn peek khqi, tawngha a u awm amah a khaw awh am do khawi uhy.
2a04190091	Elijah chan awh Israel ram khuiawh nuhai khawzah awm hy, kum thum coengawh hla quk khui khan chawmkeng khaih na a awm awh ram pum awh khaw se hy.
2a041a0081	Cehlai Sidon ram khuiawh ak awm Zarephath khaw awhkaw nuhai a ven doeng awh am awhtaw Elijah ce u a venawh awm tyih na am awm hy.
2a041b0099	Tawngha Elisha chan awh Israel ram khuiawh mynqai ak neh thlang khawzah awm hlai hy, Siria phyn Naman doeng am awhtaw u awm am qoei hy,” tinak khqi hy.
2a041c0052	Sinakawk khuiawh ak awm boeihkhqi ing ce ak awi ce a ming zaak awh amik kaw so hy.
2a041d0092	Dyi unawh, khawk khuiawh kawng anih ce khawceng na ceh pyi unawh, hqeng na buk hoek aham qyt uhy, cawhkaw khaw taw minpoeng ak chei ca awh awm hy.
2a041e0040	Cehlai thlang kqeng anglakawhkawng kit qu pluk nawh cen valh hy.
2a041f005a	Cekcoengawh Kalili qam Kaperanuam khaw na nu cet nawh, Sabbath nyn awh thlang cawngpyi hy.
2a0420005b	Ak awih kqawnnaak awh saithainaak a awm a dawngawh, a cawngpyinaak awh amik kawpoek kyi hy.
2a04210052	Sinakawk khuiawh qaaiche ak ta thlang pynoet awm hy. Anih ing khawteh na khy nawh,
2a042200a2	“A! Nazareth Jesu, kaimih ingqawi ikaw ning laknaak a awm? Anik hqe khqi hamna nak law nanawh nu? Nang ve Khawsa ak thlang ciim ni tice ni sim nyng,” tina hy.
2a042300ca	Jesu ing, “Awm poek! Anih ak khuiawh kawng cawn hlah,” tinawh zyi hy. Cawh qaai ing a mingmih a haiawh dek na ang tluuk sak coengawh ikaw awm myn a maa a peek kaana anih a pum khui awhkawng cawn hy.
2a0424009a	Thlang boeih amik kawpoek kyi nawh, “Kawmih cawngpyinaak hy voei aw? Saithainaak thaawmnaak ing qaih chekhqi awi pe nawh ak cawn sak hy voei!” ti uhy.
2a0425003b	Anih ak awithang ce a kengsam qam kqang thang khawnghak hy.
2a04260092	Jesu ing sinakawk ce a cehtaak coengawh, Simon a im na ce cet hy. Cawh Simon a senu ce a sa tlo nawh, cedawngawh Jesu a venna qeennaak thoeh pehy.
2a04270085	Cawh a kengawh dyi nawh satlawhnaak ce zyi hy, cawh a satlawh ce qoei tlang hy. Cawhkaw nu ce tho nawh a mingmih ce do a dan khqi hy.
2a0428009a	Khaw a my law awhtaw, tlawh a nat soepkep ak takhqi ce Jesu a venna law pyi usaw, a mingmih ak khan awh a kut tloeng pe nawh, cekkhqi ce qoei sak khqi hy.
2a042900a9	Qaaikhqi ce thlang ak kawk khui awhkawng cawn unawh, “Nang ve Khawsa Capa ni!” tinawh khy uhy. Cekkhqi ce zyi khqi saw, Khrih ni tice a mi sim a dawngawh am pau uhy.
2a042a00a1	Khaw a dai law awhtaw, a dingsyknaak hun cet pan hy. Thlangkhqi ing anih ce sui uawnh, a mi huh awhtaw a mingmih a ven awhkawng ama ceh naak aham tu ham cai uhy.
2a042b0094	Cehlai a mingmih a venawh, “Khawsa awithang leek ve khawk chang kqang awm kak kqawn aham awm hy, ve aham nani tyih na ka awm hy,” tinak khqi hy.
2a042c0042	Cedawngawh Judah awh awm nawh Sinakawk awh awithang leek kqawn hy.
2a05010079	Hypoet taw Bawipa Jesu ce thlang kqeng mi Genesaret tuili keng awh dyi hy, cawh thlang kqeng ing Khawsak awi ce ngai uhy,
2a0502006a	tui keng awh ngak hawikhqi ing a mi taak hyt lawng pakkhih ce hu hy, ngak hawikhqi taw a mi lawk chuk uhy.
2a050300c3	Lawng pynoet ak khuiawh ce lut hy, cawhkaw lawng cetaw Simon a lawng na awm hy. Lawng ce tui benna tun bet aham Simon ce kqawn pehy. Cekcoengawh lawng awh ce ngawi nawh thlangkhqi ce cawngpyi hy.
2a05040067	Awi ak kqawn boeih coengawh, Simon venawh, “Tuili dung na thoeih nawh lawk ce khawng lah,” tina hy.
2a05050084	Simon ing, “Bawipa than oet pyt khawng hawh hlai u nyng ikawawm am hu u nyng. Cehlai nak awi awh khawng lah vang nyng,” tina hy.
2a05060049	Lawk ce amik khawng awhtaw, nga khawzah tu unawh lawk ce teek pit pit hy.
2a0507009b	Cedawngawh lawng ak chang nakaw a mi pyikhqi ce ak bawm aham a mi kut ing vaih uhy, cekkhqi ce law unawh lawng ang cum pit pit dyna nga ce ak be na tu uhy.
2a0508007f	Simon Piter ing a huh awh, Jesu a khawkung awh khuk sym doena, “Bawipa, ni cehtaak mai, thlak thawlh na awm nyng,” tina hy.
2a05090040	Nga a mim tu awh Piter ingkaw a pyikhqi ce a mik kawpoek kyi hy,
2a050a00bb	Simon a pyi, Zebedee a caqawi Jakob ingkaw Johan awm anik kawpoek kyi hy. Cekcoengawh Jesu ing Simon a venawh, “Koeh kqih; tuh awhkawng thlang ak tukung na awm hawh kawp ti,” tina hy.
2a050b0058	Lawng ce kawngceng na amik dawh coengawh, ik-oeih boeih ce cehta unawh a hu awh bat uhy.
2a050c00b4	Khaw pynoet awh a awm awh, mynqai ak neh thlang pynoet ce law hy. Jesu ce a huh awh, dek na koep nawh qeennaak thoeh hy, “Bawipa, na ngaih awhtaw ni ciimcaih sak lah,” tina hy.
2a050d0066	Jesu ing a kut zyng nawh bi hy. “Ngaih nyng, qoei hlah!” tina hy. Cawh a mynqai ce caih pahoei hy.
2a050e00d8	Jesu ing a venawh, “U a venawh awm koeh kqawn, cet nawh khawsoeih a venna na pum ce nam huh coengawh, na qoeinaak a dawngawh Mosi ak awipeek a myihna, a mingmih ing a mi simnaak aham bulnaak ce sai lah,” tina hy.
