2800000007	Maatosa
2c1c0600e6	Asaykka “Aydepe ayde iza asatethay kixxanesha, woykko qoopontta kundidi hayqqana” giidi naggides; Gido attin istti daroo wode naggishin iza bolla aykkoyne hanonttayssa beeyidi ba qoofa lammidi “hayssi addezi Xoossa” gides.
2c1c0700a8	He nu dizaso matan abba gidoon diza dereyo ayssiza Puppulyyosa geetettizadees gadey des; he addezi nuna mookki ekkidi besoon hedzdzu gallas gakkanaas loo7ethi imatides.
2c1c080099	Heeni Puppulyyosa aawa michchayinne guso harrigey sakkin zinniidi des; Phawulossay izakko gellidi izas wossidesinne iza bolla kushe woththidi paththides.
2c1c090050	Hessi hessaththo hanidape guye he dereyin diza hara harriganchati yiidi paxxida.
2c1c0a0085	Asaykka nus daroo mishshe ehidi nuna bonchizayssa nuna bessida; nu markkaben baana denddin nus koshshizayssa markkaben wursi caandda.
2c1c0b00ed	Nu maltan hedzdzu aggina gammidape guye ballggoy adhdhana gakkanaas abba gidoon diza dereyin gammiidi Iskindiryappe yiza markkaben gellidi baana denddidos; He markkabeza bolla Diyossiqqorossa geetettiza nam77u mentte eqqata mislley dees.
2c1c0c0047	Gede Sirakkose geetettiza kaatama gakkidi heen hedzdzu gallas gammidos.
2c1c0d00b0	Heepe abba bollara biidi Regiyome geetettiza kaatama gakkidos; Heen issi gallas aqidi duge baggara yiza carkkoy carkkida gish nam77anththo gallas Putiyolusa geetettizaso bidos.
2c1c0e006e	Heen ammanizayta demmidi isttara nu lappun gallas gakkanaas uttana mala nuna wossida. Heeppe qasse Rome bidos.
2c1c0f00c3	Romen diza ammaniza asay nu gish siyidi Ahaaththaiyossa geetettiza giyane “hedzdzu aqoso” geetettizaso gakkanaas nuna mookkana yida; phawulossaykka ista beeydi Xoossu galatidesinne minetides.
2c1c10007d	Nuni Rome gelida wode Phawulossa naganas issi wotadaray izas immettin Phawulossay berkka daana mala izas fiiqadey immettides.
2c1c11011c	Hedzdzu gaallassafe guye Phawulossay Romen diza Ayhudatape gita asata beekko xeeyigisides; isttikka izakko shiiqin hizzgides “Ta ishato! tani isiraele dere bollane nu aawata woga bolla ooththida issi qohooykka deena; Gido attin yerussalamen tana qachchidi Rome asatas aththi immida.
2c1c120071	Rome asati tana qori oychchidappe guye tana hayqos gaththiza mishshe demmontta aggida gish birshi yeedana koyida.
2c1c1300b8	Shin Ayhude asay ta issi wothoy bayindda yeedetontta mala eqqettin ta yooy Qeessare sinthth shiiqidi beetto gaanas tas gidde giddies. Gido attin tani ta dereta mootiza gasoy tas deena.
2c1c1400a3	Ta qass ha7i intena xeeygisiday intena beeyanasine haanno intes yootanaskko. Hayssa sanssalatan ta qachchetiday isiraele naytas immettida uhaaththaayssa gasoonkko.
2c1c150099	Isttikka izas hizzgi zaarida “Ne gish Yuhuda derepe xaahaaththaettida debidabey nuna gakkibeyina. Ha yida asatape oonikka ne gish iita hasa7iday baawa.
2c1c160087	Hayssa ne kaalliza ammanoza gish awankka asay iitta hasa7izaysa nu erros. Hessa gish ne qoohaaththaay azakkone nu siyana koyos” gida.
2c1c17010a	Bare izas immidi hara gallas kushe kumidi izi diza keeth yida. Izikka maladoppe omarss gakkanaas Xoossa kawootetha gish markkatethan ba qohaaththaa isttas qonccisides. Musse wogappene nabeta maaxxahaaththaatape xaqqasi xaqqasi Yesussa gish isttas gellththi yootides.
2c1c18004f	Isttafe issi issi asati izi yootida qaala ammanida; Bagayti qass ammanibeytena.
2c1c1900bb	Isttikka ba garssan issay issara qohaaththaan gaggontta shakketida; Phawulossay wurssethan yootishe hizzgides “xiillo ayanay nabe isyyasa baggara kasse inte aawatas yootidayssi tumakko.
2c1c1a0092	Izi yootida qaalay hizzges (Hayssa deerakko baada inte sissi siyana shin yushshi qoppekista, ayfera beeyana shin wozinan woththekista gaada yoota.
2c1c1b00e4	Gasooykka he asata wozinay mumides, istta hayththeykka tuullides; istta ayfey qoqides. Hessaththo hanonttakko istti ba ayfera beeydi ba heyththera siyidi ba wozinan yushshi qoppidi taakko ha simmanane takka istta paththanashin.)
2c1c1c007a	Histtikko Xoosi asi ashshiza kittay ayhuda gidoontta deretaskka kitteetdayssa inte errit; Isttikka erro giidi ekkettes.”
2c1c1d0057	Phawulossay hessa yootidappe guye Ayhuda asati ba garssan daroo pallametishe kezi bida.
2c1c1e0065	Phawulossay kiratida keeththan nam77u laythth kumethth de7ides; Beekko yiza asa wursii mokki ekkides.
2c1c1f006b	Xoossa kawooteth sabbakkon Goda Yesuss Kiristtossa gish oonikka iza diggontta xalatethara asa taamarisides.
2d00000005	Roome
2d0101007e	Yesus Kiristoosa ayllene haware gidanasi xeygettida mishiracho qaala yootanaas kiitettida taape Phawulossape kiitettida kiita.
2d01020055	He mishshiracho qaala gishshi kase nabeta baggara geesha maxaafatan ufaysi immetides.
2d01030069	Mishshiracho qaalaykka ba naza gishshi izi asho baggara Dawite zereththafe gididayssa yootiza gishshikko.
2d01040080	Hessaththoka nu Goda Yesusi kirstoosay ba Geeshatetha ayanan hayqope denddidaysi izi Xoossa na gididayssi gita wolqan qonccides.
2d01050085	Kirirstoosa sunththa gishshi ammanontta derey ammanana malane azazistana mala iza baggara nuni hawaratethas gathiza kiyateth ekkidos.
2d0106003e	Inteka Yesus Kirisitoosayta gidana mala xeygetidaytara deista.
2d010700a2	Xoossan dosetidaytanne geeshata gidanaas xeygetida Orome biittan diza intes wurisos nu Aawa Xoossafene nu Goda Yesus kirstoosape kiyatethine sarotethi intes gido.
2d01080070	Inte ammanoy alame kumethan siyettida gishshine inte gishshi ta Godaa Xoossa, Yesus Kiristoosa baggara galatays.
2d01090076	Ta inte gishshi wuriso wode ay mala qopizakone Xoossa na mishshiracho sabakoni ta izas oothiza ta Xoossi taasi marika.
2d010a008f	Tani ta woosan wuriso wode intena qopoysa. Ha7i qasse wurisethan Xoossa shene gidiko ta inteko baana mala Xoossi taas oge doyana mala woossays.
2d010b005f	Inte minnana mala maadiza ayana imotethi ta intes shakanassine intena ayfera beyanas laamotays.
2d010c0035	Heskka intenine tan issay issa amnanon ministanaskko.
2d010d00b6	Ta ishato harason ammanontayta matan taas hanida mala inte matanika taas ooso ayfey beettana mala daro wode qopadisi shin haanno gakanaas ta digistada dizaysa inte erana mala koyays.
2d010e005c	Tamaridaytas gidin tamarontayskka, eratasine eeyatas wurisos ta bolla tamarssana accoy dees.
2d010f0050	Intes Oromen dizaysatasika ta mishshiracho qaala yootanas ta amotizay hessaskko.
2d01100090	Aammanizayti wuri attana mala Xoossa woliqa gidida gishshi ta mishshiracho qaalan yeelattike; Hesika koyro ayhudatas kallidi hanko dere asaskko.
2d011100ab	“Xilloy Xoossa ammanon deyees” geetetidi kase xaafetida mala Xoossa xiilloteth mishshiracho qaalan qonccina; He xiillotethay koyrope wurisetha gakanaas ammanon hanana.
2d01120084	Tuma, ba iittatethaninne makali7an tucii oykizayta iittatetha bollan istta makall7atetha wuriso bolla Xoossa hanqoy sallope qoncana.
2d0113005a	Istti eranas bessizazi Xooss wursi isttas qoncisida gishshi Istti Xoossu eranaas qoncceko.
2d011400cd	Alamey medhettosope haa simmini asa ayfen beetti erontta Xoossa hanotethi hesika izas diza medhina woliqayne Xoossatethay izi medhida medhetethan qonicen bettees. Hessa gishshi asay shiishana gaasoy deena.
2d011500b2	Istti Xoossu erikoka iza, iza Xoossatetha mala bonchibeytenane galatibeyttena. Gido attin istta qofay mela go7ay baynidazi gididesine yuushi qopontta mala istta wozinay dhumides.
2d0116002f	Istti bena era gizayta gidikkoka eeyata gidida.
2d01170078	Medhina Xoossa boncho hayqqiza asanine kafotan, mehistanine biitta bolla goochettiza medhetethatan milatissidi laammida.
2d01180090	Hessa gishshi Xoossi istta ba garssan issay issara berkka ba asatethan tuna ootho oothana mala geeshshatethi bayndda laymmatethas aathi immides.
2d011900a0	Istti Xoossa tumateth wordon laammida; medhdhida Xoossa olla medhdhetethas goynnidanne isttas oothida. Medhdhida Xoossi izi medhdhinas galatettidayssa; amin77i.
2d011a0088	Hessa geedon Xoossi istta yelachiza amotethas aathi immides. Istti macasati benara zin7anas besontaytara zin7ana mala bena aathi immida.
2d011b00f8	Hessaththoka attuma asay bees bessiza macasatara zin7anaas bessishin addey addera zin7anaas amon xuugetidi macasatara zin7iza mala addery addera zin7idi pala miishshi oothida. Heytanti berka ba oothida iitta oothozas bessiza qixaate ba bolla ehida.
2d011c0093	Qasseka istti ba qofara Xoossu eroy nuna maaddena gida gishshi istti oothanaas besonttayssa oothana mala Xoossi istta go7ontta qofas aathi immides.
2d011d00aa	Wuriso baggara makali7ane iittateth, yiiqene iitta oothon xalala kumida; qanatetethan, shemmipo wodhon, ooshshan, balethoninne genen kumidayta qasseka zigirizayta gidida.
2d011e00a2	Asa sunthu moorizayta, Xoossu ixxizayta, ase cayzata, otoronchatanne ceeqettizayta gidida, wuriso wode iitta oothanas oge koyzayta, bena yelidaytas azazetontayta,
2d011f0058	Yuushshi qopontayata, gida qaala zaari lallizayata, asas michchetontayta menxxe iittata.
2d01200096	Hessa oothizayti wurikka hayqqanaas besses giza Xoossa woga istti erishe heytantta bees ootho xalala gidontta hessathoka oothizaytakka minithetheetes.
2d020100eb	Hessa gishshi neno hara bolla piridizayso neni ta hanni geedon oothadisi gaada gaasoy neesi deena. Ne hara ura bolla piiridizayssan nerika nees kunane ekkaasa. Gaasoykka hara ura bolla ne piridizaysa neka zaarada iza oothiza gishaskko.
2d0202004a	Hayta malata oothiza asata bolla Xoossa piriday liike gididayssa nu erossi
2d02030082	Hesa gishshi ne asa bolla piridashe he ne piiridizasa zaara oothizade gidiko ne Xoossa piiridafe kessa eka attana nees millatizee?
2d02040086	woykko Xoossa kiiyatethi nena marotethako kallithizaysa shaaka erontta dashe iza gita kiiyatethane iza danida7a duretetha ne liiqazii?
2d0205009f	Gido attin neni ne wozina mumetethanine marotethi koyontta ne wozina geedon tuma Xoossa piiriday qoniciza wode Xoossa hanqo gallasa ne daro hanqqo shiishshasa.
2d0206002a	Xoossi isi isi uras iza ootho mala immana.
2d02070056	Lo7o ootho aggontta oothidi boncho sabane medhina dusi koyzaytas miidhina deyo immana.
2d02080062	Gido attin berika bena dosizaytasine tuma agagidi iitta kallizayta bolla piiridayne hanqoy gakana.
2d02090069	Itita oothiza ay asa bolla koyro Ayhude asa bolla kaallid hanko hara dere asa bolla wayeyne metoy gakana.
2d020a0069	Gidikkoka lo7o oothizades oonasika Ayhuda asas gidin hankko dere asas sabay, sarotethinne bonchoy gidana.
2d020b001e	Xoossi oonaka shaakk maaddena.
2d020c008c	Kase wogay eqontta wode nagara oothida asay wurikka wogay bayinida dhayana. Wogay eqi simmini nagara oothidayti wogan oyketidi piiridistana.
2d020d006b	Aysi gikko Xoossa achan xiillo geetettizayti eqida wogaas azazetizaytape attin woga sisi siyzayta gidetena.
2d020e00af	Wogay baynida dere asati wogay yootizaysa coo mela hanotethafe eridi oothishin isttas wogay baynida agikokka isttas medhetetha wogay diza gishshi istti ba oothanayssa ereetes.
2d020f009c	Istta wozinay isttas marikatiza gishine istta qofay istta mootiza gishshi qasseka istta maaddiza gishshi wogay yootizay istta wozinan xaafetidayssa ereetes.
2d02100080	Hesikka ta mishshiracho qaalan tamarssiza mala Xoossi asa wizinan qotetidayssa Kirisitoosa baggara piiridiza gallasan qoniccana.
2d02110058	Ne nena Ayhuda asi gikko wogan ammanetasane neesi Xoossara diza issipetethan ceeqetaasa.
2d0212004e	Woga kaalliza gishshi Xoossa shene erada kumethi gidizazi shaakka erida gidiko
2d0213004d	Ne qoqista kallethizade dhuman dizaytas poo7o gididaysa ne amanetidade gidiko
2d02140069	Wogape ne demida eratethaninne tumatethan hankko eronitayta zorizade, guutha nayitta tamarisizade gidikko
2d02150072	Histiko neni harata tamariso agada ne hu7es aazas tamarikii? Ne hara ura kaysottopa ga sabakashe neesi kaysotazii?
2d0216006f	Ne hara asay laymatontta mala yootashe nees laymaytazii? Nees Eeqa ixxasashin Xoossa keeththa miisha bonqqazii?
2d0217004e	Neesi wogan ceeqetasa shin woga ne baggara oothontta aggada Xoossa kawushizii?
2d02180066	Hesikka “Inte geedon Xoossa sunthi hanko dere asa achan cayetesi” geetetti xaafetida mala hanides.
2d0219006d	Ne woga naaga pollizade gidiko qaxaras goo7ay dees. Ne wogaa oothonttade gidiko qasse ne qaxaray coo melakko.
2d021a0047	Qaxaretontta dishe wogaa gizaysa polliko qaxaretidadera gina qodetenee?
2d021b007f	Nees xaafeti wogayne qaxaray nees diikko diza woga ne nagonttade gidikko hanko qaxaretontta wogas azazetiday ne bolla piridana.
2d021c0095	Issade coo mela sunthas asa ayfen ta Ayhuda asi gidana gikko izi Ayhuda asi gidena. Tumape qaxeretethi coo karera asho ayfeni bettiza qaxxara gidena.
2d021d00f7	Gidikkokka issi uray Ayuda asa gidanaas danda7izay izas gaatha baggara Ayude asa gidishinkko. Qaxarayka qaxara gidizay xaafetida wogaa xalala gidontta ayanan wozinape gidida qaxxara gidikokka hessa mala assi galata asape gidontta Xoossafe demmees.
2d03010042	Histinko Ayude asa gidethasi aaza go7ay dizee? Qaxaray ay go7izee?
2d03020050	Awaraka gidin go7ay daro. Harape koyro Xoossa qaalay hadara Ayudatasi immetides.
2d0303004a	Isttafe issi issi uras ammanoy baynida aggiko Xoossa ammanotethi diigizee?
2d030400ab	Mulekka diggena! Asi wurikka woridancha “Neni ne qaalape denidayssan tumanicha; Piridanika xonizade gidaasa” hessaththo geeteti xaafettida mala Xoossi qasse tumanicha.
2d030500d2	Nu makali7a oothoy Xoossa xiillotethi qonccen besiizayssa gidikko hisitini nu ay ganee? Coo asa woga mala palamistanas Xoossi ba hanqqo nu bolla ehizaysi nuusu bessena ganeyee? Hesaka ta giizay asatho qofankko.
2d03060057	Tumape hessaththo hanena. Hesatho haniza gidiko Xoossi alame bolla wostti piiridanidee?
2d030700c1	Ta woridotethi Xoossa tumatethi qonccisizayssan iza bonicho gede gujiizassa gidikko hisitin ha7i gakanas wostti ta bolla nagarancha mala piiridetize?” giidi pallamistana assi daana danda7ees.
2d030800a3	Hessa gussi “Lo7oy yaana mala ane iitta oothosu” geetesi gidi issi issi asati nu bolla woresizayssa malakko. Hayta asata bolla gakkiza piiriday tumu piiridako.
2d030900bf	Histinni nu aazi ginoo? Nuni isttafe adhizonii? Mulekka adhoko. Ayhudata gidikkoka hanikko dere asa gidikokka wurikka nagarape garisa baggara diza gish ta wursikka kassistada isttas yootadis.
2d030a002c	“Xiilloy oonikka deena issi uraykka deena.
2d030b0035	Yuushi qopiizadey bawa; Xoossu koyzay issadeyka bawa.
2d030c0063	Wurikka balletidane issi bolla go7onttayta gidida. Loo7o oothizay oonikka bawa; issadeykka deena”
2d030d006f	Istta duunay doya diza duufo mala istta duunay wuriso wode hasa7ees. Istta meterishay shoosha marzzera dees.”
2d030e0032	“Istta duunan qanigethin cammo miish kumides.”
2d030f0028	“Istta tooy suuthu gussanasi eesotees.
2d03100031	Istta ogen dhayosoyne mulera dipp gi dhayoy dees.
2d0311001f	Istti Sarotetha oge eri eretena
2d03120041	Istta ayfesonni Xoossas baboy bawa” geeteti xaafettida malakko.
2d03130099	Hessa gishshi duunay wurikka goridistana mala derey kumetha Xoossas mallithe immana mala wogay gizay wurikka wogape garsara dizaytas gididaysa nu eroosu.
2d03140071	Hessa gishshi wogay nagaray aazakone erisees attiin wogaa nagon oonikka iza achani xiillo geetistanas danida7ena.
2d03150062	Ha7i qasse wogaa kasse nabeti izas marikatidaysi wogape karera gidida Xoossa xiilloteth qonicides.
2d0316005c	Hessi Xoossa xiillotethi Yesus Kirisitoosa amanon dummatethi bayndda bettiza xiillotethikko.
2d0317004c	Gaasoykka asi wurikka nagara oothides. Xoossa bonichoykka asa naas paciides.
2d0318005d	Asay Yesus Kirisitoosay, asa na gishshi oothida kiyatethafe denididayssan coo mela xiillides.
2d031900bb	Iza suuthan gidida ammanon naagarape maristana yarsho histtid Xoossi Yesusa shishides. Izi hessa oothiday kassetidi polletida nagara qaxayonta danida7a adhida ba xiillotethi bessaanaskko.
2d031a0082	Izi hessa ha wodezan oothiday ba xiillotetha heskka ba baggara xiillo gidi Yesus Kirisitoosan ammanizade xiilisizaysa bessanaskko.
2d031b0098	Histinni nuni izan ceeqettiza miishshi aazi dizee? aykko miishshankka ceeqetokko. Nu ceeqistana gaasoy aazee? woga naagiza gishshee? gidenna ammanonkko.
2d031c0043	Ay asikka ammanon attin woga naagon atonttaysa nu geeshshi yoottos.
2d031d0065	Xoossi Ayhudata Xoossu xalalaa? Haniko dere asaskka Xoossu gidenee? Ee hanko dere asaskka izi Xoossa.
2d031e0066	Qaxaretidayssa ammanon qasse qaxaretonitaysakka he ammanonikka xiillisizayka izi isi Xoossa xalalakko.
2d031f0078	Histin hessi hessa gidikko ammano geedon woga go7ay bayndazi oothinoo? Muleka hessaththo hanena. woga nu minthana attin.
2d0401003b	Hessa gish kasse nu Abiramey hayssafe ay go7a demide ginoo?
2d04020069	Abiramey ba oothon xiilidako izi ceeqistanayssi deesiko shin; izi Xoossa siinithan ceeqetenas danida7ena.
2d04030063	Geeshsha Maxaafay “Abiramey Xoossu ammanidesine iza ammanoy izas xiillotethan qoodetides” gees.
2d0404006b	Issi uray ootho oothiko izi ekiza miishay izas coo kiyatethi immetizayssa gidontta izades ootho waga gides.
2d04050078	Gido attin ootho oothontta nagarancha ura xiillo kessiza Xoossan ammanizaades iza ammanoy izas xiillotethen taybetteyes.
2d04060052	Dawiteykka xiillotethi izas qoodettizay loo7o oothon gidontta asa gishshi hiziges,
2d04070055	Isttas istta bolla oothoy atto geetetidaytine istta nagaray maretidayt anijjetidayta.
2d04080036	Iza nagara Goday muleka qoodontadey izi anijjtidade”
2d04090089	Ha anijjozi qaxarretidaytas xalalayee? woykko qaxaretontaytasaraa? kase koyro nu Aawa Abirame ammanoy izas xiillotethan paydetides gidos.
2d040a0094	Histin wani izas hessaththo paydetide? Izi qaxaretidape guye? woykko qaxaristanape kassee? Izas xiillotethan paydetiday izi qaxaristanape sinithana.
2d040b00c2	Izi kasse qaxaristanape kasse demmida xiillotethay qaxarisi malata gidida heskka xiillotethas matame ekides. Hessa gish qaxaretontta ammanizaytas xiillotethi paydistana mala wurisotasi izi Aawa.
2d040c0094	Izi qaxaretidaytaskka Aawa qaxaretidaytas xalala gidontta nu Aawa Abiramey kasse qaxaristanape sinithe izas diza ammano geedo kallizaytas wurisossa.
2d040d0084	Izi alame latizade gidana mala Abirimeynne iza zereththati ufaysa qaala ekiday waga baggara gidontta ammanon gidida xiillotethankko.
2d040e0056	Woga nagizayti lattizayta gidiko ammanos go7ay deenna; ufaysikka coo mela gidana shin.
2d040f003f	Wogay hanqqo kalethes. wogay baynidason wogappe adhethi deenna.
2d04100112	Hessa gishshi ufaysi ammanon yides. Hessikka iza ufaysay iza kiiyatethan gidanadanine Abirame zerethasi wurisosi ammanetizayssa gidana mala hanides. Hesikka wogan izayta gididaytas xalala gidontta ammanon Abirame nayta gididaytas wurisotaskko. Izikka nuus wurisoskka Aawako.
2d041100c2	Hesikka “Ta nena daro dere Aawa oothidis” geeteti xaafetida mala hanides. Izikka hayqidaytas deyo immizaden baynidayssa qasse diza mala oothizaden ammanida Xoossa sinithan izi nuusu Aawakko.
2d0412009a	Kasse izas “Ne zerethi hessaththo hanana” geetetida mala ayko ufaysikka baynida dishin Abiramey Xoossi hanana gidaysa ammanidi daro dere Aawa gidides.
2d0413009a	Abiramesi yelettini xeetu layith gidi kichin Abiramey ba asatethay hayqetha mala gididaysanne sarasi yello wodey aadhi bidaysa erisheka ammanon lepibeyna.
2d04140055	Gede gujjid ammanon minidi Xoossas boncho immides attin Xoossi gida qaala sidhibeyna.
2d04150043	Xoossi izas immida ufaysay polistanaysa kumetha wozinape ammanides.
2d0416002b	Hessa gishshi izasi xiillotethan qodetides.
2d0417004d	“Izas xiillotethan paydetides” giza qaala xaafettiday izas xalala gidena.
2d0418006d	Gido attin Xoossi nu xiillotetha iza baggara paydiza nu Goda Yesusa hayqope denithidaysan ammaniza nusarakko.
2d0419005e	Izi nu nagara gishshi hayqanasi aadhi immetides. Izi nuna xiillota hisitina hayqope denidides.
2d0501005e	Histiko nuni xiillida gishshi nu Goda Yesus Kirisitoosa baggara nuusu Xoossara sarotethi dees.
2d05020098	Hayssa ha ammanozan miinid diza kiyatethan nuni geliday iza baggara gidida gishshi ufayssan Xoossa boncho gishetti ekizayta gidida gishshi nu ufa7etosu.
2d05030067	Hayssan xalala gidontta nuna gakiza waayenkka ufa7eetoos. Gaasoyka waayey danda7an gathizaysa nu erosu.
2d05040041	Danida7ay paaccen minoteth immes; paaccen minoteth ufaysi immees.
2d0505008d	He ufaysay nuna qasse nuna yellachena. Xoossi nuusu immida xiillo ayanan ba siqqo nu wozinan gusiida gishshi he ufayssay nuna yellan gathena.
2d0506005d	Nu daburanchata gidi dishin Xoossa wodey gakida mala Kirisitoosay nu nagara gishshi hayqides.
2d0507007c	Xiillo asa gishshi hayqana asi bistanays daro metees. Loo7o asa gishshi hayqanas xalana asi oonee erizay bettana dandda7ees.
2d05080082	Gido attin nu buro nagaranicha gidi uttidishin Kiristoosay nu gishshi hayqides. Hesikka Xoossi nuna siqiza ba siiqo heysan besses.
2d05090050	Nuni iza suuthan geyidayta gidikko harappeka iza baggara Xoossa hanqqofe attana.
2d050a0086	Nu Xoossas morketa gidi dishe iza naaza hayqon izara giigidayta gidikko nu izara giigdappe guye iza shemppo baggara nuni keehi attana.
2d050b0077	Hessa xalala gidenna; qassekka nuni ha7i izara giiga demmida nu Goda Yesusi kiristoosa baggara Xoossankka ufays oothos.
2d050c00c9	Hessa gishshi nagaray issade geedon duge ha alameza yida mala hayqoykka nagara geedon yides. Hayqoykka hessa baggara asa wurisoko yides. hessas gaasoy asi wurikka iza baggara nagara oothida gishshikko.
2d050d005d	Wogay immettanape kase nagaray biitta bolla deesishin wogay baynddason nagaray nagara gidena.
2d050e00a9	Shin Addameppe ha simmin Muse wode gakkanaas diza woden Addame mala woga menththid nagara oothontayta bollaka hayqoy kawotides. Addamey buro yaana kiristoosas lemisokko.
2d050f00c6	Gidikokka iza kiyatetha immotay asa qoho mala gidena. Issadey mooridayssan daro asay hayqqikokka Xoossa kiyatethanine issi asi Yesusi kiristoosa kiyatethan yida immotay darotas keehi dari immetides.
2d0510017c	Qasseka Xoossa immotay issade baggara yida nagarappe beettida ayife mala gidenna. Gaasoykka iza piriday issade nagara kaallid pirida ekki yides. Iza immotay qase daro qoho geedon xiilloteth ehides. Hayqoy hayssade baggara kawotidayssa gidikko daro tiripa gidida Xoossa kiyatethinne xiillotetha immota ekkidayti issade baggara hessika Yesusi kiristoosa baggara xoonidi deyon daana.
2d05120095	Hisitko issade qoho geedon piriday asa wuriso bolla gakkida mala hessathokka issade xiillotetha oothon asi wurisos deyo immiza xiillotethi beettides.
2d0513006c	Issadey azazetontta ixxida gishshi daro asay nagarancha gidida mala issade azazetethan qase daroti xiillana.
2d05140060	Wogay yiin mooroy darides. Gido attin nagaray daroyssafe bollara Xoossa kiyatethi keehi darides.
2d0515008a	Hesska handay nagaray hayqo bolla kawotidayssa mala Yesus kiristoosa baggara qasse medhina deyoy bettana mala iza kiyatethan kawotanaskko.
2d06010047	Histin nu ay giinoo? Xoossa kiyatethi darana mala nagara gujji othinoo?
2d06020056	Mulekka gidenna. Nuni nagaras hayqidosu. Histin hayssafe guye nu waani nagaran daanee?
2d0603007b	Nuni Yesusi Kiristoosara issino gidana mala xamaqetidayti iza hayqon nu issife gidanas xamaqetidayssa hayssa inte ereketii?
2d0604008e	Hessa gishshi Kiristoosay ba Aawa bonchon hayqoppe denddida mala nunikka hessaththo ooratha deyon daanas xinqqaten hayqqidi izara moogetidosd.
2d0605004f	Nuni hessa mala hayqon izara isife gidikko qasse denithanka izara isife gidosu.
2d06060086	Hayssafe guye nu nagarasi aylle gidontta mala nagara asatethay kiichana mala kase nu ceea asatethay izara isife kaqetidayssa nu erosu.
2d0607002a	Gaasoykka hayqida asi nagarape shemipidis.
2d06080045	Nuni Kiristoosara hayqidayti gidikko nu izara isife danaysa ammanosu.
2d06090071	Kiristoosay hayqope denidida gishshi nam7antho izi hayqonitaysanne iza bolla hayqossa wolqay bayndayssa nu erosu.
2d060a0059	Izi hayqida wode isito wursi nagara gishshi hayqides. Gida attin Xoossas paaxa dusu dees.
2d060b0057	Hessaththoka inte nagaras hayqidi Xoossas Yesus Kiristoosa baggara paxxa dizaysa erite.
2d060c0074	Hessa gishshi iitta oothana koyza iitta asho qofa koydi hayqida inte asatetha bolla nagaray kawotana mala oothofite.
2d060d00cd	Inte asatetha iitta ootho oothiza mishi oothi nagaras harisopite. Hessa mala oothanape hayqope gede deyon pinida asata mala intena Xoossa harisite. Inte asatetha xiillotetha miishsha mala Xoossas harisite.
2d060e0060	Inte Xoossa kiiyatetha garisan deista attiin woga garisan dontta gishshi intena nagaray haarena.
2d060f0080	Histin aazi oothinoo? wogaa garisan gidontta nuni Xoossa kiyatetha garisan diza gishshi nagara oothonoo? mule oothanaas bessena.
2d061000c4	Inte intena aylle mala shiishshiza wode inte azazetizades aylle gididayssa ereista. Hessaththoka gede hayqokko efiza nagaras woykko xiilotethako gathiza azazetethas inte aylle gididayssa ereketii?
2d06110070	Inte kasse nagaras ayllista gidikko intes imettida timiritezas inte wozanappe azazetida gishshi Xoossi galateto.
2d06120034	Inte nagarape wozetidi xiillotethas aylle gididista.
2d061300fc	Hayssa ta asa qaalan intes qonccen yootizay inte Yeletethan daburanicha gidida gishshikko. Inte kase wode inte asatetha aylletethasine kassepe adhi iittana mala oothi immista shin ha7i qasse gede geeshatethako efiza xiillotethes aylle hisiti haarisite.
2d0614004f	Inte kasse nagarasi aylletidi diza wode inte xiillotethafe mella atidista shin.
2d06150060	Ha7i qasse inte yelatiza miishshatape he wode ay go7a demmidetii? Hessa he hanoza go7ay hayqoko.
2d06160088	Ha7i qasse inte nagarape wozetidi Xoossa ayllista gididista. Hessikka Intena gede geeshatethako kallethes. wurisethaykka medhina deyoko.
2d0617005c	Nagara waagay hayqokko. Xoossa immotay gidiko Goda Yesus Kiristoosa baggara medhiina deyoko.
2d0701006a	Ta ishato tani wogaa eriza asatas yootays. Wogaa shemipora paxxa diza asa xalala harizayssa inte ereketii?
2d07020092	Issi macashi azina geliko ba azinara wogan iza qachetizay azinay paxxa diza wode gakanaskko. Azinay hayqiko iza machcho gidiza wogape anjjistaysu.
2d070300ab	Gido attin azinay paxxa dishin iza hara azina gelliko laymatasusu geetistaysu. Azinay hayqiko qase hara ura iza gelliko kase azina wogape anjjistadus attin layma getetuku.
2d07040099	Hessa gishshi ta ishato inteka Yesus Kiristoosa asho baggara wogas hayqidista. Inte hayqope denidida kiristoosa bagga gidin nuni Xoossas ayfe ayfanaskko.
2d07050076	Nagarancha medhetetha shenen nu diza wode hayqo ayfe nu ayfana mala wogay denththethida nagara amoy nu bolla oothides.
2d070600a2	Ha7i gidiko kasse nuna waaxi qachida hayqida gishshi wogape wozetidosu. Hesikka kase cega wogan xaafetidayssan gidontta dishe ooratha ayana ogen nuni oothanaskko.
2d070700af	Histin nu ay ginoo? Be hu7es wogay naragaa? muleka gidena. wogaa bagara gidonttako nagaray azakone nu erokoko shin. wogay “amotofa” gonttako amoy azakone tumupe ta erikke.
2d0708008f	Nagaray qasse wogape kezida azazoy bessida ogen go7ettidi ta gidon dumma dumma iitta amo denithethides. wogay yanappe kasse nagaray hayqithiko.
2d07090067	wogay baynida kase tani paxxa dayisse shin wogay yiini qase nagaray paxxa gidides. ta gidikko hayqadis.
2d070a003a	He asi ashana qofetida azazoyka hayqo ekii yidaysa eradis.
2d070b0051	Nagaray woga baggara bettida gaason go7ettidi tana balethidesine azazon wodhides.
