280000000c	ମଥିଃ
2c100e01dd	ତତଃ ଥୁଯାତୀରାନଗରୀଯା ଧୂଷରାମ୍ବରୱିକ୍ରାଯିଣୀ ଲୁଦିଯାନାମିକା ଯା ଈଶ୍ୱରସେୱିକା ଯୋଷିତ୍ ଶ୍ରୋତ୍ରୀଣାଂ ମଧ୍ୟ ଆସୀତ୍ ତଯା ପୌଲୋକ୍ତୱାକ୍ୟାନି ଯଦ୍ ଗୃହ୍ୟନ୍ତେ ତଦର୍ଥଂ ପ୍ରଭୁସ୍ତସ୍ୟା ମନୋଦ୍ୱାରଂ ମୁକ୍ତୱାନ୍|
2c100f01bb	ଅତଃ ସା ଯୋଷିତ୍ ସପରିୱାରା ମଜ୍ଜିତା ସତୀ ୱିନଯଂ କୃତ୍ୱା କଥିତୱତୀ, ଯୁଷ୍ମାକଂ ୱିଚାରାଦ୍ ଯଦି ପ୍ରଭୌ ୱିଶ୍ୱାସିନୀ ଜାତାହଂ ତର୍ହି ମମ ଗୃହମ୍ ଆଗତ୍ୟ ତିଷ୍ଠତ| ଇତ୍ଥଂ ସା ଯତ୍ନେନାସ୍ମାନ୍ ଅସ୍ଥାପଯତ୍|
2c10100157	ଯସ୍ୟା ଗଣନଯା ତଦଧିପତୀନାଂ ବହୁଧନୋପାର୍ଜନଂ ଜାତଂ ତାଦୃଶୀ ଗଣକଭୂତଗ୍ରସ୍ତା କାଚନ ଦାସୀ ପ୍ରାର୍ଥନାସ୍ଥାନଗମନକାଲ ଆଗତ୍ୟାସ୍ମାନ୍ ସାକ୍ଷାତ୍ କୃତୱତୀ|
2c101101a7	ସାସ୍ମାକଂ ପୌଲସ୍ୟ ଚ ପଶ୍ଚାଦ୍ ଏତ୍ୟ ପ୍ରୋଚ୍ଚୈଃ କଥାମିମାଂ କଥିତୱତୀ, ମନୁଷ୍ୟା ଏତେ ସର୍ୱ୍ୱୋପରିସ୍ଥସ୍ୟେଶ୍ୱରସ୍ୟ ସେୱକାଃ ସନ୍ତୋଽସ୍ମାନ୍ ପ୍ରତି ପରିତ୍ରାଣସ୍ୟ ମାର୍ଗଂ ପ୍ରକାଶଯନ୍ତି|
2c10120200	ସା କନ୍ୟା ବହୁଦିନାନି ତାଦୃଶମ୍ ଅକରୋତ୍ ତସ୍ମାତ୍ ପୌଲୋ ଦୁଃଖିତଃ ସନ୍ ମୁଖଂ ପରାୱର୍ତ୍ୟ ତଂ ଭୂତମୱଦଦ୍, ଅହଂ ଯୀଶୁଖ୍ରୀଷ୍ଟସ୍ୟ ନାମ୍ନା ତ୍ୱାମାଜ୍ଞାପଯାମି ତ୍ୱମସ୍ୟା ବହିର୍ଗଚ୍ଛ; ତେନୈୱ ତତ୍କ୍ଷଣାତ୍ ସ ଭୂତସ୍ତସ୍ୟା ବହିର୍ଗତଃ|
2c10130150	ତତଃ ସ୍ୱେଷାଂ ଲାଭସ୍ୟ ପ୍ରତ୍ୟାଶା ୱିଫଲା ଜାତେତି ୱିଲୋକ୍ୟ ତସ୍ୟାଃ ପ୍ରଭୱଃ ପୌଲଂ ସୀଲଞ୍ଚ ଧୃତ୍ୱାକୃଷ୍ୟ ୱିଚାରସ୍ଥାନେଽଧିପତୀନାଂ ସମୀପମ୍ ଆନଯନ୍|
2c101400f6	ତତଃ ଶାସକାନାଂ ନିକଟଂ ନୀତ୍ୱା ରୋମିଲୋକା ୱଯମ୍ ଅସ୍ମାକଂ ଯଦ୍ ୱ୍ୟୱହରଣଂ ଗ୍ରହୀତୁମ୍ ଆଚରିତୁଞ୍ଚ ନିଷିଦ୍ଧଂ,
2c101500d5	ଇମେ ଯିହୂଦୀଯଲୋକାଃ ସନ୍ତୋପି ତଦେୱ ଶିକ୍ଷଯିତ୍ୱା ନଗରେଽସ୍ମାକମ୍ ଅତୀୱ କଲହଂ କୁର୍ୱ୍ୱନ୍ତି,
2c10160144	ଇତି କଥିତେ ସତି ଲୋକନିୱହସ୍ତଯୋଃ ପ୍ରାତିକୂଲ୍ୟେନୋଦତିଷ୍ଠତ୍ ତଥା ଶାସକାସ୍ତଯୋ ର୍ୱସ୍ତ୍ରାଣି ଛିତ୍ୱା ୱେତ୍ରାଘାତଂ କର୍ତ୍ତୁମ୍ ଆଜ୍ଞାପଯନ୍|
2c101700e1	ଅପରଂ ତେ ତୌ ବହୁ ପ୍ରହାର୍ୟ୍ୟ ତ୍ୱମେତୌ କାରାଂ ନୀତ୍ୱା ସାୱଧାନଂ ରକ୍ଷଯେତି କାରାରକ୍ଷକମ୍ ଆଦିଶନ୍|
2c101800fa	ଇତ୍ଥମ୍ ଆଜ୍ଞାଂ ପ୍ରାପ୍ୟ ସ ତାୱଭ୍ୟନ୍ତରସ୍ଥକାରାଂ ନୀତ୍ୱା ପାଦେଷୁ ପାଦପାଶୀଭି ର୍ବଦ୍ଧ୍ୱା ସ୍ଥାପିତାୱାନ୍|
2c101900fc	ଅଥ ନିଶୀଥସମଯେ ପୌଲସୀଲାୱୀଶ୍ୱରମୁଦ୍ଦିଶ୍ୟ ପ୍ରାଥନାଂ ଗାନଞ୍ଚ କୃତୱନ୍ତୌ, କାରାସ୍ଥିତା ଲୋକାଶ୍ଚ ତଦଶୃଣ୍ୱନ୍
2c101a0191	ତଦାକସ୍ମାତ୍ ମହାନ୍ ଭୂମିକମ୍ପୋଽଭୱତ୍ ତେନ ଭିତ୍ତିମୂଲେନ ସହ କାରା କମ୍ପିତାଭୂତ୍ ତତ୍କ୍ଷଣାତ୍ ସର୍ୱ୍ୱାଣି ଦ୍ୱାରାଣି ମୁକ୍ତାନି ଜାତାନି ସର୍ୱ୍ୱେଷାଂ ବନ୍ଧନାନି ଚ ମୁକ୍ତାନି|
2c101b0197	ଅତଏୱ କାରାରକ୍ଷକୋ ନିଦ୍ରାତୋ ଜାଗରିତ୍ୱା କାରାଯା ଦ୍ୱାରାଣି ମୁକ୍ତାନି ଦୃଷ୍ଟ୍ୱା ବନ୍ଦିଲୋକାଃ ପଲାଯିତା ଇତ୍ୟନୁମାଯ କୋଷାତ୍ ଖଙ୍ଗଂ ବହିଃ କୃତ୍ୱାତ୍ମଘାତଂ କର୍ତ୍ତୁମ୍ ଉଦ୍ୟତଃ|
2c101c010a	କିନ୍ତୁ ପୌଲଃ ପ୍ରୋଚ୍ଚୈସ୍ତମାହୂଯ କଥିତୱାନ୍ ପଶ୍ୟ ୱଯଂ ସର୍ୱ୍ୱେଽତ୍ରାସ୍ମହେ, ତ୍ୱଂ ନିଜପ୍ରାଣହିଂସାଂ ମାକାର୍ଷୀଃ|
2c101d0108	ତଦା ପ୍ରଦୀପମ୍ ଆନେତୁମ୍ ଉକ୍ତ୍ୱା ସ କମ୍ପମାନଃ ସନ୍ ଉଲ୍ଲମ୍ପ୍ୟାଭ୍ୟନ୍ତରମ୍ ଆଗତ୍ୟ ପୌଲସୀଲଯୋଃ ପାଦେଷୁ ପତିତୱାନ୍|
2c101e00de	ପଶ୍ଚାତ୍ ସ ତୌ ବହିରାନୀଯ ପୃଷ୍ଟୱାନ୍ ହେ ମହେଚ୍ଛୌ ପରିତ୍ରାଣଂ ପ୍ରାପ୍ତୁଂ ମଯା କିଂ କର୍ତ୍ତୱ୍ୟଂ?
2c101f0172	ପଶ୍ଚାତ୍ ତୌ ସ୍ୱଗୃହମାନୀଯ ତଯୋଃ ସମ୍ମୁଖେ ଖାଦ୍ୟଦ୍ରୱ୍ୟାଣି ସ୍ଥାପିତୱାନ୍ ତଥା ସ ସ୍ୱଯଂ ତଦୀଯାଃ ସର୍ୱ୍ୱେ ପରିୱାରାଶ୍ଚେଶ୍ୱରେ ୱିଶ୍ୱସନ୍ତଃ ସାନନ୍ଦିତା ଅଭୱନ୍|
2c102000a2	ତସ୍ମୈ ତସ୍ୟ ଗୃହସ୍ଥିତସର୍ୱ୍ୱଲୋକେଭ୍ୟଶ୍ଚ ପ୍ରଭୋଃ କଥାଂ କଥିତୱନ୍ତୌ|
2c10210165	ତଥା ରାତ୍ରେସ୍ତସ୍ମିନ୍ନେୱ ଦଣ୍ଡେ ସ ତୌ ଗୃହୀତ୍ୱା ତଯୋଃ ପ୍ରହାରାଣାଂ କ୍ଷତାନି ପ୍ରକ୍ଷାଲିତୱାନ୍ ତତଃ ସ ସ୍ୱଯଂ ତସ୍ୟ ସର୍ୱ୍ୱେ ପରିଜନାଶ୍ଚ ମଜ୍ଜିତା ଅଭୱନ୍|
2c10220172	ପଶ୍ଚାତ୍ ତୌ ସ୍ୱଗୃହମାନୀଯ ତଯୋଃ ସମ୍ମୁଖେ ଖାଦ୍ୟଦ୍ରୱ୍ୟାଣି ସ୍ଥାପିତୱାନ୍ ତଥା ସ ସ୍ୱଯଂ ତଦୀଯାଃ ସର୍ୱ୍ୱେ ପରିୱାରାଶ୍ଚେଶ୍ୱରେ ୱିଶ୍ୱସନ୍ତଃ ସାନନ୍ଦିତା ଅଭୱନ୍|
2c102300c1	ଦିନ ଉପସ୍ଥିତେ ତୌ ଲୋକୌ ମୋଚଯେତି କଥାଂ କଥଯିତୁଂ ଶାସକାଃ ପଦାତିଗଣଂ ପ୍ରେଷିତୱନ୍ତଃ|
2c10240167	ତତଃ କାରାରକ୍ଷକଃ ପୌଲାଯ ତାଂ ୱାର୍ତ୍ତାଂ କଥିତୱାନ୍ ଯୁୱାଂ ତ୍ୟାଜଯିତୁଂ ଶାସକା ଲୋକାନ ପ୍ରେଷିତୱନ୍ତ ଇଦାନୀଂ ଯୁୱାଂ ବହି ର୍ଭୂତ୍ୱା କୁଶଲେନ ପ୍ରତିଷ୍ଠେତାଂ|
2c10250237	କିନ୍ତୁ ପୌଲସ୍ତାନ୍ ଅୱଦତ୍ ରୋମିଲୋକଯୋରାୱଯୋଃ କମପି ଦୋଷମ୍ ନ ନିଶ୍ଚିତ୍ୟ ସର୍ୱ୍ୱେଷାଂ ସମକ୍ଷମ୍ ଆୱାଂ କଶଯା ତାଡଯିତ୍ୱା କାରାଯାଂ ବଦ୍ଧୱନ୍ତ ଇଦାନୀଂ କିମାୱାଂ ଗୁପ୍ତଂ ୱିସ୍ତ୍ରକ୍ଷ୍ୟନ୍ତି? ତନ୍ନ ଭୱିଷ୍ୟତି, ସ୍ୱଯମାଗତ୍ୟାୱାଂ ବହିଃ କୃତ୍ୱା ନଯନ୍ତୁ|
2c102600eb	ତଦା ପଦାତିଭିଃ ଶାସକେଭ୍ୟ ଏତଦ୍ୱାର୍ତ୍ତାଯାଂ କଥିତାଯାଂ ତୌ ରୋମିଲୋକାୱିତି କଥାଂ ଶ୍ରୁତ୍ୱା ତେ ଭୀତାଃ
2c10270103	ସନ୍ତସ୍ତଯୋଃ ସନ୍ନିଧିମାଗତ୍ୟ ୱିନଯମ୍ ଅକୁର୍ୱ୍ୱନ୍ ଅପରଂ ବହିଃ କୃତ୍ୱା ନଗରାତ୍ ପ୍ରସ୍ଥାତୁଂ ପ୍ରାର୍ଥିତୱନ୍ତଃ|
2c1028014c	ତତସ୍ତୌ କାରାଯା ନିର୍ଗତ୍ୟ ଲୁଦିଯାଯା ଗୃହଂ ଗତୱନ୍ତୌ ତତ୍ର ଭ୍ରାତୃଗଣଂ ସାକ୍ଷାତ୍କୃତ୍ୟ ତାନ୍ ସାନ୍ତ୍ୱଯିତ୍ୱା ତସ୍ମାତ୍ ସ୍ଥାନାତ୍ ପ୍ରସ୍ଥିତୌ|
2c11010124	ପୌଲସୀଲୌ ଆମ୍ଫିପଲ୍ୟାପଲ୍ଲୋନିଯାନଗରାଭ୍ୟାଂ ଗତ୍ୱା ଯତ୍ର ଯିହୂଦୀଯାନାଂ ଭଜନଭୱନମେକମ୍ ଆସ୍ତେ ତତ୍ର ଥିଷଲନୀକୀନଗର ଉପସ୍ଥିତୌ|
2c11020129	ତଦା ପୌଲଃ ସ୍ୱାଚାରାନୁସାରେଣ ତେଷାଂ ସମୀପଂ ଗତ୍ୱା ୱିଶ୍ରାମୱାରତ୍ରଯେ ତୈଃ ସାର୍ଦ୍ଧଂ ଧର୍ମ୍ମପୁସ୍ତକୀଯକଥାଯା ୱିଚାରଂ କୃତୱାନ୍|
2c110301e3	ଫଲତଃ ଖ୍ରୀଷ୍ଟେନ ଦୁଃଖଭୋଗଃ କର୍ତ୍ତୱ୍ୟଃ ଶ୍ମଶାନଦୁତ୍ଥାନଞ୍ଚ କର୍ତ୍ତୱ୍ୟଂ ଯୁଷ୍ମାକଂ ସନ୍ନିଧୌ ଯସ୍ୟ ଯୀଶୋଃ ପ୍ରସ୍ତାୱଂ କରୋମି ସ ଈଶ୍ୱରେଣାଭିଷିକ୍ତଃ ସ ଏତାଃ କଥାଃ ପ୍ରକାଶ୍ୟ ପ୍ରମାଣଂ ଦତ୍ୱା ସ୍ଥିରୀକୃତୱାନ୍|
2c11040132	ତସ୍ମାତ୍ ତେଷାଂ କତିପଯଜନା ଅନ୍ୟଦେଶୀଯା ବହୱୋ ଭକ୍ତଲୋକା ବହ୍ୟଃ ପ୍ରଧାନନାର୍ୟ୍ୟଶ୍ଚ ୱିଶ୍ୱସ୍ୟ ପୌଲସୀଲଯୋଃ ପଶ୍ଚାଦ୍ଗାମିନୋ ଜାତାଃ|
2c11050236	କିନ୍ତୁ ୱିଶ୍ୱାସହୀନା ଯିହୂଦୀଯଲୋକା ଈର୍ଷ୍ୟଯା ପରିପୂର୍ଣାଃ ସନ୍ତୋ ହଟଟ୍ସ୍ୟ କତିନଯଲମ୍ପଟଲୋକାନ୍ ସଙ୍ଗିନଃ କୃତ୍ୱା ଜନତଯା ନଗରମଧ୍ୟେ ମହାକଲହଂ କୃତ୍ୱା ଯାସୋନୋ ଗୃହମ୍ ଆକ୍ରମ୍ୟ ପ୍ରେରିତାନ୍ ଧୃତ୍ୱା ଲୋକନିୱହସ୍ୟ ସମୀପମ୍ ଆନେତୁଂ ଚେଷ୍ଟିତୱନ୍ତଃ|
2c110601b7	ତେଷାମୁଦ୍ଦେଶମ୍ ଅପ୍ରାପ୍ୟ ଚ ଯାସୋନଂ କତିପଯାନ୍ ଭ୍ରାତୃଂଶ୍ଚ ଧୃତ୍ୱା ନଗରାଧିପତୀନାଂ ନିକଟମାନୀଯ ପ୍ରୋଚ୍ଚୈଃ କଥିତୱନ୍ତୋ ଯେ ମନୁଷ୍ୟା ଜଗଦୁଦ୍ୱାଟିତୱନ୍ତସ୍ତେ ଽତ୍ରାପ୍ୟୁପସ୍ଥିତାଃ ସନ୍ତି,
2c11070137	ଏଷ ଯାସୋନ୍ ଆତିଥ୍ୟଂ କୃତ୍ୱା ତାନ୍ ଗୃହୀତୱାନ୍| ଯୀଶୁନାମକ ଏକୋ ରାଜସ୍ତୀତି କଥଯନ୍ତସ୍ତେ କୈସରସ୍ୟାଜ୍ଞାୱିରୁଦ୍ଧଂ କର୍ମ୍ମ କୁର୍ୱ୍ୱତି|
2c110800b2	ତେଷାଂ କଥାମିମାଂ ଶ୍ରୁତ୍ୱା ଲୋକନିୱହୋ ନଗରାଧିପତଯଶ୍ଚ ସମୁଦ୍ୱିଗ୍ନା ଅଭୱନ୍|
2c110900a8	ତଦା ଯାସୋନସ୍ତଦନ୍ୟେଷାଞ୍ଚ ଧନଦଣ୍ଡଂ ଗୃହୀତ୍ୱା ତାନ୍ ପରିତ୍ୟକ୍ତୱନ୍ତଃ|
2c110a0124	ତତଃ ପରଂ ଭ୍ରାତୃଗଣୋ ରଜନ୍ୟାଂ ପୌଲସୀଲୌ ଶୀଘ୍ରଂ ବିରଯାନଗରଂ ପ୍ରେଷିତୱାନ୍ ତୌ ତତ୍ରୋପସ୍ଥାଯ ଯିହୂଦୀଯାନାଂ ଭଜନଭୱନଂ ଗତୱନ୍ତୌ|
2c110b0180	ତତ୍ରସ୍ଥା ଲୋକାଃ ଥିଷଲନୀକୀସ୍ଥଲୋକେଭ୍ୟୋ ମହାତ୍ମାନ ଆସନ୍ ଯତ ଇତ୍ଥଂ ଭୱତି ନ ୱେତି ଜ୍ଞାତୁଂ ଦିନେ ଦିନେ ଧର୍ମ୍ମଗ୍ରନ୍ଥସ୍ୟାଲୋଚନାଂ କୃତ୍ୱା ସ୍ୱୈରଂ କଥାମ୍ ଅଗୃହ୍ଲନ୍|
2c110c00da	ତସ୍ମାଦ୍ ଅନେକେ ଯିହୂଦୀଯା ଅନ୍ୟଦେଶୀଯାନାଂ ମାନ୍ୟା ସ୍ତ୍ରିଯଃ ପୁରୁଷାଶ୍ଚାନେକେ ୱ୍ୟଶ୍ୱସନ୍|
2c110d0169	କିନ୍ତୁ ବିରଯାନଗରେ ପୌଲେନେଶ୍ୱରୀଯା କଥା ପ୍ରଚାର୍ୟ୍ୟତ ଇତି ଥିଷଲନୀକୀସ୍ଥା ଯିହୂଦୀଯା ଜ୍ଞାତ୍ୱା ତତ୍ସ୍ଥାନମପ୍ୟାଗତ୍ୟ ଲୋକାନାଂ କୁପ୍ରୱୃତ୍ତିମ୍ ଅଜନଯନ୍|
2c110e0149	ଅତଏୱ ତସ୍ମାତ୍ ସ୍ଥାନାତ୍ ସମୁଦ୍ରେଣ ଯାନ୍ତୀତି ଦର୍ଶଯିତ୍ୱା ଭ୍ରାତରଃ କ୍ଷିପ୍ରଂ ପୌଲଂ ପ୍ରାହିଣ୍ୱନ୍ କିନ୍ତୁ ସୀଲତୀମଥିଯୌ ତତ୍ର ସ୍ଥିତୱନ୍ତୌ|
2c110f0195	ତତଃ ପରଂ ପୌଲସ୍ୟ ମାର୍ଗଦର୍ଶକାସ୍ତମ୍ ଆଥୀନୀନଗର ଉପସ୍ଥାପଯନ୍ ପଶ୍ଚାଦ୍ ଯୁୱାଂ ତୂର୍ଣମ୍ ଏତତ୍ ସ୍ଥାନଂ ଆଗମିଷ୍ୟଥଃ ସୀଲତୀମଥିଯୌ ପ୍ରତୀମାମ୍ ଆଜ୍ଞାଂ ପ୍ରାପ୍ୟ ତେ ପ୍ରତ୍ୟାଗତାଃ|
2c111000fa	ପୌଲ ଆଥୀନୀନଗରେ ତାୱପେକ୍ଷ୍ୟ ତିଷ୍ଠନ୍ ତନ୍ନଗରଂ ପ୍ରତିମାଭିଃ ପରିପୂର୍ଣଂ ଦୃଷ୍ଟ୍ୱା ସନ୍ତପ୍ତହୃଦଯୋ ଽଭୱତ୍|
2c111100fb	ତତଃ ସ ଭଜନଭୱନେ ଯାନ୍ ଯିହୂଦୀଯାନ୍ ଭକ୍ତଲୋକାଂଶ୍ଚ ହଟ୍ଟେ ଚ ଯାନ୍ ଅପଶ୍ୟତ୍ ତୈଃ ସହ ପ୍ରତିଦିନଂ ୱିଚାରିତୱାନ୍|
2c1112027b	କିନ୍ତ୍ୱିପିକୂରୀଯମତଗ୍ରହିଣଃ ସ୍ତୋଯିକୀଯମତଗ୍ରାହିଣଶ୍ଚ କିଯନ୍ତୋ ଜନାସ୍ତେନ ସାର୍ଦ୍ଧଂ ୱ୍ୟୱଦନ୍ତ| ତତ୍ର କେଚିଦ୍ ଅକଥଯନ୍ ଏଷ ୱାଚାଲଃ କିଂ ୱକ୍ତୁମ୍ ଇଚ୍ଛତି? ଅପରେ କେଚିଦ୍ ଏଷ ଜନଃ କେଷାଞ୍ଚିଦ୍ ୱିଦେଶୀଯଦେୱାନାଂ ପ୍ରଚାରକ ଇତ୍ୟନୁମୀଯତେ ଯତଃ ସ ଯୀଶୁମ୍ ଉତ୍ଥିତିଞ୍ଚ ପ୍ରଚାରଯତ୍|
2c11130124	ତେ ତମ୍ ଅରେଯପାଗନାମ ୱିଚାରସ୍ଥାନମ୍ ଆନୀଯ ପ୍ରାୱୋଚନ୍ ଇଦଂ ଯନ୍ନୱୀନଂ ମତଂ ତ୍ୱଂ ପ୍ରାଚୀକଶ ଇଦଂ କୀଦୃଶଂ ଏତଦ୍ ଅସ୍ମାନ୍ ଶ୍ରାୱଯ;
2c111400f2	ଯାମିମାମ୍ ଅସମ୍ଭୱକଥାମ୍ ଅସ୍ମାକଂ କର୍ଣଗୋଚରୀକୃତୱାନ୍ ଅସ୍ୟା ଭାୱାର୍ଥଃ କ ଇତି ୱଯଂ ଜ୍ଞାତୁମ୍ ଇଚ୍ଛାମଃ|
2c1115010b	ତଦାଥୀନୀନିୱାସିନସ୍ତନ୍ନଗରପ୍ରୱାସିନଶ୍ଚ କେୱଲଂ କସ୍ୟାଶ୍ଚନ ନୱୀନକଥାଯାଃ ଶ୍ରୱଣେନ ପ୍ରଚାରଣେନ ଚ କାଲମ୍ ଅଯାପଯନ୍|
2c11160157	ପୌଲୋଽରେଯପାଗସ୍ୟ ମଧ୍ୟେ ତିଷ୍ଠନ୍ ଏତାଂ କଥାଂ ପ୍ରଚାରିତୱାନ୍, ହେ ଆଥୀନୀଯଲୋକା ଯୂଯଂ ସର୍ୱ୍ୱଥା ଦେୱପୂଜାଯାମ୍ ଆସକ୍ତା ଇତ୍ୟହ ପ୍ରତ୍ୟକ୍ଷଂ ପଶ୍ୟାମି|
2c111701d0	ଯତଃ ପର୍ୟ୍ୟଟନକାଲେ ଯୁଷ୍ମାକଂ ପୂଜନୀଯାନି ପଶ୍ୟନ୍ ‘ଅୱିଜ୍ଞାତେଶ୍ୱରାଯ’ ଏତଲ୍ଲିପିଯୁକ୍ତାଂ ଯଜ୍ଞୱେଦୀମେକାଂ ଦୃଷ୍ଟୱାନ୍; ଅତୋ ନ ୱିଦିତ୍ୱା ଯଂ ପୂଜଯଧ୍ୱେ ତସ୍ୟୈୱ ତତ୍ୱଂ ଯୁଷ୍ମାନ୍ ପ୍ରତି ପ୍ରଚାରଯାମି|
2c11180138	ଜଗତୋ ଜଗତ୍ସ୍ଥାନାଂ ସର୍ୱ୍ୱୱସ୍ତୂନାଞ୍ଚ ସ୍ରଷ୍ଟା ଯ ଈଶ୍ୱରଃ ସ ସ୍ୱର୍ଗପୃଥିୱ୍ୟୋରେକାଧିପତିଃ ସନ୍ କରନିର୍ମ୍ମିତମନ୍ଦିରେଷୁ ନ ନିୱସତି;
2c1119016b	ସ ଏୱ ସର୍ୱ୍ୱେଭ୍ୟୋ ଜୀୱନଂ ପ୍ରାଣାନ୍ ସର୍ୱ୍ୱସାମଗ୍ରୀଶ୍ଚ ପ୍ରଦଦାତି; ଅତଏୱ ସ କସ୍ୟାଶ୍ଚିତ୍ ସାମଗ୍ୟ୍ରା ଅଭାୱହେତୋ ର୍ମନୁଷ୍ୟାଣାଂ ହସ୍ତୈଃ ସେୱିତୋ ଭୱତୀତି ନ|
2c111a0147	ସ ଭୂମଣ୍ଡଲେ ନିୱାସାର୍ଥମ୍ ଏକସ୍ମାତ୍ ଶୋଣିତାତ୍ ସର୍ୱ୍ୱାନ୍ ମନୁଷ୍ୟାନ୍ ସୃଷ୍ଟ୍ୱା ତେଷାଂ ପୂର୍ୱ୍ୱନିରୂପିତସମଯଂ ୱସତିସୀମାଞ୍ଚ ନିରଚିନୋତ୍;
2c111b00f2	ତସ୍ମାତ୍ ଲୋକୈଃ କେନାପି ପ୍ରକାରେଣ ମୃଗଯିତ୍ୱା ପରମେଶ୍ୱରସ୍ୟ ତତ୍ୱଂ ପ୍ରାପ୍ତୁଂ ତସ୍ୟ ଗୱେଷଣଂ କରଣୀଯମ୍|
2c111c01d0	କିନ୍ତୁ ସୋଽସ୍ମାକଂ କସ୍ମାଚ୍ଚିଦପି ଦୂରେ ତିଷ୍ଠତୀତି ନହି, ୱଯଂ ତେନ ନିଶ୍ୱସନପ୍ରଶ୍ୱସନଗମନାଗମନପ୍ରାଣଧାରଣାନି କୁର୍ମ୍ମଃ, ପୁନଶ୍ଚ ଯୁଷ୍ମାକମେୱ କତିପଯାଃ କୱଯଃ କଥଯନ୍ତି ‘ତସ୍ୟ ୱଂଶା ୱଯଂ ସ୍ମୋ ହି’ ଇତି|
2c111d0174	ଅତଏୱ ଯଦି ୱଯମ୍ ଈଶ୍ୱରସ୍ୟ ୱଂଶା ଭୱାମସ୍ତର୍ହି ମନୁଷ୍ୟୈ ର୍ୱିଦ୍ୟଯା କୌଶଲେନ ଚ ତକ୍ଷିତଂ ସ୍ୱର୍ଣଂ ରୂପ୍ୟଂ ଦୃଷଦ୍ ୱୈତେଷାମୀଶ୍ୱରତ୍ୱମ୍ ଅସ୍ମାଭି ର୍ନ ଜ୍ଞାତୱ୍ୟଂ|
2c111e0156	ତେଷାଂ ପୂର୍ୱ୍ୱୀଯଲୋକାନାମ୍ ଅଜ୍ଞାନତାଂ ପ୍ରତୀଶ୍ୱରୋ ଯଦ୍ୟପି ନାୱାଧତ୍ତ ତଥାପୀଦାନୀଂ ସର୍ୱ୍ୱତ୍ର ସର୍ୱ୍ୱାନ୍ ମନଃ ପରିୱର୍ତ୍ତଯିତୁମ୍ ଆଜ୍ଞାପଯତି,
2c111f01a4	ଯତଃ ସ୍ୱନିଯୁକ୍ତେନ ପୁରୁଷେଣ ଯଦା ସ ପୃଥିୱୀସ୍ଥାନାଂ ସର୍ୱ୍ୱଲୋକାନାଂ ୱିଚାରଂ କରିଷ୍ୟତି ତଦ୍ଦିନଂ ନ୍ୟରୂପଯତ୍; ତସ୍ୟ ଶ୍ମଶାନୋତ୍ଥାପନେନ ତସ୍ମିନ୍ ସର୍ୱ୍ୱେଭ୍ୟଃ ପ୍ରମାଣଂ ପ୍ରାଦାତ୍|
2c11200110	ତଦା ଶ୍ମଶାନାଦ୍ ଉତ୍ଥାନସ୍ୟ କଥାଂ ଶ୍ରୁତ୍ୱା କେଚିଦ୍ ଉପାହମନ୍, କେଚିଦୱଦନ୍ ଏନାଂ କଥାଂ ପୁନରପି ତ୍ୱତ୍ତଃ ଶ୍ରୋଷ୍ୟାମଃ|
2c11210064	ତତଃ ପୌଲସ୍ତେଷାଂ ସମୀପାତ୍ ପ୍ରସ୍ଥିତୱାନ୍|
2c11220156	ତଥାପି କେଚିଲ୍ଲୋକାସ୍ତେନ ସାର୍ଦ୍ଧଂ ମିଲିତ୍ୱା ୱ୍ୟଶ୍ୱସନ୍ ତେଷାଂ ମଧ୍ୟେ ଽରେଯପାଗୀଯଦିଯନୁସିଯୋ ଦାମାରୀନାମା କାଚିନ୍ନାରୀ କିଯନ୍ତୋ ନରାଶ୍ଚାସନ୍|
2c120100b3	ତଦ୍ଘଟନାତଃ ପରଂ ପୌଲ ଆଥୀନୀନଗରାଦ୍ ଯାତ୍ରାଂ କୃତ୍ୱା କରିନ୍ଥନଗରମ୍ ଆଗଚ୍ଛତ୍|
2c12020297	ତସ୍ମିନ୍ ସମଯେ କ୍ଲୌଦିଯଃ ସର୍ୱ୍ୱାନ୍ ଯିହୂଦୀଯାନ୍ ରୋମାନଗରଂ ୱିହାଯ ଗନ୍ତୁମ୍ ଆଜ୍ଞାପଯତ୍, ତସ୍ମାତ୍ ପ୍ରିସ୍କିଲ୍ଲାନାମ୍ନା ଜାଯଯା ସାର୍ଦ୍ଧମ୍ ଇତାଲିଯାଦେଶାତ୍ କିଞ୍ଚିତ୍ପୂର୍ୱ୍ୱମ୍ ଆଗମତ୍ ଯଃ ପନ୍ତଦେଶେ ଜାତ ଆକ୍କିଲନାମା ଯିହୂଦୀଯଲୋକଃ ପୌଲସ୍ତଂ ସାକ୍ଷାତ୍ ପ୍ରାପ୍ୟ ତଯୋଃ ସମୀପମିତୱାନ୍|
2c12030108	ତୌ ଦୂଷ୍ୟନିର୍ମ୍ମାଣଜୀୱିନୌ, ତସ୍ମାତ୍ ପରସ୍ପରମ୍ ଏକୱୃତ୍ତିକତ୍ୱାତ୍ ସ ତାଭ୍ୟାଂ ସହ ଉଷିତ୍ୱା ତତ୍ କର୍ମ୍ମାକରୋତ୍|
