0100000005	Dadaa
0e21050082	Badhinna dalleya keessaa ka Galma Mootii Waan Maraa lamaanuu keessatti urjoota ol-gubba'aa waaqonfatiisaaf addee ciinca'aa ijaare.
0e210600f2	Inni dhooqa ilma Hiinomii keessatti ilmaan ifii kennansa gubamu godhee dhikeessee, worra moru, worra xanoo xanu, worra ekeraa dubbisiisuu fi worra moora ilaalu morsiifatee, Mootii Waan Maraa duratti cubbuu guddittii hujee aarii isaa kakkaase.
0e21070103	Inni fakkii waaqa dharaa ka qiriixee huje san fuudhee, Galma Waaqaa ka Waaqi Daawitii fi ilma isaa Solomooniin, «Ani Galma kana keessatti, Yerusaalem lafa gosa Israa'elii mara keessaa addee filadhe tana keessatti, haga bara baraa maqaa kiyya keessa hin keya;
0e210800f1	kolbaan Israa'elii seerata kiyya yoo eegatte, seera tajaajilaan kiyya Muuseen isaaniif kenne duudiille yoo eegatte, lafa ani abbootii isaanii ta duriitiif kenne keessaa bayanee akka isaan ari'amanu deebi'ee hin godhu» jedhe san keessa keye.
0e210900a7	Minaaseen ammoo kolbaa Yihuda'aatii fi Yerusaalemii dokonkorsee, isaan gosa biyya adda addaa ta Mootiin Waan Maraa kolbaa ifii duraa ari'ee baase caalaa cubbuu hujane.
0e210a0059	Mootiin Waan Maraa Minaase'ee fi kolbaa ifiititti dubbatulle, isaan ammoo caqasuu didane.
0e210b00dc	Maarre Mootii Waan Maraa ajajjoota loltoota mootii Asoorii isaanitti fidee, isaan Minaasee qabanee, hookkoo sagana'aa funnaan isaa keessa keyanee, harka isaa wodaroo sageettu'uutiin hidhanee gara Baabilonii isa geessane.
0e210c007c	Minaaseen rakkinna kana keessa adoo jiruu, gad ifi qabee, gara Mootii Waan Maraa Waaqa ifii deebi'ee, qarqaarsa isa gaafate.
0e210d0097	Mootiin Waan Maraa daadimata isaa dhage'eefii, gara Yerusaalemii mootummaa isaatitti isa deebise; Minaaseelle Mootiin Waan Maraa Waaqa akka te'e beeke.
0e210e0146	Tanaan duuba Minaaseen dalleya dhaka'aa ka qachaa Daawitii ka gara alaa dhooqa madda Giihonii ka gara aduun baatuutii kaasee haga seensuma «Karra qurxummi'ii» jedhantuu, kooba Ofeeliititti marsee dalleya dhaka'aa hojjaa itti dabalee ijaare; qachoota Yihuda'aa ka dalleya dhaka'aa qabu mara qondaaltota loltootaa keessa keye.
0e210f010a	Inni Galma Mootii Waan Maraa keessaa Waaqota ormaa fi fakkii achi keessa jirtu balleessee, addee ciinca'aa ta worra Waaqa hin beennee ta kooba irra addee Galmi Mootii Waan Maraa dhaabbate keye, Yerusaalem keessa ta addee dhibiille jirtu diigee qacha'aan alatti gate.
0e211000d8	Achiin duuba addee ciinca'aa ta Mootii Waan Maraa haaressee ijaaree, isii irratti kennansa tokkumma'aatii fi kennansa galataa dhikeesse; kolbaan Yihuda'aalle Mootii Waan Maraa Waaqa Israa'elii akka waaqonfattu ajaje.
0e2111006d	Kolbaan addee waaqonfanna'aa irratti ciincaa dhikeessitulle, Mootii Waan Maraa Waaqa ifii qofaaf dhikeessite.
0e211200ce	Wonni dhibiin ta Minaaseen huje, daadimati inni Waaqa ifii daadimatee fi ergaan raagoti maqaa Mootii Waan Maraa Waaqa Israa'eliitiin dubbatane kitaaba dabarsii mootota Israa'elii keessatti barreeffanteerti.
0e21130156	Minaaseen mootichi daadimatee deebiin Waaqi daadimata isaatiif kenne, adoo cubbuu irraa hin deebi'in dura cubbuun inni hujee fi ka hin addatanne te'uun isaa marti, addee waaqonfanna'aa irratti utubaa waaqota dharaa ta, «Asheeraa» jedhantuu fi fakkiin waaqota dharaa ta inni dhaabe marti, kitaaba raagota Israa'elii irratti barreeffanteerti.
0e2114006b	Minaaseen du'ee mana mootumma'aa ka ifii keessatti awwaalame; ilmi isaa Amooni addee isaatitti mootii te'e.
0e2115006a	Amooni yennaa mootii te'e nama woggaa diddamii lamaa ti; inni Yerusaalem keessa tee'ee woggaa lama bulche.
0e21160081	Akkuma abbaa ifii Minaase'ee Mootii Waan Maraa duratti cubbuu hujee, waaqota dharaa ka abbaan isaa waaqonfate innille waaqonfate.
0e2117008c	Amooni akka abbaan isaa Minaaseen Mootii Waan Maraa duratti ifi gad qabe, gad ifi hin qanne. Inni yakkaa abbaan isaa huje caala'aayyuu huje.
0e2118005c	Tajaajiltooti Amoonii mala isatti dhowanee mana mootumma'aa ka isaa keessatti isa ijjeesane.
0e21190083	Achiin duuba kolbaan lafa sanii worra Amooni irratti mala dhowe mara ijjeesanee, addee isaatitti ilma isaa Yosiyaas mootii godhane.
0e22010071	Yosiyaas yennaa mootii te'e nama woggaa saddeetii ti; inni Yerusaalem keessa tee'ee woggaa soddomii tokko bulche.
0e220200a0	Yosiyaas Mootii Waan Maraa duratti waan sirrii te'e huje; inni karaa abbaa abbootii ifii ta durii ka Daawitii middaa fi bitaa adoo irraa hin gorin mara hordofe.
0e22030151	Yosiyaas mootii te'ee woggaa saddeetesso'ootitti, adoo ijoollichaatuu Waaqa Daawitii ka abbaa abbootii ifii ta durii barbaadatiisa jalqabe. Woggaa kudhanii lammeesso'ootitti Yihuda'aa fi Yerusaalem qulqulleessiisaaf addee waaqonfanna'aa, utuboota waaqa dharaa ta, «Asheeraa» jedhantuu, waaqota dharaa ka dhibiille balleessiisa jalqabe.
0e22040168	Ajaja isaatiin addee waaqota dharaa Ba'aaliif ciincaa itti dhikeessanu butuchanee, addee ciinca'aa ta hixaanaa ta achi bira jirtulle jissane. Isaan fakkii waaqa dharaa ta, «Asheeraa» jedhantuutii fi ta waaqota dharaa ka dhibi'iille lafatti gad jissanee, bulleessanee, bukuu san awwaala worra waaqota dharaa saniif ciincaa dhikeessanee irratti bittinneessane.
0e22050072	Inni lafee hayyoota sanii addee isaan ciincaa itti dhikeessanu irratti gubee Yihuda'aa fi Yerusaalem qulqulleesse.
0e22060091	Qachaa lafa Minaase'ee, lafa Efreemiitii fi lafa Shimi'ooniitii haga qachaa lafa Niftaalemiititti, haga bututa adaala qachoota kana jiranuutitti,
0e220700e3	addee ciinca'aatii fi utuboota waaqa dharaa ta, «Asheeraa» jedhantuu diige; inni fakkii waaqota dharaa bulleessee, addee ciincaa hixaanaa ta biyya Israa'elii keessa jirtu mara butuchee, achiin duuba gara Yerusaalemii deebi'e.
0e2208010c	Yosiyaas mootii te'ee woggaa kudhanii saddeetesso'ootitti, biyyaa fi Galma qulqulleesseen duuba, Galma Mootii Waan Maraa ka Waaqa isaa deebisanee akka haaressanu ilma Azaaliya'aa Shaafaan, ilma bulchaa qacha'aa Ma'aseya'aa fi ilma Yo'aahaazii barreessa'aa Yo'aak erge.
0e22090146	Isaanille gara Hilqiiyaa hayyicha gudda'aa dhaqanee, beesee Galma Waaqaatiif worri Lewwootaa ka karra eeganu kolbaa Minaase'ee irraa, kolbaa Efreemiitii fi kolbaa Israa'elii worra baraaree hafane mara irraa, kolbaa Yihuda'aa mara irraa, kolbaa Beniyaaminiitii fi kolbaa Yerusaalem keessa leetu mara irraa guurane itti kennane.
0e220a00ad	Achiin duuba isaan itti gaafatantoota hujii Galma Mootii Waan Maraatitti kennane; isaanille beesee san worra Galma Mootii Waan Maraa haaressee adde'etti deebisuuf kaffalane.
0e220b0111	Akkasuma ijaarsa dhaka'aa gugurdaa ka moototi Yihuda'aa akka diigamu godhane deebisanee haaressanee ijaariisaaf, dhakaa bocamee fi muka isa ittiin wol irra qaxxaamursanee jabeessanuu fi utuboota akka ittiin bitanu worra muka bocuu fi worra dhaka'aan mana ijaarutti kennane.
0e220c010f	Namooti sun addatamumma'aan hujii san hujane; isaan irratti itti gaafatantoota worri te'ane Lewwoota sanyii Meraarii keessaa Yaahaatiitii fi Obaadiya'a; sanyii Qehaatotaa keessaa Zakaariyaasii fi Meshulaam. Lewwoota keessaa worri meya faaru'uu dhowiisaan qarummaa qabanu,
0e220d009c	worra ba'aa ba'atanuu fi worra hujii adda addaatitti ramadamane toowataniiyyu; Lewwooti gariin barreessitoota, gariin qondaaltota, gariin eeddota karraa ti.
0e220e00ae	Isaan beesee gara Galma Mootii Waan Maraa fidane san baasiisatti adoo jiranuu, Hilqiiyaan hayyichi Kitaaba Seera Mootii Waan Maraa ka karaa Muuse'eetiin kenname tokko dhagge.
0e220f009a	Achiin duuba Hilqiiyaan, Shaafaanii barreessa'aan, «Ani kitaaba Seeraa Galma Mootii Waan Maraa keessatti dhagge» jedhee, kitaaba san Shaafaanitti kenne.
0e22100080	Shaafaanille kitaaba san gara mootichaa geessee, mootichaan, «Kunoo, tajaajiltooti teeti waan ati ajajje mara hujiisatti jiran.
0e22110070	Isaan beesee Galma Mootii Waan Maraa keessaa fuudhanee itti gaafatantootaa fi hojjatootatti kennaneeran» jedhe.
0e2212009a	Achiin duuba barreessaan Shaafaan, «Hilqiiyaan hayyichi kitaaba natti kenneera» jedhee, mootichatti himee, kitaaba san keessaa mooticha duratti dubbise.
0e22130044	Mootichi jechoota seeraa yennaa dhage'e gaddaan woyaa ifii tarsaase.
0e2214008a	Achiin duuba Hilqiiyaa, ilma Shaafaanii Ahiiqaam, ilma Miikiyaasii Abdoon, Shaafaanii barreessa'aa fi tajaajilaa mootichaa Asaayaa ajajee,
0e2215017d	«Dhaqa'aatii, waan kiyya, waan worra Yihuda'aa fi Israa'el keessatti baraaree hafee waan Kitaaba Seeraa ka dhaggame kana keessatti barreeffamee Mootii Waan Maraa gaafadha'a; abbootiin teenna ta durii jecha Mootii Waan Maraa waan hin eegatiniif, waan kitaaba Seeraa kana keessatti barreeffameefille waan hin ajajaminiif, mufiin Mootii Waan Maraa nu irratti dhangalaateerti» jedhe.
0e2216010e	Hilqiiya'aa fi namooti mootichi isa woliin erge sun gara raagittii, «Huldaa» jedhantuu dhaqanee isi'itti himane; isiin haadha manaa Shaalumii ilma Toqihatii, ka akaakoo Hasiraa, ka woyaa mootichaa eegu ti; isiin qachaa Yerusaalemii kutaa lammeesso'oo keessa leetiiyyu.
0e2217005b	Isiin isaaniin, «Namicha gara kiyya isin erge kanaan: Mootiin Waan Maraa Waaqi Israa'elii,
0e221800b6	‹Kunoo, ani Mootiin Waan Maraa balaa abaarsa kitaaba mootii Yihuda'aa duratti dubbifame keessatti barreeffame mara, addee tanaa fi kolbaa addee tana keessa jiranu irratti hin fida.
0e221900bf	Isaan na lakkisanee waaqota dhibi'iif hixaana waan aarsaneef, waan harki isaanii huje maraan tuttuqanee waan na aarsaneef, mufiin tiyya ta addee tana irratti dhangalaate hin dhaantu› jedha.
0e221a008b	Mooticha Yihuda'aa ka Mootii Waan Maraa gaafatiisaaf gara kiyya isin ergeen: Mootiin Waan Maraa Waaqi Israa'elii waan jecha dhageetteetiif,
0e221b00e1	‹Addee tanaa fi kolbaa addee tana keessa jirtu irratti jecha dubbatame yennaa dhageette, gadhaan keeti tuqamee, ifi gad qaddee, woyaa teetii tarsaattee, ana Mootii Waan Maraa duratti waan bootteef, anille si'iif dhage'eera.
0e221c0119	Kunoo, ati duutee abbootii teeti ta durii biratti nageyaan akka awwaalantu hin godha; addee tanaa fi kolbaa addee tana keessa jirtu irratti balaa ani fidu mara ilti teeti hin dhaggitu› jedha» jette; worri ergamane sunille deebi'anee deebii isiin kennite mara mootichatti himane.
0e221d005c	Achiin duuba Yosiyaasiin mootichi jaarsolee Yihuda'aatii fi Yerusaalemii mara wolitti qabee,
0e221e0103	kolbaa Yihuda'aa, kolbaa Yerusaalem keessa leetu, hayyootaa fi Lewwoota mara, kolbaa mara diqqa'aa fi guddaa woliin gara Galma Mootii Waan Maraa ol baye. Inni jecha Kitaaba Gondooro'oo ka Galma Mootii Waan Maraa keessatti dhaggamee san mara kolba'aaf dubbise;
0e221f0114	Mootichi Mootii Waan Maraa hordofiisaaf ajaja isaa, seerata isaatii fi seera isaa gadhaa tokkochaan, lubbuu ifii takkatti'iin eegatiisaaf, Gondooroo kitaaba kana keessatti barreenfantelle'eef ajajamiisaaf, utubaa ifii bira dhaabbatee Mootii Waan Maraa duratti gondooroo godhe.
0e222000de	Achiin duuba namooti Yerusaalemii fi lafa Beniyaaminii keessaa dhufane marti Gondooroo tanatti akka wolii galanu godhe; namooti Yerusaalemii akkuma Waaqi abbootii isaanii ta durii isaan ajajetti Gondooroo tana muummessane.
0e22210138	Mootichi Yosiyaasille waaqota dharaa diqachiisaa mara biyya Israa'elii mara keessaa balleessee, namooti Israa'el keessatti dhaggamanu marti Mootii Waan Maraa Waaqa ifii akka Waaqonfatanu godhe. Haga inni lubbu'uun jiru isaan Mootii Waan Maraa Waaqa abbootii ifii ta durii tajaajiliisa irraa duubatti hin deebine.
0e230100a8	Yosiyaas Yerusaalem keessatti Mootii Waan Maraatiif Jila Irra Dabaramaa jilise. Ji'a tokkeesso'oo, guyyaa kudhanii arfeesso'ootitti hoolichi Jila Irra Dabaramaa qalame.
0e23020074	Inni Galma Mootii Waan Maraa keessa akka tajaajilanuuf hayyoota jajjabeessee, hujii hujii isaaniititti isaan ramade.
0e23030166	Lewwoota worra Israa'eloota mara barsiisanuu fi worra Mootii Waan Maraatiif woyyoomeen, «Saanduqa Gondooro'oo woyyittii ta Mootii Waan Maraa, Galma Mootii Waan Maraa ka ilmi Daawitii, mootiin Israa'elii Solomoon ijaare keessa keya'a malee, gurmuu teessan irratti hin ba'atina'a! Ammalle Mootii Waan Maraa Waaqa keessanii fi kolbaa isaa Israa'el tajaajila'a!
0e230400b8	Akkuma seera mootiin Israa'elii Daawitii fi ilmi isaa Solomoon barreessiisaan seera isinii dhaabanetti, akka maatii maatii abbootii teessaniititti kutaa kuta'aan tajaajilaaf qophowa'a.
0e2305009b	Akka maatii maatii abbootii kolba'aa, obboleeyyan teessan worra kaaniititti, akka kutaa kutaa maatii abbootii Lewwootaatitti, addee woyyittii dhaabbadha'a.
0e230600b4	Ifi woyyoonsa'aatii hoolee Jila Irra Dabaramaa qala'a; akkuma Mootiin Waan Maraa karaa Muuse'eetiin ajaje, hoolee qalame san fira keessan kolbaa Israa'eliitiif qopheessa'a» jedhe.
0e230700f5	Achiin duuba Yosiyaasiin mootichi Jila Irra Dabaramaatiif, loon ifii irraa, tika hoole'ee fi re'ee ifii irraa buruusoo korbeeyyii hoole'eetii fi supheelee re'e'ee kuma soddoma, dardaroota kuma sad kolbaa achitti wolitti qabante san maraaf kenne.
0e230800ff	Sooressitooti isaalle fedha ifiitiin kolba'aaf, hayyootaa fi Lewwootaaf kennane. Sooreyyiin Galma Waaqaa Hilqiiyaan, Zakaariyaasii fi Yehii'el kennansa Jila Irra Dabaramaatiif dhikaatu hoole'ee fi re'ee'e kuma lamaa fi dhibba jaa, loon dhibba sad kennane.
0e230900e4	Qondaaltoti Lewwootaa Konaaniya'aa fi obboleeyyan isaa Shemaa'iyaa fi Nataani'el, akkasuma Hashabiiyaan, Yeyi'elii fi Yozaabaad kennansa Jila Irra Dabaramaatiif hoole'ee fi re'ee'e kuma shan, loon dhibba shan Lewwootaaf kennane.
0e230a0090	Hujiin marti yennaa qophootte akkuma mootichi ajajetti hayyooti addee ifiititti, Lewwootille addee addee ifii qabatanee tajaajilaaf dhaabbatane.
0e230b008b	Hooloti Jila Irra Dabaramaa gorra'amanee, Lewwooti gogaa irraa baasiisatti adoo jiranuu, hayyooti dhiiga hoolotaa ka fuudhane san fiffixxe.
0e230c00dc	Akkuma kitaaba Muuse'ee keessatti barreeffametti, kennansa gubamu Mootii Waan Maraatiif akka dhikeessanu, akka maatii maatii abbootii isaaniititti kolba'aaf kenniisaaf adda baasane; dardaroota looniille akkasuma godhane.
0e230d00a8	Lewwooti akkuma ajajamanetti hoolee Jila Irra Dabaramaa san woddane; kennansa woyyicha san okkote'etti, ibido'oo fi disti'itti iffeelanee ariiti'iin kolba'aaf geessane.
0e230e00ed	Duubarra ifiif, hayyootaafille qopheessane; hayyooti sanyii Aaronii kennansa gubamuu fi cooma ciinceffamu haga galgalaatitti dhikeessaa waan turanuuf, Lewwooti ifii fi hayyoota sanyii Aaroniitiif kennansa Jila Irra dabaramaa qopheessane.
0e230f0121	Faarsitooti sanyiin Asaafii akkuma Daawiti, Asaafi, Hemaanii fi Yedutuun raagichi mootichaa isaan ajajanetti addee ifii dhaabbatane; firri isaanii Lewwooti waan isaaniif barbaachisu waan isaaniif qopheessaneef, eeddoti karraa ta karra tokko tokko bira jiranu addee addee ifii hin lakkinne.
0e231000cf	Maarre Jila Irra Dabaramaa jilifatiisaan, kennansa gubamu addee ciinca'aa irratti Mootii Waan Maraatiif dhikeessiisaan, akkuma mootichi Yosiyaas ajajetti hujiin Mootii Waan Maraa marti guyyuma san muummotte.
0e2311008a	Yennaa san Israa'elooti addee sanitti dhaggamane Jila Irra Dabaramaa jilifatane; jila daabboo uukoo hin qanneelle guyyaa torba jilifatane.
0e2312014a	Bara Saamu'elii raagichaatii jalqabanee Israa'el keessatti jila Irra Dabaramaa ta akka kanaa jilifantee hin beekanu; mootota Israa'elii keessa mootichi Yosiyaas hayyoota, Lewwoota, Yihudootaa fi Israa'eloota mara, kolbaa Yerusaalemii worra addee sanitti dhaggamane woliin Jila Irra Dabaramaa ta akka kanaa jilifatanee hin beekanu.
0e2313005d	Jilti Irra Dabaramaa tun Yosiyaas mootii te'ee woggaa kudhanii saddeetesso'ootitti jilifante.
0e231400b7	Yosiyaas waan kana mara Galma Waaqaatiif hujeen duuba, mootiin Gibxi'ii Nekoon qachaa Karkemiishii ka laga Efraaxiisii biraatitti isa loliisaaf duule; Yosiyaasille isa loliisaaf baye.
0e23150103	Nekoon ammoo namoota isatti ergee, «Ee mootii Yihuda'aa! Anii fi ati maaf wol lolla? Ani diinota kiyya loliisaaf dhufe malee si loliisaafii moti; Waaqi akka ani ariifadhu na ajajeera, akka inni si hin balleessine Waaqa na woliin jiru kana hin mormin» jedhe.
0e231600b7	Yosiyaas ammoo nama dhibii fakkaatee isa loliisaaf baye malee duubatti hin deebine; dirree Megidootitti isa loliisaaf dhaqe malee waan ajaja Waaqaatiin Nekoon isatti hime hin caqanne.
0e23170091	Worri guube'een lolu daayaan mooticha Yosiyaas woraane; innille tajaajiltoota ifiitiin, «Ani akka malee madoweera, na fuudha'aa deema'a» jedhe.
0e23180145	Maarre tajaajiltooti isaa sun garreettaa fardaan harkifamu ka isaa irraa isa buusanee, garreettaa isaa ka fardaan harkifamu ka dhibii keessa keyanee gara Yerusaalemii isa geessane. Inni achumatti du'ee addee awwaala abbootii ifii ta duriititti awwaalame. Kolbaan Yihuda'aatii fi kolbaan Yerusaalemii marti Yosiyaasiif bowane.
0e23190109	Ermiyaasille faaruu gaddaa Yosiyaasiif baase; haga adhaalle faarfattooti dhiiraatii fi dubartootaa marti faaruu gaddaa ta ifii keessatti waan Yosiyaasii dubbatan. Wonni kun Israa'el keessatti akka seerataa teetee kitaabota wolaloo gaddaa keessatti barreeffanteerti.
0e231a0086	Akkuma seera Mootii Waan Maraa keessatti barreeffametti wonni dhibiin ta mootichi Yosiyaas hujee fi hujiin isaa ta jaalala bara baraa,
0e231b007b	hujiin isaa jalqabaa kaasee haga dhumaatitti kitaaba dabarsii mootota Israa'eliitii fi Yihuda'aa keessatti barreefanteerti.
0e24010071	Kolbaan Yihuda'aa ilma Yosiyaasii Yeho'ahaaz fuudhanee addee abbaa isaatitti Yerusaalem keessatti mootii godhane.
0e2402006b	Yeho'ahaaz yennaa mootii te'u nama woggaa diddamii sadii ti; inni Yerusaalem keessa tee'ee ji'a sad bulche.
0e240300cf	Achiin duuba mootiin Gibxi'ii barcumaa mootumma'aa ka Yerusaalem jiru irraa isa buusee, kolbaan Yihuda'aa meetii kiiloogiraama kuma sadii fi dhibba afur, worqii kiiloogiraamii soddomii afur gibira itti mure.
0e240400d5	Mootiin Gibxi'ii Nekoon obboleessa Yeho'ahaazii Eliyaaqim Yerusaalemii fi Yihudaa irratti mootii godhee, maqaa isaalle jijjiiree «Yehoyaaqiim» jedhe. Obboleessa Eliyaaqimii Yeho'ahaaz ammoo gara Gibxi'ii geesse.
0e240500c6	Yehoyaaqiim yennaa Yihudaa irratti mootii te'e nama woggaa diddamii shanii ti; inni Yerusaalem keessa tee'ee woggaa kudhanii tokko bulche. Inni Mootii Waan Maraa Waaqa ifii duratti waan hantuu huje.
0e24060085	Mootiin Baabilonii Nebukadnezaar Yihuda'atti duulee Yehoyaaqiim qabee gara Baabilonii isa geessiisaaf haachaba sageettu'uutiin hidhe.
0e2407006f	Nebukadnezaar meya Galma Mootii Waan Maraa garii fuudhee mana mootummaa ifii ka Baabilon keessaa keessa keyate.
0e240800f9	Wonni dhibiin ta mootichi Yehoyaaqiim huje, wonni diqachiittuun inni hujee fi wonni hantuun isatti dhufe marti kitaaba dabarsii mootota Israa'eliitii fi mootota Yihuda'aa keessatti barreeffanteerti; ilmi isaa Yehoyaakiin addee isaatitti mootii te'e.
0e240900b7	Yehoyaakiin yennaa mootii te'e nama woggaa kudhanii saddeetii ti; inni Yerusaalem keessa tee'ee ji'a sadii fi guyyaa kudhan bulche; innille Mootii Waan Maraa duratti waan hantuu huje.
0e240a0108	Woggaa keessa ji'a furmaataa Nebukadnezaariin mootichi namoota ergee, meya Galma Mootii Waan Maraa ka gatii guddo'oo woliin gara Baabilonii isa geesse. Achiin duuba obboleessa isaa ka abbaa diqqaa Zedeqiiya'aa biyya Yihuda'aatii fi Yerusaalem irratti mootii godhe.
0e240b0079	Zedeqiiyaan yennaa mootii te'e nama woggaa diddamii tokkoo ti; inni Yerusaalem keessa te'ee woggaa kudhanii tokko bulche.
0e240c008c	Innille Mootii Waan Maraa Waaqa ifii duratti waan hantuu huje. Jecha Mootii Waan Maraa ka dubbate Ermiyaasii raagicha duratti gad hin jenne.
0e240d00ae	Nebukadnezaarii mooticha maqaa Waaqaatiin isa kakachiise irratti finqila kaase. Inni ajajamuu didee, gadhaa jabaate malee gara Mootii Waan Maraa Waaqa Israa'elii hin deebine.
0e240e00cf	Itti dabalanee qondaaltoti hayyootaatii fi kolba'aa ka hin addatanne te'anee aadaa diqachiittuu gosa biyya adda addaa hordofanee, Galma Mootii Waan Maraa ka inni Yerusaalem keessatti woyyoonfate batteessane.
0e240f00ba	Mootiin Waan Maraa, Waaqi abbootii isaanii ta durii, kolbaa ifiitiif, Galma ifiitiifille marartii waan qabuuf, yennaa bacaa raagota ifii gara isaanii ergee, isaan ifi eeggachiiseeraayyu.
0e241000c5	Isaan ammoo haga mufiin Mootii Waan Maraa ta jalaa bayanee hin dandeenne kolbaa isaatitti dhuttetti, ergantoota Mootii Waan Maraa irratti murganee, jecha isaalle tuffatanee raagota isaa salphisane.
0e2411013f	Tanaaf Mootiin Waan Maraa mootii Baabilonii isaan irratti kakkaasee, inni dargaggoota dhiira isaanii addee woyyittii keessatti shallaaga'aan ijjeese; ijoollee dhiiraatii fi ta durraa, jaarsa dulloome yookiin gergeshe maraafille gadhaa hin laanne. Mootiin Waan Maraa isaan mara harka Nebukadnezaariititti dabarsee kenne.
0e241200ba	Nebukadnezaar meya Galma Mootii Waan Maraa gugurda'aa fi didiqqaa mara, qabeenna Galma Waaqaa, qabeenna mana mootumma'aatii fi qondaaltota mootichaa mara fudhatee gara Baabilonii geesse.
0e241300a8	Isaan Galma Waaqaa ibiddaan gubanee, dalleya qachaa Yerusaalemiille diiganee, mana mootumma'aa isaa mara ibiddaan gubanee, meya gatii guddo'oo ka isaa mara balleessane.
0e241400af	Inni worra shallaagaa jalaa miliqee hafe booji'ee gara Baabilonii geessee, isaan haga mootummaan worra Faaresii dhaabantetti, tajaajiltoota mootichaatii fi ilmaan isaa te'ane.
0e241500e9	Akkasiin jechi Mootii Waan Maraa ka karaa Ermiyaasii raagichaatiin dubbatame muummowee, woggaa torbaatama haga isaan biyya itti booji'amane keessa le'anu kana mara latti ontee, foora Sanbataa ka woggaa torbaa ka dur dhadde dhaggatte.
0e24160105	Jechi Mootiin Waan Maraa karaa Ermiyaasii raagichaatiin dubbate akka muummowu, mootiin Faaresii Qiiros mootii te'ee woggaa tokkeesso'ootitti, Mootiin Waan Maraa yaadaa isaa kakkaase; tanaaf inni mootummaa ifii mara keessa lassii lassiisee, barreeffamaan baasee,
0e24170141	mootiin Faaresii Qiiros, «Mootiin Waan Maraa Waaqi ol-gubba'aa, mootummaa biyya lafaa mara naaf kennee, Yerusaalemii Yihudaa keessaatitti, Galma isaa akka ijaaruuf na ajajeera; kolbaa isaa keessaa nama odduu teessan jiru, Mootiin Waan Maraa Waaqi isaa isa woliin jiraatuu ti; innille gara Yerusaalemii dhaquu ti» jedhe.
0f00000007	Izra'aa
0f010100ee	Dubbiin Mootiin Waan Maraa karaa Ermiyaasii raagichaatiin dubbate akka muummottu, mootichi Faaresii Qiiros mootii te'ee woggaa tokkeesso'ootitti, akka inni lassii lassiisee barreeffamalle'een baasu Mootiin Waan Maraa yaada isaa kakkaasee,
0f010200b1	«Mootiin Faaresii Qiiros, ‹Mootiin Waan Maraa Waaqi ol-gubba'aa mootummaa biyya lafaa mara na kenneera; Yerusaalemii Yihudaa keessaatitti, Galma isaa akka ijaaru na ajajeera.
0f010300e5	Kolbaa isaa keessaa nama odduu teessan jiru mara, Waaqi isaa isa woliin jiraatuu ti; inni gara qachaa Yerusaalemii ka Yihudaa keessa jiruu ol bayee, Waaqa achi jiruuf, Galma Mootii Waan Maraa Waaqa Israa'elii deebisee ijaaruu ti.
0f010400e7	Worri addee booju'uutitti hafe marti addee jiranu mara keessaa, kennansaa fedhii ifiitiin Galma Waaqaa ka Yerusaalem keessa jiruuf kennanuun ala, meeti'ii fi worqii, meyaa fi horii kenniisaan isa qarqaaranuu ti› jedheera» jedhe.
0f010500ca	Achiin duuba maatii Yihuda'aatii fi Benyaaminii keessaa angafooti, hayyootii fi Lewwooti, nami Waaqi yaada isaa kakkaase marti dhaqee Galma Waaqaa ka Yerusaalem keessa jiru deebisee ijaariisaaf qophowe.
0f010600bf	Worri adaala isaanii jiru martinuu, kennansa fedhii ifiitiin kennanuun ala, meya meeti'ii fi worqii irraa hujame, meya adda addaa, meya gatii guddo'ootii fi horii kenniisaan isaan qarqaarane.
0f01070086	Kana maleelle mootichi Qiiros, meya Galma Waaqaa ka Nebukadnezaar Yerusaalemii fudhatee galma waaqota ifii keessa keyateeru gad baase.
0f010800a0	Mootiin Faaresii Qiiros meya san namicha meya mana mootumma'aa eegu Miitradaatitti kennee, bulchaa Yihuda'aa ka te'e Sheshibazaar duratti akka laakkowamu kenne.
0f010900a4	Mey laakkowame sun ka asii gad jiru: Qoriin gugurdoon worqii irraa hujante soddoma; Qoriin gugurdoon meetii irraa hujante kuma tokko; Qoriin dhibiin diddamii sagal;
0f010a00a4	Qoriin didiqqoon worqii irraa hujante soddoma; Qoriin didiqqoon meetii irraa hujante ta wol fakkaattu dhibba afurii fi kudhan. Mey adda addaa ka dhibiin kuma tokko.
0f010b00ac	Mey worqi'iitii fi meeti'ii wolumatti kuma shanii fi dhibba afur. Worri booji'ame Baabilon irraa gara Yerusaalemii yennaa deebi'e, Sheshibazaar meya kana mara fuudhee baye.
0f0201008e	Mootiin Baabilonii Nebukadnezaar gara Baabilonii worra booji'e keessaa, worri gara qachoota ifii Yerusaalemii fi Yihuda'aa deebi'e isaan kana:
0f020200f8	isaan sooressitoota ifii Zarubaabel, Iyaasuu, Nahimiyaa, Seraayaa, Re'elaayaa, Mordekaayi, Biilshaan, Miisphaar, Biigwaayi, Rehuumii fi Ba'anaa woliin deebi'ane. Kolbaa Israa'elii keessaa worri boojuu irraa deebi'e, laakkossi isaanii asii gad jira:
0f02030042	Sanyiin Faareshii kuma lamaa fi dhibba tokkoo fi torbaatamii lama;
0f02040037	sanyiin Shephaaxiya'a dhibba sadii fi torbaatamii lama;
0f0205002f	sanyiin Araa dhibba torbaa fi torbaatamii shan;
