0100000006	Kinohi
181d040095	Penei ka olelo ana mai a Iehova o na kaua, ke Akua o ka Iseraela, i ka poe a pau i lawepioia, na mea a'u i lawepio ai, mai Ierusalema aku a Babulona;
181d05004d	E kukulu hale oukou, a e noho iho; e kanu i na mahinaai, a e ai i kolaila ai:
181d060115	E mare i na wahine, a e hoohanau i na keikikane, a i na kaikamahine; a e lawe i na wahine na ka oukou poe keikikane, a e haawi aku hoi i ka oukou mau kaikamahine e mare i na kane, i hanau mai lakou i na keikikane, a i na kaikamahine; i kawowo oukou malaila, aole hoi e emi iho.
181d07009e	A e imi oukou i ka mea e malu ai ke kulanakauhale, kahi a'u i lawepio ai ia oukou, a e pule aku oukou ia Iehova nona; no ka mea, ma kona malu oukou e malu ai.
181d0800e7	No ka mea, penei ka olelo ana mai a Iehova o na kaua, ke Akua o ka Iseraela; Mai puni oukou i ko oukou mau kaula, a me ko oukou mau kilokilo, na mea iwaenakonu o oukou; mai hoolohe hoi oukou i ko oukou moeuhane a oukou e hoomoe ai.
181d090067	No ka mea, ke wanana wahahee nei lakou ia oukou ma ko'u inoa. Aole au i hoouna ia lakou, wahi a Iehova.
181d0a00da	No ka mea, ke olelo mai nei o Iehova penei, Mahope o ka pau ana o na makahiki he kanahiku ma Babulona, alaila, e ike aku no au ia oukou, a e hooko i ka'u olelo maikai ia oukou, i ka hoihoi ana mai ia oukou i keia wahi.
181d0b00ab	No ka mea, ua ike no wau i na manao a'u e manao nei ia oukou, wahi a Iehova, he mau manao no ka hoomalu, aole no ke ahewa, e haawi ia oukou i hope maikai, a me ka hoolana.
181d0c0062	Alaila oukou e hea mai ai ia'u, a e hele hoi oukou, a e pule mai ia'u, a e hoolohe no au ia oukou.
181d0d0059	A e imi mai no oukou ia'u a loaa, i ka wa e imi mai ai oukou ia'u me ko oukou naau a pau.
181d0e0121	A e loaa no wau ia oukou, wahi a Iehova, a e hoihoi aku au i ko oukou lawepioia; a e hoiliili hoi au ia oukou mai na aina a pau mai, a mai na wahi a pau mai, hahi a'u i kipaku aku ai ia oukou, wahi a Iehova; a e lawe hou no wau ia oukou i kahi malaila aku no wau i lawepio aku ai ia oukou.
181d0f0055	No ka mea, ua olelo oukou, Na Iehova no i hoala mai i mau kaula no kakou ma Babulona.
181d1000d1	No ka mea, ke olelo mai nei o Iehova no ke alii e noho ana ma ka noho alii o Davida, a no na kanaka a pau e noho la iloko o keia kulanakauhale, a no ko oukou poe hoahanau i hele pu ole me oukou iloko o ke pio;
181d1100da	Ke olelo mai nei o Iehova o na kaua penei; Aia hoi, e hoouna au i ka pahikaua maluna o lakou, a me ka wi, a me ka mai ahulau, a e hoolilo wau ia lakou e like me na fiku inoino, pono ole ke aiia, no ko lakou inoino loa.
181d12011c	A e hahai no wau ia lakou i ka pahikaua, a me ka wi, a me ka mai ahulau, a e haawi no wau ia lakou a pau e laweia a iloko o na aupuni a pau o ka honua, i mea e poino ai, a i mea pilihua, a i mea hoowahawaha, a i mea henehene, iwaeua o na aina a pau, kahi a'u i kipaku aku ai ia lakou:
181d1300dc	No ka mea, aole lakou i hoolohe mai i ka'u mau olelo, wahi a Iehova, na olelo a'u i hoouna aku ai ia lakou ma ka'u mau kauwa, ma na kaula hoi, e ala ana i ka wanaao e hoouna, aka, aole oukou i hoolohe mai, wahi a Iehova.
181d14007b	E hoolohe hoi oukou i ka olelo a Iehova, e oukou a pau o na mea pio, na mea a'u i hoouna aku ai, mai Ierusalema a Babulona:
181d15013e	Penei ka olelo ana mai a Iehova o na kaua, ke Akua o ka Iseraela, no Ahaba, ke koiki a Kolaia, a no Zedekia, ke keiki a Maaseia, na mea i wanana mai i ka wahahee ia oukou ma ko'u inoa; Aia hoi, e haawi no wau ia laua iloko o ka lima o Nebukaneza, ke alii o Babulona; a e pepehi no oia ia laua imua o ko oukou mau maka:
181d1600d1	A ma o laua la e laweia'i ka olelo hoino e ka poe pio a pau o ka Iuda, na mea ma Babulona, me ka olelo iho, Na Iehova e hoohalike ia oe me Zedekia, a me Ahaba, na mea a ke alii o Babulona i ohinu ai ma ke ahi;
181d1700f3	No ka mea, ua hana laua i ka mea lapuwale maloko o ka Iseraela, a ua moe kolohe me na wahine a ko lakou hoalauna, a ua olelo i na olelo wahahee ma ko'u inoa, na mea a'u i kauoha ole ai ia lakou; ua ike no wau, a he hoike no hoi, wahi a Iehova.
181d18003c	E olelo aku no hoi oe ia Semaia, i ka mea moeuhane, e i aku,
181d1900ef	Ke olelo mai nei o Iehova o ua kaua, ke Akua o ka Iseraela penei, me ka i ana mai, No ko hoouka ana i na palapala ma kou inoa i na kanaka a pau ma Ierusalema, a ia Zepania, ke keiki a Maaseia, ke kahuna, a i na kahuna a pau, i ka i ana ae,
181d1a010f	Ua hoolilo o Iehova ia oe i kahuna, ma ka hakahaka o Iehoiada, ke kahuna, i mea e noho luna'i oukou maloko o ka hale o Iehova, no kela kanaka keia kanaka hewa-hewa, a hoolilo ia ia iho i kaula, i mea e hahao aku ai oe ia ia iloko o ka halepaahao, a iloko o na laau kupee:
181d1b006c	A ano la, no keaha la oe i papa ole aku ai ia Ieremia no Anetota, ka mea hoolilo ia ia iho i kaula no oukou?
181d1c00b5	No ka mea, nolaila ia i hoouna mai ai io makou ma Babulona nei, i ka i ana mai, Ua loihi keia noho ana; e kukulu hale oukou, a e noho iho; e kanu i ua mahinaai, a e ai i kolaila ai.
181d1d0059	A heluhelu aku la o Zepania, ke kahuna i keia palapala ma na pepeiao o Ieremia, ke kaula.
181d1e003e	Alaila, hiki mai la ka olelo a Iehova io Ieremia la, i mai la,
181d1f00d8	E hoouna aku, a i ka poe a pau e noho pio ana, e i aku, Penei ka olelo ana mai a Iehova no Semaia, ka mea moeuhane; No ko Semaia wanana ana ia oukou, a hoouna ole aku au ia ia, a hoohilinai oia ia oukou i ka wahahee;
181d20012c	Nolaila, ke olelo mai nei o Iehova penei, Aia hoi, e hoopai no wau ia Semaia, ka mea moeuhane, a me kana hua; aole e loaa ia ia ke kanaka e noho mawaena o keia poe kanaka; aole hoi oia e ike i ka maikai a'u e hana'i no ko'u poe kanaka, wahi a Iehova; no ka mea, ua ao aku oia i ke kipi ana ia Iehova.
181e01003e	KA olelo i hiki mai io Ieremia la, mai o Iehova mai, i mai la,
181e020080	Ke olelo mai nei o Iehova, ke Akua o ka Iseraela penei, i mai, E kakau oe i na olelo a pau a'u i olelo ai ia oe iloko o ka buke.
181e0300fb	No ka mea, aia hoi, e hiki mai ana na la, wahi a Iehova, e hoihoi no wau i ke pio ana o ko'u poe kanaka, o ka Iseraela, a me ka Iuda, wahi a Iehova; a e hoihoi aku wau ia lakou i ka aina a'u i haawi aku ai i ko lakou poe makua, a e noho lakou ia aina.
181e040041	Eia no na olelo a Iehova i olelo ai no ka Iseraela, a no ka Iuda.
181e050076	No ka mea, ke olelo mai nei o Iehova penei; Ua lohe no makou i ka leo o ka pihoihoi, a me ka makau, aole o ka maluhia.
181e0600e8	E ninau hoi oukou, i ike oukou, ina paha e hanau ai ke kane i keiki No ke aha la wau e ike nei i kela kanaka i keia kanaka, e kau ana kona mau lima ma kona puhaka, e like me ka wahine e haakohi ana, a ua nananakea hoi na maka a pau?
181e07008d	Auwe! no ka mea, he la nui ia, aohe mea e like mea ia, o ka manawa no ia o ka popilikia o ka Iakoba; aka, e hoolaia no oia, mailoko mai o ia.
181e0800b5	No ka mea, a hiki i kela la, wahi a Iehova o na kaua, e uhai no wau i kona auamo, mai kou a-i aku, a e moku hoi ia'u kou mau mea i paa ai, aole hoi ia e hookauwa hou na na malihini:
181e09006c	Aka, e hookauwa no lakou na Iehova, ko lakou Akua, a na Davida ko lakou alii, ka mea a'u e hoala'i no lakou.
181e0a011d	Nolaila, mai makau oe, e kuu kauwa, e Iakoba, wahi a Iehova, mai weliweli hoi, e ka Iseraela; no ka mea, aia hoi, e hoola no wau ia oe, mai kahi loihi aku, a i kau hua hoi, mai ka aina o ko lakou pio ana; a e hoi mai no o Iakoba, a e hoomaha no, a e maluhia, aohe mea e hoomakau ia ia.
181e0b00ed	No ka mea, owau pu no me oe, wahi a Iehova, e hoola ia oe. A ina e hooki loa paha wau i ko na aina a pau, kahi a'u i hoopuehu aku ia oukou, aole wau e hooki loa ia oe; aka, e hoopai no wau ia oe ma ka pono, aole wau e kuu wale aku ia oe.
181e0c005e	No ka mea, ke olelo mai nei o Iehova penei, He mea ola ole kou palapu, ua nui loa hoi kou eha.
181e0d0043	Aohe mea hooponopono i kou hihia, e wahi ana, aole ou laau e ola'i.
181e0e00ce	Ua poina kou mau mea aloha a pau ia oe, aole lakou imi ia oe; no ka mea, ua hooeha aku au ia oe i ka eha o ka enemi, me ka paipai ana hoi o ka mea lokoino, no ka nui loa o kou hewa; ua mahuahua no kou hala.
181e0f00a5	No keaha la oe i kahea aku ai no kou palapu? He mea ola ole kou eha, no ka mai loa o kou hewa; i ka mahuahua ana o kou mau hala, ua hana no wau i keia mau mea ia oe.
181e1000f2	Nolaila, o ka poe a pau i hoopau ia oe, e hoopauia lakou; a e hele no kela mea, keia mea o kou poe enemi a iloko o ke pio ana; a o ka poe i lawe pio i kau, e lilo lakou i waiwai pio, a o ka poe i hao i kau, e haawi no wau ia lakou i ka haoia.
181e1100b8	No ka mea, e hoihoi aku au i ke ola ia oe, a e hoola no wau ia oe i kou mau eha, wahi a Iehova: no ka mea, kapa aku lakou ia oe, he Kuewa, o Ziona hoi keia, ka mea imi ole ia e kekahi.
181e1200ec	Ke olelo mai nei o Iehova penei; Aia hoi, e hoihoi no wau i ke pio ana o na halelewa o Iakoba, a e lokomaikai aku au i kona mau wahi e noho ai; a e hana hou ia ke kulanakauhale maluna o kona puu iho, a e koe no ka halealii ma kona pono.
181e1300b6	A mailoko aku o ia e puka aku ai ka hoomaikai, a me ka leo o ka poe olioli; a e hoomahuahua wau ia lakou, aole lakou e lilo i uuku, a e hoonani wau ia lakou, aole lakou e liilii ana.
181e140093	A e like auanei ka lakou poe keiki me ka wa mamua, a e hookupaaia ko lakou anaina imua o'u, a e hoopai no wau i ka poe a pau e hookaumaha ia lakou.
181e1500f3	A no lakou iho auanei ko lakou poe luna, a e laha aku no ko lakou kiaaina mailoko aku o lakou; a e lawe mai no wau ia ia a kokoke, a e hookokoke mai no oia ia'u; no ka mea, owai keia i hooikaika i kona naau e hookokoke mai ia'u? wahi a Iehova.
181e16003e	A o oukou auanei ko'u poe kanaka, a owau auanei ko oukou Akua.
181e17008d	Aia hoi, ke puka aku nei ka puahiohio o Iehova me ka huhu, he puahiohio e hoopau ana; me ka eha no ia e kau ai maluna o ke poo o ka poe hewa.
181e18007d	Aole e hoi hou ka huhu nui o Iehova, a hana oia, a hooko oia i ka makemake o kona naau. I na la mahope, e noonoo no oukou ia.
181f010070	I A manawa, wahi a Iehova, owau auanei ke Akua o na ohana a pau o ka Iseraela, a o lakou auanei ko'u poe kanaka.
181f0200a3	Ke i mai nei o Iehova penei, O na kanaka i koe o ka pahikaua, loaa no ia lakou ka lokomaikai ma ka waonahele, o ka Iseraela hoi, ia'u i hele ai e hoomaha ia lakou.
181f030086	I ka wa kahiko, ikea o Iehova ia'u, i mai la, Oiaio, ua mau loa ko'u aloha aku ia oe; nolaila, ua hooloihi aku au i ka lokomaikai nou.
181f0400b0	E kukulu hou ana no wau ia oe, a e kukuluia no oe, e ke kaikamahine puupaa o ka Iseraela. E kahiko hou ia no oe i kou mau pahu kani, e hele aku no i ka haa ana o ka poe olioli.
181f050062	E kanu hou ana no oe i na kumuwaina ma na mauna o Samaria; e kanu no ka poe kanu, a e ai wale hoi.
181f0600a4	No ka mea, e hiki mai auanei ka la e hea aku ai ka poe kiai maluna o ka mauna o Eperaima, E ala mai oukou, a e pii aku kakou i Ziona, io Iehova la, i ko kakou Akua.
181f0700cf	No ka mea, ke olelo mai nei o Iehova penei; E mele olioli no Iehova, a e hauoli hoi ma ke poo o na aina; e kala aku, a e halelu, a e olelo iho, E Iehova, e hoola oe i kou poe kanaka i ke koena o ka Iseraela.
181f0800fe	Aia hoi, e lawe no wau ia lakou, mai ka aina o ke kukulu akau mai, a e hoiliili hoi ia lakou, mai na mokuna mai o ka honua, me lakou pu no, ka poe makapo, a me ka poe oopa, a me ka wahine hapai, a me ka wahine hanau keiki ana; he poe nui ka i hoi pu mai.
181f0900ed	E hele mai no lakou me ka uwe, ia lakou e pule ai, e alakai no wau ia lakou; e hoohele no wau ia lakou ma na kahawai, ma ke ala pololei; aole lakou e kulanalana malaila, no ka mea, he Makua no wau no ka Iseraela, a o Eperaima ka'u hiapo.
181f0a00df	E hoolohe oukou i ka olelo a Iehova, e ko na aina, a e kala aku hoi ma na aina loihi e aku, a e olelo, O ka mea i hoopuehu i ka Iseraela, nana no lakou e hoiliili, a e malama ia lakou, e like me ke kahuhipa i kona poe hipa.
181f0b0077	No ka mea, ua hoolapanai o Iehova ia Iakoba me ka uku hoopakele ia ia, mailoko mai o ka lima i oi aku ka ikaika i kona.
181f0c010a	A e hele mai no lakou a e oli ma kahi kiekie o Ziona, a holo pu no lakou i ka maikai o Iehova, no ka huapalaoa, a no ka waina, a no ka aila, a no na keiki o na hipa, a me na bipi; a e like auanei ko lakou uhane me ka mahinaai i mau; aole loa lakou e kaumaha hou aku.
181f0d00e6	Alaila, e olioli no ka wahine puupaa ma ka haa ana, o na kanaka opiopio a me na elemakule pu; no ka mea, e hoololi au i ko lakou kaumaha ana i olioli, a e hoomaha au ia lakou, a e hoohauoli ia lakou mailoko mai o ko lakou kaumaha.
181f0e0074	A hoomaona aku au i ka uhane o na kahuna i ka momona, a e maona auanei ko'u poe kanaka i ko'u maikai, wahi a Iehova.
181f0f00c2	Ke i mai nei o Iehova penei; Ua loheia ka leo ma Rama, he pihe, a me ka uwe nui ana; e uwe ana o Rahela no kana mau keiki, a hoole oia, aole e na no kana mau keiki, no ka mea, aole ae nei lakou.
181f1000c4	Ke i mai nei o Iehova penei; E uumi oe i kou leo i ka uwe ana, a me kou mau maka i ua waimaka; no ka mea, e ukuia no kau hana. wahi a Iehova; a e hele hou mai no lakou, mai ka aina mai o ka enemi.
181f110060	He lana no ka manao i kou hope, wahi a Iehova, i hele hou mai no na keiki i ko lakou mokuna iho.
181f1200c8	Oiaio no ua lohe au ia Eperaima e olo pihe ana, Ua paipai mai oe ia'u, a ua paipaiia mai au, e like me ka bipi maa ole. E hoohuli oe ia'u, a e hoohuliia no wau, no ka mea, o oe no o Iehova, ko'u Akua.
181f1300cb	No ka mea, mahope o ko'u hoohuliia, mihi no wau; a mahope o ko'u aoia mai, hahau no wau i ko'u uha. Hilahila no wau, oia, hoopalaimaka no hoi, no ka mea, kaikai no wau i ka hoowahawaha o ko'u wa opiopio.
181f1400fb	O Eperaima anei ka'u keiki aloha? He keiki anei ia e olioli ai? No ka mea, mai ka wa mai o kau olelo ku e ana ia ia, he oiaio, ke hoomanao mau nei au ia ia: nolaila, e haehae nei ko'u opu nona; he oiaio no e lokomaikai aku no wau ia ia, wahi a Iehova.
181f1500ca	E kukulu oe i ahu, a hana hoi i puu kiekie nou; e kau oe i kou naau ma ke kuamoo, ma ke ala au i hele ai. E huli hou oe, e ke kaikamahine puupaa o ka Iseraela, e huli hou oe i keia mau kulanakauhale ou.
181f16009a	Pehea la ka loihi o kou aea ana aku, e ke kaikamahine hoi hope? No ka mea, ua hana o Iehova i ka mea hou ma ka honua, na ka wahine no e hoomalu i ke kane.
181f170123	Penei ka olelo ana mai a Iehova o na kaua, ke Akua o ka Iseraela; E olelo hou no lakou i keia mau olelo ma ka aina o ka Iuda, a ma kolaila mau kulanakauhale, i ka wa a'u e hoihoi ai i ko lakou pio ana; Na Iehova e hoopomaikai ia oe, i kahi e noho ai o ka hoopono, ka mauna hoi o ka hemolele.
181f180080	A e noho pu no maloko olaila, ma ka Iuda hoi, a maloko o kolaila mau kulanakauhale a pau ka poe mahiai, a me ka poe malama hipa.
181f19005e	No ka mea, ua hooana aku au i ka uhane i makewai, a ua hoomaona wau i na uhane a pau i niuniu.
181f1a0046	Alaila, ala iho la au, a nana ae la, a ua oluolu ko'u hiamoe ana ia'u.
181f1b0083	Aia hoi, e hiki mai ana na la, wahi a Iehova, e lulu iho ai au i ka ohana a Iuda, i ka hua a ke kanaka a me ka hua a ka holoholona.
181f1c00bb	A e like no me ka'u i kiai iho ai maluna o lakou, e uhuki ae, a e uhai iho, a e hoohiolo, a e luku, a e hoopilikia; pela no hoi au e kiai ai maluna iho, e kukulu, a e kanu, wahi a Iehova.
181f1d006d	Ia mau la la, aole lakou e olelo hou ae, Ua ai na makuakane i ka huawaina awahia, a ua oi na niho o na keiki.
181f1e0089	Aka, e make auanei kela mea keia mea no kona hewa iho: o kela kanaka keia kanaka e ai ana i ka huawaina awahia, o kona mau niho no ke oi.
181f1f0079	Aia hoi, e hiki mai ana na la, wahi a Iehova, e hana aku ai au i berita hou me ka ohana a Iseraela, a me ka ohana a Iuda:
181f2000fc	Aole e like ana me ka berita a'u i hana aku ai me ko lakou poe makaukane, i ka la a'u i lalau aku ai ia lakou ma ka lima, e lawe ia lakou mai ka aina o Aigupita mai; o ua berita la a'u ka lakou i uhai ai, ia'u i noho ai he Kane na lakou, wahi a Iehova:
181f2100e9	Aka, o keia ka berita a'u e hana'i me ka ohana a Iseraela; Mahope iho o ia mau la, wahi a Iehova, e kau no wau i ko'u kanawai maloko o lakou, a e kakau iho ma ko lakou naau; a owau auanei ko lakou Akua, a o lakou hoi ko'u poe kanaka.
181f220158	Aole lakou e ao hou aku o kela mea keia mea i kona hoalauna, a o kela mea keia mea i kona hoahanau, e olelo ana, E ike ia Iehova; no ka mea, e ike auanei lakou a pau ia'u, mai ka mea liilii loa o lakou a hiki i ko lakou mea nui loa, wahi a Iehova; no ka mea, e kala aku auanei au i ko lakou hala, aole hoi au e hoomanao hou aku i ko lakou hewa.
181f2300ca	Penei ka olelo a Iehova, a ka mea haawi mai i ka la i lama no ke ao, a me na kanawai no ka mahina a me na hoku ma ka po, o ka mea hoaleale hoi i ke kai a halulu kona mau ale; o Iehova Sabaota kona inoa.
181f24009a	Ina e neenee aku keia mau kanawai mai ko'u alo aku, wahi a Iehova, alaila e pau auanei na mamo a Iseraela, aole ia he lahuikanaka imua o'u, a mau loa aku.
181f2500d4	Ke olelo mai nei o Iehova penei; Ina e hiki ke anaia ka lani iluna, a e huliia hoi na kumu o ka honua ilalo, alaila, e haalele no au i na mamo a pau o ka Iseraela, no na mea a pau a lakou i hana'i, wahi a Iehova.
181f260090	Aia hoi, e hiki mai ana na la, wahi a Iehova, e kukuluia'i ke kulanakauhale no Iehova, mai ka halekiai o Hananeela a hiki i ka pukapa o ke kihi.
181f270050	A e hele aku ke kaula-ana ma o aku maluna o ka puu Gareba, a e poai mai i Goata.
181f2800d8	A o ke awawa a pau o na kupapau, a o ka lehuahi, a o na kula a pau a hiki i kahawai o Kiderona, a hiki i ka puka lio ma ka hikina, e laa ia no Iehova; aole ia e uhuki hou ia, aole hoi e hoohiolo hou ia a mau loa aku.
1820010096	KA olelo i hiki mai io Ieremia la mai o Iehova mai la, i ka umi o ka makahiki o Zedekia ke alii o ka Iuda, oia ka makahiki umikumamawalu o Nebukaneza.
18200200ab	Ia manawa, hoopilikia mai la ka poe kaua o ke alii o Babulona ia Ierusalema: a ua hoopaaia o Ieremia ke kaula ma kahi paa o ka halepaahao iloko o ka hale o ke alii o Iuda.
18200300fd	No ka mea, hoopaa iho la o Zedekia ke alii o Iuda ia ia, e olelo mai ana, No ke aha la oe e wanana mai nei, i ka i ana mai, Penei ka olelo a Iehova, Aia hoi e haawi aku no au i keia kulanakauhale iloko o ka lima o ke alii o Babulona, a nana ia e hoopio:
18200400e3	Aole hoi e pakele o Zedekia ke alii o Iuda mai ka lima aku o ka poe Kaledea; he oiaio e haawiia oia iloko o ka lima o ke alii o Babulona, a e kamailio oia me ia he waha he waha, a e ike auanei kona mau maka i ko ia la mau maka;
182005009f	A e kai aku oia ia Zedekia i Babulona, a ilaila oia e noho ai a ike hou au ia ia, wahi a Iehova: ina e kaua aku oukou me ka poe Kaledea, aole oukou e pomaikai.
1820060046	Olelo ae la o Ieremia, Hiki mai la ka olelo a ke Akua io'u nei, i mai,
18200700ba	Aia hoi, e hele mai ana iou la o Hanameela ke keiki a Saluma kekahi makuakane ou, e i mai ana, E kuai oe nou i kuu aina ma Anatota; no ka mea, o ka pono no ka hoopanai, nou no ia e kuai.
1820080164	A hele mai la io'u nei o Hanameela ke keiki a kekahi makuakane o'u, iloko o ka pahale o ka halepaahao, e like me ka olelo a ke Akua; i mai la ia ia'u, Ke noi aku nei au ia oe, e kuai oe i kuu aina ma Anatota ma ka moku o ka Beniamina; no ka mea, nou no ka hooili ana, a nou hoi ka hoopanai ana; e kuai oe nou. Alaila, ike iho la au o ka olelo ia a ke Akua.
18200900a4	A kuai iho la au i ka aina me Hanameela ke keiki a kekahi makuakane o'u, ka mea i noho ma Anatota, a kaupaona iho nona i ke kala, i na sekela kala he umikumamahiku.
18200a0084	Kakau iho la au ma ka palapala, a hoopaa iho la i ka wepa, a lawe iho la na mea ike maka, a kau iho la i ke kala ma na mea kaupaona.
18200b008b	Lawe ae la au i ka palapala hoike i ke kuai ana, i ka mea i paa i ka wepa, a me ka mea i hoopaa ole ia, mamuli o ke kanawai a me ka oihana;
18200c0136	A haawi aku la au i ka palapala hoike i ke kuai ana ia Baruka ke keiki a Neria, ke keiki a Maaseia, ma ke alo o Hanameela ke keiki a kekahi makuakane o'u, a ma ke alo hoi o na mea hoike, o ka poe i kakau inoa ma ka palapala o ke kuai ana, imua hoi o ka poe Iudaio a pau e noho ana ma ka pahale o ka halepaahao.
18200d0032	Kauoha aku la au ia Baruka imua o lakou, i aku la,
18200e00fc	Ke olelo mai nei o Iehova o na kaua ke Akua o ka Iseraela penei; E lawe i keia mau palapala hoike, o ka palapala no ke kuai ana i paa i ka wepa, a me keia palapala hoike aole i paa, a e hahao iloko o ka ipu lepo, i malamaia'i ia mau mea i na la he nui.
18200f008a	No ka mea, ke olelo mai nei o Iehova o na kaua, ke Akua o ka Iseraela, penei; E komo hou ia na hale, na aina a me na pawaina ma keia aina.
1820100072	A pau ae la i ka haawiia o ka palapala hoike ia Baruka ke keiki a Neria, pule aku la au ia Iehova, i ka i ana aku,
182011008c	Auwe, e ka Haku, e Iehova e! aia hoi, nau no i hana ka lani a me ka honua, ma kou mana nui, a me ka lima kakauha, aohe mea i hiki ole ia oe.
18201200c6	Ke hoike mai nei oe i ka lokomaikai i na tausani, a ke hoopai nei hoi i ka hala o na makua maloko o ka poli o ka lakou mau keiki mahope o lakou; ke Akua nui a me ka mana, o Iehova Sabaota kona inoa.
18201300de	He nui ka naauao, he mana hoi i ka hana: no ka mea, e kaakaa ana kou mau maka maluna iho o na aoao a pau o na keiki a kanaka; e uku mai i kela mea i keia mea e like me kona mau aoao, a e like hoi me ka hua o kana hana ana;
18201400bb	Ka mea nana i hoonoho i na hoailona a me na mea kupaianaha ma ka aina o Aigupita, a hiki i neia la, iloko hoi o ka Iseraela, a iwaena o kanaka; a i hookaulana i kou inoa, me ia i keia la;
18201500af	A i lawe mai i kou poe kanaka o ka Iseraela mai ka aina o Aigupita mai me na hoailona, a me na mea kupaianaha, a me ka lima ikaika, a me ka lima kakauha, a me ka weliweli nui;
1820160089	A haawi mai la no lakou i keia aina, au i hoohiki ai i ko lakou poe kupuna e haawi mai no lakou, he aina e kahe ana ka waiu a me ka meli;
18201700f4	A komo mai la lakou a noho iho la; aka, aole lakou i hoolohe i kou leo, aole hoi i hele ma kou kanawai: aole lakou i hana iki i ka mea a pau au i kauoha mai ai ia lakou e hana; nolaila ua kau mai ai oe i keia popilikia a pau maluna iho o lakou.
1820180108	Aia hoi na puu kaua, ua hiki mai i ke kulanakauhale e lawepio ia ia, a ua haawiia ke kulanakauhale iloko o ka lima o ka poe Kaledea e kaua ku e mai ana, no ka pahikaua, a me ka wi, a me ka ahulau: a ua ko io no ka mea au i olelo mai ai; aia hoi, ke ike mai nei oe.
18201900a4	E ka Haku, Iehova e, ua olelo mai oe ia'u, E kuai i ka aina me ke kala, a e lalau i na mea ike maka; aka, ua lilo ke kulanakauhale iloko o ka lima o ka poe Kaledea.
18201a003a	Alaila hiki mai ka olelo a Iehova io Ieremia la, i mai la,
18201b0056	Aia hoi, owau no o Iehova, ke Akua o na mea io a pau: e hiki ole anei kekahi mea ia u?
18201c00bb	Nolaila, ke olelo nei o Iehova; Aia hoi, e haawi no wau i keia kulanakauhale iloko o ka lima o ka poe Kaledea, a iloko o ka lima o Nebukaneza ke alii o Babulona, a e hoopio auanei oia ia.
18201d0121	A o ka poe Kaledea e kaua mai ana i keia kulanakauhale, e hele mai lakou, a e puhi i keia kulanakauhale, a e hoopau lakou ia i ke ahi, me na hale hoi, maluna olaila kahi i puhi ai lakou nei i ka mea ala na Baala, a ninini iho ai i na mohaiinu no na akua e, i mea e hoonaukiuki mai ai ia'u.
18201e00d9	No ka mea, ua hana hewa wale no na mamo a Iseraela a me na mamo a Iuda imua o'u mai ko lakou wa kamalii mai: no ka mea, ua hoonaukiuki wale mai no na mamo a Iseraela ia'u, i ka hana a ko lakou mau lima, wahi a Iehova.
18201f00ac	No ka mea, he mea hoonaukiuki. a me ka hooinaina ia'u keia kulanakauhale, mai ka la mai i kukulu ai lakou ia a hiki i keia la, i mea e hoonee aku ai au ia mai ko'u alo aku;
1820200111	No ka hewa a pau o na mamo a Iseraela, a o na mamo a Iuda, ka mea a lakou i hana'i e hoonaukiuki mai ia'u, o lakou, o ko lakou poe alii, a me na luna o lakou, a me ko lakou poe kahuna, a me ko lakou poe kaula, a me na kanaka o ka Iuda, a me ka poe e noho ana ma Ierusalema.
18202100ab	A ua huli lakou i ke kua ia'u, aole i ka maka: owau nae ka mea nana lakou i ao aku e ala ana i ka wanaao e ao aku; aole nae lakou i hoolohe mai, i loaa ia lakou ke akamai.
182022005b	A kau no lakou i ko lakou mea haumia iloko o ka hale i kapaia ma ko'u inoa, e hoohaumia ia.
182023011e	A hana no hoi lakou i na wahi kiekie o Baala, na mea ma ke awawa o ke keiki a Hinoma, i mea e hele ai ka lakou keikikane a me ka lakou kaikamahine i Moleka, ka mea a'u i kauoha ole aku ai ia lakou, aole hoi ia i komo iloko o ko'u manao e hana lakou i keia mea haumia e hewa'i o ka Iuda.
18202400d7	Nolaila, ke olelo mai nei o Iehova, ke Akua o ka Iseraela no keia kulanakauhale, ka mea a oukou i olelo ai, E haawiia oia iloko o ka lima o ke alii o Babulona, no ka pahikaua, a no ka wi, a no ka mai ahulau; peneia,
18202500eb	Aia hoi, e hoiliili mai nei au ia lakou mai loko mai o na aina a pau, kahi a'u i kipaku aku ai ia lakou i ko'u huhu, a i ko'u ukiuki, a me ka inaina nui; a e hoihoi hou mai au ia lakou i keia wahi, a e hoonoho au ia lakou i ka maluhia.
1820260042	A e lilo mai lakou i poe kanaka no'u, a owau auanei ko lakou Akua.
182027009a	A e haawi aku no wau ia lakou i hookahi naau, a i hookahi aoao, i makau mau lakou ia'u, i mea e pono ai lakou, a me ka lakou poe keiki mahope iho o lakou.
18202800c7	A e hana wau i berita mau loa me lakou, aole hoi au o huli ae mai o lakou aku, me ka hana ia lakou i ka maikai, a e kau no au i ka makau ia'u iloko o ko lakou naau, aole hoi lakou e haalele mai ia'u.
1820290083	E olioli no wau ia lakou, e hana maikai ia lakou, a e hoonoho paa ia lakou ma keia aina, mo ko'u naau a pau, a me ko'u uhane a pau.
18202a00c4	No ka mea, ke olelo mai nei o Iehova penei; E like me ko'u lawe ana i keia hewa nui a pau maluna o keia poe kanaka, pela no wau e lawe maluna o lakou i ka maikai a pau a'u i olelo aku ai ia lakau.
