0100000006	Mwanzo
136a110044	Ardhi ilifunguka ikawameza Dathani, ikawazika Abiramu na kundi lake.
136a120048	Moto uliwaka katikati ya wafuasi wao, mwali wa moto uliwateketeza waovu.
136a130047	Huko Horebu walitengeneza ndama, na kuabudu sanamu ya kusubu kwa chuma.
136a140044	Waliubadilisha Utukufu wao kwa sanamu ya fahali, ambaye hula majani.
136a150040	Walimsahau Mungu aliyewaokoa, aliyetenda mambo makuu huko Misri,
136a160045	miujiza katika nchi ya Hamu na mambo ya kutisha huko Bahari ya Shamu.
136a170081	Kwa hiyo alisema kwamba angewaangamiza: kama Musa mteule wake, asingesimama kati yao na Mungu kuizuia ghadhabu yake kuwaangamiza.
136a18003a	Kisha waliidharau ile nchi nzuri, hawakuiamini ahadi yake.
136a190045	Walinung’unika ndani ya mahema yao, wala hawakumtii Mwenyezi Mungu.
136a1a004a	Kwa hiyo akaapa kwa mkono ulioinuliwa kwamba atawafanya waanguke jangwani,
136a1b0055	kuwatawanya wazao wao waanguke miongoni mwa mataifa, na kuwatawanya katika nchi zote.
136a1c0059	Walijifunga nira na Baali wa Peori, wakala dhabihu zilizotolewa kwa miungu isiyo na uhai.
136a1d006d	Waliichochea hasira ya Mwenyezi Mungu, wakamkasirisha kwa matendo yao maovu, nayo tauni ikazuka katikati yao.
136a1e0043	Lakini Finehasi alisimama na kuingilia kati, nayo tauni ikazuiliwa.
136a1f0043	Hili likahesabiwa kwake haki, kwa vizazi visivyo na mwisho vijavyo.
136a20005a	Kwenye maji ya Meriba, walimkasirisha Mwenyezi Mungu, janga likampata Musa kwa sababu yao;
136a210051	kwa maana walimwasi Roho wa Mungu, na maneno yasiyofaa yakatoka mdomoni kwa Musa.
136a220040	Hawakuyaangamiza yale mataifa kama Mwenyezi Mungu alivyowaagiza,
136a23003c	bali walijichanganya na mataifa na wakazikubali desturi zao.
136a240028	Waliabudu sanamu zao, zikawa mtego kwao.
136a250036	Wakawatoa wana wao na binti zao dhabihu kwa mashetani.
136a260097	Walimwaga damu isiyo na hatia, damu za wana wao wa kiume na wa kike, ambao waliwatoa dhabihu kwa sanamu za Kanaani, nayo nchi ikanajisika kwa damu zao.
136a270058	Wakajinajisi wenyewe kwa yale waliyotenda; kwa matendo yao wenyewe wakajifanyia ukahaba.
136a280050	Kwa hiyo Mwenyezi Mungu akawakasirikia watu wake na akauchukia sana urithi wake.
136a290032	Akawakabidhi kwa mataifa na adui zao wakawatawala.
136a2a0035	Adui zao wakawadhulumu na kuwatia chini ya mkono wao.
136a2b0055	Mara nyingi aliwaokoa lakini walizama kwenye uasi, na wakajiharibu katika dhambi zao.
136a2c0033	Lakini akaangalia mateso yao aliposikia kilio chao;
136a2d005a	kwa ajili yao akakumbuka agano lake, na kutokana na upendo wake mkuu akapooza hasira yake.
136a2e0035	Akawafanya wahurumiwe na wote waliowashikilia mateka.
136a2f0095	Ee Mwenyezi Mungu, Mungu wetu, tuokoe. Tukusanye tena kutoka kwa mataifa, ili tuweze kulishukuru jina lako takatifu, na kushangilia katika sifa zako.
136a300080	Atukuzwe Mwenyezi Mungu, Mungu wa Israeli, tangu milele na hata milele. Watu wote na waseme, “Amen!” Msifuni Mwenyezi Mungu.
136b01004e	Mshukuruni Mwenyezi Mungu, kwa kuwa yeye ni mwema, fadhili zake zadumu milele.
136b020056	Waliokombolewa wa Mwenyezi Mungu na waseme hivi, wale aliowaokoa kutoka mkono wa adui,
136b030065	wale aliowakusanya kutoka nchi mbalimbali, kutoka mashariki na magharibi, kutoka kaskazini na kusini.
136b04005d	Baadhi yao walitangatanga jangwani, hawakuona njia ya kuwafikisha mji ambao wangeweza kuishi.
136b050030	Walikuwa na njaa na kiu, nafsi zao zikadhoofika.
136b060054	Ndipo walipomlilia Mwenyezi Mungu katika shida yao, naye akawaokoa kutoka taabu yao.
136b070040	Akawaongoza kwa njia iliyo sawa hadi mji ambao wangeweza kuishi.
136b080066	Basi na wamshukuru Mwenyezi Mungu kwa upendo wake usiokoma, na kwa matendo yake ya ajabu kwa wanadamu,
136b090052	kwa maana yeye humtosheleza mwenye kiu, na kumshibisha mwenye njaa kwa vitu vyema.
136b0a0052	Wengine walikaa gizani na katika huzuni kuu, wafungwa wakiteseka katika minyororo,
136b0b0053	kwa sababu waliasi dhidi ya maneno ya Mungu, na kudharau ushauri wa Aliye Juu Sana.
136b0c004b	Aliwatumikisha kwa kazi ngumu; walijikwaa na hapakuwa na mtu wa kuwasaidia.
136b0d0054	Ndipo walipomlilia Mwenyezi Mungu katika shida yao, naye akawaokoa kutoka taabu yao.
136b0e003d	Akawatoa katika giza na huzuni kuu na akavunja minyororo yao.
136b0f0066	Basi na wamshukuru Mwenyezi Mungu kwa upendo wake usiokoma, na kwa matendo yake ya ajabu kwa wanadamu,
136b100042	kwa kuwa yeye huvunja malango ya shaba na kukata mapingo ya chuma.
136b110056	Wengine wakawa wapumbavu kutokana na uasi wao, wakapata mateso kwa sababu ya uovu wao.
136b12003e	Wakachukia kabisa vyakula vyote, wakakaribia malango ya mauti.
136b130054	Ndipo walipomlilia Mwenyezi Mungu katika shida yao, naye akawaokoa kutoka taabu yao.
136b140042	Akalituma neno lake na kuwaponya, akawaokoa kutoka maangamizi yao.
136b150066	Basi na wamshukuru Mwenyezi Mungu kwa upendo wake usiokoma, na kwa matendo yake ya ajabu kwa wanadamu.
136b16004e	Na watoe dhabihu za kushukuru, na wasimulie matendo yake kwa nyimbo za furaha.
136b170051	Wengine walisafiri baharini kwa meli, walikuwa wafanyabiashara kwenye maji makuu.
136b180042	Waliziona kazi za Mwenyezi Mungu, matendo yake ya ajabu kilindini.
136b19003a	Kwa maana alisema na kuamsha tufani iliyoinua mawimbi juu.
136b1a0060	Yakainuka juu mbinguni, yakashuka chini hadi vilindini; katika hatari hii ujasiri wao uliyeyuka.
136b1b0044	Walipepesuka na kuyumbayumba kama walevi, ujanja wao ukafikia ukomo.
136b1c0053	Ndipo walipomlilia Mwenyezi Mungu katika shida yao, naye akawatoa kwenye taabu yao.
136b1d003f	Akatuliza dhoruba kwa mnong’ono, mawimbi ya bahari yakatulia.
136b1e0049	Walifurahi ilipokuwa shwari, naye akawaongoza hadi bandari waliyoitamani.
136b1f0066	Basi na wamshukuru Mwenyezi Mungu kwa upendo wake usiokoma, na kwa matendo yake ya ajabu kwa wanadamu.
136b20004e	Na wamtukuze yeye katika kusanyiko la watu, na wamsifu katika baraza la wazee.
136b210056	Yeye aligeuza mito kuwa jangwa, chemchemi za maji zinazotiririka kuwa ardhi yenye kiu,
136b220052	nchi inayozaa ikawa ya chumvi isiyofaa, kwa sababu ya uovu wa wale walioishi humo.
136b23005f	Aligeuza jangwa likawa madimbwi ya maji, nayo ardhi kame kuwa chemchemi za maji zinazotiririka;
136b240047	aliwaleta wenye njaa wakaishi humo, nao wakajenga mji wangeweza kuishi.
136b250041	Walilima mashamba na kupanda mizabibu, nayo ikazaa matunda mengi,
136b260054	Mungu aliwabariki, hesabu yao ikaongezeka sana, wala hakuruhusu mifugo yao kupungua.
136b27004d	Kisha hesabu yao ilipungua, na walinyenyekeshwa kwa kuonewa, maafa na huzuni.
136b280053	Yeye ambaye huwamwagia dharau wakuu, aliwafanya watangetange nyikani isiyo na njia.
136b29005e	Lakini yeye aliwainua wahitaji katika taabu zao, na kuongeza jamaa zao kama makundi ya kondoo.
136b2a0045	Wanyofu wataona na kufurahi, lakini waovu wote watafunga vinywa vyao.
136b2b0058	Yeyote aliye na hekima, ayasikie mambo haya, na atafakari upendo mkuu wa Mwenyezi Mungu.
136c010060	Wimbo. Zaburi ya Daudi. Ee Mungu, moyo wangu ni thabiti; nitaimba na kusifu kwa moyo wangu wote.
136c02002e	Amka, kinubi na zeze! Nitayaamsha mapambazuko.
136c030060	Nitakusifu wewe, Ee Mwenyezi Mungu, kati ya mataifa; nitaimba habari zako, katika jamaa za watu.
136c040053	Kwa maana upendo wako ni mkuu, ni juu kuliko mbingu; uaminifu wako unazifikia anga.
136c050045	Ee Mungu, utukuzwe juu ya mbingu, utukufu wako na uenee duniani kote.
136c060053	Tuokoe na utusaidie kwa mkono wako wa kuume, ili wale unaowapenda wapate kuokolewa.
136c070064	Mungu amenena kutoka patakatifu pake: “Nitaigawa Shekemu kwa ushindi na kulipima Bonde la Sukothi.
136c080063	Gileadi ni yangu, na Manase ni yangu; Efraimu ni chapeo yangu, nayo Yuda ni fimbo yangu ya utawala.
136c09006d	Moabu ni sinia langu la kunawia, juu ya Edomu natupa kiatu changu; nashangilia kwa kushindwa kwa Ufilisti.”
136c0a0058	Ni nani atakayenipeleka hadi mji wenye ngome? Ni nani atakayeniongoza hadi nifike Edomu?
136c0b0047	Ee Mungu, si ni wewe uliyetukataa sisi, na hutoki tena na majeshi yetu?
136c0c0048	Tuletee msaada dhidi ya adui, kwa maana msaada wa mwanadamu haufai kitu.
136c0d0040	Kwa msaada wa Mungu tutapata ushindi, naye atawaponda adui zetu.
136d010046	Kwa mwimbishaji. Zaburi ya Daudi. Ee Mungu, ninayekusifu, usiwe kimya,
136d020075	kwa maana watu waovu na wadanganyifu wamefungua vinywa vyao dhidi yangu; wasema dhidi yangu kwa ndimi za udanganyifu.
136d03003f	Wamenizunguka kwa maneno ya chuki, wananishambulia bila sababu.
136d04004d	Wanachonilipa badala ya urafiki wangu ni kunishtaki, lakini mimi ninawaombea.
136d05003c	Wananilipiza mabaya kwa mema, chuki badala ya urafiki wangu.
136d06003d	Agiza mtu mwovu ampinge, mshtaki asimame mkono wake wa kuume.
136d07003e	Anapohukumiwa, apatikane na hatia, nayo maombi yake yamhukumu.
136d080056	Siku zake za kuishi na ziwe chache, nafasi yake ya uongozi ichukuliwe na mtu mwingine.
136d090035	Watoto wake na waachwe yatima, mke wake na awe mjane.
136d0a004f	Watoto wake na watangetange wakiomba, na wafukuzwe kwenye magofu ya nyumba zao.
136d0b0058	Mtu anayemdai na ateke vyote alivyo navyo, matunda ya kazi yake yatekwe nyara na wageni.
136d0c0045	Asiwepo mtu yeyote wa kumtendea mema wala wa kuwahurumia yatima wake.
136d0d004b	Uzao wake na ukatiliwe mbali, majina yao yafutike katika kizazi kifuatacho.
136d0e005d	Maovu ya baba zake na yakumbukwe mbele za Mwenyezi Mungu, dhambi ya mama yake isifutwe kamwe.
136d0f0065	Dhambi zao na zibaki daima mbele za Mwenyezi Mungu, ili apate kukatilia mbali kumbukumbu lao duniani.
136d10007b	Kwa maana kamwe hakuweza kutenda wema, bali alimfukuza mnyonge na mhitaji, aliwafanyia jeuri wahitaji na waliovunjika moyo.
136d11005e	Alipenda kulaani, nayo laana ikampata; hakupenda kubariki, kwa hiyo baraka na ikae mbali naye.
136d12006d	Alivaa kulaani kama vazi lake, nayo laana ikamwingia mwilini mwake kama maji, kwenye mifupa yake kama mafuta.
136d130040	Na iwe kama joho alilozungushiwa, kama mshipi aliofungiwa daima.
136d140057	Haya na yawe malipo ya Mwenyezi Mungu kwa washtaki wangu, kwa wale wanaoninenea mabaya.
136d15006c	Lakini wewe, Ee Bwana Mungu Mwenyezi, unitendee wema kwa ajili ya jina lako, uniokoe kwa wema wa pendo lako.
136d160045	Maana mimi ni maskini na mhitaji, moyo wangu umejeruhiwa ndani yangu.
136d17003e	Ninafifia kama kivuli cha jioni, nimerushwa-rushwa kama nzige.
136d180047	Magoti yangu yamelegea kwa kufunga, mwili wangu umedhoofika na kukonda.
136d190053	Nimekuwa kitu cha kudharauliwa kwa washtaki wangu, wanionapo, hutikisa vichwa vyao.
136d1a0049	Ee Mwenyezi Mungu, Mungu wangu, nisaidie, niokoe sawasawa na upendo wako.
136d1b0053	Watu na wafahamu kuwa ni mkono wako, kwamba wewe, Ee Mwenyezi Mungu, umetenda hili.
136d1c006b	Wanaweza kulaani, lakini wewe utabariki, watakaposhambulia wataaibishwa, lakini mtumishi wako atashangilia.
136d1d0041	Washtaki wangu watavikwa fedheha, na kufunikwa na aibu kama joho.
136d1e0051	Kwa kinywa changu nitamtukuza sana Mwenyezi Mungu, katika umati mkubwa nitamsifu.
136d1f005e	Kwa maana husimama mkono wa kuume wa mhitaji, kuokoa maisha yake kutoka kwa wale wanaomhukumu.
136e010097	Zaburi ya Daudi. Mwenyezi Mungu amwambia Bwana wangu: “Keti mkono wangu wa kuume, hadi nitakapowafanya adui zako kuwa mahali pa kuweka miguu yako.”
136e020069	Mwenyezi Mungu ataeneza fimbo yako ya utawala yenye nguvu kutoka Sayuni; utatawala katikati ya adui zako.
136e030096	Askari wako watajitolea kwa hiari katika siku yako ya vita. Ukiwa umevikwa fahari takatifu, kutoka tumbo la mapambazuko utapokea umande wa ujana wako.
136e04006d	Mwenyezi Mungu ameapa, naye hatabadilisha mawazo yake: “Wewe ni kuhani milele, kwa mfano wa Melkizedeki.”
136e050049	Bwana yuko mkono wako wa kuume, atawaponda wafalme siku ya ghadhabu yake.
136e06004c	Atawahukumu mataifa, akilundika mizoga na kuwaponda watawala wa dunia nzima.
136e07004e	Atakunywa maji katika kijito kando ya njia; kwa hiyo atainua kichwa chake juu.
136f010075	Msifuni Mwenyezi Mungu. Nitamtukuza Mwenyezi Mungu kwa moyo wangu wote, katika baraza la wanyofu na katika kusanyiko.
136f020044	Kazi za Mwenyezi Mungu ni kuu, wote wanaopendezwa nazo huzitafakari.
136f03003c	Kazi zake zimejaa fahari na utukufu, haki yake hudumu daima.
136f04004b	Amefanya maajabu yake yakumbukwe, Mwenyezi Mungu ni mwenye neema na huruma.
136f05003d	Huwapa chakula wale wanaomcha, hulikumbuka agano lake milele.
136f06004a	Amewaonesha watu wake uwezo wa kazi zake, akiwapa nchi za mataifa mengine.
136f07004d	Kazi za mikono yake ni za uaminifu na haki, mausia yake yote ni ya kuaminika.
136f08003e	Zinadumu milele na milele, zikifanyika kwa uaminifu na unyofu.
136f09005d	Aliwapa watu wake ukombozi, aliamuru agano lake milele: jina lake ni takatifu na la kuogopwa.
136f0a0071	Kumcha Mwenyezi Mungu ndicho chanzo cha hekima, wote wanaozifuata amri zake wana busara. Sifa zake zadumu milele.
1370010065	Msifuni Mwenyezi Mungu. Heri mtu yule amchaye Mwenyezi Mungu, mtu yule apendezwaye sana na amri zake.
1370020055	Watoto wake watakuwa wenye uwezo katika nchi, kizazi cha watu waadilifu kitabarikiwa.
137003003d	Nyumbani mwake kuna mali na utajiri, haki yake hudumu milele.
137004004c	Hata gizani nuru humzukia mtu mwadilifu, yule mwenye rehema, huruma na haki.
1370050063	Mema yatamjia mtu yule aliye mkarimu na mwenye kukopesha bila riba, anayefanya mambo yake kwa haki.
137006003e	Hakika hatatikisika kamwe, mtu mwenye haki atakumbukwa milele.
1370070049	Hataogopa habari mbaya, moyo wake ni thabiti, ukimtegemea Mwenyezi Mungu.
1370080052	Moyo wake ni salama, hatakuwa na hofu, mwishoni ataona ushindi dhidi ya adui zake.
1370090070	Ametawanya vipawa vyake kwa ukarimu akawapa maskini; haki yake hudumu milele; pembe yake itatukuzwa kwa heshima.
13700a0067	Mtu mwovu ataona na kuchukizwa, atasaga meno yake na kutoweka, kutamani kwa mtu mwovu kutaishia patupu.
1371010062	Msifuni Mwenyezi Mungu. Enyi watumishi wa Mwenyezi Mungu msifuni, lisifuni jina la Mwenyezi Mungu.
1371020038	Jina la Mwenyezi Mungu na lisifiwe, sasa na hata milele.
1371030052	Kuanzia mawio ya jua hadi machweo yake, jina la Mwenyezi Mungu linapaswa kusifiwa.
1371040049	Mwenyezi Mungu ametukuka juu ya mataifa yote, utukufu wake juu ya mbingu.
137105005c	Ni nani aliye kama Mwenyezi Mungu, Mungu wetu, Yule aliyeketi kwenye kiti cha enzi huko juu,
1371060031	ambaye huinama atazame chini aone mbingu na nchi?
1371070052	Huwainua maskini kutoka mavumbini, na kuwanyanyua wahitaji kutoka lundo la majivu,
137108003a	huwaketisha pamoja na wakuu, pamoja na wakuu wa watu wake.
1371090067	Humjalia mwanamke tasa kutulia nyumbani mwake, akiwa mama watoto mwenye furaha. Msifuni Mwenyezi Mungu.
1372010049	Israeli alipotoka Misri, nyumba ya Yakobo kutoka kwa watu wa lugha ngeni,
1372020043	Yuda alifanywa makao matakatifu ya Mungu, Israeli akawa milki yake.
1372030032	Bahari ilitazama ikakimbia, Yordani ulirudi nyuma,
137204003d	milima ilirukaruka kama kondoo dume, vilima kama wana-kondoo.
137205004d	Ee bahari, ni nini kilichokufanya ukakimbia, nawe, ee Yordani, ukarudi nyuma,
1372060048	enyi milima mkarukaruka kama kondoo dume, enyi vilima, kama wana-kondoo?
137207003c	Ee dunia, tetemeka mbele za Bwana, mbele za Mungu wa Yakobo,
137208004b	aliyegeuza mwamba kuwa dimbwi la maji, mwamba mgumu kuwa chemchemi za maji.
1373010078	Sio kwetu sisi, Ee Mwenyezi Mungu, sio kwetu sisi, bali utukufu ni kwa jina lako, kwa sababu ya upendo na uaminifu wako.
1373020033	Kwa nini mataifa waseme, “Yuko wapi Mungu wao?”
137303003b	Mungu wetu yuko mbinguni, naye hufanya lolote limpendezalo.
1373040052	Lakini sanamu zao ni za fedha na dhahabu, zilizotengenezwa kwa mikono ya wanadamu.
1373050047	Zina vinywa, lakini haziwezi kusema, zina macho, lakini haziwezi kuona;
1373060048	zina masikio, lakini haziwezi kusikia, zina pua, lakini haziwezi kunusa;
137307006f	zina mikono, lakini haziwezi kupapasa, zina miguu, lakini haziwezi kutembea; wala koo zao haziwezi kutoa sauti.
137308004d	Wale wanaozitengeneza watafanana nazo, vivyo hivyo wale wote wanaozitumainia.
137309004c	Ee nyumba ya Israeli, mtumainini Mwenyezi Mungu, yeye ni msaada na ngao yao.
13730a004b	Ee nyumba ya Haruni, mtumainini Mwenyezi Mungu, yeye ni msaada na ngao yao.
13730b0046	Ninyi mnaomcha, mtumainini Mwenyezi Mungu, yeye ni msaada na ngao yao.
13730c0066	Mwenyezi Mungu anatukumbuka na atatubariki: ataibariki nyumba ya Israeli, ataibariki nyumba ya Haruni,
13730d003e	atawabariki wale wanaomcha Mwenyezi Mungu, wadogo kwa wakubwa.
13730e003e	Mwenyezi Mungu na awawezeshe kuongezeka, ninyi na watoto wenu.
13730f0036	Mbarikiwe na Mwenyezi Mungu Muumba wa mbingu na dunia.
1373100050	Mbingu zilizo juu sana ni mali ya Mwenyezi Mungu, lakini dunia amempa mwanadamu.
1373110044	Sio wafu wanaomsifu Mwenyezi Mungu, wale wanaoshuka mahali pa kimya,
1373120056	bali ni sisi tunaomtukuza Mwenyezi Mungu, sasa na hata milele. Msifuni Mwenyezi Mungu.
137401005d	Nampenda Mwenyezi Mungu kwa maana amesikia sauti yangu; amesikia kilio changu ili anihurumie.
1374020046	Kwa sababu amenitegea sikio lake, nitamwita siku zote za maisha yangu.
137403005b	Kamba za mauti zilinizunguka, vitisho vya Kuzimu vilinipata, nikalemewa na taabu na huzuni.
1374040049	Ndipo nikaliitia jina la Mwenyezi Mungu: “Ee Mwenyezi Mungu, niokoe!”
1374050047	Mwenyezi Mungu ni mwenye neema na haki, Mungu wetu ni mwingi wa huruma.
1374060050	Mwenyezi Mungu huwalinda wanyenyekevu, nilipokuwa katika shida kubwa, aliniokoa.
1374070048	Ee nafsi yangu, tulia tena, kwa kuwa Mwenyezi Mungu amekuwa mwema kwako.
1374080084	Kwa kuwa wewe, Ee Mwenyezi Mungu, umeniokoa nafsi yangu na mauti, macho yangu kutokana na machozi, miguu yangu kutokana na kujikwaa,
1374090046	ili niweze kutembea mbele za Mwenyezi Mungu, katika nchi ya walio hai.
13740a0043	Nilimwamini Mwenyezi Mungu, niliposema, “Mimi nimeteseka sana.”
13740b003b	Katika taabu yangu nilisema, “Wanadamu wote ni waongo.”
13740c0040	Nimrudishie Mwenyezi Mungu nini kwa wema wake wote alionitendea?
13740d0044	Nitakiinua kikombe cha wokovu na kulitangaza jina la Mwenyezi Mungu.
13740e0046	Nitazitimiza nadhiri zangu kwa Mwenyezi Mungu mbele za watu wake wote.
13740f003b	Kifo cha watakatifu kina thamani machoni pa Mwenyezi Mungu.
137410008a	Ee Mwenyezi Mungu, hakika mimi ni mtumishi wako, mimi ni mtumishi wako, mwana wa mjakazi wako; umeniweka huru toka katika minyororo yangu.
1374110045	Nitakutolea dhabihu ya kukushukuru na kuliita jina la Mwenyezi Mungu.
1374120046	Nitazitimiza nadhiri zangu kwa Mwenyezi Mungu mbele za watu wake wote,
137413005e	katika nyua za nyumba ya Mwenyezi Mungu, katikati yako, ee Yerusalemu. Msifuni Mwenyezi Mungu.
137501004a	Msifuni Mwenyezi Mungu, enyi mataifa yote; mtukuzeni yeye, enyi watu wote.
1375020066	Kwa kuwa upendo wake kwetu ni mkuu, uaminifu wa Mwenyezi Mungu unadumu milele. Msifuni Mwenyezi Mungu.
1376010049	Mshukuruni Mwenyezi Mungu, kwa kuwa ni mwema; fadhili zake zadumu milele.
1376020038	Israeli na aseme sasa: “Fadhili zake zadumu milele.”
1376030041	Nyumba ya Haruni na iseme sasa: “Fadhili zake zadumu milele.”
137604004f	Wote wanaomcha Mwenyezi Mungu na waseme sasa: “Fadhili zake zadumu milele.”
137605005b	Wakati wa maumivu yangu makuu, nilimlilia Mwenyezi Mungu, naye akanijibu kwa kuniweka huru.
137606004d	Mwenyezi Mungu yuko pamoja nami, sitaogopa. Mwanadamu anaweza kunitenda nini?
1376070064	Mwenyezi Mungu yuko pamoja nami, yeye ni msaidizi wangu. Nitawatazama adui zangu wakiwa wameshindwa.
1376080040	Ni bora kumkimbilia Mwenyezi Mungu kuliko kumtumainia mwanadamu.
137609003d	Ni bora kumkimbilia Mwenyezi Mungu kuliko kuwatumainia wakuu.
13760a0052	Mataifa yote yalinizunguka, lakini kwa jina la Mwenyezi Mungu naliwakatilia mbali.
13760b0050	Walinizunguka pande zote, lakini kwa jina la Mwenyezi Mungu naliwakatilia mbali.
13760c0080	Walinizunguka kama kundi la nyuki, lakini walikufa haraka kama miiba iteketeayo; kwa jina la Mwenyezi Mungu naliwakatilia mbali.
13760d0045	Nilisukumwa nyuma karibu kuanguka, lakini Mwenyezi Mungu alinisaidia.
13760e004b	Mwenyezi Mungu ni nguvu yangu na wimbo wangu, yeye amefanyika wokovu wangu.
13760f0079	Sauti za shangwe na ushindi zinavuma kwenye hema za wenye haki: “Mkono wa kuume wa Mwenyezi Mungu umetenda mambo makuu!
137610006a	Mkono wa kuume wa Mwenyezi Mungu umeinuliwa juu, mkono wa kuume wa Mwenyezi Mungu umetenda mambo makuu!”
1376110046	Sitakufa, bali nitaishi, nami nitayatangaza matendo ya Mwenyezi Mungu.
137612003a	Mwenyezi Mungu ameniadhibu vikali, lakini hakuniacha nife.
1376130048	Nifungulie malango ya haki, nami nitaingia na kumshukuru Mwenyezi Mungu.
1376140045	Hili ni lango la Mwenyezi Mungu ambalo wenye haki wanaweza kuliingia.
1376150038	Nitakushukuru, kwa kuwa ulinijibu, umekuwa wokovu wangu.
1376160038	Jiwe walilolikataa waashi, limekuwa jiwe kuu la pembeni.
1376170041	Mwenyezi Mungu ametenda hili, nalo ni la kushangaza machoni petu.
137618004e	Hii ndiyo siku Mwenyezi Mungu aliyoifanya, tushangilie na kufurahi ndani yake.
1376190041	Ee Mwenyezi Mungu, tuokoe, Ee Mwenyezi Mungu, utujalie mafanikio.
13761a0059	Heri yule ajaye kwa jina la Mwenyezi Mungu. Kutoka nyumba ya Mwenyezi Mungu tunakubariki.
13761b0097	Mwenyezi Mungu ndiye Mungu, naye ametuangazia nuru yake. Mkiwa na matawi mkononi, unganeni kwenye maandamano ya sikukuu hadi kwenye pembe za madhabahu.
13761c0046	Wewe ni Mungu wangu, nitakushukuru, wewe ni Mungu wangu, nitakutukuza.
13761d0048	Mshukuruni Mwenyezi Mungu kwa kuwa ni mwema; fadhili zake zadumu milele.
1377010057	Heri wale walio waadilifu katika njia zao, wanaoenenda katika Torati ya Mwenyezi Mungu.
1377020044	Heri wale wanaozishika shuhuda zake, wanaomtafuta kwa moyo wao wote.
137703003c	Wasiofanya lolote lililo baya, wanaoenenda katika njia zake.
137704002e	Umetoa maagizo yako ili tuyatii kwa ukamilifu.
1377050040	Laiti mwenendo wangu ungekuwa imara katika kuyatii maagizo yako!
1377060036	Hivyo mimi sitaaibishwa ninapozingatia amri zako zote.
137707003d	Nitakusifu kwa moyo mnyofu ninapojifunza sheria zako za haki.
1377080029	Nitayatii maagizo yako; usiniache kabisa.
137709004a	Kijana aisafishe njia yake jinsi gani? Ni kwa kutii, akilifuata neno lako.
13770a0046	Ninakutafuta kwa moyo wangu wote, usiniache niende mbali na amri zako.
13770b003b	Nimelificha neno lako moyoni mwangu ili nisikutende dhambi.
13770c0036	Uhimidiwe, Ee Mwenyezi Mungu; nifundishe maagizo yako.
13770d0048	Kwa midomo yangu nitasimulia sheria zote zinazotoka katika kinywa chako.
13770e0040	Ninafurahia kufuata sheria zako kama mtu afurahiaye mali nyingi.
13770f0033	Ninatafakari maagizo yako na kuziangalia njia zako.
1377100035	Ninafurahia maagizo yako, wala sitalipuuza neno lako.
137711003f	Mtendee mema mtumishi wako, nami nitaishi; nitalitii neno lako.
1377120044	Yafungue macho yangu nipate kuona mambo ya ajabu katika sheria yako.
137713002c	Mimi ni mgeni duniani, usinifiche amri zako.
1377140044	Nafsi yangu inataabika kwa shauku kubwa kwa sheria zako wakati wote.
1377150046	Unawakemea wenye majivuno, waliolaaniwa, wanaoenda mbali na amri zako.
137716003e	Niondolee dharau na dhihaka, kwa kuwa ninazishika sheria zako.
137717005d	Ingawa watawala huketi pamoja na kunisingizia, mtumishi wako atatafakari juu ya maagizo yako.
1377180034	Sheria zako ni furaha yangu, nazo ni washauri wangu.
1377190048	Nimelazwa chini mavumbini, yahifadhi maisha yangu sawasawa na neno lako.
13771a0039	Nilikueleza njia zangu ukanijibu, nifundishe sheria zako.
13771b0044	Nijulishe mafundisho ya mausia yako, nami nitatafakari maajabu yako.
13771c0046	Nafsi yangu imechakazwa kwa huzuni, uniimarishe sawasawa na neno lako.
13771d0043	Niepushe na njia za udanganyifu, kwa neema unifundishe sheria zako.
13771e0041	Nimechagua njia ya kweli, nimekaza moyo wangu katika sheria zako.
13771f0049	Nimeng’ang’ania sheria zako, Ee Mwenyezi Mungu, usiniache niaibishwe.
137720004a	Nakimbilia katika njia ya maagizo yako, kwa kuwa umeuweka moyo wangu huru.
1377210053	Ee Mwenyezi Mungu, nifundishe kuyafuata maagizo yako, nami nitayashika hadi mwisho.
1377220048	Nipe ufahamu, nami nitaishika sheria yako na kuitii kwa moyo wangu wote.
137723003f	Niongoze kwenye njia ya amri zako, kwa kuwa huko napata furaha.
1377240049	Ugeuze moyo wangu kuelekea sheria zako, na siyo kwenye mambo ya ubinafsi.
1377250058	Geuza macho yangu kutoka mambo yasiyofaa, uyahifadhi maisha yangu sawasawa na neno lako.
1377260036	Mtimizie mtumishi wako ahadi yako, ili upate kuogopwa.
137727003b	Niondolee aibu ninayoiogopa, kwa kuwa sheria zako ni njema.
1377280053	Tazama jinsi ninavyoonea shauku mausia yako! Hifadhi maisha yangu katika haki yako.
1377290053	Ee Mwenyezi Mungu, upendo wako usiokoma unijie, wokovu wako sawasawa na ahadi yako,
13772a0046	ndipo nitakapomjibu anayenidhihaki, kwa kuwa ninalitumainia neno lako.
13772b0063	Usilinyakue neno la kweli kutoka kinywani mwangu, kwa kuwa nimeweka tumaini langu katika amri zako.
13772c0031	Nitaitii amri yako daima, naam, milele na milele.
13772d0032	Nitatembea huru, kwa kuwa nimejifunza mausia yako.
13772e0038	Nitasema sheria zako mbele za wafalme wala sitaaibishwa,
13772f0038	kwa kuwa ninazifurahia amri zako kwa sababu ninazipenda.
137730005e	Ninaziinulia amri zako ambazo ninazipenda mikono yangu, nami ninatafakari juu ya maagizo yako.
