2800000006	Mateyo
2c1a08003f	Nkambonzi mukuyeya kwanu, nimutazumini kuti Leza ulabusya bafu?
2c1a090058	Lino nchobeni, lwangu ndakali kuyeya kuchita zintu zizkazania azina lyJesu wakuNazaleta.
2c1a0a00a7	Ndakachita ezi muJelusalema bantu basalali bingi baLeza ndakabanjizya muntolongo mbundapegwa bwendelezi abapayizi bapati, anibakalikujegwa, ndakazumina kuti bajayigwe.
2c1a0b00a8	Ndakabapenzya kwachindi chilamfu muzikombelo zyoonse alimwi ndakezya kubajata changuzu kuti basampawulwe. Ndakanyema akubakalalila akubapenzya nikuba kuchisi chabwenzu.
2c1a0c0056	Nindakachili kuchita ezi ndakinka kuDamasikka munguzu amumalayilile a bapayizi bapati;
2c1a0d00a6	Nkiya buya oko, nilyakaba akalanga bweseme, mwami, ndakabona mumuni kuza kujulu wakali kubalama kwinda zuba wakatumwinikila watuzyunguluka ime abalumi mbindakali abo.
2c1a0e00b6	Lino nitwakawida ansi, ndakamvwa ijwi kalyambula kulindime lyakuti mumulaka waHebbelu, 'Sawulo, Sawulo, undipenzezyanzi? Chiyumu kulindime kubbompa kasamu kalamfu kakubizya banyama.'
2c1a0f0058	Mpawo ndakamba kuti, 'Nduweni, Mwami?' Mwami wakasandula kuti, 'Ndime Jesu ngulokpenzya.
2c1a1000c2	Lino nyampuka uyimikile amawulu ako; Nkambo kamakanze nchindalibonia kulinduwe, ndikubikke kuti ube simulimu wangu asikulungununa wazezi zintu nzuzi atala andime azintu nzindakutondezya kunembo;
2c1a110034	Ndiyokuvuna kubantu akuli bamasi oko nkundiyokutuma,
2c1a120074	Kuti ukabbanune meso akulekelelwa zibi akuti bakakone ezyo nzipa kuli babo basalazigwa alusyomo kwindila mulindime.'
2c1a13003f	Aboobo, Mwami Agilipa, tendakaka kulemeka chilengano chakujulu;
2c1a1400bb	Pele kusanguna abaliku Damasikka mpawo amuJelusalema akwiinda muchisi chaJudiya, akuli bamaasi, ndakapa ijwi lyakuti bakonzye kusanduka akubola kuliLeza, bachite milimu iyelede kusanduka.
2c1a150042	Azezi baJuda bandanga mun'anda yaLeza kwezya kuyanda kundijeya me.
2c1a1600b9	Aboobo ndakatambula kuvunwa kuzwa kuliLeza kusikila sunu, ndimvwi akulungununa akati kabanini abapati katakwe chakuyungizya kunze kwazezi zyakaambwa abasinsimi aMozesi kuti zizochitika;
2c1a170078	Kuti Kilisito ulelede kupenzegwa, akuba mutanzi kubuka kubafu akupandulwida mumuni kubantu bakulindiswe akuli bamasi.”
2c1a180079	Nkamaninsya kulyambila Pawulo, Fesitasi wakompolola ajwi pati wati, “Pawulo wasondoka; kwiiya kwako kupati kwasondosya.
2c1a190088	Pele Pawulo wakati, “Nsisondokede pe, Fesitasi; simunantya makani uyindilide, ndikwamba biyo majwi akasimpe amvwika kunembo lyalubeta.
2c1a1a009b	Nkambo mwami ulaza makani aya; lino ndambula achamba anguwe, ndakombelezya kuti kumakani aya oonse taakwe ngatabwene, nkambo echi techakachitwa kumbali pe.
2c1a1b003f	Ulasyoma na basinsimi, mwami Agilipa? Ndilizi kuti ulasyoma”.
2c1a1c006b	Agilipa wakamba kuti kuli Pawulo, “Kuchindi nchicho echo uyanda kundisandula na kuti mbemukilisitu na?”
2c1a1d00aa	Pawulo wakati, “Ndakomba kuli Leza, kuti nikuba kuchindi chilamfu, kutali ndiwe awulikke, aboobo bandimvwa sunu, bazoba mbuli ndime, kakutakwe nketani zyamuntolongo”.
2c1a1e0052	Mpawo mwami wakanyampuka, amwendelezi a Benikke alakwe, aboonse mbibakakkede aboo;
2c1a1f0075	Nibakazwa mun'anda, bakambula kuli umwi awumwi bati, “Oyu mwalumi tachitide chintu chelede lufu nikuba kwaangwa.”
2c1a200070	Agilipa wati kuli Fesitasi, “Oyu mwalumi walede wangununwa anoli talina kumbila kuti atatongelwe a Kkayesa.”
2c1b010084	Nikwakayeyegwa kuti twelede kuyaku Itali abwaato bakasala Pawulu abamwi baange kumwendelezi wabasilumamba utegwa Juliyasi wamunkamu.
2c1b0200d2	Twakanjila mubwato buzwa ku Adilamatiyamu oobo bwakali bwaba afwifwi kuti bunyampuke bwakali kuyoyinda kunkomwe ya Eziya. Mpawo twakayinka kulwizi. Alisitachasi uzwaku Tesalonika mu Masedoniya wakeenda andiswe.
2c1b03009c	Mubuzuba butobela twakasika kuchisi cha Sidoni, oko Juliyasi nkwakakujata Pawulo cabuuya alimwi akumuzumizya kuti ayiinke kubenzinyina kuyotambula kubambwa.
2c1b040077	Kuzwa awo twakaya kulwizi twakuyamba muunsi ankoomwe yaku Sayipulasi, afwifwi akukasuwa, nkambo luuwo lwakalikututonta.
2c1b050076	Nitwakeenda katutimbula lwizi nitwakazoinda ku Silisiya alimwi aku Pamfiliya, twakasika ku Mayila, chisi chaku Lusiya.
2c1b06006e	Nkuko ooko mwendelezi nkwakajana bwaato buzwa ku Alekizandiliya obo bwakalikuya ku Itali. Mpawo watubika mumo.
2c1b0700f3	Nitwakali kweenda bunini abunini kwamazuba mayingi, twakazomaninsizya twasika mubuyumuyumu afwifwi a Sinidusi alimwi luuwo telwakazotuzumizya pe kuti twinde nzila eeyo, twakeenda katuyabuya alubazu lwankomwe yaku Kkilete, kumbali lya Salimone.
2c1b08007e	Twakeenda mumo omo munkomwe mubuyumuyumu, mane twakusika kubusena bumwi butegwa Majulu mabotu, buli afwifwi achisi cha Laseya.
2c1b0900a5	Twakali twamana chiindi chilamfu, chiindi chakulyiimya kwama Juda achilacho chakali chayinda, alimwi kwakali kwatentuusya lino kweenda. Mpawo Pawulu wakabachenjezya,
2c1b0a009b	wati, “nibaluumi, ndibwene kuti lweendo ndutuyanda kubweza lulakulichisa akuswekelwa kupati, pepe zinyampwidwe nikuba bwato luzutu, pesi abuumi bwesu.”
2c1b0b006c	Pesi mwendelezi wakaswilizya kapati kuli sikwenzya bwaato akulimuna bwaato kwinda eezyo zyaakambwa a Pawulu.
2c1b0c0141	Nkambo chito techakali chuubila pe kuti bukkale mpawo chilinu choonse, bamwi bayiingi bakapa muzezo wakuti tweende kuzwa aawa, ambweni dozyakonzeka ngatuyosika kuchisi cha-Foyenikisi, kuti tukakkale chiindi chachilimo nkuko. Foyenikisi nchito cha Kkilete, chilangide koonse kumusaansa akububbila alimwi kumbo -akububbila.
2c1b0d00dc	Eelyo luuwo lwakumusansa nilwakatanguna kuunga kwachumunizi, basibwato bakayeeya mbuli kuti bakali bachijana nchibakalikuyanda. Lino bakanyamuna bbwe lyakwimikizya bwato mpawo beenda kabatobezya Kkilete, afwifwi ankomwe.
2c1b0e006d	Pesi nikwakayinda kayindi kanini kwakaza muuwo mupati uutegwa Notisita, wakatanguna kuuma aansi kuzwa kusuwa.
2c1b0f009a	Eelyo bwaato nibwakajatwa amuuwo mupati zyakukachilwa kuyakunembo muluuwo, twakayinzizya muuwo mupati ooyu mwenya alimwi wakatuchuunda twatobelezya muuwo.
2c1b100073	Twakeenda munkomwe munsi akasuwa kanini kategwa Kkawunda, alimwi abuyumuyumu twakazokonzya kusika akaato kakuvunwa.
2c1b1100e3	Eelyo nibakaanga Kaato, bakabelesya minchinda yako mpawo bazojatanisya amwi kubulambo bwabwato. Bakalikuyowa kuti ngabayosisigwa kumuse waku Sayitisi, lino bakalosya minchinda wangidwe bbwe wabwato alimwi bakatontwa kabayabuya.
2c1b12006c	Twakatamamizigwa mbubobu amuuwo mupati zyakuti buzuba bwakatobela bakatanguna kubwala mpasya mukati mulwizi.
2c1b130057	Mubuzuba bwachitaatu bantu bakalimubwato bakabwaala zintu zyakali mubwato amaboko aabo.
2c1b14009c	Eelyo izuba anyenyezi nizyakatatumunikila kwamazuba mayingi, alimwi muuwo mupati kuchuuma alindiswe, bulangilizi boonse bwakuti twelede kufutulwa bwakamana.
2c1b1500ea	Nibakeenda kwachiindi chilamfu kabatakwe chakulya pe, eelyo Pawulu wakayimikila akati kabantu wati, “Nobakwesu, mwalelede kunditelela, alimwi temwalelede kwenda kamuzida kuKkilete pe, eezi zyakuti mujane kulichisa alimwi kuswekelwa.
2c1b160083	Lino ndamusimya kuti nywebo mube abusungu, nkaambo takwe nikutabewo pe kuswekelwa buumi akati kanu, pesi biyo kuswekelwa kwabwaato.
2c1b17007e	Busiku bwayinda mungeelo wa Leza ooyo ngundili kulinguwe, ooyo alimwi ngundikomba — mungelo wakwe wakaliimvwi aambali lyangu
2c1b180097	alimwi wati, 'Utayoowi, Pawulu, weelede kuyoyimikila kunembo lyaKayisa, alimwi ukabone Leza mubuya mbwakapa kuli nduwe abo boonse balimulwendo anduwe.'
2c1b190067	Linobu mube abusungu, nobakwesu! Nkaambo ndisyoma Leza kuti chiyochitika mbuli mbuchakaambwa kulindime.
2c1b1a002a	Pesi twelede kuchijana munyika amutusuwa.'
2c1b1b00c3	Eelyo busiku bwakkumi abwaane nibwakasika, mbuli mbutwali kuchundilwa kulubazu olu alimwi mukati kalwiizi lwa Adiliyatiki, kubanga mpakati kabusiku basilwendo bakayeeya kuti bamba kusika kunyika.
2c1b1c003f	Bakabeza zipimyo alimwi bakajana kuti maboko ali kkumi amusanu.
2c1b1d00a3	Bakayoowa kuti ambweni anga tulawuminina amabwe, lino bakawaala mabwe akwimikizya bwaato aanze kuzwa munsi alimwi bakakomba kuti kucha ambweni kulafwambana kusika.
2c1b1e008c	Bakali mubwaato bakalikulanga nzila yakusiya bwato alimwi bakalosya kaato kulwizi, alimwi bakabaanga balabwaala mabwe abwaato kuzwa kunembo.
2c1b1f0080	Pesi Pawulu wakati kumwendelezi akuli basilumamba, “kunze akuti baalumi aaba bakkale mubwaato, takwe nimunga mulafutuka pe.”
2c1b20004b	Eelyo basilumamba bakadunsuula minchiinda yakaato alimwi bakaleka kayabuya.
2c1b2100b6	Nikwakaamba kucha, Pawulo wakabasungwazya boonse kuti babweze chakulya. Wakamba kuti, “Eli zuba ndyakkumi aane kamuswini kulindilizya kamutakwe chakulya pe — takwe nchimulide pe.
2c1b2200a4	Eelyo ndamukombelezya kuti mwabane chakulya, nkambo oolu ndulufutuka lwanu. Ko takukwe anaba umwi akati kanu utaswekelwe inzeeta imwi yasusu kuzwa kumutwe wakwe.”
2c1b23007e	Naakamana kwaamba eezi, wakabweza chinkwa alimwi walumba Leza mumeso aboonse. Eelyo wakakwamuna chinkwa alimwi watalika kulya.
2c1b24003e	Eelyo bakasungwazigwa boonse mpawo abalabo bakabweza chakulya.
2c1b250055	Twakali myaanda ibili ilamakkumi musanu aabili amusanu awumwi myuuya yakali mubwaato.
2c1b26004f	Nibakalya achakwelela, bakachita kuti bwaato buubilwe akubwaala mayila mulwizi.
2c1b27007f	Nikwakaba buunsi, tebakibonape nyika, pesi bakabona tyebe lilankomwe, alimwi bakayowesya kuti anga balayinzya bwaato na ataala.
2c1b2800a6	Mpawo bakanenga zyatendela zijazyo alimwi bakasiya mukati kalwizi. Muchindi chimwi biyo eecho bakangununa minchiinda yazitabilisyo kuluuwo; alimwi bakayinka kunkomwe.
2c1b2900a3	Pesi bwaato bwakajimpa aansi mpawo bweenda anyika. Chakumpela chabwato chakapatila alimwi chachaala kachitanyamuki pe, alimwi chaansi chakatyolwa anguzu zyamayuwe.
2c1b2a0067	Mabaambe abasilumaamba akali kujaya baange kuchitila kuti kutabi naba omwe uunga ulayamba mpawo achije.
2c1b2b00ae	Pesi mweendelezi wakalikuyanda kufutula Pawulo, mpawo wakayimikizya mabambe aabo; alimwi wakalayilila aabo bakalikukonzya kuyamba kuti basotokele kuunze alimwi basike anyika.
2c1b2c008b	Eelyo boonse baalumi beelede kutobela, bamwi ajulu azimwi zintu zyakali mubwato. Munzila eeyi zyakachitika kuti toonse tusike obotu anyika.
2c1c010052	Nitwakazubusigwa kabotu twanjila mukati, twakaziba kuti ako kasuwa kategwa Malita.
2c1c020086	Bantu bamumo bakatuchitila buuya bwindilide, pesi bakakunka mulilo, batutambula toonse, nkaambo kwakali muyooba alubo kakulokutontola.
2c1c030088	Pesi Pawulu nakabwezelela bukunikuni wabuwaala mumulilo, muzoka wakazwa nkaambo kakuumpa kwamulilo. Mpawo wanamatila aluboko lwa Pawulu.
2c1c0400ca	Lino bakkali bamuchisi echi nibakabona munyama oyu ulalengelela aluboko lwa Pawulu, bakati kuli umwi awumwi, “Oyu mwalumi welede kuti mujayi wavunwa kulwizi. Lubeta talumuzumizyi pe kuti kachipona.”
2c1c050041	Pesi nakamusansila mumulilo muzoka ulya, katakwe anakamuchisa pe.
2c1c0600de	Bakalindila kabalangilila kuti ulachiswa ndulwe mukati na kuti kuwidaansi mpawawo. Pesi nibakamulangilizya kwachiindi chilamfu, babona takwe abubi bwakachitika alinguwe, bakasandula kuyeeya kwabo bati mwalumi oyu ngu Leza.
2c1c07009a	Lino abusena buli afwifwi kwakali nyika yakali yamuzuluzi mupati wakasuwa aaka, mwalumi utegwa Pabbuliyasi. Wakatutambula watukutawukila kwamazuba ataatu.
2c1c080099	Lino kwakaba kuti wisi wa Pabbuliyasi wakalikuchiswa ndulwe akania bugwalaya. Lino Pawulu nakaya kulinguwe, wakakomba, wamubikka maboko, mpawo wamuponia.
2c1c09005f	Kuzwa akuchitika kwazezi, bantu biingi bakalikuchiswa mukasuwa aaka bakaza mpawo bakaponesegwa.
2c1c0a005e	Bantu bakatulemeka abulemo bwiingi. Elyo nitwakaamba kweenda, bakatupa zyoonse nzitwakabulide.
2c1c0b00b7	Kuuzwa amyeezi itaatu twakeenda abwaato bwakali bwamaninsya chilimu choonse kabuli akasuwa, bwaato bwa Alekkizandiliya bwakalijisi chikozyano chaba leza bamambile kachili chitondezyo,
2c1c0c0047	Kuzwa nitwakasika adolopo litegwa Silakkiyasi twakakkala mazuba ataatu.
2c1c0d00b3	Kuzwa mpawawo twakayamba mane twakusika kudolopo litegwa Legiyamu. Nikwakayinda zuba limwi kwakabuka moya wakumusanza, mpawo mukati kamazuba twakali twasika kudolopo lya-Pitiyoli.
2c1c0e0085	Awa twakajana babunyina bamwi, mpawo batutamba kuti tukkale ambabo kwamazuba aalimusanu aabili. Kwiinda munzila mbutwakasika ku Loma.
2c1c0f0080	Kuzwa mpawawo bakwesu nibakamvwa kuti twasika bakaza kuzotutambula ku Masasmbalilo a Apiyasi, akumaanda ataatu nkutwakali twaba.
2c1c100055	Nitwakanjila mu Loma, Pawulu wakangununwa kuti akkale alikke a silumamba sikumulinda.
2c1c110114	Elyo kwakaba kuti nikwakayinda mazuba ataatu Pawulu wakayita basilutwe bama Juda. Lino nibakabangununa, wakati kulimbabo; “Nobakwesu, nikuba kuti tandijisi mulandu pe kubantu akutunsiyansiya twamataata, Ndakeetwa mbuli mwaange kuzwa ku Jelusalema ndabikwa mumaboko aba Loma.
2c1c12005c	Nibakandibuzisisya, bakaba amoyo wakundangununa nkambo kwakabulika mulandu wakuti ndijiigwe.
2c1c130099	Pesi bama Juda nibakambuula mbuli mbubayanda, ndakamanikizigwa kuti ndizobetekwe kunkuta ya Siza, nikuba kuti takuli ndikupa bantu bakuli ndiswe mulandu.
2c1c140098	Nkambo kanzizyo ezi, nchindamwiita kuti ndimubone mpawo ngaambule andinywe, mbuli kuti nkambo kabulangizi bwa Izilayeli nchindisamide nketani eezi lino.
2c1c1500a4	Mpawo bakati kulinguwe, “Takwe anitwakatambula magwalo aambula azyanduwe, naba umwi wabakwesu wakaza kuzotwambila azyako, nikuba kwamba chimwi chibi atala anduwe.
2c1c16006e	Pesi tukumbila nduwe kuti uyeeya buti abukombi obu, nkaambo tulizi kuti bunowaambulwa azyambubo koonse koonse.
2c1c170106	Nibakabamba buzuba bwakuyooma anguwe, bantu biingi bakali kusika kung'anda yakwe. Wakabaambila kaambo kakwe, alubo kalungulula azyabwami bwa Leza. Wakeezya kubakombelezya azya Jesu, kubikka aamwi kuzwa kumulawu wa Mozesi awaba sinsimi kuzwa kuseni kuyosika goko.
2c1c180050	Bamwi bakazumina aatala azintu ezi zyakali kwaambwa, pesi bamwi tebakazumina pe.
2c1c1900a2	Nibakakkachilwa kuzuminana kumakani aya, bakazwa bamusiya Pawulu kali wamba ijwi eli: “Muuya Uusalala wakaambula kwiindilila muli Isaya musinsimi kuli bamawuso,
2c1c1a0093	“Wakati, koya kubantu aba ukaambe kuti, 'Akumvwa muyoomvwa pesi tamukwe nimuyomvwisisisya pe. akubona mulakubona pesi takwepe kunobenesesya loko.
2c1c1b00d8	Nkambo moyo wabantu aba wasitikwa, amatwi abo takonomvwa pe, alubo bakafwinya meso aabo, mbokunga ngabalabona ameso abo mpawo bamvwe amatwi abo mpawo bamvwisisye amyoyo yabo mpawo basanduke lubo kuti ndibaponisye.”
2c1c1c005e	Nchinchicho, mwelede kuziba kuti olu lufutuko lwa Leza lwakatuminwa bamasi alubo bayoswilizya.
2c1c1d0044	Lino nakamba makani aya, bama Juda bakeenda alubo bakanyongana loko.
2c1c1e003e	Pawulu wakakkala minyaka ibiili mung'anda yakwe mwini yakuula.
2c1c1f0086	Wakali kukambawuka bwami bwa Leza, alubo wakalikuyiisya azya Mwami Jesu Kkilisito abusichaamba buzulide kakutakwe achimugulungania pe.
2d00000007	Ba Loma
2d0101006d	Pawulo, mulanda waJesu Kkilisito, wakayitwa kuti abe mu positoli, alimwi wakasalilwa kukuchita mulimu waLeza.
2d01020057	Eli ndilyo vangeli ndyakasyomezya chiindi kwiinda mubasinsimi bakwe mumalembe aasalala.
2d01030052	Zili aatala aMwana wakwe, wakazyalwa kuzwa kulunyungu lwaDeviti mukwiinda munyama.
2d0104007e	Akubuka kuzwa kubafu, wakaambwa kuti Mwana waLeza uli a manguzu mapati kwiinda muMuya wa busalali - Jesu Kkilisito Mwami wesu.
2d0105007f	Kwiinda mulinguwe twakatambula luzyalo abutumwe akaambo kakuswiilila chalusyomo aakati kamanyika woonse, kuchitila zina lyakwe.
2d01060049	Aakati kawaaya manyika, alubo mwakayitwa kuti muli bakuli Jesu Kkilisito.
2d010700b5	Oolu lugwalo ndulwabaabo bali muLoma, bayandwi baLeza, bayitwa kuti bantu basalala. Luzyalo alube kulindinywe, alimwi luumuno luzwa kuli Leza Taata wesu alimwi Mwami Jesu Kkilisito.
2d01080080	Lutanzi, ndilumba Leza wangu kwiinda muli Jesu Kkilisito akaambo kenu moonse, akuti lusyomo lwenu lwaambilizigwa munyika yoonse.
2d01090082	Leza ngu kamboni wangu, ngundibelekela mumuya wangu kumakani mabotu aMwana wakwe, aawo mpeyinkila kunembo nkewamba atala andinywe.
2d010a0073	Ndilakumbila lyoonse munkombyo zyangu kuti mubunini ndikonzye kuzwidilila lino akuyanda kwaLeza mukuza kulindinywe.
2d010b0062	Nkaambo ndilayandisya kumubona, kuti ndimupe zimwi zilongezyo zyaMuya, kuti ndikonzye kumusimisya.
2d010c0067	Nkokuti, ndilayanda kusungwazigwa akanu kenu, kwiinda mulusyomo lwawumwi awumwi, lwangu alimwi alwangu.
2d010d00d7	Lino nsiyadi pe kuti mube batazi, bakwesu, kuti kiingi ndakalikuyanda kusika kulindinywe, pele ndakalikukachisigwa kusila lino. Ndakali kuyanda echi kuti nkonzye kuba amuchelo akati kenu alubo mbuli akati kabaMaasi.
2d010e005f	Ndimesichikwelete kubili kubaGiliki alimwi akubazwakule, koonse kubasongo alimwi akubafubafuba.
2d010f005c	Nkaambo, mbuli ndime, ndililibambilide kwaambawula ivangeli alubo kulindinywe nimuli kuLoma.
2d01100075	Nkaambo nsiwusigwi nsoni avangeli, nkaambo manguzu aLeza kulufutuko kuli woonse uusyoma, kubaJuda alimwi kuba Giliki.
2d0111008a	Mukuti mulindilyo bululami bwaLeza bwayubununwa kuzwa kulusyomo kuya kulusyomo, mbuli mbukwakalembwa, “Basalali bayoopona chalusyomo.”
2d01120093	Nkaambo mukali bwaLeza bwayubununwa kuzwa kujulu aatala abusofwazi alimwi akutalulama kwabantu, aabo babwedezya musule isimpe akaambo kakutalulama.
2d0113005d	Ezi nkukuti eecho chizibinkene aatala aLeza chilaboneka kulimbabo. Nkaambo Leza wabamunikila.
2d011400c2	Nkaambo bube bwakwe butaboneki bwakatondeezegwa aantanganan kuzwa kumatalikilo akulengwa zintu. Bube oobu ninguzu zyakwe zitamani alimwi abunajulu. Akaambo kaako, aaba bantu tabachikwe ntami pe.
2d011500af	Ezi nkukuti, nikuba bakalizi aatala aLeza, tebakamulemya mbuli Leza, nikuba kumupa bulumbu. Pesi, baka bafubafuba mumiyeeyo yabo, alimwi myoyo yabo itamvwisisisyi yakasizigwa.
2d0116003c	Bakali kulyaamba kuti bali abusongo, pele bakaba bafubafuba.
2d0117009f	Bakachinchanisya bulemu bwaLeza uutanyonyooki kucikkozyanyo chachitombe chamuntu uunyonyoka, cha bayuni, chabanyama bali amawulu one, alimwi chazintu ziyavula.
2d01180068	Akaako Leza wakabaaba kunkosya yamyoyo yabo yabusofwazi, kuti mibili yabo ikabule kulemekwa aakati kabo.
2d01190088	Mbimbabo bakachinchaanya kasimpe kaLeza kumabejo, alimwi bakakomba akulemya zilengwa kwiinda Mulengi, uyolumbayizigwa chakutamana. Amen.
2d011a00ab	Akaambo kacheechi, Leza wakabapeda kumpeekezyo zitakwe bulemu, nkaambo banakazi babo bakachinchanya bubelesi bwabo mbubakalengwa aambubo kulizeezyo ziteendelani aabukkale.
2d011b00ea	Mbuli munzila eeyi, baalumi abalabo bakasiya nzibakeelede kuchita abanakazi alimwi baba eenkosya yakuyanda umwi awumwi. Aaba mbaalumi bakachita a baalumi chiteelede pe, alimwi bakatambula mulilwabo lubeta lweendelana akutabotya kwabo.
2d011c008a	Nkaambo tebakayeeya kubika Leza mukubonesya kwabo, wakabapa muzezo utali kabotu, kuchitila mbabo kuti bachite ezyo zintu zitali kabotu pe.
2d011d0089	Bakazuzigwa akutalulama koonse, busofwazi, butangazi, alimwi a mabejo. Balizwide bbivwe, bujayi, lukajyanyo, lweeno, alimwi amiyeyo mibi.
2d011e00a8	Mbavwiyi, mbaasibupampu bwakubba, alimwi mbaasimusula-Leza. Balalupyopyongano, mbaachuundwe, alimwi balalisumpula. Mbaasimubamba zibi, alimwi tabaswiilili bazyali babo.
2d011f004b	Tabakwe kumvwisya; tabasyomekede pe, batamvwidi luzyalo alimwi batakwe luse
2d0120009a	Balamvwisya milawu yaLeza, kuti aabo bachita zintu ziliboobu baleelede kufwa. Pele pe pe kuti balachita biyo zintu ezi, balabotelwa abaabo bamwi bazichita
2d0201006b	Akaako tokwe chikachizyo, iwe muntu, iwe nuubeteka, nkaambo nchobeteka muli umwi mulinduwe ulalipa mulandu.
2d02020064	Pele tulizi kuti lubeta lwaLeza lweendelana akasimpe na lwawida aali baabo bachita zintu zili boobu.
2d0203008b	Pelelangisisye eechi, iwe muntu, nuubeteka aabo bachita zintu zili boobu nikuba ulachita zili boobo ayebo. Uyoonzwenga na kulubeta lwaLeza?
2d020400b0	Na uyeeya buniini aatala abuvubi bwabubotu bwakwe, kuchedwa kwalubeta lwakwe, alimwi alukakatilo lwakwe? Tamuzi na kuti bubotu bwakwe buchitilidwe kuti bumuzulwide kukusanduka?
2d02050093	Pele nkaambo kakuyuma akutasanduka kwamoyo nkoli kulilondweda bukali mubuzuba bwabukali, nkokuti, buzuba bwakuyubununwa kwalubeta lululeme lwaLeza.
2d02060031	Uyooboozya kumuntu woonse mbuli mumachitlo aakwe:
2d0207006b	kulibaabo bachita kabotu chabusungu akuyanduula bulumbu, kulemekwa, alimwi akutafwa, uyoopa buumi butamani.
2d02080079	Pele aabo balichitila zyabo, bataswiilili simpe pesle balaswiilila kutalulama, lunyemo abukali bupati buyosika kulimbabo.
2d0209006b	Leza uyoyeta mapenzi amafwabi kumuuya wamuntu woonse wakachita bubi, kubaJuda lutaanzi, alimwi akubaGiliki.
2d020a0063	Pele bulumbu, bulemu, aluzyalo ziyoosika kuliwoonse uuchita kabotu, kumaJuda lutaanzi, akubaGiliki.
2d020b0025	Nkaambo takwe kusaluulana pe kwaLeza.
2d020c0095	Nkaambo mbuli biingi mbubakabisya kakutakwe mulawu bayoofwa alubo kakutakwe mulawu, alimwi mbuli biingi mbubakabisya mumulawu, bayoobetekwa mumulawu.
2d020d0060	Nkaambo tensi basikumvwa mulawu mbibaluleme kunembo lyaLeza, pele mbaasikuchita batakalulamikwe.
2d020e0057	Nkaambo aawo baMaasi, batakwe mulawu, bo, mulawu kulilwabo beni, nikuba tabakwe mulawu.
2d020f00aa	Kulichechi batondeezya kuti nchito ziyandwa aamulawu zililembedwe mumyoyo yabo. Mayeyelo aabo alazuminana, alimwi miyeyo yabo tiibapi mulandu pe na kubalwanina lwabo beni
2d02100092	alimwi akuliLeza. Eezyo ziyochitikana mubuzuba aawo Leza natakabeteke nsiswa zyabantu boonse, mbuli muvangeli lyangu, kwiinda muli Jesu Kkilisito.
2d02110058	Na kolyaamba kuti uli muJuda, kala aatala aamulawu, botelwa chakulikankayizya muli Leza,
2d02120053	ziba luyando lwakwe, mpawo sala zisiyene kkuyigwa mulawu, koli walayililwa amulawu.
2d02130054	Alimwi koli aalusinizyo kuti nduwe sikuzulwida boofu, mumuni kuibaabo bali mumudima,
2d02140054	muzyotololi wabafubafuba, muyisi wabaniini, alimwi koli aaluzibo akaasimpe kamulawu.
2d02150067	Iwe, lino, noomuyisi wabamwi, toliyiisyi na we nomwini? Nywebo nimukambawuka kuti mutaabbi, mulabba na?
2d02160070	Nywebo nimwaamba kuti utachiti mamambi, mulachita mamambi na? Nywebo nimusesemwa mitumi, mulabbida matempele na?
2d02170054	Nywebo nimulikankayizya mumulawu, mulamusampawula na Leza kwiinda mukusotoka mulawu?
2d0218005f	Nkaambo, “izina lya Leza liluubisigwa aakati kabaMaasi akaambo kenu,” mbuli mbuzyakalembwa.
2d02190084	Nkaambo kupalulwa kuleempindu kulinduwe na waswiilizya mulawu, pele na koli sikusotoka mulawu, bupalulwe bwako ngabwaba kutapalulwa.
2d021a006e	Na, limo, muntu uutapalwidwe wabanya ziyandwa aamulawu, kutapalulwa kwakwe takukoyooboneka mbuli bupalulwe na?
2d021b00a0	Alimwi ooyo uutapalwidwe takonzyi na kumubeteka na watobelezya mulawu? Oku nkukuti muli aamagwalo aalembedwe alimwi abupalulwe pele muchili basikusotoka mulawu!
2d021c0063	Nkaambo tensi uubanguwe mwinimwnini kuchiwa chaanze; nikuba bupalulwe oobo buli aanze buyo munyama.
2d021d0096	Pele muJuda ooyo uuli aabwamukati, alimwi abupalulwe bwamumoyo, mu Muya, pe pe mumalembe. Bulumbo bwamuntu uuliboobu tabuzwi kumuntu pe pesi kuliLeza.
2d03010047	Alyobo mbobuli bubotu maJuda mbubalabo? Mpawo ninzi mpindu yakupalulwa?
2d0302005a	Nchipati munzila zyoonse kumatalikilo, baJuda bakasyomezegwa achiyubunuzyo kuzwa kuliLeza.
2d03030072	Ino kwalinolibiyeni ansinga bamwi baJuda te bakalalusyomo? Sena kutasyomeka kwabo kuyo lesya busyomesi bwaLeza na?
2d030400e2	Takwelede kuba akube kuti Leza ajanike kali kasimpe, nekuba kuti muntu woonse ulabeja. Mbuli mbukwakalembedwe, “Ukonzya kuti kutondezya kululama kwindila kumajwi akwe, mpawo ukakonzye kuzunda muchindi niwakusika mulubeta.”
2d030500ad	Pesi kuti kutalulama kwesu kutondezya bululami bwaLeza, chinzi chitunga tulamba? Nga tulamba kuti Leza taluleme na weta bukali bwakwe alindiswe? Ndokubelesya muzezo wabuntu.
2d03060038	Te mbukwelede pe! Mbubuli mpawo Leza mbwayobeteka nyika?
2d03070075	Pesi kuti isimpe kuliLeza ikwinda mukubeja kwangu kuyungizizya bulemu, nkambonzi me nichili mukubetekwa mbuli sizibi.
