2900000007	ST MARK
290a1100b1	Kahchu yitai tyesha atghunni kehchi, ehlaityi yuhchidesha ghatlelhu, kahchu yachinachustatalih, kahchu taoontya yehti toowe, Oochu Tanechiotyihi, tawoshlaitea ahtaze wostazonha?
290a120072	Kahchu Jesus toowe yehti, Yehoo gha oochu indityesa sindilon ha? atuline oochu oontye ehlaiti zon, ayi Tikeaootli.
290a1300b6	Sa tsiwohzon atanati, Atu soocha aoonta, Atu chu tane zaoohel, Atu chu anaooih, Atu chu ketselihoo tsiwotahoontich neotinoo, Atu chu tane nawoah, Ohtye taghooncha natgna chu noo chu.
290a140060	Kahchu ateyatetlalon toowehchu yehti, Taneghaotatich, atghe tidi kama indityeaiih yeshihto otsi.
290a150100	Kahchu Jesus yakaihtgha, yuntyeh, kahchu toowe yehti, Ehlaiti ooli nainchi tehtsut: ootinta, anehisi anetye mataghaneli, tyetaisanaine chu ghatanale, kooh ohtye natatootlosi ya tehchi: kahchu yuhchidiya, kahchu ninaootiah ayi sookatiya-i, kahchu sakehtiya.
290a160073	Kahchu atu oochu indityesalon ayi sa tachi, kahchu yitaityeshalon atu keneli ihe: atane ohtye ooli natlon ayehilon.
290a170081	Kahchu Jesus klokanatgha, toowehchu yehti yaotatichne, Tewotye atatlate ayine matatintlone kwewootyelassi Nagha Tgha nataghe tsi!
290a1800b7	Kahchu yaotatichne yazake kaooghulli. Ahwole Jesus ateyatetla kahchu toowehchu yehti, Tsitohkaine, tahtye indatlaooh ayi kiyasooli mehmehetatintlon kwewootyelu Nagha Tgha mataghe tsi!
290a190075	Ayi kyeotunni ghatai kwewotyizoo apetsiche kaookoodi, o-ochi matatintlon ehlaiti teze kwewoya Nagha Tgha nataghe tsi.
290a1a0045	Kahchu o-ochi ghaooghali, toowe hlaghatati ihe, Mea mechua aghatoota?
290a1b0098	Kahchu Jesus yakaitgha toowe yehti, Tane la atu kookechi nioontsit, Nagha Tgha la atu kooh hoontye: aha atane Nagha Tgha atghezi ooli mahechi nioontsut.
290a1c0057	Kahchu Peter toowe tyi ehti, Nea anetye kyecho tasityetl, kahchu naghakyehtasityetliih.
290a1d00ec	Kahchu Jesus ateyatetla toowehchu yehti, Kwa hli anaghaisii, atuline ooli kyeghachelihine nito kwa, mekye koole, mehtghizze koole, matgha koole, ma koole, matsiyue koole, maskyege koole, matsatle koole, suni ihe, kahchu otich oochu ihe,
290a1e00e5	Ahwole otsinitooalassi keonetyi ketyi otehche enetyi too, nito kwane, mekye chu, mehtghizze chu, matgha chu, ma chu, maskyege chu, makyeyih chu, kahchu tsookatayaghi chu; kahchu achu tike tsi ghonioonizut ate kwihzon ehchaghatai.
290a1f005d	Ahwole natlone haladi atine haistlachi awotyeissi; kahchu haistlachi atine haladi awotyeissi.
290a2000cc	Kahchu atghunni aghatii Jerusalem otsi ghatestyetlu; kahchu Jesus yaghatyesha: kahchu kawoghuli; kahchu kiyahsellu oonighanityetlon. Kahchu niyatila keneti onketi matgha kahchu yatatati yesoo yuhniyi ihe,
290a2100b4	Toowe ehti ihe, Nea Jerusalem otsitatyetl; kahchu tane Chue niyatoohtyelassi taneghaotatich tyiyine, adesklesne chu; inkai mazetse ooli kiyehtlon, kahchu kiyaniyutyelessi achunene;
290a220089	Kahchu kiyachaochesi, kahchu kikatootoozassi, kahchu kikyehoozekassi, kahchu kizoohelassi: taiti dzinee awooche ate tsitike nawootyeissi.
290a23007a	Kahchu James chu John chu, Zebidee chue, yachidesha toowe yehtie, Taneghaotatyechi, kooh koosti aghaawoti akootiti sikooh.
290a240039	Kahchu toowe yehti, Yea sachi nioonunassit naghachanasti?
290a25006c	Kahchu toowe kiyehti, Aghaniah sookah ookyetih, ehlaiti mehoonati, hligi oosklaghazihtye, nachatinchai kehe.
290a2600b0	Ahwole Jesus toowe yehtii, Atu atawahti ooli ootahkyeti: atu mihe tuwahto la ayi tsa mehtughastoii? kahchu tunaghakechuhkliti ayi mehtanekhaitsikliti ayi ihe nehsakaichihkliti?
290a2700c2	Toowe kiyehti, Atu ahandatla. Kahchu Jesus toowe yehti, Kwa hli tuwahtoissi tsaeh ieti otsi tughastode; kahchu ayi mehtukhaitsihkliti mihe tusakechihklitii ihe ayi ihe mihe naghakyechuhklitassi:
290a280087	Ahwole wostyi chisinchi chu tayaghetichu oosklaghazintye atu si senatunne eli kaooali; ahwole kooyachulelassi ayine kooya so-ochesunne,
290a290050	Kahchu kenetyine aghatitsuk chi ohtye atu yatsi kyehanelilon James chu John chu.
290a2a0091	Ahwole Jesus tyechi yehtilon toowehchu yehti, Atawahti ayi kechanehtya kehe kikaootsutti ayi achune kooyakeolech; kahchu kootaityiye kooyaghatah.
290a2b0075	Ahwole naghai atu kooh akehe naghahtyeissi: Ahwole ayi koonoochu sachatoohcha kooti, naghani ayi nagha keo-otichassi:
290a2c0075	Kahchu ooline assine naghani ihe haladi miindichatoesi o-ochi chatoohchai gha, tane glia keo-otichassi achanetye gha.
290a2d0088	Ayi aghoo teze Chue atu makeochatichi ihe yuhchideya, ahwole tane gha keo-otichassi, kahchu khaooallu yeghataisi natlone yatachi ootane.
290a2e009f	Kahchu nighanintyetl Jericho: kahchu Jericho otsi hatayaooh yaotatichne chu tane natlone chu, mataituehi Bartimaeus, chue Timaeus, tinkuzze satah tyechihi ihe.
290a2f0079	Atitsuk chi ayi Jesus Nazareth chihtatyezutti, ohtye tyi otyesta, kahchu toowe yehti, Jesus nai chue David, soonchoonaya.
290a300065	Kahchu natlone yatati atu awotihi gha: hoontye ooli otaihchi ohtye otyesta, David chue, soonchoonaya.
290a31008c	Kahchu Jesus hlininiya, kahchu kwehakehe ehti. Kahchu tyechi kiyehti ayi teze mataituehi, toowe kiyehti ihe, Kyeneneli, niiya; tyechi nehti.
290a32003f	Kahchu ooyadehchus yiatehtakadi, niiya, kahchu Jesus tsidyesha.
290a330086	Kahchu Jesus otyesta toowehchu yehti, Ye sachinioonunisita anusleha? Ayi mataituehi teze toowe ehti, Aghaghintai, setai saanaoontlihi.
290a34006d	Jesus toowe yehti, Taihchi ootinta; na-ihe naghinta. Iitetyeh matai naootli, kahchu Jesus kyehtesha atghunni.
290b01007f	Kahchu hwa aghatyi Jerusalem, Bethphage chu Bethany chu chisinchi, khis kuchi Olives aghatyi, yitaityeha onketyene yaotatichne,
290b0200b9	Kahchu toowe ehti, Taihchi otsitahtyel yito kwa oontlo chi naghanataihchi: kahchu kweghaachatyeh soosooklya aghahtyelassi taghaklu, atu makai achatyi; tahwahut, kahchu yuhchinaghahtyel:
290b03007b	Kahchu ooline toowe naghai tyete, Yehoo gha koohghahtya oontye? kooh taghahti, Metihi tiye hehti; kwete cho otsi nayaduesi.
290b040074	Kahchu yitaighatestyetl, kahchu soosooklya kiyintyi taghaklu tusklahooka atghunni yaghintyidi; kahchu tahkiyainghut.
290b05005e	Kahchu tahkiae iiti naihyani toowe kiyehti, Yehoo gha kooh hahtya oontye taghautti soosooklya?
290b06003d	Kooh kiyehti koohotye ayi Jesus akooyehtii: kwa kootayinchut.
290b07005b	Kahchu soosooklya Jesus gha naghunihtyi, kahchu kiyeatetahkatti keghihla; kahchu yakaisata.
290b080085	Kahchu natlone kiyeatetahkatti atghunni tsiyaghestla: kahchu achune naghaghihul tatsi tachin tsi, kahchu ghatyeh atghunni ghatunihla.
290b090095	Kahchu ayine haladi atine, kahchu ayine tanekeghatailhne, oghatyesta, toowe ghatieh, Hosanna; Moohchuootaya ayi yuhchideshai yindizi ihe Naghaghatai:
290b0a0088	Koonoochu moohchuootaya manataghe nagha tgha David, yuhchideshai tindizi ihe Naghaghatai: Hosanna ayi zon o-ochi yataihchi miindiotehah.
290b0b00be	Kahchu Jesus kwiya Jerusalem, o-ochi tyetachatlihi kwa chu: kahchu kootoo anetye ooli ookaghanehtghachi, kahcu kahkachi aoocha koohnioonizutooh, hadesha Bethany tsi keneti onketi matgha chu.
290b0c0032	Kahchu naodike tsi, ooatastyetl Bethany tsi tapat:
290b0d00a1	Kahchu chiche chok chine toontyetsi ya-i maton ooli, yuhchidesha intyizon ooli ion ate: yuhniya tsi aton zon yilah; atu ka chiche nichatilesti kho nioonizut ihe.
290b0e0083	Kahchu Jesus otyesta toowehchu yehti, Atulire otsitsassi chiche nai ihe too otsi nioonizutti otsi. Kahchu yaotatichne oohatitsalon.
290b0f010e	Kahchu nighanintyetl Jerusalem otsi: kahchu Jesus kwiya tyetachatlihi kwa otyiyi, kahchu hayadesla ayine atagholane kahchu ataghatotane tyetachatlihi kwa otyiyi wota, kahchu yechonayadehklit yakeehtai ayine sooniya klaghayihne, kahchu yestahi chu ayine oyetli tagholane;
290b10006b	Kahchu atu hatyeh yasehlai iyu maaoontye ooline yatooai oolita tatawochulihi tyetachatlihi kwa otyiyi oota.
290b11009a	Kahchu yaotatich, toowe yehti ihe, Koo atu kooh akehe nichatinklessi la, Sa kwa anetye tane tyetachatlihi kwa wowohyih? Ahwole kooh awahtla anoosine take.
290b1200b1	Kooh adesklesne chu taneghaotatichne tyiyine metihi chu oohatitsuk, kahchu oonkhaghanatgha tyeha kehe chahteakiyule gha: yeghanejit ihe, aitye tane khaooghulli ihe yachihootehe.
290b130035	Kootoo kahkachi ooli tsi, hadesha nitokwa wotyih tsi.
290b140057	Kahchu hatlindo aoocha, taihchi ghataihlu chiche chine maghaye otsi ya-ikoonoo kiya-ih.
290b15006f	Ayi Peter kyejetitihyu toowe yehti, Taneghaotatyechi, makintgha ayi chiche chine atu tyeswe adintii kwa sakoon.
290b16003e	Kahchu Jesus otyesta, toowehchu yehti, Nagha Tgha aha oodinti.
290b1700ec	Atai kwa hli anaghaisi, ooline ti khis atyetane, Achu ninintsit kahchu otsinachatoohtyeli tu chok tsi; kahchu atu tawahkootye ate tadzye ihe, ahwole ihe kootilon ate ayi ooli ehtii sakyehchi niwotsitti; awohiisi atghazi ooli tyekootesi.
290b18006b	Ayi ihe anaghaisii, Ooli si nioonunisitassi, aghaswehlye ate, ihe kootahti nitaghahali, koohzon naghahaisi.
290b190097	Kahchu natahya otye aghaswehli intyizon ooline oolakehe chahte meititaai ate: Nagha Tgha naghai chu ya tehchi ati naghaoochatoohulassi nagha metselihi.
290b1a0061	Ahwole atu ootalai ate, atu naghani chu Nagha Tgha yatehchi ati naghaoodohulassi nagha metselihi.
290b1b00b6	Kahchu yuhchighatestyetl Jerusalem tsi: intyizon ghayahlhu tyetachatlihi kwa otyiyi oota, yinkhadesha taneghaotatich metihi tyiyi, kahchu adesklesne, kahchu haladi meindi chatehaneh,
290b1c0079	Kahchu toowe yehti, Ye makaoonatsut ayiwoh keoonaahch aoontye? kahchu mea nayiwa tidi kakaoodzutti keoonaahchi tidi ooli?
290b1d00af	Kahchu Jesus ateyatetla toowehchu yehti, Suni chu ehlawotatye taoontya naghosyeassi, kahchu satatahti ate, naghatatuhsi ye kakaoodzutti kooh akehe kewohahch aoontye tidi ooli.
290b1e0052	Matukeghihliti John yataihehi otsi la tatyesut oontye, tane tsi koole? kootatinti.
290b1f0075	Kahchu inchiooghatatyech, toowe ghati ihe, Koohtitye ate Yataihchi otsi; kooh tootyezi, Yehoo gha tawah tahtyaoontye?
290b200076	Ahwole koohtitye ate, Tane tsi; tane eghanejit: ayiwo aitye tane koohkiyehti John, yaghi kwa hli tanetaghatahchne ali.
290b2100af	Kahchu ooghatyesta kahehu Jesus tsi toowe kiyehti, Atu koowoti. Kahchu Jesus otatihch toowehchu yehti Suni chu atu naghatatuhsesi naghakaoodzutti ayi ihe keoonaahch tidi ooli.
290c01010c	KWA tyi yaotatich yiheaghasule. Ehlaiti yaghi tane oonehye chiche chok chine ochunehyehti, kahchu anetye ootaisuggi oola lon, kahchu hayaghinkyetlon ayeti chiche tu taaoohklitigha, kahchu nayaghintsih khaghatai kwa, kahchu yaniyiooh oonehyene tane, kwa tontyetsidesha.
290c020095	Kootoo koonioonizutooh otsiyateha ayi ehlaiti yakeotiche yinkhadoya natlone tezoo, yayual assilon chiche natlone tezoo chiche chine oochunihyehi tsi.
290c030041	Kahchu nighatintyi, kahchu kikutatooz, kahchu tahzoh achukihteha.
290c040077	Kahchu yachideha achune woaine; kahchu ine tsihadehyitl, kahchu tsinakoozehai yetsi ihe, kahchu achukideha maooya ooli.
290c05006f	Kahchu achune otsideha; kahchu ayi hazehai; kahchu achune natlone, tahkine chu kikutatooz, tahkine chu kizehai.
290c060081	Kwaka ehlaiti machue ayehi, o-ochi mandayadetlahoo, ayi chu haistlachi yachiyadeha toowe ehti ihe, Kiya indi nootghahassi sechue.
290c07007d	Ahwole ayine oonehyene tane toowe hlaghatati, Tunela katsila kakaoozutassi; kwa hoote zaoogheli, kwa naghani kakao-odzutassi.
290c08005a	Kahchu nighatintyi, kahchu kizehai kahchu khakitihtyi chiche chine ochenihyehti iite otsi.
290c09009e	Yea aaoti ayi kakaoodzutti chiche chine ihe ochanahyehi? yuhchinatlone chahtawoleissi oonehycne tezoo, kahchu achune chiche chine ihe ochanahyehi ghaooalassi.
290c0a007d	Koo kahchu atu makeh ootaghatechila tidi aduskles; ayi tsye kiyenali? ayine nito kwa aootline ayi hatse oohniya sookewostidi:
290c0b0046	Tila Aghakaoodzutti makyeoahchi, kahchu ohtye kawochulih naghataitgha?
290c0c00af	Kooh chu oonkhaghanatgha kiyuhchutigha, ahwole tane eghauejitlon: aghatane atawo-otihi ihe ako-oyehti ihe ayi meaghasoochali: kahchu kiyechutestyetllon, taichi ghanintyetl yu.
290c0d004e	Kahchu kichiteha tahkine Phariseene chu Herodiana chu, kiyukluhchi gha yazake.
290c0e0114	Kootoo nighanintyetl tsi, toowe kiyehti, Taneghaotatich atawotihi hlodinti, atu chu ooline inaoohoontyiassi: atu chu kyinditaniha tane oontya kehe, ahwole taneghaodintich Nagha Tgha oontya kehe matlontideh: Tsiwohzon la machulelu mehtikechilehe sooniya Caesar, intooe ate chu?
290c0f0095	Kaooyeli la, atu kaooyeli koole? ahwole atai atawonatioo meaneahe, toowe yehti, Yehoo gha sakaootahun aoontye? sananahah sooniya satsoone, wosyekhai.
290c10007b	Kwa nakiyiooh. Kahchu toowe yehti, Mea achintye sikooh kahchu takehnichatinklesi mindizi? Kahchu toowe kiyehti, Caesar tsi.
290c110084	Kahchu Jesus ateyatetla toowehchu yehti, Caesar ghanahah ayi ooli ayahi Caesar, Nagha Tgha chu ooli ayahi Nagha Tgha. Kwa Kiyaoolih.
290c120077	Kootoo kooyinkhachatestyetl ine Sadducee yaghine nachaghintai oontooe ghatine; kahchu taoontya kiyehti toowe ghati ihe,
290c1300c1	Taneghaotatyehchi, Moses aghaadusklesiih, Ooline mekye tehtsut, ate, matsiyue chu yechodyesha ate, kahchu tsito atu yechodyesha ate, mekye matsiyue niyatahtyeloo, yaskyege yayanuhi tsito mekye.
290c140064	Oowhilihi taiuchine hlyehligi ghili: kwa ayi hatse tsege nitintyi, tehtsutooh atu tsito yechodyesha.
290c15007a	Kooh chu haladi tachi tsege ninayatihtyi kahchu tehtsut atai chu atu tsito yechodyesha: haladi tachi ayi chu kwaka hlyeih.
290c160064	Kahchu taiuchi aline aghahiii, kahchu atu tsito yechoghatatyel: hli haistlahchi ayi tsege tehtsutii.
290c170077	Hooghaghintyetl tsi, tsitike ghaiskye tsi ooli ate mea soo ate yakahoota tyiooh? taiuchi ghili aghanetye kookahsatalon.
290c18007c	Kahchu Jesus ateyatetla toowehchu yehti, Atu kha yaghayala, atu itawahtihi ihe, aduskles tyiyi, Tikeaootli koole manatsutti?
290c190092	Kootoo tsitike ghaiskye ate koozetse otsi atu inkah tueakoochila koole atu chu hlakoochilalon; ahwole keotihchi tyiyi yeghinhtyelon yataihchi ati.
290c1a0121	Ahwole tehtsut ine, tsitike nawokyesi: atu makyeh ootaghatyechtah ooli la Moses adusklese, tyeha yehti kat tsaghehtonti Tikeaootli yechiintechii, Suni Tikeaootli asli aoontye Abraham tgha asli, kahchu Tikeaootli asli aoontye Isaac tgha asli, kahchu Tikeaootli asli aoontye Jacob tgha asli?
290c1b004f	Oochu natooene atu yeta odeha ahwole yaghitane gha: ayi ihe o-ochi kayaghatsut.
290c1c00b4	Kahchu ehlaiti adesklesi yahchidyesha, kahchu atitsuklon ihe inchiotatyech otye, kahchu atawotihoo tsiwohzon ateyatetlalon, taoontya yehtilon, Tyeya ootaihchi hatse tsiwotsatyehli?
290c1d009d	Kahchu Jesus toowe hakehe ateyatetla, Hatseto tsiwotsatyehli anetye asikooh titih Nea oozintso, Israel; Naghaghatai Nagha Tgha atane zon Naghaghatai aoontye:
290c1e00a7	Kahchu maoontye Nagha Tgha Naghaghatai atghe nedzye ihe, kahchu atghe matsinde ihe, kahchu atghe nindi ihe, kahchu atghe nanatsutti ihe: ayila hatsetoh tsiwotsatyehli.
290c1f0090	Oo ayi onkye kwa hlye oontye, toowe hakehe, Mataghoonti nehtanoone natsun matintya kehe. Oontooe tsiwotsatyehli ootaihchi miindichatoohai tizon.
290c200082	Kahchu adesklesne toowe yehti. Kwa hli Taneghaotatyechi, kooh tintiih hlonchati: ehlaiti zon Tikeaootli ali; atu achune atune zon:
290c2100f5	Kahchu machutye atghe khadzye ihe, kahchu atghe atsatitsuk ihe, kahchu atghe khatsinde ihe, kahchu atghe mehnatsutsut ihe, kahchu yuatutih yetanoone atwati yakehe, ootaihchi kyeindi ooteha ayi aghoo atghe tsichatihuli chu inghade keochaachi chu.
290c220084	Jesus wa-inchi ooyu tahwohzon, toowe yehti, Atu tontye tsi anatih Nagha Tgha nataghe otsi. Atu ayi keh taoontya atu nichatitah ooli.
290c230097	Kahchu Jesus otyesta toowehchu yehti taneghaotatyechoo sahtgha tyetachatlihi kwa tyiyi oota, Yehoo gha adesklesne kooghatya oontye Christ David machue?
290c24009e	Ayi ihe David atane koochati kooehtii Atsinde Oochu ihe, Kakaoodzutti kooyehtii Sakaoodzutti, Nuni sinta noohtichintye atehzonih aiseakooyasle ate tsintanine.
290c25007b	David atai hoochati nai Kakaoonadzutti yehti; tyechi otsi gha machue yilontye? Tyetaisanaine kyehanelilon oochu kititsalon.
290c2600a1	Kahchu toowe yehti machiootehe, Matsagha ghahta adesklesne, tane ayine kwaghintyene koo kestue yaintyesne, kahchu kwaghintye kyila chihchiche inchiatahachulihti.
290c270057	Kahchu asta otyihti tyetachatlihi kwa, kahchu o-ochi nataghisatooh asta kwehluchayihti:
290c28008c	Chahte akiyila ya kwa waatyihi, kahchu tane ghanaahooh oontyes oohatatyech: ayi ti otsinighatooalassi ohtye otaihchi ketselihoo keochaahchi.
290c2900a5	Jesus chu sata sooniya ninchatilesti oghade, kahchu tane ya-ih iotsi sooniya otsiyatelyihoo kweotsi nichatilihi sooniya; natlone chu tatintlone natlon kwechihatehul.
290c2a00a3	Yuhchidesha ehlaiti tsege tiesunni waatyihi ali, kahchu kwehchiyatehyitl o-ochi yaintsutli onketya sooniya satsoone toolya ehlaiti sooniya satsoone enetya eyontyi.
290c2b00b5	Kahchu yaotatichne tyechi yehti, toowehchu yehti, Kwa hli anaghaisii, tai tiesunnioo waatyihi naghataihchi ohtye kwechiyatestla, anahtye naghai ooia kwechitala sooniya nichatilesti:
290c2c0088	Ayi ihe aghanetye kwehchighadestla kootatintlon otsi; ahwole atai yindatli otsi kwehchiyatehyitl anetye ayehesi, anetye ooli yighataisi.
290d01009d	HOONTATAHOOH tyetachatlihi kwa otyiyi tih otsi, ehlaiti yaotatichi toowe yehti, Taneghaotintichi, nea ti tsye naih atotye, kahchu nito kwa atotye chode ooli!
290d020081	Kahchu Jesus otyesta, toowehchu yehti, Onaila tidih kwa tyiyi tonli? atu ehlaiti woo meachu chatuyesi tsye tasaoo nachatihulassi.
290d030098	Kahchu sata klataihchi khis ke Olives ooghade tyetachatlihi kwa tyiyi, Peter chu James chu John chu Andrew chu taoontya kiyehtilon sahti aghati zahtgha,
290d040071	Aghatatinti, taisatsi ooli khoonioozit aoontye? kahchu ate taootyaoontye kootoo anetye ooli ooghade nininkye ate?
290d050042	Kwa Jesus atoyatetla toowehchu tyi ehti, Tyeke atuline naghanooah:
290d060069	Natlone chu yuhchighatutyelassi sindizi kehchi, toowe ghatuti ihe, Suni Christ; natlone chu ghanooahassi.
290d07009e	Kahchu atahtsuk ate natsapahi kahchu natsapahi eoyu ate, atu nagha khazatawahtyel: ayi etye ooli kehchi nio-otsitassi; ahwole halohchi atuka koohnao-ozitassi.
290d0800e4	Ayi ihe ehlaitidi tane ghataghitodeh kiyinkha ghatapah achu tanane, kahchu tane tike inchi niihach: kahchu eonetye tsi tike ootooloone tsi, kahchu wo-olyesi to khasihai tsookachatayahi chu: ayila tatyeski ochati kyeatsunatsitti.
290d0900e4	Awole achukhahahta naghai: naghaghatoochitassi tsiwotsatyelchi; kahchu tyetachatlihi kwa oota naghatghatsutyesassi: kahchu nanaghachulelassi haladi tsiwotyihi metihi o-ochi metihi tyiyi chu suni ihe, ayi ihe kooyeh ooghahtichoo.
290d0a004d	Kahchu otich oochu ihe hatse kooyehoochutichassi tike okehe atghe tanane tsi.
290d0b00f1	Ahwole otsinaghachataistle ate, kahchu naghachataitsut ate, atu ahunataihchi kindiwahtsit atawahtyakehe sootasun koole ataghahkyakehe: ahwole ooli si naghachualassi ayi sakehchiaghali ayi otahtich: atu naghani otahtyech ahwole Atsinde Oochu.
290d0c008f	Mekye taza ihe yatutsitassi azeche tsi mekye, kahchu atgha khachue; kahchu tsihone koonahchine niwotyelassi, kahchu nakiyuteissi tsazuheli gha.
290d0d0069	Kahchu naghai tane naghachatuh Ikeassi sindizi ihe: ahwole ayi ayuhi haistlahchi otsi, ayi nachaoohtaisi.
290d0e00d6	Ahwole wa-itah ayi metselihi chahtehnitsutsiti tsi kamaotatyehchi Daniel atanataihchi atawatihi nachaghintsitti ayiti o-otooassi lon, (ayi aghasule inkai ootootsukki,) inkai ayine Judaea aline khis tsi ghatoowhezi:
290d0f006f	Kahchu ayi tahtaghatsi nito kwa atu noocha nito kwa otsi, koole atu ayite kwewoya oolitah nitooaluh makwa otsi:
290d10004e	Kahchu yaghi achunihyehti oota ati atu tahnatoocha yehatyetakhati niyatooallu.
290d110062	Ahwole atu oochu awohtyeissi ayine koozita tsito tehtsine, yaghine chu tsito yehtochne ayi dzinee!
290d120031	Kahchu aghasuahlih nahuthataklihi atu yaske ooli.
290d1300a6	Ayi ihe dzinee oolezi tsookachatayahi, ayi etye natooehi zon ooliih toh otsi hatseto tike ooli toh otsi Nagha Tgha ayilaii, kwa hlilon too otsi, atu koole o-otoowesi.
290d14008b	Kahchu atu Tikeaootli dzinee nakhasse oolai ate, atuline ootaizilon: ahwole matghachihchine tsi, yatgha-ihchilon, natya oolalon ayi dzenee.
290d150062	Kahchu ooline toowe naghahtye ate, Nea, taila Christ; koole nea, yaghitih atih; atu a Kootaghahti:
290d1600ab	Ayi ihe atu tyeswe Christ kahchu atu tyeswe ghaghatane niwootyelassi, kooh chu kiyuesi ehtole kahchu kawochuli, aghanooahi gha, awowootli iyu aoontye ate, matghachihchine.
290d17004a	Hoontyeoo khama-inditahsit naghani: nea, naghatasiih atghazi ooli ootagha.
290d180070	Ahwole ayi dzinee, kaohtzut ate ayila tsookaehatayahi, sa ihewohelassi hatleke iza chu atu kaooalassi maootaghe,
290d190054	Kahchu yataihchi sun ooli nakyelassi, menatsutsutti yataihchi ta ooli yatooloonassi.
290d1a005e	Kwa ayiti kiyueissi teze Chue yuhchidesha khoos tgha o-ochi mehnatsutsutti chu tsatinchai chu.
290d1b00ab	Kwa iiti otsiyateha yakeotihehi tyiyi, kwa chu nachaghanoolelassi yatghachihchine tyeotatyechi otsi ninchi, o-ochi tike wolonhchi otsi kwa hlilon o-ochi yataihchi lonhchi.
290d1c008b	Kwa hoote ookaatawahti mihe achati chiche chine tsi; kootoo kwaka matatse natsutletonh, kahchu ato nehyehta, atawahtihoo hwaza atoleh ooli:
290d1d0060	Kooh otye naghani chu, wa-ichi tidi ooli koohnininkye ate, atawahti kwa hwa ooli, tusklah koole.
290d1e005d	Kwa hli anaghaisii, taine yahlaniyune tanane atu koolonh oolesi, aise atghe ooli tidi achahi.
290d1f0041	Yataihchi chu tike chu o-otooesi; ahwole sezake atu woloh oolesi.
290d200088	Ahwole ayi dzinee kahchu ayi sakehchiahali atuline atawoti, ama, atu keotihchne tyiyi yatehchi atine aghoone khachue aghoo, khatgha zon.
290d210050	Tyeke naghai, ootanahi kahchu aghasuahli: ayi ihe atu atawahti kooh nawizut ate.
290d2200be	Tezoo Chue ali ihe tezoo yetye tontyetsi tatyeh ihe, tanito kwa kyechotyesha, kahchu yatsiwosta yakeotichne, kahchu anetye tezoo keotihch akehe, kahchu ayehtii tusklah khaghatai ootanoo gha.
290d2300a3	Ayi ihe ootanahi: atu atawahtihi aoontye kootoo nito kwa khaghatai naoochati, kahkachi koole, hatleke tatichi koole, tihchok otyesta zahtgha koole, hatlindo koole:
290d24002e	Intyizon nooja ate, atu nahoohtyeloo satyechu.
290d25002d	Kahchu ayi anaghaisii anetye kooyesi, Oonahi.
290e0100cb	Onkyeti dzinee oolesta ooli kwehlachayihi passover achati, kahchu otles atu chehyutli: kahchu taneghaotatyechi tyiyine adusklesne chu oonkhaghanatgha oolakehe naoonai nighatuhtyeli gha, kahchu kizuhelyu.
290e02004a	Ahwole toowe ghati, Atu kwehlachayihi dzinee eli, atu tane inchiniootyelu.
290e0300e7	Kahchu ali Bethany tih ma kwa oota Simon chusache ayahi, intyizon sata atsitsoo yuhchidesha tsege ayahi khluk tsye khaisis spikenard otsi o-ochi matahi natlon; kwa yataghataghiooh tsye khaisis yitii, kahchu yatsi kachi nayadinklit.
290e040067	Kahchu tahkine atu keghaneli kooyindi ihe, kahchu toowe ghati, Yehoo gha tidi ghatsatyestka tidi khluk?
290e05008b	Ayi ihe ataghachulekhai ootaihchi tghakooh keoneti ketyi sooniya satsoone ihe, kahchu tyetaisanaini ghachulelakhai Kwa atu tyeswa akiyehti.
290e060061	Kahchu Jesus toowe yehti, Atu machuwahti; yehoo gha machisootahtyihch? ootaihchi oochu saatyiinh.
290e070078	Ayi ihe inkaa eahline tyita-isanaini, kahchueoonetye akootahti o-ochi akooyaghaklehesi: ahwole suni atu inkaa naghaasli.
290e080056	Koo hatiih machitelonh otsi: ootagha yuhchidesha yuhthlukke gha oochu nisachutyel gha.
290e09007f	Kwa hli anaghaisii, ooli tsi otsi tidi otich oochu moohwochatih ate tike okehe, tidi chu atii moohwochutyehesi menachutihi gha.
290e0a0080	Kwa Judas Iscariot, ehlaiti keneti onketi matgha ihe, yinkhadesha taneghaotatyech tyiyi metihe, ooli oochadehyitli kyehodewoosh,
290e0b0093	Oohaditsuk chi, ohtye kyehanelilon, kahchu ootagha tsi akiyehtilon sooniya yaooleli. Oonkhanatghalon tyehakehe sookah nio-otsitigha chahte autigha.
290e0c0096	Kahchu hatseto dzinee otles atu chihyutli, kwa ooghazehai passover, yaotatichne toowe yehti, Tyecha koodinti nataghasootaoozani ate oonsitsi passover?
290e0d00ba	Kwa onkye tane yaotatichne yitai tyeha, toowehchu yehti, otsitahtyel nitc kwa otyiyi tsi, kwa matiti tagahazasi ehlaiti teze yaalu ehlaiti mehtukachatayehi taismanooh tu ihe: makehtahaz.
290e0e0072	Kahchu kwiyesitti, toowe ahti nito kwa kakaoodzutti, Wondi achune kwa ayiti o-ositsti passover mawotastihchne chu?
290e0f0063	Kahchu wahih naghotyesi ooncha tyinta ooli chelohchi soowachisunooh: Naghani gha iehti soowatahsun.
290e10008f	Kahchu yaotatichne yitaighatestyetl yuhchi chu ghatatyetl nito kwa otyiyi tah, kahchu woghiooh akooyehtiii: kahchu yatagha sooghihsun passover.
290e110035	Kahchu kahkachi yuhchinooja keneti onketi matgha chu.
