0100000014	1 Мојсијева
180f080121	Више него морског песка биће преда мном удовица, мајки младића против којих ћу довести затирача усред дана. Учинићу да се изненада на њих стровале мука и ужас.
180f09014d	Клонула је она што је седморо родила, дах је испустила, сунце јој је зашло још за дана. Посрамљена је, зацрвенела се, а њихов остатак ћу дати мачу њихових непријатеља – говори Господ.“
180f0a010f	Куку мајко, што си ме родила! Човек сам неслоге, човек око ког се гложи цела земља! Нит’ сам позајмљивао, нит’ су ми позајмљивали, а сваки ме проклиње.
180f0b00e3	Господ одговори: „Ослободићу те заиста за твоје добро. Заиста ћу дати да те непријатељ моли у време погрома и у време невоље.
180f0c0052	Сломи ли ко гвожђе, гвожђе са севера и бронзу?
180f0d00ae	Твоја добра и имања твоја дајем као плен, у бесцење, за све твоје грехе по свим твојим границама.
180f0e00de	Предаћу те непријатељима твојим у земљи коју не знаш, да им служиш; јер мој гнев је ватру запалио и против тебе она букти.“
180f0f0113	О, Господе, ти знаш, ти ме се сети. Сети ме се и освети се за мене онима што ме киње. Не дај да ме збрише спорост твога гнева. Ти знаш да за тебе трпим ругло.
180f100115	Твоје речи су се нашле и ја сам их појео! Твоје речи су постале радост и весеље моме срцу! Јер, твоје је име призвано на мене, о, Господе, Боже над војскама!
180f1100c0	Ја не седим у друштву весељака и не веселим се. Седим сам, баш због руке твоје, јер си ме јарошћу преплавио.
180f120100	Зашто моме болу нема краја? Зашто мојој рани нема лека, што одбија да буде излечена? А ти си ми стварно као поток непостојан, вода што пресуши.
180f130165	И зато овако каже Господ: „Ако се вратиш, излечићу те и преда мном ћеш стајати. И ако раздвојиш вредно од безвредног бићеш као моја уста. И они ће се окретати теби али ти не смеш да се окрећеш к њима.
180f140122	Направићу од тебе утврђени бронзани зид за народ овај. Бориће се против тебе, али те неће надвладати. Јер ја сам с тобом да те спасем и избављам – говори Господ.
180f150070	Избавићу те из руку зликоваца! Из шака свирепих откупићу те!“
1810010044	Дошла ми је реч од Господа и поручила:
181002005d	„Не жени се! Синове и ћерке не подижи на овом месту.
18100300f4	Јер ево шта каже Господ за синове и ћерке рођене на овом месту, за мајке што их рађају и за очеве њихове од којих се рађају у овој земљи:
1810040140	Помреће од смртоносних зараза, неоплакани и несахрањени биће гнојиво поврх земље. Докрајчиће их мач и глад, а лешеви њихови ће бити храна птицама небеским и земаљским зверима.
1810050140	Јер овако каже Господ: не улази у кућу ожалошћених и не иди да наричеш. Не показуј да ти их је жао јер сам узео свој мир и милост и милосрђе од њих, од народа овог – говори Господ.
18100600e2	Помреће и велики и мали у овој земљи. Неће их сахранити, неће жалити за њима, нико се неће резати и нико бријати главу за њима.
18100700cd	Неће им уделити хлеб, ожалошћеног за покојником неће утешити, неће им дати да пију из чаше утехе за оцем и мајком.
1810080076	И не улази у кућу где је весеље, да са њима седиш, да једеш и пијеш!
1810090136	Јер овако каже Господ над војскама, Бог Израиљев: ево, на ваше ћу очи, још за ваше време, баш на овом месту да ућуткам звук весеља, цику радовања и повик младожење и невесте.
18100a0162	А када најавиш овом народу све ове речи, они ће ти рећи: ’А због чега је Господ објавио све ово велико зло против нас? Која је наша кривица? Који је наш грех којим смо згрешили Господу Богу нашем?’
18100b0134	Ти им одговори: ’Зато што су ме напустили ваши преци – говори Господ – ишли су за другим боговима, служили им и клањали им се. А мене су напустили и мој Закон нису држали.
18100c00ad	А ви сте још гора зла починили него они! Ето, свако живи по самовољи свог злог срца и не слуша ме.
18100d0104	Истераћу вас зато из ове земље у земљу коју нисте знали ни ви ни ваши преци. Служићете другим боговима и ноћу и дању, а ја вам се нећу сажалити.’
18100e00ec	Зато долазе дани – говори Господ – кад се више неће говорити: ’Жив био Господ који је извео израиљски народ из египатске земље!’
18100f013a	Него: ’Жив био Господ који је извео израиљски народ из северне земље и из свих земаља у које их је изагнао!’ Јер ја ћу их вратити у њихову земљу коју сам дао њиховим прецима.
1810100117	Ево, послаћу много рибара – говори Господ – да их лове. А након тога послаћу многе ловце да их лове по свакој планини, по сваком брду и у раселинама стена.
18101100e4	Јер мој је поглед над свим њиховим путевима. Они нису сакривени преда мном, а ни кривице њихове нису сакривене од мојих очију.
181012012e	Прво ћу двоструко да намирим њихове кривице и њихове грехе јер су моју земљу оскрнавили лешевима њихових гадости, њиховим гнусностима су испунили моје наследство.“
181013017b	О, Господе, снаго моја и тврђаво моја! Уточиште моје у дану невоље. К теби ће доћи народи са крајева света па ће рећи: „Стварно су наши преци имали лажне богове, ништавила, и у њима баш никакве користи није било!
1810140062	Хоће ли човек да за себе прави богове, а они нису Бог?“
18101500bb	„Зато ћу, ево, ја сада да им обзнаним, да им обзнаним своју моћну руку, па ће знати да је моје име Господ!
18110100d5	Јудин је грех записан гвозденим пером, урезан дијамантским шиљком на плочу њиховог срца и на рогове ваших жртвеника.
18110200c6	Деца њихова размишљају о њиховим жртвеницима и Аштартиним ступовима, под зеленим дрвећем на високим брдима.
18110300ed	А ти што се пењеш на планину у пољу: твоје добро и сва имања твоја дајем као плен, и твоје узвишице за грех по свим твојим границама.
181104012c	И ти сам ћеш да изгубиш наследство које сам ти дао. Учинићу да робујеш својим непријатељима у земљи коју не знаш, јер си запалио ватру мога гнева и довека она букти.“
18110500d7	Овако каже Господ: „Проклет је човек у човека што се узда, снагу своју што у телу тражи, а од Господа окреће срце своје!
18110600c7	Биће као грм у пустињи што и не зна кад му добро дође. Тавориће у безводној пустари, у слатини где нико не живи.
181107007d	Благословен је човек што се узда у Господа и коме је Господ узданица!
1811080138	Он ће бити као дрво посађено поред вода, што корење пружа ка живоме току. Припека кад дође, оно се не боји; лишће му зелено кроз годину целу. Од суше не стрепи, плода увек има.
181109007e	Срце је варљиво више од свег другог. Непоправљиво је, и ко ће га знати!
18110a00cc	Ја, Господ, испитујем срце, нутрину проверавам; па свакоме дајем по његовом путу, а и према плоду од његових дела.
18110b0105	Као јаребица што се леже, али не излеже, онај је што благо непоштено згрће: на пола му живота блага више нема, а он на своме крају испада будала.“
18110c006c	Престо славе од давнина узвишен, место је нашег Светилишта.
18110d011a	Надо Израиљева, Господе, постидеће се сви који те оставе. Они који су се окренули од мене у прашину биће уписани, јер су оставили Господа, извор свежих вода.
18110e0099	Излечи ме, Господе, да будем излечен! Спаси ме да и спасен будем, јер си ти моја слава!
18110f0070	Гле њих, говоре ми: „Где је реч Господња? Хајде, нек се збуде!“
1811100108	Ја се нисам устезао да ти пастир будем, да за тобом идем. Прижељкивао ти нисам тај дан несносни. И ти знаш шта су моје усне рекле у присуству твоме.
181111006a	Не буди ми ти на ужас, јер си моје уточиште у дану пропасти!
181112011a	Нек се стиде моји гонитељи, а не ја да се стидим. Нека они буду заплашени, а не ја да заплашен будем. Сручи на њих дан пропасти и сломи их двапут јачим сломом.
18111300fa	Господ ми је овако рекао: „Иди и стани на Врата синова народа, кроз која улазе Јудини цареви и кроз која излазе, и на сва врата Јерусалима.
18111400ce	Реци им: ’Чујте реч Господњу, о, цареви Јудини и сва Јудо и сви становници Јерусалима који улазите кроз ова врата!
18111500be	Овако каже Господ: чувајте животе своје па не носите робу у суботу и не уносите је на јерусалимска врата.
18111600e3	Ни из својих кућа не износите робу у суботу и не радите никаквог посла. Посветите суботу као што сам заповедио вашим прецима.
18111700ca	Али они нису послушали и нису пригнули своје ухо. Тврдоглави су постали, нису слушали и нису прихватили карање.
1811180113	Али, будете ли ме пажљиво слушали – говори Господ – и суботом не будете носили робу кроз градска врата, већ посветите суботу и не радите никакав посао:
1811190174	тада ће на градска врата улазити цареви и кнезови, који седе на престолу Давидовом, на бојним колима и на коњима – они, њихови главари, сви Јудејци и сви становници Јерусалима. А град ће овај остати довека.
18111a017b	И доћи ће из Јудиних градова, сви што су око Јерусалима, из Венијаминове земље, из равнице, са брда и из Негева они што доносе свеспалнице, жртве, житне жртве и тамјан, и они што доносе захвалнице у Дом Господњи.
18111b016a	Али ако ме не послушате – да посветите суботу, да не носите робу и пролазите кроз јерусалимска врата у суботу – запалићу ватру на његовим вратима да прогута дворове Јерусалима, и неће се угасити.’“
181201003c	Реч од Господа је дошла Јеремији:
181202006f	„Устани и сиђи у грнчареву кућу. Тамо ћу ти рећи своје речи.“
181203007f	Отишао сам у грнчареву кућу, а тамо, он ради нешто на грнчарском точку.
18120400f9	А посуда од глине, коју је грнчар вајао рукама се покварила. И он ју је вратио, па је обликовао другу посуду, баш какву је желео да направи.
181205003b	Дошла ми је реч Господња и рекла:
1812060118	„Доме Израиљев! Зар ја не могу да урадим са вама као овај грнчар? – говори Господ. Ево, попут глине у рукама грнчара, и ви сте у мојим рукама, доме Израиљев!
1812070084	У часу кад објавим народу и царству да ћу да их ишчупам, срушим и разорим;
18120800d3	а тај се народ одврати од свог зла за које сам говорио, ја ћу се сажалити због пропасти коју сам наумио да им нанесем.
1812090077	Или у часу кад објавим народу и царству да ћу да их градим и садим;
18120a00bd	а они на моје очи чине зло и не слушају мој глас, ја ћу да одустанем од добра које сам наумио да им учиним.
18120b0197	Зато сад реци свима у Јуди и свим становницима Јерусалима: ’Овако каже Господ: ево, вајам пропаст на вас, против вас замисао смишљам. Нек се свако врати са свог пута злога, молим вас. Нека поправи и своје путеве и дела своја.’
18120c00ca	А они ће рећи: ’Ништа од тога! Живећемо по мислима својим и свако ће да поступа самовољно по злоби свог срца!’“
18120d00f7	Зато овако каже Господ: „Распитај се међу народима је ли ико икад чуо за овако нешто, нечувено страшно што је учинила девица израиљска?!
18120e00a3	Да ли копни снег са каменитих ливанских стрмина, пресуше ли хладне воде туђинских брзака?
18120f00fc	А мој је народ мене заборавио! Ништавилу каде, које их је и саплело на њиховим путевима, на старим траговима, да следе стазе пута ненасутог;
18121000b9	да земљу своју опустоше, па да довека звижди свако ко поред ње прође, па да се ужасне и да клима главом.
18121100ba	Као источни ветар ћу их расејати пред непријатељем. Гледаћу им леђа, а не лице, у дан њихове пропасти.“
1812120143	А они су рекли: „Хајде да заверу скујемо против Јеремије! Јер неће нестати поука свештеника, савет мудрог и порука пророка. Хајде да га оклевећемо и да не маримо на његове речи!“
181213006b	Али ти за мене мари, Господе, и послушај вику мојих крвника!
18121400f8	Добро ли се злом одужује? А мени су јаму ископали! Ти се сети када сам пред тобом стајао и добро за њих тражио: да окренеш свој гнев од њих.
181215010e	Нека им деца гладују! У биткама на мач нек налете. Нек им жене ојалове, удовице буду. Мужеве њихове нека смрт покоси, а младиће нек им мач сатре у боју.
181216010c	Нек се чује нарицање из њихових кућа, јер ћеш на њих изненада довести пљачкаше. Јер су јаму ископали да ме заробе, и сакрили замке испред мојих ногу.
1812170161	Али ти, Господе, знаш шта су против мене наумили – да ме убију. Не покривај им кривицу и њихов грех не бриши пред собом, нек се због њих сруше ту пред тобом; па се с њима обрачунај у дан гнева свога.
18130100e4	Овако каже Господ: „Иди са неколико народних старешина и са неколико старешина свештеничких, па од грнчара купи земљани врч.
1813020092	Пођи у долину Вен-Еном, пред Грнчарева врата и тамо објави речи што ћу ти их рећи.
181303014b	Реци: ’Чујте реч Господњу, цареви Јуде и становници Јерусалима! Овако каже Господ над војскама, Бог Израиљев: ево доносим пропаст на место ово! Одзвањаће у ушима сваком ко за то чује.
1813040145	Јер су ме оставили, ово место учинили туђим и у њему кадили другим боговима – а за њих нису знали ни они, ни њихови преци, ни цареви Јуде – јер су испунили место ово крвљу недужних.
18130500ff	Подигли су узвишице Валима да спаљују своју децу ватром, да жртвују Валу. А ја им то нисам заповедио, нисам им говорио и на то помислио нисам!
18130600e5	Зато, ево долазе дани – говори Господ – када се ово место више неће звати ’Тофет’ и ’долина Вен-Еном’, него ’Долина клања’.
181307015e	Ја ћу да осујетим наум Јуде и Јерусалима на месту овом. Срушићу их мачем пред њиховим непријатељима. Руком оних што им раде о глави лешеве ћу њихове да дам птицама небеским и зверима земаљским.
18130800d8	Од овог ћу града пустош и ругло да начиним. Свако ко поред њега прође ужаснут ће бити и звиждаће због свих рана његових.
1813090161	Примораћу их да једу месо својих синова и месо ћерки својих. И свако ће јести месо ближњег свога, јешће под опсадом и невољом којом ће их притиснути њихови непријатељи и они што им о глави раде.’
18130a0063	А онда разбиј врч на очи оних људи што су с тобом пошли,
18130b0192	па им онда реци: ’Овако каже Господ над војскама: овако ћу да разбијем овај народ и овај град, као што се разбија грнчарева посуда што се више поправити не да. А у Тофету ће се људи сахрањивати јер нема више места за погреб.
18130c00bc	То ћу да учиним месту овом – говори Господ – и његовим становницима. Овај ћу град учинити попут Тофета.
18130d0150	Јерусалимске куће и куће царева Јуде ће бити као Тофет, нечисто место, баш све куће где су кадили са њихових кровова свој војсци небеској и изливали жртву изливницу другим боговима.’“
18130e00e4	Јеремија се вратио из Тофета где га је Господ послао да пророкује. Онда је стао у двориште Дома Господњег и рекао свем народу:
18130f0138	„Овако каже Господ над војскама, Бог Израиљев: ’Ево, овом граду и свим околним градовима доносим пропаст коју сам вам најавио, јер су тврдоглави и не слушају моје речи!’“
18140100d2	А Пасхор – Имиров син, свештеник и главни надгледник у Дому Господњем – је чуо како Јеремија пророкује све те речи.
18140200db	Тада је Пасхор ударио пророка Јеремију и бацио га у окове, у тамницу код горњих Венијаминових врата, где је Дом Господњи.
18140300f8	Сутрадан је Пасхор довео Јеремију из тамнице, а Јеремија му је рекао: „Неће те више Господ звати ’Пасхор!’ Име ће ти бити Магор-Мисавив.
18140401e4	Јер овако каже Господ: ’Ево, од тебе ћу ужас да направим и за тебе самог и за све пријатеље твоје! Пашће сви они од мача њихових непријатеља, а ти ћеш све то гледати. И сву ћу Јуду дати у руке цара вавилонског. Он ће да их одведе у изгнанство, у Вавилон, и побиће их мачем.
1814050139	Даћу све богатство овог града, сав његов труд, све његове драгоцености, све имање царева Јудиних у руке њихових непријатеља. Они ће то опленити, покупити и однети у Вавилон.
181406013a	А ти ћеш, Пасхоре, и сви домаћи твоји отићи у изгнанство, у Вавилон. Тамо ћеш отићи и умрећеш тамо. Тамо ће да сахране и тебе и све твоје пријатеље којима си пророковао лаж.’“
18140700e0	Завео си ме, о, Господе, и ја сам заведен! Надјачао си ме и надвладао ме. Свако ми се руга, целодневна сам им и прича и подсмех.
18140800c0	Кад год говорим, ја вапим. „Насиље и пустош“ вичем! А Господња реч ми је постала ругло и целодневни церек.
1814090141	А рекао сам: „Не спомињем га више! Више не говорим у његово име!“ Али у срцу ми је било као ватра, као пламен стешњен у костима. Изнурило ме је и више нисам могао да се суздржавам.
18140a016a	Чујем шапат многих око мене и ужас је свуда унаоколо: „Одајте га! Хајде да га одамо!“ Сада свако с ким сам био у миру вреба на мој пад: „Можда се и да завести, па ћемо га надвладати и осветићемо му се!“
18140b0128	А Господ је са мном као ратник свиреп. Зато ће да посрну гонитељи моји, ништа ми не могу! Посрамиће се силно јер неће успети, за незаборав вечни биће њихова срамота.
18140c011e	О, Господе над војскама, који праведника испитујеш, који видиш и нутрину и срце; нек над њима и ја видим ту освету твоју, јер парницу своју ја сам изложио теби.
18140d008e	Певајте Господу! Славите Господа јер из зликовачких руку душу убогог избавља!
18140e0089	Проклет да је дан кад сам се родио! Не био благословен дан кад ме мајка роди!
18140f00c1	А и нек је проклет човек што мом оцу благовести – „Мушко је! Син ти се родио!“ – и тако га силно обрадовао.
18141000f4	Нек тај човек буде попут градова што је Господ сатро, на које се смиловао није. Нека јутром нарицање слуша, а у подне поклич од ратника.
18141100cc	Што ме не усмрти у материци и зашто ми моја мајка гроб није постала! Што за веке векова не оста утроба јој трудна!
18141200a4	Зашто сам изашао из материце, муку и тугу да гледам, моји дани у срамоти да дођу свом крају.
1815010110	Ово је реч која је дошла Јеремији од Господа, када му је цар Седекија послао Малхијиног сина Пасхора и свештеника Софонију, Масијиног сина, с поруком:
1815020119	„Молимо те, питај Господа за нас! Вавилонски цар Навуходоносор ратује против нас, па да нам можда Господ учини једно од својих чудеса, да овај оде од нас.“
1815030057	Јеремија им је одговорио: „Ово реците Седекији:
1815040170	’Овако каже Господ, Бог Израиља: ево, то оружје ратно што ти је у рукама – то с којим се бориш против вавилонског цара и Халдејаца који те опкољавају око зидина – ја повлачим и окупљам насред града овог.
18150500ab	И ја ћу да се борим против вас руком испруженом, руком моћном, у великом гневу, јарости и срдњи.
1815060086	Побићу становнике овог града, и људе и животиње. Помреће од велике заразе.
1815070200	А после тога – говори Господ – даћу Седекију, цара Јудиног, његове слуге, народ и оне који преостану у граду од заразе, мача и глади, у руке вавилонског цара Навуходоносора и у руке оних који им раде о глави. Он ће их побити мачем и неће их поштедети, неће им се смиловати и сажалити.’
1815080097	Реци овом народу: ’Овако каже Господ: ево, стављам пред тебе пут живота и пут смрти.
1815090114	Ко год остане у овом граду умреће од мача, глади и помора. Ко год оде и преда се Халдејцима што вас опседају, преживеће и плен ће му бити тек то што је жив.
18150a010e	Јер сам окренуо своје лице на град овај да му се зло, а не добро деси – говори Господ. Биће предан у руке вавилонског цара и он ће га у ватри спалити!’
18150b004b	А ево Господње речи и за дом Јудиног цара:
18150c0161	Доме Давидов, овако каже Господ: ’По правди судите сваки дан, од тлачитеља избављајте покраденог, да се не би због ваших злих дела као ватра обрушио мој гнев и распламтео се, а никог нема да гаси.
18150d0120	Ево, долазим на тебе, који у долини пребиваш као стена на висоравни – говори Господ – на вас што кажете: Ма ко ће на нас да удари и ко ће да дође у наше уточиште?
18150e00c1	Судићу вам према плоду ваших дела – говори Господ – шуму ћу му упалити да пламен прогута све унаоколо.’“
181601008c	Господ је овако рекао: „Сиђи до царевог двора у Јуди и тамо им објави ову реч.
18160200dd	Реци: ’Чуј Господњу реч, царе Јудин, што седиш на Давидовом престолу – ти, твоје слуге и твој народ што улази на ова врата!
1816030148	Овако каже Господ: поступајте право и праведно. Од тлачитеља избављајте покраденог. Дошљака, сироче и удовицу не злостављајте и не тлачите. Не проливајте крв невиних на овом месту!
181604013a	Јер ако ово будете предано радили, тада ће на врата двора овог улазити цареви који седе на престолу Давидовом, на бојним колима и на коњима – они, њихове слуге и њихов народ.
18160500ba	А не будете ли послушали ове речи, собом се заклињем – говори Господ – овај ће двор постати пустош!’“
18160600fa	Јер овако каже Господ за двор Јудиног цара: „Мени си ти као Галад и врх Ливана, али ћу те стварно претворити у пустињу, у градове расељене.
18160700b7	Затирача спремам на тебе, све до једног наоружаног! Најбоље ће твоје кедрове посећи и у ватру бацити.
18160800e9	Многи ће народи пролазити поред овог града, па ће се међусобно питати: ’Зашто је Господ поступио овако са великим градом овим?’
18160900d2	И одговориће: ’Зато што су напустили савез Господа, Бога свога, па су се клањали другим боговима и служили су им.’“
18160a00de	Не оплакујте мртвог и не жалите за њим! Него горко јецајте за оним што одлази, да се више не врати и не види свој родни крај.
18160b0118	Овако каже Господ о Салуму, сину Јудиног цара Јосије, постављеном на место свог оца Јосије и који је отишао из овог места: „Он се никада више неће вратити.
18160c00a4	Тамо где су га одвели, у изгнанство, тамо ће и да умре. Ову земљу он никада више неће видети.
18160d00f5	Тешко ономе што кућу неправедно кући, и одаје горње, али не по правди; коме сународник ради без накнаде и који не даје трудбенику плату.
18160e00e6	Јер тај каже: ’Сазидаћу себи кућу повелику и простране горње собе.’ Отвориће за себе прозоре, па кедром облаже и црвеним боји.
18160f00ea	Зар ти владаш да би се кедровином разметао? Зар твој отац није и јео и пио, зар није праведно и правично радио, па му је било добро?
18161000af	Бранио је сиромаха и убогог. И онда је било добро. Не значи ли то познавати мене? – говори Господ.
18161100d5	Али твоје очи и твоје срце не теже ничем сем непоштеном добитку и проливању крви невинога, да би тлачио и изнуђивао.“
1816120138	Овако каже Господ о Јоакиму, сину Јудиног цара Јосије: „Неће за њим зажалити: ’Јао, брате мој! Јао, сестро!’ Неће за њим зажалити: ’Јао, господару! Јао његово величанство!’
18161300a2	Сахраниће га као што магарца сахрањују. Одвући ће га и бацити подаље од врата Јерусалима.
18161400c0	Попни се на Ливан и вичи! На Васану гласом зајечи и завичи са Аварима, јер су сатрвени сви твоји љубавници.
18161500f3	А ја сам ти говорио у твом благостању, а ти си рекао: ’Нећу да слушам!’ И то ти је био пут још од младости твоје – да не слушаш мој глас.
181616011e	Свим твојим пастирима ветар пастир ће да буде, а и твоји љубавници ће отићи у изгнанство. А онда ћеш се баш застидети и понижен ћеш бити због свих својих зала.
18161700c5	Ти што седиш на ’Ливану’, угнежден у кедровину: како ћеш стењати кад те спопадну трудови и бол као породиљу!
1816180104	Живота ми мога – говори Господ – све да Јехонија, син Јудиног цара Јоакима, буде и печатни прстен на десној руци мојој, и оданде ћу те стргнути.
18161900f1	Предаћу те у руке онима који ти о глави раде, у руке оних од којих стрепиш, у руке вавилонског цара Навуходоносора и у руке Халдејаца.
18161a00bb	Избацићу и тебе и мајку твоју која те родила у другу земљу, тамо где се нисте родили. И тамо ћете умрети.
18161b006a	А у земљу у коју им душа жуди да се врати, вратити се неће.“
18161c0119	Је ли крчаг презрен и полупан овај човек Јехонија? Или је посуда коју нико неће? Зашто су одбачени и он и његово потомство, истерани у земљу која им је туђа?
18161d004f	О, земљо! О, земљо! О, земљо, чуј реч Господњу!
18161e016e	Овако каже Господ: „Запиши: овај човек је као без порода и неће напредовати за живота свога. Неће напредовати нико од његових потомака, нико неће седети на престолу Давидовом да би поново владао Јудом.
1817010083	Тешко пастирима што сатиру и растерују стадо моје паше – говори Господ.
1817020196	Зато овако каже Господ, Бог Израиља, пастирима који напасају мој народ: ’Ви сте стадо моје растерали, ви сте их раштркали и нисте се побринули за њих! Ево, сада ћу ја да се побринем за вас због ваших злих дела – говори Господ.
18170300de	Сакупићу остатак свог стада из свих земаља у које сам их прогнао. Вратићу их на њихову пашу, па ће бити плодни и множиће се.
18170400f0	Поставићу над њима пастире који ће их напасати, па више неће страховати и неће бити престрашени. Неће се изгубити – говори Господ.’
1817050104	Ево, долазе дани – говори Господ – да Давиду подигнем праведни Изданак. Он ће да влада као цар, биће мудар, чиниће праведно и правично по земљи.
18170600fc	У његово време Јуда ће бити спасена, а Израиљ ће спокојно почивати. А ово ће му бити име којим ће га свако звати: ’Господ, наша праведност!’
18170700e9	Зато долазе дани – говори Господ – када више неће говорити: ’Жив био Господ који је извео израиљски народ из египатске земље!’
181708012e	Него: ’Жив био Господ који је извео потомке дома Израиљевог и довео их из земље северне и из свих земаља у које сам их изагнао!’ И они ће да пребивају у својој земљи.“
1817090131	Због пророка је у мени сломљено срце. Устрепташе све кости моје, постао сам као пијаница, као човек ког је стукло вино. А све због Господа и све због његових светих речи.
18170a0106	Јер сва је земља пуна прељубника! Због клетве се осушила земља, а пашњаци пустињски свенули. Зло им је постало животно предање, а неправда снага.
18170b00ab	„И пророк и свештеник су опогањени, чак и у свом сам Дому пронашао зла њихова – говори Господ.
18170c00f7	Зато ће им пут постати клизав, у таму ће бити протерани и тамо ће пасти. Јер ја на њих пропаст носим, годину њихове казне – говори Господ.
18170d00a4	Видео сам: пророци Самарије по Валу одурности пророкују, наводе мој народ Израиљ да греши.
18170e0172	И међу пророцима Јерусалима сам видео страхоту. Прељубу чине, живе у лажи, рукама зликоваца снагу дају да се нико не одврати од свог зла. Сви су ми постали као Содома, становници тамошњи су ми као Гомора.“
18170f0143	Зато овако каже Господ над војскама о тим пророцима: „Ево, нахранићу их пеленом и напојићу их затрованом водом, јер је од пророка Јерусалима по свој земљи кренула опогањеност.“
181710011c	Зато овако каже Господ над војскама: „Не слушајте речи које вам пророци пророкују! Они вас обмањују, говоре вам виђења из свога срца, а не из уста Господњих!
1817110108	Упорно говоре онима који ме презиру: ’Господ је казао: мир вам припада!’ И сваком ко живи по самовољи свог срца кажу: ’Неће пропаст на вас доћи!’
18171200bb	А ко је био на Господњем већу? Ко је видео и ко је чуо његову реч? Ко је пазио на његову реч и послушао је?
181713009f	Ево вихора Господњег што гневом плану! Ковитла вихор над главом зликоваца, баш ковитла.
18171400e6	Неће се повући гнев Господњи док он не изврши, док не учини по наумима свог срца. А у последњим данима ово ћете сасвим схватити.
