010000000b	1 Mooseksen
130d010023	Davidin Psalmi, edelläveisaajalle.
130d020064	Kuinka kauvan sinä Herra peräti tahdot minua unhottaa? kuinka kauvan sinä peität kasvos minusta?
130d03008d	Kuinka kauvan minä neuvoa pidän sielussani? ja ahdistetaan sydämessäni joka päivä? kuinka kauvan minun viholliseni yltyy minua vastaan?
130d040069	Katso siis ja kuule minua, Herra minun Jumalani: valista silmäni etten minä koskaan kuolemaan nukkuisi;
130d050064	Ettei viholliseni sanoisi: minä voitin hänen, ja minun sortajani iloitsisi, koska minä kompastun.
130d06009b	Mutta minä turvaan sinun armoos: minun sydämeni riemuitsee, ettäs niin mielelläs autat: minä veisaan Herralle, että hän minulle niin hyvästi tekee.
130e0100a7	Davidin Psalmi, edelläveisaajalle. Tyhmät sanovat sydämessänsä: ei Jumalaa olekaan; ei he mitään kelpaa, ja ovat ilkiät menoissansa; ei ole joka hyvää tekee.
130e02005f	Herra katsoi taivaasta ihmisten lapsia, nähdäksensä, jos joku ymmärtäis eli etsis Jumalaa.
130e030076	Mutta he ovat kaikki poikenneet pois, ja kaikki ovat kelvottomat: ei ole yksikään, joka hyvää tekee, ei ainoakaan.
130e040090	Eikö siis kenkään pahointekiöistä sitä havaitse? jotka minun kansaani syövät niinkuin he söisivät leipää; vaan ei he rukoile Herraa.
130e05004c	Siellä he kovin pelkäsivät; sillä Jumala on läsnä vanhurskasten sukua.
130e060041	Te häpäisette köyhän neuvon; mutta Jumala on hänen turvansa.
130e070081	Oi jos apu tulis Israelille Zionista! sillä koska Herra päästää vangitun kansansa, niin Jakob iloitsee ja Israel riemuitsee.
130f010063	Davidin Psalmi. Herra, kuka asuu sinun majassas? eli kuka on pysyväinen sinun pyhällä vuorellas?
130f020042	Joka vaeltaa ja tekee oikeuden, ja puhuu totuuden sydämestänsä;
130f030072	Joka ei kielellänsä panettele, eikä lähimmäisellensä mitään pahaa tee, ja ei häpäise lähimmäistänsä;
130f040076	Joka jumalattomat katsoo ylön, vaan kunnioittaa Jumalaa pelkääväisiä; joka lähimmäisellensä vannoo ja pitää.
130f050077	Joka ei anna rahaansa korolle, eikä ota lahjoja viatointa vastaan. Joka näin tekee, ei hän horjahda ijankaikkisesti.
131001004d	Davidin kultainen kappale. Kätke minua Jumala; sillä minä uskallan sinuun.
131002005e	Sinä olet Herralle sanonut: sinä olet minun Herrani: minun hyvätyöni ei ole sinun tähtes,
1310030070	Vaan pyhäin tähden, jotka maan päällä ovat, ja kunniallisten tähden, joissa kaikki minun mielisuosioni on.
13100400af	Mutta jotka toisen jälkeen rientävät, niillä pitää suuri sydämen kipu oleman: en minä uhraa heidän juomauhriansa verestä, enkä mainitse heidän nimiänsä suussani.
1310050050	Mutta Herra on minun tavarani ja osani: sinä tähteelle panet minun perimiseni.
1310060045	Arpa lankesi minulle kauniimmissa: minä olen jalon perimisen saanut.
1310070063	Minä kiitän Herraa, joka minua on neuvonut: niin myös minun munaskuuni ovat yöllä kurittaneet.
131008006f	Minä pidän aina Herran kasvoini edessä, sillä hän on minun oikialla puolellani, sentähden en minä horju.
1310090065	Sentähden minun sydämeni reimuitsee ja minun kunniani on iloinen, ja minun lihani lepää toivossa.
13100a005d	Sillä et sinä hyljää sieluani helvetissä, etkä salli sinun pyhäs näkevän turmelusta.
13100b0088	Sinä osoitat minulle elämän tien, sinun kasvois edessä on täydellinen ilo, ja riemullinen meno oikialla kädelläs ijankaikkisesti.
1311010080	Davidin rukous. Kuule, Herra, oikeutta, havaitse minun huutoni, ota vaari minun rukouksestani, joka ei viekkaasta suusta lähde.
1311020040	Puhu sinä minun asiassani, ja sinun silmäs katsokaan oikeutta.
131103009f	Sinä koettelet minun sydämeni, ja etsiskelet sitä yöllä, ja tutkit minua, ja et mitään löydä; minä olen aikonut, ettei minun suuni missäkään riko.
1311040053	Minä varjelen minuni sinun huultes sanoissa, ihmisten töistä, murhaajan tiellä.
1311050047	Hallitse minun käyntöni poluillas, ettei minun askeleeni liukahtaisi.
1311060068	Minä huudan sinua, ettäs, Jumala, minua kuulisit: kallista korvas minun puoleeni, kuule minun puheeni.
1311070087	Osoita ihmeellinen hyvyytes, sinä niiden vapahtaja, jotka sinuun uskaltavat, niitä vastaan, jotka sinun oikiaa kättäs vastaan ovat.
1311080048	Varjele minua niinkuin silmäterää: suojele minua siipeis varjon alla.
131109005e	Jumalattomista, jotka minua hävittävät, vihollisistani, jotka minun sieluuni piirittävät.
13110a0042	Heidän lihavansa yhtä pitävät: he puhuvat suullansa ylpiästi.
13110b0071	Kuhunka me menemme, niin he meitä piirittävät: siihen he silmänsä tarkoittavat meitä kukistaaksensa maahan,
13110c0057	Niinkuin jalopeura saalista himoitsee, niinkuin nuori jalopeura, joka luolasta väijyy.
13110d0069	Nouse, Herra, ennätä hänen kasvonsa, ja polje häntä; vapahda minun sieluni miekallas jumalattomista,
13110e00da	Sinun kädelläs ihmisistä, Herra, tämän maailman ihmisistä, joiden osa on tässä elämässä, ja joiden vatsan sinä täytät tavarallas: heidän lapsensa ravitaan, ja he jättävät tähteensä lapsukaisillensa.
13110f0068	Mutta minä saan nähdä sinun kasvos vanhurskaudessa: minä ravitaan herättyäni sinun kuvas jälkeen.
1312010108	Edelläveisaajalle, Davidin Herran palvelian Psalmi, joka Herralle nämät veisun sanat puhui sinä päivänä, jona Herra hänen vapahti kaikkein vihollistensa käsistä ja Saulin käsistä. Ja hän sanoi: minä rakastan sydämestäni sinua, Herra, minun voimani.
13120200af	Herra, minun kallioni, minun linnani ja minun vapahtajani; minun Jumalani on minun vahani, johon minä turvaan: minun kilpeni, ja minun autuuteni sarvi, ja minun varjelukseni.
131203004f	Minä kiitän ja avukseni huudan Herraa, niin minä vapahdetaan vihollisistani.
131204005e	Sillä kuoleman siteet olivat käärineet minun ympäri, ja Belialin ojat peljättivät minun.
1312050044	Helvetin siteet kietoivat minun: kuoleman paulat ennättivät minun.
13120600b9	Ahdistuksessani minä avukseni huudan Herraa, ja minun Jumalani tykö minä huudan: niin hän kuulee ääneni templistänsä, ja minun huutoni hänen edessänsä tulee hänen korviinsa.
131207005e	Maa liikkui ja vapisi, ja vuorten perustukset liikkuivat: he värisivät, koska hän vihastui.
131208006a	Savu suitsi hänen sieraimistansa ja kuluttava tuli hänen suustansa, niin että hiilet siitä syttyivät.
1312090051	Hän notkisti taivaat ja astui alas, ja synkiä pimeys oli hänen jalkainsa alla.
13120a004f	Hän astui Kerubimin päälle ja lensi, ja hän lensi tuulen sulkain päällä.
13120b0058	Hän pani pimeyden majansa ympärille, ja mustat paksut pilvet, jossa hän lymyssä oli.
13120c004a	Kirkkaudesta hänen edessänsä hajosivat pilvet rakeilla ja leimauksilla.
13120d0053	Ja Herra jylisti taivaissa, Ylimmäinen antoi pauhinansa, rakeilla ja leimauksilla.
13120e0058	Hän ampui nuolensa ja hajoitti heitä: hän iski kovat leimaukset, ja peljätti heitä,
13120f0094	Ja niin ilmestyivät vetten kuljut, ja maan perustukset ilmaantuivat, Herra, sinun kovasta nuhtelemisestas ja sinun sieraimies hengen puhalluksesta.
131210004e	Hän lähetti korkeudesta ja otti minun, ja veti minun ulos suurista vesistä.
1312110052	Hän vapahti minun voimallisista vihollisistani, jotka minua väkevämmät olivat.
131212004b	Ne ennättivät minun tuskapäivänäni; mutta Herra tuli minun turvakseni.
1312130052	Ja hän vei minun lakialle: hän tempasi minun ulos; sillä hän mielistyi minuun.
1312140063	Herra maksoi minulle minun vanhurskauteni jälkeen: hän antoi minulle kätteni puhtauden jälkeen.
131215003d	Sillä minä pidän Herran tiet, ja en ole Jumalaani vastaan.
131216006c	Sillä kaikki hänen oikeutensa ovat silmäini edessä, ja hänen käskyjänsä en minä tyköäni hylkää.
131217003c	Vaan olen vakaa hänen edessänsä ja vältän vääryyttä.
131218006b	Sentähden Herra kostaa minulle vanhurskauteni perästä, kätteni puhtauden jälkeen, silmäinsä edessä.
1312190044	Pyhäin kanssa sinä pyhä olet, ja toimellisten kanssa toimellinen.
13121a0047	Puhdasten kanssa sinä puhdas olet, ja nurjain kanssa sinä nurja olet.
13121b004a	Sillä sinä vapahdat ahdistetun kansan, ja korkiat silmät sinä alennat.
13121c0057	Sillä minun kynttiläni sinä valaiset; Herra minun Jumalani valaisee minun pimeyteni.
13121d0058	Sillä sinun kauttas minä sotaväen murran, ja minun Jumalassani karkaan muurin ylitse.
13121e006f	Jumalan tie on täydellinen. Herran puheet tulella koetellut: hän on kaikkein kilpi, jotka häneen uskaltavat.
13121f004b	Sillä kuka on Jumala, paitsi Herraa? ja kuka on kallio, paitsi Jumalaamme?
1312200043	Jumala vyöttää minun voimalla, ja panee minun tieni viattomaksi.
1312210048	Hän tekee jalkani niinkuin peurain jalat, ja asettaa minun korkeudelle.
1312220048	Hän opettaa käteni sotimaan, ja käsivarteni vaskijoutsea vetämään.
1312230088	Ja sinä annoit minulle autuutes kilven, ja sinun oikia kätes vahvistaa minun: ja koskas minun alennat, niin sinä teet minun suureksi.
1312240051	Sinä levitit minun askeleeni minun allani, ettei minun kantapääni livistyneet.
1312250061	Minä ajan vihollisiani takaa ja käsitän heitä, ja en palaja, ennenkuin minä heidät hukutan.
1312260053	Minä runtelen heitä, ettei he taida nousta: heidän täytyy kaatua jalkaini alla.
1312270064	Sinä valmistat minun voimalla sotaan: sinä taivutat minun alleni ne, jotka nousevat minua vastaan.
1312280044	Sinä annat minulle viholliseni kaulan, ja minä kadotan vainoojani.
131229004d	He huutavat, vaan ei ole auttajaa: Herran tykö, mutta ei hän vastaa heitä.
13122a005f	Minä survon heitä niinkuin maan tomun tuulen edessä, ja heitän pois niinkuin loan kaduilta.
13122b0082	Sinä pelastat minua riitaisesta kansasta: sinä asetat minun pakanain pääksi; se kansa, jota en minä tuntenut, palvelee minua.
13122c004f	Se kuultelee minua kuuliaisilla korvilla: muukalaiset lapset kieltävät minun.
13122d0037	Muukalaiset lapset vaipuvat ja vapisevat siteissänsä.
13122e005c	Herra elää, ja kiitetty olkoon minun kallioni, ja minun autuuteni Jumala olkoon ylistetty!
13122f0041	Jumala, joka minulle koston antaa, ja vaatii kansat minun alleni;
1312300094	Joka minua auttaa vihollisistani: sinä korotat myös minun niistä, jotka karkaavat minua vastaan: sinä pelastat minua väkivaltaisesta miehestä.
1312310056	Sentähden minä kiitän sinua, Herra, pakanain seassa, ja veisaan nimelles kiitoksen,
1312320084	Joka suuren autuuden kuninkaallensa osoittaa, ja tekee hyvästi voidellullensa, Davidille, ja hänen siemenellensä ijankaikkisesti.
1313010074	Davidin Psalmi, edelläveisaajalle. Taivaat ilmoittavat Jumalan kunnian, ja vahvuus julistaa hänen kättensä teot.
1313020039	Päivä sanoo päivälle, ja yö ilmoittaa yölle tiedon.
1313030040	Ei ole kieltä eikä puhetta, kussa ei heidän äänensä kuulu.
131304007b	Heidän nuoransa käy ulos kaikkiin maihin, ja heidän puheensa maailman ääreen asti: auringolle hän pani majan heissä.
1313050062	Ja hän käy ulos kammiostansa niinkuin ylkä, ja riemuitsee niinkuin sankari tietä juostaksensa.
131306008e	Hän käy ylös taivasten lopulta ja juoksee ympäri hamaan niiden loppuun jälleen; ja ei ole mitään peitetty hänen lämpimänsä edestä.
131307006e	Herran laki on täydellinen ja virvoittaa sielut: Herran todistus on vahva ja tekee yksinkertaiset taitaviksi.
1313080067	Herran käskyt ovat oikiat ja ilahuttavat sydämet: Herran käskyt ovat kirkkaat ja valistavat silmät.
1313090067	Herran pelko on puhdas ja pysyy ijankaikkisesti: Herran oikeudet ovat todet, kaikki tyynni vanhurskaat,
13130a005a	Ne ovat kalliimmat kultaa ja kaikkein parasta kultaa, ja makeammat hunajaa ja mesileipiä.
13130b005b	Sinun palvelias myös niissä opetetaan: ja joka niitä pitää, hänellä on suuri palkka.
13130c0045	Erhetykset kuka ymmärtää? anna minulle anteeksi salaiset rikokset.
13130d007c	Varjele myös palvelias ylpeistä, ettei he minua hallitsisi; niin minä olen viatoin ja nuhteetoin suuresta pahasta teosta.
13130e007d	Kelvatkoon sinulle minun suuni puheet, ja minun sydämeni ajatukset sinun edessäs, Herra, minun vahani ja minun Lunastajani!
131401006c	Davidin Psalmi, edelläveisaajalle. Herra kuulkoon sinua hädässäs, Jakobin Jumalan nimi sinua varjelkoon!
131402004b	Hän lähettäköön sinulle apua pyhästä ja Zionista sinua vahvistakoon!
131403004e	Hän muistakoon kaikki ruokauhris, ja sinun polttouhris olkoon lihavat, (Sela)
1314040058	Hän antakoon sinulle, mitä sinun sydämes anoo, ja päättäköön kaikki aivoitukses!
131405007f	Me kerskaamme sinun avustas, ja meidän Jumalamme nimessä me ylennämme lippumme: Herra täyttäköön kaikki sinun rukoukses!
1314060087	Nyt minä tunnen Herran voideltuansa auttavan, ja häntä kuulevan pyhästä taivaastansa: hänen oikia kätensä auttaa voimallisesti.
1314070055	Nämät uskaltavat rattaisiin ja oreihin; mutta me muistamme Herran Jumalamme nimeä.
131408004c	He ovat kukistetut ja langenneet; mutta me nousemme ja pystyällä seisomme.
1314090037	Auta Herra! Kuningas meitä kuulkaan, kuin me huudamme.
1315010079	Davidin Psalmi, edelläveisaajalle. Herra, Kuningas riemuitsee sinun voimassas: ja kuinka suuresti hän iloitsee avustas!
131502005e	Hänen sydämensä halun sinä annat hänelle, etkä kiellä, mitä hänen suunsa anoo, (Sela)
1315030068	Sillä sinä ennätät hänen hyvällä siunauksella: sinä panet kultaisen kruunun hänen päähänsä.
131504005e	Hän anoi elämää sinulta, niin sinä annoit hänelle pitkän ijän aina ja ijankaikkisesti.
1315050064	Hänellä on suuri kunnia sinun avustas: sinä panet ylistyksen ja kaunistuksen hänen päällensä.
1315060066	Sillä sinä asetat hänen siunaukseksi ijankaikkisesti: sinä ilahutat hänen kasvois edessä ilolla.
1315070049	Sillä Kuningas turvaa Herraan: ja Ylimmäisen laupiudessa ei hän horju.
1315080062	Sinun kätes löytää kaikki vihollises: sinun oikia kätes löytää ne, jotka sinua kadehtivat.
1315090075	Sinä panet heitä niinkuin kuumaan pätsiin sinun vihas aikana: Herra nielee heitä vihassansa, ja tuli syö heitä.
13150a005c	Heidän hedelmänsä sinä kadotat maan päältä, ja heidän siemenensä ihmisten lapsista.
13150b005e	Sillä he ajattelivat tehdä sinulle pahaa: he pitivät neuvoa, jota ei he voineet täyttää.
13150c005f	Sillä sinä teet heitä olkapääksi: sinä tarkoitat jänteelläs heidän kasvojansa vastaan.
13150d0054	Herra, ylennä sinuas väkevyydessäs; niin me veisaamme ja kiitämme sinun voimaas.
13160100aa	Davidin Psalmi, edelläveisaajalle, peurasta, jota varhain väijytään. Minun Jumalani, minun Jumalani! miksis minun hylkäsit? minä parun, vaan minun apuni on kaukana.
131602005a	Minun Jumalani! päivällä minä huudan, ja et sinä vastaa, ja en yölläkään vaikene.
1316030031	Sinä olet pyhä, joka asut Israelin kiitoksessa.
1316040053	Meidän isämme toivoivat sinuun: ja kuin he toivoivat, niin sinä vapahdit heitä.
1316050053	Sinua he huusivat, ja vapahdettiin: sinuun he turvasivat, ja ei tulleet häpiään.
131606004a	Mutta minä olen mato ja en ihminen, ihmisten pilkka ja kansan ylönkatse.
1316070071	Kaikki, jotka minun näkevät, häpäisevät minua: he vääristelevät huuliansa ja päätänsä vääntelevät.
1316080064	Hän valittaa Herralle, hän vapahtakoon hänen: hän auttakoon häntä, jos hän mielistyy häneen.
1316090074	Sillä sinä olet minun vetänyt ulos äitini kohdusta: sinä olit minun turvani, ollessani vielä äitini rinnalla.
13160a0069	Sinun päälles minä olen heitetty äitini kohdusta: sinä olet minun Jumalani hamasta äitini kohdusta.
13160b004a	Älä ole kaukana minusta; sillä ahdistus on läsnä, ja ei ole auttajaa,
13160c0053	Suuret mullit ovat minun piirittäneet, lihavat härjät kiertäneet minun ympäri.
13160d004b	Kitansa avasivat he minua vastaan, niinkuin raateleva ja kiljuva jalopeura.
13160e0083	Minä olen kaadettu ulos niinkuin vesi, ja luuni ovat kaikki hajoitetut: minun sydämeni on niinkuin salattu vedenvaha ruumiissani.
13160f0080	Minun voimani on kuivettunut niinkuin kruusin muru, ja minun kieleni tarttuu suuni lakeen; ja sinä panet minun kuoleman tomuun.
131610006e	Sillä koirat ovat minun piirittäneet: julmain parvi saartain lävistänyt kuin jalopeura käteni ja jalkani.
1316110058	Minä lukisin kaikki minun luuni; mutta he katselivat ja näkivät ihastuksensa minusta.
1316120047	He jakavat itsellensä minun vaatteeni ja heittävät hameestani arpaa.
131613004c	Mutta sinä, Herra, älä ole kaukana! minun väkevyyteni, riennä avukseni!
1316140038	Pelasta minun sieluni miekasta, ja ainokaiseni koirilta.
1316150046	Vapahda minua jalopeuran suusta, ja päästä minua yksisarvillisista.
131616004c	Minä saarnaan sinun nimeäs veljilleni: minä ylistän sinua seurakunnassa.
131617008e	Ylistäkäät Herraa te, jotka häntä pelkäätte: koko Jakobin siemen kunnioittakoon häntä, ja kavahtakoon häntä kaikki Israelin siemen!
13161800a3	Sillä ei hän hyljännyt eikä katsonut ylön köyhän raadollisuutta, eikä kääntänyt kasvojansa hänestä pois; vaan kuin se häntä huusi, kuuli hän sitä.
1316190075	Sinua minä ylistän suuressa seurakunnassa: minä maksan lupaukseni heidän edessänsä, jotka häntä pelkäävät.
13161a008d	Raadolliset syövät ja ravitaan, ja jotka Herraa etsivät, pitää häntä ylistämän: teidän sydämenne pitää elämän ijankaikkisesti.
13161b007c	Kaikki maailman ääret muistakaan ja kääntykään Herran tykö, ja kumartakaan sinun edessäs kaikki pakanain sukukunnat.
13161c003b	Sillä Herralta on valtakunta, ja hän vallitsee pakanoita.
13161d00a3	Kaikki lihavat maan päällä pitää syömän ja kumartaman, hänen edessänsä polviansa notkistaman kaikki, jotka tomussa makaavat ja jotka surussansa elävät.
13161e0065	Hänen pitää saaman siemenen, joka häntä palvelee: Herrasta pitää ilmoitettaman lasten lapsiin.
13161f005c	He tulevat ja hänen vanhurskauttansa saarnaavat syntyvälle kansalle, että hän sen tekee.
1317010044	Davidin Psalmi. Herra on minun paimeneni: ei minulta mitään puutu.
1317020054	Hän kaitsee minua viheriäisessä niityssä, ja vie minua virvoittavan veden tykö.
1317030050	Minun sieluni hän virvoittaa: hän vie minun oikialle tielle, nimensä tähden.
1317040092	Ja vaikka minä vaeltaisin pimiässä laaksossa, en minä pelkäisi mitään pahuutta, ettäs olet kanssani: sinun vitsas ja sauvas minun tukevat.
1317050086	Sinä valmistat minulle pöydän vihollisteni kohdalle: sinä voitelet minun pääni öljyllä, ja minun maljani on ylitsevuotavainen.
131706006b	Hyvyys ja laupius noudattavat minua kaiken elinaikani, ja minä saan asua Herran huoneessa ijankaikkisesti.
1318010069	Davidin Psalmi. Herran on maa, ja kaikki mitkä siinä ovat, maan piiri ja ne jotka sen päällä asuvat.
1318020053	Sillä hän on perustanut sen merten päälle, ja virtain päälle sen vahvistanut.
131803004d	Kuka astuu Herran vuorelle? ja kuka taitaa seisoa hänen pyhässä siassansa?
1318040064	Jolla viattomat kädet ovat ja on puhdas sydämestä, joka ei halaja turhuutta eikä vanno väärin,
1318050042	Se saa siunauksen Herralta, ja vanhurskauden autuutensa Jumalalta.
1318060054	Tämä on se sukukunta, joka häntä etsii, joka kysyy sinun kasvojas, Jakob, (Sela)
131807005a	Tehkäät portit avaraksi ja ovet maailmassa korkiaksi, kunnian Kuninkaan mennä sisälle.
131808005a	Kuka on kunnian Kuningas? se on Herra, väkevä ja voimallinen, Herra voimallinen sodassa.
131809005a	Tehkäät portit avaraksi ja ovet maailmassa korkiaksi, kunnian Kuninkaan mennä sisälle!
13180a004e	Kuka on kunnian Kuningas? se on Herra Zebaot, hän on kunnian Kuningas, (Sela)
131901003c	Davidin Psalmi. Sinun tykös, Herra, ylennän minä sieluni.
131902006f	Minun Jumalani! sinuun minä turvaan, älä salli minua häväistä, ettei minun viholliseni iloitsisi minusta.
1319030066	Sillä ei yksikään tule häpiään, joka sinua odottaa; mutta irralliset pilkkaajat saavat häpiän.
1319040040	Herra, osoita minulle sinun ties, ja opeta minulle sinun polkus.
1319050078	Johdata minua totuudessas, ja opeta minua; sillä sinä olet Jumala, joka minua autat, yli päivää minä odotan sinua.
1319060047	Muista, Herra, laupiuttas ja hyvyyttäs, joka maailman alusta on ollut.
1319070083	Älä muista nuoruuteni syntejä ja ylitsekäymistäni; mutta muista minua sinun laupiutes jälkeen, sinun hyvyytes tähden, Herra!
1319080041	Herra on hyvä ja vakaa, sentähden saattaa hän syntiset tielle.
131909004a	Hän johdattaa oikeudella raadollisen, ja opettaa siveille hänen tiensä.
13190a0063	Kaikki Herran tiet ovat hyvyys ja totuus niille, jotka hänen liittonsa ja todistuksensa pitävät.
13190b0051	Sinun nimes tähden, Herra, ole armollinen minun pahalle teolleni, joka suuri on.
13190c0048	Kuka on se mies, joka Herraa pelkää? sillä hän opettaa parhaan tien.
13190d0044	Hänen sielunsa asuu hyvyydessä, ja hänen sikiänsä omistaa maan.
13190e005c	Herran salaisuus on niillä, jotka häntä pelkäävät, ja liittonsa ilmoittaa hän heille.
13190f0054	Minun silmäni katsovat alati Herraa, sillä hän kirvoittaa minun jalkani verkosta.
1319100069	Käännä sinuas minun puoleeni, ja ole minulle armollinen; sillä minä olen yksinäinen ja raadollinen.
1319110048	Minun sydämeni murheet ovat moninaiset: vie siis minua ulos tuskistani.
131912005d	Katsos minun vaivaisuuteni ja raadollisuuteni puoleen, ja anna kaikki minun syntini anteeksi.
1319130054	Katsos, kuinka monta vihollista minulla on? ja sulasta kateudesta he minua vihaavat.
1319140062	Varjele minun sieluni ja vapahda minua, älä laske minua häpiään; sillä sinuun minä turvaan.
131915003d	Vakuus ja oikeus varjelkoon minua; sillä minä odotan sinua.
131916002c	Jumala, vapahda Israel kaikista tuskistansa.
131a010088	Davidin Psalmi. Tuomitse minua, Herra; sillä minä olen vakuudessani vaeltanut: ja minä toivon Herraan, sentähden en minä livistele.
131a02004f	Koettele minua, Herra, ja kiusaa minua: puhdista minun munaskuuni ja sydämeni.
131a03004f	Sillä sinun hyvyytes on silmäini edessä, ja minä vaellan sinun totuudessas.
131a04003f	En minä istu turhain ihmisten seassa, enkä seuraa petollisia.
131a050043	Minä vihaan pahain seurakuntaa, enkä istu jumalattomain tykönä.
131a06004b	Minä pesen käteni viattomuudessa, ja oleskelen, Herra, alttaris tykönä,
131a070045	Kussa kiitossanan ääni kuullaan, ja kaikki sinun ihmees saarnataan.
131a080056	Herra, minä rakastin sinun huonees asuinsiaa ja sitä siaa, jossa sinun kunnias asuu.
131a090052	Älä tempaa minun sieluani pois syntisten kanssa ja henkeäni verikoirain kanssa,
131a0a003a	Jotka pahanjuoniset ovat ja mielellänsä lahjoja ottavat.
131a0b004e	Mutta minä vaellan viattomuudessani: vapahda minua ja ole minulle armollinen!
131a0c0040	Minun jalkani käy oikiasti: minä kiitän Herraa seurakunnissa.
131b010081	Davidin Psalmi. Herra on minun valistukseni ja autuuteni, ketä minä pelkään? Herra on henkeni väkevyys, ketä minä vapisen?
131b020097	Sentähden, vaikka pahat, vainolliseni ja viholliseni, lähestyvät minun lihaani syömään, täytyy heidän kuintenkin itseänsä loukata ja langeta.
131b03008d	Ja vaikka sotaväki saartais minua, niin ei sydämeni sentähden pelkäisi; ja jos sota nousis minua vastaan, minä turvaan sittekin häneen.
131b0400b5	Yhtä minä Herralta anon, sitä minä pyydän, asuakseni Herran huoneessa kaiken elinaikani: että minä näkisin Herran kauniin jumalanpalveluksen, ja hänen templiänsä etsisin.
131b050079	Sillä hän peittää minua majassansa pahana aikana: hän kätkee minun salaiseen majaansa, ja korottaa minun kalliolle.
131b0600a7	Ja hän korottaa nytkin minun pääni vihollisteni ylitse, jotka ympärilläni ovat; niin minä uhraan hänen majassansa kiitosuhria: minä veisaan ja laulan Herralle.
131b07005b	Herra, kuule minun ääneni, koska minä huudan: ole minulle armollinen, ja kuultele minua.
131b08007d	Minun sydämeni sanoo sinulle tämän sinun sanas: etsikäät minun kasvojani! sentähden minä etsin, Herra, sinun kasvojas.
131b0900b4	Älä peitä kasvojas minulta, ja älä sysää pois palveliaas vihassas; sillä sinä olet minun apuni: älä minua hylkää, älä myös minua anna ylön, minun autuuteni Jumala.
131b0a004d	Sillä minun isäni ja äitini hylkäsivät minun; mutta Herra korjasi minun.
131b0b005d	Herra, osoita minulle sinun ties, ja johdata minua oikiaa polkua, minun vihollisteni tähden.
131b0c0082	Älä anna minua vihollisteni tahtoon; sillä väärät todistukset seisovat minua vastaan ja tekevät häpeemättä vääryyttä.
131b0d0049	Mutta minä uskon kuitenkin näkeväni Herran hyvyyttä eläväin maalla,
131b0e0058	Odota Herraa, ole hyvässä turvassa, ja hän vahvistaa sinun sydämes: ja odota Herraa.
131c0100ba	Davidin Psalmi. Koska minä huudan sinua, Herra, uskallukseni, niin älä vaikene minulle; etten, koska sinä vaikenisit minulle, minä tulisi niiden kaltaiseksi, jotka hautaan menevät.
131c02006f	Kuule minun rukoukseni ääni, koska minä huudan sinua, kuin minä nostan käteni sinun pyhää kuorias päin.
131c0300a1	Älä anna minun tulla jumalattomain ja pahointekiäin sekaan, jotka lähimmäistensä kanssa puhuvat ystävällisesti, vaan pahuutta on heidän sydämissänsä,
131c0400a2	Anna heille heidän työnsä jälkeen ja heidän pahan menonsa perään: anna heille heidän kättensä töiden perään, maksa heille heidän ansionsa perästä.
131c05007b	Sillä ei he ota vaaria Herran töistä, eikä hänen käsi-aloistansa; sentähden rikkoo hän heitä ja ei rakenna heitä.
131c060047	Kiitetty olkoon Herra; sillä hän on kuullut minun rukoukseni äänen.
131c0700a2	Herra on minun väkevyyteni ja kilpeni, häneen minun sydämeni toivoo, ja minä olen autettu; ja minun sydämeni riemuitsee, ja minä kiitän häntä veisullani.
131c08004c	Herra on heidän väkevyytensä; hän on väkevä, joka voideltuansa auttaa.
131c090057	Auta kansaas ja siunaa perimistäs, ja ravitse heitä ja korota heitä ijankaikkisesti.
131d010055	Davidin Psalmi. Tuokaat Herralle, te väkevät, tuokaat Herralle kunnia ja väkevyys.
131d020055	Tuokaat Herralle hänen nimensä kunnia: kumartakaat Herraa pyhässä kaunistuksessa.
131d030055	Herran ääni käy vetten päällä: kunnian Jumala pauhaa, suurten vetten päällä.
131d040043	Herran ääni käy voimassa: Herran ääni käy suuressa kunniassa.
131d050048	Herran ääni särkee sedripuut, ja Herra särkee sedripuut Libanonissa.
131d060069	Hän hyppäyttää heitä niinkuin vasikan, sekä Libanonin että Sirionin, niinkuin nuoren yksisarvisen.
131d07002c	Herran ääni leikkaa niinkuin tulen liekki.
131d080047	Herran ääni häälyttää korven, ja Herra liikuttaa Kadeksen korven.
131d09008e	Herran ääni saattaa peurat poikimaan, ja paljastaa metsät: ja hänen templissänsä pitää koko hänen joukkonsa sanoman hänelle kunnian.
131d0a004e	Herra istuu vedenpaisumisen päällä: Herra pysyy Kuninkaana ijankaikkisesti.
131d0b0045	Herra antaa kansallensa väkevyyden: Herra siunaa kansaansa rauhalla.
131e01009d	Psalmi, veisattava Davidin huoneen vihkimisessä. Minä ylistän sinua, Herra, sillä sinä olet korottanut minua: et myös salli viholliseni iloita minusta.
131e02004f	Herra minun Jumalani, kuin minä huusin sinua, niin sinä teit minun terveeksi.
131e03006b	Herra, sinä veit sieluni ulos helvetistä: sinä olet minun elävänä pitänyt niiden mennessä kuoppaan.
131e040054	Pyhät, veisatkaat kiitosta Herralle, ja kiittäkäät hänen pyhyytensä muistoksi.
131e050071	Sillä hänen vihansa viipyy silmänräpäyksen, ja hän ihastuu elämästä: ehtoona on itku, mutta aamulla ilo.
131e060043	Mutta minä sanoin myötäkäymisessäni: en minä ikänä kukistu.
