0100000009	Yaritilix
172a10010d	Ⱪariƣularni ɵzi bilmigǝn bir yol bilǝn apirip ⱪoyimǝn, Ularni ular bilmigǝn yollarda yetǝklǝymǝn; Ularning aldida ⱪarangƣuluⱪni nur, Əgri-toⱪay yǝrlǝrni tüptüz ⱪilimǝn. Mǝn muxu ixlarni ⱪilmay ⱪalmaymǝn, Ulardin ⱨeq waz kǝqmǝymǝn.
172a1100aa	Oyma mǝbudlarƣa tayanƣanlar, Ⱪuyma mǝbudlarƣa: «Silǝr ilaⱨlirimizdur» degǝnlǝr bolsa, Ular yoldin yandurulmay ⱪalmaydu, Ⱪattiⱪ xǝrmǝndǝ ⱪilinidu.
172a120045	— «Anglanglar, i gaslar! Ⱪariƣular, kɵrüx üqün ⱪaranglar!
172a1300d4	Mening ⱪulumdin baxⱪa yǝnǝ kim ⱪariƣu? Mening ǝwǝtkǝn «ǝlqim»din baxⱪa yǝnǝ kim gas? Kim Mǝn bilǝn ǝⱨdilǝxkǝndǝk xunqǝ ⱪariƣudu? Kim Pǝrwǝrdigarning ⱪulidǝk xunqǝ ⱪariƣudu?
172a140080	Sǝn nurƣun ixlarni kɵrgining bilǝn, Biraⱪ nǝziringgǝ ⱨeq almaysǝn; Uning ⱪuliⱪi eqilƣini bilǝn, U anglimaydu».
172a150080	Pǝrwǝrdigar Ɵz ⱨǝⱪⱪaniyliⱪi üqün layiⱪ kɵrdiki, Tǝwrat-ⱪanunini uluƣ ⱨǝm xan-xǝrǝplik dǝp kɵrsǝtti.
172a160117	Biraⱪ xular bolsa olja elinƣan ⱨǝm bulang-talang ⱪilinƣan bir hǝlⱪtur; Ularning ⱨǝmmisi ora-tuzaⱪta tutulƣan, Gündihanilarda ⱪamilip ƣayib bolidu; Ular ƣǝniymǝt bolidu, Ⱨeqkim ⱪutⱪuzmaydu; Ular olja bolidu, Ⱨeqkim: «Ⱪayturup berix!» demǝydu.
172a17006e	Biraⱪ aranglarda kim buningƣa ⱪulaⱪ salsun? Kim bularni anglap kǝlgüsi zamanlarƣa kɵngül ⱪoysun?
172a1800fd	Əmdi kim Yaⱪupni olja ⱪilƣan? Kim Israilni bulangqilarƣa tapxurup bǝrgǝn? Buni ⱪilƣini bolsa, biz gunaⱨ ⱪilip kǝmsitkǝn Pǝrwǝrdigar ǝmǝsmu? Qünki ular Uning yollirida mengixni halimaytti; Yaki Uning ⱪanuniƣa itaǝt ⱪilmaytti.
172a1900ce	Xunga U ular üstigǝ ƣǝzǝp-ⱪǝⱨrini, Uruxning zorawanliⱪini tɵküp qüxürdi; Bular uning ǝtrapiƣa ot tutaxturdi; Biraⱪ u tonup yǝtmidi; Bular uni kɵydürdi, biraⱪ u ⱨeq sawaⱪ almidi.
172b0100f4	Biraⱪ ⱨazir i Yaⱪup, seni Yaratⱪuqi Pǝrwǝrdigar, I Israil, seni Xǝkillǝndürgüqi mundaⱪ dǝydu: — «Ⱪorⱪma; qünki Mǝn sanga ⱨǝmjǝmǝt bolup seni ⱪutⱪuzƣan; Seni Ɵz namim bilǝn atiƣanmǝn; Sǝn Meningkidursǝn!
172b0200ce	Sǝn sulardin ɵtkiningdǝ, Mǝn sǝn bilǝn billǝ bolimǝn; Dǝryalardin ɵtkiningdǝ, ular seni ƣǝrⱪ ⱪilmaydu; Sǝn otta mengip yürginingdǝ, sǝn kɵymǝysǝn; Yalⱪunlar üstüngdǝ ot almaydu.
172b0300cf	Qünki Mǝn bolsam Hudaying Pǝrwǝrdigar, Israildiki Muⱪǝddǝs Bolƣuqi, Ⱪutⱪuzƣuqingdurmǝn; Seni ⱪutuldurux üqün Misirni bǝdǝl ⱪilip bǝrdim, Ornungƣa Efiopiyǝ ⱨǝm Sebani almaxturdum.
172b0400bb	Sǝn nǝzirimdǝ ⱪimmǝtlik bolƣaqⱪa, Mǝn sanga izzǝt-ⱨɵrmǝt kǝltürgǝn ⱨǝm seni sɵygǝn; Xunga Mǝn yǝnǝ ornungƣa adǝmlǝrni, Jeningƣa hǝlⱪlǝrni tutup berimǝn;
172b050071	Ⱪorⱪma, qünki Mǝn sǝn bilǝn billǝdurmǝn; Mǝn nǝslingni xǝrⱪtin, Seni ƣǝrbtin yiƣip ǝpkelimǝn;
172b0600a3	Mǝn ximalƣa: — «Tapxur ularni!» Wǝ jǝnubⱪa: — «Ularni tutup ⱪalma! Oƣullirimni yiraⱪtin, ⱪizlirimni jaⱨanning qǝt-qǝtliridin ǝpkelip bǝr;
172b0700c0	Mening namim bilǝn atalƣan ⱨǝrbirsini, Mǝn Ɵz xan-xǝripim üqün yaratⱪan ⱨǝrbirsini ǝpkelip bǝr!» — dǝymǝn, «Mǝn uni xǝkillǝndürdüm, Mǝn uni apiridǝ ⱪildim!»».
172b08005b	U «kɵzi bar» ⱪariƣu hǝlⱪni, Yǝni «ⱪuliⱪi bar» gaslarni aldiƣa elip kǝldi.
172b090169	— «Barliⱪ ǝllǝr yiƣilsun, Hǝlⱪlǝr jǝm bolsun! Ulardin kimmu mundaⱪ ixlarni jakarliyalisun? Yǝni kim muxundaⱪ «ilgiriki ixlar»ni [aldin’ala] bizgǝ anglitip baⱪⱪan? Bar bolsa, ɵzlirini ispatlaxⱪa guwaⱨqilirini aldiƣa kǝltürsun; Bolmisa, ular bu ixlarni angliƣandin keyin: — «Bu bolsa ⱨǝⱪiⱪǝt!» dǝp etirap ⱪilsun!
172b0a0133	Silǝr [hǝlⱪim] Mening guwaⱨqilirim, Ⱨǝm Mǝn talliƣan ⱪulum [mǝn üqün] guwaⱨqidur, Xundaⱪ ikǝn, silǝr Meni tonup, Manga ixinip, Ⱨǝm qüxinip yǝtkǝysilǝrki: — «Mǝn degǝn «U»durmǝn, Mǝndin ilgiri ⱨeq ilaⱨ xǝkillǝnmigǝn, Ⱨǝm Mǝndin keyinmu ⱨeq xǝkillǝnmǝydu;
172b0b004c	Mǝn, Mǝn Pǝrwǝrdigardurmǝn; Mǝndin baxⱪa Ⱪutⱪuzƣuqi yoⱪtur».
172b0c00ed	— Aranglarda «yat ilaⱨ» bolmiƣan waⱪitta, Mǝn [mǝⱪsitimni] jakarliƣan, Mǝn ⱪutⱪuzƣan ⱨǝm xu ixlarning dangⱪini qiⱪarƣanmǝn; Xunga silǝr Mening Tǝngri ikǝnlikimgǝ guwaⱨqisilǝr, — dǝydu Pǝrwǝrdigar.
172b0d0093	«Bǝrⱨǝⱪ, ǝzǝldin buyan Mǝn degǝn «U»durmǝn, Mening ⱪolumdin ⱨeqkim ⱨeqkimni ⱪutⱪuzalmaydu; Mǝn ix ⱪilsam, kim tosalisun?
172b0e0133	Ⱨǝmjǝmǝt-Ⱪutⱪuzƣuqinglar bolƣan Pǝrwǝrdigar, Israildiki Muⱪǝddǝs Bolƣuqi mundaⱪ dǝydu: — Silǝrni dǝp Mǝn Babilni jazalatⱪuzup, Ularning ⱨǝmmisini, jümlidin kaldiylǝrni, Ⱪaqⱪun süpitidǝ ɵzliri huxalliⱪ bilǝn pǝhirlǝngǝn kemilǝrgǝ olturuxⱪa qüxürüwetimǝn.
172b0f0074	Mǝn bolsam Pǝrwǝrdigar, silǝrgǝ Muⱪǝddǝs Bolƣuqi, Israilni Yaratⱪuqi, silǝrning Padixaⱨinglardurmǝn.
172b100063	Dengizdin yolni qiⱪarƣuqi, Dawalƣuƣan sulardin yol aqⱪuqi Pǝrwǝrdigar mundaⱪ dǝydu: —
172b1100a5	(U jǝng ⱨarwisini wǝ atni, ⱪoxun-küqlǝrni qiⱪarƣuqidur: — Ular biraⱪla yiⱪilidu, turalmaydu; Ular ɵqüp ⱪalƣan, qiraƣ pilikidǝk ɵqürülgǝn)
172b120054	— Muxu ɵtkǝn ixlarni ǝslimǝnglar, Ⱪǝdimki ixlar toƣruluⱪmu oylanmanglar;
172b1300ce	Qünki mana Mǝn yengi bir ixni ⱪilimǝn; U ⱨazirla barliⱪⱪa kelidu; Silǝr uni kɵrmǝy ⱪalamsilǝr?! Mǝn ⱨǝtta dalalardimu yol aqimǝn, Qɵl-bayawanda dǝryalarni barliⱪⱪa kǝltürimǝn!
172b1400d8	Daladiki ⱨaywanlar, qilbɵrilǝr ⱨǝm ⱨuwⱪuxlar Meni uluƣlaydu; Qünki Mǝn Ɵz hǝlⱪim, yǝni Ɵz talliƣinimƣa iqimlik tǝminlǝxkǝ, Dalalarda sularni, Qɵl-bayawanlarda dǝryalarni qiⱪirip berimǝn.
172b150072	Mǝn muxu hǝlⱪni Ɵzüm üqün xǝkillǝndürgǝnmǝn; Ular Manga bolƣan mǝdⱨiyilǝrni eytip ayan ⱪilidu.
172b16008a	Biraⱪ, i Yaⱪup, sǝn namimni qaⱪirƣining bilǝn Ɵzümni izdimiding, I Israil, ǝksiqǝ sǝn Mǝndin kɵnglüng yenip ⱨarsinding;
172b170135	Sǝn elip kǝlgǝn «kɵydürmǝ ⱪurbanliⱪ» ⱪoyliringni Manga ⱪilƣan ǝmǝs, «Inaⱪ ⱪurbanliⱪ»liring bilǝn Meni ⱨɵrmǝtligǝn ǝmǝssǝn; Mǝn axliⱪ ⱨǝdiyǝsini ⱪilix bilǝn seni «ⱪulluⱪ»ⱪa ⱪoymaⱪqi ǝmǝsmǝn, Huxbuy yeⱪip seni ⱨarsindurmaⱪqi bolƣan ǝmǝsmǝn!
172b180120	Sǝn pulni hǝjlǝp Manga ⱨeq egir elip kǝlmigǝnsǝn, Sǝn «Inaⱪ ⱪurbanliⱪ»liringning yeƣi bilǝn Meni razi ⱪilip ⱪanaǝtlǝndürgǝn ǝmǝssǝn; Əksiqǝ sǝn gunaⱨliring bilǝn Meni ⱪulluⱪⱪa ⱪoymaⱪqi bolƣansǝn, Itaǝtsizliking bilǝn Meni ⱨarsindurdung.
172b190080	Mǝn, Mǝn Ɵzüm üqünla sening asiyliⱪliringni ɵqürüwǝtküqimǝn, Mǝn sening gunaⱨliringni esimgǝ kǝltürmǝymǝn.
172b1a007e	Əmdi ɵtmüxüng toƣruluⱪ Meni ǝslitip ⱪoyƣin, Munazirǝ ⱪilixayli, Ɵzüngni aⱪliƣudǝk geping bolsa dǝwǝrgin!
172b1b0056	Birinqi atang gunaⱨ ⱪilƣan; Sening xǝrⱨqiliring bolsa Manga asiyliⱪ ⱪildi.
172b1c00a5	Xunga Mǝn ibadǝthanamdiki yetǝkligüqilǝrni napak ⱪilimǝn, Ⱨǝmdǝ Yaⱪupni ⱨalak lǝnitigǝ uqraxⱪa, Israilni rǝswaqiliⱪta ⱪalduruxⱪa bekittim.
172c010052	Biraⱪ ⱨazir, i Yaⱪup Mening ⱪulum, I Mening talliƣinim Israil, angla! —
172c0200d3	Seni yasiƣan, baliyatⱪudin tartipla seni xǝkillǝndürgǝn, sanga yardǝmdǝ bolƣuqi Pǝrwǝrdigar mundaⱪ dǝydu: — «Ⱪorⱪma, i Mening ⱪulum Yaⱪup, I Mening talliƣinim «Yǝxurun», ⱪorⱪma!
172c0300bd	Qünki Mǝn ussap kǝtkǝnning üstigǝ suni, Ⱪaƣjiraⱪ yǝrning üstigǝ kǝlkünlǝrni ⱪuyup berimǝn; Nǝsling üstigǝ Roⱨimni, Pǝrzǝntliring üstigǝ bǝrikitimni ⱪuyimǝn;
172c040056	Ular yumran qɵplǝr arisidin, Eriⱪ-ɵstǝnglǝr boyidiki mǝjnun tallardǝk ɵsidu;
172c050106	Birsi: «Mǝn Pǝrwǝrdigarƣa tǝwǝmǝn» — dǝydu, Yǝnǝ birsi bolsa Yaⱪupning ismi bilǝn ɵzini ataydu; Yǝnǝ baxⱪa birsi ⱪoli bilǝn: «Mǝn Pǝrwǝrdigarƣa tǝwǝmǝn» dǝp yazidu, Xundaⱪla Israilning ismini ɵzining ismigǝ yandax ⱪoxidu.
172c0600f0	Israilning padixaⱨi Pǝrwǝrdigar, Yǝni Israilning ⱨǝmjǝmǝt-ⱪutⱪuzƣuqisi, samawi ⱪoxunlarning Sǝrdari bolƣan Pǝrwǝrdigar mundaⱪ dǝydu: — «Mǝn bolsam Tunji ⱨǝm Ahiridurmǝn; Mǝndin baxⱪa ⱨeq ilaⱨ yoⱪtur.
172c070102	Ⱪeni, kim Mening ⱪǝdimki hǝlⱪimni tiklǝp bekitkinimdǝk bir ixni jakarlap, aldin’ala bayan ⱪilip, andin uni Mening aldimƣa Mǝndǝk tiklǝp ⱪoyalaydu? Ⱪeni, kim keyinki ixlarni, kǝlgüsidǝ bolidiƣan ixlarni aldin’ala bayan ⱪilalisun!
172c08011c	Ⱪorⱪmanglar, sarasimigǝ qüxüp kǝtmǝnglǝr! Mǝn ilgiri muxularni silǝrgǝ anglitip, aldin bayan ⱪilƣan ǝmǝsmu? Muxu toƣruluⱪ silǝr Mening guwaⱨqilirimdursilǝr. Mǝndin baxⱪa ilaⱨ barmu? Bǝrⱨǝⱪ, baxⱪa Ⱪoram Tax yoⱪ; ⱨeqbiridin hǝwirim yoⱪtur.
172c09011c	Oyulƣan mǝbudni xǝkillǝndürgǝnlǝrning ⱨǝmmisining ǝⱨmiyiti yoⱪ; Ularning ǝtiwarliƣan nǝrsilirining ⱨeq paydisi yoⱪtur; Muxularƣa bolƣan «guwaⱨqilar» bolsa, ɵzliri ⱪariƣu, ⱨeqnemini bilmǝs; Dǝrwǝⱪǝ nǝtijisi ularning ɵzlirigǝ xǝrmǝndiliktur.
172c0a0061	Kim bir «ilaⱨ»ni xǝkillǝndürgǝn bolsa, Ⱨeq paydisi yoⱪ bir mǝbudni ⱪuyƣan, halas!
172c0b00cb	[Mǝbudning] barliⱪ ⱨǝmraⱨliri xǝrmǝndǝ bolidu; Mǝbudni yasiƣuqilar bolsa adǝmdur, halas; Ularning ⱨǝmmisi yiƣilip, ornidin turup kɵrsun, Ular ⱪorⱪuxup, xǝrmǝndiqiliktǝ ⱪalidu.
172c0c0105	Mana tɵmürqi saymanlirini [ⱪoliƣa elip], Qoƣlar üstidǝ [muxu nǝrsini] bazƣanliri bilǝn soⱪup xǝkillǝndüridu; Andin u küqlük ⱪoli bilǝn uningƣa ixlǝydu; Biraⱪ uning ⱪorsiⱪi eqip maƣduridin ⱪalidu; Su iqmǝy u ⱨalsizlinip ketidu.
172c0d0138	Yaƣaqqi bolsa yaƣaq üstigǝ ɵlqǝx yipini tartidu; U ⱪǝlǝm bilǝn üstigǝ ǝndizǝ sizidu; Uni rǝndǝ bilǝn rǝndilǝydu; U yǝnǝ pǝrka bilǝn sizip jijaydu; Ahirda u uni adǝmning güzǝllikigǝ ohxitip insan tǝⱪi-turⱪini xǝkillǝndüridu; Xuning bilǝn u ɵydǝ turuxⱪa tǝyyar ⱪilinidu.
172c0e00db	Mana u bir küni ɵzi üqün kedir dǝrǝhlirini kesixkǝ qiⱪidu! (U ǝslidǝ arqa wǝ dub dǝrǝhlirini elip ɵzi üqün ormanliⱪ arisiƣa tikip qong ⱪilƣanidi; U ⱪariƣaymu tikkǝnidi, yamƣur uni ündürdi).
172c0f00e2	Muxu yaƣaqlardin otun elinidu; Birsi uningdin elip, issinidu; Mana, u ot yeⱪip, nan yeⱪiwatidu; U yǝnǝ uningdin elip bir ilaⱨni yasaydu ⱨǝm uningƣa ibadǝt ⱪilidu; Uni oyulƣan mǝbud ⱪilip uningƣa bax uridu.
172c1000d7	Demǝk, yerimini otta kɵydürüwetidu; Yerimi bilǝn gɵx yǝydu; U kawab ⱪilip ⱪanƣuqǝ yǝydu; Bǝrⱨǝⱪ, u issinip, ɵz-ɵzigǝ: — «Aⱨ, raⱨǝtlinip issindimmǝn, otni kɵrüwatimǝn!» — dǝydu.
172c1100da	Biraⱪ ⱪalƣini bilǝn u bir ilaⱨni yasaydu; Bu uning mǝbudi bolidu; U uning aldiƣa yiⱪilip ibadǝt ⱪilidu; U uningƣa dua ⱪilip: «Meni ⱪutⱪuzƣaysǝn; Qünki sǝn mening ilaⱨimdursǝn» — dǝydu.
172c12009e	Bu [kixilǝr] ⱨeq bilmǝydu, ⱨeq qüxǝnmǝydu; Qünki u ularni kɵrmisun dǝp kɵzlirini, Ularni qüxǝnmisun dǝp kɵnglini suwaⱪ bilǝn suwiwǝtkǝn.
172c130144	Ulardin ⱨeqbiridǝ muxularni kɵngligǝ kǝltürüp: — «Yaƣaqning yerimini mǝn otta kɵydürdüm, Yerimining qoƣliri üstidǝ mǝn nan yaⱪtim; Mǝn kawabmu ⱪilip yǝwaldim; Ⱪalƣinini bir lǝnǝtlik nǝrsǝ ⱪilamtim? Mǝn bir parqǝ yaƣaqⱪa bax uramtim!» — degudǝk ⱨeq bilim yaki yorutulux yoⱪtur.
172c1400cf	Uning yegini küllǝrdur! Uning kɵngli eziⱪturulƣan! U ɵz-ɵzini azdurdi! Xuning bilǝn u ɵzining jenini ⱪutⱪuzalmaydu, Yaki: «Mening ong ⱪolumda bir sahtiliⱪ bar ǝmǝsmu?» — deyǝlmǝydu.
172c1500c4	Muxu ixlarni esingdǝ tut, i Yaⱪup, I Israil, qünki sǝn Mening ⱪulumdursǝn; Mǝn seni yasap xǝkillǝndürdüm; Sǝn Mening ⱪulumdursǝn, i Israil, Sǝn Mening esimdin ⱨeq qiⱪmaysǝn!
172c1600d3	Itaǝtsizlikliringni bulutni ɵqürüwǝtkǝndǝk, Gunaⱨliringni tumanni ɵqürüwǝtkǝndǝk ɵqürüwǝttim; Mening yenimƣa ⱪaytip kǝl; Qünki Mǝn seni ⱨǝmjǝmǝtlik ⱪilip ⱨɵrlükkǝ setiwaldim.
172c170149	I asmanlar, nahxa eytinglar, qünki Pǝrwǝrdigar xu ixni ⱪilƣan! I yǝrning tǝgliri, xadlinip, yangranglar! I taƣlar, ormanlar wǝ ulardiki ⱨǝrbir dǝrǝhlǝr, Yangritip nahxilar eytinglar! Qünki Pǝrwǝrdigar Yaⱪupni ⱨǝmjǝmǝtlik ⱪilip ⱨɵrlükkǝ setiwaldi, U Israil arⱪiliⱪ güzǝllikini kɵrsitidu!».
172c180100	«Sening Ⱨǝmjǝmǝt-Ⱪutⱪuzƣuqing bolƣan, seni baliyatⱪuda yasap xǝkillǝndürgǝn Pǝrwǝrdigar mundaⱪ dǝydu: — Mǝn bolsam ⱨǝmmini Yaratⱪuqi, Asmanlarni yalƣuz kǝrgǝnmǝn, Ɵz-ɵzümdinla yǝr-zeminni yayƣan Pǝrwǝrdigardurmǝn;
172c1900ba	(U bolsa yalƣan [pǝyƣǝmbǝrlǝrning] bexarǝtlirini bikar ⱪilƣuqi, Palqilarni ⱪaymuⱪturƣuqi, Danalarni yolidin yandurƣuqi, Ularning bilimlirini nadanliⱪⱪa aylandurƣuqi;
172c1a010c	Ɵz ⱪulining sɵzini ǝmǝlgǝ axurƣuqi, Rosul-ǝlqilirining nǝsiⱨǝtlirini muwǝppǝⱪiyǝtlik ⱪilƣuqi, Yerusalemƣa: «Sǝn aⱨalilik bolisǝn», Yǝⱨuda xǝⱨǝrlirigǝ: «Ⱪaytidin ⱪurulisilǝr; harabǝnglarni ǝsligǝ kǝltürimǝn» — degüqi;
172c1b0050	Qongⱪur dengizƣa: «Ⱪuruⱪ bol, Dǝryaliringni ⱪurutimǝn» — degüqi;
172c1c00d6	Ⱨǝm Ⱪorǝx toƣrisida: «U Mening ⱪoy padiqim, u Mening kɵnglümdikigǝ toluⱪ ǝmǝl ⱪilip, Yerusalemƣa: «Ⱪurulisǝn», Ⱨǝm ibadǝthaniƣa: «Sening ulung selinidu» dǝydu» — degüqidur): —
172d01016d	Pǝrwǝrdigar Ɵzi «mǝsiⱨ ⱪilƣini»ƣa, Yǝni ǝllǝrni uningƣa beⱪindurux üqün Ɵzi ong ⱪolidin tutup yɵligǝn Ⱪorǝxkǝ mundaⱪ dǝydu: — (Bǝrⱨǝⱪ, Mǝn uning aldida padixaⱨlarning tambilini yǝxtürüp yalingaqlitimǝn, «Ⱪox ⱪanatliⱪ dǝrwazilar»ni uning aldida eqip berimǝn, Xuning bilǝn ⱪowuⱪlar ikkinqi etilmǝydu) —
172d02008b	«Mǝn sening aldingda mengip egizliklǝrni tüz ⱪilimǝn; Mis dǝrwazilarni qeⱪip taxlaymǝn, Tɵmür taⱪaⱪlirini sunduruwetimǝn;
172d0300ea	Wǝ sanga ⱪarangƣuluⱪtiki gɵⱨǝrlǝrni, Mǝhpiy jaylarda saⱪlanƣan yoxurun bayliⱪlarni berimǝn; Xuning bilǝn ɵzünggǝ isim ⱪoyup seni qaⱪirƣuqini, Yǝni Mǝn Pǝrwǝrdigarni Israilning Hudasi dǝp bilip yetisǝn.
172d040099	Mǝn Ɵz ⱪulum Yaⱪup, Yǝni Ɵz talliƣinim Israil üqün, Ismingni ɵzüm ⱪoyƣan; Sǝn Meni bilmigining bilǝn, Mǝn yǝnila sanga isim ⱪoydum.
172d050098	Mǝn bolsam Pǝrwǝrdigar, Mǝndin baxⱪa biri yoⱪ; Mǝndin baxⱪa Huda yoⱪtur; Sǝn Meni tonumiƣining bilǝn, Mǝn belingni baƣlap qingittimki,
172d0600b0	Künqiⱪixtin künpetixⱪiqǝ bolƣanlarning ⱨǝmmisi Mǝndin baxⱪa ⱨeqⱪandaⱪ birining yoⱪluⱪini bilip yetidu; Mǝn bolsam Pǝrwǝrdigar, baxⱪa biri yoⱪtur.
172d0700c7	Nurni xǝkillǝndürgüqi, ⱪarangƣuluⱪni Yaratⱪuqidurmǝn, Bǝht-hatirjǝmlikni Yasiƣuqi, balayi’apǝtni Yaratⱪuqidurmǝn; Muxularning ⱨǝmmisini ⱪilƣuqi Mǝn Pǝrwǝrdigardurmǝn».
172d0800fc	— «I asmanlar, yuⱪiridin yaƣdurup beringlar, Bulutlarmu ⱨǝⱪⱪaniyliⱪ tɵküp bǝrsun; Yǝr-zemin eqilsun; Nijat ⱨǝm ⱨǝⱪⱪaniyliⱪ mewǝ bǝrsun; Zemin ikkisini tǝng ɵstürsun! Mǝn, Pǝrwǝrdigar, buni yaratmay ⱪoymaymǝn».
172d090120	— «Ɵz Yaratⱪuqisining üstidin ǝrz ⱪilmaⱪqi bolƣanƣa way! U yǝr-zemindiki qinǝ parqiliri arisidiki bir parqisi, halas! Seƣiz lay ɵzini xǝkillǝndürgüqi sapalqiƣa: — «Sǝn nemǝ yasawatisǝn?» desǝ, Yaki yasiƣining sanga: «Sening ⱪolung yoⱪ» desǝ bolamdu?
172d0a0080	Ɵz atisiƣa: «Sǝn nemǝ tuƣdurmaⱪqi?» Yaki bir ayalƣa: — «Seni nemining tolƣiⱪi tutti?» — dǝp soriƣanƣa way!
172d0b00fa	Israildiki Muⱪǝddǝs Bolƣuqi, yǝni uni Yasiƣuqi Pǝrwǝrdigar mundaⱪ dǝydu: — Əmdi kǝlgüsi ixlar toƣruluⱪ sorimaⱪqimusilǝr yǝnǝ? Ɵz oƣullirim toƣruluⱪ, Ɵz ⱪolumda ixliginim toƣruluⱪ Manga buyruⱪ bǝrmǝkqimusilǝr!?
172d0c00af	Mǝn pǝⱪǝtla yǝr-zeminni yasiƣan, uningƣa insanni Yaratⱪuqidurmǝn, halas! Ɵz ⱪolum bolsa asmanlarni kǝrgǝn; Ularning samawi ⱪoxunlirinimu sǝpkǝ salƣanmǝn.
172d0d010e	Mǝn uni ⱨǝⱪⱪaniyliⱪ bilǝn turƣuzƣan, Uning barliⱪ yollirini tüz ⱪildim; U bolsa xǝⱨirimni ⱪuridu, Nǝ ⱨǝⱪ nǝ in’am sorimay u Manga tǝwǝ bolƣan ǝsirlǝrni ⱪoyup beridu» — dǝydu samawi ⱪoxunlarning Sǝrdari bolƣan Pǝrwǝrdigar.
172d0e01b2	Pǝrwǝrdigar mundaⱪ dǝydu: — «Misirning mǝⱨsulatliri, Efiopiyǝning wǝ egiz boyluⱪlar bolƣan Sebaiylarning malliri sanga ɵtidu; Ular ɵzliri seningki bolidu, Sanga ǝgixip mangidu; Ɵzliri kixǝn-zǝnjirlǝngǝn peti sǝn tǝrǝpkǝ ɵtidu, Ular sanga bax urup sǝndin iltija bilǝn ɵtünüp: — «Bǝrⱨǝⱪ, Tǝngri sǝndǝ turidu, baxⱪa biri yoⱪ, baxⱪa ⱨeqⱪandaⱪ Huda yoⱪtur» dǝp etirap ⱪilidu.
172d0f0061	«I Israilning Hudasi, Nijatkar, dǝrⱨǝⱪiⱪǝt Ɵzini yoxuruwalƣuqi bir Tǝngridursǝn!».
172d10007d	Ular ⱨǝmmisi istisnasiz hijil bolup, xǝrmǝndǝ bolidu; Mǝbudni yasiƣanlar xǝrmǝndǝ bolup, birliktǝ ketip ⱪalidu;
172d1100ad	Israil bolsa Pǝrwǝrdigar tǝripidin mǝnggülük nijat-ⱪutulux bilǝn ⱪutⱪuzulidu; Əbǝdil’ǝbǝdgiqǝ hijil bolmaysilǝr, Ⱨeq xǝrmǝndiqilikni kɵrmǝysilǝr.
172d120124	Qünki asmanlarni yaratⱪan, yǝr-zeminni xǝkillǝndürüp yasiƣan, uni mǝzmut ⱪilƣan Huda bolƣan Pǝrwǝrdigar mundaⱪ dǝydu: — (U uni ⱪuruⱪ-mǝnisiz boluxⱪa ǝmǝs, bǝlki adǝmzatning turalƣusi boluxⱪa yaratⱪanidi) «Mǝn bolsam Pǝrwǝrdigar, baxⱪa biri yoⱪtur;
172d1300e1	— Mǝn mǝhpiy ⱨalda yaki zemindiki birǝr ⱪarangƣu jayda sɵz ⱪilƣan ǝmǝsmǝn; Mǝn Yaⱪupⱪa: «Meni izdixinglar biⱨudilik» degǝn ǝmǝsmǝn; Mǝn Pǝrwǝrdigar ⱨǝⱪ sɵzlǝymǝn, Tüz gǝp ⱪilimǝn;
172d1400e0	Yiƣilinglar, kelinglar; I ǝllǝrdin ⱪaqⱪanlar, jǝm bolup Manga yeⱪinlixinglar; Ɵzi oyƣan butni kɵtürüp, ⱨeq ⱪutⱪuzalmaydiƣan bir «ilaⱨ»ⱪa dua ⱪilip yüridiƣanlarning bolsa ⱨeq bilimi yoⱪtur.
172d15015d	Əmdi ular ɵz gǝplirini bayan ⱪilix üqün yeⱪin kǝlsun; Mǝyli, ular mǝsliⱨǝtlixip baⱪsun! Kim muxu ixni ⱪǝdimdinla jakarliƣanidi? Kim uzundin beri uni bayan ⱪilƣan? U Mǝn Pǝrwǝrdigar ǝmǝsmu? Dǝrwǝⱪǝ, Mǝndin baxⱪa ⱨeq ilaⱨ yoⱪtur; Ⱨǝm adil Huda ⱨǝm Ⱪutⱪuzƣuqidurmǝn; Mǝndin baxⱪa biri yoⱪtur.
172d160087	I yǝr-zeminning qǝt-yaⱪiliridikilǝr, Manga tǝlpünüp ⱪutⱪuzulunglar! Qünki Mǝn Tǝngridurmǝn, baxⱪa ⱨeqbiri yoⱪtur;
172d1700d9	Mǝn Ɵzüm bilǝn ⱪǝsǝm iqkǝnmǝn, Muxu sɵz ⱨǝⱪⱪaniyliⱪ bilǝn aƣzimdin qiⱪti, ⱨǝrgiz ⱪaytmaydu: — «Manga barliⱪ tizlar pükülidu, Barliⱪ tillar Manga [itaǝt iqidǝ] ⱪǝsǝm iqidu».
172d1800d4	Xu qaƣda: «Ⱨǝⱪⱪaniyliⱪ wǝ küq bolsa pǝⱪǝt Pǝrwǝrdigardidur» — deyilidu, Kixilǝr dǝl Uningla ⱪexiƣa kelidu; Ƣaljirlixip, uningƣa ƣǝzǝplǝngǝnlǝrning ⱨǝmmisi xǝrmǝndǝ bolidu.
172d190072	Israilning ǝwladlirining ⱨǝmmisi Pǝrwǝrdigar tǝripidin ⱨǝⱪⱪaniy ⱪilinidu, Wǝ ular Uni danglixidu.
