0100000009	Ïïjjïn
012932007e	I yuungu käñ batta mor ḍägä, Yuucip gitki Acanaat merkä oogen kä yew ṭuulle yen Patipeera män daaŋ yen mä Uun ti.
01293300a0	Aŋ Yuucip kaygon yeene äkkene ogo Manacca. Aŋ ike jaajjin ogo, “A yaana Jooŋ naŋŋa kä pillä yeeni muure wiirrä daa kä ke äntüke wäyo muure ye.”
01293400a9	Aŋ Yuucip minneni yaana bäätcïdï ye, äkkene ogo Ipiraayim. Aŋ jaajjin ogo, “A yaana Jooŋ ika naŋŋa giidä kä yaac baan yaana wääccä kä jï pillä ye.”
0129350059	Aŋ yuungu kä ŋaṭükel yek burru yaaka äätin ŋommañ mä Macïr jï ye düüñïn,
01293600bb	aŋ yuungu kä ŋaṭükel yek käñ mooye uccin kä äätin bata yaana jaaynene daa Yuucip ye. Aŋ käñ wäättä bänkä gïtï muure, aŋ a ŋommañ mä Macïr pare ken cääyge päk.
01293700ae	Aŋ wääna mä Macïr näkkene daa käñ ye, iken yaajjin Parahuun ti ogo päk. Aŋ Parahuun mä Macïr muure kiinne ogo, “Ate Yuucip ti aŋ gin'a kiine kä ye i naŋe.”
0129380083	Aŋ käñ tällä baan jï muure, aŋ Yuucip tuucku muure kupkene, aŋ yääjgede mä Macïr. Aŋ käñ yaaññä Macïr jï muure.
012939006b	Aŋ mä bänkä muure äätin Macïr Yuucip ti kïjï päk kä yaana käñ yaaññee ŋommañ wic muure ye.
012a010071	Aŋ wääna Yaagüüp tiiŋŋee kä ogo päk bilto ti Macïr ye, i merkä yeeke kiinne ogo, “Ikee däämme ina?
012a020079	Ika tiiŋŋä ogo päk bilto ti Macïr. Ate ïñï wïca aŋ kiije päk yaaka ütïn kä ye nuŋko ŋana tüwtïn kä.”
012a030043	Aŋ Yuucip mädgen yaaka kä caay ye attä Macïr kïïjïdï päk,
012a040077	aŋ Yaagüüp Benyamïïn, Yuucip määden batta agee kä tucon ke meken, booc nuŋko ginkalaŋ näŋit ḍoŋe ike ti.
012a050076	Aŋ merkälen Yaagüüp ḍakkä ti ke meken Macïr kïjï päk, kä yaana käñ biltee kä ti ŋommañ mä Kanaan ye.
012a06009b	Aŋ a Yuucip ken a mügdo yen mä Macïr. Aŋ ike yääjgïdï mä baan muure päk. Aŋ Yuucip mädgen äätin, aŋ ḍüŋjïn ïñï ike ti ŋommañ jï.
012a0700d0	Aŋ Yuucip mädgen yoorre aŋ ŋïññe, aŋ täkkene bata m'ana a pare ye, aŋ rütkene ŋïngïn tajde ogo, “Ikee ääte wa?” Aŋ iken jaajjin ogo, “Ikoon ääton ŋommañ mä Kanaan ti kijon päk.”
012a08003e	Aŋ Yuucip mädgen ŋïññe, aŋ ike batta agene kä ŋïcon.
012a0900a2	Aŋ Yuucip päjjin lääggï yeeke yaaka läkkee kä ogo iken ye. Aŋ iken kiini Yuucip ogo, “Ikee age mä jommu! Aŋ ikee äätene dääme ellä baan yoono!”
012a0a0051	Aŋ iken luukcin ike ti ogo, “U'u mügdo, kiinkä yüükü äätin kïjï päk.
012a0b0066	Ikoon muuronaan agon merkä män keellä. Ikoon agon me wotken. Kiinkä yüükü batta a mä jommu.”
012a0c0042	Aŋ kiinne ogo, “U'u a ellä yen baan yoono ken umgene daame.”
012a0d00d7	Aŋ iken jaajjin ogo, “Ikoon kiinkä yüükü agon mädin caay witken kä yew merkä män keellä ŋommañ yen mä Kanaan ti, aŋ tiññaŋ määdo ḍeerconḍe bilti cääy ke wäyo aŋ yaŋkalaŋ a yääyon.”
012a0e004a	Aŋ iken kiini Yuucip ogo, “Bata yaana kiinne kä ye ikee age mä jommu.
012a0f0096	Aŋ kä yaanni ikee puuce, ikee lïïtke kä yäṇtäŋ Parahuun, ikee batta bi kaace woo nänṭä yaanni ti ke määdic ḍeerconḍe ääte winni.
012a1000fb	Tucce men kä keelok ikee ti aŋ dale ike atï määdic äbe i ikee kalaŋ age gaŋgar jï winni, nuŋko ukcon kä gïtï jiik yeekic naana ikee jaaye a gïtken ye. Naana batta gïtken ye, ikee lïïtke kä yäṇtäŋ Parahuun, ikee age mä jommu.”
012a110042	Aŋ ḍoocce muure gaŋgar jï, aŋ nääkin nïïnkä kä ḍäk.
012a12006b	Aŋ nïïnnä ḍäk iken kiini Yuucip ogo, “Yaanni naŋe aŋ ikee bi üde, kä yaana booju kä Jooŋ ye.
012a1300aa	Aŋ naana ikee age mä wotku ye, dale määdic yaŋkalaŋ cääy gaŋgar jï winni, aŋ ikee yakkalaŋ ate paa äce päk äärgä yeekic tüggen yaaka näkä käñ ye ti.
012a140088	Aŋ määdic ḍeerconḍe äckakä nuŋko jiik yeekic ŋïce daa me agene gïtken, nuŋko ŋana tüwde kä.” Aŋ iken yaakka gïmgï.
012a15011c	Aŋ iken luugjin ogo, “A gïtken jooññu yaanni kaññïn kä gin'a näŋgïnïn määdo Yuucip ina. Ïkïïn yüṭṭïn pillä yäwconḍe yeene wääna ñujee ïkïïn ti yüükkïn ti, aŋ batta agïn yüükkïnï ti. Ina ken pillä yaanni wäättee kä ïkïïn ti yaanna.”
012a1600a1	Aŋ Robïïn luukcin ogo, “Ikee batta kolle ogo ŋana minneni näŋgede yiñ? Aŋ ikee batta tiŋde. Tiññaŋ yïmgä yeeke ken ikki joocïn kä me yaakki.”
012a17008a	Aŋ batta ŋäjjänä ogo jiiken ookcïdïï gïtï Yuucip, nääŋka ike jaay kä aŋ jiik yeeke ŋüülge daa gïtï kä mäŋkalaŋ ye.
012a1800ba	Aŋ ike ñome ṭukke woo iken ti aŋ jujjin kä ïwok, aŋ wääna ḍaŋŋee kä ïwok ye, i ñome ṭuugene ti iken ti aŋ jaaynene ŋuca, aŋ Camoon koowne aŋ ḍiiŋŋe ñomgen ti.
012a1900dd	Aŋ Yuucip kiinkä yeeke iingene ogo kücümgü ook yaakka küümgïï ko päk, aŋ oon yaŋkalaŋ daa tiil yeeke ḍüükcï kücam yeene jï, aŋ ïñjï wakkä äämkä yek päy jïñe. Aŋ yaakka näŋgene daa kä me.
012a1a004f	Aŋ wäättan iken tüürüŋŋï yeeken kuucki ŋätkin päk yeeken aŋ attä.
012a1b0098	Aŋ nänṭä yaana yuuttene ïñï nïïnene kä ye, yaŋkalaŋ kücam yeene kupkene ogo tüürüŋ yeene äämgee, aŋ tiil yeeke kaññe kücam tük.
012a1c00be	Aŋ mädgen kiinne ogo, “Yuure tiil yeeki a ḍuukin ti, ikki kücam jï.” Aŋ iken juuggen yejgin aŋ yoken tïïcïn aŋ luugjin ogo, “A ŋaaka ken naŋi Jooŋ ïkïïn ti aŋŋi?”
012a1d008e	Aŋ wääna iken ḍakkene ti wäyen Yaagüüp ti ŋommañ mä Kanaan ti ye, wäyen nüütkï waak'a näŋŋä ḍuuggen iken ti ye muure ogo,
012a1e0094	“Oon yaana a men mooye yen mä baan yaanja ye, ikoon rüüṇṇon ŋïngïn, aŋ ikoon käkkonon witin ogo ikoon agjon mä jommu yek baan yeenen.
012a1f0045	Aŋ kiinnon ogo, ‘Ikoon agon me wotken, ikoon batta agon mä jommu.
012a20008d	Ikoon mädin agon caay witken kä yew, aŋ wäyo a keelok, aŋ keelok a yääyon, aŋ ḍeerconḍe a paa ke wäyo ŋommañ mä Kanaan ti.’
012a2100e3	Aŋ men mooye yen mä ŋommañ yaanja ikoon kiinnon ogo, ‘Aŋŋi ken bi ŋäjje kä ogo ikee agje me wotken. Määdic keelok dalje ïñï ika ti winni, aŋ kuje päk ije äcke äärgä tüggen yeekic yaaka näkä käñ ye ti.
012a2200c3	Aŋ määdicle äcka kä, nuŋko ŋäjje kä ogo ikee batta agje mä jommu, aŋ ogo mä wotken. Aŋ wäättan määdic ḍuukke kä, aŋ ikee bi kije aŋ yääje wakkä baan jï kä tettä.’”
012a2300c4	Aŋ wääna kücümgü yeeken pukte daa kä ye, iken muure yaŋkalaŋ daa ḍeggon yeene yen tiil bilti kücam yeene jï. Aŋ wääna iken ke wäyen ḍïïggï tiil yoorene daa ye, i iken bojgin.
012a2400c8	Aŋ iken kiini wäyen Yaagüüp ogo, “Ikee ṭäke merkä yeeki yääye muure? Yuucip baati, aŋ Camoon baati, aŋ tiññaŋ ikee ṭäke Benyamïïn koowde. Aŋ yaakki muure äätïdï a ika ti!”
012a2500b7	Aŋ Robïïn wäyen kiinne ogo, “Merkälen yeeki yaaka kä yewwe ye nägä ḍugin, naana batta agä ḍüügïnï ïkï ti ye, müükkaa kä ïṇtï ti, aŋ bi ḍuukkenii kä.”
012a2600fe	Aŋ Yaagüüp jaajjin ogo, “Minneni yeeni batta atï ke ikee wïca, määden tüwnü aŋ ike aŋŋa keelok yaana buccin ye. Ika agä daan aŋ naana ginkalaŋ näŋï ḍoŋe ike ti päy jï ye, ika bi äcka ḍok nüüjdüŋ, aŋ ika bi näga ḍok.”
012b01002c	Aŋ käñ üüttïn ŋommañ mä Kanaan jï.
012b020086	Aŋ wääna iken päk yaaka äbänä Macïr ye baakkene ye, wäyen iken kiini ogo, “Ate ŋuca kijgon waak äämkä kä ḍeewaŋ.”
012b030076	Aŋ Yahüüja ike kiini ogo, “Men ikoon kollon kä car ogo waŋge batta bi yoorjon ŋuca, a naana määdo äjjon ye.
012b04005b	Aŋ naana määdo tuccudu ke ikoon ye ikoon bi aton ïñï aŋ ïkï kijgini waak äämkä.
012b050095	Aŋ naana ike batta tuccudu ye, ikoon batta aton kä yaana kiinonon kä men ogo naana määdo batta äjjon ye, i waŋge batta bi yoorjon ŋuca ye.”
012b06007a	Aŋ Yaagüüp jaajjin ogo, “Ika äckada ḍok yiñ kä nüütkïn men ogo ikee cääygeda ko määdic yaŋkalaŋ ina?”
012b07010c	Aŋ iken luukcin ogo, “Men ikoon taaññon kä waŋ teyne, kä ḍuuggo ke mä äntüke yooko ogo wäyo mor ogo üdon? Aŋ ikoon cääygonda ko määdo yaŋkalaŋ? Aŋ tääctäŋŋi yeeke luuŋŋon. Aŋ ŋäjjon ogoo ogo bi jaajjo ogo, ‘Määdic äbe winni.’”
012b080093	Aŋ Yahüüja wäyen Yaagüüp kiinne ogo, “Minneni müükkaa kä dalä aton kä, nuŋko ütïn, aŋ ŋana tüwtïn kä ïkïïn ke merkä yooko.
012b0900bf	Ika ḍoŋi bi rätä üṇṇü yeene, müükkaa kä ïntï ti, aŋ naana ike batta agä ḍüügïnï ïkï ti winni, aŋ ḍooccu ñomü ti ye, wäättan dalä leññä yeeni waajä ke on.
012b0a004c	Naana yoku ikoon batta koorron ye ikoon yoku ḍuukonon ääŋko kä yew.”
012b0b0127	Aŋ wäättan wäyen Yaagüüp iken kiini ogo, “Naana wäätcïdï aŋŋi ye, i kuje waak'a ŋeraŋ äbi woo ŋommañ kä ḍeewaŋ ye kücümgü yeekic gïtï, aŋ äcke men a iñdin käpet, kiñ kä ḍeewaŋ ke ḍuk yaaka a päkkiṇṇi ye ke yek pïlkä, ke ümbaküm, ke yüückü niit.
012b0c0078	Aŋ kuje tiil ääŋken kä yewwe yaaka ḍuukkene kä me kücümgü yeekic gïtï ina. Päjjïdï bülje, bi a yälgon.
012b0d0031	Aŋ cäänna määdic koowe aŋ ate ŋuca men ti.
012b0e00bd	Dale Jooŋ yaana Lïïṭït ye, ikee iñe ŋerrä men ñome ti, dale määdic Camoon ḍuukke kä ke Benyamïïn. Aŋ bata ika naana merkä yeeki yäygin ye, i ika bi nüüjü kä iken.”
012b0f0088	Aŋ ook kuññu iñdinni ke tiil ääŋken kä yewwe ke Benyamïïn. Aŋ iken juwin aŋ attä ïñï Macïr. Aŋ yuuttu Yuucip ñome ti.
012b1000ca	Aŋ wääna Yuucip Benyamïïn yoorreeda kä ke iken ye, i jaajjin m'ana mügït än yeene ye ti ogo, “Ook yaakka ijä än yeeni ti, aŋ iṭä ḍeel aŋ toodu. Iken atï ämï ke ika äŋ gïtï.”
012b110058	Aŋ oon näŋjin bata yaana kiinene daa kä Yuucip ye, aŋ ook iññe äräk ba' Yuucip.
012b120159	Aŋ ook bojok kä yaana iken ijene daa me äräk ba' Yuucip ye, aŋ iken jayok ogo, “Bi kä tiil yaaka ḍooci me kücümgü gïtï waan yaana ïjjïnïn ti ina. Ken inni äbïnïn kä me külok winni yaanni, aŋ ïkïïn bi käkkïn witin, aŋ ïkïïn bi müügïn, aŋ ïkïïn bi äcïn agïn kiinkä, aŋ tüürüŋŋi yooko bi koowgu.”
012b13004c	Aŋ iken attä m'ana mügït än Yuucip ye ti, aŋ jaaynene kä äntüke ti,
012b140066	aŋ kiini ogo, “Ay men mooye ikoon äätonon winni waan yaana ḍakkä ina, aŋ ikoon kiññon päk.
012b1500ed	Aŋ wääna ḍukcodon kä paa ye, ikoon yuutton ïñï nänṭä ba' nïïnkä, aŋ kücümgü yooko kupkonon, aŋ wina muuronaan mäŋkalaŋ daa tiil yeeke kaññe kücam yeene tük, i tiil yooko daa päyï. Aŋ ikki ḍuugonon yaakki.
012b160093	Aŋ ikoon ääconon tiil yakkalaŋ ŋuca kijon kä päk, aŋ ikoon batta ŋäjjon a ŋaani ken inni tiil yooko ḍoocce kücümgü yooko gïtï.”
012b1700d8	Aŋ ike luukcin ogo, “Ŋïïbbïn ikee ti, ŋana ikee booje. Bi a Jooŋ yeenic yen wääc ken ḍuccin waak ŋerkä kücümgü yeekic gïtï. Ŋäjjä tiil yeekic koownu.” Aŋ wäättan Camoon äckeneeda kä woo.
012b180088	Aŋ wääna men ook iññeeda kä äräk ba' Yuucip ye, i iññe piik, aŋ kïïgen looki woo, aŋ tüürüŋŋï yeeken iññe beelgä.
012b190083	Aŋ iken iccinni tooti yokïn kä yaana Yuucip äätedee äŋ gïtï ye, kä nääŋka iken tiiŋene kä ogo iken bi ämo wïca ye.
012b1a0094	Aŋ wääna Yuucip äätenee paa ye, i iñdinni yaaka äbi ïnken ti ye, äckene daa kä äräk, aŋ iken ḍüŋjïn ïñï ñome ti ŋomgu gïtï.
012b1b007a	Aŋ tajdene kä cäwdä yeenen, aŋ taaññe ogo, “Wääc yore ŋeraŋ? Daan yaana kiiṇde ina. Aŋ ike mor a üdon?”
012b1c007e	Aŋ iken luukcin ogo, “Kiingon yüünü wäyo yore ŋeraŋ aŋ mor a üdon.” Aŋ iken ḍüŋjïn ïñï ŋuca kä eemdin.
012b1d00e4	Aŋ Yuucip waŋge äärene ñaalok, aŋ määden Benyamïïn yaana a minneni meen ye yoorre, aŋ tääckene ti ogo, “A määdicle inni yaana kiinda kä ye?” Aŋ ike jaajjin ogo, “Jooŋ ïkï iñey ŋerrä minneni yeeni!”
012b1e0079	Aŋ Yuucip kaaccä woo kä bïraŋ kä yaana jone küümmee kä määden ye, aŋ attä äräk baanne aŋ weeŋŋä wïca.
012b1f006d	Aŋ wäättan ike waŋge püüjjene woo aŋ kääjin woo, aŋ jone yukkene aŋ jaajjin ogo, “Amma äbä.”
012b2000de	Aŋ Yuucip iñi me woo pare kä därŋañ yeene, aŋ mädgen daa woo pääken. Aŋ mä Macïr yaaka ämmene kä ye daa woo pääken kä yaana mä Macïr batta ämene ke mä Iburu ye, ogo yaanna ogo ḍällä mä Macïr ti.
012b210093	Aŋ Yuucip mädgen ḍoocce ñome ti ḍooññe daa kä yuungen juwu mooye ti ke ḍeerconḍe ti, aŋ däämmä waŋgin i witken a ḍïïktïnï.
012b2200cc	Aŋ iken kujgi me ammani därŋañ Yuucip ti aŋ äckene daa kä me, aŋ Benyamïïn äcki me ääŋke kä duuc käälcïdï woo yek meken yaakka ti muure. Aŋ iken mättä ke Yuucip, aŋ juuggen ñappä.
012c0100d8	Aŋ Yuucip m'ana mügït än yeene jïñe ye iingene jiik ogo, “Kücümgü ook yaakka küümgü kä päk kä ḍiräk bata yaaka lïïltä kä äddin ye, aŋ yaŋkalaŋ daa tiil yeeke ḍuukci ti kücam yeene tük.
012c0200c7	Aŋ ḍonṭule ääygon kä tiilgä gälkä ḍoocci kücam yen määden ḍeerconḍe tük, nänṭä keellä ke tiil yaaka päk gïtï yaakka.” Aŋ ike näŋjin bata yaana kiinene daa Yuucip ye.
012c030046	Aŋ tïnnäk aŋŋi ook tuci me woo päy jï ke tüürüŋŋï yeeken.
012c0400de	Aŋ wääna kaaccene kä woo baan mooye jï ye, Yuucip m'ana mügït än yeene ye kiinne ogo, “Kä bïraŋ ook yaakka ñoolu ŋätin. Aŋ naana wääṇṇi ŋätin ye, i taajä ogo, ‘Ŋerrä räddïï yok ko yiñ ina?
012c05009e	Ḍonṭule yen men mooye yeeni kale ina? A yaana mätee kä ye, aŋ a yaana cäänna paŋdee kä merkämäckä ye. Aŋ ikee näŋŋe mätkïtïn mooye!’”
012c060058	Aŋ wääna wääṇṇee daa ŋätin ye, i kiinne bata yaana daa kiinene daa Yuucip ye.
012c070079	Aŋ luugi ogo, “Men mooye yoono bi jaay ina aŋŋi? Ikoon kiinkä yüükü, batta lïïṭon näŋon nääŋkä yaakka.
012c0800b5	Yooru, tiil yaaka kaññon kücümgü yooko tügïn ye, ḍuukkini kä ŋäjäk ḍuugon ŋommañ mä Kanaan ti, aŋ tiilgä gälkä ke tiilgä yek än men mooye yüünü kalon ina?
012c090083	Aŋ naana ḍonṭule yeene kañi me mäŋkalaŋ ti ikoon ti ye, i men yaanna dalä tüw. Aŋ ikoon wääton agon kiinkä yeeke.”
012c0a00a8	Aŋ ike luukcin ogo, “Ika gïmmädä kä jiik yeekic, aŋ a m'ana käññä ḍonṭule ye pare ken bi wäätï a kiingon yeeni, aŋ ikee yaakka bi ate kä tettä.”
012c0b0062	Aŋ iken muure kücümgü yeeken äbi ïñï tüürüŋŋï yeeken ŋätin kä bïraŋ, aŋ kupki.
012c0c00ca	Aŋ m'ana mügït än Yuucip ye, juwin kä maawnä gïtï kücümgü, ïïjjïn ti kä kücam men mooye ti, aŋ yuuttu ïñï kücam men ḍeerconḍe ti, aŋ ḍonṭule kaññe kücam Benyamïïn jï.
012c0d007b	Aŋ mädgen buruŋgu yeeken jiijji gïtï woo kä nüüjdüŋ, aŋ tüürüŋŋï yeeken kooji aŋ ḍukcin baan mooye jï.
012c0e008c	Aŋ wääna Yahüüja ke mädgen äätene ti än yen Yuucip ti ye, i ike mor irä äräk, aŋ iken ḍüŋjïn ïñï ñome ti ŋommañ jï.
012c0f008e	Aŋ iken taaji Yuucip ogo, “A ŋaaka inni naŋŋe yaanni? Batta ŋäjje ogo oon yaana bata ika aŋŋi ye yuṭo ko paŋdin merkämäckä?”
012c10010b	Aŋ Yahüüja luukcin ogo, “Ay, men mooye, ïkï kiingi ogo ŋaaka aŋ ikoon bi jaayon ogo ŋaaka aŋ ḍuuggo bi teeton woo ogoo? I Jooŋ yiñ yoono nüüdene woo aŋŋi. Aŋ tiññaŋ ikoon aŋŋon kiinkä yüükü, ikoon ke m'ana käññene me ḍonṭule ye.”
012c1100a9	Aŋ Yuucip jaajjin ogo, “Ay u'u yaakka batta naŋdä! A m'ana käññene me ḍonṭule ye ken wäätï a kiingon yeeni, aŋ ikee ate kä ŋïïbbïn paa wääc ti.”
012c1200db	Aŋ Yahüüja wükcïn ti Yuucip ti, aŋ kiinne ogo, “Men mooye, kura dalä kiingon yüünü jaajjï jiik men mooye yeene ti. Aŋ ŋana ïkï peṇdä kiingon yüünü ti, naana cäänna ïkï beelä bata Parahuun ye.
012c130050	Men mooye ikoon taaññoon ogo, ‘Ikee cääygene kä wääc halla määdic?’
012c1400d7	Aŋ ïkï luugini ogo, ‘Ee, ikoon cääygonon kä wäyo a daandïnï ke määdole, aŋ a minneni yeene yen düüñïn yuunge. Määden tüwnü aŋ a ike pare ken buccin merkä meen ti, aŋ ike bilgänä wäyen.’
012c150049	“Aŋ ïkï ikoon kiinnoon ogo, ‘Äbe winni, dale yooru kä waŋgi.’
012c16006d	Aŋ ïkï luugini ogo, ‘Minneni wäyen batta cakcede ïñï, aŋ naana cake ïñï ye, i wäyen bi tüw.’
012c17006e	Aŋ ikoon kiinnoon ogo, ‘Naana määdicle batta äätïdï ke ikee winni ye, waŋgi batta bi yoore ŋuca.’
012c18005b	Aŋ wääna ḍukconon kiingon yüünü wäyo ti ye, i kiinnon kä jiik'a jaajjinii kä ye.
012c19004b	Aŋ ikoon kiinonon wäyo ogo, ‘ḍukce kiije päk kä ḍeewaŋ ŋuca.’
012c1a00a4	Aŋ luuŋŋon ogo, ‘Ikoon batta aton. A naana määdole bilti ke ikoon ye, ken bi aton kä, aŋ oon waŋge batta bi yooron a naana määdole bilti ke ikoon ye.’
012c1b0071	Aŋ kiingon yüünü wäyo ikoon kiinnon ogo, ‘Ŋäjje iiŋ yeeni Rahiil ika gitkana merkälen oogen kä yewwe.
012c1c008b	Aŋ yaŋkalaŋ kaaccä woo ika ti, aŋ ika jaajjänä ogo, “A gïtken jiiji gïtï gin kurkuŋgu.” Aŋ batta agä yoorgon ke tiññaŋ.
012c1d0091	Aŋ naana yaanni koowe ika ti cäänna aŋ ginkalaŋ näŋï ḍoŋe ike ti ye, ika agä daan ika bi äcka ḍok yiñ, aŋ ika bi näga ḍok.’
012c1e0096	“Ken aŋŋi naana ika ḍukcu kiingon yüünü wäyo ti, i minneni baati ke ikoon ye, wäyo üṇṇü yeene a ḍekon ti üṇṇü yen minneni ti,
012c1f008c	aŋ wäyo bi tüw naana minneni yoore baati ke ikoon ye. Ike a daandïnï, aŋ nüüjdüŋ yaana bi näŋgon daa kä ye ike bi näkä ḍok.
012c2000b8	Aŋ kiingon yüünü minneni müükkene daa wäyen, aŋ kiinnä ogo, ‘Naana minneni batta agä ḍüügïnï ŋäjäk ïkï ti ye, ika bi wääcä leññä ñomü ti yuungi muure.’
012c210094	“Aŋ aŋŋi kura men mooye, dalä kiingon yüünü minneni räde yok, aŋ ken wäätï a kiingon yüünü, aŋ dalä minneni ḍükcï ke mädgen.
012c220079	Aŋ ika bi ḍukcu wäyo ti ogoo naana minneni batta ke ika ye? Ika batta ṭäkä yurtu yiñ yaana ätä wäyo ti ye.”
012d0100ce	Aŋ Yuucip batta a lïïṭon kä yukkin jone m'aka yudok ñome ti yaakka ti muure, aŋ ike yaajjin ogo, “Kaace woo muurijaan winni.” Aŋ baati mäŋkalaŋ wääna yore nüütkeneeda kä woo mädgen ye.
012d020056	Aŋ ike weekcin kä yääw mooye ke tiiŋene daa mä Macïr, ke äntüke yen Parahuun.
012d0300c5	Aŋ Yuucip mädgen kiinne ogo, “Ika agä Yuucip! Wäyo mor üdon?” Aŋ mädgen batta a lïïṭïn kä luuŋŋu ike! Aŋ iken bojgin kä yaana yoken kañene daa däämmene waŋgin ke Yuucip ye.
012d0400b1	Aŋ Yuucip mädgen kiinne ogo, “Ääte ti ika ti kä cokal kura.” Aŋ iken äätin ti kä cokal. Aŋ kiinne ogo, “Ika agä määdic Yuucip yaana yääjjene woo Macïr ina.
012d05008c	Aŋ ŋana ikee booje, aŋ ŋana ḍuuggic pingede ogo ika yääjjanada woo winni, Jooŋ ika tuujana ñomgic ti ogo ika mäkco üṇṇü me.
012d06007d	Aŋ käñ cääyge yuungu kä yewwe baan jï, aŋ mor irä yuungu kä duuc yaaka pïïṇṇä ke errä bi baawgee kä ti ye.
012d070087	Aŋ Jooŋ ika tuujana ñomgic ti nuŋko buccee ko ŋommañ wic, aŋ määkoo ko woo üṇṇü yeenic nuŋko mä üdïn ḍïïrïïko.
012d0800b1	Aŋ batta a ikee ken ika tuujana winni, a Jooŋ. Aŋ ika naŋŋa bata wäy Parahuun ti, men mooye yen än yeene muure, aŋ ika naŋŋa agä mügdo yen ŋommañ mä Macïr muure.
012d0900e8	Aŋ ḍukce ŋäjäk kä bïraŋ ñaalok wäyo ti, aŋ nüütke ogo, ‘A jiik'a jääyete minneni yüünü Yuucip ye ikki, Jooŋ ika naŋŋa agä men mooye ŋommañ yen mä Macïr ti muure, ääte kä bïraŋ aŋ ŋana ïkï kuuru.
012d0a00b4	Ïkï bi cääyä baan mä Jiicaan ti, aŋ ïkï bi cokulu cokal ti ika ti, ïkï ke merkä yüükü ke merkä merkä yüükü, ke ḍiik ke däk yüükü ke wakkä yüükü muure.
012d0b00ab	Aŋ ïkï bi tïïjeni wïca, nuŋko ŋana ïkï ke äntüke yüünü ke wakkä yüükü muure boccete ïñï. Yuungu mor irä kä duuc yaaka äätïdï a yek käñ ye.’
012d0c0080	Aŋ tiññaŋ waŋgic yuṭṭu ke määdo Benyamïïn waŋge yuṭṭu ogo ika agjo Yuucip, aŋ ika inni jaayä ke ikee yaanni.
012d0d009a	Aŋ wäyo nüütke kä eemdin yeeni yaana kaññä Macïr winni ye, ke wakkä muure yaaka yoorre winni ye. Ate aŋ wäyo äbe ïñï winni kä bïraŋ.”
012d0e007c	Aŋ Yuucip määden Benyamïïn kunjene ti jone ti, aŋ ike jujjin kä ïwok, aŋ Benyamïïn weeŋŋä ḍoŋe ti cäänna.
012d0f0059	Aŋ Yuucip mädgen muure kuunne ḍugin, aŋ weggin, aŋ wäättana mädgen jaaynene kä.
012d10007e	Aŋ wääna jiik ḍakkee än ti ba Parahuun ogo Yuucip mädgen äätono ye, i Parahuun ke ḍuuŋkulen yeeke juuggen ñappä.
012d110097	Aŋ Parahuun Yuucip kiinne ogo, “Mädgic nüütkü ogo näŋjo ogo aŋŋi, tüürüŋŋï yeeken koojjï, aŋ ḍukco ŋäjäk ŋommañ mä Kanaan ti
012d1200a7	aŋ wäyen äbïï ke mä äntüke yeeken ika ti. Aŋ ikee bi iñe ŋommañ ŋerconḍe yen mä Macïr, aŋ ikee bi äme wakkä ŋerkä yaaka äpätä woo ŋommañ ye.
012d1300b0	“Aŋ ïkï cäänna kiinneni ogo iken nüütkeey, ogo kuju teebälaŋŋi yek bägälgä yek mä Macïr ääcïï ko merkä yeeken ke määngen, aŋ wäyen äbïï aŋ ääto.
012d140064	Aŋ ŋana juuggic lüüjï wakkä yeekic, waak ŋerkä yek mä Macïr muure bi wäätï a yeekic.”
012d1500ac	Aŋ merkälen yek Yaagüüp yaanna naŋi. Aŋ iken iñi Yuucip teebälaŋŋi yek bägälgä bata yaana Parahuun iinjenee kä ye, aŋ iññe wakkä äämkä yek päy jïñe.
012d16007a	Aŋ iken ti muure yaŋkalaŋ daa iññe buruŋgu, aŋ Benyamïïn iññe tiilgä gälkä waŋgen 300 ke buruŋgu kä duuc.
012d1700e7	Aŋ a waak yaaka tuckene wäyen ye ikki, tüürüŋŋï oogen kä caay a koocin kä wakkä ŋerkä yek mä Macïr, aŋ tüürüŋŋï määngen kä caay a koocin kä päk ke bïggï ke waak äämkä yakkalaŋ a yek wäyen päy jï.
012d180081	Aŋ wäättan ike mädgen tucce woo, aŋ wääna kaaccene kä woo ye, i kiinne ogo, “Ŋana ikee ääme yääññä päy jï.”
012d190056	Aŋ iken Macïr dalji ïñï aŋ attä wäyen Yaagüüp ti ŋommañ yen mä Kanaan ti.
012d1a00b9	Aŋ kiini ogo, “Yuucip mor a üdon! Aŋ ike ken mügït ŋommañ mä Macïr jïñe muure.” Aŋ Yaagüüp wiñe ḍiiktin kä jiik kïccäŋgenen, aŋ iken batta agee kä gïmgïnï.
012d1b00c8	Aŋ wääna wäyen nüütkene daa kä jiik'a kiinene daa Yuucip muure, aŋ wääna ike yuṭṭee teebälaŋŋi yek bägälgä yaaka tuuji Yuucip ike äcä ye, i wäyen Yaagüüp jone ḍuukin ïñï.
012d1c0078	Aŋ Yaagüüp jaajjin ogo, “Ḍaŋŋä, minneni yeeni Yuucip mor a üdon, ika bi atä yooru i batta mor ika tüwü.”
012e010096	Aŋ Yaagüüp wakkä yeeke kooññe muure bak Macïr. Aŋ wääna ike ḍakkee ti Bïïrcïba ye, ike iccin wäämmäni yok Jooŋ yen wäyen Icaak ti.
