0100000007	Jenesis
10091b0144	Kamaghɨn amizɨ, nɨ apanibar amamangatɨzɨ, me iza me mɨsogha me gafiragha paza me gamua mɨzazim me ganɨngi. Ezɨ gɨn men osɨmtɨzimɨn aven, inazir afeziar kaba uarir akurvaghasa nɨn diava arai. Ezɨ nɨ uan Nguibamɨn ikia men dɨmdiam baragha, men apangkuvigha akurvazir gumazir maba amadazɨ, me apaniba batoke.
10091c0188	“Ezɨ gɨn, me avughsegha dabirabir aghuimɨn dughiamɨn aven ikia, me uam arazir kurar mabagh ami. Ezɨ nɨ ua apanibar amamangatɨzɨ, me uan gavgavimɨn me abɨragha me gatifa. Ezɨ gɨn me ua iza navibagh iragha uarir akurvaghasa nɨn azai. Ezɨ nɨ uan Nguibamɨn ikia men dɨmdiam barasi. Dughiar avɨriba, me arazir kurar kam gami. Ezɨ nɨ zurara men apangkuva apaniba da ua me isi.
10091d0176	“Nɨ uan Arazibar Akɨnafarimɨn aven akabar gɨn mangasa nɨ me mɨgei. Me fo, gumazitam dar gɨn mangɨ, tuavir kamɨn a ikɨrɨmɨrir aghuim iniam. Ezɨ me uari fa nɨn Akar Gavgaviba barazi puvatɨgha, akɨrim nɨn Arazir nɨ damuasa mɨkemezibagh asaragha, arazir kurabagh ami. Men dapaniba gavgavizɨ me uan navibar kumi, kamaghɨn me nɨn akamɨn gɨn mangan aghua.
10091e0120	Azenir avɨriba nɨ amɨraghatɨgha navibagh iraghasa me mɨgei. Nɨn Duam akar kam isa nɨn akam inigha izir gumazibagh anɨngizɨ, me dar gun gumazamizibav gei. Ezɨ inazir afeziar kaba akam baraghan aghua. Kamaghɨn amizɨ, nɨ me isa Kantrin Igharazibar Gumazamizibar dafaribagh atɨ.
10091f00a5	Ezɨ nɨn apangkuvim bar ekefe, kamaghɨn nɨ akɨrim me gasarazir puvatɨgha, me ataghizɨ me bar ikuvizir puvatɨ. O God, nɨ bar en apangkufi, egha bar e gifonge!
10092001e2	“Nɨ en God, nɨ ziar ekiam ko gavgavir ekiam itir God. E bar nɨn atiatigha nɨn apengan iti. Dughiaba bar, nɨ uan Akar Dɨkɨrɨzir Gavgavir kamɨn gɨn ghua, zurara en apangkufi. E datɨrɨghɨn osɨmtɨzir ekiam ateri, eghtɨ nɨ e gɨnɨghnɨgh en akurvagh. Fomɨra Asirian atrivibar dughiamɨn ikegha iza datɨrɨghɨn, en atriviba ko gumazir dapaniba ko ofa gamir gumaziba ko akam inigha izir gumaziba ko inazir afeziaba, me bar osɨmtɨzir kam atera iza datɨrɨghɨn tu.
1009210094	E arazir kuram gami, ezɨ nɨ ivezir kuram e ganɨngi. E fo, nɨn arazir kam bar derazɨ, nɨ guizbangɨra zurara uan akamɨn gɨn ghua en akurvasi.
10092200ed	“Guizbangɨra, en inazir afeziaba ko, en atriviba ko, en gumazir dapaniba ko, ofa gamir gumaziba, me nɨn Arazibar Akɨnafarimɨn aven itir akabar gɨn zuir puvatɨ. Me nɨn Akar Gavgaviba ko, Moses Osirizir Arazibar gɨn mangan aghua.
1009230125	En atrivibar dughiamɨn, nɨ deragha en inazir afeziabagh amua, bizir bar aghuir avɨriba me ganɨdi. Me nguazir ekiam gapia, ezɨ nguazir kamɨn dagher aghuiba an ikia deragha aghui. Ezɨ me bizir kam gɨnɨghnɨzir puvatɨ. Me arazir kuraba ategha navibagh iragha, ua nɨ bagha izir puvatɨ.
10092400aa	“Datɨrɨghɨn, nguazir nɨ inazir afeziabagh anɨngizim, e an iti, ezɨ dagher aghuiba an ikia deragha aghui. Ezɨ e an aven ikia pura ingangarir gumazir kɨnibar iti.
100925013e	E arazir kuram gamigha gɨfa, kamaghɨn nɨ kantrin igharazibar atrivibar amamangatɨzɨ, me en gara e gatifa. Egha me bizir aghuir avɨriba en nguazimɨn otiviziba isi. Me gavgavir ekiam ikia, kamaghɨn me en mɨkarziba ko asɨzibagh ativazɨ, e men ifongiamɨn gɨn zui. Kamaghɨn amizɨ, e osɨmtɨzir ekiam iti!”
10092601f9	“E Israelia, e kamaghɨn mɨgɨa ghaze, e bar arazir kuram gamizɨ, kamaghɨn God kantrin igharazibar atrivibagh amizɨ, me e gativagha en bizir avɨriba en nguazimɨn da isima, e osɨmtɨziba ateri. Kamaghɨn amizɨ, e Israelian gumazamiziba uari inigha navir amɨrizimɨn ikia, Ikiavɨra Itir God ko Akar Dɨkɨrɨzir Gavgavim gamua, an osiri. Ezɨ en gumazir dapaniba ko, Livaiba ko, ofa gamir gumaziba, akar kam osirigha gavgavim a danɨngasa men ziaba ko ababaniba isa akar kam gisɨn da arɨsi.”
100a0100db	Israelia, God ko Akar Dɨkɨrɨzir Gavgavim gamua gavgavim a danɨngasa. Ezɨ gumazir faragha uan ziam osirizim, a gavmanɨn faragha zuir gumazim Nehemia, an Hakalian otarim. Ezɨ Nehemian gɨn, Sedekaia uan ziam osiri.
100a020107	Ezɨ Sedekaian gɨn ofa gamir gumaziba iza uan ziaba osiri. Men ziabar kara: Seraia, Asaria ko Jeremaia, Pasur, Amaria, ko Malkia, Hatus, Sebania, ko Maluk, Harim, Meremot, ko Obadia, Daniel, Gineton, ko Baruk, Mesulam, Abiya, ko Mijamin, Masia, Bilgai ko Semaia.
100a09011e	Ofa gamir gumazibar gɨn Livaiba uan ziaba osiri. Men ziabar kara: Asanian otarim Jesua, Binui, a Henadatɨn ikɨzimɨn gumazim, Katmiel ko Livain marasi, ko Sebania, ko Hodia, Kelita, Pelaia ko Hanan, Mika, Rehop, ko Hasabia, Sakur, Serebia, Sebanian igharazim, Hodia, Bani, ko Beninu.
100a0e01bd	Livaibar gɨn gumazir dapaniba uan ziaba osiri. Men ziabar kara: Paros ko Pahatmoap, Elam, Satu, ko Bani. Buni, Asgat, ko Bebai, Adoniya, Bikvai, ko Adin, Ater, Hesekia, ko Asur, Hodia, Hasum, ko Besai, Harip, Anatot, ko Nebai, Makpias, Mesulam, ko Hesir, Mesesabel, Sadok, ko Jadua, Pelatia, Hanan, ko Anaia, Hosea, Hanania, ko Hasup, Halohes, Pilha, ko Sobek, Rehum, Hasapna, ko Masea, Ahiya, Hananɨn igharazim, ko Anan, Maluk, Harim ko Bana.
100a1c01f4	“E Israelian gumazamiziba, Akar Dɨkɨrɨzir Gavgavir kam gamua an osiri. E bar, ofa gamir gumaziba, ko Livaiba, ko Godɨn Dɨpenimɨn tiar akamɨn garir gumaziba, ko Godɨn Dɨpenimɨn onger akabar faragha zuir gumazamiziba, ko Godɨn Dɨpenimɨn ingangarir gumaziba, ko gumazamizir igharaziba bar, e bar Godɨn Arazibar Akɨnafarimɨn aven itir akabar gɨn zui. Egha ikɨzir igharazibar gumazamiziba ko poghezir puvatɨ. E uan amuiba ko, borir akam baregh nɨghnɨzir gavgavim an ikiamiba ko izi.
100a1d01b9	E bar izava uan adarazi ko uan gumazir dapaniba ko uari akuvagha akar gavgavir mam gami. E Godɨn Arazibar Akɨnafarimɨn akabar gɨn mangasa. Akar kaba, God en inazir afeziabar anɨngasa uan ingangarir gumazim Moses ganɨngi. Ikiavɨra Itir God, en Ekiam ghaze, e an Akar Gavgaviba, ko bizir a damuasa e mɨkemeziba, ko arazir a ifongeziba, e deraghvɨra dar gɨn mangɨ dar amuam. E an akam batueghtɨ, Ikiavɨra Itir God e gasɨghasigham.
100a1e0060	“E ghaze, e ikɨzir igharazibar gumazamizir en kantrin itiba, me ko poroghamibar amuan kogham.
100a1f01a5	“E ghaze, ikɨzir igharazibar gumazamizir en kantrin itiba, wit ko bizir igharaziba inigh Sabatɨn dughiam ko Godɨn ziam feir dughiar ekiabar da inigh izɨtɨ, e dagh ivezan kogham. “Ezɨ azenir namba 7ɨn, e uan azenibar aven dagheba oparan kogham, en nguazim pura ikiam. “Egh gumazitam faragha zuir azenitamɨn bizitam purama inightɨ, azenir namba 7ɨn, e kamaghɨn mɨkɨm suam, a bizir kam ikarvaghan markiam.
100a200079	“Azeniba bar e vaghvagh Ikiavɨra Itir Godɨn Dɨpenimɨn ingangarim bagh silvan dagɨar akuar muziarir tabar anɨngam.
100a2101c5	“Silvan kam, bizir kabagh ivezam: Godɨn damazimɨn me dakozim darɨghamin bret, ko dughiaba bar me ofaba damuamin wit, ko dughiabar zurara me asɨzir ofan bar isia mɨghɨriba, ko bizir Sabatɨn dughiamɨn ofa damuamiba, ko iakɨnir igiamɨn isar ekiamɨn ofa damuamim biziba, ko dughiar ekiar igharazimɨn ofa damuamim biziba, ko Israelian arazir kuraba gɨn amadir ofaba, ko ofan igharaziba ko bizir igharazir Godɨn Dɨpenimɨn aven ingariba sara.
100a2201c1	“E gumazamiziba bar, ko ofa gamir gumaziba ko Livaiba, e Godɨn Arazibar Akɨnafarimɨn gɨn mangɨ, satu gikararangɨva, tarazi amɨseveghtɨ me dazibar kuegh, da inigh Godɨn Dɨpenimɨn izɨtɨ, ofa gamir gumaziba da isɨ, asɨzir gumazamiziba God bagha inigha iziba isɨ, ofa gamir dakozimɨn da tuam. Azeniba bar, me ikɨziba vaghvagh daziba inigh mangasa, dughiar maba me bagha da amɨsefe. Me ofan kaba Ikiavɨra Itir God, en God danɨngam.
100a23006f	“Azeniba bar e dagher faragha azenibar aniziba, ko ter ovɨzir faragha aniziba inigh Godɨn Dɨpenimɨn izam.
100a240120	“Egh e uan otarir ivariaba inigh ofa gamir gumaziba bagh Godɨn Dɨpenimɨn mangɨ, me amɨsevegh suam, me Godɨn adarazira. E bulmakauba ko sipsipba ko memen apurir nguzir ivariaba inigh God baghvɨra da mɨsevegham. God uan Arazibar Akɨnafarimɨn aven e mɨkemezɨ moghɨn, e damuam.
100a25016c	“Azeniba bar, e faragh iniamin wit, a mɨrmɨrightɨ, plaua otoghtɨ e a inigh izam. Egh wainɨn dɨpam ko olivɨn borem ko ter ovɨzir igharaziba inigh egh Godɨn Dɨpenimɨn izɨ ofa gamir gumazibar anɨngam. “Eghtɨ Livaiba en nguibabar izamin dughiamɨn, e uan azenibar dagheba tuiraghtɨ pozir 10plan otoghtɨ, e pozitam isɨ Livain gumaziba me danɨngam.
100a2600fd	Eghtɨ Aronɨn ovavir boribar tongɨn, ofa gamir gumazitam, a Livaiba ko izɨ dagher kabar 10plan poziba iniam. Eghtɨ Livaiba dagher kaba tuiragh, dar 10plan pozibar, pozitam inigh Godɨn Dɨpenimɨn mangɨ, dagheba arɨghamin danganimɨn dar arɨgham.
100a270263	E Israelian gumaziba ko Livain ovavir boriba, en witɨn naba ko wainɨn dɨpar naba ko olivɨn boremɨn naba da inigh, Godɨn Dɨpenimɨn izɨ dagheba arɨghamin danganimɨn dar arɨgham, danganir kam, Godɨn Dɨpenimɨn itarir ekiaba uaghan an aven iti. Godɨn Dɨpenimɨn aven itir danganir kam uaghan, ofa gamir gumaziba, ko Godɨn Dɨpenimɨn tiar akamɨn garir gumaziba, ko Godɨn Dɨpenimɨn onger akabar faragha zuir gumaziba, uaghan me ikiamin danganim kagh iti. “Bar guizbangɨra, e Godɨn Dɨpenimɨn garir ingangarir kam ateghan kogham. “Akar Dɨkɨrɨzir Gavgavir kamɨn akaba, kamaghɨra tu.”
100b01015e	Dughiar kamɨn, Israelian gumazir dapaniba Jerusalemɨn iti. Ezɨ gumazamizir nguibar igharazibar itiba me satu gikararai, egh tuavir kamɨn me ikɨziba tuiraghtɨ, 10plan okoruaba otoghtɨ me gumazir okoruatam amɨseveghtɨ, gumazir kaba mangɨ Jerusalemɨn ikiam. Kar Godɨn nguibar ekiamra. Eghtɨ 9plan gumazir okoruaba nguibar igharazibar ikiam.
100b020072	Ezɨ gumazamizir maba uan ifongiamɨn gɨn ghua Jerusalemɨn iti. Kamaghɨn amizɨma Israelia me bagha bar akonge.
100b030129	Ezɨ Israelian gumazamizir igharaziba, ko ofa gamir gumaziba, ko Livaiba, ko Godɨn Dɨpenimɨn ingangarir gumaziba, ko Atrivim Solomonɨn ingangarir gumazibar ovavir boriba, me uan nguibaba ko uan nguazibara iti. Gumazir dapanir Judan provinsɨn ikegha iza Jerusalemɨn apiaziba, men ziabar kara.
100b04015d	Judan anabamɨn adarasi, men gumazir dapanibar ziabar kara: Me gumazir dapanir pumuning iti. Ataia ko Masea. Ataia a Usian otarim, egha a Sekaraian igavatarim. Ataian ovavir igharazibar ziabar kara: Sekaraia an Amarian otarim, ezɨ Amaria a Sefatian otarim, ezɨ Sefatia a Mahalalelɨn otarim. Me bar Peresɨn ovavir boriba, ezɨ Peres Judan otarim.
100b05010e	Ezɨ Judan adarazir gumazir dapanir igharazibar kara, Barukɨn otarim Masea, a Kolhosen igavatarim. Ezɨ Kolhose Hasaian otarim, ezɨ Hasaia Adaian otarim, ezɨ Adaia Joiaripɨn otarim, ezɨ Joiarip Sekaraian otarim. Me Selan ovavir boriba, egha Judan anabamɨn adarasi.
100b060076	Egha Peresɨn ovavir borir Jerusalemɨn itiba, me bar gumazir gavgavibara. Me bar moghɨra, men dɨbobonim, 468ɨn tu.
100b070263	Benjaminɨn anabamɨn adarasi, men gumazir dapanibar ziabar kara: Salu ko Gabai, Salai, Joel ko Juda. Salu a Mesulamɨn otarim, ezɨ Mesulam Joetɨn otarim, ezɨ Joet Pedaian otarim, ezɨ Pedaia Kolaian otarim, ezɨ Kolaia Masean otarim, ezɨ Masea Itielɨn otarim, ezɨ Itiel Jesaian otarim. Jerusalemɨn itir Benjaminɨn anabamɨn adarazi bar moghɨra, men dɨbobonim, 928ɨn tu. Ezɨ Sikrin otarim Joel, Benjaminɨn adarazir faragha zuir gumazir dapanim. Ezɨ Hasenuan otarim Juda, a Benjaminɨn adarazir mav. A gumazir dapanir Joelɨn gɨn zuim, a an akuragha Jerusalemɨn aven itir distrighɨn mamɨn gari.
100b0a0077	Kar Jerusalemɨn itir ofa gamir gumazibar gumazir, dapanibar ziaba: Joiaripɨn otarim Jedaia, ko gumazir dapanim Jakin,
100b0b011f	ko gumazir dapanim Seraia, a Hilkian otarim, ezɨ Hilkia a Mesulamɨn otarim, ezɨ Mesulam a Sadokɨn otarim, ezɨ Sadok a Meraiotɨn otarim, ezɨ Meraiot, a Godɨn Dɨpenimɨn ofa gamir gumazibar dapanim Ahitupɨn otarim, a fomɨra Godɨn Dɨpenimɨn ofa gamir gumazibar dapanimɨn ike.
100b0c010e	Me bar moghɨra 822plan gumaziba, me Godɨn Dɨpenimɨn ingangarim gami. Gumazir dapanim Adaia, a Jerohamɨn otarim, ezɨ Jeroham a Pelalian otarim, ezɨ Pelalia a Amsin otarim, ezɨ Amsi a Sekaraian otarim, ezɨ Sekaraia a Pasurɨn otarim, ezɨ Pasur, a Malkian otarim.
100b0d00d0	Ikɨzir kam, men gumazir dapanibar dɨbobonim, 242ɨn tu. Ezɨ uaghan, gumazir dapanim Amasai, a Asarelɨn otarim, ezɨ Asarel a Asain otarim, ezɨ Asai a Mesilemotɨn otarim, ezɨ Mesilemot a Imerɨn otarim.
100b0e0089	Ikɨzir kamɨn adarazir aven, 128plan mɨdorozir gumazir gavgaviba iti. Mɨdorozir gumazir kabar dapanim, an Hagedolimɨn otarim Sapdiel.
100b0f00ae	Livaibar gumazir dapanir Jerusalemɨn itibar ziabar kara: Hasupɨn otarim Semaia, ezɨ Hasup a Asrikamɨn otarim, ezɨ Asrikam a Hasabian otarim, ezɨ Hasabia a Bunin otarim.
100b100061	Gumazir dapanimning Sabetai ko Josabat, aning Livain Godɨn Dɨpenimɨn azenan ingangaribar gari.
100b110197	Gumazir dapanim Matania, a Mikan otarim. Ezɨ Mika, a Sapdin otarim, ezɨ Sapdi a Asapɨn otarim. Dughiar me Godɨn Dɨpenimɨn iza Godɨn ziam febar, Matania a gumazir God ko mɨgɨa a mɨnabir gumazir dapanimɨn iti. Ezɨ Bakbukia, a gumazir dapanir mam, a Matanian akurvagha ingangarir kam gami. Ezɨ uaghan, gumazir dapanim Apda, Samuan otarim, ezɨ Samua a Galalɨn otarim, ezɨ Galal a Jedutun otarim.
100b12005a	Livain Godɨn nguibar ekiar Jerusalemɨn itiba, me bar moghɨra men dɨbobonim, 284ɨn tu.
100b1300e2	Jerusalemɨn itir Godɨn Dɨpenimɨn tiar akamɨn garir gumazibar, gumazir dapanimningɨn ziamning kara: Gumazir kamning, Akup ko Talmon. Aning uan adarazi ko, me Dɨpenimɨn tiar akabar gara itir gumaziba, men dɨbobonim 172.
100b14008b	Israelian marazi ko ofa gamir gumazir maba ko Livain maba, Judan nguibar igharazibar iti. Nguibar kaba men inazir afeziabar nguazibara iti.
100b15006f	Ezɨ Godɨn Dɨpenimɨn ingangarir gumaziba Ofelɨn iti. Ezɨ Siha ko Gispa men ingangaribar garir gumazimning.
100b16010d	Ezɨ Banin otarim Usi, a Livain Jerusalemɨn itibar gari. Ezɨ Bani a Hasabian otarim, ezɨ Hasabia a Matanian otarim, ezɨ Matania a Mikan otarim, Asapɨn ovavir boribar adarasi. Ezɨ Asapɨn ovavir boriba, me Godɨn Dɨpenimɨn aven onger akaba banger gumazibar gari.
100b1700b7	Persian atrivim uabɨ, akar gavgavim me ganɨga ghaze, tinara dughiaba bar Godɨn Dɨpenimɨn aven ighiabar amuam. Egha atrivim, me bagha dughiabar damamin dagheba me bagha da akɨri.
100b1800d7	Ezɨ Petahia a Mesesabelɨn otarim, ezɨ Mesesabel a Seran ovavir borim, me Judan ovavir boriba. Petahia, a Persian kantrin ikiava, atrivimɨn boroghɨn ikia, an damazimɨn, Israelia bagha abuir gumazimɨn mɨn iti.
100b190105	Gumazamizir avɨriba uan nguibar uan nguazimɨn boroghɨn itibar iti. Judan gumazamizir maba nguibar ekiar pumuning ko mɨkezimɨn iti, Kiriat Arba ko an boroghɨn itir nguibaba, ko Dibon ko an boroghɨn itir nguibaba, ko Jekapsel ko an boroghɨn itir nguibaba.
100b1a0050	Ezɨ marazi nguibar kabar aven iti, dar ziabar kara: Jesua, Molada, ko Betpelet,
100b1b0034	Hasarsual, Berseba ko an boroghɨn itir nguibaba ko,
100b1c0030	Siklak, Mekona ko an boroghɨn itir nguibaba ko,
100b1d001b	Enrimon, Sora ko Jarmut ko,
100b1e012f	Sanoa ko Adulam ko aningɨn boroghɨn itir nguibaba ko, Lakis ko an boroghɨn itir nguaziba, ko Aseka ko an boroghɨn itir nguibaba. Kamaghɨn Judaba sautɨn amadaghan itir nguibam Berseban ikia iza, nguibar danganir ekiar kamɨn itibar ikia ghua, Hinomɨn danganir zarir notɨn amadaghan itimɨn otifi.
100b1f0084	Ezɨ Benjaminɨn anabamɨn gumazamizir maba, nguibar ekiar kaba, Geba ko Mikmas, Aija ko Betel ko dar boroghɨn itir nguibar doziba,
100b200017	Anatot, Nop, Anania ko,
100b210017	Hasor, Rama, Gitaim ko,
100b22001a	Hadit, Seboim, Nebalat ko,
100b230054	Lot ko Ono, kar gumazir dɨgɨrir ingangaribagh amiba, me danganir zarir kamɨn iti.
100b24009d	Gumazir dapaniba, Livain Judabar tongɨn itibav gɨa ghaze, men tarazi uan nguibaba ategh, Benjaminɨn anabamɨn adarazir nguibabar mangɨ men tongɨn ikiam.
100c0100a9	Ofa gamir gumazir avɨriba, ko Livaiba ghua, Sealtielɨn otarim Serubabel ko ofa gamir gumazibar dapanim Josua, aningɨn gɨn faragha Babilon ategha ua Jerusalemɨn ize.
100c020169	Ofa gamir gumazibar ziabar kara: Seraia, Jeremaia, Esra, Amaria, Maluk, Hatus, Sekania, Rehum, Meremot, Ido, Ginetoi ko Abiya, Mijamin, Madia ko Bilga, Semaia, Joiarip ko Jedaia, Salu, Amok, Hilkia ko Jedaia. Gumazir kaba, dughiar Josua ofa gamir gumazibar dapanimɨn itimɨn itir dughiamɨn, me ofa gamir gumazibar tongɨn ikia, men faragha zuir gumazibar iti.
100c080143	Livain ua izezibar ziabar kara: Jesua, Binui, Katmiel, Serebia, Juda, Matania, Bakbukia, ko Uno. Matania uan adarazi ko, me gumazir God mɨnabir ighiabagh amir gumaziba, ezɨ a men faragha zui. Gumazir kaba onger akar akuar mam bangezɨ me gɨn, Bakbukia ko Uno uan adarazi ko, me me ikarvagha ighiar akuar igharazim bange.
100c0a009f	Josua a Joiakimɨn afeziam, ezɨ Joiakim a Eliasipɨn afeziam, ezɨ Eliasip a Joiadan afeziam, ezɨ Joiada a Jonatanɨn afeziam, ezɨ Jonatan a Jaduan afeziam.
100c0c0481	Joiakim ofa gamir gumazibar dapanimɨn itir dughiamɨn, ofa gamir gumazir kaba uan ikɨzibar gumazir dapanibar iti. Men ziabar kara: Meraia, a Seraian ikɨzimɨn gumazir dapanim. Ezɨ Hanania a Jeremaian ikɨzimɨn gumazir dapanim. Ezɨ Mesulam a Esran ikɨzimɨn gumazir dapanim. Ezɨ Jehohanan an Amarian ikɨzimɨn gumazir dapanim. Ezɨ Jonatan a Malukin ikɨzimɨn gumazir dapanim. Ezɨ Josep a Sebanian ikɨzimɨn gumazir dapanim. Ezɨ Atna a Harimɨn ikɨzimɨn gumazir dapanim. Ezɨ Helkai a Meraiotɨn ikɨzimɨn gumazir dapanim. Ezɨ Sekaraia a Idon ikɨzimɨn gumazir dapanim. Ezɨ Mesulam a Ginetonɨn ikɨzimɨn gumazir dapanim. Ezɨ Sikri a Abiyan ikɨzimɨn gumazir dapanim. Ezɨ Piltai a Moadian ko Miniaminɨn ikɨzimɨn gumazir dapanim. Ezɨ Samua a Bilgan ikɨzimɨn gumazir dapanim. Ezɨ Jehonatan a Semaian ikɨzimɨn gumazir dapanim. Ezɨ Matenai a Joiaripɨn ikɨzimɨn gumazir dapanim. Ezɨ Usi a Jedaian ikɨzimɨn gumazir dapanim. Ezɨ Kalai a Salain ikɨzimɨn gumazir dapanim. Ezɨ Eber a Amokɨn ikɨzimɨn gumazir dapanim. Ezɨ Hasabia a Hilkian ikɨzimɨn gumazir dapanim. Ezɨ Netanel a Jedaian ikɨzimɨn gumazir dapanim.
100c1601ff	Fomɨra Eliasip ko Joiada, Jonatan, ko Jaduan dughiamɨn, me ofa gamir gumazibar dapanibar itima, Israelia ofa gamir gumazibar dapanibar ziaba akɨnafarir mamɨn da osiri. Arazir me amizir kam, me bar fomɨra a gamua iza Darius atrivimɨn itir dughiamɨn oto. Ezɨ Judan Atrivibar Eghaghanibar Akɨnafarimɨn aven, me uaghan Livain gumazir dapanibar ziaba osiri. Me fomɨra osira iza ofa gamir gumazibar dapanim Jonatan, a Eliasipɨn ovavir borim an dughiamɨn oto. Ezɨ dughiar kamɨn gɨn me arazir kam ataki.
100c180162	Egha me Godɨn ziam fa a mɨnabir dughiamɨn, Atrivim Devit mɨkemezɨ moghɨn Livaiba ami. Devit a gumazir Godɨn akam akurim. Ezɨ Livaiba gumazir bɨzir pumuningɨn iti, bɨzir mam ighiar otevir mam bange, ezɨ bɨzir mam me ikarvagha ighiar akuar igharazir mam bange. Ezɨ Hasabia ko Serebia ko Jesua Katmielɨn otarim, me ingangarir kam me ganɨngi.
100c1900c5	Ezɨ Matania, Bakbukia, Obadia, Mesulam, Talmon ko Akup, me Godɨn Dɨpenimɨn aven biziba arɨzir danganibar gari. Danganir kaba Godɨn Dɨpenir avɨnizimɨn dɨvazimɨn tiar akabar boroghɨn iti.
100c1a00f5	Livain kaba itir dughiamɨn, ofa gamir gumazibar dapanim Joiakim, a Josuan otarim, egha a Jehosadakɨn igiavotarim. Ezɨ dughiar kam Nehemia gavmanɨn faragha zuir gumazim iti. Ezɨ ofa gamir gumazim Esra, a ikia bar Moses Osirizir Arazibagh fo.
100c1b0153	Ezɨ Jerusalemɨn dɨvazim gɨvazɨma, gumazamiziba iza uari akuvagha Godɨn ziam fava, dɨvazim isa God ganɨdi. Dughiar kamɨn, me Livaiba bar men diazɨ me iza uari akuvagha, bar akuegha ighiaba banga Godɨn ziam fe. Me ighiabagh amir dughiamɨn, Livain marazi itarir kapabar suigha dav sozima, marazi gitan igharagha garibagh ikararai.
100c1c00df	Kamaghɨn Livain Godɨn Dɨpenimɨn ighiabagh amiba, me Netofan nguibam ko Betgilgal, ko Geba, ko Asmavet ko me uari bagha ingarizir nguibar igharaziba, me dar ikegha iza uari akufa. Nguibar kaba Jerusalemɨn boroghɨn iti.
100c1e00a4	Ezɨ ofa gamir gumaziba ko Livaiba Godɨn damazimɨn zueghamin arazim uarigh ami. Me uaghan arazir kamra, Jerusalemɨn gumazamiziba ko dɨvazim ko tiar akabagh ami.
100c1f0170	Ezɨ kɨ Nehemia, kɨ Judan gumazir dapaniba isa dɨvazimɨn pɨn itir voroghɨra zuir danganimɨn ghuavanadi. Egha kɨ okoruar ekiar pumuningɨn me tuiragha ghaze, me bɨzir ekiamningɨn mangɨ nguibar ekiamɨn dɨvazimɨn pɨn a gighu daru, ighiabar amu God mɨnabam. Ezɨ okoruar mam agharir guvimɨn arua ghua, Tiar Akar Bizir Mɨzɨrɨziba Akurir Danganimɨn oto.
100c20004c	Ezɨ men gɨn, Hosaia ko Judan gumazir dapanibar okoruar mamɨn adarazi zui.
100c21014f	Ezɨ ofa gamir gumazir maba men gɨn ghua sɨghabagh ivi. Men ziabar kara: Asaria, Esra, Mesulam, Juda, Benjamin, Semaia, ko Jeremaia. Ezɨ Jonatanɨn otarim Sekaraia men gɨn zui. (Ezɨ Jonatan a Semaian otarim, ezɨ Semaia a Matanian otarim, ezɨ Matania a Mikaian otarim, ezɨ Mikaia a Sakurɨn otarim, ezɨ Sakur a Asapɨn otarim.)
100c240179	Ezɨ Sekaraian ikɨzimɨn marazi an gɨn zui. Men ziabar kara: Semaia, Asarel, Milalai, Gilalai, Mai, Netanel, Juda ko Hanani. Me bar moghɨra ighiabar amuamin gitaba ko marvir igharagha garir avɨriba inigha, da sara ghua dagh ikararai. Atrivim Devit, fomɨra gitaba ko marvir kabanang, a dagh ikararangi. Ezɨ Godɨn Arazibagh fozir gumazim Esra, a gumazir kabar faragha zui.
100c2500ff	Me arua ghua Mozir Pamɨn Tiar Akamɨn otogha adɨdiamɨn ghuavanaga Atrivim Devitɨn Nguibar Ekiamɨn oto. Egha Atrivim Devitɨn dɨpenir ekiam gitagha ghua Dɨpaba Isir Tiar Akamɨn oto. Tiar akar kam, nguibar ekiamɨn aruem anadi naghɨn amadaghan iti.
100c260144	Ezɨ Livain okoruar igharazim God mɨnabaghasa, bɨzir ekiar igharazimɨn mɨn ghua, agharir kɨriamɨn amadaghan dɨvazimɨn pɨn itir voroghɨra zuir danganim gisɨn arua zuima, kɨ men gɨn zui. Ezɨ gumazamizir bɨzir ekiar igharazim nan gɨn ghua, Tauan Bretba Tuer Danganim gitagha ghua, Dɨvazir Nar Bar Ekiamɨn oto.
100c27016d	Egha e danganir kam ategha ghua, Efraimɨn Tiar Akam gitagha ghua, Jesanan Tiar Akam gitagha ghua, Osiribar Tiar Akam gitagha ghua, Hananelɨn Taua gitagha ghua, Gumazir 100pla ikia garir Taua gitagha ghua, Sipsipbar Tiar Akamɨn tu. Egha uam arua iza Godɨn Dɨpenimɨn aven zuir tiar akar kamɨn oto. Me tiar akar kam kamaghɨn a dɨbori, Uari Akuvamin Tiar Akam.
100c28010e	Kamaghɨn amizɨ, Livaibar okoruar ekiar pumuning ua Godɨn Dɨpenimɨn danganimɨn iza, Dɨpenim avɨnizir dɨvazimɨn aven ghua, vaghvagha uan danganibar tuivigha, ighiaba banga God mɨnabi. Gumazir nan gɨn izezir kabar tongɨn, gumazir dapanir igharaziba uaghan iti.
100c290170	Ofa gamir gumaziba ko gumazir igharazir kaba, sɨghabar suigha dagh ivi. Ofa gamir gumazibar ziabar kara: Eliakim, Masea, Miniamin, Mikaia, Elioenai, Sekaraia, ko Hanania. Gumazir igharazibar ziabar kara: Masea, Semaia, Eleasar, Usi, Jehohanan, Malkia, Elam ko Eser. Ezɨ Jesrahia gumazir ighiabagh amibar gara men faragha zuima, me bar pamtem deravɨra ighiabagh ami.
