2800000007	MÀTAY
2b07260083	Mbuur awe anà làkwikilà amu mɛ, "ngyäl a an'dà a mɔ̈ɔ̈ isàtoo u mpem ande", asànaa itɛɛnà Ndaa Aŋàsɔn.»
2b072700cd	Kàtɛɛnà nde abunà, yà ntɔn Dweelà bàlàwal baar bàlàsà làkwikilà aba amu nde. Umpal ayin, Dweelà kàkäl aŋàtàpà anki, ntɔn Yɛsu kàkäl anki aŋàtàwal làkoo.
2b07280065	Amwɛy uboo iköŋ bàwem ndaa ayi, ba bàtɛɛnà naa: «Ndandaa mbuur awà, wà Ŋangɔɔm!»
2b0729007b	Bumwɛy bàtɛɛnà naa: «Nde wà Klistɔ!» – Wɛɛ bumwɛy bàfuur naa: «Nkye Klistɔ sye an'kwo utoo u Ngalilɛ?
2b072a007e	Nkye Ndaa Aŋàsɔn itɛɛnà anki naa nde asàkal mbuur a ywar a David, nde asàfà Bɛtelɛm, bul kàkälà David?»
2b072b0025	Apan, iköŋ kyàkaabà ntɔn nde.
2b072c005b	Amwɛy uboo a ba bàkweenà naa bun'kör, wɛɛ akà mbuur mwɛy kàkwe anki mukun'ba.
2b072d0079	Aseey bàyàfurà ba akà andweer a angaŋ anà Amfarisi, ba bafuul naa: «Ntɔn nkye mpa làtwääl bɛ Yɛsu?»
2b072e005b	Aseey bàfuur naa: «Akà mbuur mwɛy ŋàtàtɛn anki akà ikikye asànaa nde!» –
2b072f0049	Apan, Amfarisi bafuul naa: «Nkye anà bɛ sye, nde akyàlabwiy ndwaŋ?
2b07300058	Nkye we anà umwɛy uboo a amfum itàkal uboo a Amfarisi, kàsi làwikilà amu nde?
2b07310054	Wɛɛ baar abà, baar mpa bàyöb Un'kɔɔn akà ikikye, ba bàŋàküül!»
2b0732005c	Wɛɛ umwɛy uboo a Amfarisi, Nàkàdim akwà kàkàman Yɛsu itaan, kàtɛn a ba naa:
2b07330066	«Nkye Un'kɔɔn abi afàtsüül mbuur mbar ukɔɔn atun'wem anà muyöb naa nde nkye kan'kyer?»
2b0734008f	Ba bun'fuur naa: «Nkye ngye sye awà un'nsi Ngalilɛ? Leŋ, ngye ayàman naa akà ŋangɔɔm mwɛy ufàtoo anki u Ngalilɛ akà ikikye.»
2b07350030	Ungö apan, mbuur mbuur kàfurà ndwà ande.
2b08010025	Yɛsu kàkyen mɔŋ a In'te a olive.
2b08020086	Ututu tutu, nde kàyàfurà u ndwà a Nzam. Un'sɛŋ a baar wanswà kàyi akà nde, nde waa kàbwaay, waa kàsɛmà mulɔŋ.
2b0803008c	Apan, alɔɔŋ a Un'kɔɔn anà Amfarisi bun'twääl un'kaar mwɛy bàkör ba wàmutà inswem, waa bun'tɔɔl uboboo a baar banswà,
2b08040054	waa bàtɛn a Yɛsu naa: «Un'lɔɔŋ, un'kaar wà bàmun'kɔr wàmutà inswem.
2b0805006a	Unsà un'kɔɔn, Mɔsɛ kà iswɛŋ mutà akaar a tub abà in'kul. Waa ngye, ngye an'tɛn aben bà?»
2b080600bd	Bàtɛɛnà ba abà ntɔn ba bun'lwɛb ndaa, anà ba bàkäl anà undiir ban'kwo ba mukun'füün. Wɛɛ Yɛsu waa kàtsüüm, kàsɛmà mubaar in'dyärà a làpin u mɛɛn.
2b080700dd	Ntɔn bàsi ba muküünà mukun'fuul, Yɛsu kàsuub un'tswe, waa kàtɛn a ba naa: «Isàkal naa apà we anà mbuur mwɛy uboo a bɛ mpa aŋàtàkyer man'be akà ikikye, wɛy nde kun'käm un'kul atàtwɛb.»
2b08080036	Ungö, kàfàtsüüm nde, nde kàsön u mɛɛn.
2b080900a2	Ungö bàwem ba ndaa ayi, ba bàsɛmà mutà upay umwɛy umwɛy, semà akà andweer. Wɛɛ Yɛsu kàsàsal aŋàyen, un'kaar kàkyàmbar kusà a nde.
2b080a0078	Apan, Yɛsu kàsuub nde un'tswe, waa kun'fuul naa: «Un'kaar, bàken ba? Nkye akà mbuur akyapà ikwàndwà?» –
2b080b0095	Nde kàfuur naa: «Ŋaa, Mwol, akà mbuur.» Waa Yɛsu kàtɛn a nde naa: «Mɛ sye, mɛ apà anki ikwàndwà. Kyen, twon an'fàkyer man'be.»
2b080c00ad	Yɛsu kàfàtɛn a ba naa: «Mɛ, mɛ in'wà pɛɛlà a mɛɛn. Mbuur ayan'lab, nde usàkyà anki u mpib akà ikikye, nde asàwal pɛɛlà làfàpà mɔ̈ɔ̈.»
2b080d007a	Apan, Amfarisi bàtɛn a nde naa: «Ngye, ngye awàmutà imbäl angye ŋakwo. Imbäl angye kà kyà ndandaa anki.»
2b080e0102	Yɛsu kafuur naa: «Yà ndandaa naa mɛ, mɛ in'wàmutà imbäl amɛ ŋakwo. Imbäl amɛ kyà ndandaa, ntɔn mɛ in'kyàyöb naa mɛ an'fà ken anà mɛ sye in'kyà ken. Wɛɛ bɛ, bɛ làyöb anki naa mɛ an'fà ken anà mɛ sye in'kyà ken.
2b080f005c	Bɛ, bɛ nsaŋ làfàtsul unsà imbuur. Wɛɛ mɛ, mɛ in'fàtsüül anki mbuur nsaŋ.
2b081000b3	Mpalabà, isàkal naa mɛ in'kyer atsul nsaŋ, ntsüül a nsaŋ amɛ yà balàbal, ntɔn mɛ kà in'wà aŋàyen anki, wɛɛ mɛ in'wà anà Taa, mbuur awà kan'töm.
2b08110057	Bàsön unsà Un'kɔɔn abɛ ŋakwo naa bàfàtɔn anki imbäl a baar bɔ̈ɔ̈l.
2b08120058	Mɛ, mɛ in'fàtà imbäl amɛ ŋakwo, Taa awà kan'töm afan'tɛɛl sye imbäl.»
2b081300d6	Apan ba bàtɛɛnà a nde naa: «Wàken Taaràŋà wa?» Yɛsu naa: «Bɛ, bɛ mɛ lan'yöb anki, itàkal Taaràmɛ, bɛ lun'yöb anki. Ilàkal naa bɛ lan'yöb, bɛ sye Taaràmɛ làkyer alun'yöb.»
2b081400bc	Ndaa ayi, Yɛsu ya kàtɛɛnà umpal kàlɔɔŋà nde u ndwà a Nzam, kà ikal a insak a an'kab. Akà mbuur mwɛy kàkwe anki mukun'kɔr, ntɔn taaŋ ande làkäl aŋàkwo anki.
2b081500ad	Yɛsu kàfàtɛn a ba naa: «Mɛ, mɛ in'kyer ayàkyà, bɛ làkyer ayan'leŋ, wɛ bɛ, bɛ làsàkwà unsà ube abɛ. Bɛ làkwe anki mukyà mper in'kyà mɛ.»
2b081600a1	Apan amfum a Ayudà bàtɛɛnà naa: «Nkye nde we anà an'kyän mudwa nde ŋakwo, ntɔn nde wàmutɛn naa: "Bɛ làkwe anki mukyà mper in'kyà mɛ"?»
2b081700cc	Yɛsu kafuur naa: «Bɛ, bɛ làbà baar a indiir a mɛɛn mà. Wɛɛ mɛ, mɛ in'wà mbuur a indiir a dudu. Bɛ, bɛ làbà baar a mɛɛn mà, wɛɛ mɛ, mɛ kà in'wà mbuur a mɛɛn mà anki.
2b081800ab	Undiir awun in'tɛn mɛ a bɛ naa bɛ làsàkwà unsà man'be abɛ. Abun, isàkal naa bɛ làkyey anki naa "Mɛ In'wà", bɛ làsàkwà unsà man'be abɛ.» –
2b0819006f	Ba bun'fuul naa: «Ngye, ngye awà nà?» Yɛsu kafuur naa: «Mbuur akwà kàlakyään mɛ fà nsɛmà.
2b081a00b7	Mɛ, mɛ in'we anà indiir mbɔɔn mutɛn anà mutsul nsaŋ ntɔn bɛ. Wɛɛ mɛ in'fàkyään u mɛɛn nà ya akwà kàwem mɛ akà mbuur kan'töm, nde afàtɛn ndandaa.»
2b081b003a	Wɛɛ ba bàyöbà anki naa nde ba kasaamà ntɔn Taa.
2b081c00d3	Apan, Yɛsu kàtɛn naa: «Utaaŋ làsàsɛɛn bɛ Mwan a mbuur, bɛ laa làsàyöb bɛ naa "Mɛ In'wà", anà mɛ in'fàkyer anki undiir kà ukwen amɛ ŋakwo: mɛ in'fàtɛn ya akwà kan'lɔŋ Taa.
2b081d007e	Mbuur kan'töm wà anà mɛ: nde kan'wɛy anki aŋàyen, ntɔn mɛ, taaŋ lanswà mɛ in'fàkyer indiir ufàkwen nde.»
2b081e0051	Umpal kàkäl nde mutɛɛnà abà, baar mbɔɔn bàsi làkwikilà amu nde.
2b081f0096	Abun Yɛsu kàtɛn a Ayudà abà bàsi làkwikilà amu nde naa: «Isàkal naa bɛ, bɛ lan'lam u ndaa amɛ, ndandaa bɛ làbà alɔŋki amɛ.
2b08200048	Abun, bɛ làsàyöb ndandaa, waa ndandaa isàlabuul baar a nsaay.»
2b082100aa	Ba bun'fuur naa: «Bi, bi ibà itoo a Abàlam, bi kàsàkal anki asɔ a mbuur mwɛy akà ikikye. Aben ngye, ngye atɛɛnà naa: "Bɛ làsàbulà baar a nsaay"?»
2b08220073	Yɛsu kafuur naa: «Ndandaa, ndandaa mɛ alàkyään: mbuur wanswà afàkyer man'be, nde wà un'sɔ a man'be.
2b08230049	Un'sɔ ufàbwaay anki ipepey u ndwà, wɛɛ mwan afàbwaay ipepey kwo.
2b08240053	Abun, isàkal naa Mwan kàmàlakɔɔr, bɛ làsàkal baar a nsaay bàndandaa.
2b0825007f	Mɛ in'kyàyöb naa bɛ làbà itoo a Abàlam, wɛɛ bɛ làfàleŋ mukan'dwa, ntɔn ndaa amɛ ifàlatwà anki u mpem.
2b08260076	Mɛ, mɛ in'fàtɛn indiir kàmɛn mɛ akà Taa. Wɛɛ bɛ, bɛ làfàkyer indiir làwem bɛ akà taaràbɛ.»
2b08270082	Ba bun'fuur naa: «Abàlam wà taaràbi.» Yɛsu naa: «Kya bɛ làlàkal baan a Abàlam, bɛ làlikyerà isal a Abàlam.
2b0828008c	Wɛɛ apanà, bɛ, bɛ làleŋà mukan'dwa, mɛ mbuur kàlakyään ndandaa ayà kàwem mɛ akà Nzam. Abàlam kàkyer anki abà!
2b0829008c	Wɛɛ bɛ, bɛ làfàkyer isal a taaràbɛ.» Ba bun'fuur naa: «Bi kà ibà baan a inswem anki. Bi ibye awà Taa mwɛy mpɛl, Nzam.»
2b082a00cc	Yɛsu kafuur naa: «Yàlàkal naa Nzam wà Taaràbɛ, bɛ làlàkyer an'kwen. Ntɔn mɛ, mɛ an'too amu Nzam anà mɛ sye an'fà kwo. Mɛ, mɛ kàyi anki a ukwen amɛ ŋakwo, wɛɛ Nde kan'töm.
2b082b005c	Ntɔn nkye mpa làkayöbà bɛ ntɛɛn amɛ? Ntɔn bɛ, bɛ làkwe anki muwem ndaa amɛ.
2b082c0115	Bɛ, taaràbɛ ileŋ, bɛ làfàkwen mukyer ngyal a taaràbɛ. Nde wun'dwää fà nsɛmà, nde kàsàtsim anki uboo a ndandaa, ntɔn ndandaa amu nde yatɛy. Umpal ufàtà nde loor, nde la afàwal uboo a indiir ande ŋakwo, ntɔn nde wà ŋaloor anà taar a loor.
2b082d004f	Wɛɛ, mɛ in'fàtɛn ndandaa, undiir awun mpa làfan'sà bɛ làkwikilà.
2b082e008f	Nà uboo abɛ kan'kwo mukan'swaŋ naa mɛ an'kyer man'be? Ntɔn nkye lan'kɔɔn bɛ mukan'sà làkwikilà isàkal naa mɛ an'tɛn ndandaa?
2b082f007b	Mbuur awà mbuur a Nzam, afàwem ndaa a Nzam. Wɛɛ bɛ, bɛ làfàwem anki, ntɔn bɛ kàlàbà baar a Nzam anki.»
2b08300080	Ayudà bun'fuur naa: «Nkye bi iböŋ kyatɛy mutɛn naa ngye awà un'nsi Samalya, anà ngye sye awe anà unsɔŋà?» –
2b08310088	Yɛsu kàfuur naa: «Mɛ, mɛ unsɔŋà watɛy. Wɛɛ mɛ, mɛ in'wàmusyäŋà Taaràmɛ. Wɛɛ bɛ, bɛ làkun'syäŋà anki.
2b08320060	Mɛ, mɛ in'fàleŋ anki làkoo amɛ ŋakwo. We anà mbuur afàpà la anà afàtsul mbar.
2b08330070	Ndandaa, ndandaa, mɛ alàkyään: isàkal naa mbuur kan'kaar ndaa amɛ, nde usàkwà anki akà ikikye.»
2b083400f0	Apan, Ayudà nsil abà bàtɛn a nde naa: «Apanà, bi kan'yöb naa ngye awe anà unsɔŋà! Abàlam kàkyàkwà anà aŋangɔɔm sye, wɛ ngye atɛn naa: "Isàkal naa mbuur an'kaar ndaa amɛ, nde usàkwà anki akà ikikye."
2b0835008d	Nkye ngye, ngye an'söön taaràbi Abàlam awà kàkü itaan? Aŋangɔɔm sye bàkyàkwà! Ngye, ngye akasii naa ngye awà nà?»
2b083600c3	Yɛsu kafuur naa: «Isàkal naa mɛ, mɛ in'fàsà làkoo akà mɛ ŋakwo, la ndöŋ latɛy. Mɛ, mɛ in'fàsà làkoo a Taaràmɛ, nde akwà làfàtɛn bɛ naa: "Nde wà Nzam abi".
2b083700c7	Bɛ nde lun'yöb anki, wɛɛ akà mɛ, mɛ in'kyun'yöb. Kya mɛ in'sàtɛn naa mɛ un'yöb anki, mɛ in'sàkal mbuur a loor asànaa bɛ. Mɛ in'kyun'yöb anà mɛ sye in'fàkaar ndaa ande.
2b08380080	Taaràbɛ Abàlam kàkäl kà un'sak unsà an'kyän muman ilä amɛ: nde kàkyàman kya, waa kàkü unsà un'sak.»
2b08390070	Ayudà waa bàtɛn a nde naa: «Nkye ngye akà mbul an'kwem an'tyeen awe ayà, waa ngye kàmɛn Abàlam!»
2b083a0062	Yɛsu naa: «Ndandaa, ndandaa, mɛ alàkyään: kusà a mböör a Abàlam, "Mɛ In'wà".»
2b083b0068	Apan, ba b 1 bür in'kul ntɔn mukun'kam. Wɛɛ Yɛsu laa kàkàyee nde, waa kàtoo u ndwà a Nzam.
2b09010048	U mbwo, Yɛsu kàmɛn baal mwɛy wàŋàkwàmii fà mböör ande.
2b09020080	Alɔŋki ande bun'fuul naa: «Rabi, nà kàkyer man'be ntɔn nde bun'bör wàŋàkwàmii, nkye nde lɛɛ aböör ande?»
2b09030067	Yɛsu kàfuur naa: «Kà nde anki, itàkal aböör ande, wɛɛ ntɔn isal a Nzam imɛnà amu nde.
2b09040069	Ibà bi pà u mwäänà, bi ikyer isal a mbuur kan'töm. Làpib làmubwà, taaŋ mpa usal mbuur.
2b09050042	Umpal in'wà mɛ pà u mɛɛn, mɛ in'wà pɛɛlà a mɛɛn.»
2b09060068	Ungö mutɛn indiir abi, nde kàtsül an'te u mɛɛn, kàkyer twar, waa kàkiir la u mii a ikwamii,
2b090700be	waa kàtɛn a nde naa: «Kyen, kaywɛb kà itɛy a Silɔwɛ.» Ikɔb aki ikaswaŋà naa «Ntööm». Ikwàmii kàkyen kwo, kàywɛy ntabwey, waa kàyimanà mpal kàyàfurà nde.
2b090800bb	Baar a tsütsü anà nde anà baar bàfun'manà kusà wàmulɔlɔm, bàfuulà naa: «Nkye wà kà mbuur akwà kàkälà wà aŋàbwaay anà kàfalɔ̈lɔ̈mà anki?»
2b0909009c	Amwɛy bàtɛɛnà naa: «Awà nde.» Bumwɛy naa: «Awà kà nde anki, mbuur asin kàmufwän.» Wɛɛ ikwàmii kàkyey naa: «Ndandaa, wà mɛ.»
2b090a0039	Abun, ba bun'fuulà naa: «Mii angye myan'dubà aben?»
2b090b00c0	Nde kàfuur naa: «Mbuur awà bàfàbel Yɛsu kàkyer twar, kan'kiir la u mii, waa kàtɛn a mɛ naa: "Kyen Silɔwɛ, kaywɛb". Apan sye in'kyen mɛ, in'ywɛb mɛ, waa in'bulà muman!»
2b090c0054	Ba bun'fuul naa: «Nde wàken, mbuur wa?» Nde kàfuur naa: «Mɛ in'yöb anki.»
2b090d0040	Apan, ba bàtwääl mbuur kàkäl ikwàmii akà Amfarisi.
2b090e005f	Kyekà, ilä akin kyàkäl ilä a saba akyà kàkyer Yɛsu twar, anà kun'duub nde mii.
2b090f008a	Apan sye, Amfarisi bun'fuul sye naa mii angye myàdubà aben. Nde kafuur naa: «Nde kan'kiir twar u mii, in'ywɛb mɛ, waa mɛ an'man.»
2b09100112	Apan, uboo a Amfarisi amwɛy bàtɛɛnà naa: «Mbuur awà kà kan'fà akà Nzam anki, ntɔn nde saba ufàkyɛɛl anki.» Wɛɛ bumwɛy bàtɛɛnà naa: «Nkye mbuur a man'be kan'kwo ukäl anà ikɔ̈b akyer idiim a tub abi?» Nkaabà yàkyer abilà uboo a ba.
2b09110085	Apan, ba bàfàfuul ikwamii naa: «Waa ngye, ngye an'tɛn aben ntɔn mbuur kaduub mii?» Nde kàfuur naa: «Nde wà ŋangɔɔm.»
2b09120097	Wɛɛ amfum a Ayudà bàkyer atɔn musà làkwikilà naa nde kàkäl ikwàmii, waa nde kàbulà muman. Undiir awun, bàbel ba aböör ande
2b09130082	ntɔn mukafuul naa: «Nkye wà mwan abɛ akwà làwe bɛ naa nde bun'bör wàŋàkwàmii? Abun, nde kan'man aben apanà?»
2b09140076	Aböör ande bàfuur naa: «Bi, bi ikyàyöb ndandaa naa wà mwan baal abi, nde sye bun'bör wàŋàkwàmii.
2b0915008f	Apanà nde kan'man aben, bi iyöb anki. Nà kun'duub mii? Bi iyöb anki. Lun'fuul, nde wàŋàyɛl, nde kan'kwo musam ntɔn nde ŋakwo!»
2b091600cd	Aböör ande bàtɛɛnà ba abà, ntɔn ba bàtiinà Ayudà bɔɔmà. Ntɔn amfum a Ayudà bàdirà kusà muböŋ u ndwà a nköŋ a Ayudà mbuur wanswà asàkyey naa Yɛsu wà Klistɔ.
2b0917004c	Undiir awun aböör ande bàtɛn ba naa: «Nde wàŋàyɛl, lun'fuul!»
2b091800b4	Amfarisi bàbel mbuur akwà kàkäl aŋàkwàmii mbalà yàyweel, waa bàtɛn a nde naa: «Pà làkoo akà Nzam! Bi, bi ikyàyöb naa baal wà wà mbuur a man'be.»
2b091900a0	Nde kafuur naa: «Isàkal naa nde wà mbuur a man'be, mɛ in'yöb anki. Mɛ in'yöb undiir mwɛy mpɛl awà: mɛ kàkäl ikwàmii, apanà mɛ an'man.»
2b091a0046	Ba waa bun'fuul naa: «Ininà nde kakyer? Nde ngye mii kaduub aben?»
2b091b00b3	Nde kafuur naa: «Mɛ ya akyàlakyään itaan, wɛɛ bɛ, bɛ làwem anki. Ntɔn nkye làkwen bɛ mufàwem mbalà asin? Nkye bɛ sye, bɛ làkwen mubulà alɔŋki ande?»
2b091c0072	Apan, ba waa bàsɛmà mukun'to, mutɛn naa: «Ngye mbuur awà un'lɔŋki ande! Bi, bi ibà alɔŋki a Mɔsɛ.
2b091d006a	Bi, bi ikyàyöb naa Nzam kàyääm a Mɔsɛ, wɛɛ mbuur wà, bi iyöb anki naa nde an'fà ken!»
2b091e006e	Baal kafuur naa: «Le, ayi ndaa yubem: bɛ làyöb anki naa nde kan'fà ken, apan sye nde kàman'duub mii!
2b091f0093	Bi ikyàyöb naa Nzam ufàwem anki baar a man'be. Wɛɛ isàkal naa mbuur afàkömà Nzam anà afàkyer ukwen ande, Nzam afàkyer un'wem.
2b09200068	Baar ŋàtàwem anki akà ikikye mutɛn naa mbuur mwɛy waa kàkɔɔr ikwàmii fà mböör ande.
2b0921005e	Ilàkal naa mbuur awà kàfü anki akà Nzam, nde kàlàkwo anki mukyer akà undiir.»
2b0922007d	Ba bun'fuur naa: «Ngye wanswà awà uboo a man'be fà mböör angye, waa ngye ilɔŋ!» Apan ba waa bun'tɔɔm u nsà.
2b0923009b	Yɛsu kàwem naa ba nde bàkyer un'böŋ. Mpal kàbwey nde anà nde, nde kun'fuul naa: «Nkye ngye, ngye an'sà làkwikilà amu mwan a mbuur?» –
2b09240051	Nde kun'fuur naa: «Mwol, nde wà nà, waa mɛ in'sà làkwikilà amu nde?»
2b09250063	Yɛsu waa kàtɛn a nde naa: «Ngye amun'man, wa atɛɛnà awà apanà anà ngye, nde awà.»
2b0926006c	Baal waa kàtɛn naa: «Mwol, mɛ, mɛ an'sà làkwikilà.» Apan, nde kàbü an'köm kusà a Yɛsu.
2b092700a1	Waa Yɛsu kàtɛn naa: «Mɛ, mɛ kàyi u mɛɛn pà ntɔn ntsüül a nsaŋ mwɛy ikäl: ntɔn ikwàmii bàmɛn, baar bàfàman bàbulà ikwàmii.»
2b09280076	Amfarisi bàkäl tsütsü apà nde, bàwem ba indiir abi, waa bun'fuul naa: «Nkye bi sye, bi ibà ikwàmii?»
2b092900ac	Yɛsu kafuur naa: «Yàlàkal naa bɛ làbà ikwàmii, bɛ làlàkal anki baar a man'be. Wɛɛ ntɔn bɛ làtɛn naa: "Bi ifàman", abun, man'be abɛ mà kapaa.»
2b0a0100e6	Yɛsu kàtɛn naa: «Ndandaa, ndandaa, mɛ alàkyään: isàkal naa mbuur ubilà anki u munàmbwo a làböl a in'kɔk, wɛɛ naa nde kan'lar udu a ibä a làböl, u ntsü yumwɛy, nde wà mbüüb anà un'dwää.
2b0a020041	Wɛɛ mbuur afàbilà u munàmbwo, nde wun'kyɛɛŋ a in'kɔk.
2b0a030087	Un'leer kun'duub munàmbwo, in'kɔk myàwem ndaa ande. Nde afàbel in'kɔk ande umwɛy umwɛy kà ikɔb awa, waa utwey mya u nsà.
2b0a040074	Utaaŋ utwey nde mya myanswà, uyikyà nde kusà a mya, mya myun'lab ungö, ntɔn mya myàkyàyöb ndaa ande.
2b0a050073	Ikwe anki akà ikikye naa mya myàsàlab ungyey, mya ikyer asun'tiin, ntɔn mya myàyöb anki ndaa a angyey.»
2b0a060053	Yɛsu katɛɛl nsim ayi, wɛɛ ba bàyöb anki naa indiir nà nde kàtɛɛnà.
2b0a07006c	Yɛsu kàfàtɛn naa: «Ndandaa, ndandaa mɛ alàkyään, mɛ in'wà munàmbwo a làböl a in'kɔk.
2b0a08005e	Baar banswà bàfwel kusà a mɛ bà mbüüb anà adwää, wɛɛ in'kɔk myawem anki.
2b0a0900a0	Mɛ, mɛ in'wà munàmbwo. Isàkal naa mbuur kan'bilà u mbwo amɛ, nde asàwà mɔ̈ɔ̈, nde akyer asàbilà, akyer asàtoo, nde asàman byàdyà.
2b0a0a0081	Mbüüb afàyà nà muyib, mudwa anà mupay. Wɛɛ mɛ, mɛ kàyi ntɔn baar bàwɛl mɔ̈ɔ̈ anà bàwɛl wa mbɔɔn.
2b0a0b006e	Mɛ, mɛ in'wà un'kyɛɛŋ aŋàbwaŋ. Un'kyɛɛŋ aŋàbwaŋ afàpà mɔ̈ɔ̈ ande ntɔn in'kɔk ande.
2b0a0c010f	Mbuur afàsal ntɔn ngim mpɛl, nde kà wà un'kyɛɛŋ a ndandaa anki, in'kɔk kà myànde anki. Kya nde usàman kyɛŋbɔl làmuyà, nde la usàkɔɔb nde in'kɔk, waa uwurà ntiin. Apan, kyɛŋbɔl la làsàbürà la mya, waa làsàtà làböl upay.
2b0a0d0047	Le, nde wà un'syääl a ngim, nde undiir ukyɛr anki ntɔn in'kɔk.
2b0a0e0062	Mɛ, mɛ in'wà un'kyɛɛŋ aŋàbwaŋ. Mɛ in'kyàyöb in'kɔk amɛ, mya sye myàkyan'yöb,
2b0a0f0061	Taaràmɛ akyan'yöb, mɛ sye in'kyun'yöb. Mɛ in'fàpà mɔ̈ɔ̈ amɛ ntɔn in'kɔk amɛ.
2b0a1000b4	Mɛ, mɛ in'we anà in'kɔk myumwɛy mpa amyà uboo a làböl alà. Mya sye mɛ in'kyer atwaal. Mya isàwem ndaa amɛ, làböl làsàkal làmwɛy, un'kyɛɛŋ mwɛy sye.
2b0a11004f	Taa akyan'kwen, ntɔn mɛ in'fàpà mɔ̈ɔ̈ amɛ, ungö waa in'fàwal wa.
2b0a1200b8	Akà mbuur mwɛy tɛy afan'duum mɔ̈ɔ̈, wɛɛ mɛ, mɛ wa in'fàpà a ukwen amɛ. Mɛ in'we anà ikɔ̈b apà wa, anà ikɔ̈b afàwal wa. Ayi nswɛɛŋ kan'pɛ Taaràmɛ.»
2b0a13003d	U ndaa ayi, nkaabà yàkyer abilà uboo a amfum a Ayudà.
2b0a140074	Bàmbɔɔn uboo a ba bàtɛɛnà naa: «Nde we anà unsɔŋà! Nde wà ŋukɔŋ! Ntɔn nkye lun'weemà bɛ?»
2b0a150085	Wɛɛ bumwɛy bàtɛɛnà naa: «Mbuur awe anà unsɔŋà ufàtɛn anki abà. Nkye unsɔŋà kan'kwo muduub mii a ikwàmii?»
2b0a160072	La làkäl paŋà làfakalà mpye mbɔɔn, baar bàkäl mukyɔm mpööŋ a ndwà a Nzam u Yɛlusàlɛm.
2b0a170059	Yɛsu kàkäl mulàlyaaŋ u ndwà a Nzam, u myäy bàfàbel naa myäy a Salɔmun.
2b0a1800a8	Apan, Amfum a Ayudà bàkyer un'diŋà, waa bun'fuul naa: «Tii mpal nà asikaar ngye unsà pfürà? Ikyään ubwaŋàbwaŋ isàkal naa ngye awà Klistɔ.»
2b0a1900aa	Yɛsu kafuur naa: «Mɛ ya akyàlakyään itaan, wɛɛ bɛ, bɛ lan'si anki làkwikilà. Isal in'fàkyer mɛ kà ikɔb a Taaràmɛ, byàmutà imbäl ntɔn mɛ.
2b0a1a004e	Wɛɛ bɛ lan'si anki làkwikilà, ntɔn bɛ kàlàbà in'kɔk amɛ anki.
2b0a1b0051	In'kɔk amɛ myàfàwem ndaa amɛ. Mɛ in'kyayöb, mya sye myàkyer afan'lab.
2b0a1c008c	Mɛ in'fapà mɔ̈ɔ̈ a mbul a in'tye, mya myàsàkyà anki bwà akà ikikye, akà mbuur mwɛy ukwe anki mugyɔɔr mya u kɔɔ amɛ.
2b0a1d0073	Taaràmɛ, mbuur kan'pɛ mya, kan'söön baar banswà. Akà mbuur mwɛy ukwe anki mugyɔɔr mya u kɔɔ a Taa.
2b0a1e0020	Taa anà mɛ, bi ibà mwɛy.»
2b0a1f0031	Ayudà bàfàbürà in'kul ntɔn mukun'tà.
2b0a200093	Apan, Yɛsu kàtɛn a ba naa: «Mɛ kàlamɛɛy isal a ntwɛn mbɔɔn byàfü akà Taa. Isal nà uboo a bya làkwen bɛ mukan'tà in'kul?»
2b0a2100a6	Ayudà bun'fuur naa: «Kà ntɔn isal a ntwɛn anki waa bi katà in'kul, wɛɛ ntɔn mbɛɛy: ngye awà mbuur, wɛɛ ngye, ngye awàmukyey naa ngye awà Nzam!»
2b0a220072	Yɛsu kafuur naa: «Nkye bàsön anki uboo a un'kɔɔn abɛ naa: "Mɛ, mɛ kàtɛn naa bɛ làbà bànzam."?
2b0a23009c	Bi ikyàyöb naa ikwe anki bàlwom indiir abyà uboo a Ndaa Aŋàsɔn. Kyekà, Nzam kàbel nde baar naa bànzam, ntɔn ndaa ande bàtöm akà ba.
2b0a240093	Bɛ, bɛ làtɛn a baal kàsi Nzam an'kɔɔ anà kàtöm nde u mɛɛn naa: "Ngye awàmubɛy!", ntɔn an'tɛn mɛ naa mɛ in'wà Mwan a Nzam!
2b0a250055	Isàkal naa mɛ in'fàkyer anki isal a Taaràmɛ, twon làman'sà làkwikilà.
2b0a2600cb	Wɛɛ isàkal naa mɛ in'fàkyer bya, itàkal naa bɛ lan'sà anki làkwikilà, làsi làkwikilà unsà isal abi. Ntɔn bɛ làyöb anà làkyey naa Taa wà amu mɛ, mɛ in'wà amu Taa.»
2b0a27004a	Apan, ba bàfàleŋ mukun'kɔr, wɛɛ nde kàkwiyà kà an'kɔɔ aba.
2b0a280068	Yɛsu kàfàfurà sim a Yɔrdan lumwɛy, kà ikal kàfadümà Ywan utàtwɛb, waa kàbwaay kwo.
2b0a2900a6	Baar mbɔɔn bàyee akà nde, waa bàtɛɛnà naa: «Ywan kàkyer anki akà idiim mwɛy, wɛɛ ndaa yanswà kàtɛn nde ntɔn mbuur awà yàkäl ndandaa.»
2b0a2a0030	Abun, baar mbɔɔn bàsi làkwikilà amu nde.
2b0b01006f	Kàkäl anà ŋukyal mwɛy ikɔb ande Lazar, un'si Bɛtanya, bul a Màlatà anà mpääŋ ande Màlye.
