2800000007	Mataayi
2c190d0071	Ye fikilile ifighono filingi, untua u Agripa nu Bernike vakafika ku Kaisari valyafumbilue pikumughendela u Festo.
2c190e008b	Ye ikalile apuo mu fighono finga, u Festo akatwalile un'kole kwa Paulo u ntua; akaati, 'Umuunhu jumo vakamulekile apa nhu Feliki un'kungua.
2c190f00a2	Ye nikale ku Yerusalemu u n'tekesi um'baha na vaghogholo vava Yahudi vakatwalile amasitaka kwa muunhu ujuo kulyune, voope vakaposia vwimila vwa vuhighi vwa mwene.
2c191000bd	Ku uluo une nikavamula kuuti nalwigho lwa Roma kukumuhumia umuunhu kuvupendelelo pa uluo, unyan'kole anoghile kuva mwelevu nakukuvakong'ania ava sitaka va mwene pikun'tanga mu makole aghuo.
2c191100a7	Pa uluo ye visile palikimo apa, nanikanoghile kukuvaghula, looli ikighono kino kika vingilile nikikalile mu kitengo ikya vuhighi na kulaghila umuunhu uju isi mun'kate.
2c19120073	Un'sika ava sitaka ye vimile na kukusitaka, nikasaghile kuuti nakweghale amasitaka amakome ghano ghisile kwa mwene.
2c1913009b	Pa uluo, vakale ni ng'aning'ano simonga palikimo nu mwene vwimila vwa vitiki va vanave kange vwimila vya Yesu juno afwile, Looli u Paulo idaja kuuti mwumi.
2c1914008a	Nilyale ni m'buvaghanisivue ndavule ku hungila ilisio iili, pe nikam'posia ndavule angalute ku Yerusalemu kuhighua vwimila vwa masio agha.
2c19150086	Looli u Paulo ye akemelilue avikilue pasi pa vuloleli vwimila vwa vulamusi vwa ntua, nikamulaghile avikue nambe nikutwale ku Kaisari.'
2c19160084	U Agripa alyajovile nu Festo, “Nilonda kange kukum'pulikisia u muunhu uju.” “U Festo, akaati, “Pakilavo ghukum'pulikisia.”
2c191700d0	Pa uluo pakilavo kila, u Agripa nu Bernike vakafika nifikulukulu finga; vakafika mu vukumbi nava vaha vakipugha, na vaanhu ava manyika ava mulikaja. Nu Festo ye ahumisie indaghilo, u Paulo akatwalua kuvanave.
2c191800e5	U Festo akaati, “Untua Agripa, na vaanhu vooni vano pevale apa palikimo nusue, mukum'bona umuunhu uju; mukisina kyooni kya va Yahudi ukuo ku Yerusalemu napa kange vilonda nivahighe, voope vakajeghela kulyune kuuti nangikalaghe.
2c19190083	Nilolile kuuti nakavombile lyelyoni lila lino linoghile uvufue; looli ulwakuva un'kemelile untua, nikalamuile kuku ntwala kuvanave.
2c191a00ad	Looli nilivuvule ikiinu kyekyene ikya kulemba kwa Ntua. savuli ja ulu, nitwalile kulyuve, kange kulyuve juve, Ntua u Agripa, kwe kuuti nipate ikya kulemba vwimila vwa nkole.
2c191b0057	Ulwakuva nivona kisita luvumbulilo pi kutwala un'kungua ye natunsonile isa kun'kungila.
2c1a01006d	Anala, u Agripa akam'bula u Paulo, 'Ghuta kukutanga, pe u Paulo akagholosia uluvoko lwa mwene akitanga ndiki.
2c1a02007d	“Nikuvona nili nuluvelo, Untua Agripa, kuuti kuvomba u n'kole pavulongolo palyuve umusyughu amasitaka ghoni agha va Yahudi.
2c1a030066	Lino, ulwakuva uve ulin'kagusi ghwa lwigho isa va Yahudi na maswali. Pe nisuma umulikisiaghe mulugudo.
2c1a040073	Kyang'haani, ava Yahudi vooni vakagwile pene nilyale nikukala kuvujelela vwango mukisina kyango kula ku Yerusalemu.
2c1a05008b	Vang'awile kuhuma kuvwasio luvanoghile kuuti vitike kuuti nikikale ghwene Mfarisayo, ikipugha kiino kilinuvwimo vunyangufu mu lukano lwitu.
2c1a060063	Lino nimile apa nihighua ulwakuva une nilola ulufingo luno u Nguluve alyavombile nava Nhaata viitu.
2c1a0700ce	Ulu lwe lufingo luno amakabila ghitu ifijigho fivili vihuvila kukwupila ndavule vikun'suma u Nguluve ni ngufu pakilo na pamwisi. Vwa vwimila uvwa luhuvilo ulu, untua u Agripa, kuuti ava Yahudi vikunisitaki.
2c1a080050	Nakiki ghwe ghwoni mulyumue isagha kuuti kidegho kuuti u Nguluve isyusia avafue?
2c1a09006d	Un'siki ghumo nikasaghile june kuuti ngele nivombile amasio minga vwimila vwa litavua lya Yesu ghwa Nazareti.
2c1a0a00cd	Nika ghavombile agha mu Yerusalemu; nikavakungile ava vitiki vinga mu ndinde, kange nilyale nu mutavulilua kuhuma mu vavaha nava tekesi kuvomba anala; unsiki ghuno vaka m'budagha, nilyatovile ikura kuvene.
2c1a0b00bf	Nakalingi nikavatovile munyumba ija kufunyila jooni kange nikaghelile kuvomba navangitikaghe u lwitiko luvanave. Nilyale ni ng'alasi kyongo kuvana nikavadaghile kange mulikaja ilya kuvuhesia.
2c1a0c007e	Unsiki ghuno nilyale nivomba agha, nikalutile ku Dameski, nilyale ni ndaghilo kange nu vatavulilua kuhuma kuvatekesi ava vaha;
2c1a0d00ba	unsiki ghuno nikale musila pa mwisi, Untua, nilyalwaghile ulumuli kuhuma kukyanya luno lukale lumulika kukila ilijuva lukamulike kusyuta une na vaanhu vano vakale vighenda palikimo nune.
2c1a0e00a5	Usue tweni ye twingile paasi, nikapulike ilisio lijova nune liiti mu njovele ija Kiebrania: 'Sauli, Sauli! nakiki ghuku nesa? Kitalamu kulyuve kutova iteke amam'fua.
2c1a0f0057	Pe nikati, 'Uve veve veni, Mutwa?' U Mutwa akamula, 'Une nene Yesu juno ghukunipumusia.
2c1a1000db	Lino ghwime kumaghulu ghako, ulwakuva nu luhuvilo ulu une nihufisie kulyuve, nukusalwile kuuti uve m'bomba mbombo kange uve mwolesi ghwa masio agha ghukagula vwimila une lino na masio ghano nikukusona ye ghakilile agha;
2c1a110043	Nikum'poka kuhuma kuvaanhu kange vaanhu ava panji kuno nikukwomola,
2c1a1200fc	kudindula amaso gha vanave napikuvahumia mu ng'iisi kuluta kuvuvalafu nakuluta kungufu isa setano vasyetukile u Nguluve; neke vupile kuhuma kwa Nguluve ululaghilo ulwa vahosi nu vuhasi vuno nivapelile vala vano nivabaghwile nu lwitiko luno lilikulyune.
2c1a130049	Pa uluo, Untua u Agripa, nanikanoghile ku galuka inyifunyo isa ku kyanya,
2c1a1400e8	looli, kuvala vano vano vali mu Dameski pavwasio, kange ku Yerusalemu na ku iisi jooni ija ku Yudea, kange na vaanhu ava kufisina ifinge, nikadalikile kuuti valete na kukunsyetukila u Nguluve, vavombe imbombo sino sinoghile ululato.
2c1a15006c	Ulwakuva uluii ava Yahudi vakanin'kolile mu nyumba im'baha inyimike ija ku funyila, pe vakaghela kukum'buda.
2c1a1600af	U Nguluve akanangile kufika lino, pe nikwima na kuvolelela avaanhu va vulevule na kuvala avavaha, vwimila vwa sila sino avaviili nu Musa valyajovile kuuti silihula na sikunua;
2c1a170083	Kuuti u Kilisite lasima apumuke kange iiva ghwa kwasia kusyuka kuhuma kuvafue na kupulisia ulumuli ku vayahudi na vaanhu ava panji.
2c1a180085	U Paulo ye amalile pikutanga, u Festo akajova ku lisio ilivaha, 'Paulo, uve uli nyalukwale! amasomo ghako ghakubikile uve nyalukwale.
2c1a190075	Looli u Paulo akaati, une naninyalukwale, mwoghopua Festo; looli kulukangasio nijova amasio agha kya ng'haani ghooni.
2c1a1a00c9	Ulwakuva untua ikagula vwimila vwa masio agha; pa oluo, nijova nu vwavuke vwa mwene, ulwakuva niili nuvwa kyang'haani kuuti nakwelile lyoni lino lifisime kwa mwene; ulwakuva iili nalivombilue palubale.
2c1a1b0048	Vuuli, ghukwitika avaviili, u Ntua u Agripa? nikagula kuuti ghukwitika.'
2c1a1c0061	U Agripa akam'bula u Paulo, 'Kunsiki undebe unoghile kukunivula une kange kukumbika nive Mwitiki?
2c1a1d00bc	U Paulo akaati, “Nikunsuma u Nguluve kuuti, kunsiki n'dbe nambe n'tali, naveve juve kange vooni vano vikunipulika umusyughu, veve ndavule une, looli kange kisila manyororo agha mu ndinde
2c1a1e0059	Pe untua akima, nhu n'sikali kange nhu Bernike, na vala vano vakikalile palikimo na vene,
2c1a1f006b	ye vabukile kuvukumbi, vakajovile vavuo kwa vavuo na kuuti, “Umuunhu uju nanoghile uvufue kange kupinyu,'
2c1a20006e	U Agripa akam'bula u Festo, “Umuunhu uju anoghile kuuti ave mwavuke ndavule nakekile i piru kuva Kaisari.”
2c1b0100cb	Ye valaghile kuuti tulondua ku ghenda mu malenga kuluta ku Italia, vakam'pelile u Paulo nava kungua avange kwa m'baha jumo ughwa kipugha kimo ikya va Roma juno itambulua Julio, ava kipugha ikya Agustani.
2c1b0200bd	Tukapandile imeli kuhuma ku Adramitamu, jino jikale jighenda mulubale mu pwani ija Asia. Pa uluo pe tukingila mu nyanja. Aristaka kuhuma Thesolanike ija ku Makedonia akaluta palikimo nusue.
2c1b0300b5	Ikighono kino kikavingilile tukima mulikaja ilya Sidoni, pano u Julio aka m'bombile u Paulo nhu vuhugu kange aka n'tavwile kuluta ku vamanyani va mwene ku kwupila uvuhugu vu vanave.
2c1b04008b	Kuhuma pala tukaluta kunyanja tukaghendagha ku syuta ikiponge ikya Kipro kino kikale kisigha imepo, ulwakuuva imepo jikale jikutukong'ania.
2c1b050067	Ye tughendile mu malenga ghano ghalipipi ni Kilikia naku Pamfilia, tukisa ku Mira, mulikaja ilya Lisia.
2c1b060086	Pala u m'baha ughwa kipugha ikya va Roma, akajaghile i meli kuhuma ku Alexandria jino jighenda kuluta ku italia. Akatutosia Mu n'kate.
2c1b0700e3	Ye ighenda molamola mu fighono ifinga pe tukafikile nu lupumuko pipi na ku Kinidas, imepo najikatutavwile kange kuluta mu sila ijio, pe tukaghenda mulubale mukimughighi ikya ku Krete ye tusigha imepo, m'bading'ani naku Salmone.
2c1b08007d	Tukaghenda mulubale kuvu talamu, m'paka tukalutile pakimenyule kino kitanmbulua Fari Haveni jino jilipipi nilikaja ilya Lasi.
2c1b090094	Tukatolile un'siki n'kome nkyongo, nu n'siki ughwa n'kungua ughwa Kiyahudi ghukakilile kange, liino pelukale ulutalamu. Pa uluo u Paulo akatupavile,
2c1b0a00a1	na kuuti, “Vghosi, nivona lughendo luno tulonda pitola luva nuvunangifu kange nuvu luvumbulilo lwinga, nambe ku masigho ni meli, looli kange nuvukalo vwitu.”
2c1b0b008e	Looli um'baha ughwa kipugha kya va Roma akam'pulikisia kyongo u Mutua ghwa mwene nunya meli, kukila amasio ghala ghano ghalyajovilue nu Paulo.
2c1b0c0134	U lwakuva i bandari napalyale pahugu pikukala un'siki ughw ng'ala, avaghendesia meli vinga vakatuhigha tuvuke kuhuma pala, ulwakuuti fifino luvisaghe pikulifikila ilikaja lya Foinike, tukale pala un'siki ghwa ng'aala. I Foinike bandali ja ukuo ku Krete, kange jilola kunena na kuvuhumo na kumavemba kuvuhumo.
2c1b0d00b7	I mepo ja kumavemba ye jitengwile kugugula lukeluke, ava ghendesia meli vasagha kuuti kila kino vakalondagha. Vakavusia ikimilo kya meli nakughenda mulubale mu Krete pipi na mu mwani.
2c1b0e0084	Looli un'siki n'debe ye ghukilile imepo inyinga, jino jikatambuluagha kuvuhumo ku nena, jikatengula kutusukania kumwambo ku kiponge.
2c1b0f0071	Un'siki ghuno imeli jilya kunilue na kukunua kukujitola imepo, tukiting'ana nu luveelo uluo, tukapindua na veene.
2c1b10008d	Tukakimbila kukila ulubale luuo luno lukasighagha imepo ija kiponge kino kitambulua Kauda; na kupumuka kyongo tukakagula pikughupoka ikivoti.
2c1b1100b9	Pano vakati vajikwesile, valyakungule imeli nu lughoji. Valyoghuipe kuuti tunoghile piluta kuno lilikuo ilihanga linga ilya Syiti, apuo pe vakisia inanga kange vakaghendelagha mulubale.
2c1b120082	Tulya gasivue kyongo nama vingu, apuo ikighono kino kilya vingilile avaghendesia meli vakatengula kutagha amasigho kuhuma mu meli.
2c1b130058	Ikighono ikya vutatu, avaghendesia meli vakatengula pihumia amalenga namavoko ghavanave.
2c1b14009e	Un'siki ghuno ili juva ni nondue nafilya tumulikile fighono finga ghalya jighe amavingu amavaha ghikutugasia, nuluhuvilo ulwakuuti ndeponu tupokua lulwavukile
2c1b1500f2	Vakaati vaghendile ulughendo lutali kisila kyakulia, apuo pe u Paulo akima pakate na kati pavaghendesia meli akaati, “Vaghosi, lunoghile mu mulikisie, kange natuvele tuvusisie inanga kuhuma ku Kret, neke pe tupate imumuko isita luvumbulilo.
2c1b160057	Lino pe nikuvanyasia, ulwakuva nakwekuva kusovia uvwumi vwinu, looli tusofisie ji meli.
2c1b1700b4	Ulwakuva ikilo jino jikilile umunyamola gha Nguluve, juno ujuo u Nguluve une nilighwa mwene, kange ghwejuno nikufunya kwa mwene - umunyamola ghwa mwene avele imile mulubale mulyune
2c1b1800a3	na kuuti, “Nuloghopagha Paulo. Lukunoghile kukwima pavulongolo pa Kaisari, lolagha u Nguluve mu vuhugu vwa mwene akupelile ava vooni vano vighenda palikimo nuve.
2c1b190062	Pa uluo, avaghosi, mugudaghe, ulwakuva mukumwitika u Nguluve, kuuti luva ndavule nivele nivulilue.
2c1b1a0042	Looli lutunoghile kupumuka mulwa ku tovua mu fimonga ifi ponge.”
2c1b1b00c4	Ye jifikile ikilo ija kijigho na fine, pano tuvele mulunjughanjugha ulwa kuno na kuno mu nyanja ija Adratik, ndavule ikilo n'kate n'diki, avaghendesia meli valyasaghile kuuti vaseghelile ku mwani.
2c1b1c00ba	Valyavombile amasio kulola uvutali uvwa malenga pasi vakasagha imita fijigho fitatu n'tanda, ye ghukilile un'siki n'debe vakapima kange vakasivona imita ifijigho fivili ni lekela lubale.
2c1b1d00b3	Valyoghwipe taasi kuuti tunogile kubumala muma nalavue, apuo pe vakisia inanga inne kuhuma pano palyavikilue pakuvika inanga pe vakifunya kuuti ilwakilavo hwene jise ng'aning'ani.
2c1b1e00c0	Avaghendesia meli vava valyale vilonda pikujilekelesia i meli jila pe vakisisie mumalenga amavoli amadebe isa kuvapoka ku vwumi vwave, vakivika kuuti hwene vitagha inanga kuvulongolo kumavoti.
2c1b1f0094	Looli u Paulo akam'bula jula un'sikali gha kipugha ikya vasikari ava kiroma nava sikar vala, “Namungapokue looli avaanhu ava vasighale mu meli”.
2c1b200059	Apuo ava sikari vala pe vakadumula ingoji sa livoti lila pe jikalekua jitolue na malenga.
2c1b2100b5	Un'siki ghuno kulyale ku tema pa lwakilavo, u Paulo akavapelepesia vooni kuuti valie padebe. Akaati, “Umusyughu kighono kya kijigho na fine mughula kisila kulia, namulile kimonga.
2c1b22008c	Pe nikuvavula mutole ikyakulia ikidebe, ulwakuva vwimila uvu avwa kukala kulyumue; nakwelile nambe ilinyele limo mumatue ghiinu lino lisova.
2c1b230085	Ye ajoovile aghuo akatola un'kate akamuhongesia u Nguluve pavulongolo pa maso muunhu ghweeni. pe akamenyula un'kate akatengula kulia.
2c1b240042	Pa uluo vooni vakakangasivua inumbula na veene vakatola ikyakulia.
2c1b250025	Tulyale avaanhu 276 mun'kate mu meli.
2c1b260057	Yevalile fikwiline, vakajivombile imeli jive m'mepe ku tagha ingano mun'kate mu nyanja.
2c1b2700ac	Ye mwisi, navakajitambuile iisi, looli pe vakalola iisi jino jingile mu malenga jino jilyale nilihanga linga vakapuling'ana ndavule vanoghile kughendesia imeli kuluta apuo.
2c1b2800a6	Pa uluo vakalegesia inanga vakasileka mu nyanja. Mun'siki ghughuhuo vakasilegesia ingoji isa tanga pevakinula kuvulongolo kuluta ku mepo pe vakaluta mulihanga ilinga.
2c1b2900ef	Looli vakisa pala pano amakuja ghavili agha malenga ghitang'ana, ni meli jikaluta kulihanga. Napala pavulongolo pa meli jikima pala najikanoghile ku vuka, looli pavulongolo pa meli pakatengula kudenyeka ulwakuva amaviingu ghakale ni ngufu.
2c1b2a0062	Uvutavike vwa va sikari ghukale kuvabuda avakungua, ulwakuuti na kwale juno ikwoghela na kudyegha.
2c1b2b00cb	Looli un'sikari jula ughwa kipugha ikya va Roma alyalondile kukumwavula u Paulo, pe akamwimia uvutavike vuvanave, kange akavalaghila vala vano vanoghile kukwoghela, vajumbe kuhuma mu meli valute mu iisi.
2c1b2c00a4	Pa uluo ava ghosi avange vivingilila, avange mufighave ifya mbavo nakange avange mufinu ifinge kuhuma mu meli. Musila iji jihumile kuuti vooni vafike vunofu ku iisi
2c1c01003f	Yetufiike vunofu, tulyakagwile kuuti ikiponge kitambulua Malta.
2c1c0200a2	Avaanhu va palikaja na kwe kuti vakatuupilile uvuhugu vwa vulevule, pe valyapembile umwooto na pikutukaribisia tweeni, ulwakuva ifula ni mepo jikale jighendelela.
2c1c0300c0	Looli u Paulo ye akang'anisie unsigho ghwasanjala na kuvika pa mwooto, ilijoka ilidebe ilinya sumu likahuma mu sanjala sila ulwakuva lwa vufukefu vuula pe likin'yengelela mu luvoko lwa mweene.
2c1c0400d6	Avaanhu va pa likaja pala yevalolile kwiiti ilijoka liswembela kuhuma muluvoko lwa mweneenevapuling'ana vavuo,”Umuunhu uju kyang'haani m'buudi junoadyeghile mu Nyanja looli uvwakyangani navukuntavula kukukala.”
2c1c05004d	Looli umweene akantaghila ilijoka ilio kumwooto nakapatile uvunangifu vwooni.
2c1c0600d7	Aveene vakumughula afimbe inamu nambe aghue na kalingi na kufua. looliye nimulolile ku nsiki untali na kulola kuuti na kwelili lino lilivulevule kwa mweene wakabadilisia amasaghe ghavanave na kuuti alyyale unguluve.
2c1c070098	Kange pala pipi palyale ni iisi jinojilyale kyuma kya m'baha wa kiponge, umuunhu juno itambulua pablio. Alatwupilile na pikututengelela ifighono fitatu.
2c1c0800a0	Lulyahumile kuuti viise wa pablio jikam'bwene imungu ni namu ija kuhalisia. Na ju Paulo amulutile akifunya, akavika amavoko pa kyanya pa mwene na pikum'buvusia.
2c1c090061	Yelihumile ili, avaanhu avange pa kiponge pala vano valyale vivavua voope vakaluta vakavuvusivua.
2c1c0a0071	Avaanhu vakatwoghopa nu vwoghofi uvukome. Panotukale tukuling'ania kukyula, vakatupelile fila fino tukafivombile.
2c1c0b00b1	Yeghakilile ameesi gha tatu, tulyaghendile mu nkate mu meli Iskanda jino jilyakolilue ni ng'ala pa kiaponge pala, jino avalongosi va jene valyale vanyalukolo va vili ava lipasa.
2c1c0c004a	Pano yetupumile mu likaja ilya sirakusa, tulikalile pala ivighono vi tatu.
2c1c0d00b9	Kuhumila pala tukaghendile tukafike mulikaja ilya Regio. Ye kikilile ikighono kimo imepo ija kumavemba jilyahumile nakalingi, yefikilile ifighono fivili tukafikile mulikaja ilya Putoli.
2c1c0e007c	Ukuo kwe tukavavwene ava nyalukolo avange vakatupilile kukukala navoope ifighono lekela lubale. Kusila iji tukisile ku Rumi.
2c1c0f00cf	Kuhuma ukuo avanyalukolo vala, yevapulike imola isiitu, vakisile kukutwambilila ukuo kulighulilo ilya Apias ni Hoteli itatu. U Paulo ye avavwene avanyalukolo vala valyamongisie u Nfuluve pe akavika ni ngufu.
2c1c100070	Pano ye twingile ku Roma, u Paulo akatavulilue kukukala mwene palikimo nu n'sikali jula juno alyale ikumulolela.
2c1c11017c	Yefikilile ifighono fitatu u Paulo akavakemelile palikimo avaghosi vala vano valyale valongosi mun'kate muva Yahudi. Vano vakisile palikimo, alyajovile kuvanave, “Vanyalukolo, palikimo na kuuti nanihokile n'kole ku vaanhu ava nambe kuvomba luno nalulondua nava Nhaata viitu vanovalyatulongolile, vakanyumisie hwene n'kungua kuhuma ku Yerusalemu kufika hadi mumavoko gha va Rumi.
2c1c12007d	Yevamalile kukumoselesia, vakanoghilue kukundekesia mu vwavuke ulwakuva nalulyale lumonga kulyune ulwa ku hulila pi kum'buuda
2c1c1300b8	Looli ava Yahudi vala vakaati vajovile vunge kuluno vinoghelua avene, penilyaghimbile pihumia apiru kwa Kaisari, napano nalulyale lunyakuva ndiikio nileta amasitaka mu kipelela kyango.
2c1c140095	Ulwakuva kiki une nilete i apiru, pa uluo nilyasumile kukuvagha na kujova navoope. Ulwakuva kiila u Israel alipisie nakyo, niikungilue muvukunge uvu.
2c1c1500b9	Pe vakam'bula, “Natughelile twupile ikalata kuhuma ku Yudea jino jikukujova uve, nambe nakwale unyalukolo juno akisile nakuhumia imola nambe kujova ilisio limonga ilivivi vwimila uve.
2c1c160099	Looli tulonda kupulika kuhuma kulyuve ghusagha kiki vwimila ilipugha lya vaanhu ava, ulwakuva sivoneka kulyumue kuuti nijova fiivi pooni pano nilipuo.”
2c1c17014a	Vakaati vavikile ikighono vwimila umwene, avaanhu vinga kyongo valyamwisile pano ikalagha. Alyajovile ilisio lila kuvanave napikuvolelela vwimila ulwa vutua vwa Nguluve. Akaghelile kukuvavika vunofu vwimila u Yesu, kusooni ivili kuhumila mu ngaghilo sa Musa na kuhuma mu vavili, kutengulila pa lwakilavo kufika umpaka pakivwilile.
2c1c18004d	Mun'kate mu vavuo vakavahongile kusimo sikajovilue, napano avange navakitike.
2c1c19009a	Yevakunilue pikwiting'ana vao kwa vao vakavuka u Paulo ye ajvile imola iji jimo, “U Mhepo u Mwimike vunofu kukuka u Isaya um'biili ghwa va Nhaata viitu.
2c1c1a008c	Akaati, 'Luta kuvaanhu ava ujove, “Ku mbughulutu siinu mum'pulika, looli na mungakitang'anie; na kumaaso ghinu mulola looli namungakagule.
2c1c1b011d	Vwimila vwa numbula sa vaanhu ava siila vuvotevote, imbughulutu save sim'pulike ni mumuko, vadindile amaso gha vanave; neke kuuti valeke kukagula ku maso gha vanave, nakum'pulika ku mbughulutu sivsnave, napikun'tang'ania mu nhumbula sivanave, na pisyetuka kange, ngele nivavuvwisie.”
2c1c1c0087	Pa uluo, mu noghile kukagula kuuti uvuvangi vwa Nguluve vutwalilue ku vaanhu ava panji, kange vipulikisyagha.” (Gadilila: Ikidebe iki
2c1c1d008d	“Un'siki ghuno alyajovile amasio agha, ava Yahudi vakabuka, kuno vighelana kyongo vavuo kwa vavuo, nakwesile muvutavike uvunofu uvwa kali).
2c1c1e007c	U Paulo akikalile mu nyumba ja mwene ijakupanga amaka ghaviili, kange alyavambilile vooni vanoon vano vakalutagha kwa mwene.
2c1c1f008b	Alyale idalikila uvutua vya Nguluve kange alyale ivulanisia amasio vwimila vwa Mutwa Yesu Kilisite mungufu sooni. Nakwale juno kan'sighile.
2d00000006	varumi
2d01010072	uPaulo unsung'ua ghwa Yesu Kilisite, juno akemhelilue kuva nsung'ua, na kubaghulua vwimila ilivangili lya Nguluve.
2d01020055	ili lwe livangili lino akalifingile pakali kukilila avavili vaake mu malembe amimike.
2d01030046	sa nswambe, juno akaholilue kuhuma mu kikolo kya Davidi mu lwa m'bili.
2d01040078	umwene akapulisivue kwa mwana ghwa Nguluve ku nguu ja Mhepo uMwimike ku vusyukue vwa vafue, uYesu Kilisite Mutwa ghwitu.
2d0105006c	kukilila umwene twupile uvumosi nu vusung'ua kwa kwitikila ulwitiko mu luhala lwoni, vwimila ilitavua lyake.
2d01060040	mu luhala ulu, najumue kanga mukemhelilue kuva va Yesu Kilisite.
2d010700ba	ikalata iji ja kuvoni vano vali ku Rumi, vaghanike va Nguluve, vano vakemhelilue kuva vimike. uvumosi nu lutengano fivisaghe numuekuhuma kwa Nguluve Nhaata ghwitu nu Mutwa Yesu Kilisite.
2d01080084	muvwandilo, nikumuhongesia uNguluve ghwango mwa Yesu Kilisite vwimila jinu mweni. ulwakuva ulwitiko lwinu ludalikivue mu iisi jooni.
2d01090080	ulwakuva uNguluve nsaidi ghwango, juno nikumwuvila mu numbula jango mu livangili lya Nswambe, ndavule nikukala na kukuvakemhela.
2d010a0082	jaatu nikuvasumila mu nyifunyo sango kuuti, ku sila jojoni nikave uvusililo kuva lughinio ku lughano lwa Nguluve kukwisa kulyumue.
2d010b0065	lwa kuva nonoghelua kukuvagha, neke nikave kukuvapela ifipelua ifya munumbula, nikave kukuvakangasia.
2d010c005a	ni lolelela kukuvakangasia inumbula ku sila ija lwitiko kwa muunhu ghweni. ijinu ni jango.
2d010d00b7	lino vanyalukolo nanilonda muleka kukagula kuuti, ke kinga nihuvila kukwisa kulyumue neke kuhanga lino nisighilie. nilonda ndiki neke kuva ni mheke kulyumue ndavule lulivua kuvapanji.
2d010e003a	nidajivua na vaYunani navaghesi kange, averefu na vajaasu.
2d010f005c	lino ku lubale lwango, une nili tayale kupulisia ilivangili kulyumue na kuvano vali ku Rumi.
2d0110008f	ulwakuva nanikulivonela soni ilivangili, ulwakuva se ngufu sa Nguluve uvuvangi ku vano vikumwitika, kwa muYahudi taasi neke kwa muYunani kange.
2d0111007c	ulwakuva ikyang'hani ja Nguluve jivonike kuhuma ulwitiko nu lwitiko, ndavule jilembilue,” inya lwitiko ikukala mu lwitiko.
2d01120088	ulwakuva ing'alasi ja Nguluve jivonike kuhuma kukyanya kulutila uvuhosi vwoni vwa vaanhu, vano kusila ja vuhosi vikujifisa ikyang'haani.
2d01130071	ulu lwe lukuva, sooni sino ndepoonu sikagulika kwa Nguluve sesa vuvalafu kuveene. ulwakuva uNguluve avamamnyisie.
2d01140102	ulwakuva imbombo sake sino nasivoneka vunono sili pavuvalafu kuhuma muvutengulilo vwa iisi. sivoneka kukilila ifinu finofivumbilue. imbombo isi se vuwesia vwake vwa kusila na kusila nu vutengulilo vwa vunguluve. amahumile ghake avaanhu ava vasila vutavulilua
2d011500c7	. ulu lwe lyakuva nave valyakagwile isa Nguluve, vakampaala umwene ndavule uNguluve nambe navamuhongisie. pe pano valyale vajaasu mu musaghe ghave na moojo ghave agha vujaasu ghakaponesivue ing'iisi.
2d0116002e	vajikemelagha vanyaluhala neke vakava vajaasu.
2d011700bc	valyavwandwile uvwimike vwa Nguluve juno nsila vunangifu vwa kihwanikisio kya muunhu juno ali nuvunangifu, nagha fijuni, nagha fidimua ifinya maghulu ghane, na fifing'onyo fino fikwafuala.
2d01180072	pe uNguluve akavaleka vasivingilile inogheluo indamafu sa moojo ghave, ku mavili ghave kusukunalua vavuo ku vavuo.
2d011900b1	vope vano vandwile ilweli ja Nguluve kuuva vudesi, na vano vakifunyilagha na kufivombela ifidimua na kukumuleka juno afivumbile juno ighinilua ifighono ifisila na kusila. Amina.
2d011a009f	mu ulu uNguluve alyavelekile vavingilile inoghelua saave isa soni, ulwakuva avadala vaave vakandwile kutumila amavili ghave ndavule lulyamunoghile uNguluve. na
2d011b00c9	vavaghosi vakaleka kutumila amavili ku vadala vaave looli vavuo ku vavuo. ava valyale ve vaghosi vano vavombagha na vaghosi vajanave sino nasinoghile, valyupile uluhombo luno lunoghile ku vusofi vwave.
2d011c0091	ulwakuva navakighanile kuuva nu Nguluve mu luhala lwavo, akavaleka valuvingililaghe uluhala lu vanave luno nalunoghile, vavombe sino nasinoghile.
2d011d0069	vamemilue ni nuvuhosi, uvunoghelua nu vuvivi. vamemilue nu vwifu, ilibaatu, uvusyangi nu vufumbue vuvivi,
2d011e00ac	avene kange vajova fivi, vahomeleng'ani kange vanya kun'kalalia unguluve. avanya vulugu, imbedo, na vanya lughinio. aveene vanya kusagha imbivi, navikuvitika avapafi vaave.
2d011f0049	aveene vasila vukagusi; navikwitikika, vasila lughano kange vasila ikisa.
2d012000b7	vikwelevua uvutavike vwa Nguluve, lwa kuuti avaanhu vano vivomba mu isio vanoghile kufua. neke nakwekuti vano vivomba aghuo vene, looli avene vikwiting'ana na vala vano vivomba aghuo.
2d020100a4	pe lino nutavulilue, uve ghwejuno ghuhigha ulwakuva ku ghala ghano ghuhigha ujunge ikujivika jujuo mu nkole. ulwakuva ghwenjuo ghuhigha najuve ghuvomba ghala ghala.
2d02020052	neke tukagula kuuti, uvuhighi vwa Nguluve vwa lweli ku vano vivomba ndavule aghuo.
2d0203008f	neke uve usaghaghe ili kuuti uve ghwe juno ghuhigha vala vano vivomba aghuo nambe najuve ghuvomba ghaghaghuo. pe uve naghuli highua nu Nguluve?
