010000000b	Ittẹwọr
06150100cd	Iwa adeho pa nnọmma sa Lẹvi afona achina ka Shilo ka Kenaan, atza akhebha Eleazar kw'ode ọfọhnẹja ọmaana Joshua kw'ode nnwa kwa Nun ọmaana adeho pa mfonamma ndọdọk sa nnọmma s'Israẹl,
061502009b	aben bẹ bi, “Iwa Ọvaar Ibinọkpaabyi ọnangi Mosẹs ẹfa bi, kọ anang man ibhon sa moruk, ttara iwoni s'etzirakpo pyaman echi ọchattọhk.”
06150300c6	Mẹ wọ ofon, iwa anọng p'Israẹl atzọkha ibhon nnani ọmaana iwoni rani anang anọng pa efonamma cha Lẹvi mach'ekkema chabẹ, atzor k'odem kw'iwa Ọvaar Ibinọkpaayi ọkk'ọgbaakha.
061504010f	Iwa ose kw'ochi eden, ode ekkema ch'anọng p'ẹnọmma cha Kohat, atzori ka nnọmma sabẹ. Wa bẹ anangi anọng pa Lẹvi p'iwa ade va pa va p'Aarọn kw'ode ọfọhnẹja, ibhon jobh obhiri ittaan k'ẹkhọma cha Juda, ọmaana cha Simeọn ttara cha Bẹnjamin.
061505008d	Iwa bẹ atzọkha ibhon jobh k'ẹkhọma ch'Ephraim ọmaana cha Dan ttara k'ibhaakha rani sa Manasẹ anang va pa va pa Kohat p'an-arikhi.
06150600ca	Iwa bẹ atzọkha ibhon jobh obhiri ittaan ka nnọmma k'ẹkhọma ch'Isaaka ọmaana ch'Ashẹr ọmaana cha Naphtali ttara k'ibhaakha rani s'anọng pa Manasẹ ka Bashan, anang va pa va pa Gershon.
0615070094	Iwa va pa va pa Mẹrari, atzori ka nnọmma sabẹ, atzọkha ibhon jobh obhiri ifa k'ẹkhọma cha Reubẹn ọmaana cha Gad ttara cha Zẹbulun.
06150800d7	Mando wọ kw'iwa anọng p'Israẹl atzọk ibhon nna ọmaana iwoni s'etzirakpo em-echi ọttọhk, anang anọng p'efọnamma cha Lẹvi, atzor k'odem kw'iwa Ọvaar Ibinọkpaabyi okk'orenga ka Mosẹs ọgbaak.
0615090064	Iwa bẹ anangi anọng p'ẹkhọma cha Juda ọmaana p'ẹkhọma cha Simeọn ibhon atzor ka che,
06150a0086	(ma wọ ode ibhon s'iwa bẹ anangi va pa va p'Aarọn p'afon k'efonamma cha Kohat, okhuri da ode ekkema chabẹ dọ iwa echi eden):
06150b00a6	Iwa bẹ anangi bẹ Kiriyat-Arba (kw'ode Hẹbrọn), ọmaana iwoni s'iwobh ikhọr-ẹ, k'okhubha kwa mgbegbeho ka Juda. (Wa Arba wọ ode otte kw'ideden kw'Anak).
06150c008a	Ode cha iwa bẹ akk'iwoni ọmaana abhobhona p'akhọri odedenmon atzọkha anang Kalẹb kw'ode nnwa kwa Jẹphunẹ, mach'ekkama chẹ.
06150d00ae	Iwa bẹ anang va pa va p'Aarọn kw'ode ọfọhnẹja obhon kwa Hẹbrọn (kw'ode odedenbhon kw'ichubhabe ọnang ọnọng kw'ọrọbhi ebhon), ọmaana obhon kwa Libna,
06150e0016	ọmaana kw'Ẹshtemoa
06150f001d	ọmaana Holon ọmaana Debir
06151000a3	ọmaana Ayin ọmaana Juta ọmaana Bẹt-Shẹmẹsh akwu attara k'iwoni s'etzirakpo pyabẹ em-echi ọttọhk. Wa ibhon ọhawani rọ ifon ma ngọma nna mfa.
0615110052	Iwa bẹ anang bẹ ibhon k'ẹkhọma cha Bẹnjamin s'ide Gibeọn ọmaana Geba
061512006e	ọmaana Anatọt ọmaana Almọn akwu attara k'iwoni s'etzirakpo pyabẹ em-echi ọttọhk, osi ibhon inna.
0615130097	Biphyir-phyir ibon s'iwa bẹ anangi afọhnẹja, p'ade va pa va p'Aarọn ide jobh obhiri ittaan, attar iwoni s'etzirakpo pyabẹ em-echi ọttọhk.
0615140080	Iwa bẹ atzọkha ibhon k'ẹkhọma ch'Ephraim anang nnọmma s'anọng pa nnọmma sa Kohat p'anọng pa Lẹvi, p'an-arikhi:
061515009a	Iwa bẹ anangi bẹ Shẹkẹm k'okhubha kwa mgbegbeho k'Ephraim (kw'ode odedenmon kw'ichubhabe s'ọnọng kw'ọrọbhi ebhon) ọmaana obhon kwa Gezer
0615160070	ọmaana Kibzayim ọmaana Bẹt-Horọn, ttara iwoni s'etzirakpo pyabẹ em-echi ọttọhk, kw'osi ibhon inna.
0615170052	Iwa bẹ atzọkha ibhon inna k'ẹkhọma cha Dan s'ide Elteke, ọmaana Gibeton,
0615180063	ọmaana Aijalọn ọmaana Gat-Rimọn akwu attara k'iwoni s'etzirakpo pyabẹ em-echi ọttọhk.
0615190096	Iwa bẹ atzọkha ibhon ifa k'ibhaakha rani sa Manasẹ anang Taanak ọmaana Gat-Rimọn akwu attara k'iwoni s'etzirakpo pyabẹ em-echi ọttọhk.
06151a0088	Iwa bẹ atzọk ibhon nna jobh ọmaana iwoni s'etzirakpo pyabẹ em-echi ọttọhk, anang nnọmma s'efonamma cha Kohat, p'an-arikhi.
06151b012b	Wa bẹ anangi nnọmma sa Lẹvi s'anọng pa Gershọn: ttẹwọr k'ibhaakha rani s'anọng pa Manasẹ, ọmaana Golan ka Bashan (kw'ode odedenmon kw'ichubhabe s'ọnọng kw'ọrọbhi ebhon) ọmaana Bẹ-Ẹshtera, akwu attara k'iwoni s'etzirakpo pyabẹ em-echi ọttọhk, kw'osi ibhon ifa;
06151c0040	k'ẹkhọma ch'Isaaka bẹ atzọkha ibhon sa Kishiyon, Daberat
06151d0069	Jarmut ọmaana Ẹn-Ganim akwu attara k'iwoni s'etzirakpo pyabẹ em-echi ọttọhk, kw'osi ibhon inna;
06151e004c	k'ẹkhọma ch'Ashẹr bẹ abhaangi ibhon ina s'ide Mishal, ọmaana Abdon
06151f006b	ọmaana Helkat ttara Rehob, akwu attara k'iwoni s'etzirakpo pyabẹ em-echi ọttọhk, kw'osi ibhon inna.
06152000f6	K'ẹkhọma cha Naphtali bẹ atzọkha Kadẹsh ka Galilee (kw'ode odedenmon kw'ichubhabe s'ọnọng kw'ọrọbhi ebhon), ọmaana Hamọt-Dọr ọmaana Kartan, akwu attara k'iwoni s'etzirakpo pyabẹ em-echi ọttọhk, kw'osi ibhon ittaan.
061521008b	Biphyir-phyir wa ibhon sa nnọmma sa Gẹrshọn ide ibhon jobh obhiri ittaan, akwu attara k'iwoni s'etzirakpo pyabẹ em-echi ọttọhk.
061522008c	Iwa bẹ anangi nnọmma sa efonamma cha Mẹrari (p'ade anọng pa Lẹvi p'arikhi): ttẹwọr k'ẹkhọma cha Zẹbulun, Jokneyam, Karta
0615230066	Dimna ọmaana Nahalal, akwa attara k'iwoni s'etzirakpo pyabẹ em-echi ọttọhk, kw'osi ibhon inna.
0615240050	K'ẹkhọma cha Reubẹn bẹ atzọkha ibhon inna s'ide, Bezer ọmaana Jahaz,
061525006e	ọmaana Kedemot ttara Mephaat, akwu attara k'iwoni s'etzirakpo pyabẹ em-echi ọttọhk, kw'osi ibhon inna;
0615260098	k'ẹkhọma cha Gad wa bẹ atzọkha ibhon inna s'ide Ramot-Gilead (kw'ode odedenmon kw'ichubhabe s'ọnọng kw'ọrọbhi ebhon) ọmaana Mahanayim,
0615270060	ọmaana Hẹshbọn ọmaana Jazer, akwu attara k'iwoni s'etzirakpo pyabẹ em-echi ọttọhk.
0615280069	Biphyir-phyir wa bẹ akkem ibhon jobh obhiri ifa anang nnọmma sa Mẹrari s'iwa nde anọng pa Lẹvi.
06152900b8	Biphyir-phyir wa anọng pa Lẹvi akhaam ibhon arọbh afa obhiri izenanttaan k'ẹkhọma ch'iwa anọng p'Israẹl arukhi akwu attara k'iwoni s'etzirakpo pyabẹ em-echi ọttọhk.
06152a0079	Iwa obhon kpenamkpen ọkhaam iwoni s'etzirakpo em-echi ọttọhk s'ikhọr-ẹ. Wa kwẹ ode mando m'ibhon nna biphyir.
06152b00c2	Mando wọ kw'iwa Ọvaar Ibinọkpaabyi ọnangi anọng p'Israẹl ẹkhọma nda biphyir ch'iwa okk'ochekhi ọnang ab'otte pabẹ. Wa bẹ atzọkha ẹkhọma nda mach'ekkema chabẹ, aruk.
06152c011d	Wa Ọvaar Ibinọkpaabyi ọnang bẹ ẹwọhngkwokha k'eden kpenamkpen, mach'iwa okk'ochekhi ọnang ab'otte pabẹ. Wa ọttattaanga-nọng kwabẹ manda wani kw'ọfha obe bẹ abẹ kode; da iwa Ọvaar Ibinọkpaabyi otte attattaanganọng pabẹ biphyir ọbọhk ọnang bẹ.
06152d0088	Wa nchekhi nkkakka biphyir s'Ọvaar Ibinọkpaabyi osi ọnang anọng p'Israẹl ngaama ẹjaakhi, manda dani ch'ẹkhaam echuna kede.
061601007b	Iwa Joshua oyeri anọng p'ẹkhọma cha Reubẹn, ọmaana cha Gad, ọmaana ibhaakha rani s'anọng pa Manasẹ otzobha,
06160200ce	oben bẹ bi, “Bọng akk'idik biphyir sa Mosẹs kw'ode ọtzọhmnọng kw'Ọvaar Ibinọkpaabyi okk'bọng ọtzọhna, asa. Bọng akk'eho abira ahakha anang idik biphyir sa kaam nkk'bọng mgbaakha.
06160300c5	Bọng ayokh-obhon p'Israẹl kabhumi m'ogbe nwa biphyir maa, apyiri k'ewu cha mayina. Bọng akk'ọtzọhm f'Ọvaar Ibinọkpaabyi, kw'ode Ibinọkpaabyi kwabọng ọtzọhni bọng asa akyera.
061604011c	Ma, Ọvaar Ibinọkpaabyi okk'ayokh-obhon pabọng p'Israẹl odidiri ọnanga, mach'iwa ochekhi. Bọng na kpa nnam abhana kabọng k'ihọhm, k'ẹkhọma ch'iwa Mosẹs kw'ode ọtzọhmnọng kw'Ovaar Ibinọkpaabyi, okkem ọnang bọng k'okhubha kw'ewuchen em-eyin ka Jọrdan.
061605017f	Yina, bọng dọkha ogbe ahok asana ọmaana aphaangi p'iwa Mosẹs kw'ode ọtzọhmnọng kw'Ọvaar Ibinọkpaabyi ọnangi bọng. Tte Ọvaar Ibinọkpaabyi, kw'ode Ibinọkpaabyi kwabọng ọdaak bọng, bọng nnuk akpen atzor ka ndọhna sẹ, bọng ahakha eho anang asana pẹ, bọng aphe nnam ka kẹ, bọng akpobh-ẹ ttara nttem ọmaana agbagba pabọng biphyir!”
0616060063	Mẹ wọ ofon, wa Joshua osi bẹ ittabọhng, ọtzọhm bẹ akpa nnam abhana ka bẹ k'ihọhm.
0616070134	(Wa Mosẹs okk'ibhaakha rani s'anọng p'ẹkhọma cha Manasẹ, irerek ọnanga ka Bashan; wa Joshua ọnang ibhaakha nnonggo irerek k'okhubha kw'ewuchen em-edimi ka Jọrdan, ọbaanga ayokh-obhon pabẹ p'Israẹl). Wa Joshua osi bẹ ittabọhng mada ọtzọhmi bẹ akpa nnam abhana kabẹ k'ihọhm,
061608010a	oben bi, “Bọng dọkha ẹkhakhaama k'ọhaabh, ọmaana abhaam k'ọhaabh, ọmaana silva, ọmaana gol, ọmaana brọns, ọmaana mgbakha ttara ọbọra k'ọhaabh. Bọng kkema ọgbọm fa bọng achi k'attattaanga-nọng pabọng, anang votte pabọng.”
061609014e	Mẹ wọ ofon, anọng p'ẹkhọma cha Reubẹn, ọmaana cha Gad ttara ibhaakha rani sa Manasẹ, abina aji anọng p'Israẹl ka Shilo k'ékhọma cha Kenaan. Bẹ akpa nnam abhana k'irerek sabẹ ka Gilead, kw'ode irerek sa bẹ akk'atzọkha akhaama, atzor k'odem kw'Ọvaar Ibinọkpaabyi okk'orenga ka Mosẹs ọtzọhn bẹ.
06160a00f2	K'ogbe kwa bẹ apyiri ka Gẹlilọt ọbaanga ka Jọrdan k'ẹkhọma cha Kenaan, anọng p'ẹkhọma cha Reubẹn ọmaana cha Gad, ttara ibhaakha rani s'anọng pa Manasẹ asi ijafọhnibe s'ijibhi-ojibh, ma Jọrdan ọkhaan-ọkhaan.
06160b00a3	Mada anọng p'Israẹl abhaang bi, bẹ akk'ijafọhnibe asa k'enem ch'ẹkhọma cha Kenaan ka Gẹlilọt ọbaanga ka Jọrdan k'okhubha kw'anọng p'Israẹl,
06160c0051	obhon kw'Israẹl biphyir atzobha ka Shilo bi, bẹ atza arima anọng mba abẹ.
06160d00b9	Mando kw'anọng p'Israẹl atzọhmi Phinehas kw'ode nnwa kw'Eleaza, kw'ode ọfọhnẹja kw'ẹkhọma cha Gilead ka Reubẹn, ọmaana Gad ttara ibhaakha rani s'anọng pa Manasẹ.
06160e00b0	Bẹ atzọhm adeho anọng jobh atzọn-ẹ abẹ. Wa ẹkhọma ch'Israẹl kpenamkpen ẹtzọhmi odeho wani, kw'ode oho kw'ẹhọhmmọr cha nnọmma s'anọng p'Israẹl.
06160f0073	Mada bẹ atza ka Gilead ka Reubẹn, ọmaana ka Gad ttara ibhaakha rani s'anọng pa Manasẹ, bẹ aben bẹ bi:
061610010e	“Anọng biphyir p'ebhonmọr nda ch'Ọvaar Ibinọkpaabyi abeni bi: ‘Okhuri yan kwa bọng arẹkhi Ibinọkpaabyi kw'Israel manda o? Bọng an-asi yan akpa nnam abọra Ọvaar Ibinọkpaabyi, atza asi ijafọhnibe anang for sabọng atzima anang-ẹ oho-gaang o?
06161100cc	Ode bi, wa ẹkhọngkwuri cha Poer man k'ebeng o? Man ephyok ch'ẹkhọngkwuri nduma ka for saman otzim ogbobhi maa, apyiri k'ewu cha mayina, chibhi da iwa itzama itto k'obhon kw'Ọvaar Ibinọkpaabyi!
06161200d4	Bọng nnam kakpa abọra Ọvaar Ibinọkpaabyi madẹdẹn nwa e. “‘Idikha bọng anangi Ọvaar Ibinọkpaabyi oho-gaangi mayina, ophyini, kẹ ọdọkhi ettem otzima otzor ebhonmọr ch'Israẹl biphyir.
061613017e	Idikha irerek sa bọng arukhi in-ijibhi, bọng jekha k'irerek s'Ọvaar Ibinọkpaabyi, kẹ da irukhabe s'Ọvaar Ibinọkpaabyi iwobh, akwu aruk ka ttara man. Yina, bọng eho kàgaangi atzima atzor Ọvaar Ibinọkpaabyi ọmaana maman o bi, bọng an-asi ijafọhnibe idọdọk anang for sabọng, oyongi ijafọhnibe s'Ọvaar Ibinọkpaabyi, kw'ode Ibinọkpaabyi kwaman o.
06161400d2	Mada iwa Akan kw'ode nnwa kwa Zera ọkhaam ottotto, okhuri ẹtzọhmkpo py'Ibinọkpaabyi, wa ebhonmọr ch'Israẹl makhọra ettuma kẹtzọkh o? Wa kẹ mancheni arang ope k'ẹkhọngkwuri chẹ e.’”
061615008b	Mẹ wọ osi, ẹkhọma cha Reubẹn ọmaana cha Gad, ttara ibhaakha rani s'anọng pa Manasẹ, abhina adeho pa nnọmma s'Israẹl bi,
0616160138	“Ibinọkpaabyi kw'Ọyọhng, kw'ode Ọvaar Ibinọkpaabyi! Ibinọkpaabyi kw'Ọyọhng, kw'ode Ọvaar Ibinọkpaabyi! Kẹ wọ orong f'osi! Tte anọng p'Israẹl abira aronga! Idikha odik nwa ode oho-gaangi, obiro ode irẹrẹkhi ọnang Ọvaar Ibinọkpaabyi, bọng man ọbọhk kàtte moruk akpen.
0616170143	Idikha mokk'ijafọhnibe ọsa ọnang for saman bi motzima mẹ ọkpa nnam ọbọra Ọvaar Ibinọkpaabyi, ọmaana bi, mosi nnanga nkwọmisẹ ttara nnanga s'abọkpa, obiro ode bi, mọfọhni ẹja cha nnanga s'odidiri m'ibe nna, tte Ọvaar Ibinọkpaabyi ọkhaam ma for sẹ, ọnaang man ettuma ch'ẹdaakh-ẹ.
06161800da	“Mma e, mosi ijafọhnibe nna ttara nttak bi, ikhina ewu dani va pa va pabọng, aben va pa va paman oben bi, ‘Bọng ofor-gbakha kwa bọng akhaam ttara Ọvaar Ibinọkpaabyi, kw'ode Ibinọkpaabyi kw'Israẹl o?
061619013e	Ọvaar Ibinọkpaabyi ọkk'ọsa bi, Jọrdan ode enem cha maman ttara bọbọng anọng p'ẹkhọma cha Reubẹn, ọmaana ch'anọng p'ẹkhọma cha Gad! Bọng ekkema k'Ọvaar Ibinọkpaabyi kakhaam.’ Ofona mẹ, va pa va pabọng afha asi va pa va paman aningi ojora f'Ọvaar Ibinọkpaabyi, dọk akhaam.
06161a008e	“Kẹ wọ osi moben bi, ‘Tte modo for osi ijafọhnibe e. Yina, man ijafọhnibe sa nnanga nkwọmisẹ, obiro ode sa njafọhni kosi.’
06161b0171	K'eden ndonggo, ijafọhnibe nna ide macha nttẹsẹ k'ottem kwa maman ttara bọbọng, ọmaana igbọ s'íkwu k'ororo bi, motzima nnanga kwọmisẹ saman, ọmaana njafọhni ttara nnanga s'odiriri, mokpobha Ọvaar Ibinọkpaabyi k'irukhabe sẹ. Mẹ wọ osi, va pa va pabọng, bẹ va pa va paman káben bi, ‘Bọng ekkema k'Ọvaar Ibinọkpaabyi, kakhaam.
06161c015f	Iwa moben bi, ‘Idikha ewu dani bẹ abeni man, obiro ode bi, bẹ abeni va pa va paman, móbhina bi: Bọng kkeri ngeri s'ijafọhnibe s'Ọvaar Ibinọkpaabyi ma, s'iwa abotte paman asi. Wa bẹ sẹ kasi bi, bẹ am-asi nnanga nkwọhmisẹ mẹ, kaambi njafọhni rọ. Yina, wa bẹ asi sẹ bi, ide nttẹsẹ k'ottem kwa maman ttara bọng.’
06161d015f	Tzọtzọmi okponga k'idachen bi, mọnang Ọvaar Ibinọkpaabyi oho-gaangi, mobiro ọkpa nnam ọbọr-ẹ k'ewu cha mayina bi, mosi ijafọhnibe sa nnanga nkwọmisẹ ọmaana nnanga s'abọkpa ttara njafọhni, oyongi ijafọhnibe s'Ọvaar Ibinọkpaabyi, kw'ode Ibinọkpaabyi kwaman s'ibe k'itzitzikha s'irukhabe s'Ọvaar Ibinọkpaabyi.”
06161e00e1	Mada Phinehas kw'ode ọfọhnẹja ọmaana adeho p'obhon p'ade; aho pa nnọmma s'anọng p'Israẹl abhaang atzim p'anọng p'ẹkhọma cha Reuben, ọmaana pa Gad ttara p'anọng pa Manasẹ agbaakhi, ettem ẹdaam bẹ.
06161f016e	Wa Phinehas kw'ode nnwa kw'Eleaza, kw'ode ọfọhnẹja oben anọng p'ẹkhọma cha Reuben, ọmaana pa Gad ttara pa Manasẹ bi, “Mokk'oronga mayina bi, Ọvaar Ibinọkpaabyi owobh ma ttara man, okhuri da bọng ani Ọvaar Ibinọkpaabyi irẹrẹkhi ahọk m'odik nwa. Bọng akk'anọng p'Israẹl akkaana arọbha ka mbọkh s'Ọvaar Ibinọkpaabyi e.”
06162000ed	Iwa Phinehas kw'ọde nnwa kw'Eleazar, kw'ọde ọfọhnẹja ọmaana adeho mba, abina k'ewobha cha bẹ akk'akhaama ttara anọng p'ẹkhọma cha Reuben ọmaana pa Gad ka Gilead, atza agbaak anọng p'Israẹl odik kwa bẹ abhaang.
06162100e6	Iwa odik nwa kwa bẹ abhaang ọdaam anọng mba ettem, bẹ an-arima Ibinọkpaabyi. Mẹ wọ ofon, wa bẹ odik okhuri egbong cha bẹ atzima adimi ẹkhọma nda ch'anọng pa Reubẹn ọmaana pa Gad arukhi, dọk kagbaakhi.
06162200b8	Iwa ẹkhọma ch'anọng pa Reubẹn ọmaana pa Gad anang ijafọhnibe nna che nda: Nttẹsẹ kw'owobh k'ottem kwaman ode bi, Ọvaar Ibinọkpaabyi, wọ ode Ibinọkpaabyi kwaman.
061701009d	K'ogbe-bhirada kw'Ọvaar Ibinọkpaabyi ọkk'anọng p'Israẹl ẹmẹm ọnanga k'attattaanga-nọng pabẹ biphyir, wa Joshua kw'ọkk'ọtzama kpọng,
0617020095	oyeri anọng p'Israẹl biphyir, adedennọng, ọmaana adeho, ọmaana asi-aponga ttara akhaan-nọng, ọben bẹ bi, “Kaam nkk'ndama kpọng e.
06170300c0	Bọbọng ọkhaam akk'idik kpenamkpen ara s'Ọvaar Ibinọkpaabyi, kw'ode Ibinọkpaabyi kwabọng ọkk'ọsa ka nho sabọng; iwa Ọvaar Ibinọkpaabyi wọ orim ẹrima ka nho sabọng.
06170400f8	Bọng jima odem kwa kaam nkk'irerek s'ẹkhọma ch'idibhon s'irikhi, s'ide idibhon sa kaam ngem k'ottem kwa Jọrdan ọmaana Ọraanga kw'ideden kwa Mẹditeraneya k'okhubha kw'ewuchen em-edimi, nkkema nnang ngọma sabọng mach'ekkema chabẹ.
0617050128	Ọvaar Ibinọkpaabyi ma for sẹ, kw'ode Ibinọkpaabyi kwabọng wọ orenga bọbọng abẹbẹ, ókhubh anọng mba. Kẹ ókhubh bẹ kabọng k'itzitzikha. Bọng ábira átzọkha irerek sabẹ akhaama mach'Ọvaar Ibinọkpaabyi, kw'ode Ibinọkpaabyi kwabọng, ochekhi ọnang bọng.
06170600c6	“Bọng gaangi for; bọng atzọkha ogbe ahakha eho anang atzim kpenamkpen pa bẹ akk'akkẹra ka Nnwẹr kwa Aphaangi pa Mosẹs, bọng nnam kakpa abọra bẹ k'odimbọhk ttara ka kwabọhk.
06170700d8	Bọng for kàbhuna ttara idibhon nna s'irikhi k'ottem kwabọng. Bọng che p'akha pabẹ kàyeri, bọng che pabẹ kàtzima asi echekhi. Bọng kakhaambi akpobha bẹ, bọng kakhaambi abira arakha eho anang bẹ.
0617080076	Yina, bọng akhaambi abọkha Ọvaar Ibinọkpaabyi, kw'ode Ibinọkpaabyi kwabọng atzima, macha bọng am-asi ma.
06170900a6	“Ọvaar Ibinọkpaabyi okk'idibhon s'igaangi-ọgaangi ibiri ikhaama ẹfa okhubha kabọng k'itzitzikha, ọnọng kw'ọfha obe bọng abẹ maa, apyiri ma kode.
06170a00b0	Ọnọng wani om-okhubh anọng nnọhna mfa obhiri arọbh jobh, okhuri da Ọvaar Ibinọkpaabyi, kw'ode Ibinọkpaabyi kwabọng orim erima chabọng, mach'iwa okk'ochekhi.
06170b007a	Mẹ wọ osi, bọng hakha for atzọkha ogbe bi, Ọvaar Ibinọkpaabyi, kw'ode Ibinọkpaabyi kwabọng ọdaak bọng.
06170c009e	“Yina, idikha bọng an-abhakhi atza attara anọng p'idibhon nna p'arukhi akpen abira arik k'ottem kwabọng, bọng aba bẹ abira arenga iyok ttara bẹ,
06170d017c	mẹ kwa bọng atzima aronga bi Ọvaar Ibinọkpaabyi, kw'ode Ibinọkpaabyi kwabọng, idibhon nna dọk kokhubh kabọng k'itzitzikha. Yina, bẹ án-ade agbagbara, ọmaana amma amunapẹ anang bọng. Bẹ abira áde mach'achiva p'aphyori bọng ka nnam, ttara mach'ere ka bọng ka chen maa, bọng adimi m'irerek nna ọkkakka s'Ọvaar Ibinọkpaabyi okk'bọng ọnanga.
06170e00c4	“Kaam ebowu chaam em-efor. Bọng arong ka nttem sabọng ttara k'agbagba pabọng kẹ bi, nchekhi nkkakka s'Ọvaar Ibinọkpaabyi biphyir ngaama ẹjaakhi, manda dani ch'ẹkhaam echuna kede.
06170f0144	Yina, odem nwa kw'idik ọkkakka biphyir s'Ọvaar Ibinọkpaabyi, kw'ode Ibinọkpaabyi kwabọng okk'ochekhi ọnang bọng ikhaam ẹjaakhi, mando wọ kw'obiro ọtzọhm itzama s'ọkk'ọkhama maa, kẹ Ọvaar Ibinọkpaabyi, kw'ode Ibinọkpaabyi kwabọng, odimi bọng k'irerek ọkkakka nna s'okk'bọng ọnanga.
0617100158	Idikha bọng atto k'echekhi ch'Ọvaar Ibinọkpaabyi, kw'ode Ibinọkpaabyi kwabọng okk'bọng ọnanga, bọng afona atza akpobha ekpo ẹdọdọk, bọng abira ahakha eho anang pyẹ, Ọvaar Ibinọkpaabyi, ódókhi ettem otzima otzor bọng, kẹ obiro odimi bọng m'ẹbhar-ẹbhar, m'irekirek ọkkakka nna s'okk'bọng ọnanga.”
06180100d7	Iwa Joshua oyeri ngọma s'Israẹl biphyir otzobha ka Shẹkẹm. Wa obiro oyeri adedennọng, ọmaana adeho, ọmaana asi-aponga ttara akhaan-nọng p'Israẹl, bẹ atza ayin Ọvaar Ibinọkpaabyi k'itzitzikha.
061802010e	Wa Joshua oben anọng mba biphyir bi, “Ma wọ ode odik kw'Ọvaar Ibinọkpaabyi, kw'ode Ibinọkpaabyi kw'Israẹl ọgbaakhi bi: ‘Iwa ab'atte pabọng attar Tẹra kw'ode otte kw'Abraham ọmaana Nahor, arukhi k'okhubha kw'Ọraanga kw'Euphrates am-akpobha ikha.
06180300b1	Yina, wa kaam ndọkha Abraham kw'ode otte kwabọng, k'okhubha kw'Euphrates ndim-ẹ nchina k'ẹkhọma cha Kenaan. Nnang-ẹ va ọmaana va pa va k'ọhaabh. Nnang-ẹ Isaak,
061804009b	mbiri nnang Isaak, Jekọb ttara Ẹsau. Wa nnang Ẹsau okhubha kwa mgbegbeho ka Seir. Yina, wa Jekọb ọmaana ẹhọhmmọr chẹ afona achina k'Ijip.
0618050094	“‘Mẹ wọ ofon, wa ndọhm Mọses omanna Aarọn kẹ, nnenga k'idik sa nsi nnang anọng p'Ijip ọmmamma, yina, nnang bọbọng ẹkkaana.
06180600d6	K'ogbe kw'iwa ndim anọng pọ mbina k'Ijip, bọng akwu apyiri k'ọraanga kw'ideden, wa anọng p'Ijip atzima akpaar pa nnyanyaang mmindọr ọmaana ayaari-nnyanyaang, akhubh bẹ maa, apyiri k'Ẹraanga-khora.
0618070124	Yina, wa bẹ abhom ẹkkaana anang Ọvaar Ibiọnkpaabyi, wa ọtzọhm ipyerungi k'ottem kwabọng ttara anọng p'Ijip. Otzima asi p'ọraanga kw'ideden obubha bẹ. Wa bọng atzim chen pabọng are odem kw'iwa nsi anọng p'Ijip. Wa bọng aruk k'ibe s'anọng an-arukhi k'ogbe-bhirada.
06180800fe	“‘Iwa ndima bọng mpyiri k'irerek s'anọng p'Amọr, p'arukhi k'okhubha kw'ewuchen em-eyin, ka Jọrdan. Wa bẹ arima bọng abẹ, yina, wa kaam ngema bẹ nnang bọng. Wa ndimi bẹ m'itzitzikha sabọng, bọng atzọkha irerek sabẹ akhaama.
06180900bf	Kọgbe kwa Balak kw'ode nnwa kwa Zipor, kw'ode Ọvaarnọng kwa Moab, odo for bi orima anọng p'Israẹl abẹ, kẹ ọtzọhm Balaam kw'ode nwa kwa Beor bi, ọtza ọnang bọng ẹmma.
06180a008c	Yina, wa kaam Balaam itzọhng kinyong. Mẹ wọ ofon, wa Balaam on-odo bọng igbe k'ẹkhaan. Wa nkkaana nnọbha bọng ka mbọhk sẹ.
06180b0124	“‘Iwa bọng ajekha Ọraanga kwa Jọrdan, achina ka Jeriko. Wa anọng pa Jeriko arima bọng abẹ, mach'iwa anọng p'Amọr asi, ọmaana anọng pa Pẹriz, ọmaana pa Kenaan, ọmaana pa Het, ọmaana pa Girgash, ọmaana pa Hiv ttara pa Jẹbus. Yina, wa ngema bẹ nnang bọng.
06180c00a9	Wa kaam nchi eden ndọhm abhingi-nho, p'akhubhi bẹ, ttara avaarnọng p'Amọr afa k'itzitziha sabọng. Wa bọng akkangkkaang ọmaana ayuk katzim akhema erima nda.
06180d00bb	Wa kaam nnangi bọng irekrek sa bọng ani ikhem arẹ, ọmaana idedenmon sa bọng ani asi. Yina, bọng aruk mẹ, abira achi achiduk pa grep ọmaana p'oliv, pa bọng ani agboni.’
06180e00fd	“Mẹ wọ, bọng gaama ojora f'Ọvaar Ibinọkpaabyi, bọng abira akpobh-ẹ ttara nnam-ophephe biphyir. Bọng mmari ikha s'iwa ab'atte pabọng akpobh k'okhubha kw'Ọraanga kw'Euphrates ọmaana k'Ijip. Bọng an-akpobha Ọvaar Ibinọkpaabyi.
06180f0182	Yina, idikha bọng achibhi bi, Ọvaar Ibinọkpaabyi bọng ẹja kochi bi, bọng akpobha, bọng si ochibhi k'ewu cha mayina atzekha ọttọhk fa bọng akpobha, s'ode ikha s'iwa ab'atte akpobh k'okhubha kw'Ọraanga kw'Euphrates, obiro ode ikha s'anọng p'Amọr kwa bọng arukhi k'irerek sabẹ o. Onode kaam ọmaana ẹhọmmọr chaam, mókpobha Ọvaar Ibinọkpaabyi e.”
