010000000b	Murhondêro
18201300a3	We nn’oburhimanya omu mihigo midârhi we n’obulenga boshi, onakazisingiriza abantu ly’oyishimanyihemba ngasi muguma nk’oku ebijiro n’engeso zâge binali!
18201400a9	We wajiraga ebisômerîne, wayêrekana n’ebirhangâzo e Mîsiri, na kuhika ene omu Israheli, n’ahandi hoshi. Kuhika ene ntâye orhakuyîshi, na ntâye orhakurhînya.
182015008b	Warhenza bene Israheli omu bujà bw’e Mîsiri, wabayêreka ebirhankaderhwa erhi olambûla okuboko kwâwe bagwârhwa n’ecôbà bwenêne.
1820160069	Buzinda wabahà El’ishwa walaganyagya ba­ shakulûza bâbo, eci cihugo cihululamwo amarhà n’obûci.
18201700c6	Bàyisha, bàyûbaka­ mwo, ci aye! barhayumvagya, barhanashimbaga amarhegeko gâwe. Barhajiraga ciru n’ehitya muli ebi wali obahûnyire., lêro banacikulilira obu buhanya rhudwîrhe rhwabona ene.
18201800ef	Bene Babiloni bano bakola bayisha bârhunyagaco; aha engôrho yâbo yamâgera hakulikire ishali n’agandi maligo ga ngasi lubero, Yeruzalemu akola ali omu maboko ga bene Kaldeya. Ebi wàderhaga bino byabîrage, nâwe wêne onali wakubona.
18201900a1	Mâshi, k’arhali wêne wàmbwîraga erhi: «Gula elyo ishwa, oliganjire enfranka aha balume, n’obwo omurhundu gwîrhu gwagwîre omu maboko ga bene Kaldeya!»
18201a003f	Muli ago mango nanaciyumva izù lya Nyakasane lyàmbwîra erhi:
18201b0068	«Lolà oku nie Nyamuzinda, Nyakasane, Lulema w’ebibâho byoshi; ka hali ebya­ nkanyabira en’igulu?
18201c0081	“Co cirhumire, ndesire oku nahà bene Kaldeya olu lugo lwinyu, nluhire omu maboko ga Nabukondonozori, mwâmi w’e Babiloni;”
18201d0112	“engabo z’e Kalideya zidwîrhe zabalwîsa, zâyanka ecishagala cinyu, zâcitwanirakwo omuliro, zâyôca na zirya nyumpa bakazâgirherekêreramwo Bali, bakaziginamurhûla­ mwo obukù n’amamvu, bàshengeramwo na banyamuzinda b’agandi mahanga, bangayisize bwenêne”.
18201e00ba	“Bulya, kwo Nnâmahanga adesire, nabwîne oku kurhenga mîra bwenêne, bene Israheli na bene Yûda barhahwa barhakola ebigalugalu, (bene Israheli banshologosire n’ebijiro byâbo)”.
18201f00ad	“Nabwîne oku kurhenga baguyûbasire, ogu murhundu gwinyu gwanjizire oburhè bwenêne, na kuhika ene ncigayire bwenêne. Nkolaga naderha bagushenye, guntenge omu masù”.
18202000cb	“Bulya ebyâha bya bene Israheli na bene Yûda byaluzire bwenêne, ôli bône­ne, ôli abâmi bâbo, abarhambo bâbo, abadâhwa n’abalêbi bâbo, oli olubaga lw’e Buyuda n’olw’e Yeruzalemu”.
182021008f	“Banyêrekeza omugongo banfulika obusù bwâbo, n’erhi mbahugûla, ntâye wantezire amarhwîri mpu ciru ayumve ebi ndwîrhe nabahanûla”.
1820220067	“Ci bwenêne, bàlêrha enshusho zâbo omu ka-Nyamuzinda kâni. Bàka­shahula kwoshi bàkahemula”.
18202300e6	“Bàyûbakira amahêro ga Baali omu kabanda k’e Ben-Hinomu mpu bakazibagiramwo bagala bâbo n’abâli bâbo nterekêro emwa omuzimu oderhwa Moleki; ebyo ntalizigibigerêreza, okuhemuka kwa mênè okwo oku mulala gwa Yûda”.
18202400a2	“Co cirhumire muyumvagye oku Nyakasane aderhîre ogu murhundu badwîrhe baderhera mpu ebyoji, akalengwe n’ecihûsi byo mwâmi w’e Babiloni arhuhimiremwo”.
1820250090	“Nâshûbûza olubaga lwâni kurhenga omu mahanga bàyâkiraga oburhè bwâni, nkolaga nabashanganya mbabwârhaze badêkerere omu murhûla”.
1820260036	“Babè lubaga lwâni, bulya nie Nyamuzinda wâbo”.
182027007d	“Nkola nâshubibahà murhima muguma na ngeso nguma, lyo bashubinkenga lwoshi, nâbahà oluhembo na buzinda abâna bâbo”.
1820280095	“Nashubisêza rhweshi nabo amalaganyo garhakahwa, nâbashimbulira, njè nabahugûla, bakazirhînya enjira mbî, bakulikîre ezâni nâbayêreka”.
182029006c	“Omwîshingo gwâni guli omu kubarhabala, nâbayûbakira muli eci cihugo: bo bulonza bwâni boshi obwo”.
18202a0088	“Nyakasane adesire erhi nka kulyâla nabayohagakwo amaligo manji manji, kwo nâbashobôza n’ebinja bya ngasi lubero mbalaganyize”.
18202b00ab	“Bâshubigula amashwa muli eci cihugo badwîrhe baderha mpu cikola cicibêra bwêrûlè, ntà bicidundamwo: ntà muntu, ntà hisimba erhi bene Kalideya bayûsicihima”.
18202c016c	“Bâshubikazihimûla amashwa, bâkazikomêreza ebyemêzo by’okugula, bâhirekwo n’akashè, balonze n’ababihirakwo ecunkumwe omu cishagala ca Benyamini n’omu bindi bishagala binayêgîre Yeruzalemu, n’omu bishagala bya Yûda na muli birhondo bya Nêgebu. Bulya Nyakasane adesire erhi, nkola nashubigalula balyâla bene Israheli balibamajirwa bajà”».
182101006f	Amango Yeremiyahu ali mushwêkere omu côgo c’abasirika aha bwâmi, Nyakasane ashubimuganîza amubwîra erhi:
1821020065	Oyumve oku Nyamuzinda arhumire, ye walemaga igulu, alibumba analiyimanza. Izîno lyâge ye Nyakasane!
1821030044	Onshenge, nakushobôza: nakumanyîsa amahwe manene orhashubigiyumva.
182104007d	Nyakasane, Nyamuzinda w’Israheli adesire oku enyumpa za muli olu lugo n’ez’abâmi b’e Yûda bâzishâba omu ntambala,
18210500e3	n’abantu badwîrhe ba­lwîsa bene Kaldeya, balonza okubumba ecishagala coshi mirhumba, balya ba­ntu niene nahânaga erhi burhè n’omutula birhuma, balya bene Israheli obubî bwâbo bwarhumaga nkola nahehêrera Yeruzalemu.
1821060090	Lolaga oku nkola nashububabà lukogo, nâbahà obufumu n’okubabuka, nâsêza n’amalaganyo gâni g’omurhûla, n’obudahemuka rhweshi nabo.
1821070072	Nâgalula bene Yûda na bene Israheli n’okubakûla omu bujà, nâshubibayûbakira nka kulyâla byanali burhanzi.
1821080067	Nâbacêsa nambababalire ebyâha byâbo byàli bingayisize, byàrhumaga barhakulikira amarhegeko gâni.
18210900db	Yeruzalemu lyâbà izîno lya mwishingo bwenêne, na lya cikengwa embere z’agandi mahanga goshi g’en’igulu, hano gayumva ebi nâjira gâgwârhwa n’obwôba bwenêne bulya aminjà nâkolera Yeruzalemu guli mwandu.
18210a00d0	Nyakasane aderha erhi: eno badwîrhe baderha mpu: «bikola bigûkà birhalimwo ciru n’omuntu ciru n’ehisimba», n’omu njira z’e Yûda n’ez’e Yeruzalemu murhacigera hyadunda, bakola bashubiyumvamwo
18210b0191	ecihôgero c’omwîshingo, n’enyimbo z’abahya n’ez’abandi bantu bajihana enterekêro n’entûlo zâbo z’okuvuga omunkwa omu ka-Nyamuzinda, bayishikazicitakira mpu: «Ayâgirwe Nyakasane w’emirhwe bulya ali mwinjà, obuzigire bwâge buli bw’e­ nsiku n’amango». Bulyâla adesire erhi nâgalula ngasi balya babîre bajà, mbà­shubize omu cihugo câbo, nka kulyâla byanali burhanzi.
18210c009e	Nyakasane Nyamuzinda adesire erhi: muli eci cihugo banyagaga, ntà muntu, ntà nsimba bicicîdundamwo, hasigiremwo amalambo gône, banaciyâbuliramwo ebibuzi.
18210d00f3	Ashubiderha erhi: omu bishagala by’omu ntondo, n’omu bihugo by’olunda lw’idako, n’e Nêgebu kuhika emwa bene Benyamini, n’eburhambi bwa Yeruzalemu n’omu bishagala bya Yûda, ebibuzi bikola byâshubira omu masô g’ababiyabwîre.
18210e0091	Nyakasane adesire erhi, alagi oku ensiku ziyishire, ezi nayukirizamwo amalaganyo mahyâhya g’obusîme nalaganyagya bene Israheli na bene Yûda.
18210f0080	Muli ezo nsiku, n’ago mango, nahà Daudi oluburha lw’okuli, lwo lwalandiza obudahemuka n’obushinganyanya omu cihugo coshi.
182110007b	Muli ago mango nâyôkola Yûda na Yeruzalemu arhûlûle. Eci­shagala cinyu baciyîrika elya «Nyamuzinda-okuli-kwîrhu».
1821110067	Bulya Nyakasane adesire erhi, ntà mango ciru n’amaguma Daudi abula omwîmo omu bwâmi bw’Israheli.
1821120086	Na ntà mango hâbulike abadâhwa bene Levi bakazintûla enterekêro n’okukazitumbûla enshangi n’okuhêra karhahusa buca buyîra.
1821130038	Kandi ebinwa bya Nyakasane byarhindakwo Yeremiyahu erhi:
1821140084	Kwo Nyakasane adesire ntya: Amango hânabè owahindula irhegeko nahîre obudufu n’omûshi nti bikazikulikirana oku nanabibwîraga,
18211500d0	lyo n’amalaganyo gâni na Daudi gahwa, lyo hânabule n’owayîma oku ntebe yâge, obwôla lyo n’amalaganyo najizire na bene Levi gahwa, lyo habulike abadâhwa bakazirhûla e­nterekêro omu maboko gâni.
18211600af	Nka kula emirhwe y’empingu erhankaganjwa, n’omushenyi gw’enyanja gurhankaganjwa, kwo nayûshûla iburha lya mwambali wâni Daudi, n’okuluza abadâhwa bakazinterekêra.
1821170036	Kandi Yeremiyahu anaciyumva akanwa ka Nyamuzinda erhi:
18211800b6	K’orhashubigibona oku abantu banakaziyisha mpu: «lêro erya milala ibirhi Nyakasane àzigiraga anayijanzire!» Bakola bakazishekera olubaga lwâni, barhanacilubona nka lwîshogwa.
1821190078	Lêro Nyamuzinda ayisha erhi: Ankabà arhali nie nalemaga omûshi n’obudufu, n’akabà arhali nie ntegeka en’igulu,
18211a0104	lyoki nankalekêrera bene Yakôbo n’omulala gwa mwambali wâni Daudi; lyoki nankabula n’okuyîmika omwâmi w’obushanja bwâge nti arhambule bene Abrahamu, bene Izaki na bene Yakôbo! Bulya nkola nâshubishubûza ababîre bajà, mbayêreke olukogo lwâni.
182201010b	Yeremiyahu anaciyumva akanwa ka Nyamuzinda, gali galya mango Nabukondonozori, mwâmi w’e Babiloni, n’omurhwe gw’engabo zâge goshi, n’ezindi mbaga z’en’igulu ali amâhima, câba n’ahandi hantu hoshi erhi bacîhindulîre Yeruzalemu n’ebishagala byâge;
1822020109	anaciyumva erhi: «Kwo Nyakasane, Nyamuzinda w’Israheli arhumire ntya: Ogende! Ojirhungâna Sedekyahu, mwâmi w’e Yûda, omubwîre erhi: Oyumve oku Nyakasane adesire: Erhi alaga oku nâhâna omu maboko ga mwâmi w’e Babiloni eci cishagala, naye ayishiciyôca.
18220300c2	“Nâwe orhafume bulyâla bakugwârha mpira bakugwâse omu ikumi ly’eminwe yâge. Okazilâba mwâmi w’e Babiloni omu masù naye akazikuderhêza mâsi-mâsi. Buzinda bakujâne e Babiloni”.
18220400ae	“Cikwône, waliha Sedekyahu mwâmi w’e Yûda, yumvîrhiza oku Nnâmahanga arhumire! Orhege amarhwîri ebikuyêrekire Nyakasane adesire bakubwîra, erhi: Orhafè côji”;
1822050154	“bulya wanafà n’obuholo. Nanka kulyâla habâga enshangi olu lwa bashakulûza bâwe, bo bali bakushokolîre omu kuyîma kuli eyi ntebe, kwo na nâwe bayishitumbûla omugî gw’enshangi, bakukuzemwo, bâkazicîtakira banakaziyimba gulya mulenge mpu: Ajewe Nyakasane, omwâmi wîrhu amafuluka! Niene nkudesire, kanwa ka Nyamuzinda”».
182206006b	Kwo n’okwo aha Yeruzalemu, omulêbi Yeremiyahu akazishambâlira Sedekyahu, mwâmi w’e Yûda eyo myanzi.
18220700d6	Ago mango erhi engabo za mwâmi w’e Babiloni zitulisire amatumu kuli Yeruzalemu n’emirhundu ya Yûda yali ecisigîre yalimwo Lakishi na Azeka, bulya omu mirhundu ya Yûda yoshi eyo ibirhi yali miyûbake buzibu.
1822080096	Yumvagi akanwa Nyamuzinda abwîraga omulêbi Yeremiyahu, ago mango erhi Sedekyahu amâyûsirhôla omuhigo, boshi n’olubaga lw’e Yeruzalemu lwoshi,
18220900d5	oku ngasi yêshi ashwêkûle abajà n’abajà-kazi ba Banyahebraniya. Ntâye omu baluzi n’omu lubaga loshi bayankaga ogwo muhigo, ntâye wali ogwâsirwe ajire mwene wâbo w’omunya-Yudeya mpu abè mujà wâge.
18220a00a9	Abaluzi n’oluba­ga bâli aha eyo ndagâno yafundikagwa, boshi bàlikûla ngasi muguma abajà bâge, abalume n’abakazi; boshi bayêmêra, ntâye wasigîre omu bujà.
18220b009e	Ci­kwône enyuma z’aho, batwa omu kanwa kâbo, bàshubiza balya bene wâbo bali bamalikûla Omu bujà bwa mîra. Bàshubirira abajà n’abajà-kazi bâbo.
18220c0035	Co ca­rhumire Nyamuzinda arhuma omulêbi Yeremiyahu,
18220d00b8	erhi: Kwo Nyakasane Nyamuzinda w’Israheli adesire ntya: Nabonaga nayanka omuhigo rhweshi na basho erhi mbakûla omu bujà e Mîsiri, erhi nyûsibayôkola omu marhabi. Nababwîra nti:
18220e0089	«Hano kugera myâka nda, ngasi muguma muli mwe, ânashwêkûle ngasi mwene wâbo Muhebraniya bamugulizagya ciru barharhegaga amarhwîri.
18220f00de	“N’obwo mwêhe mwâli mwamâleka ezo ngeso mbî za bashakulûza, mwarhondêra okukazikola ebishingânîne omu masù gâni; mwakazikûla bene winyu bali omu bujà, mwanacîgasha ciru, embere zâni, omu ka-Nyamuzinda”.
18221000d0	“Buzinda mwashubicîhindula, mwagayaguza izîno lyâni, ngasi muguma àshubirharhanya balya bajà, n’abajà-kazi, mwâli mwamalikûza, mwashubibasêza, balya mwâli mwamâlîka, mwabashubiza omu bujà”.
1822110109	“Co cirhumire Nyamuzinda aderha, erhi: Bulya murharhumikiraga erhi mbahûna nti ngasi muguma âkûle mwene wâbo omu bujà, nkolaga nâcîhindulirla mwe. Nâmukululira ebyôji, ecizombo n’ecihûsi. Nkola nâmuhindula bishahu by’abandi bâmi b’en’igulu”.
18221200f3	“Na balya bashamuka bàhakanaga a­marhegeko gâni, barhanakulikiraga amalaganyo balagànanaga omu masù gâni, nâbajira nka kulyâla bàjiraga gulya mutwîra gw’akanina barhemagamwo kabirhi babulikazigera ekarhî k’ebihimbi byâkwo”.
182213008b	“Abarhambo b’e Yûda n’ab’e Yeruzalemu, abalamba, abadâhwa, n’olubaga lwoshi, ngasi balya banageraga ekarhî ka kalya kanina”.
18221400c6	“Mpizire oku nabahimîsa bagwè omu maboko g’abalenzi, n’omu mîno ga Nyamwilumbà. Ebirunda byâbo bibul’ilîrwa omu mpinga, enyunyi z’omu cirêre, n’ensimba z’emuzirhu zibashêge”.
18221500e4	“Sedekyahu mwâmi wa Yûda naye, n’abaluzi boshi, nabo nâbahana omu maboko g’abalenzi, omu maboko g’ababakulikire, n’omu maboko g’abasirika ba mwâmi w’e Babiloni n’obwo anali amârhangiyêgûla engabo zâge”.
18221600f3	“Nkola nârhegeka, kanwa ka Nyamuzinda akwo, narhegeka bashubitulika amatumu gâbo kuli eci ci­shagala, bashubicilwîsa, baciyanke, bacitwânirekwo n’omuliro. Buzinda emirhundu ya Yûda yoshi ecîbêre kahûmbwè karhalimwo hyadunda”».
1823010086	Aka kanwa karhindakwo Yeremiyahu, erhi karhenga kuli Nyakasane, omu mango ga Yehoyakimu, mugala wa Yoshiyahu mwâmi w’e Yûda, erhi:
182302007b	«Genda, ojè emwa Abarekabiti, obashambâze onabalerhe muli cûmpa ciguma c’aka-Nyamuzinda, obahè n’idivayi banywe».
1823030091	Nakanya obwo, najilonza Yazanyahu, mugala wa Yirmeyahu, mwâna wa Habasinya, ye na bene wâbo n’abagala boshi, omulala gw’Abarekabiti gwoshi,
18230400d5	nabahisa omu ka-Nyamuzinda, omu cûmpa ca Ben-Yohanamu, mugala wa Yigdalyahu, muntu wa Nyamuzinda, cirya cûmpa cibà hôfi n’ec’abarhambo, oku nyanya z’eca Maseya, mugala wa Shalumu mulanzi w’ec’olusò,
182305009e	embere za balya bantu b’omurhwe gw’Abarekabiti nadêkerezayo orhubindi rhuyunjwîre irivayi nahiraho n’orhubêhè nanababwîra, nti: «nywagi idivayi».
18230600ae	Ci bôhe bashuza, mpu: «Rhurhanywa idivayi, bulya shakulu wîrhu Yônadabu, mugala wa Rekabu arhurhegesire, erhi: Murhahîraga mukanywa idivayi, ôli mwe, ôli abâna binyu.
18230700ff	“Murhanahîraga mukayûbaka enyumpa erhi okurhwêra emburho, erhi okugwîka omuzâbîbu erhi okubà n’ishwa, ci omu maheêma mwo mwakaziyôrha muhanzire ensiku z’akalamo kinyu kwoshi, ntyo kwo mwalama myâka minji mw’eci cihugo ca bene mulimwo”.
18230800c2	“Nîrhu kwo rhwanashimbirage okwo rhwarhegekagwa na shakulu wîrhu Yônadabu mugala wa Rekabu: rhwono na bak’irhwe na bagala bîrhu n’abâli bîrhu, rhurhanywa idivayi ciru n’eriguma”,
1823090074	“buzira kuyûbaka enyumpa z’okuhandamwo, n’oku­rhwêra olukoma lw’emizâbîbu, buzira ishwa erhi mburho”.
18230a0057	“Ntyo, rhwayumvîrhe n’okukulikira lwoshi irhegeko lya shakulu wîrhu Yônadabu”.
18230b00e0	“Cikwône amango Nabukondonozori mwâmi w’e Babiloni arhêraga eci cihugo, rhwàbwîrana mpu muyishe rhujè omu Yeruzalemu lyo rhufuma engabo y’Abakaldeyi n’eya Aramu. Go mango rhwayishirigibêra omu Yeruzalemu”».
18230c003f	Okubundi, akanwa ka Nyakasane kanacirhindakwo Yeremiyahu, erhi:
18230d00cf	kwo adesire ntya Nyakasane w’emirhwe, Nyamuzinda w’Israheli: Genda obwîre abantu b’e Yûda n’ab’e Yeruzalemu erhi: kali murhalonza kuyumva ihano, n’okushimba ebinwa byâni? Yekudesire Nyakasane.
18230e00e8	Akanwa ka Yônadabu, mwene Rekabu, kashimbirwe: ahanza abagala okunywa erivayi na kuhika buno barhalinywa, kuderha mpu bashimbe irhegeko lya shakulu wâbo. Nâni nie namushambâzize buzira kurhama na buzira kuhalîza, murhayumvagya.
18230f014f	Namurhumîre buzira kurhama na kanji kanji bambali bâni b’abalêbi boshi, nti bamubwîre mugaluke, ngasi muguma arhenge omu njira yâge mbî, nti muyinjihye ebijiro binyu, murhashimbaga bandi banyamuzinda mpu mubakolere: ago mango, mwanabêra omu cihugo namuhîre mweshi na basho. Ci­ kwône murharhegaga okurhwiri, murhanyumvagya.
1823100084	Ntyo, abâna ba Yônadabu mwene Rekabu bashimbire irhegeko bahâbagwa na shakulu wâbo, ci­ kwône niehe olu lubaga lurhanyumvagya.
182311010c	Co cirhumire Nyakasane Nyamuzinda w’Emirhwe, Nyamuzinda w’Israheli aderha ntya: sinza oku nkola­ga nâhondakwo Yûda n’abantu b’e Yeruzalemu boshi bulya buhanya nabahigîrizagya: kunali kulya kubà nababwîzire barhananyumvagya, nabahamagala barhanadumizagya.
1823120107	Okubundi Yeremiyahu abwîra omulala gw’Abarekabiti, erhi: kwo adesire ntya Nyakasane w’emirhwe, Nyamuzinda w’Israheli. Kulya kubà mwayumvîrhe irhegeko lya shakulu winyu Yônadabu, mwanakulikira amarhegeko gâge goshi, mwanajira ngasi oku ali amurhegesire,
1823130099	yekudesire Nyakasane w’Emirhwe, Nyamuzinda w’Israheli, omu mwa Yônadabu mwene Rekabu, ntà mango mwâbulikane omwâna wâge wayîmanga embere zâni.
182401008a	Omu mwâka gwa kani gwa Yehoyakimu, mugala wa Yoshiyahu, mwâmi w’e Yûda, aka kanwa ka kuli Nyakasane kanacirhindakwo Yeremiyahu, erhi:
18240200df	«Oyanke ecizingo c’ecitabu onayandikekwo birya binwa nakubwîraga biyêrekîre Yeruzalemu byoshi, ebiyêrekîre Yûda, n’amashanja goshi, kurhenga olusiku narhangiraga okukushambâza oku ngoma ya Yoshiyahu, kuhika ene.
18240300ca	“Ahâli nkaba ab’omu nyumpa ya Yûda, omu kuyumva akal’ibala mpizire okubakolera, bagaluka barhenge ngasi muguma omu njira yâge ngalugalu: ago mango nânababalira amaligo n’ebyâha byâbo”».
1824040084	Yeremiyahu ahamagala Baruki, mugala wa Neriya, amuyandikîsa oku cizingo c’ecitabu ebinwa Nyakasane ali abwîzire omulêbi byoshi.
1824050060	Okubundi Yeremiyahu arhegeka Baruki, erhi: «Mpanzîbwe ntanacihashiri okujà omu ka-Nyamuzinda.
18240600f8	“Cikwône w’oyo, oyishigenda, osomere olubaga omu cizingo c’ecitabu nakuyandikisagya birya binwa bya Nyakasane byoshi omu ka-Nyamuzinda kâge, olusiku lw’okucîshalisa, obisomere n’abà emwa Yûda boshi bakanarhenga omu mirhundu yâbo”.
18240700b5	“Ahâli nkaba bayêrekeza Nyakasane amingingo gâbo banagaluke barhenge ngasi muguma omu njira yâge ngalugalu, bulya oburhè n’omutula Nyakasane abahigire nago guli munji”».
1824080090	Baruki, mugala wa Neriya, anacikola nk’oku omulêbi Yeremiyahu ali amurhegesire: àsomera omu ka-Nyamuzinda, ecitabu c’ebinwa bya Nyakasane.
1824090128	Okubundi, omu mwâka gwa karhanu gwa Yehoyakimu, mugala wa Yoshiyahu, mwâmi w’e Yûda, omu mwêzi gwa mwenda, hâyisha irhegeko ly’okucîshalisa embere za Nyakasane, oku lubaga lwoshi lw’e Yeruzalemu, n’oku lubaga lwoshi lwàli lurhenzire omu bishagala bya Yûda n’okujà e Yeruzalemu.
18240a00ee	Baruki anacisoma omu citabu ebinwa bya Yeremiyahu; mwo bâli omu ka-Nyamuzinda, omu cûmpa ca Gemariyahu, mugala w’omwandisi Shafani, omu ngo eri enyanya, ebwa muhango muhyâhya gw’aka-Nyamuzinda: olubaga lwoshi lwàli luhashiriyumva.
18240b006a	Erhi Mikeyahu mwene Gemariyahu, mwâna wa Shafani, ayûsiyumva ebinwa bya Nyakasane byasomagwa omu citabu,
18240c011a	ayandagalira oku bwâmi, ayîrukira omu kagombe k’obwandisi. Abarhambo boshi erhi balimwo omu ihano: mwâli omwandisi Elishama?, mwâli Delayahu, mugala wa Shemayahu; Elnatani, mugala wa Akibori, Gemariyahu, mugala wa Shafani, Sidikiyahu, mugala wa Hananyahu, n’abarhonyi boshi.
18240d0063	Mikeyahu abarhondêreza ngasi byoshi ayumvîrhe amango Baruki akagisomera omu marhwiri g’olubaga.
18240e0106	Okubundi, abarhambo boshi banacirhuma Yehudi, mugala wa Netanyahu na Shelemiyahu mwâna wa Kushi mpu agendibwîra Baruki, erhi: «Oyîshe odwîrhe eco cizingo c’ecitabu wasomeragamwo olubaga». Baruki mugala za Neriyahu, arhôla cirya citabu ayisha ababugâna.
18240f005a	Bamubwîra, erhi: «Burhamala orhusomere nîrhu». Baruki anaciburhamala obwo abasomeraco.
1824100080	Erhi babà bamâyumva ebinwa byoshi, barhemuka, balolanakwo, babwîra Baruki, erhi: «Kukwânîne rhujimanyîsa mwâmi byoshi».
1824110050	Okuhandi badôsa Baruki, erhi: «Rhubwîre kurhi wayandikaga ebi binwa byoshi».
182412006a	Baruki abashuza, erhi: «Yeremiyahu akazâgibiderha byoshi nâni nakazibiyandika n’obwîno omu citabu».
1824130082	Abarhambo babwîra Baruki mpu: «mugende mucîfulike oku muli babirhi, Yeremiyahu na nâwe, harhajiraga omuntu wamanya aha muli!»
182414007e	Okubundi banacisiga cirya citabu omu kagombe k’omwandisi Elishama?, bayandagalira omu bwâmi, bamanyîsa mwâmi olwo lwoshi.
18241500b6	Mwâmi anacirhuma Yehudi mpu ajilonza cirya cizingo; ayisha acidwîrhe anacisoma n’izù linene embere za mwâmi n’abarhambo bâge boshi oku bànali bayîmanzire eburhambi bwâge.
1824160089	Mwâmi erhi ali omu nyumpa yâge y’amango g’emboho, gwàli mwêzi gwa cambasè, n’omuliro gw’amakala erhi gukolîre embere zâge.
18241700ba	Erhi Yehudi ayûsagya asoma nka milongo isharhu erhi ini, mwâmi anayitwe n’akêre k’omwandisi, ayikwêbe omu muliro oku cîko, akazijira ntyo kuhika cirya citabu coshi casingônoka.
1824180083	Cikwône, ôli mwâmi yêne, ôli abambali omu kuyumva ebyo binwa byoshi ntâye warhemusire erhi aderhe mpu abêra emyambalo yâge.
1824190078	N’obwo Elnatani, Deleyahu na Gemariyahu bali bayimbirîre mwâmi mpu arhayôcagya eco cizingo cikwône arhabayumvagya.
18241a00d9	Cikwône yêhe arhegeka omurhwâli Yerahemeli, na Serayahu, mugala wa Azeriyali na Shelemiyahu mugala wa Abudeyeli mpu bagendigwârha omwandisi Baruki n’omulêbi Yeremiyahu. Cikwône Nyakasane ali erhi àbafulisire.
18241b0089	Erhi mwâmi abà amâyûsa ayôca ecitabu calimwo ebinwa Yeremiyahu ayandisagya Baruki, akanwa ka Nyakasane karhindakwo Yeremiyahu, erhi:
18241c008b	«Yanka ecindi cizingo oshubiyandikakwo birya binwa byoshi oku byanali kuli cirya cizingo cirhanzi Yehoyakimu mwâmi w’e Yûda ayôcagya.
18241d0104	“Na kuli Yehoyakimu, mwâmi w’e Yûda, oderhe erhi: ntya kwo Nyakasane adesire: Wayôcire eci cizingo waderha, erhi: cici carhumaga bayandika mpu kwo binali mwâmi w’e Babiloni ayisha ashande eci cihugo anaherêrekeze eci cihugo, abà­ntu n’ebintu?”
18241e00ca	“Co cirhumirage Nyakasane aderha ntya kuli Yehoyakimu mwâmi w’e Yûda, arhâbone wa kuli ye wâtamala oku ntebe ya Daudi, n’omurhumba gwâge omu idûrhu ly’omûshi n’omu mboho y’obudufu”.
18241f0063	“Yêne n’obûko bwâge n’abambali, nâbahanira amaligo nabahigîrizagya barhanayumvagya”».
182420010c	Yeremiyahu ayanka ecindi cizingo, acîhà omwandisi Baruki, mugala wa Neriya, naye ayandikakwo ebi Yeremiyahu amuyandikîsagya, birya binwa byoshi oku byanali muli cirya citabu Yehoyakimu, mwâmi w’e Yûda ayôcagya; anayûshûlakwo bindi binwa binji bya bene birya.
18250100a4	Sedekyahu, mugala wa Yoshiyahu, anaciyîma omu bya Koniyasi, mugala wa Yehoyakimu, ye Nabukondonozori, mwâmi w’e Babiloni ali ajizire mwâmi omu cihugo ca Yûda.
18250200b8	Cikwône, ôli ye, ôli abambali, ôli olubaga lwàli omu cihugo, ntâye wayumvirhize ebinwa Nyakasane ababwîraga n’akanwa k’omulêbi Yeremiyahu. Sedekyahu ahûna Yeremiyahu ihano
18250300e0	Mwâmi, Sedekyahu arhuma Yukali, mugala wa Shêlemiya, bo n’omudâhwa Sefaniya, mugula wa Maseya, emunda omulêbi Yeremiyahu ali mpu bamubwîre, erhi: «Mâshi yâga, orhusengerere emunda Nyakasane Nyamuzinda wîrhu ali».
1825040049	Yeremiyahu akazâgigeragera omu lubaga: barhàli bacimuhira omu mpamikwa.
18250500a0	Cikwône engabo y’abalwî ba Faraoni mwâmi w’e Mîsiri yali erhi yamârhenga e Mîsiri. Abakaldeyi bâli bagosire Yeruzalemu erhi bayumva ntyo, bagandûla.
1825060043	Okubundi akanwa ka Nyakasane karhindakwo omulêbi Yeremiyahu, erhi:
1825070108	«Ntya kwo Nyakasane, Nyamuzinda w’Israheli adesire: Omwâmi w’e Yûda amurhumire emunda ndi mpu mundôse, kwo mwamushuza ntya: K’engabo y’abalwî ba Faraoni mwâmi w’e Mîsiri eri omu njira, we erilwîra? Kugaluka yânagaluka eshubire emwâbo e Mîsiri!
1825080060	“Abantu b’e Sîriya bâgaluka bâshubirhêra olu lugo, bâluya­nka banaludûlike muliro”.
1825090097	“Kwo adesire ntya Nyakasane: Murhacirhebaga mwene, omu kucîkebwa, mpu: Abantu b’e Sîriya lwoshi-lwoshi barhenzire emwîrhu bulya barhagenziri”.
18250a00ba	“Ciru mwakahima engabo y’abantu b’e Sîriya yoshi, eyîra edwîrhe yamulwîsa, hasigala ababanzirwe bône, abôla bânayimuka ngasi muguma omu cihando câge anayôce olu lugo”».
18250b0081	Ago mango omurhwe gw’abantu b’e Sîriya gwagandûlaga guleka Yeruzalemu erhi murhwe gwa Faraoni mwâmi w’e Mîsiri gurhuma,
