0200000003	Nfa
1a270f00e1	Awalang va̱ onəm oga mmwo atak kà̱ nranggang ka̱ ashe mbin, kang unəm va pa̱ nkpaktak ya akup ánəm, te uza̱ i nak iya̱m iro i dát ká̱ akup va̱ ta, na onəm oga nlili á yar á li ka̱ aBa̱nda̱m á aHamon Gok.
1a2710005c	Ìtong i yà ka̱ ta, aɗiɗin pa̱ aHamona. Ka̱ asa̱l va ta oza̱ i nàl mbin va̱ ta.’
1a2711013d	“Kang mmaɓu á ya anəm, uNəm uga nzhi uYawe là pa̱, ú là nnap ká̱ nza̱ apir inyil nggo, ká̱ nkpaktak izhé iga anyin pa̱, ‘Ó ɓut, ó ɓa ka̱ ache nggo, ó gwang ka̱ atak nrí iya̱m iga nchang izər va̱ n ɗa̱mshi ka̱kul wó ka̱ apal oga aɓam aIsa̱rila, na ó ri izhé kang ó wá nchə̀r.
1a271200db	Ó ri izhé onəm ochumchum oga ìkam, kang ó wá nchə̀r onəm oga mpyal oga apambin, wa nva̱ mí pà inagàm, ká̱ ivan inagàm, ká̱ mbít, ká̱ ina inunggwan, nkpaktak oza̱ iya̱m nkang imwalmwal iga aBashan.
1a27130083	Ó ri mpip i kúr wó kang ó wá nchə̀r kpa i ra̱n wó, ngga atak nrí iya̱m iga nchang izər va̱ n ɗa̱mshi ka̱kul wó á.
1a271400be	Kang ó yə́l afu wó ká̱ ipəri, ká̱ onəm oga nkwák ipəri, ká̱ onəm ochumchum oga ìkam, kang ká̱ nkpaktak onəm oga ìkum ka̱ apal atebəl mi.’ UNəm uga nzhi uYawe à là.
1a27150094	“Mi nyám ìzhàn mi kà̱ ìshimshe oga mbín, kang nkpaktak oga mbín i ya nnáp akwali mi va̱ n náp, kang awó mi va̱ n nak ka̱ apal oza̱.
1a2716005c	Te nzhi àIsa̱rila i nyi pa̱ mmami na uYawe, Inan oza̱, ɓàn kà̱ nra va̱ ta ga mpyal.
1a27170123	Kang oga mbín i nyi pa̱ mmá ga izwal ká̱ nzhi àIsa̱rila ka̱kul nnap mɓá̱ngɓa̱ng oza̱, ka̱kul oza̱ nəm nnandər a mi ka̱t, ka̱kul nva̱ ta te n ga̱ɓa̱n asa̱l nsəm ôza̱, kang n na oza̱ ka̱ ashe awó onəm ìkum oza̱, te oza̱ gbá̱ng nkpaktak oza̱ ká̱ ndokchi.
1a2718005d	N nəm ôza̱ mal ká̱ nvyap oza̱, ká̱ mpat oza̱, kang n ga̱ɓa̱n asa̱l nsəm ôza̱.
1a271900d6	“Ka̱kul nva̱ ta te, uNəm uga nzhi uYawe là pa̱, ‘Ǹyangmata̱ te mi le ká̱ akum aYakup ka̱ atak izwal, mi nyám nrwa ìgwak n̂kpaktak nzhi àIsa̱rila. Kang mi nəm ìkpar ka̱kul aɗin mi ayə́ryər.
1a271a00e5	Kà̱ nva̱ng va̱ oza̱ le chit oza̱ ɓa təm ká̱ ikángkáng ka̱ ashe mbin oza̱, te oza̱ i kong ká̱ iya̱m ìwuswa va̱ oza̱ nəm ká̱ nkpaktak nlàng nnandər va̱ oza̱ nəm á mi. Unəm uro i gbək oza̱ lap ka̱t.
1a271b00c0	Awalang va̱ mi fa ká̱ oza̱ ka̱ ashe onəm kang m ɓut oza̱ chit ka̱ ashe oga mbín okpa ìkum oza̱, te mí ya ka̱ ashe oza̱ pa̱ mmami uyə́ryər, ka̱kul na nkpaktak apambin á ya.
1a271c00fa	Te oza̱ i nyi pa̱ mmami na uYawe, Inan oza̱, ka̱kul ka̱ n nak oza̱ chit ga izwal ka̱ ashe oga mbín, kang mi le ká̱ oza̱ kà̱ɗi ka̱ ashe mbin oza̱. Mi yà ká̱ nré uro pa̱ uzəng ka̱ ashe oza̱ ka̱ ashe oga mbín va̱ ta lap ka̱t.
1a271d0095	Kang mi yà ká̱ ngga̱ɓa̱n asa̱l nsəm óza̱ lap ka̱t, mi fə́r ká̱ aRuhu mi ka̱ apal nzhi àIsa̱rila, uNəm uga nzhi uYawe à là.’”
1a2801013c	Kà̱ nra ngga ngba̱pchi ka̱ apye aga nggəshi kà̱ ìzun iga ìsəm pa̱ ìparəm ama̱n pa̱ tukun iga ntəm izwal yi, kà̱ ìzun iga ìgba̱pchi ama̱n pa̱ neɗing kà̱ nva̱ng va̱ mmá shin ìtong aUrushelima chit, ká̱ nda va̱ ta te, awó aYawe fə́r ka̱ apal ishi mi, te á yar mi ɓa ká̱ ka̱ ta.
1a28020094	UYawe ga ká̱ mi kà̱ mbin aIsa̱rila ka̱ ashe alár, uza̱ nak mi ka̱ apal aɓam va rup byet, ka̱ ta n ya atak wa ìtong ka̱ asa̱l nkwandal.
1a280300c9	Awalang va̱ uza̱ ɓa ká̱ mi ka̱ ta, te n ya unəm uro uva fa izər ká̱ acham arəzang, á kpán asang nsámsám ká̱ apir azáng aro aga mmal iya̱m ka̱ awó. Kang uza̱ sat ka̱ anung asa̱l.
1a2804011d	Te unəm va̱ ta là á mi pa̱, “Á ya anəm, dər ká̱ ìwú ɓu, fe ká̱ achwang ɓu, kang ɓù nak ishi ká̱ nkpaktak iya̱m va̱ mi nyám á ɓu, ka̱kul nnà kang mmá ɓa ká̱ ɓu ka̱ ta̱ pa̱ ń nyám á ɓu. Nyám ká̱ nkpaktak iya̱m va̱ u ya n̂zhi àIsa̱rila.”
1a28050118	N ya akamsəlang gáng agbagba nzhi Inan nchumchum. Nwang azáng aga mmàl iya̱m va̱ ka̱ awó anəm va̱ ta te ashar pa̱ gba̱pchi ká̱ aɓuɓo. Te uza̱ màl ntwat akamsəlang va̱ ta te uza̱ ya azáng aga mmàl iya̱m pa̱ zəng, nrurup azáng aga mmàl iya̱m pa̱ zəng.
1a280600ad	Uza̱ le ga anung asa̱l aga ndər asa̱l nfa alum, uza̱ kyén ka̱ apal atak ntòng nkikyen ɓa ga, te uza̱ màl ntwat anung asəsa̱l azáng aga mmàl iya̱m pa̱ zəng.
1a28070138	Nwang afu nzhi onəm oga mpángchí atak azáng aga mmàl iya̱m pa̱ zəng, ntutwat azáng aga mmàl iya̱m pa̱ zəng. Ashar pa̱ na̱nne ká̱ aɓuɓo kà̱ ìshimshe afu nzhi ká̱ afu nzhi. Anung nzhi va̱ nna dát ká̱ atak njul ngga anung asa̱l nzhi Inan nchumchum te azáng aga mmàl iya̱m pa̱ zəng.
1a28080077	Te uza̱ màl anung asa̱l atak njul ngga ashe va̱ dər asa̱l nzhi Inan nchumchum azáng aga mmàl iya̱m pa̱ zəng.
1a280900cc	Te uza̱ màl atak njul ngga anung asa̱l ashar pa̱ gba̱pchi ama̱n pa̱ parəm, kang uza̱ màl oga nggugwan ashar pa̱ neɗing. Atak njul ngga anung asa̱l va̱ ta dər asa̱l awu nzhi Inan nchumchum.
1a280a00d2	Kà̱ nza̱ ngba̱k nggo ngga anung asa̱l aga asa̱l nfa alum te oga afu nzhi onəm oga mpángchí atak pa̱ nshatɗing. Mmàl oza̱ iya̱m zəngtəng, kang ìshimshe afu nzhi ká̱ afu nzhi iya̱m zəngtəng.
1a280b00b0	Te uza̱ màl mbal anung asa̱l ashar pa̱ gba̱pchi ama̱n pa̱ fangshat ká̱ aɓuɓo, kang agəla̱n anung asa̱l ashar ìsəm pa̱ iparəm ama̱n pa̱ parəm ká̱ aɓuɓo.
1a280c00f6	Nya akamsəlang na yà kà̱ mpyal afu nzhi onəm oga mpángchí atak va̱ ta, irurup ashar pa̱ nzəng ká̱ aɓuɓo kà̱ nza̱ ngba̱k nggo. Kang mmàl nzhi onəm oga mpángchí atak ashar pa̱ gba̱pchi ká̱ aɓuɓo kà̱ nza̱ ngba̱k nggo.
1a280d00da	Te uza̱ màl anung asa̱l ɓan ka̱ ashe afu nzhi onəm oga mpángchí atak ga chu anung asa̱l ka̱ ashe afu nzhi va̱ mal ikoksok ka̱ nwan wò, te mbəbal ashar ìsəm pa̱ ìneɗing ama̱n shatɗing ká̱ aɓuɓo.
1a280e005c	Uza̱ màl atak njul kpa, irurup ashar ìgba̱l ka̱ utukun, kang agəla̱n gáng atak njul.
1a280f0075	Ka̱ anung asa̱l aga ntar ga chu nkùr aga atak njul ashar ìsəm pa̱ ìna̱nne ama̱n pa̱ fangshat ká̱ aɓuɓo.
1a281000b6	Oga mɓol ayə́r nna yà gáng oga afu ńzhi onəm oga mpángchí atak kang a gáng atak njul kpa. Mmá cha ala̱ka̱n oga ikún akulom ka̱ izər nzhi va̱ kap afu nza̱ nzhi nggo.
1a281100ca	Te uza̱ tar ká̱ mi ka̱ ashe agəla̱n aga gbai, n dər te n ya oga nzhi ká̱ ipáng mmá gba̱p gáng agəla̱n aga agbai va̱ ta. Oga nzhi ìsəm pa̱ ishatɗing gáng agəla̱n aga agbai va̱ ta.
1a281200a6	Atak agba̱pgba̱p va̱ ta ra ka̱ ngba̱k oga anung nkəlang kang nwuwang á màl dakdak ká̱ oga anung nkəlang va̱ ta. Nnà atak agba̱pgba̱p aga asa̱l avəng.
1a281300f4	Te uza̱ màl ìshimshe va̱ kà̱ mpyal anung asa̱l aga agəla̱n aga agbai ká̱ anung asa̱l aga agəla̱n aga ashe, uza̱ ya ashar ìgba̱l ká̱ ìsəm pa̱ ifangshat ama̱n pa̱ tukun ka̱ asa̱l nfa alum, wa na ta kpa ká̱ asa̱l mpal.
1a2814005e	Te uza̱ mal nwang ká̱ mbal anung asa̱l aga asa̱l mpal va dər asa̱l agəla̱n aga agbai.
1a28150147	Oga afu nzhi nji onəm oga mpángchí atak pa̱ nshatɗing kà̱ nza̱ ngba̱k nggo. Oga izər nzhi va̱ kap afu nzhi ká̱ atak njujul mal dakdak ká̱ anung asa̱l aga nggəshi. Kang nwuwang ashar ìsəm pa̱ ìna̱nne ama̱n pa̱ fangshat ká̱ aɓuɓo, mbəbal ashar ìsəm pa̱ neɗing ama̱n pa̱ shatɗing ká̱ aɓuɓo.
1a28160127	Kang oga mɓol ayiyər, ká̱ oga atak njujul, ká̱ ala̱ka̱n oga ikún akulom va̱ mmá cha te iya̱m zəngtəng ká̱ anung asa̱l va̱ dər asa̱l nfa alum á. Atak ntòng ashar pa̱ fangshat kang onəm i chu nkukur, agəla̱n anung asa̱l nna yà kà̱ mpyal oga atak ntòng ashar va̱ ta.
1a281700ff	Kà̱ mpyal anung asa̱l aga asa̱l mpal, te anung asa̱l nna yà aga ntar agəla̱n aga ashe, wa ǹna ta kpa ka̱ anung asa̱l aga nfa alum. Kang uza̱ mal kà̱ anung asa̱l ga chu anung asa̱l ashar igba̱l ka̱ ìsəm pa̱ ifangshat ama̱n pa̱ tukun.
1a281800d0	Te uza̱ ga ká̱ mi ka̱ asa̱l nkwandal, ka̱ ta te anung asa̱l aro nna yà dər asa̱l nkwandal. Uza̱ màl izər nzhi va̱ kap afu nzhi ká̱ atak njujul, te oza̱ iya̱m zəngtəng ka̱ oga aɓoshi nro.
1a28190100	Oga mɓol ayə́r òma yà gáng anung asa̱l va̱ ta ká̱ atak njujul wa oga mɓol ayə́r aɓoshi nro. Nwuwang ashar ìsəm pa̱ ina̱nne ama̱n pa̱ ìfangshat ká̱ aɓuɓo, kang mbəbal ashar ìsəm pa̱ ìneɗing ama̱n pa̱ shatɗing ká̱ aɓuɓo.
1a281a00c0	Nna ká̱ atak ntòng nkyén pa̱ nfangshat ɓa ga chu igəla̱n anung asa̱l. Mmá cha ala̱ka̱n ikún akulom ka̱ apal oga izər nzhi va̱ kap afu nzhi, pa̱ zəng kà̱ nza̱ ngba̱k nggo.
1a281b00df	Kang anung asa̱l nna yà ka̱ asa̱l nkwandal agəla̱n aga ashe va̱ ta. Uza̱ mal ka̱ anung asa̱l va̱ ta ga chu anung asa̱l aga agbai aga asa̱l nkwandal ashar ìgba̱l ká̱ ìsəm pa̱ ìfangshat ama̱n pa̱ tukun.
1a281c00a5	Te uza̱ ga ká̱ mi ka̱ agəla̱n aga ashe ka̱ asa̱l anung asa̱l aga nkwandal, uza̱ màl anung asa̱l va̱ ta, te uza̱ iya̱m zəngtəng ka̱ oga aɓoshi nro.
1a281d014d	Oga afu nzhizhi, ká̱ oga izər nzhi va̱ kap afu nzhi, ká̱ oga atak njujul oza̱ iya̱m zəngtəng wa oga aɓoshi nro, kang oga mɓol ayə́r gáng na ká̱ nkpaktak atak njujul. Nwuwang ashar ìsəm pa̱ ina̱nne ama̱n pa̱ ìfangshat ká̱ aɓuɓo, kang mbəbal ashar ìsəm pa̱ ìneɗing ama̱n pa̱ shatɗing ká̱ aɓuɓo.
1a281e00bc	Oga atak njul nna yà gáng oga anung asa̱l aga agəla̱n aga ashe, nwuwang ashar ìsəm pa̱ ìneɗing ama̱n pa̱ shatɗing ká̱ aɓuɓo, kang mbəbal ashar pa̱ na̱nne ká̱ aɓuɓo.
1a281f00ad	Atak njujul dər asa̱l agəla̱n aga agbai, mmá cha oga ala̱ka̱n oga ikún akulom ka̱ oga ngba̱k anung asa̱l, kang nna yà ká̱ atak aga ntòng nkyén pa̱ nna̱nne.
1a28200083	Te uza̱ ga ká̱ mi ka̱ agəla̱n aga ashe ka̱ asa̱l nfa alum, kang uza̱ màl anung asa̱l, á màl dakdak wa oga aɓoshi aro.
1a2821014c	Oga afu nzhizhi, ká̱ oga izər nzhi va̱ kap afu ńzhi, ká̱ oga atak njujul oza̱ iya̱m zəngtəng wa oga aɓoshi nro, kang oga mɓol ayə́r gáng na ká̱ nkpaktak atak njujul. Nwuwang ashar ìsəm pa̱ ina̱nne ama̱n pa̱ fangshat ká̱ aɓuɓo, kang mbəbal ashar ìsəm pa̱ ìneɗing ama̱n pa̱ shatɗing ká̱ aɓuɓo.
1a282200ad	Atak njujul dər asa̱l agəla̱n aga agbai, mmá cha oga ala̱ka̱n oga ikún akulom ka̱ oga ngba̱k anung asa̱l, kang nna yà ká̱ atak aga ntòng nkyén pa̱ nna̱nne.
1a2823006e	Te uza̱ ga ká̱ mi ka̱ anung asa̱l aga asa̱l mpal, kang uza̱ màl na, màl dakdak ká̱ oga aɓoshi aro.
1a2824014c	Oga afu nzhizhi, ká̱ oga izər nzhi va̱ kap afu ńzhi, ká̱ oga atak njujul oza̱ iya̱m zəngtəng wa oga aɓoshi nro, kang oga mɓol ayə́r gáng na ká̱ nkpaktak atak njujul. Nwuwang ashar ìsəm pa̱ ina̱nne ama̱n pa̱ fangshat ká̱ aɓuɓo, kang mbəbal ashar ìsəm pa̱ ìneɗing ama̱n pa̱ shatɗing ká̱ aɓuɓo.
1a282500ad	Atak njujul dər asa̱l agəla̱n aga agbai, mmá cha oga ala̱ka̱n oga ikún akulom ka̱ oga ngba̱k anung asa̱l, kang nna yà ká̱ atak aga ntòng nkyén pa̱ nna̱nne.
1a282600d1	Ka̱ ngba̱k atak njul aga ashe oga anung asa̱l te, afu nzhi na yà ká̱ anung ka̱ ngba̱k pa̱ nzəng ka̱ nza̱ anung asa̱l aga ashe nggo, atak va ta mí nàl oga iya̱m inana iga nshì pa̱ ɗwot kà̱.
1a282700d7	Ka̱ ashe atak njul ngga anung asa̱l, te atebəl nna yà pa̱ parəm kà̱ nza̱ ngba̱k nggo, ka̱ atak va ta mí pà iya̱m inana iga nshì pa̱ ɗwot, ká̱ iya̱m inana iga nnap mɓá̱ngɓa̱ng ká̱ iga mpat.
1a282800a2	Ka̱ anung asa̱l aga agbai atak njul, ka̱ atak ntòng nkyén mɓa ngga anung asa̱l aga asa̱l mpal te oga atebəl nna yà pa̱ parəm kà̱ nza̱ ngba̱k nggo.
1a282900a2	Oga atebəl nna yà pa̱ neɗing kà̱ nza̱ ngba̱k anung asa̱l nggo, pa̱ kpaktak te, oga atebəl pa̱ na̱nne ava mí pà oga iya̱m nkang iya̱m inana kà̱.
1a282a013b	Kang oga atebəl nna yà pa̱ neɗing va mmá nəm ká̱ ipáng ikpákpà, ka̱kul iya̱m inana iga nshì pa̱ ɗwot, nwuwang ká̱ mbəbal ashar pa̱ parəm ká̱ aɓuɓo, kang nrurup ashar pa̱ zəng ká̱ aɓuɓo. Ka̱ ta na mí nak oga iya̱m iga mpà iya̱m inana iga nshì pa̱ ɗwot, ká̱ oga aɓo nləfər.
1a282b008a	Kang oga nggùnggúng gáng ashe afu nzhi va̱ ta, nwuwang mbar ifang pa̱ izəng. Ka̱ apal oga atebəl va ta mí nak ìzhe iya̱m inana.
1a282c00ee	Ka̱ asa̱l agbai aga ntar anung asa̱l aga ashe oga nzhi pa̱ mparəm nna yà ka̱ ta, pa̱ nzəng ka̱ anung asa̱l aga asa̱l mpal va dər asa̱l nkwandal, nzəngtəng kà̱ ngba̱k anung asa̱l aga asa̱l nkwandal va dər asa̱l mpal.
1a282d0085	Te uza̱ là á mi pa̱, “Nzhi va̱ dər asa̱l nkwandal te nji onəm oga mpyal awop ova kà̱ nnak ishi ká̱ nzhi Inan nchumchum,
1a282e00d1	kang nzhi va̱ dər asa̱l mpal te, ka̱kul onəm oga mpyal awop ova kà̱ nnak ishi ká̱ atak mpyal awop. Omà akum ìjili àZadok, ova ka̱ ashe oLawi i ɓa datkulung ká̱ uYawe pa̱ ó nəm inok á na.”
1a282f00a7	Te uza̱ màl agəla̱n, ashar ìgba̱l ká̱ ìsəm pa̱ ifangshat ama̱n pa̱ tukun nwuwang ká̱ mbəbal. Kang atak aga mpyal awop nna yà kà̱ mpyal nzhi va̱ ta.
1a28300144	Te uza̱ ga ká̱ mi ka̱ atak njul ngga atak awop va̱ ta, kang uza̱ màl oga nggwan atak njul va̱ ta, ashar pa̱ na̱nne ká̱ aɓuɓo kà̱ nza̱ ngba̱k nggo. Mbal anung asa̱l va̱ ta ashar ìsəm pa̱ ìparəm ama̱n pa̱ neɗing ká̱ aɓuɓo, kang ngba̱k izəzər ngga anung asa̱l ashar pa̱ tukun ká̱ aɓuɓo.
1a28310103	Nwang atak njul va̱ ta ashar ìsəm pa̱ ishatɗing ama̱n pa̱ tukun, kang mbəbal ashar pa̱ gba̱pchi ama̱n pa̱ fangzəngtəng ká̱ aɓuɓo. Oza̱ i kyén oga atak ntòng nkyén pa̱ ngba̱pchi, nna yà ka̱ nggwan pa̱ nzəng kà̱ nza̱ ngba̱k nggo.
1a29010095	Te uza̱ ga ká̱ mi ka̱ ashe nzhi Inan nchumchum kang uza̱ màl oga nggugwan. Kà̱ nza̱ ngba̱k nggo mbəbal ashar pa̱ gba̱pchi ká̱ aɓuɓo.
1a29020149	Mbal anung asa̱l aga ntar ashar pa̱ gba̱pchi ama̱n pa̱ fangshat ká̱ aɓuɓo, kang oga ngba̱k anung asa̱l aga ntar va̱ ta ashar pa̱ na̱nne ká̱ aɓuɓo kà̱ nza̱ ngba̱k nggo. Te uza̱ màl nzhi Inan nchumchum va̱ ta nwuwang ashar ìsəm pa̱ ifangshat, kang mbəbal ashar ìsəm pa̱ ishatɗing ama̱n pa̱ tukun.
1a29030135	Te uza̱ tar ga ashe afu nzhi ngga ashe, kang uza̱ màl oga nggwan aga anung asa̱l, ashar pa̱ shatɗing ká̱ aɓuɓo kang mbal anung asa̱l va̱ ta ashar pa̱ gba̱pchi ká̱ aɓuɓo. Kang oga ngba̱k anung aga asa̱l va̱ ta ashar pa̱ gba̱pchi ama̱n pa̱ parəm ká̱ aɓuɓo kà̱ nza̱ ngba̱k nggo.
1a2904010b	Kang uza̱ màl nwang afu nzhi ngga ashe va̱ ta ashar ìsəm pa̱ ishatɗing ama̱n pa̱ tukun, mbəbal ashar ìsəm pa̱ ishatɗing ama̱n pa̱ tukun kà̱ mpyal nzhi Inan nchumchum. Te uza̱ là á mi pa̱, “Atak va̱ ta̱ Atak Ayə́ryər va ji pa̱ kpaktak.”
1a290500ba	Te uza̱ màl izər nzhi Inan nchumchum va̱ ta, ntutwat ashar pa̱ gba̱pchi ká̱ aɓuɓo, kang uza̱ màl mbal afu oga nzhi va̱ gáng na ashar pa̱ fangshat, ka̱ nza̱ ngba̱k nggo.
1a290600f3	Kang nzhi onəm oga mpángchí atak ngga ngba̱k, nkyén pa̱ nshatɗing, nro ka̱ apal nro, ìsəm pa̱ ishatɗing kà̱ nza̱ nkyén nggo. Kang akamsəlang nna yà təp oga izər nzhi va̱ ta, le kang oza̱ a ra ka̱ apal nzhi va̱ ta ka̱t.
1a29070148	Oga nzhi gáng nzhi va̱ ta, kà̱ nkyén te, kà̱ mbol kà̱ mbol, ka̱kul akamsəlang gáng nzhi Inan nchumchum te, pak inok mbol kà̱ nza̱ nkyén nggo. Kà̱ ngba̱k nzhi Inan nchumchum te, oga atak aga nkyén nna yà, ka̱kul na unəm á kyén kà̱ nkyén ngga avəng á ga nkyén ngga ìshimshe, ká̱ nkyén ngga apal.
1a29080099	N ya atak agba̱pgba̱p akyénkyén gáng nzhi va̱ ta, mbang oga afu nzhi va̱ ta, mmá màl azáng aga mmàl iya̱m ashar pa̱ gba̱pchi ká̱ aɓuɓo.
1a2909009d	Ntwat izər nzhi ngga agbai oga nzhi ngga ngba̱k va̱ ta, ashar pa̱ na̱nne ká̱ aɓuɓo. Mbal agbagba va̱ kà̱ ìshimshe oga nzhi ngga ngba̱k va̱ ta,
1a290a00a6	ká̱ ìshimshe oga nzhi onəm oga mpyal awop va̱ ta, mbal ashar ìsəm pa̱ ishatɗing ama̱n pa̱ tukun gáng nzhi Inan nchumchum va̱ ta kà̱ nza̱ ngba̱k nggo.
1a290b00fe	Kang oga anung asa̱l oga nzhi ngga ngba̱k va̱ ta bol dər asa̱l agbagba. Anung asa̱l aro dər asa̱l mpal, kang azəngtəng dər asa̱l nkwandal, mbal agbagba va̱ kà̱ ìshimshe oga nzhi va̱ ta ashar pa̱ na̱nne ká̱ aɓuɓo gáng pa̱ kpaktak.
1a290c0126	Nzhi va̱ nnà dər asa̱l amulok nzhi Inan nchumchum ka̱ asa̱l ntar alum te, ashar ìgba̱l ká̱ ìsəm pa̱ iparəm ama̱n pa̱ parəm. Ntwat izər nzhi va̱ ta ashar pa̱ na̱nne ká̱ aɓuɓo gáng pa̱ kpaktak, kang nwuwang ashar ìgba̱l ká̱ ìsəm pa̱ ìtukun ama̱n pa̱ fangshat.
1a290d010b	Te uza̱ màl nzhi Inan nchumchum va̱ ta, nwuwang ashar ìgba̱l ká̱ ìsəm pa̱ ifangshat ama̱n pa̱ tukun. Nwang amulok va̱ ta, ká̱ nzhi va̱ dər asa̱l ntar alum, ká̱ oga akamsəlangkamsəlang ashar ìgba̱l ká̱ ìsəm pa̱ ifangshat ama̱n pa̱ tukun.
1a290e0071	Kang mbal nzhi Inan nchumchum ká̱ amulok va̱ ta, ashar ìgba̱l ká̱ ìsəm pa̱ ifangshat ama̱n pa̱ tukun.
1a290f0113	Te uza̱ màl nwang nzhi va̱ dər asa̱l amulok va̱ ka̱ asa̱l nsəm ká̱ afufu aga asa̱l agbai kà̱ nza̱ ngba̱k nggo, ashar ìgba̱l ká̱ ìsəm pa̱ ifangshat ama̱n pa̱ tukun. Ashe nzhi Inan nchumchum ká̱ atak ayə́ryər va ji, ká̱ oga atak njul aga amulok,
1a2910010d	ka̱ oga ndar ngga anung asa̱l, ká̱ oga mɓol ayə́r mɓotɓot, ká̱ oga afu nzhi ngga asa̱l agbai va̱ gáng nshatɗing oza̱, nkpaktak oza̱ mmá ɓam ká̱ akun ɓàn ka̱ akùm ɓa chu oga mɓol ayə́r, kang oga mɓol ayə́r va̱ ta mma nəm ka̱ oga mɓol,
1a291100a0	ka̱ apal anung nzhi, wa nnà ta kpa afu nzhi ngga ashe, kang ka̱ asa̱l agbai. Kang ka̱ apal nkpaktak oga akamsəlang, ka̱ ashe ká̱ agbai te, mmá məmal.
1a291200a2	Mmá cha ala̱ka̱n oga akerup ká̱ oga ikún akulom, ncha ikún akulom kà̱ ìshimshe akerup ká̱ akerup. Nza̱ akerup nggo nna ká̱ asa̱l awú pa̱ parəm,
1a291300e6	asa̱l awú aji anəm ləbər kà̱ ndər ncha ikún akulom kà̱ ngba̱k nro, kang asa̱l awú aga ìya ìlir kà̱ ndər ncha ikún akulom iga ngba̱k nzəngtəng. Wa nnà ta mmá cha ka̱ izər nzhi Inan nchumchum pa̱ kpaktak.
1a2914009b	Ɓàn ka̱ akùm ɓa chu apal anung nzhi te, mmá cha oga ala̱ka̱n oga akerup ká̱ oga ikún akulom, kang wa nnà ta kpa ka̱ izər nzhi Inan nchumchum.
1a29150099	Oga ndar ngga anung nzhi Inan nchumchum va̱ ta, mbəbal ká̱ nwuwang màl izər, kang kà̱ mpyal Atak Ayə́ryər va̱ ta, iya̱m iro nna yà fa izər
1a29160118	ka̱ mpyal atak nshì iya̱m awop aga akun, nrurup ashar pa̱ tukun ká̱ aɓuɓo, nwuwang ashar pa̱ shatɗing ká̱ aɓuɓo. Oga nggulyanggugulyanggu, ká̱ ìjilijili, ká̱ izəzər mmá nəm ká̱ akun. Te uza̱ là á mi pa̱, “Atebəl va̱ ta̱ nna kà̱ mpyal àYawe.”
1a2917005b	Nzhi Inan nchumchum ká̱ Atak Ayə́ryər òma yà ká̱ oga anung nzhi mbol pa̱ mparəm.
1a2918005b	Nza̱ anung nzhi nggo te, nna yà ká̱ atak nkuk pa̱ mparəm, nva i bol nsəm ká̱ ashe.
1a291900e3	Ka̱ apal oga anung nzhi ngga nzhi Inan nchumchum te, mmá cha ala̱ka̱n oga akerup ká̱ oga ikún akulom wa nva mmá cha ka̱ izər nzhi á. Kang aghal nna yà ava mmá pak ká̱ akun kà̱ mpyal atak njul ngga asa̱l agbai.
1a291a00d8	Oga mɓol ayə́r nzhi nna yà mɓotɓot ká̱ oga ala̱ka̱n ikún akulom kà̱ nza̱ ngba̱k nggo, ká̱ ngba̱k oga izər nzhi aga atak njul, kang ka̱ apal anung oga afu nzhi ngga ngba̱k aga nzhi Inan nchumchum.
1a2a01009a	Te uza̱ ga ká̱ mi ka̱ agəla̱n va̱ dər asa̱l mpal, kang uza̱ ɓa ká̱ mi kà̱ nzhi va màl ìkwoksok ká̱ agbagba ká̱ nzhi ngga asa̱l mpal.
1a2a0200aa	Nwang nzhi va̱ anunung dər asa̱l mpal te, ashar ìgba̱l ká̱ ìsəm pa̱ ìfangshat ama̱n pa̱ tukun, kang mbəbal ashar ìsəm pa̱ ìna̱nne ama̱n pa̱ fangshat.
1a2a0300b6	Ka̱ asa̱l mpyal amulok aga ashe te, ashar ìsəm pa̱ ishatɗing ama̱n pa̱ tukun, kà̱ mpyal agəla̱n agba̱pgba̱p va̱ ka̱ agbai te, nzhi nna yà dàt nkyén pa̱ nshatshat.
1a2a0400dc	Kà̱ mpyal afu oga nzhi va̱ ta, asa̱l nna yà ka̱ ashe, mbəbal ashar pa̱ gba̱pchi ama̱n pa̱ fangshat, kang nwuwang ashar ìgba̱l ká̱ ìsəm pa̱ ìfangshat ama̱n pa̱ tukun. Oga anung oza̱ dər asa̱l mpal.
1a2a050067	Kang oga afu nzhi va̱ ka̱ apal á ɓot ji nvəngva̱ ji kà̱ ìshimshe kà̱ nvəngva̱ ka̱ avəng.
1a2a0600c3	Ka̱kul nna yà ká̱ nkyén pa̱ nshat, kang oza̱ yà ká̱ oga nggwan wa oga nggwan ngga agəla̱n ka̱t. Kang oga nzhi va̱ ka̱ apal rup chu oga nvəngva̱ ka̱ avəng ká̱ ìshimshe ka̱t.
1a2a0700bc	Kang akamsəlang nna yà ka̱ agbai dát ká̱ oga afu nzhi va̱ dər asa̱l agəla̱n, kang à màl ìkwoksok ká̱ oga afu nzhi, nwuwang ashar ìsəm pa̱ ìna̱nne ama̱n pa̱ fangshat.
1a2a0800dd	Nwang oga afu nzhi va̱ ka̱ agəla̱n te, ashar ìsəm pa̱ ìna̱nne ama̱n pa̱ fangshat. Kang oga nro va̱ dər asa̱l nzhi Inan nchumchum te, nwang oza̱ ashar ìgba̱l ká̱ ìsəm pa̱ ìfangshat ama̱n pa̱ tukun.
