2b00000004	John
3e030c00a6	Don’t be like Cain, who belonged to the evil one, and killed his brother. Why did he kill him? Because Cain’s deeds were evil, and his brother’s were righteous.
3e030d0043	Don’t be surprised, brothers and sisters, if the world hates you.
3e030e0098	We know that we have passed out of death into life, because we sincerely love our brothers and sisters. Whoever doesn’t sincerely love lives in death.
3e030f0070	Whoever hates his brother or sister is a murderer, and you know that no murderer has eternal life living in him.
3e03100090	By this we know God’s sincere love, because He laid down His life for us. So we also ought to lay down our lives for our brothers and sisters.
3e0311009b	If someone has this world’s goods, and sees a brother in need, and closes up his heart of compassion from him, how does God’s sincere love live in him?
3e03120066	My little children, let’s not sincerely love just in words or in language, but in deed and in truth.
3e03130062	This is how we will know that we belong to the truth, and how we will assure our hearts before Him
3e0314005c	whenever our hearts condemn us; for God is greater than our hearts, and He knows all things.
3e03150049	Beloved, if our hearts don’t condemn us, we have confidence before God;
3e0316006c	and we receive from Him whatever we ask, because we keep His commandments and do the things that please Him.
3e0317008f	This is His commandment, that we believe in the name of His Son, Jesus Christ, and that we sincerely love one another, just as He commanded us.
3e03180091	Whoever keeps His commandments lives in Him, and He lives in that person. This is how we know that He lives in us: by the Spirit He has given us.
3e04010097	Beloved, don’t believe every spirit, but test the spirits to see whether they are from God; because many false prophets have gone out into the world.
3e04020078	This is how you know God’s Spirit: every spirit that acknowledges that Jesus Christ has come in the flesh is from God.
3e040300a8	Every spirit that fails to acknowledge Jesus isn’t from God. This is the spirit of the antichrist, which you have heard is coming, and now it is already in the world.
3e0404007b	You are from God, little children, and have overcome them, because He who is in you is greater than he who is in the world.
3e04050069	They are from the world, therefore they talk like they are from the world, and the world listens to them.
3e0406009d	We are from God. Whoever knows God listens to us. Whoever is not from God does not listen to us. By this we know the spirit of truth and the spirit of error.
3e04070088	Beloved, let us sincerely love one another, for sincere love is from God, and everyone who sincerely loves is born of God and knows God.
3e04080051	The one who doesn’t sincerely love doesn’t know God, for God is sincere love.
3e0409008b	The sincere love of God was manifested in us by this, that God has sent His only born Son into the world so that we might live through Him.
3e040a008f	In this is sincere love: not that we sincerely loved God, but that He sincerely loved us and sent his Son as an atoning sacrifice for our sins.
3e040b005a	Beloved, if God sincerely loved us like this, we ought to sincerely love one another, too.
3e040c007c	No one has ever seen God, but if we sincerely love one another, God lives in us and His sincere love is made complete in us.
3e040d005c	This is how we know that we live in Him and He in us, because He has given us of His Spirit.
3e040e0051	We have seen and testify that the Father has sent the Son as Savior of the world.
3e040f005a	God lives in whoever confesses that Jesus is the Son of God, and that person lives in God.
3e041000a4	We have come to know and have believed the sincere love which God has for us. God is sincere love. One who lives in sincere love lives in God, and God lives in him.
3e04110095	Sincere love has been perfected among us in this: that we may have confident boldness on the judgment day, because as He is, so are we in this world.
3e041200aa	There is no fear in sincere love, but perfect, sincere love casts out fear, because fear involves punishment. But whoever fears has not been made perfect in sincere love.
3e04130037	We sincerely love, because He first sincerely loved us.
3e041400d5	If someone says, “I sincerely love God,” and hates his brother or sister, he is a liar. If someone doesn’t sincerely love a brother or sister he has seen, how can he sincerely love God whom he hasn’t seen?
3e04150076	This commandment we have from Him: that whoever sincerely loves God must sincerely love his brothers and sisters, too.
3e05010073	Whoever believes that Jesus is the Christ is born of God, and whoever loves the Father loves the child born of Him.
3e05020075	This is how we know that we sincerely love the children of God: by sincerely loving God and keeping His commandments.
3e05030066	For this is God’s sincere love, that we keep His commandments. His commandments aren’t burdensome,
3e0504006d	for whatever is born of God overcomes the world. This is the victory that has overcome the world - our faith.
3e05050057	Who is the one who overcomes the world, but one who believes that Jesus is God’s Son?
3e05060061	This is He who came by water and blood - Jesus Christ; not only by water, but by water and blood.
3e0507005e	It is the Spirit who testifies, because the Spirit is truth. For there are three that testify,
3e0508004e	the Spirit, the water, and the blood; and these three are in agreement as one.
3e05090088	If we receive the witness of men, the witness of God is greater; because this is God’s testimony which He has testified about His Son.
3e050a00d2	One who believes in the Son of God has the witness in himself. One who doesn’t believe God has accused Him of being a liar, because he hasn’t believed in the testimony that God has given concerning His Son.
3e050b0055	This is the witness, that God has given us eternal life, and this life is in His Son.
3e050c0055	Whoever has the Son has life. Whoever doesn’t have God’s Son doesn’t have life.
3e050d007b	I have written these things to you who believe in the name of God’s Son, so that you may know that you have eternal life.
3e050e0067	This is the confidence that we have in Him: that if we ask anything according to His will, He hears us.
3e050f0074	If we know that He hears us in whatever we ask, then we know that we have the requests which we have asked from Him.
3e05100106	If you see your brother or sister committing a sin not leading to death, you should ask, and God will, for you, give life to those who commit sin not leading to death. There is a kind of sin leading to death. I don’t say that you should make requests for this.
3e05110054	All unrighteousness is sin, and there is a kind of sin that doesn’t lead to death.
3e05120095	We know that anyone who is born of God doesn’t keep sinning, but He who was born of God keeps him. The wicked one doesn’t harm or even touch him.
3e05130055	We know that we belong to God, and the whole world lies in the power of the evil one.
3e051400c4	We know that God’s Son has come, and has given us understanding, so that we might know Him who is true. We are in Him who is true, in His Son Jesus Christ. This is the true God and eternal life.
3e0515002c	Little children, keep yourselves from idols.
3f00000006	2 John
3f0101008e	The Elder, To the chosen lady and her children, whom I sincerely love in truth - and not only I, but also all those who have known the truth -
3f01020043	because of the truth which lives in us and will be with us forever:
3f0103008d	Grace, mercy, and peace will be with us from God the Father and from the Lord Jesus Christ, the Son of the Father, in truth and sincere love.
3f01040073	I was very glad to find some of your children walking in truth, just as we have been commanded to do by the Father.
3f01050098	Now I ask you, dear lady, not as writing to you a new commandment, but the one which we have had from the beginning, that we sincerely love one another.
3f010600a1	This is sincere love: that we walk according to His commandments. This is the commandment, just as you have heard from the beginning, that you should walk in it.
3f010700a4	For many deceivers have gone out into the world - those who don’t acknowledge that Jesus Christ has come in the flesh. Such a one is a deceiver and an antichrist.
3f01080068	Watch yourselves, that you might not lose what we have accomplished, but that you may get a full reward.
3f0109009e	Anyone who doesn’t live in the teaching of Christ, but runs away from it, doesn’t have God. One who lives in the teaching has both the Father and the Son.
3f010a0071	If anyone comes to you and doesn’t bring this teaching, don’t welcome or receive that person into your house,
3f010b0052	for the one who welcomes such a person participates in that person’s evil deeds.
3f010c00a9	Since I have so many things to write to you, I don’t want to do so with paper and ink; but I hope to come to you and speak face to face, that our joy may be made full.
3f010d0033	The children of your chosen sister greet you. Amen.
4000000006	3 John
4001010040	The Elder, To the beloved Gaius, whom I sincerely love in truth:
400102006f	Beloved, I pray that in all ways you may prosper and be in good health, just as I know that your soul prospers.
4001030080	For I rejoiced greatly when some brothers came and testified about the truth that is in you, as indeed you do walk in the truth.
400104004d	I have no greater joy than to hear that my children are walking in the truth.
4001050083	Beloved, you are acting faithfully in whatever you accomplish for the brothers and sisters, and especially when they are strangers.
4001060081	They have testified to your sincere love before the church. You will do well to send them on their way in a manner worthy of God,
400107004f	for they went out for the sake of the Name, accepting nothing from the heathen.
4001080058	Therefore we ought to support such people, that we may be fellow workers with the truth.
4001090066	I wrote to the church, but Diotrephes, who loves to be first among them, doesn’t accept what we say.
40010a0117	For this reason, if I come, I will call attention to his deeds which he does, unjustly accusing us with wicked words. Not satisfied with this, he himself doesn’t receive the brothers and sisters, either, and he forbids those who desire to do so and puts them out of the church.
40010b0087	Beloved, don’t imitate what is evil, but what is good. The one who does good belongs to God; the one who does evil hasn’t seen God.
40010c0090	Demetrius has received a good testimony from everyone, and from the truth itself. We add our testimony, and you know that our testimony is true.
40010d005d	I had many things to write to you, but I would rather not write them to you with pen and ink;
40010e003b	but I hope to see you soon, and we will speak face to face.
40010f0042	Peace be to you. The friends greet you. Greet the friends by name.
