130000000a	Sálmarnir
2b010e00aa	Kristur fæddist sem maður og bjó hér á jörðinni meðal okkar, fullur náðar og sannleika. Við sáum dýrð hans – dýrð eingetins sonar hins himneska föður.
2b010f006e	Jóhannes benti fólkinu á hann og sagði: „Sá mun koma sem mér er æðri og var löngu á undan mér.“
2b0110004b	Öll höfum við notið miskunnar hans og kærleika, náðar á náð ofan.
2b01110093	Móse flutti okkur lögmálið með öllum þess ströngu kröfum og afdráttarlausa réttlæti, en náðin og sannleikurinn kom með Jesú Kristi.
2b0112007b	Enginn hefur nokkurn tíma séð Guð en einkasonur hans, sem stendur næst föðurnum, hefur kennt okkur að þekkja hann.
2b0113008d	Leiðtogar Gyðinga sendu nú presta og musterisþjóna frá Jerúsalem til að spyrja Jóhannes hvort hann væri Kristur, konungur Ísraels.
2b01140051	En því neitaði Jóhannes afdráttarlaust og sagði: „Ég er ekki Kristur.“
2b01150075	„Hver ertu þá?“ spurðu þeir, „ertu Elía?“ „Nei,“ svaraði hann. „Ertu spámaðurinn?“ „Nei.“
2b01160076	„Hver þá? Segðu okkur það, svo við getum svarað þeim sem sendu okkur. Hvað viltu segja um sjálfan þig?“
2b01170056	Hann svaraði: „Ég er rödd sem hrópar: „Búið ykkur undir komu Drottins!““
2b0118009f	Þeir sem sendir voru frá faríseunum spurðu þá: „Fyrst þú ert hvorki Kristur, Elía né spámaðurinn, hvaða rétt hefur þú þá til að skíra?“
2b011a0073	„Ég skíri aðeins með vatni,“ svaraði Jóhannes, „en hér á meðal okkar er sá sem þið þekkið ekki.
2b011b0060	Hann mun brátt hefja starf sitt. Ég er ekki einu sinni verður þess að vera þræll hans.“
2b011c0062	Þetta gerðist hjá Betaníu, þorpi austan við ána Jórdan, þar sem Jóhannes var að skíra.
2b011d009a	Daginn eftir sá Jóhannes Jesú koma gangandi í átt til sín. „Sjáið!“ sagði Jóhannes, „þarna er Guðs lambið sem tekur burt synd heimsins!
2b011e0062	Ég átti við hann þegar ég sagði: „Sá mun koma sem mér er æðri og var á undan mér.“
2b011f0078	En ég vissi ekki að þetta væri hann. Mitt hlutverk er að skíra með vatni og benda Ísraelsþjóðinni á hann.“
2b01200077	Síðan sagði Jóhannes að hann hefði séð heilagan anda stíga niður af himni eins og dúfu og hvíla yfir honum.
2b01210115	„Ég vissi ekki að þetta væri hann,“ sagði Jóhannes aftur, „en þegar Guð sendi mig til að skíra sagði hann: „Þegar þú sérð heilagan anda koma niður og setjast á einhvern – þá er það sá sem þú leitar að. Hann mun skíra með heilögum anda.“
2b01220057	Þetta sá ég gerast núna á þessum manni og því segi ég: Hann er sonur Guðs.“
2b01230047	Daginn eftir var Jóhannes á sama stað ásamt tveim lærisveina sinna
2b0124006f	og var Jesús þar aftur á gangi. Jóhannes horfði á hann og sagði: „Sjáið! Þarna er Guðs lambið!“
2b01250030	Lærisveinarnir tveir fóru þá á eftir Jesú.
2b01260078	Jesús leit við, sá þá koma og spurði: „Hvað viljið þið?“ „Herra,“ svöruðu þeir, „hvar býrðu?“
2b012700af	„Komið og þá sjáið þið það,“ svaraði hann. Síðan fóru þeir með honum þangað sem hann dvaldist og voru hjá honum frá því um fjögurleytið til kvölds.
2b0128003c	Annar þessara manna var Andrés, bróðir Símonar Péturs.
2b0129005b	Andrés fer nú að finna bróður sinn, Símon, og segir: „Við höfum fundið Krist!“
2b012a0093	Og hann fór með hann til Jesú. Jesús leit á hann og sagði: „Þú ert Símon Jónasson, en nú skalt þú kallast Pétur, – kletturinn!“
2b012b0076	Daginn eftir ákvað Jesús að fara til Galíleu. Þá hitti hann Filippus og sagði við hann: „Fylg þú mér.“
2b012c003b	Filippus var frá Betsaída, heimabæ Andrésar og Péturs.
2b012d00b9	Filippus fór að finna Natanael og sagði við hann: „Við höfum fundið Krist – þann sem Móse og spámennirnir töluðu um! Hann heitir Jesús Jósefsson og er frá Nasaret.“
2b012e008a	„Nasaret!“ hrópaði Natanael. „Getur nokkuð gott komið þaðan?“ „Komdu og sjáðu sjálfur,“ svaraði Filippus ákveðinn.
2b012f0054	Þegar þeir komu þangað sagði Jesús: „Hér kemur ósvikinn Ísraelsmaður.“
2b0130008e	„Hvaðan þekkir þú mig?“ spurði Natanael. „Ég sá þig undir fíkjutrénu, áður en Filippus kallaði á þig,“ svaraði Jesús.
2b0131004a	„Herra! Þú ert sonur Guðs! – konungur Ísraels!“ sagði Natanael.
2b0132008e	„Trúir þú bara vegna þess að ég sagðist hafa séð þig undir fíkjutrénu?“ spurði Jesús. „Þú skalt sjá það sem meira er.
2b0133005f	Þú munt jafnvel sjá himininn opinn og engla Guðs stíga upp og niður frammi fyrir mér.“
2b0201005b	Tveim dögum síðar var móðir Jesú boðin í brúðkaup til bæjarins Kana í Galíleu.
2b02020036	Jesús var einnig boðinn, ásamt lærisveinum sínum.
2b02030073	Meðan á veislunni stóð kláraðist vínið. Móðir Jesú gekk þá til hans og sagði honum þessi vandræði.
2b0204005b	„Ég get ekki hjálpað þér núna,“ sagði hann, „minn tími er enn ekki kominn.“
2b02050052	En móðir hans sagði við þjónana: „Gerið allt eins og hann segir ykkur.“
2b02060072	Þarna stóðu sex steinker, sem notuð voru við ákveðna trúarsiði, og tók hvert þeirra um hundrað lítra.
2b02070093	Jesús sagði nú þjónunum að fylla þau af vatni. Að því búnu sagði hann: „Takið nú smásopa af þessu og færið veislustjóranum.“
2b020900d5	Þegar veislustjórinn bragðaði á vatninu, sem nú var orðið að víni, varð hann undrandi því hann vissi ekki hvaðan það var komið (þótt þjónarnir vissu það). Hann kallaði þá á brúðgumann.
2b020a0120	„Þetta er frábært vín!“ sagði hann. „En þú ert ekki eins og aðrir. Flestir bera fyrst fram besta vínið, en þegar menn eru orðnir ölvaðir og kæra sig ekki um meira, þá eru teknar fram ódýru tegundirnar. Þú hefur hins vegar geymt það besta þar til síðast.“
2b020b00b1	Þetta fyrsta kraftaverk sitt gerði Jesús í Kana í Galíleu og opinberaði með því dýrð sína. Það varð til þess að lærisveinarnir trúðu að hann væri Kristur.
2b020c0081	Eftir brúðkaupið fór Jesús til Kapernaum, ásamt móður sinni, bræðrum og lærisveinum, og voru þau þar í nokkra daga.
2b020d003b	Nú leið að páskum og hélt Jesús því til Jerúsalem.
2b020e00a2	Á musterissvæðinu sá hann kaupmenn sem seldu nautgripi, kindur og dúfur, er nota átti sem fórnardýr. Þar sátu einnig menn við borð og skiptu peningum.
2b020f00bc	Jesús bjó þá til svipu úr köðlum og rak þá alla út, einnig féð og nautgripina, dreifði smápeningum þeirra sem skiptu myntinni, út um allt gólf og velti um borðum þeirra.
2b0210009c	Því næst gekk hann til dúfnasalanna og sagði við þá: „Út með þetta! Þið hafið ekkert leyfi til að breyta húsi föður míns í markað!“
2b0211008c	Þetta minnti lærisveinana á spádóm í Biblíunni, sem þannig hljóðar: „Umhyggja fyrir húsi Guðs mun ekki láta mig í friði.“
2b021200b9	„Hvaða rétt hefur þú til að reka þá út?“ spurðu leiðtogar fólksins hranalega. „Ef þú hefur vald þitt frá Guði, sýndu okkur þá kraftaverk því til sönnunar.“
2b02130090	„Já,“ svaraði Jesús, „þetta kraftaverk skuluð þið fá: Brjótið þennan helgidóm niður og ég mun reisa hann á þrem dögum!“
2b02140096	„Hvað þá!“ hrópuðu þeir. „Það tók fjörutíu og sex ár að byggja þetta musteri, en þykist þú geta reist það á þrem dögum?“
2b0215003e	Með orðinu „helgidómur“ átti Jesús við líkama sinn.
2b0216009f	Eftir upprisu hans minntust lærisveinar hans þessara orða, og skildu að það sem hann tilnefndi úr Biblíunni, átti við hann sjálfan og rættist allt.
2b02170081	Kraftaverkin sem Jesús gerði í Jerúsalem yfir páskahátíðina, sannfærðu marga um að hann væri í raun og veru Kristur.
2b0218008b	En hann treysti ekki þessu fólki, því að hann þekkti hugsanir þess fullkomlega og vissi hve menn eru fljótir að skipta um skoðun!
2b03010029	Kvöld eitt, eftir að dimmt var orðið,
2b030200fe	kom einn af ráðherrum Gyðinga, farísei að nafni Nikódemus, til Jesú að ræða við hann. „Herra,“ sagði hann, „við vitum allir að Guð hefur sent þig til að fræða okkur, það sanna kraftaverk þín svo að ekki verður um villst.“
2b0303007d	„Ég segi þér satt, Nikódemus,“ sagði Jesús, „ef þú endurfæðist ekki muntu aldrei komast inn í guðsríki.“
2b0304009d	„Endurfæðist?“ spurði Nikódemus, „hvað er nú það? Hvernig getur gamall maður komist aftur inn í kvið móður sinnar og fæðst að nýju?“
2b03050092	„Það sem ég á við,“ svaraði Jesús, „er þetta: Ef maðurinn fæðist ekki af vatni og anda, getur hann ekki komist inn í guðsríki.
2b03060061	Maður getur aðeins fætt af sér aðra mannveru, en heilagur andi gefur nýtt líf frá himnum.
2b0307004f	Vertu því ekki hissa þótt ég segi að þú verðir að fæðast að nýju!
2b030800d5	Þetta er eins og með vindinn. Þú heyrir í honum en veist samt ekki hvaðan hann kemur eða hvert hann fer. Þannig er það einnig með anda Guðs. Við vitum ekki hverjum hann gefur næst líf frá himni.“
2b03090037	„Þetta get ég ekki skilið!“ svaraði Nikódemus.
2b030a00c1	„Þú ert mikils metinn kennari hér í Jerúsalem en samt skilur þú þetta ekki!“ sagði Jesús. „Ég er að segja þér það sem ég veit og hef séð, en samt trúir þú mér ekki.
2b030c009a	Ef þú trúir mér ekki þegar ég segi þér frá hlutum sem gerast meðal manna, hvernig geturðu þá trúað ef ég segi þér frá himneskum hlutum?
2b030d0060	Ég, Kristur, er sá eini sem komið hefur niður til jarðarinnar og mun fara aftur til himins.
2b030e0062	Móse reisti eirorminn upp á stöng í eyðimörkinni og þannig mun mér einnig verða lyft upp,
2b030f0035	svo að allir sem á mig trúa, eignist eilíft líf.
2b0310008f	Því að svo elskaði Guð heiminn að hann gaf einkason sinn til þess að hver sem trúir á hann glatist ekki, heldur eignist eilíft líf.
2b0311005c	Guð sendi ekki son sinn til jarðarinnar til að dæma heiminn, heldur til að frelsa hann.
2b031200a5	Sá sem trúir á hann verður ekki dæmdur. En sá sem ekki trúir, hefur sjálfur kallað yfir sig dóm og er þegar dæmdur fyrir að vilja ekki trúa syni Guðs.
2b03130094	Ástæður dómsins eru þessar: Ljósið frá himnum kom í heiminn, en mennirnir elskuðu myrkrið meir en ljósið, því verk þeirra voru vond.
2b031400bf	Þeim var illa við þetta himneska ljós, því þá langaði til að syndga í myrkrinu. Þeir héldu sig í skugganum af ótta við að flett yrði ofan af syndum þeirra og þeim refsað.
2b0315008a	En þeir sem í öllu leitast við að gera rétt, koma fúslega fram í ljósið, svo að allir geti séð að þeir geri Guðs vilja.“
2b0316007d	Eftir þetta fór Jesús, ásamt lærisveinum sínum, frá Jerúsalem og dvöldust þeir um tíma í Júdeu og skírðu þar.
2b031700a2	Þegar þetta var, hafði Jóhannesi skírara enn ekki verið varpað í fangelsi og var hann að skíra við Aínon, nálægt Salím, því þar var mikið vatn.
2b0319006f	Dag einn fór einhver að deila við lærisveina Jóhannesar og sagði að betra væri að skírast hjá Jesú.
2b031a00c7	Þeir fóru því til Jóhannesar og sögðu: „Meistari, maðurinn sem þú hittir hinum megin við ána – sá sem þú sagðir að væri Kristur – hann skírir líka og allir fara til hans.“
2b031b0051	„Enginn getur tekið neitt, nema Guð leyfi honum það,“ svaraði Jóhannes.
2b031c00e1	„Mitt hlutverk er að ryðja veginn fyrir Krist, svo að allir fari til hans. Þið vitið sjálfir að ég sagði ykkur að ég væri ekki Kristur. Ég er hér aðeins til að undirbúa komu hans – það er allt og sumt.
2b031d00e2	Fólkið fer auðvitað til hans sem hefur mesta aðdráttaraflið – brúðurin fer þangað sem brúðguminn er – og vinur brúðgumans samgleðst honum. Ég er vinur brúðgumans. Ég gleðst innilega yfir árangri hans.
2b031e0023	Hann á að vaxa en ég að minnka.
2b031f0066	Hann kom frá himni og er öllum æðri. Ég er af jörðu og skilningur minn bundinn hinu jarðneska.
2b0320004f	Kristur segir frá því sem hann hefur séð og heyrt, samt trúa honum fáir.
2b032100b7	En þeir sem það gera komast að raun um að Guð er uppspretta sannleikans. Því að Kristur er sendur af Guði og talar Guðs orð og andi Guðs starfar í honum, hindrunarlaust.
2b0323005c	Faðirinn elskar þennan mann, því að hann er sonur hans og hann hefur gefið honum allt.
2b032400b9	Allir sem treysta honum – Guðssyninum – eignast eilíft líf, en þeir sem hvorki trúa honum né hlýða, munu aldrei sjá guðsríki heldur mun reiði Guðs hvíla yfir þeim.“
2b0401007c	Þegar Drottni varð ljóst að farísearnir hefðu frétt að hann fengi fleiri lærisveina og skírði fleiri en Jóhannes
2b0402003e	(Jesús skírði þó ekki sjálfur heldur lærisveinar hans),
2b04030035	þá yfirgaf hann Júdeu og hélt aftur til Galíleu.
2b0404002f	Á leiðinni þurfti hann að fara um Samaríu.
2b040500d8	Um hádegi kom hann í Samverjaþorp sem Síkar heitir, nálægt landi því sem Jakob gaf Jósef syni sínum, en þar er Jakobsbrunnur. Jesús var orðinn þreyttur eftir langa göngu og settist því við brunninn.
2b0407006d	Í sama bili kom þar að samversk kona til þess að sækja vatn. Jesús bað hana að gefa sér að drekka.
2b0408006c	Hann var einn þessa stundina, því að lærisveinar hans höfðu farið inn í þorpið til að kaupa mat.
2b040900b2	Konan varð undrandi á að Gyðingur skyldi biðja hana – konu og Samverja – um nokkuð, því að Gyðingar virtu þá ekki viðlits. Hún hafði orð á þessu við Jesú.
2b040a00a0	Hann svaraði: „Ef þú þekktir gjöf Guðs og vissir, hver sá er sem biður þig um vatn að drekka, mundir þú biðja mig að gefa þér lifandi vatn.“
2b040b008c	„Þú hefur hvorki reipi né fötu og þessi brunnur er mjög djúpur,“ sagði hún, „hvar ætlar þú að ná í þetta lifandi vatn?
2b040c00b5	Ertu kannski meiri en Jakob forfaðir okkar, sem gaf okkur þennan brunn? Og hvernig ætlar þú að bjóða betra vatn en það sem hann sjálfur drakk og synir hans og kvikfé?“
2b040d0064	Jesús svaraði henni og sagði að fólk þyrsti fljótlega aftur, þótt það drykki þetta vatn.
2b040e0078	„En,“ bætti hann við, „vatnið sem ég gef, verður að lind hið innra með þeim og veitir eilífa svölun.“
2b040f008e	„Herra,“ sagði konan, „gefðu mér þetta vatn svo að ég verði aldrei þyrst og þurfi ekki að fara hingað daglega eftir vatni.“
2b04100037	„Farðu og náðu í manninn þinn,“ sagði Jesús.
2b041100b0	„Ég er ekki gift,“ svaraði konan. „Satt er það,“ svaraði Jesús, „þú hefur átt fimm menn og þú ert ekki einu sinni gift þeim sem þú býrð með núna.“
2b0413003f	„Herra,“ sagði konan, „þú hlýtur að vera spámaður,
2b041400f2	en segðu mér, af hverju segið þið, Gyðingar, að Jerúsalem sé eini staðurinn þar sem eigi að tilbiðja Guð? Við Samverjar höldum því fram að rétti staðurinn sé hér á Gerasímfjalli, þar sem forfeður okkar tilbáðu.“
2b041501f2	„Kona,“ svaraði Jesús, „sá tími kemur, þegar ekki skiptir máli hvort við tilbiðjum föðurinn hér eða í Jerúsalem. Spurningin er ekki hvar við tilbiðjum, heldur hvernig. Hverjum manni er nauðsynlegt að fá hjálp heilags anda til að geta tilbeðið Guð á réttan hátt og eftir hans vilja. Þið Samverjar biðjið í blindni, af því að þið þekkið hann ekki nema að litlu leyti, en við Gyðingar þekkjum hann því að heimurinn fær hjálpræðið frá okkur.“
2b041900ab	„Ja-á,“ svaraði konan, „ég veit að Kristur kemur – Messías, eins og þið kallið hann – og þegar hann kemur mun hann útskýra þetta allt fyrir okkur.“
2b041a0039	Þá sagði Jesús: „Ég er hann sem við þig tala.“
2b041b00c1	Rétt í þessu komu lærisveinar hans þar að. Þeir urðu undrandi að sjá hann á tali við konu, en enginn þeirra spurði hann þó hvers vegna eða um hvað þau hefðu verið að tala.
2b041c00c4	Konan lagði vatnskrúsina frá sér við brunninn, fór inn í þorpið og sagði við alla: „Komið! Sjáið manninn sem sagði mér allt, sem ég hef aðhafst! Ef til vill er hann Kristur!“
2b041e003a	Og fólkið streymdi út úr þorpinu til að hitta Jesú.
2b041f0052	Meðan á þessu stóð hvöttu lærisveinarnir Jesú til að fá sér að borða,
2b04200042	en hann svaraði: „Nei, ég hef mat sem þið vitið ekki um.“
2b0421003d	„Hver gaf honum mat?“ spurðu lærisveinarnir hver annan.
2b04220072	Jesús útskýrði þetta og sagði: „Minn matur er að gera vilja Guðs, sem sendi mig, og fullkomna hans verk.
2b042300be	Haldið þið að uppskeran hefjist ekki fyrr en í lok sumars, eða eftir fjóra mánuði? Lítið í kring um ykkur! Hvert sem litið er eru víðáttumiklir akrar, tilbúnir til uppskeru.
2b0424008a	Sá sem uppsker fær laun og safnar ávöxtum til eilífs lífs, til þess að bæði sá sem sáir og sá sem uppsker geti glaðst saman.
2b0425001c	Einn sáir en annar uppsker.
2b04260084	Ég sendi ykkur til að uppskera þar sem þið hafið ekki sáð, aðrir hafa erfiðað, en þið fáið að bjarga uppskerunni.“
2b0427009c	Margir úr þessu samverska þorpi trúðu nú að Jesús væri Kristur vegna orða konunnar sem vitnaði: „Hann sagði mér allt sem ég hef aðhafst!“
2b042800b2	Fólkið kom út að brunninum til hans og bað hann að staldra við hjá sér. Hann dvaldist því þar í tvo daga, og miklu fleiri tóku trú eftir að hafa hlustað á hann.
2b042a00bd	Og við konuna sagði fólkið: „Það er ekki framar fyrir þín orð að við trúum, því að við höfum sjálf heyrt og vitum að þessi maður er í sannleika frelsari heimsins.“
2b042b0094	Eftir tvo daga hélt Jesús áfram til Galíleu. Hann hafði áður sagt: „Spámaður er alls staðar mikils metinn nema í sínum heimahögum.“
2b042d0088	En fólkið í Galíleu tók honum samt vel, enda hafði það verið á páskahátíðinni í Jerúsalem og séð sum kraftaverka hans.
2b042e0199	Á leið sinni um Galíleu kom Jesús til Kana, bæjarins þar sem hann hafði áður breytt vatninu í vín. Meðan hann var þar frétti embættismaður nokkur, sem bjó í Kapernaum, að Jesús væri kominn frá Júdeu. Sonur þessa manns var veikur og því fór faðirinn til Kana til að finna Jesú. Hann sárbað Jesú að koma með sér til Kapernaum og lækna son sinn, sem var nær dauða en lífi.
2b0430007f	Jesús spurði hann: „Hvers vegna er það, getið þið ekki trúað nema þið fáið stöðugt að sjá ný kraftaverk?“
2b0431005a	En embættismaðurinn bað hann og sagði: „Herra, komdu áður en barnið mitt deyr!“
2b04320074	Þá sagði Jesús: „Farðu heim til þín, sonur þinn lifir:“ Maðurinn trúði honum og lagði af stað heim.
2b04330070	Á leiðinni mætti hann einum þjóna sinna, sem sagði honum þær gleðifréttir að syni hans væri batnað.
2b0434008b	Þá spurði maðurinn hvenær honum hefði farið að batna og svarið var: „Um eittleytið í gær fór hitinn skyndilega úr honum!“
2b043500d1	Þá mundi faðirinn að það var einmitt á þeirri stundu sem Jesús hafði sagt við hann: „Sonur þinn lifir.“ Þetta varð til þess að embættismaðurinn og allt hans heimafólk tók trú á Jesú.
2b0436006e	Þetta var annað kraftaverkið sem Jesús vann í Galíleu, en það gerði hann við heimkomuna frá Júdeu.
2b0501004c	Seinna fór Jesús aftur til Jerúsalem til að vera þar á trúarhátíð.
2b05020066	Inni í borginni rétt við Sauðahliðið var Betesdalaugin og við hana fimm yfirbyggð súlnagöng.
2b05030081	Þar lá mikill fjöldi af veiku fólki – lömuðu, blindu eða bækluðu. (Fólk þetta beið eftir vissri hreyfingu vatnsins,
2b0504007a	því að engill Drottins kom af og til og hreyfði við því, og sá læknaðist sem fyrstur komst ofan í eftir það.)
2b05050046	Þarna lá maður sem verið hafði veikur í þrjátíu og átta ár.
2b05060073	Þegar Jesús sá hann og vissi hve lengi hann hafði verið veikur, spurði hann: „Viltu verða heilbrigður?“
2b050700c5	„Það er útilokað,“ svaraði maðurinn, „ég hef engan til að hjálpa mér ofan í laugina þegar hreyfing verður á vatninu og þess vegna verður alltaf einhver annar á undan mér.“
2b0508005b	Þá sagði Jesús: „Stattu upp, vefðu saman dýnuna þína og farðu heim til þín!“
2b0509006d	Maðurinn varð heilbrigður á samri stundu! Hann vafði saman dýnuna og gekk. Þetta gerðist á helgidegi
2b050a0092	og því sögðu leiðtogar fólksins við manninn sem læknast hafði: „Það er óleyfilegt að vinna á helgidögum, líka að bera dýnu!“
2b050b004c	„Sá sem læknaði mig, sagði mér að gera það,“ svaraði maðurinn.
2b050c0041	„Hver sagði þér að gera slíkt?“ spurðu þeir hranalega.
2b050d004e	Það vissi maðurinn ekki, því að Jesús hafði horfið í mannþröngina.
2b050e00a1	Seinna hitti Jesús þennan sama mann í musterinu og sagði við hann: „Nú ertu heilbrigður. Syndga ekki framar, svo ekki hendi þig eitthvað enn verra.“
2b050f0083	Maðurinn fór þá til leiðtoga fólksins og sagði þeim að Jesús væri sá sem hefði læknað sig. Það varð til þess að
2b0510003d	þeir ofsóttu Jesú fyrir að brjóta helgidagslöggjöfina.
2b05110051	Þá sagði hann: „Faðir minn starfar allt til þessa og ég starfa einnig.“
2b051200e5	Eftir þetta svipuðust leiðtogarnir enn frekar eftir tækifæri til að taka hann af lífi, því að auk þess að brjóta helgidagslöggjöf þeirra, talaði hann um Guð sem föður sinn og gerði sig þar með Guði jafnan.
2b05130095	Um þetta sagði Jesús: „Sonurinn getur ekkert gert á eigin spýtur. Hann gerir það eitt sem hann sér föðurinn gera og fer síðan eins að.
2b0514008d	Faðirinn elskar soninn og sýnir honum allt sem hann gerir. Seinna mun sonurinn vinna enn meiri kraftaverk en það að lækna þennan mann.
2b0515005a	Hann mun meðal annars vekja upp frá dauðum þá sem hann vill, rétt eins og faðirinn.
2b0516002d	Faðirinn lætur soninn um að dæma syndina,
2b051700aa	svo að allir heiðri soninn eins og þeir heiðra föðurinn. Ef þið viljið ekki heiðra son Guðs, sem Guð sendi ykkur, þá heiðrið þið ekki heldur föðurinn.
2b051800f9	Ég segi ykkur satt og legg á það áherslu, að hver sem heyrir orð mín og trúir Guði, sem sendi mig, eignast eilíft líf og mun aldrei hljóta dóm fyrir syndir sínar, heldur hefur hann þá þegar stigið yfir frá dauðanum til lífsins.
2b051900a5	Og það er líka satt að sú stund kemur, hún er reyndar þegar komin, er hinir dauðu heyra rödd mína – rödd Guðssonarins – og þeir sem heyra munu lifa.
2b051a005b	Faðirinn hefur eilíft líf í sjálfum sér og hann hefur einnig veitt syninum sama líf.
2b051b0062	Og hann hefur veitt honum rétt til að dæma syndir allra manna, því að hann er mannssonurinn.
2b051c00a1	Látið það ekki koma ykkur á óvart, en sú stund er svo sannarlega skammt undan, er allir hinir dauðu, sem í gröfunum eru, munu heyra rödd Guðssonarins
2b051d006f	og rísa upp. Þeir sem gott hafa gert til eilífs lífs, en þeir til dóms, sem lagt hafa stund á hið illa.
2b051e00f8	Ég dæmi engan án þess að ráðfæra mig fyrst við föður minn. Dómur minn er í fullu samræmi við hans vilja, réttvís og sanngjarn, því að hann er ekki aðeins samkvæmt mínum vilja heldur einnig samkvæmt vilja Guðs sem sendi mig.
2b051f0048	Þegar ég fullyrði eitthvað um sjálfan mig, trúið þið mér ekki,
2b052000a2	en einn maður talar þó mínu máli og það er Jóhannes skírari. Þið fóruð að hlusta á hann og ég undirstrika að allt sem hann sagði um mig er satt!
2b052200aa	Hvers vegna minni ég ykkur á vitnisburð Jóhannesar? Jú, til að auðvelda ykkur að trúa mér og frelsast, en þó er besti vitnisburðurinn um mig ekki frá manni.
2b0523004b	Ljós Jóhannesar skein skært um stund og þið nutuð þess og glöddust,
2b052400be	en þegar ég segi að ég hafi betra vitni en Jóhannes, þá á ég við kraftaverkin sem ég geri. Faðir minn hefur falið mér að vinna þau og þau sanna að faðirinn hefur sent mig.
2b05250067	Hann hefur sjálfur vitnað um mig, þó ekki þannig að þið sæjuð hann eða heyrðuð rödd hans.
2b05260074	Þið vitið ekki heldur hvað hann segir því að þið viljið ekki trúa mér, en boðskapur minn er frá honum.
2b05270093	Þið rannsakið Gamla testamentið, því að þið álítið að það gefi ykkur eilíft líf, en svo vitið þið ekki að það vitnar um mig!
2b05280059	Hvers vegna viljið þið ekki koma til mín, svo að ég geti gefið ykkur eilíft líf?
2b05290066	Ég sækist ekki eftir vinsældum ykkar, því ég veit vel að þið berið ekki kærleika til Guðs.
2b052b00dc	Ég veit hvað ég er að segja, því að ég kom til að kynna ykkur föður minn. Samt viljið þið ekkert með mig hafa. Þið takið hins vegar vel á móti þeim sem koma á eigin vegum, en þá hef ég ekki sent.
2b052c0095	Það er ekkert undarlegt þótt þið trúið ekki! Þið þiggið heiður hver af öðrum en leitið ekki þess heiðurs sem Guð einn getur veitt!
2b052d007a	En ég mun samt ekki ákæra ykkur frammi fyrir föðurnum, heldur Móse. Von ykkar um guðsríki hvílir á lögum Móse,
2b052e009a	en samt hafið þið ekki viljað trúa honum. Hann ritaði um mig, en þið viljið ekki trúa honum og þess vegna viljið þið ekki heldur trúa mér.
2b052f0068	Fyrst þið trúið ekki orðum hans, þá er ekki að undra þótt þið trúið ekki orðum mínum.“
2b06010068	Eftir þetta fór Jesús til landsvæðisins hinum megin Galíleuvatnsins, sem kennt er við Tíberías,
2b0602007e	og fylgdi honum gífurlegur mannfjöldi. Margt af þessu fólki var pílagrímar á leið til Jerúsalem á páskahátíðina,
2b06030063	en það langaði til að sjá Jesú lækna hina sjúku og því fylgdi það honum hvert fótmál.
2b0604006e	Jesús gekk upp á fjallið ásamt lærisveinum sínum og settist, og sá þá að mannfjöldinn var að koma.
2b06050077	Hann sneri sér að Filippusi og sagði: „Filippus, hvar getum við keypt brauð til að gefa fólkinu að borða?“
2b06060077	(Jesús hafði ákveðið með sjálfum sér hvað hann ætlaði að gera, en með þessu var hann að reyna Filippus.)
2b0607006c	Filippus svaraði: „Þótt við keyptum ekki nema handa hluta þeirra, mundi það kosta mikla peninga!“
2b0608002f	Þá sagði Andrés, bróðir Símonar Péturs:
2b0609007c	„Hér er ungur drengur með fimm byggbrauð og tvo fiska, en það dugar að vísu skammt handa öllum þessum fjölda.“
2b060a009d	„Látið fólkið setjast niður,“ sagði Jesús. Þá settist allt fólkið niður í grasigróna brekkuna og voru karlmennirnir einir um fimm þúsund.
2b060b007f	Því næst tók hann brauðin, flutti þakkarbæn og skipti þeim meðal fólksins, og fengu allir eins mikið og þeir vildu.
2b060c007c	Þegar allir höfðu borðað nægju sína sagði Jesús: „Tínið nú saman leifarnar svo að ekkert fari til spillis.“
2b060d003b	Það var gert og afgangs urðu tólf sneisafullar körfur!
2b060e0099	Þegar fólkinu varð ljóst hvílíkt kraftaverk hafði gerst hrópaði það: „Hann er áreiðanlega spámaðurinn, sem við höfum beðið eftir!“
2b060f0092	Þegar Jesús sá að fólkið ætlaði að taka hann með valdi og gera hann að konungi, gekk hann enn hærra upp á fjallið, einn síns liðs.
2b06100044	Um kvöldið fóru lærisveinarnir niður að vatninu og biðu hans.
2b0611007c	Þegar myrkrið skall á og Jesús var enn ókominn, stigu þeir í bátinn, héldu út á vatnið og stefndu til Kapernaum.
2b06120042	En á leiðinni hvessti skyndilega svo vatnið varð mjög úfið.
2b06130077	Þeir höfðu róið um sex kílómetra þegar þeir sáu Jesú koma gangandi í átt til sín. Þeir urðu skelkaðir,
2b06140054	en þá kallaði hann til þeirra og sagði: „Verið óhræddir, þetta er ég!“
2b0615006e	Þeir tóku hann upp í bátinn og um leið sáu þeir að þeir voru komnir þangað sem þeir ætluðu sér.
2b06160112	Morguninn eftir fór fólkið að safnast saman á ströndinni hinum megin vatnsins (í von um að hitta Jesú), því það vissi að hann hafði komið þangað með lærisveinum sínum, og að lærisveinarnir höfðu síðan farið á sínum bát, en skilið Jesú eftir.
2b0617002e	Þarna voru margir smábátar frá Tíberías.
2b061800a3	Þegar fólkinu varð ljóst að hvorki Jesús né lærisveinar hans voru þar, þá steig það í bátana og fór yfir vatnið til Kapernaum, til að leita hans.
