0100000012	पैदाइश
18302701a0	वह वावैला करेंगे और कहेंगे, कि उसने कैसी शिकस्त खाई है! मोआब ने शर्म के मारे क्यूँकर अपनी पीठ फेरी! तब मोआब सब आस — पास वालों के लिए हँसी और ख़ौफ़ का ज़रिया' होगा।”
1830280100	क्यूँकि ख़ुदावन्द यूँ फ़रमाता है कि देख, वह 'उक़ाब की तरह उड़ेगा और मोआब के ख़िलाफ़ बाज़ू फैलाएगा।
18302900fa	वहाँ के शहर और क़िले' ले लिए जायेंगे और उस दिन मोआब के बहादुरों के दिल ज़च्चा के दिल की तरह होंगे।
18302a0100	और मोआब हलाक किया जाएगा और क़ौम न कहलाएगा, इसलिए कि उसने ख़ुदावन्द के सामने अपने आपको बुलन्द किया।
18302b00d6	ख़ौफ़ और गढ़ा और दाम तुझ पर मुसल्लत होंगे, ऐ साकिन — ए — मोआब, ख़ुदावन्द फ़रमाता है।
18302c0187	जो कोई दहशत से भागे, गढ़े में गिरेगा, और जो गढ़े से निकले, दाम में फँसेगा; क्यूँकि मैं उन पर, हाँ, मोआब पर उनकी सियासत का बरस लाऊँगा, ख़ुदावन्द फ़रमाता है।
18302d01b1	“जो भागे, इसलिए हस्बोन के साये तले बेताब खड़े हैं; लेकिन हस्बोन से आग और सीहोन के वस्त से एक शो'ला निकलेगा और मोआब की दाढ़ी के कोने को और हर एक फ़सादी की चाँद को खा जाएगा।
18302e011f	हाय, तुझ पर ऐ मोआब! कमोस के लोग हलाक हुए, क्यूँकि तेरे बेटों को ग़ुलाम करके ले गए और तेरी बेटियाँ भी ग़ुलाम हुईं।
18302f012d	बावजूद इसके मैं आख़री दिनों में मोआब के ग़ुलामों को वापस लाऊँगा, ख़ुदावन्द फ़रमाता है।” मोआब की 'अदालत यहाँ तक हुई।
183101020a	बनी 'अम्मोन के बारे में ख़ुदावन्द का इन्साफ़ फ़रमाता है कि: क्या इस्राईल के बेटे नहीं हैं? क्या उसका कोई वारिस नहीं? फिर मिलकूम ने क्यूँ जद्द पर क़ब्ज़ा कर लिया, और उसके लोग उसके शहरों में क्यूँ बसते हैं?
183102026a	इसलिए देख, वह दिन आते हैं, ख़ुदावन्द फ़रमाता है, कि मैं बनी 'अम्मोन के रब्बह में लड़ाई का हुल्लड़ बर्पा करूँगा; और वह खंडर हो जाएगा और उसकी बेटियाँ आग से जलाई जाएँगी; तब इस्राईल उनका जो उसके वारिस बन बैठे थे, वारिस होगा, ख़ुदावन्द फ़रमाता है।
18310301ea	“ऐ हस्बोन, वावैला कर, कि 'ऐ बर्बाद की गई। ऐ रब्बाह की बेटियो, चिल्लाओ, और टाट ओढ़कर मातम करो और इहातों में इधर उधर दौड़ो, क्यूँकि मिलकूम ग़ुलामी में जाएगा और उसके काहिन और हाकिम भी साथ जाएँगे।
183104014b	तू क्यूँ वादियों पर फ़ख़्र करती है? तेरी वादी सेराब है, ऐ बरगश्ता बेटी, तू अपने ख़ज़ानों पर भरोसा करती है, कि 'कौन मुझ तक आ सकता है?'
18310501e0	देख, ख़ुदावन्द, रब्ब — उल — अफ़वाज फ़रमाता है: मैं तेरे सब इर्दगिर्द वालों का ख़ौफ़ तुझ पर ग़ालिब करूँगा; और तुम में से हर एक आगे हाँका जाएगा, और कोई न होगा जो आवारा फिरने वालों को जमा' करे।
18310600cc	मगर उसके बाद मैं बनी 'अम्मोन को ग़ुलामी से वापस लाऊँगा, ख़ुदावन्द फ़रमाता है।”
1831070176	अदोम के बारे में। रब्ब — उल — अफ़वाज यूँ फ़रमाता है कि: “क्या तेमान में ख़िरद मुतलक़ न रही? क्या तदबीरों की मसलहत जाती रही? क्या उनकी 'अक़्ल उड़ गई?
183108012b	ऐ ददान के बाशिन्दों, भागो, लौटो, और नशेबों में जा बसो! क्यूँकि मैं इन्तक़ाम के वक़्त उस पर ऐसौ की जैसी मुसीबत लाऊँगा।
183109015d	अगर अँगूर तोड़ने वाले तेरे पास आएँ, तो क्या कुछ दाने बाक़ी न छोड़ेंगे? या अगर रात को चोर आएँ, तो क्या वह हस्ब — ए — ख़्वाहिश ही न तोड़ेंगे?
18310a01ad	लेकिन मैं ऐसौ को बिल्कुल नंगा करूँगा, उसके पोशीदा मकानों को बे — पर्दा कर दूँगा कि वह छिप न सके; उसकी नसल और उसके भाई और उसके पड़ोसी सब बर्बाद किए जाएँगे, और वह न रहेगा।
18310b00f9	तू अपने यतीम फ़र्ज़न्दों को छोड़, मैं उनको ज़िन्दा रख्खूंगा; और तेरी बेवाएँ मुझ पर भरोसा करें।”
18310c01b8	क्यूँकि ख़ुदावन्द यूँ फ़रमाता है: कि “देख, जो सज़ावार न थे कि प्याला पीएँ, उन्होंने ख़ूब पिया; क्या तू बे — सज़ा छूट जाएगा? तू बेसज़ा न छूटेगा, बल्कि यक़ीनन उसमें से पिएगा।
18310d01a1	क्यूँकि मैंने अपनी ज़ात की क़सम खाई है, ख़ुदावन्द फ़रमाता है, कि बुसराह जा — ए — हैरत और मलामत और वीरानी और ला'नत होगा; और उसके सब शहर अबद — उल — आबाद वीरान रहेंगे।”
18310e0154	मैंने ख़ुदावन्द से एक ख़बर सुनी है, बल्कि एक क़ासिद यह कहने को क़ौमों के बीच भेजा गया है: जमा' हो और उस पर जा पड़ो, और लड़ाई कि लिए उठो।
18310f00c0	क्यूँकि देख, मैंने तुझे क़ौमों के बीच हक़ीर, और आदमियों के बीच ज़लील किया।
1831100278	तेरी हैबत और तेरे दिल के ग़ुरूर ने तुझे फ़रेब दिया है। ऐ तू जो चट्टानों के शिगाफ़ों में रहती है, और पहाड़ों की चोटियों पर क़ाबिज़ है; अगरचे तू 'उक़ाब की तरह अपना आशियाना बुलन्दी पर बनाए, तो भी मैं वहाँ से तुझे नीचे उतारूँगा, ख़ुदावन्द फ़रमाता है।
1831110109	“अदोम भी जा — ए — हैरत होगा, हर एक जो उधर से गुज़रेगा हैरान होगा, और उसकी सब आफ़तों की वजह से सुस्कारेगा।
183112016b	जिस तरह सदूम और 'अमूरा और उनके आस पास के शहर ग़ारत हो गए, उसी तरह उसमें भी न कोई आदमी बसेगा, न आदमज़ाद वहाँ सुकूनत करेगा, ख़ुदावन्द फ़रमाता है।
18311302a8	देख, वह शेर — ए — बबर की तरह यरदन के जंगल से निकलकर मज़बूत बस्ती पर चढ़ आएगा; लेकिन मैं अचानक उसको वहाँ से भगा दूँगा, और अपने बरगुज़ीदा को उस पर मुक़र्रर करूँगा; क्यूँकि मुझ सा कौन है? कौन है जो मेरे लिए वक़्त मुक़र्रर करे? और वह चरवाहा कौन है जो मेरे सामने खड़ा हो सके?
1831140227	तब ख़ुदावन्द की मसलहत को, जो उसने अदोम के ख़िलाफ़ ठहराई है और उसके इरादे को जो उसने तेमान के बाशिन्दों के ख़िलाफ़ किया है, सुनो, उनके गल्ले के सबसे छोटों को भी घसीट ले जाएँगे, यक़ीनन उनका घर भी उनके साथ बर्बाद होगा।
18311500f5	उनके गिरने की आवाज़ से ज़मीन काँप जाएगी, उनके चिल्लाने का शोर बहर — ए — कु़लजु़म तक सुनाई देगा।
1831160161	देख, वह चढ़ आएगा और 'उक़ाब की तरह उड़ेगा, और बुसराह के ख़िलाफ़ बाज़ू फैलाएगा; और उस दिन अदोम के बहादुरों का दिल ज़च्चा के दिल की तरह होगा।”
183117015f	दमिश्क़ के बारे में: “हमात और अरफ़ाद शर्मिन्दा हैं क्यूँकि उन्होंने बुरी ख़बर सुनी, वह पिघल गए समन्दर ने जुम्बिश खाई, वह ठहर नहीं सकता।
1831180133	दमिश्क़ का ज़ोर टूट गया, उसने भागने के लिए मुँह फेरा, और थरथराहट ने उसे आ लिया; ज़च्चा के से रंज — ओ — दर्द ने उसे आ पकड़ा।
1831190092	यह क्यूँकर हुआ कि वह नामवर शहर, मेरा शादमान शहर, नहीं बचा?
18311a012a	इसलिए उसके जवान उसके बाज़ारों में गिर जाएँगे, और सब जंगी मर्द उस दिन काट डाले जाएँगे, रब्ब — उल — अफ़वाज फ़रमाता है।
18311b00d2	और मैं दमिश्क़ की शहरपनाह में आग भड़काऊँगा, जो बिन — हदद के महलों को भसम कर देगी।”
18311c01d0	क़ीदार के बारे में और हसूर की सल्तनतों के बारे में जिनको शाह — ए — बाबुल नबूकदनज़र ने शिकस्त दी। ख़ुदावन्द यूँ फ़रमाता है: “उठो, क़ीदार पर चढ़ाई करो, और अहल — ए — मशरिक़ को हलाक करो।
18311d0163	वह उनके ख़ेमों और गल्लों को ले लेंगे; उनके पर्दों और बर्तनों और ऊँटो को छीन ले जाएँगे; और वह चिल्ला कर उनसे कहेंगे कि चारों तरफ़ ख़ौफ़ है!”
18311e01d2	भागो, दूर निकल जाओ, नशेब में बसो, ऐ हसूर के बाशिन्दो, ख़ुदावन्द फ़रमाता है; क्यूँकि शाह — ए — बाबुल नबूकदनज़र ने तुम्हारी मुखालिफ़त में मश्वरत की और तुम्हारे ख़िलाफ़ इरादा किया है।
18311f0130	ख़ुदावन्द फ़रमाता है, उठो, उस आसूदा क़ौम पर, जो बे — फ़िक्र रहती है, जिसके न किवाड़े हैं न अड़बंगे और अकेली है चढ़ाई करो
1831200207	उनके ऊँट ग़नीमत के लिए होंगे, और उनके चौपायों की कसरत लूट के लिए; और मैं उन लोगों को जो गाओदुम दाढ़ी रखते हैं, हर तरफ़ हवा में तितर — बितर करूँगा; और मैं उन पर हर तरफ़ से आफ़त लाऊँगा, ख़ुदावन्द फ़रमाता है।
183121010c	हसूर गीदड़ों का मक़ाम, हमेशा का वीराना होगा; न कोई आदमी वहाँ बसेगा, और न कोई आदमज़ाद उसमें सुकूनत करेगा।
1831220127	ख़ुदावन्द का कलाम जो शाह — ए — यहूदाह सिदक़ियाह की सल्तनत के शुरू' में 'ऐलाम के बारे में यरमियाह नबी पर नाज़िल हुआ।
18312300f3	कि रब्ब — उल — अफ़वाज यूँ फ़रमाता है कि: देख मैं एलाम की कमान उनकी बड़ी तवानाई को तोड़ डालूँगा।
18312401ac	और चारों हवाओं को आसमान के चारों कोनों से ऐलाम पर लाऊँगा, और उन चारों हवाओं की तरफ़ उनको तितर — बितर करूँगा; और कोई ऐसी क़ौम न होगी, जिस तक ऐलाम के जिलावतन न पहुँचेंगे।
1831250237	क्यूँकि मैं ऐलाम को उनके मुख़ालिफ़ों और जानी दुश्मनों के आगे हिरासाँ करूँगा; और उन पर एक बला या'नी क़हर — ए — शदीद को नाज़िल करूँगा। ख़ुदावन्द फ़रमाता है, और तलवार को उनके पीछे लगा दूँगा, यहाँ तक कि उनको नाबूद कर डालूँगा;
1831260105	और मैं अपना तख़्त 'ऐलाम में रखूंगा, और वहाँ से बादशाह और हाकिम को नाबूद करूँगा, ख़ुदावन्द फ़रमाता है।
18312700f9	“लेकिन आख़िरी दिनों में यूँ होगा, कि मैं ऐलाम को ग़ुलामी से वापस लाऊँगा, ख़ुदावन्द फ़रमाता है।”
18320100ee	वह कलाम जो ख़ुदावन्द ने बाबुल और कसदियों के मुल्क के बारे में यरमियाह नबी की ज़रिए' फ़रमाया:
18320201e0	क़ौमों में 'ऐलान करो, और इश्तिहार दो, और झण्डा खड़ा करो, 'ऐलान करो, पोशीदा न रख्खो; कह दो कि बाबुल ले लिया गया, बेल रुस्वा हुआ, मरोदक सरासीमा हो गया; उसके बुत ख़जिल हुए, उसकी मूरतें तोड़ी गईं।
1832030188	क्यूँकि उत्तर से एक क़ौम उस पर चढ़ी चली आती है, जो उसकी सरज़मीन को उजाड़ देगी, यहाँ तक कि उसमें कोई न रहेगा, वह भाग निकले, वह चल दिए, क्या इंसान क्या हैवान।
183204018c	'ख़ुदावन्द फ़रमाता है, उन दिनों में बल्कि उसी वक़्त बनी — इस्राईल आएँगे; वह और बनी यहूदाह इकट्ठे रोते हुए चलेंगे और ख़ुदावन्द अपने ख़ुदा के तालिब होंगे।
1832050133	वह सिय्यून की तरफ़ मुतवज्जिह होकर उसकी राह पूछेंगे, 'आओ, हम ख़ुदावन्द से मिल कर उससे अबदी 'अहद करें, जो कभी फ़रामोश न हो।
18320601c2	मेरे लोग भटकी हुई भेड़ों की तरह हैं; उनके चरवाहों ने उनको गुमराह कर दिया, उन्होंने उनको पहाड़ों पर ले जाकर छोड़ दिया; वह पहाड़ों से टीलों पर गए और अपने आराम का मकान भूल गए हैं।
18320701fe	सब जिन्होंने उनको पाया उनको निगल गए, और उनके दुश्मनों ने कहा, हम क़ुसूरवार नहीं हैं क्यूँकि उन्होंने ख़ुदावन्द का गुनाह किया है; वह ख़ुदावन्द जो सदाक़त का मस्कन और उनके बाप — दादा की उम्मीदगाह है।
1832080105	बाबुल में से भागो, और कसदियों की सरज़मीन से निकलो, और उन बकरों की तरह हो जो गल्लों के आगे आगे चलते हैं।
183209024c	क्यूँकि देख, मैं उत्तर की सरज़मीन से बड़ी क़ौमों के अम्बोह को बर्पा करूँगा और बाबुल पर चढ़ा लाऊँगा, और वह उसके सामने सफ़ — आरा होंगे; वहाँ से उस पर क़ब्ज़ा कर लेंगे उनके तीरकार आज़मूदा बहादुर के से होंगे जो ख़ाली हाथ नहीं लौटता।
18320a00c4	कसदिस्तान लूटा जाएगा, उसे लूटने वाले सब आसूदा होंगे, ख़ुदावन्द फ़रमाता है।
18320b015c	ऐ मेरी मीरास को लूटनेवालों, चूँकि तुम शादमान और ख़ुश हो और दावने वाली बछिया की तरह कूदते फाँदते और ताक़तवर घोड़ों की तरह हिनहिनाते हो;
18320c019c	इसलिए तुम्हारी माँ बहुत शर्मिन्दा होगी, तुम्हारी वालिदा ख़जालत उठाएगी। देखो, वह क़ौमों में सबसे आख़िरी ठहरेगी और वीरान — ओ — ख़ुश्क ज़मीन और रेगिस्तान होगी।
18320d017e	ख़ुदावन्द के क़हर की वजह से वह आबाद न होगी, बल्कि बिल्कुल वीरान हो जाएगी; जो कोई बाबुल से गुज़रेगा हैरान होगा, और उसकी सब आफ़तों के बाइस सुस्कारेगा।
18320e0162	ऐ सब तीरअन्दाज़ो, बाबुल को घेर कर उसके ख़िलाफ़ सफ़आराई करो, उस पर तीर चलाओ, तीरों को दरेग़ न करो, क्यूँकि उसने ख़ुदावन्द का गुनाह किया है।
18320f01ea	उसे घेर कर तुम उस पर ललकारो, उसने इता'अत मन्ज़ूर कर ली; उसकी बुनियादें धंस गई, उसकी दीवारें गिर गई। क्यूँकि यह ख़ुदावन्द का इन्तक़ाम है, उससे इन्तक़ाम लो; जैसा उसने किया, वैसा ही तुम उससे करो।
18321001a1	बाबुल में हर एक बोनेवाले को और उसे जो दिरौ के वक़्त दरॉती पकड़े, काट डालो; ज़ालिम की तलवार की हैबत से हर एक अपने लोगों में जा मिलेगा, और हर एक अपने वतन को भाग जाएगा।
183211018d	इस्राईल तितर — बितर भेड़ों की तरह है, शेरों ने उसे रगेदा है। पहले शाह — ए — असूर ने उसे खा लिया और फिर यह शाह — ए — बाबुल नबूकदनज़र उसकी हड्डियाँ तक चबा गया।
183212018c	इसलिए रब्ब — उल — अफ़वाज, इस्राईल का ख़ुदा, यूँ फ़रमाता है कि: देख, मैं शाह — ए — बाबुल और उसके मुल्क को सज़ा दूँगा, जिस तरह मैंने शाह — ए — असूर को सज़ा दी है।
183213014b	लेकिन मैं इस्राईल को फिर उसके घर में लाऊँगा, और वह कर्मिल और बसन में चरेगा, और उसकी जान कोह — ए — इफ़्राईम और जिल'आद पर आसूदा होगी।
18321401ac	ख़ुदावन्द फ़रमाता है, उन दिनों में और उसी वक़्त इस्राईल की बदकिरदारी ढूँडे न मिलेगी; और यहूदाह के गुनाहों का पता न मिलेगा जिनको मैं बाक़ी रखूँगा उनको मु'आफ़ करूँगा।
18321501cd	मरातायम की सरज़मीन पर और फ़िक़ोद के बाशिन्दों पर चढ़ाई कर। उसे वीरान कर और उनको बिल्कुल नाबूद कर, ख़ुदावन्द फ़रमाता है; और जो कुछ मैंने तुझे फ़रमाया है, उस सब के मुताबिक़ 'अमल कर।
183216006e	मुल्क में लड़ाई और बड़ी हलाकत की आवाज़ है।
18321700eb	तमाम दुनिया का हथौड़ा, क्यूँकर काटा और तोड़ा गया! बाबुल क़ौमों के बीच कैसा जा — ए — हैरत हुआ!
183218017b	मैंने तेरे लिए फन्दा लगाया, और ऐ बाबुल, तू पकड़ा गया, और तुझे ख़बर न थी। तेरा पता मिला और तू गिरफ़्तार हो गया, क्यूँकि तूने ख़ुदावन्द से लड़ाई की है।
1832190184	ख़ुदावन्द ने अपना सिलाहख़ाना खोला और अपने क़हर के हथियारों को निकाला है; क्यूँकि कसदियों की सरज़मीन में ख़ुदावन्द रब्ब — उल — अफ़वाज को कुछ करना है।
18321a0146	सिरे से शुरू' करके उस पर चढ़ो, और उसके अम्बारख़ानों को खोलो, उसको खण्डर कर डालो और उसको बर्बाद करो, उसकी कोई चीज़ बाक़ी न छोड़ो।
18321b0118	उसके सब बैलों को ज़बह करो, उनको मसलख़ में जाने दो; उन पर अफ़सोस! कि उनका दिन आ गया, उनकी सज़ा का वक़्त आ पहुँचा।
18321c017d	सरज़मीन — ए — बाबुल से फ़रारियों की आवाज़! वह भागते और सिय्यून में ख़ुदावन्द हमारे ख़ुदा के इन्तक़ाम, या'नी उसकी हैकल के इन्तक़ाम का ऐलान करते हैं।
18321d02af	तीरअन्दाज़ों को बुलाकर इकट्ठा करो कि बाबुल पर जाएँ, सब कमानदारों को हर तरफ़ से उसके सामने ख़ेमाज़न करो। वहाँ से कोई बच न निकले, उसके काम के मुवाफ़िक़ उसको बदला दो। सब कुछ जो उसने किया उसे करों क्यूँकि उसने ख़ुदावन्द इस्राईल के क़ुद्दूस के सामने बहुत तकब्बुर किया।
18321e010a	इसलिए उसके जवान बाज़ारों में गिर जाएँगे, और सब जंगी मर्द उस दिन काट डाले जाएँगे, ख़ुदावन्द फ़रमाता है।
18321f016c	ऐ मग़रूर, देख, मैं तेरा मुख़ालिफ़ हूँ ख़ुदावन्द रब्ब — उल — अफ़वाज फ़रमाता है क्यूँकि तेरा वक़्त आ पहुँचा, हाँ, वह वक़्त जब मैं तुझे सज़ा दूँ।
183220014b	और वह मग़रूर ठोकर खाएगा, वह गिरेगा और कोई उसे न उठाएगा; और मैं उसके शहरों में आग भड़काऊँगा, और वह उसके तमाम 'इलाक़े को भसम कर देगी।
183221019f	'रब्ब — उल — अफ़वाज यूँ फ़रमाता है: कि बनी — इस्राईल और बनी यहूदाह दोनों मज़लूम हैं; और उनको ग़ुलाम करने वाले उनको क़ैद में रखते हैं, और छोड़ने से इन्कार करते हैं।
1832220184	उनका छुड़ानेवाला ज़ोरआवर है; रब्ब — उल — अफ़वाज उसका नाम है; वह उनकी पूरी हिमायत करेगा ताकि ज़मीन को राहत बख़्शे, और बाबुल के बाशिन्दों को परेशान करे।
18322300fe	ख़ुदावन्द फ़रमाता है, कि तलवार कसदियों पर और बाबुल के बाशिन्दों पर, और उसके हाकिम और हुक्मा पर है।
18322400db	लाफ़ज़नों पर तलवार है, वह बेवकूफ़ हो जाएँगे; उसके बहादुरों पर तलवार है, वह डर जाएँगे।
1832250159	उसके घोड़ों और रथों और सब मिले — जुले लोगों पर जो उसमें हैं, तलवार है, वह 'औरतों की तरह होंगे; उसके ख़ज़ानों पर तलवार है, वह लूटे जाएँगे।
1832260122	उसकी नहरों पर ख़ुश्कसाली है, वह सूख जाएँगी; क्यूँकि वह तराशी हुई मूरतों की ममलुकत है और वह बुतों पर शेफ़्ता हैं।
1832270185	इसलिए दश्ती दरिन्दे गीदड़ों के साथ वहाँ बसेंगे और शुतुरमुर्ग उसमें बसेरा करेंगे, और वह फिर अबद तक आबाद न होगी, नसल — दर — नसल कोई उसमें सुकूनत न करेगा।
183228016b	जिस तरह ख़ुदा ने सदूम और 'अमूरा और उनके आसपास के शहरों को उलट दिया ख़ुदावन्द फ़रमाता है उसी तरह कोई आदमी वहाँ न बसेगा, न आदमज़ाद उसमें रहेगा।
183229012e	देख, उत्तरी मुल्क से एक गिरोह आती है; और इन्तिहा — ए — ज़मीन से एक बड़ी क़ौम और बहुत से बादशाह बरअन्गेख़ता किए जाएँगे।
18322a0208	वह तीरअन्दाज़ — ओ — नेज़ा बाज़ हैं, वह संगदिल — ओ — बेरहम हैं, उनके ना'रों की आवाज़ हमेशा समन्दर की जैसी है, वह घोड़ों पर सवार हैं; ऐ दुख़्तर — ए — बाबुल, वह जंगी मर्दों की तरह तेरे सामने सफ़ — आराई करते हैं।
18322b0113	शाह — ए — बाबुल ने उनकी शोहरत सुनी है, उसके हाथ ढीले हो गए, वह ज़च्चा की तरह मुसीबत और दर्द में गिरफ़्तार है।
18322c02ab	“देख, वह शेर — ए — बबर की तरह यरदन के जंगल से निकलकर मज़बूत बस्ती पर चढ़ आएगा; लेकिन मैं अचानक उसको वहाँ से भगा दूँगा, और अपने बरगुज़ीदा को उस पर मुक़र्रर करूँगा; क्यूँकि मुझ सा कौन है? कौन है जो मेरे लिए वक़्त मुक़र्रर करे? और वह चरवाहा कौन है जो मेरे सामने खड़ा हो सके?
18322d0247	इसलिए ख़ुदावन्द की मसलहत को जो उसने बाबुल के ख़िलाफ़ ठहराई है, और उसके इरादे को जो उसने कसदियों की सरज़मीन के ख़िलाफ़ किया है, सुनो, यक़ीनन उनके गल्ले के सब से छोटों को भी घसीट ले जाएँगे; यक़ीनन उनका घर भी उनके साथ बर्बाद होगा।
18322e00c4	बाबुल की शिकस्त के शोर से ज़मीन काँपती है, और फ़रियाद को क़ौमों ने सुना है।”
183301012f	ख़ुदावन्द यूँ फ़रमाता है कि देख, मैं बाबुल पर और उस मुखालिफ़ दार — उस — सल्तनत के रहनेवालों पर एक मुहलिक हवा चलाऊँगा।
183302019b	और मैं उसाने वालों को बाबुल में भेजूँगा कि उसे उसाएँ, और उसकी सरज़मीन को ख़ाली करें; यक़ीनन उसकी मुसीबत के दिन वह उसके दुश्मन बनकर उसे चारों तरफ़ से घेर लेंगे।
183303012d	उसके कमानदारों और ज़िरहपोशों पर तीरअन्दाज़ी करो; तुम उसके जवानों पर रहम न करो, उसके तमाम लश्कर को बिल्कुल हलाक करो।
18330400da	मक़्तूल कसदियों की सरज़मीन में गिरेंगे, और छिदे हुए उसके बाज़ारों में पड़े रहेंगे।
1833050168	क्यूँकि इस्राईल और यहूदाह को उनके ख़ुदा रब्ब — उल — अफ़वाज ने तर्क नहीं किया; अगरचे इनका मुल्क इस्राईल के क़ुद्दूस की नाफ़रमानी से पुर है।
1833060192	बाबुल से निकल भागो, और हर एक अपनी जान बचाए, उसकी बदकिरदारी की सज़ा में शरीक होकर हलाक न हो, क्यूँकि यह ख़ुदावन्द के इन्तक़ाम का वक़्त है; वह उसे बदला देता है।
183307013a	बाबुल ख़ुदावन्द के हाथ में सोने का प्याला था, जिसने सारी दुनिया को मतवाला किया; क़ौमों ने उसकी मय पी, इसलिए वह दीवाने हैं।
18330800fb	बाबुल अचानक गिर गया और ग़ारत हुआ, उस पर वावैला करो; उसके ज़ख़्म के लिए बलसान लो, शायद वह शिफ़ा पाए।
18330901b5	हम तो बाबुल की शिफ़ायाबी चाहते थे लेकिन वह शिफ़ायाब न हुआ, तुम उसको छोड़ो, आओ, हम सब अपने अपने वतन को चले जाएँ, क्यूँकि उसकी आवाज़ आसमान तक पहुँची और अफ़लाक तक बुलन्द हुई।
18330a0116	ख़ुदावन्द ने हमारी रास्तबाज़ी को आशकारा किया; आओ, हम सिय्यून में ख़ुदावन्द अपने ख़ुदा के काम का बयान करें।
18330b0201	तीरों को सैक़ल करो, सिपरों को तैयार रख्खो; ख़ुदावन्द ने मादियों के बादशाहों की रूह को उभारा है, क्यूँकि उसका इरादा बाबुल को बर्बाद करने का है; क्यूँकि यह ख़ुदावन्द का, या'नी उसकी हैकल का इन्तक़ाम है।
18330c020a	बाबुल की दीवारों के सामने झंडा खड़ा करो पहरे की चौकियाँ मज़बूत करो, पहरेदारों को बिठाओ, कमीनगाहें तैयार करो; क्यूँकि ख़ुदावन्द ने अहल — ए — बाबुल के हक़ में जो कुछ ठहराया और फ़रमाया था, इसलिए पूरा किया।
18330d0142	ऐ नहरों पर सुकूनत करने वाली, जिसके ख़ज़ाने फ़िरावान हैं; तेरी तमामी का वक़्त आ पहुँचा और तेरी ग़ारतगरी का पैमाना पुर हो गया।
18330e015f	रब्ब — उल — अफ़वाज ने अपनी ज़ात की क़सम खाई है, कि यक़ीनन मैं तुझ में लोगों को टिड्डियों की तरह भर दूँगा, और वह तुझ पर जंग का नारा मारेंगे।
18330f0128	उसी ने अपनी क़ुदरत से ज़मीन को बनाया, उसी ने अपनी हिकमत से जहाँ को क़ाईम किया, और अपनी 'अक़्ल से आसमान को तान दिया है;
183310019f	उसकी आवाज़ से आसमान में पानी की फ़िरावानी होती है, और वह ज़मीन की इन्तिहा से बुख़ारात उठाता है; वह बारिश के लिए बिजली चमकाता है और अपने ख़ज़ानों से हवा चलाता है।
1833110155	हर आदमी हैवान ख़सलत और बे — 'इल्म हो गया है, सुनार अपनी खोदी हुई मूरत से रुस्वा है; क्यूँकि उसकी ढाली हुई मूरत बातिल है, उनमें दम नहीं।
18331200a3	वह बातिल — फ़े'ल — ए — फ़रेब हैं, सज़ा के वक़्त बर्बाद हो जाएँगी।
183313014c	या'क़ूब का हिस्सा उनकी तरह नहीं, क्यूँकि वह सब चीज़ों का ख़ालिक़ है और इस्राईल उसकी मीरास का 'असा है; रब्बउल — अफ़वाज उसका नाम है।
183314010f	तू मेरा गुर्ज़ और जंगी हथियार है, और तुझी से मैं क़ौमों को तोड़ता और तुझी से सल्तनतों को बर्बाद करता हूँ।
18331500c8	तुझी से मैं घोड़े और सवार को कुचलता, और तुझी से रथ और उसके सवार को चूर करता हूँ;
183316010f	तुझी से मर्द — ओ — ज़न और पीर — ओ — जवान को कुचलता, और तुझ ही से नौखेंज़ लड़कों और लड़कियों को पीस डालता हूँ;
183317015b	और तुझी से चरवाहे और उसके गल्ले को कुचलता, और तुझी से किसान और उसके जोड़ी बैल को, और तुझी से सरदारों और हाकिमों को चूर — चूर कर देता हूँ।
18331801ad	और मैं बाबुल को और कसदिस्तान के सब बाशिन्दों को उस तमाम नुक़्सान का, जो उन्होंने सिय्यून को तुम्हारी आँखों के सामने पहुँचाया है इवज़ देता हूँ ख़ुदावन्द फ़रमाता है।
1833190213	देख ख़ुदावन्द फ़रमाता है, ऐ हलाक करने वाले पहाड़, जो तमाम इस ज़मीन को हलाक करता है, मैं तेरा मुख़ालिफ़ हूँ और मैं अपना हाथ तुझ पर बढ़ाऊँगा, और चट्टानों पर से तुझे लुढ़काऊँगा, और तुझे जला हुआ पहाड़ बना दूँगा।
18331a0117	न तुझ से कोने का पत्थर, और न बुनियाद के लिए पत्थर लेंगे; बल्कि तू हमेशा तक वीरान रहेगा, ख़ुदावन्द फ़रमाता है।
18331b0249	'मुल्क में झण्डा खड़ा करो, क़ौमों में नरसिंगा फूँको उनको उसके ख़िलाफ़ मख़सूस करो अरारात और मिन्नी और अश्कनाज़ की ममलुकतों को उस पर चढ़ा लाओ; उसके ख़िलाफ़ सिपहसालार मुक़र्रर करो और सवारों को मुहलिक टिड्डियों की तरह चढ़ा लाओ।
