25	66	1189	563
File Name	Holy-Bible---English---STEPBible-Concordant---Standard-Edition.noia
2	[obj] me to lead and to go: take darkness and not light
3	surely in/on/with me to return: return to overturn hand his all [the] day
4	to become old flesh my and skin my to break bone my
5	to build upon me and to surround poison and hardship
6	in/on/with darkness to dwell me like/as to die forever: antiquity
7	to wall up/off about/through/for me and not to come out: come to honor: heavy bronze my
8	also for to cry out and to cry to stopper prayer my
9	to wall up/off way: road my in/on/with cutting path my to twist
10	bear to ambush he/she/it to/for me (lion *Q(K)*) in/on/with hiding
11	way: journey my to turn aside: turn aside and to tear me to set: make me devastated
12	to tread (bow his *L(abh)*) and to stand me like/as guardhouse to/for arrow
13	to come (in): bring in/on/with kidney my son: type of quiver his
14	to be laughter to/for all people my music their all [the] day
15	to satisfy me in/on/with bitterness to quench me wormwood
16	and to break in/on/with gravel tooth my to cower me in/on/with ashes
17	and to reject from peace soul my to forget welfare
18	and to say to perish perpetuity my and hope my from LORD
19	to remember affliction my and wandering my wormwood and poison
20	to remember to remember (and to sink *Q(K)*) upon me soul my
21	this to return: recall to(wards) heart my upon so to wait: hope
22	kindness LORD for not to finish for not to end: finish compassion his
23	new to/for morning many faithfulness your
24	portion my LORD to say soul my upon so to wait: hope to/for him
25	pleasant LORD (to/for to await him *Q(K)*) to/for soul to seek him
26	pleasant and waiting and silence to/for deliverance: salvation LORD
27	pleasant to/for great man for to lift: bear yoke in/on/with youth his
28	to dwell isolation and to silence: silent for to lift upon him
29	to give: put in/on/with dust lip his perhaps there hope
30	to give: give to/for to smite him jaw to satisfy in/on/with reproach
31	for not to reject to/for forever: enduring Lord
32	that if: except if: except to suffer and to have compassion like/as abundance (kindness his *Q(K)*)
33	for not to afflict from heart his and to suffer (son: child *L(abh)*) man
34	to/for to crush underneath: under foot his all prisoner land: country/planet
35	to/for to stretch justice great man before face Most High
36	to/for to pervert man in/on/with strife his Lord not to see: select
37	who? this to say and to be Lord not to command
38	from lip Most High not to come out: come [the] distress: harm and [the] pleasant
39	what? to complain man alive great man upon (sin his *Q(K)*)
40	to search way: conduct our and to search and to return: return till LORD
41	to lift: trust heart our to(wards) palm to(wards) God in/on/with heaven
42	we to transgress and to rebel you(m. s.) not to forgive
43	to cover in/on/with face: anger and to pursue us to kill not to spare
44	to cover in/on/with cloud to/for you from to pass prayer
45	offscouring and refuse to set: make us in/on/with entrails: among [the] people
46	to open upon us lip their all enemy our
47	dread and pit to be to/for us [the] devastation and [the] breaking
48	stream water to go down eye my upon breaking daughter people my
49	eye my to pour and not to cease from nothing cessation
50	till to look and to see: see LORD from heaven
51	eye my to abuse to/for soul: myself my from all daughter city my
52	to hunt to hunt me like/as bird enemy my for nothing
53	to destroy in/on/with pit life my and to give thanks stone in/on/with me
54	to flow water upon head my to say to cut
55	to call: call to name your LORD from pit lower
56	voice my to hear: hear not to conceal ear your to/for relief my to/for cry my
57	to present: come in/on/with day to call: call to you to say not to fear
58	to contend Lord strife soul: myself my to redeem: redeem life my
59	to see: see LORD oppression my to judge [emph?] justice my
60	to see: see all vengeance their all plot their to/for me
61	to hear: hear reproach their LORD all plot their upon me
62	lips to arise: attack me and meditation their upon me all [the] day
63	seat their and rising their to look [emph?] I mocking their
64	to return: pay to/for them recompense LORD like/as deed: work hand their
65	to give: give to/for them covering heart curse your to/for them
66	to pursue in/on/with face: anger and to destroy them from underneath: under heaven LORD
4	22
1	how? to darken gold to change [the] gold [the] pleasant to pour: scatter stone holiness in/on/with head: top all outside
2	son: descendant/people Zion [the] precious [the] to weigh in/on/with pure gold how? to devise: count to/for bag earthenware deed: work hand to form: potter
3	also (jackal *Q(K)*) to rescue breast to suckle whelp their daughter people my to/for cruel (for like/as ostrich *Q(K)*) in/on/with wilderness
4	to cleave tongue to suckle to(wards) (palate his *L(abh)*) in/on/with thirst infant to ask food to spread nothing to/for them
5	[the] to eat to/for delicacy be desolate: destroyed in/on/with outside [the] be faithful upon worm to embrace refuse
6	and to magnify iniquity: punishment daughter people my from sin: punishment Sodom [the] to overturn like moment and not to twist: tremble in/on/with her hand
7	be clean Nazirite her from snow be dazzling from milk to redden bone: body from jewel sapphire cutting/separation their
8	to darken from blackness appearance their not to recognize in/on/with outside to shrivel skin their upon bone their dry to be like/as tree: wood
9	pleasant to be slain: killed sword from slain: killed famine which/that they(masc.) to flow: waste away to pierce from fruit field
10	hand woman compassionate to boil youth their to be to/for to eat to/for them in/on/with breaking daughter people my
11	to end: expend LORD [obj] rage his to pour: pour burning anger face: anger his and to kindle fire in/on/with Zion and to eat foundation her
12	not be faithful king land: country/planet (all *Q(K)*) to dwell world for to come (in): come enemy and enemy in/on/with gate Jerusalem
13	from sin prophet her iniquity: crime priest her [the] to pour: kill in/on/with entrails: among her blood righteous
14	to shake blind in/on/with outside to defile in/on/with blood in/on/with not be able to touch in/on/with clothing their
15	to turn aside: remove unclean to call: call out to/for them to turn aside: remove to turn aside: remove not to touch for to flee also to shake to say in/on/with nation not to add: again to/for to sojourn
16	face of LORD to divide them not to add: again to/for to look them face: kindness priest not to lift: kindness (and old: elder *Q(K)*) not be gracious
17	(still we *Q(K)*) to end: expend eye our to(wards) help our vanity in/on/with watch our to watch to(wards) nation not to save
18	to hunt step our from to go: walk in/on/with street/plaza our to present: come end our to fill day our for to come (in): come end our
19	swift to be to pursue us from eagle heaven upon [the] mountain: mount to burn/pursue us in/on/with wilderness to ambush to/for us
20	spirit: breath face: nose our anointed LORD to capture in/on/with pit their which to say in/on/with shadow his to live in/on/with nation
21	to rejoice and to rejoice daughter Edom (to dwell *Q(K)*) in/on/with land: country/planet Uz also upon you to pass cup be drunk and to uncover
22	to finish iniquity: crime your daughter Zion not to add: again to/for to reveal: remove you to reckon: punish iniquity: crime your daughter Edom to reveal: reveal upon sin your
5	22
1	to remember LORD what? to be to/for us (to look [emph?] *Q(K)*) and to see: see [obj] reproach our
2	inheritance our to overturn to/for be a stranger house: home our to/for foreign
3	orphan to be (and nothing *Q(K)*) father mother our like/as widow
4	water our in/on/with silver: price to drink tree: wood our in/on/with price to come (in): bring
5	upon neck our to pursue be weary/toil (and not *Q(K)*) to rest to/for us
6	Egypt to give: give hand: power Assyria to/for to satisfy food: bread
7	father our to sin (and nothing they and we *Q(K)*) iniquity: crime their to bear
8	servant/slave to rule in/on/with us to tear nothing from hand: power their
9	in/on/with soul: life our to come (in): bring food: bread our from face: because sword [the] wilderness
10	skin our like/as oven to grow warm from face: because scorching famine
11	woman in/on/with Zion to afflict virgin in/on/with city Judah
12	ruler in/on/with hand their to hang face: kindness old: elder not to honor
13	youth grinding to lift: raise and youth in/on/with tree: wood to stumble
14	old from gate to cease youth from music their
15	to cease rejoicing heart our to overturn to/for mourning dance our
16	to fall: fall crown head our woe! please to/for us for to sin
17	upon this to be sick heart our upon these to darken eye our
18	upon mountain: mount Zion which/that be desolate: destroyed fox to go: walk in/on/with him
19	you(m. s.) LORD to/for forever: enduring to dwell throne your to/for generation and generation
20	to/for what? to/for perpetuity to forget us to leave: forsake us to/for length day
21	to return: rescue us LORD to(wards) you (and to return: rescue *Q(K)*) to renew day our like/as front: old
22	that if: except if: except to reject to reject us be angry upon us till much
26	Ezekiel	48
1	28
1	and to be in/on/with thirty year in/on/with fourth in/on/with five to/for month and I in/on/with midst [the] captivity upon river Chebar to open [the] heaven and to see: see vision God
2	in/on/with five to/for month he/she/it [the] year [the] fifth to/for captivity [the] king Jehoiachin
3	to be to be word LORD to(wards) Ezekiel son: child Buzi [the] priest in/on/with land: country/planet Chaldea upon river Chebar and to be upon him there hand: power LORD
4	and to see: see and behold spirit: breath tempest to come (in): come from [the] north cloud great: large and fire to take: fire and brightness to/for him around and from midst her like/as eye: appearance [the] amber from midst [the] fire
5	and from midst her likeness four living thing and this appearance their likeness man to/for them
6	and four face to/for one and four wing to/for one to/for them
7	and foot their foot upright and palm: sole foot their like/as palm: sole foot calf and to shine like/as eye: appearance bronze burnished
8	(and hand *Q(K)*) man from underneath: under wing their upon four fourth their and face their and wing their to/for four their
9	to unite woman: another to(wards) sister her wing their not to turn: turn in/on/with to go: went they man: anyone to(wards) side: beyond face: before his to go: went
10	and likeness face their face man and face lion to(wards) [the] right to/for four their and face cattle from [the] left to/for four their and face eagle to/for four their
11	and face their and wing their to separate from to/for above [to] to/for man: anyone two to unite man: anyone and two to cover [obj] body their
12	and man: anyone to(wards) side: beyond face: before his to go: went to(wards) which to be there [to] [the] spirit to/for to go: went to go: went not to turn: turn in/on/with to go: went they
13	and likeness [the] living thing appearance their like/as coal fire to burn: burn like/as appearance [the] torch he/she/it to go: walk between: among [the] living thing and brightness to/for fire and from [the] fire to come out: come lightning
14	and [the] living thing to run and to return: return like/as appearance [the] lightning
15	and to see: see [the] living thing and behold wheel one in/on/with land: country/planet beside [the] living thing to/for four face his
16	appearance [the] wheel and deed: work their like/as eye: appearance jasper and likeness one to/for four their and appearance their and deed: work their like/as as which to be [the] wheel in/on/with midst [the] wheel
17	upon four fourth their in/on/with to go: went they to go: went not to turn: turn in/on/with to go: went they
18	and back/rim/brow their and height to/for them and fear to/for them and back/rim/brow their full eye around to/for four their
19	and in/on/with to go: went [the] living thing to go: went [the] wheel beside them and in/on/with to lift: raise [the] living thing from upon [the] land: country/planet to lift: raise [the] wheel
20	upon which to be there [the] spirit to/for to go: went to go: went there [to] [the] spirit to/for to go: went and [the] wheel to lift: raise to/for close them for spirit [the] living thing in/on/with wheel
21	in/on/with to go: went they to go: went and in/on/with to stand: stand they to stand: stand and in/on/with to lift: raise they from upon [the] land: country/planet to lift: raise [the] wheel to/for close them for spirit [the] living thing in/on/with wheel
22	and likeness upon head [the] living thing expanse like/as eye: appearance [the] ice [the] to fear: revere to stretch upon head their from to/for above [to]
23	and underneath: under [the] expanse wing their upright woman: another to(wards) sister her to/for man: anyone two to cover to/for them and to/for man: anyone two to cover to/for them [obj] body their
24	and to hear: hear [obj] voice: sound wing their like/as voice: sound water many like/as voice: sound Almighty in/on/with to go: went they voice: sound tumult like/as voice: sound camp in/on/with to stand: stand they to slacken wing their
25	and to be voice from upon to/for expanse which upon head their in/on/with to stand: stand they to slacken wing their
26	and from above to/for expanse which upon head their like/as appearance stone sapphire likeness throne and upon likeness [the] throne likeness like/as appearance man upon him from to/for above [to]
27	and to see: see like/as eye: appearance amber like/as appearance fire house: inside to/for her around from appearance loin his and to/for above [to] and from appearance loin his and to/for beneath to see: see like/as appearance fire and brightness to/for him around
28	like/as appearance [the] bow which to be in/on/with cloud in/on/with day [the] rain so appearance [the] brightness around he/she/it appearance likeness glory LORD and to see: see and to fall: fall upon face my and to hear: hear voice to speak: speak
2	10
1	and to say to(wards) me son: child man to stand: stand upon foot your and to speak: speak [obj] you
2	and to come (in): come in/on/with me spirit like/as as which to speak: speak to(wards) me and to stand: stand me upon foot my and to hear: hear [obj] to speak: speak to(wards) me
3	and to say to(wards) me son: child man to send: depart I [obj] you to(wards) son: descendant/people Israel to(wards) nation [the] to rebel which to rebel in/on/with me they(masc.) and father their to transgress in/on/with me till bone: same [the] day [the] this
4	and [the] son: descendant/people severe face and strong heart I to send: depart [obj] you to(wards) them and to say to(wards) them thus to say Lord YHWH/God
5	and they(masc.) if to hear: hear and if to cease for house: household rebellion they(masc.) and to know for prophet to be in/on/with midst their
6	and you(m. s.) son: child man not to fear from them and from word their not to fear for thorn and briar with you and to(wards) scorpion you(m. s.) to dwell from word their not to fear and from face their not to to be dismayed for house: household rebellion they(masc.)
7	and to speak: speak [obj] word my to(wards) them if to hear: hear and if to cease for rebellion they(masc.)
8	and you(m. s.) son: child man to hear: hear [obj] which I to speak: speak to(wards) you not to be rebellion like/as house: household [the] rebellion to open lip your and to eat [obj] which I to give: give to(wards) you
9	and to see: see and behold hand to send: reach to(wards) me and behold in/on/with him scroll scroll: book
10	and to spread [obj] her to/for face: before my and he/she/it to write face: before and back and to write to(wards) her dirge and moaning and woe
3	27
1	and to say to(wards) me son: child man [obj] which to find to eat to eat [obj] [the] scroll [the] this and to go: went to speak: speak to(wards) house: household Israel
2	and to open [obj] lip my and to eat me [obj] [the] scroll [the] this
3	and to say to(wards) me son: child man belly: abdomen your to eat and belly your to fill [obj] [the] scroll [the] this which I to give: give to(wards) you and to eat [emph?] and to be in/on/with lip my like/as honey to/for sweet
4	and to say to(wards) me son: child man to go: went to come (in): come to(wards) house: household Israel and to speak: speak in/on/with word my to(wards) them
5	for not to(wards) people unfathomable lip: words and heavy tongue: language you(m. s.) to send: depart to(wards) house: household Israel
6	not to(wards) people many unfathomable lip: words and heavy tongue: language which not to hear: understand word their if not to(wards) them to send: depart you they(masc.) to hear: hear to(wards) you
7	and house: household Israel not be willing to/for to hear: hear to(wards) you for nothing they be willing to/for to hear: hear to(wards) me for all house: household Israel strong forehead and severe heart they(masc.)
8	behold to give: make [obj] face your strong to/for close face their and [obj] forehead your strong to/for close forehead their
9	like/as thorn strong from flint to give: make forehead your not to fear [obj] them and not to to be dismayed from face their for house: household rebellion they(masc.)
10	and to say to(wards) me son: child man [obj] all word my which to speak: speak to(wards) you to take: recieve in/on/with heart your and in/on/with ear your to hear: hear
11	and to go: went to come (in): come to(wards) [the] captivity to(wards) son: descendant/people people your and to speak: speak to(wards) them and to say to(wards) them thus to say Lord YHWH/God if to hear: hear and if to cease
12	and to lift: raise me spirit and to hear: hear after me voice quaking great: large to bless glory LORD from place his
13	and voice: sound wing [the] living thing to kiss woman: another to(wards) sister her and voice: sound [the] wheel to/for close them and voice: sound quaking great: large
14	and spirit to lift: raise me and to take: take me and to go: went bitter in/on/with rage spirit my and hand: power LORD upon me to strengthen: strengthen
15	and to come (in): come to(wards) [the] captivity Tel-abib Tel-abib [the] to dwell to(wards) river Chebar (and to dwell *Q(K)*) they(masc.) to dwell there and to dwell there seven day be desolate: appalled in/on/with midst their
16	and to be from end seven day and to be word LORD to(wards) me to/for to say
17	son: child man to watch to give: make you to/for house: household Israel and to hear: hear from lip my word and to warn [obj] them from me
18	in/on/with to say I to/for wicked to die to die and not to warn him and not to speak: speak to/for to warn wicked from way: conduct his [the] wicked to/for to live him he/she/it wicked in/on/with iniquity: crime his to die and blood his from hand your to seek
19	and you(m. s.) for to warn wicked and not to return: repent from wickedness his and from way: conduct his [the] wicked he/she/it in/on/with iniquity: crime his to die and you(m. s.) [obj] soul your to rescue
20	and in/on/with to return: repent righteous from righteousness his and to make injustice and to give: put stumbling to/for face: before his he/she/it to die for not to warn him in/on/with sin his to die and not to remember (righteousness his *Q(K)*) which to make: do and blood his from hand your to seek
21	and you(m. s.) for to warn him righteous to/for lest to sin righteous and he/she/it not to sin to live to live for to warn and you(m. s.) [obj] soul your to rescue
22	and to be upon me there hand: power LORD and to say to(wards) me to arise: rise to come out: come to(wards) [the] valley and there to speak: speak with you
23	and to arise: rise and to come out: come to(wards) [the] valley and behold there glory LORD to stand: stand like/as glory which to see: see upon river Chebar and to fall: fall upon face my
24	and to come (in): come in/on/with me spirit and to stand: stand me upon foot my and to speak: speak with me and to say to(wards) me to come (in): come to shut in/on/with midst house: home your
25	and you(m. s.) son: child man behold to give: put upon you cord and to bind you in/on/with them and not to come out: come in/on/with midst their
26	and tongue your to cleave to(wards) palate your and be dumb and not to be to/for them to/for man to rebuke for house: household rebellion they(masc.)
27	and in/on/with to speak: speak I with you to open [obj] lip your and to say to(wards) them thus to say Lord YHWH/God [the] to hear: hear to hear: hear and [the] rejected/fleeting to cease for house: household rebellion they(masc.)
4	17
1	and you(m. s.) son: child man to take: take to/for you brick and to give: put [obj] her to/for face: before your and to decree upon her city [obj] Jerusalem
2	and to give: put upon her siege and to build upon her siegework and to pour: build siege mound upon her mound and to give: put upon her camp and to set: put upon her ram around
3	and you(m. s.) to take: take to/for you griddle iron and to give: put [obj] her wall iron between you and between [the] city and to establish: establish [obj] face your to(wards) her and to be in/on/with siege and to confine upon her sign: indicator he/she/it to/for house: household Israel
4	and you(m. s.) to lie down: lay down upon side your [the] left and to set: put [obj] iniquity: punishment house: household Israel upon him number [the] day which to lie down: lay down upon him to lift: guilt [obj] iniquity: punishment their
5	and I to give: give to/for you [obj] year iniquity: punishment their to/for number day three hundred and ninety day and to lift: guilt iniquity: punishment house: household Israel
6	and to end: finish [obj] these and to lie down: lay down upon side your ([the] right *Q(K)*) second and to lift: guilt [obj] iniquity: punishment house: household Judah forty day day to/for year day to/for year to give: give him to/for you
7	and to(wards) siege Jerusalem to establish: establish face your and arm your to strip and to prophesy upon her
8	and behold to give: put upon you cord and not to overturn from side your to(wards) side your till to end: finish you day siege your
9	and you(m. s.) to take: take to/for you wheat and barley and bean and lentil and millet and rye and to give: put [obj] them in/on/with article/utensil one and to make [obj] them to/for you to/for food: bread number [the] day which you(m. s.) to lie down: lay down upon side your three hundred and ninety day to eat him
10	and food your which to eat him in/on/with weight twenty shekel to/for day from time till time to eat him
11	and water in/on/with capacity to drink sixth [the] hin from time till time to drink
12	and bun barley to eat her and he/she/it in/on/with dung excrement [the] man to bake them to/for eye: seeing their
13	and to say LORD thus to eat son: descendant/people Israel [obj] food: bread their unclean in/on/with nation which to banish them there
14	and to say alas! Lord YHWH/God behold soul: myself my not to defile and carcass and torn animal not to eat from youth my and till now and not to come (in): come in/on/with lip my flesh refuse
15	and to say to(wards) me to see: behold! to give: give to/for you [obj] (dung *Q(k)*) [the] cattle underneath: instead dung [the] man and to make [obj] food: bread your upon them
16	and to say to(wards) me son: child man look! I to break tribe: supply food: bread in/on/with Jerusalem and to eat food: bread in/on/with weight and in/on/with anxiety and water in/on/with capacity and in/on/with horror to drink
17	because to lack food: bread and water and be desolate: appalled man: anyone and brother: compatriot his and to rot in/on/with iniquity: punishment their
5	17
1	and you(m. s.) son: child man to take: take to/for you sword sharp razor [the] barber to take: take her to/for you and to pass upon head your and upon beard your and to take: take to/for you balance weight and to divide them
2	third in/on/with flame to burn: burn in/on/with midst [the] city like/as to fill day [the] siege and to take: take [obj] [the] third to smite in/on/with sword around her and [the] third to scatter to/for spirit: breath and sword to empty after them
3	and to take: take from there little in/on/with number and to confine [obj] them in/on/with wing your
4	and from them still to take: take and to throw [obj] them to(wards) midst [the] fire and to burn [obj] them in/on/with fire from him to come out: issue fire to(wards) all house: household Israel
5	thus to say Lord YHWH/God this Jerusalem in/on/with midst [the] nation to set: make her and around her land: country/planet
6	and to rebel [obj] justice: judgement my to/for wickedness from [the] nation and [obj] statute my from [the] land: country/planet which around her for in/on/with justice: judgement my to reject and statute my not to go: walk in/on/with them
7	to/for so thus to say Lord YHWH/God because be turbulent your from [the] nation which around you in/on/with statute my not to go: walk and [obj] justice: judgement my not to make: do and like/as justice: judgement [the] nation which around you not to make: do
8	to/for so thus to say Lord YHWH/God look! I upon you also I and to make: do in/on/with midst your justice: judgement to/for eye: seeing [the] nation
9	and to make: do in/on/with you [obj] which not to make: do and [obj] which not to make: do like him still because all abomination your
10	to/for so father to eat son: child in/on/with midst your and son: child to eat father their and to make: do in/on/with you judgment and to scatter [obj] all remnant your to/for all spirit: breath
11	to/for so alive I utterance Lord YHWH/God if: surely yes not because [obj] sanctuary my to defile in/on/with all abomination your and in/on/with all abomination your and also I to dimish and not to pity eye my and also I not to spare
12	third your in/on/with pestilence to die and in/on/with famine to end: destroy in/on/with midst your and [the] third in/on/with sword to fall: kill around you and [the] third to/for all spirit: breath to scatter and sword to empty after them
13	and to end: expend face: anger my and to rest rage my in/on/with them and to be sorry: comfort and to know for I LORD to speak: speak in/on/with jealousy my in/on/with to end: expend I rage my in/on/with them
14	and to give: make you to/for desolation and to/for reproach in/on/with nation which around you to/for eye: seeing all to pass
15	and to be reproach and taunt discipline and devastation to/for nation which around you in/on/with to make: do I in/on/with you judgment in/on/with face: anger and in/on/with rage and in/on/with argument rage I LORD to speak: speak
16	in/on/with to send: depart I [obj] arrow [the] famine [the] bad: harmful in/on/with them which to be to/for destruction which to send: depart [obj] them to/for to ruin you and famine to add upon you and to break to/for you tribe: supply food: bread
17	and to send: depart upon you famine and living thing bad: harmful and be bereaved you and pestilence and blood to pass in/on/with you and sword to come (in): bring upon you I LORD to speak: speak
6	14
1	and to be word LORD to(wards) me to/for to say
2	son: child man to set: make face your to(wards) mountain: mount Israel and to prophesy to(wards) them
3	and to say mountain: mount Israel to hear: hear word Lord YHWH/God thus to say Lord YHWH/God to/for mountain: mount and to/for hill to/for channel (and to/for valley *Q(k)*) behold I I to come (in): bring upon you sword and to perish high place your
4	and be desolate: destroyed altar your and to break pillar your and to fall: fall slain: killed your to/for face: before idol your
5	and to give: put [obj] corpse son: descendant/people Israel to/for face: before idol their and to scatter [obj] bone your around altar your
6	in/on/with all seat your [the] city to destroy and [the] high place be desolate because to destroy and be guilty altar your and to break and to cease idol your and to cut down/off pillar your and to wipe deed: work your
7	and to fall: kill slain: killed in/on/with midst your and to know for I LORD
8	and to remain in/on/with to be to/for you survivor sword in/on/with nation in/on/with to scatter you in/on/with land: country/planet
9	and to remember survivor your [obj] me in/on/with nation which to take captive there which to break [obj] heart their [the] to fornicate which to turn aside: depart from upon me and with eye their [the] to fornicate after idol their and to loath in/on/with face of their to(wards) [the] distress: evil which to make to/for all abomination their
10	and to know for I LORD not to(wards) for nothing to speak: speak to/for to make: do to/for them [the] distress: evil [the] this
11	thus to say Lord YHWH/God to smite in/on/with palm your and to beat in/on/with foot your and to say ah! to(wards) all abomination bad: evil house: household Israel which in/on/with sword in/on/with famine and in/on/with pestilence to fall: kill
12	[the] distant in/on/with pestilence to die and [the] near in/on/with sword to fall: kill and [the] to remain and [the] to watch in/on/with famine to die and to end: expend rage my in/on/with them
13	and to know for I LORD in/on/with to be slain: killed their in/on/with midst idol their around altar their to(wards) all hill to exalt in/on/with all head: top [the] mountain: mount and underneath: under all tree luxuriant and underneath: under all oak leafy place which to give: give there aroma soothing to/for all idol their
14	and to stretch [obj] hand: power my upon them and to give: make [obj] [the] land: country/planet devastation and devastation from wilderness Riblah [to] in/on/with all seat their and to know for I LORD
7	27
1	and to be word LORD to(wards) me to/for to say
2	and you(m. s.) son: child man thus to say Lord YHWH/God to/for land: soil Israel end to come (in): come [the] end upon (four *Q(K)*) wing [the] land: country/planet
3	now [the] end upon you and to send: depart face: anger my in/on/with you and to judge you like/as way: conduct your and to give: pay upon you [obj] all abomination your
4	and not to pity eye my upon you and not to spare for way: conduct your upon you to give: pay and abomination your in/on/with midst your to be and to know for I LORD
5	thus to say Lord YHWH/God distress: harm one distress: harm behold to come (in): come
6	end to come (in): come to come (in): come [the] end to awake to(wards) you behold to come (in): come
7	to come (in): come [the] diadem/doom to(wards) you to dwell [the] land: country/planet to come (in): come [the] time near [the] day tumult and not shout mountain: mount
8	now from near to pour: pour rage my upon you and to end: expend face: anger my in/on/with you and to judge you like/as way: conduct your and to give: pay upon you [obj] all abomination your
9	and not to pity eye my and not to spare like/as way: conduct your upon you to give: pay and abomination your in/on/with midst your to be and to know for I LORD to smite
10	behold [the] day behold to come (in): come to come out: come [the] diadem/doom to blossom [the] tribe: rod to sprout [the] arrogance
11	[the] violence to arise: raise to/for tribe: rod wickedness not from them and not from crowd their and not from wealth their and not eminency in/on/with them
12	to come (in): come [the] time to touch [the] day [the] to buy not to rejoice and [the] to sell not to mourn for burning anger to(wards) all crowd her
13	for [the] to sell to(wards) [the] sale not to return: return and still in/on/with life living thing their for vision to(wards) all crowd her not to return: repent and man: anyone in/on/with iniquity: crime his living thing his not to strengthen: strengthen
14	to blow in/on/with trumpet and to establish: prepare [the] all and nothing to go: went to/for battle for burning anger my to(wards) all crowd her
15	[the] sword in/on/with outside and [the] pestilence and [the] famine from house: inside which in/on/with land: country in/on/with sword to die and which in/on/with city famine and pestilence to eat him
16	and to escape survivor their and to be to(wards) [the] mountain: mount like/as dove [the] valley all their to roar man: anyone in/on/with iniquity: crime his
17	all [the] hand to slacken and all knee to go: continue water
18	and to gird sackcloth and to cover [obj] them shuddering and to(wards) all face shame and in/on/with all head their bald spot
19	silver: money their in/on/with outside to throw and gold their to/for impurity to be silver: money their and gold their not be able to/for to rescue them in/on/with day fury LORD soul: appetite their not to satisfy and belly their not to fill for stumbling iniquity: crime their to be
20	and beauty ornament his to/for pride to set: make him and image abomination their abomination their to make in/on/with him upon so to give: make him to/for them to/for impurity
21	and to give: give him in/on/with hand: power [the] be a stranger to/for plunder and to/for wicked [the] land: country/planet to/for spoil (and to profane/begin: profane him *Q(K)*)
22	and to turn: turn face my from them and to profane/begin: profane [obj] to treasure my and to come (in): come in/on/with her violent and to profane/begin: profane her
23	to make [the] chain for [the] land: country/planet to fill justice: judgement blood and [the] city to fill violence
24	and to come (in): bring bad: harmful nation and to possess: take [obj] house: home their and to cease pride strong and to profane/begin: profane sanctuary their
25	anguish to come (in): come and to seek peace and nothing
26	misfortune upon misfortune to come (in): come and tidings to(wards) tidings to be and to seek vision from prophet and instruction to perish from priest and counsel from old: elder
27	[the] king to mourn and leader to clothe devastation and hand people [the] land: country/planet to dismay from way: conduct their to make: do [obj] them and in/on/with justice: judgement their to judge them and to know for I LORD
8	18
1	and to be in/on/with year [the] sixth in/on/with sixth in/on/with five to/for month I to dwell in/on/with house: home my and old: elder Judah to dwell to/for face: before my and to fall: fall upon me there hand: power Lord YHWH/God
2	and to see: see and behold likeness like/as appearance fire from appearance loin his and to/for beneath fire and from loin his and to/for above [to] like/as appearance brightness like/as eye: appearance [the] amber [to]
3	and to send: let go pattern hand: power and to take: take me in/on/with tassel head my and to lift: raise [obj] me spirit between [the] land: country/planet and between [the] heaven and to come (in): bring [obj] me Jerusalem [to] in/on/with vision God to(wards) entrance gate [the] inner [the] to turn north [to] which there seat idol [the] jealousy [the] be jealous
4	and behold there glory God Israel like/as appearance which to see: see in/on/with valley
5	and to say to(wards) me son: child man to lift: look please eye your way: direction north [to] and to lift: look eye my way: direction north [to] and behold from north to/for gate [the] altar idol [the] jealousy [the] this in/on/with entrance
6	and to say to(wards) me son: child man to see: see you(m. s.) (what? they(masc.) *Q(K)*) to make: do abomination great: large which house: household Israel to make here to/for to remove from upon sanctuary my and still to return: return to see: see abomination great: large
7	and to come (in): bring [obj] me to(wards) entrance [the] court and to see: see and behold hole one in/on/with wall
8	and to say to(wards) me son: child man to dig please in/on/with wall and to dig in/on/with wall and behold entrance one
9	and to say to(wards) me to come (in): come and to see: see [obj] [the] abomination [the] bad: harmful which they(masc.) to make here
10	and to come (in): come and to see: see and behold all pattern creeping and animal detestation and all idol house: household Israel to engrave upon [the] wall around around
11	and seventy man from old: elder house: household Israel and Jaazaniah son: child Shaphan to stand: stand in/on/with midst their to stand: stand to/for face: before their and man: anyone censer his in/on/with hand his and odour cloud [the] incense to ascend: rise
12	and to say to(wards) me to see: see son: child man which old: elder house: household Israel to make: do in/on/with darkness man: anyone in/on/with chamber figure his for to say nothing LORD to see: see [obj] us to leave: forsake LORD [obj] [the] land: country/planet
13	and to say to(wards) me still to return: again to see: see abomination great: large which they(masc.) to make
14	and to come (in): bring [obj] me to(wards) entrance gate house: temple LORD which to(wards) [the] north [to] and behold there [the] woman to dwell to weep [obj] [the] Tammuz
15	and to say to(wards) me to see: see son: child man still to return: again to see: see abomination great: large from these
16	and to come (in): bring [obj] me to(wards) court house: temple LORD [the] inner and behold entrance temple LORD between [the] Portico and between [the] altar like/as twenty and five man back their to(wards) temple LORD and face their east [to] and they(masc.) to bow east [to] to/for sun
17	and to say to(wards) me to see: see son: child man to lighten to/for house: household Judah from to make [obj] [the] abomination which to make here for to fill [obj] [the] land: country/planet violence and to return: again to/for to provoke me and look! they to send: reach [obj] [the] branch to(wards) face: nose their
18	and also I to make: do in/on/with rage not to pity eye my and not to spare and to call: call to in/on/with ear: to ears my voice great: large and not to hear: hear [obj] them
9	11
