24	66	1189	461
File Name	Holy-Bible---French---Free-for-the-World---Standard-Edition.noia
14	qui dit: «Je me construirai une grande maison et des chambres spacieuses». et découpe des fenêtres pour lui-même, avec un plafond en cèdre, et peint en rouge.
15	«Devrais-tu régner parce que tu t'efforces d'exceller dans le cèdre? Ton père n'a pas mangé et bu, et faire la justice et la droiture? Alors tout allait bien pour lui.
16	Il a jugé la cause des pauvres et des nécessiteux; alors c'était bien. Ce n'était pas pour me connaître?» dit Yahvé.
17	Mais tes yeux et ton cœur ne sont que pour ta convoitise, pour avoir versé du sang innocent, pour l'oppression, et pour faire de la violence».
18	C'est pourquoi Yahvé dit au sujet de Jehoïakim, fils de Josias, roi de Juda: «Ils ne se lamenteront pas pour lui, en disant: «Ah mon frère!» ou «Ah ma sœur!». Ils ne se lamenteront pas pour lui, en disant «Ah le seigneur» ou «Ah sa gloire».
19	Il sera enterré avec la sépulture d'un âne, tirés et chassés au-delà des portes de Jérusalem.»
20	«Monte au Liban, et crie. Élevez votre voix en Bashan, et crie depuis Abarim; car tous tes amants ont été détruits.
21	Je t'ai parlé dans ta prospérité, mais tu as dit: «Je n'écouterai pas». C'est ce que tu fais depuis ta jeunesse, que tu n'as pas obéi à ma voix.
22	Le vent nourrira tous vos bergers, et tes amants iront en captivité. Sûrement alors vous aurez honte et confondues pour toutes vos méchancetés.
23	Habitant du Liban, qui fait ton nid dans les cèdres, combien tu seras à plaindre lorsque les douleurs t'atteindront, la douleur comme celle d'une femme en travail!
24	«Je suis vivant, dit Yahvé, quand Conias, fils de Jojakim, roi de Juda, serait le sceau de ma main droite, je t'en arracherais quand même.
25	Je te livrerais entre les mains de ceux qui en veulent à ta vie et entre les mains de ceux que tu crains, entre les mains de Nebucadnetsar, roi de Babylone, et entre les mains des Chaldéens.
26	Je te chasserai avec ta mère qui t'a porté dans un autre pays, où tu n'es pas né, et là tu mourras.
27	Mais dans le pays où leur âme aspire à retourner, là ils ne retourneront pas.»
28	Cet homme, Conia, est-il un vase brisé méprisé? Est-il un récipient dans lequel personne ne se complaît? Pourquoi sont-ils chassés, lui et sa progéniture, et jetés dans un pays qu'ils ne connaissent pas?
29	O terre, terre, terre, écoutez la parole de Yahvé!
30	Yahvé dit, «Enregistrez cet homme comme étant sans enfant, un homme qui ne prospérera pas dans ses jours; car l'homme ne prospérera plus de sa descendance, assis sur le trône de David et à régner sur Juda.»
23	40
1	Malheur aux bergers qui détruisent et dispersent les brebis de mon pâturage, dit l'Éternel.
2	C'est pourquoi Yahvé, le Dieu d'Israël, dit contre les bergers qui font paître mon peuple: «Vous avez dispersé mes brebis, vous les avez chassées, et vous ne les avez pas visitées. Voici, je vais faire retomber sur vous la méchanceté de vos actions, dit Yahvé.
3	Je rassemblerai le reste de mon troupeau de tous les pays où je l'ai chassé, je le ramènerai dans ses replis, et il sera fécond et multipliera.
4	J'établirai sur eux des bergers qui les paîtront. Ils n'auront plus peur, ils ne seront plus effrayés, ils ne manqueront de rien, dit Yahvé.
5	«Voici, les jours viennent, dit Yahvé, «que je susciterai à David un rameau de justice; et il régnera en tant que roi et fera preuve de sagesse, et fera régner la justice et la droiture dans le pays.
6	En ses jours, Juda sera sauvé, et Israël habitera en sécurité. C'est le nom par lequel il sera appelé: Yahvé notre justice.
7	«C'est pourquoi voici que les jours viennent, dit Yahvé, où l'on ne dira plus: «Yahvé est vivant, lui qui a fait monter les enfants d'Israël du pays d'Égypte»,
8	mais: «Yahvé est vivant, lui qui a fait monter et qui a conduit les rejetons de la maison d'Israël du pays du Nord et de tous les pays où je les avais chassés». Alors ils habiteront dans leur pays.»
9	Concernant les prophètes: Mon cœur en moi est brisé. Tous mes os tremblent. Je suis comme un homme ivre, et comme un homme que le vin a vaincu, à cause de Yahvé, et à cause de ses paroles saintes.
10	«Car le pays est rempli d'adultères; car à cause de la malédiction, le pays est en deuil. Les pâturages du désert se sont asséchés. Leur parcours est mauvais, et leur pouvoir n'est pas juste;
11	car le prophète et le prêtre sont tous deux profanes. Oui, dans ma maison, j'ai trouvé leur méchanceté, dit Yahvé.
12	C'est pourquoi leur chemin sera pour eux comme des lieux glissants dans les ténèbres. Ils seront conduits sur, et y tomber; car je vais faire venir le malheur sur eux, même l'année de leur visite, dit Yahvé.
13	«J'ai vu la folie des prophètes de Samarie. Ils ont prophétisé par Baal, et fait errer mon peuple Israël.
14	Dans les prophètes de Jérusalem, j'ai aussi vu une chose horrible: ils commettent des adultères et marchent dans le mensonge. Ils renforcent les mains des malfaiteurs, afin que personne ne revienne de sa méchanceté. Ils sont tous devenus pour moi comme Sodome, et ses habitants comme Gomorrhe.»
15	C'est pourquoi Yahvé des Armées dit à propos des prophètes: «Voici, je vais les nourrir d'absinthe, et leur faire boire de l'eau empoisonnée; car les prophètes de Jérusalem ont répandu l'impiété dans tout le pays.»
16	Yahvé des Armées dit, «N'écoutez pas les paroles des prophètes qui vous prophétisent. Ils vous apprennent la vanité. Ils parlent d'une vision de leur propre cœur, et non de la bouche de Yahvé.
17	Ils disent continuellement à ceux qui me méprisent, Yahvé a dit: «Vous aurez la paix». et à tous ceux qui marchent dans l'obstination de leur propre cœur, ils disent, «Aucun malheur ne viendra sur vous.
18	Car qui s'est tenu dans le conseil de Yahvé, pour qu'il perçoive et entende sa parole? Qui a écouté ma parole, et l'a entendue?
19	Voici que l'orage de Yahvé, sa colère, a éclaté. Oui, une tempête tourbillonnante! Elle éclatera sur la tête des méchants.
20	La colère de Yahvé ne reviendra pas avant qu'il ait exécuté et a réalisé les intentions de son cœur. Dans les derniers jours, vous le comprendrez parfaitement.
21	Je n'ai pas envoyé ces prophètes, et pourtant ils ont couru. Je ne leur ai pas parlé, mais ils ont prophétisé.
22	Mais s'ils s'étaient tenus dans mon conseil, alors ils auraient fait en sorte que mon peuple entende mes paroles, et les aurait détournés de leur mauvaise voie, et de la méchanceté de leurs actes.
23	«Je suis un Dieu à portée de main», dit Yahvé, «et non un Dieu lointain?
24	Quelqu'un peut-il se cacher dans des lieux secrets pour que je ne puisse pas le voir?» dit Yahvé. «Ne remplis-je pas le ciel et la terre?» dit Yahvé.
25	«J'ai entendu ce qu'ont dit les prophètes, qui prophétisent des mensonges en mon nom, disant: 'J'ai eu un rêve! J'ai eu un songe!
26	Jusqu'à quand cela sera-t-il dans le cœur des prophètes qui prophétisent le mensonge, même les prophètes de la tromperie de leur propre cœur?
27	Ils ont l'intention de faire oublier mon nom à mon peuple par les rêves qu'ils racontent chacun à son prochain, comme leurs pères ont oublié mon nom à cause de Baal.
28	Que le prophète qui a un rêve raconte un rêve, et que celui qui a ma parole dise fidèlement ma parole. Qu'est-ce que la paille pour le blé? dit Yahvé.
29	«Ma parole n'est-elle pas comme un feu, dit Yahvé, et comme un marteau qui brise le rocher?
30	C'est pourquoi voici, j'en veux aux prophètes, dit l'Éternel, qui volent chacun mes paroles à leur prochain.
31	Voici, j'en veux aux prophètes, dit l'Éternel, qui se servent de leur langue et disent: «Il dit».
32	Voici, j'en veux à ceux qui prophétisent des songes mensongers, dit Yahvé, qui les racontent et égarent mon peuple par leurs mensonges et par leur vaine vantardise; pourtant je ne les ai ni envoyés ni commandés. Ils ne profitent pas du tout à ce peuple», dit Yahvé.
33	«Lorsque ce peuple, ou le prophète, ou un prêtre, t'interrogera en disant: «Quel est le message de Yahvé? Tu leur répondras: «Quel message? Je vous rejetterai, dit Yahvé».
34	Quant au prophète, au prêtre et au peuple qui diront: «Le message de Yahvé», je punirai même cet homme et sa famille.
35	Vous direz chacun à son voisin, chacun à son frère: «Qu'est-ce que l'Éternel a répondu?» et «Qu'est-ce que l'Éternel a dit?»
36	Vous ne parlerez plus du message de l'Éternel, car la parole de chacun est devenue son message, car vous avez perverti les paroles du Dieu vivant, de l'Éternel des armées, notre Dieu.
37	Vous direz au prophète: «Que t'a répondu Yahvé?» et «Qu'a dit Yahvé?
38	Si vous dites: «Le message de l'Éternel», l'Éternel dit: «Parce que vous dites cette parole: «Le message de l'Éternel», et que je vous ai envoyé dire de ne pas dire: «Le message de l'Éternel»,
39	voici, je vous oublierai, et je vous rejetterai avec la ville que j'ai donnée à vous et à vos pères, loin de ma présence.
40	Je mettrai sur toi un opprobre éternel et une honte perpétuelle, qui ne s'oubliera pas.'"
24	10
1	L'Éternel me fit voir que deux corbeilles de figues étaient placées devant le temple de l'Éternel, après que Nebucadnetsar, roi de Babylone, eut emmené captifs de Jérusalem Jeconia, fils de Jojakim, roi de Juda, et les princes de Juda, avec les artisans et les forgerons, et les eut emmenés à Babylone.
2	L'un des paniers contenait de très bonnes figues, comme les figues de première maturité, et l'autre panier contenait de très mauvaises figues, qui ne pouvaient pas être mangées tant elles étaient mauvaises.
3	Alors Yahvé me demanda: «Que vois-tu, Jérémie?» J'ai dit: «Des figues. Les bonnes figues sont très bonnes, et les mauvaises sont très mauvaises, si mauvaises qu'on ne peut pas les manger.»
4	La parole de l'Éternel me fut adressée, en ces termes:
5	L'Éternel, le Dieu d'Israël, dit: «Comme ces bonnes figues, je considère comme bons les captifs de Juda que j'ai envoyés de ce lieu au pays des Chaldéens.
6	Car je les regarderai comme un bien, et je les ramènerai dans ce pays. Je les bâtirai, et je ne les abattrai pas. Je les planterai, et je ne les arracherai pas.
7	Je leur donnerai le cœur de me connaître, de savoir que je suis Yahvé. Ils seront mon peuple, et je serai leur Dieu, car ils reviendront à moi de tout leur cœur.
8	"'Comme les figues mauvaises qui ne se mangent pas, tant elles sont mauvaises, dit Yahvé, je livrerai Sédécias, roi de Juda, et ses princes, et le reste de Jérusalem qui demeure dans ce pays, et ceux qui habitent au pays d'Égypte.
9	Je les livrerai même pour qu'ils soient ballottés parmi tous les royaumes de la terre, pour qu'ils soient un opprobre et un proverbe, une raillerie et une malédiction, dans tous les lieux où je les chasserai.
10	J'enverrai parmi eux l'épée, la famine et la peste, jusqu'à ce qu'ils soient exterminés du pays que j'ai donné à eux et à leurs pères.'"
25	38
1	La parole qui fut adressée à Jérémie sur tout le peuple de Juda, la quatrième année de Jojakim, fils de Josias, roi de Juda (c'était la première année de Nabuchodonosor, roi de Babylone),
2	parole que Jérémie, le prophète, adressa à tout le peuple de Juda et à tous les habitants de Jérusalem:
3	Depuis la treizième année de Josias, fils d'Amon, roi de Juda, jusqu'à ce jour, c'est-à-dire depuis vingt-trois ans, la parole de Yahvé m'a été adressée, et je vous ai parlé, me levant de bonne heure et parlant; mais vous n'avez pas écouté.
4	L'Éternel vous a envoyé tous ses serviteurs, les prophètes, en se levant de bonne heure et en les envoyant (mais vous n'avez pas écouté ni prêté l'oreille pour entendre),
5	en disant: «Que chacun revienne maintenant de sa mauvaise voie et de la méchanceté de ses actions, et qu'il habite dans le pays que l'Éternel a donné à vous et à vos pères, depuis toujours et à jamais.
6	N'allez pas après d'autres dieux pour les servir ou vous prosterner devant eux, et ne m'irritez pas par l'œuvre de vos mains; alors je ne vous ferai aucun mal.»
7	«Mais vous ne m'avez pas écouté, dit l'Éternel, afin de m'irriter par l'ouvrage de vos mains, pour votre propre malheur.»
8	C'est pourquoi Yahvé des armées dit: «Parce que vous n'avez pas écouté mes paroles,
9	voici, j'enverrai prendre toutes les familles du nord, dit Yahvé, et j'enverrai mon serviteur Nebucadnetsar, roi de Babylone, et je les ferai venir contre ce pays, contre ses habitants et contre toutes ces nations d'alentour. Je les détruirai par interdit, et j'en ferai un objet d'étonnement, de sifflement et de désolation perpétuelle.
10	Je leur enlèverai la voix de la joie et la voix de l'allégresse, la voix du fiancé et la voix de la fiancée, le bruit des meules et la lumière de la lampe.
11	Tout ce pays sera une désolation et un objet d'épouvante, et ces nations serviront le roi de Babylone pendant soixante-dix ans.
12	«Quand soixante-dix ans seront accomplis, je punirai le roi de Babylone et cette nation, dit Yahvé, à cause de leur iniquité. Je réduirai le pays des Chaldéens en désolation pour toujours.
13	Je ferai venir sur ce pays toutes les paroles que j'ai prononcées contre lui, tout ce qui est écrit dans ce livre, et que Jérémie a prophétisé contre toutes les nations.
14	Car beaucoup de nations et de grands rois en feront des esclaves, même d'eux. Je leur rendrai selon leurs actes et selon l'œuvre de leurs mains.»
15	Car Yahvé, le Dieu d'Israël, me dit: «Prends de ma main cette coupe du vin de la colère, et fais-la boire à toutes les nations vers lesquelles je t'envoie.
16	Ils boiront, ils tituberont et seront fous, à cause de l'épée que j'enverrai au milieu d'eux.»
17	Puis j'ai pris la coupe dans la main de Yahvé, et j'ai fait boire toutes les nations vers lesquelles Yahvé m'avait envoyé:
18	Jérusalem et les villes de Juda, avec ses rois et ses chefs, pour en faire une désolation, un objet d'étonnement, de sifflement et de malédiction, comme il en existe aujourd'hui;
19	Pharaon, roi d'Égypte, avec ses serviteurs, ses chefs, et tout son peuple;
20	tout le peuple mélangé, tous les rois du pays d'Uz, tous les rois des Philistins, Askalon, Gaza, Ékron, et le reste d'Asdod;
21	Édom, Moab, et les enfants d'Ammon;
22	tous les rois de Tyr, tous les rois de Sidon, et les rois de l'île qui est au delà de la mer;
23	Dedan, Tema, Buz, et tous ceux qui ont les coins de leur barbe coupés;
24	tous les rois d'Arabie, tous les rois du peuple mélangé qui habite dans le désert;
25	tous les rois de Zimri, tous les rois d'Élam, tous les rois des Mèdes,
26	tous les rois du nord, les uns avec les autres, de loin et de près, et tous les royaumes du monde, qui sont à la surface de la terre. Le roi de Sheshach boira après eux.
27	Tu leur diras: «L'Éternel des armées, le Dieu d'Israël, dit: «Buvez et soyez ivres, vomissez, tombez et ne vous relevez plus, à cause de l'épée que j'enverrai au milieu de vous».
28	S'ils refusent de prendre la coupe dans ta main pour boire, tu leur diras: «L'Éternel des armées dit: «Vous boirez».
29	Car voici que je commence à faire du mal à la ville qui s'appelle de mon nom. Vous ne resterez pas impunis, car j'appellerai l'épée sur tous les habitants de la terre, dit Yahvé des armées».
30	«Prophétise donc contre eux toutes ces paroles, et dis-leur, "'Yahvé rugira du haut des cieux, et faire entendre sa voix depuis sa demeure sainte. Il rugira puissamment contre son pli. Il poussera un cri, comme ceux qui foulent le raisin, contre tous les habitants de la terre.
31	Un bruit se fera entendre jusqu'à l'extrémité de la terre; car Yahvé a une controverse avec les nations. Il entrera en jugement avec toute chair. Quant aux méchants, il les livrera à l'épée, dit Yahvé.»
32	Yahvé des Armées dit, «Voici que le mal se répandra de nation en nation, et une grande tempête s'élèvera des extrémités de la terre.»
33	En ce jour-là, les morts de Yahvé seront d'un bout à l'autre de la terre. On ne les pleurera pas. Ils ne seront ni recueillis ni enterrés. Ils seront du fumier à la surface de la terre.
34	Gémissez, bergers, et criez. Va te vautrer dans la poussière, toi le chef du troupeau; car les jours de vos massacres et de vos dispersions sont arrivés, et vous tomberez comme une fine poterie.
35	Les bergers n'auront aucun moyen de fuir. Le chef du troupeau n'aura pas d'échappatoire.
36	Une voix du cri des bergers, et les lamentations du chef du troupeau, car Yahvé détruit leurs pâturages.
37	Les plis paisibles sont réduits au silence à cause de l'ardente colère de Yahvé.
38	Il a quitté sa cachette, comme le lion; car leur pays est devenu un objet d'étonnement à cause de la férocité de l'oppression, et à cause de sa colère féroce.
26	24
1	Au commencement du règne de Jojakim, fils de Josias, roi de Juda, cette parole vint de Yahvé:
2	«Yahvé dit: 'Tiens-toi dans le parvis de la maison de Yahvé, et dis à toutes les villes de Juda qui viennent se prosterner dans la maison de Yahvé toutes les paroles que je t'ordonne de leur dire. N'omets pas un mot.
3	Il se peut qu'ils écoutent et que chacun revienne de sa mauvaise voie, afin que je renonce au mal que j'ai l'intention de leur faire à cause de la méchanceté de leurs actions.'"
4	Tu leur diras: «Yahvé dit: 'Si vous ne m'écoutez pas, si vous ne marchez pas dans ma loi que j'ai mise devant vous,
5	si vous n'écoutez pas les paroles de mes serviteurs les prophètes que je vous envoie, même en vous levant de bonne heure et en les envoyant - mais que vous n'avez pas écouté-
6	alors je rendrai cette maison semblable à Silo, et je ferai de cette ville une malédiction pour toutes les nations de la terre.'"
7	Les prêtres, les prophètes et tout le peuple entendirent Jérémie prononcer ces paroles dans la maison de l'Éternel.
8	Lorsque Jérémie eut achevé de dire tout ce que l'Éternel lui avait ordonné de dire à tout le peuple, les prêtres, les prophètes et tout le peuple le saisirent, en disant: «Tu mourras!
9	Pourquoi as-tu prophétisé au nom de Yahvé, en disant: «Cette maison sera comme Silo, et cette ville sera déserte, sans habitant?». Tout le peuple était entassé autour de Jérémie dans la maison de Yahvé.
10	Lorsque les princes de Juda eurent entendu ces choses, ils montèrent de la maison du roi à la maison de l'Éternel, et ils s'assirent à l'entrée de la nouvelle porte de la maison de l'Éternel.
11	Alors les prêtres et les prophètes parlèrent aux chefs et à tout le peuple, en disant: «Cet homme mérite la mort, car il a prophétisé contre cette ville, comme vous l'avez entendu de vos oreilles.»
12	Alors Jérémie parla à tous les chefs et à tout le peuple, et dit: «L'Éternel m'a envoyé pour prophétiser contre cette maison et contre cette ville toutes les paroles que vous avez entendues.
13	Maintenant, corrigez vos voies et vos actions, et obéissez à la voix de l'Éternel, votre Dieu; alors l'Éternel se retirera du mal qu'il a prononcé contre vous.
14	Quant à moi, voici, je suis entre tes mains. Fais de moi ce qui est bon et juste à tes yeux.
15	Sachez seulement que si vous me faites mourir, vous ferez retomber le sang innocent sur vous-mêmes, sur cette ville et sur ses habitants; car en vérité, l'Éternel m'a envoyé vers vous pour prononcer toutes ces paroles à vos oreilles.»
16	Alors les princes et tout le peuple dirent aux prêtres et aux prophètes: «Cet homme n'est pas digne de mourir, car il nous a parlé au nom de Yahvé notre Dieu.»
17	Alors quelques-uns des anciens du pays se levèrent, et parlèrent à toute l'assemblée du peuple, en disant:
18	«Michée, le Morashtite, prophétisa au temps d'Ézéchias, roi de Juda, et il parla à tout le peuple de Juda, en disant: «L'Éternel des armées dit: "'Sion sera labourée comme un champ, et Jérusalem deviendra un tas, et la montagne de la maison comme les hauts lieux d'une forêt.
19	Ézéchias, roi de Juda, et tout Juda ne l'ont-ils pas fait mourir? Ne craignait-il pas Yahvé, n'implorait-il pas la faveur de Yahvé, et Yahvé ne s'est-il pas détourné du malheur qu'il avait prononcé contre eux? Nous commettrions ainsi un grand mal contre nos propres âmes!».
20	Il y avait aussi un homme qui prophétisait au nom de l'Éternel, Urie, fils de Shemahia, de Kiriath Jearim, et il prophétisa contre cette ville et contre ce pays, selon toutes les paroles de Jérémie.
21	Lorsque le roi Jehoïakim, avec tous ses hommes forts et tous les princes, entendit ses paroles, le roi chercha à le faire mourir; mais Urie, l'ayant entendu, eut peur, s'enfuit et alla en Égypte.
22	Le roi Jehoïakim envoya en Égypte Elnathan, fils d'Acbor, et quelques hommes avec lui.
23	Ils allèrent chercher Urie en Égypte et l'amenèrent au roi Jojakim, qui le tua par l'épée et jeta son cadavre dans les tombes des gens du peuple.
24	Mais la main d'Ahikam, fils de Shaphan, était avec Jérémie, de sorte qu'ils ne le livrèrent pas entre les mains du peuple pour le faire mourir.
27	22
1	Au commencement du règne de Jojakim, fils de Josias, roi de Juda, cette parole fut adressée à Jérémie de la part de Yahvé, en ces termes:
2	Yahvé me dit: «Fais des liens et des barres, et mets-les sur ton cou.
3	Puis envoie-les au roi d'Édom, au roi de Moab, au roi des enfants d'Ammon, au roi de Tyr et au roi de Sidon, par la main des messagers qui viennent à Jérusalem auprès de Sédécias, roi de Juda.
4	Donne-leur l'ordre de dire à leurs maîtres: «L'Éternel des armées, le Dieu d'Israël, dit: «Vous direz à vos maîtres:
5	J'ai fait la terre, les hommes et les animaux qui sont à la surface de la terre par ma grande puissance et par mon bras étendu. Je la donne à qui me semble bon.
6	Maintenant, j'ai livré toutes ces terres entre les mains de Nabuchodonosor, roi de Babylone, mon serviteur. Je lui ai aussi donné les animaux des champs pour qu'ils le servent.
7	Toutes les nations le serviront, lui, son fils et le fils de son fils, jusqu'à ce que vienne le temps de son propre pays. Alors, de nombreuses nations et de grands rois feront de lui leur serviteur.
8	""«Il arrivera que je punirai la nation et le royaume qui ne serviront pas le même Nabuchodonosor, roi de Babylone, et qui ne mettront pas leur cou sous le joug du roi de Babylone, dit Yahvé, par l'épée, la famine et la peste, jusqu'à ce que je les aie consumés par sa main»".
9	Mais toi, n'écoute pas tes prophètes, ni tes devins, ni tes songes, ni tes devins, ni tes sorciers, qui te disent: «Tu ne serviras pas le roi de Babylone»;
10	car ils te prophétisent le mensonge, pour t'éloigner de ton pays, afin que je te chasse et que tu périsses.
11	Mais la nation qui mettra son cou sous le joug du roi de Babylone et qui le servira, je la laisserai dans son pays, dit Yahvé, elle le cultivera et y habitera.
12	Je parlai à Sédécias, roi de Juda, selon toutes ces paroles, et je dis: «Placez votre cou sous le joug du roi de Babylone, servez-le, lui et son peuple, et vivez.
13	Pourquoi mourrez-vous, vous et votre peuple, par l'épée, par la famine et par la peste, comme Yahvé l'a dit au sujet de la nation qui ne veut pas servir le roi de Babylone?
14	N'écoutez pas les paroles des prophètes qui vous disent: «Vous ne servirez pas le roi de Babylone», car ils vous prophétisent le mensonge.
15	Car ce n'est pas moi qui les ai envoyés, dit Yahvé, mais ils prophétisent faussement en mon nom, afin que je vous chasse et que vous périssiez, vous et les prophètes qui vous prophétisent.»
16	J'ai parlé aux prêtres et à tout ce peuple, en disant: «L'Éternel dit: N'écoutez pas les paroles de vos prophètes qui vous prophétisent en disant: «Voici que les ustensiles de la maison de l'Éternel vont bientôt être ramenés de Babylone», car ils vous prophétisent le mensonge.
17	Ne les écoutez pas. Servez le roi de Babylone, et vivez. Pourquoi cette ville deviendrait-elle une désolation?
18	Mais s'ils sont prophètes, et si la parole de l'Éternel est avec eux, qu'ils intercèdent maintenant auprès de l'Éternel des armées, afin que les objets qui restent dans la maison de l'Éternel, dans la maison du roi de Juda et à Jérusalem, n'aillent pas à Babylone.
19	Car l'Éternel des armées dit, au sujet des colonnes, de la mer, des bases et du reste des ustensiles qui sont restés dans cette ville,
20	et que Nebucadnetsar, roi de Babylone, n'a pas pris quand il emmena captif Jeconia, fils de Jehoïakim, roi de Juda, de Jérusalem à Babylone, et tous les nobles de Juda et de Jérusalem-
21	oui, Yahvé des armées, le Dieu d'Israël, dit au sujet des objets qui restent dans la maison de Yahvé, dans la maison du roi de Juda et à Jérusalem:
22	'Ils seront transportés à Babylone, et ils y resteront jusqu'au jour où je les visiterai, dit Yahvé; alors je les ferai remonter et je les rétablirai dans ce lieu'.'"
28	17
1	Cette même année, au début du règne de Sédécias, roi de Juda, la quatrième année, au cinquième mois, Hanania, fils d'Azzur, le prophète, qui était de Gabaon, me parla dans la maison de Yahvé, en présence des prêtres et de tout le peuple, et dit:
2	«Yahvé des armées, le Dieu d'Israël, dit: Je brise le joug du roi de Babylone.
3	Dans deux années complètes, je ramènerai en ce lieu tous les objets de la maison de Yahvé que Nabuchodonosor, roi de Babylone, a enlevés de ce lieu et transportés à Babylone.
4	Je ramènerai en ce lieu Jeconia, fils de Jehoïakim, roi de Juda, avec tous les captifs de Juda qui sont allés à Babylone, dit Yahvé, car je briserai le joug du roi de Babylone.»
5	Alors le prophète Jérémie dit au prophète Hanania, en présence des prêtres et en présence de tout le peuple qui se tenait dans la maison de Yahvé:
6	Le prophète Jérémie dit: «Amen! Que Yahvé fasse ainsi. Que Yahvé accomplisse les paroles que tu as prophétisées, en ramenant de Babylone en ce lieu les vases de la maison de Yahvé et tous les captifs.
7	Cependant, écoutez maintenant cette parole que je prononce à vos oreilles et aux oreilles de tout le peuple:
8	Les prophètes qui ont été avant moi et avant vous, dans le passé, ont prophétisé contre de nombreux pays et de grands royaumes, des guerres, des malheurs et des pestes.
9	Quant au prophète qui prophétise la paix, quand la parole du prophète s'accomplira, alors le prophète sera connu, que Yahvé l'a vraiment envoyé.»
10	Alors Hanania, le prophète, prit la barre de dessus le cou de Jérémie, le prophète, et la brisa.
11	Hanania prit la parole en présence de tout le peuple et dit: «Yahvé dit: 'De même, je briserai le joug de Nabuchodonosor, roi de Babylone, de dessus le cou de toutes les nations, dans deux années entières'". Puis le prophète Jérémie s'en alla.
12	Et la parole de Yahvé fut adressée à Jérémie, après que le prophète Hanania eut brisé la barre du cou de Jérémie, le prophète, en ces termes:
13	Va, et dis à Hanania: Yahvé dit: «Tu as brisé les barres de bois, mais tu as fait à leur place des barres de fer.»
14	Car Yahvé des armées, le Dieu d'Israël, dit: «J'ai mis un joug de fer sur le cou de toutes ces nations, afin qu'elles servent Nebucadnetsar, roi de Babylone, et elles le serviront. Je lui ai aussi donné les animaux des champs.»'"
15	Alors le prophète Jérémie dit à Hanania le prophète: «Écoute, Hanania! Ce n'est pas Yahvé qui t'a envoyé, mais c'est toi qui donnes confiance à ce peuple dans le mensonge.
16	C'est pourquoi Yahvé dit: «Voici que je te chasse de la surface de la terre. Cette année, tu mourras, parce que tu as parlé de rébellion contre Yahvé.»
17	Et Hanania, le prophète, mourut la même année, au septième mois.
29	32
1	Voici les paroles de la lettre que Jérémie, le prophète, envoya de Jérusalem au reste des anciens de la captivité, aux sacrificateurs, aux prophètes, et à tout le peuple que Nabuchodonosor avait emmené captif de Jérusalem à Babylone,
2	(après que le roi Jeconia, la reine mère, les eunuques, les princes de Juda et de Jérusalem, les artisans et les forgerons eurent quitté Jérusalem), la reine mère, les eunuques, les princes de Juda et de Jérusalem, les artisans et les forgerons avaient quitté Jérusalem),
3	par la main d'Elasah, fils de Shaphan, et de Gemaria, fils de Hilkija, (que Sédécias, roi de Juda, envoya à Babylone auprès de Nebucadnetsar, roi de Babylone). Il est dit:
4	Yahvé des Armées, le Dieu d'Israël, dit à tous les captifs que j'ai fait emmener de Jérusalem à Babylone:
5	«Construisez des maisons et habitez-les. Plantez des jardins et mangez leurs fruits.
6	Prenez des femmes et engendrez des fils et des filles. Prenez des femmes pour vos fils, et donnez vos filles à des maris, afin qu'elles enfantent des fils et des filles. Multipliez-y, et ne vous laissez pas abattre.
7	Recherchez la paix de la ville où je vous ai fait emmener en captivité, et priez Yahvé pour elle, car dans sa paix vous aurez la paix.»
8	Car Yahvé des Armées, le Dieu d'Israël, dit: «Ne vous laissez pas tromper par vos prophètes qui sont au milieu de vous et par vos devins. N'écoutez pas les rêves que vous faites rêver.
9	Car ils vous prophétisent faussement en mon nom. Ce n'est pas moi qui les ai envoyés», dit Yahvé.
10	Car Yahvé dit: «Lorsque soixante-dix ans se seront écoulés pour Babylone, je vous visiterai et j'accomplirai ma bonne parole à votre égard, en vous faisant revenir dans ce lieu.
11	Car je connais les pensées que je nourris à votre égard, dit Yahvé, des pensées de paix et non de malheur, pour vous donner de l'espoir et un avenir.
12	Vous m'invoquerez, vous irez me prier, et je vous écouterai.
13	Tu me chercheras et tu me trouveras, si tu me cherches de tout ton cœur.
14	Tu me trouveras, dit l'Éternel, et je ramènerai tes captifs, je te rassemblerai de toutes les nations et de tous les lieux où je t'ai chassé, dit l'Éternel. Je vous ramènerai dans le lieu d'où je vous ai fait partir en captivité.»
15	Parce que vous avez dit: «Yahvé nous a suscité des prophètes à Babylone»,
16	Yahvé dit, au sujet du roi assis sur le trône de David et de tout le peuple qui habite cette ville, de vos frères qui ne sont pas partis avec vous en captivité,
17	Yahvé des armées dit: «Voici, j'enverrai sur eux l'épée, la famine et la peste, et je les rendrai semblables à des figues pourries qui ne peuvent être mangées, tant elles sont mauvaises.
18	Je les poursuivrai par l'épée, la famine et la peste, et je les livrerai pour qu'ils soient ballottés entre tous les royaumes de la terre, pour qu'ils soient un objet d'épouvante, d'étonnement, de sifflement et d'opprobre parmi toutes les nations où je les ai chassés,
19	parce qu'ils n'ont pas écouté mes paroles, dit Yahvé, par lesquelles je leur ai envoyé mes serviteurs les prophètes, me levant de bonne heure et les envoyant; mais vous n'avez pas voulu écouter», dit Yahvé.
20	Écoutez donc la parole de Yahvé, vous tous, les captifs que j'ai envoyés de Jérusalem à Babylone.
